Estación: ,C19073,GALEANA. GALEANA (SMN) usar 19085
1923-12-24,0,CLIC
1923-12-25,0,CLIC
1923-12-26,0,CLIC
1923-12-27,0,CLIC
1923-12-28,0,CLIC
1923-12-29,0,CLIC
1923-12-30,0,CLIC
1923-12-31,0,CLIC
1924-01-01,0,CLIC
1924-01-02,0,CLIC
1924-01-03,0,CLIC
1924-01-04,0.7,CLIC
1924-01-05,0,CLIC
1924-01-06,0,CLIC
1924-01-07,0,CLIC
1924-01-08,0,CLIC
1924-01-09,0,CLIC
1924-01-10,0,CLIC
1924-01-11,0,CLIC
1924-01-12,0,CLIC
1924-01-13,0,CLIC
1924-01-14,6.2,CLIC
1924-01-15,3,CLIC
1924-01-16,0,CLIC
1924-01-17,0,CLIC
1924-01-18,11.2,CLIC
1924-01-19,0,CLIC
1924-01-20,12,CLIC
1924-01-21,0,CLIC
1924-01-22,0,CLIC
1924-01-23,0,CLIC
1924-01-24,0,CLIC
1924-01-25,22.2,CLIC
1924-01-26,0,CLIC
1924-01-27,0,CLIC
1924-01-28,0,CLIC
1924-01-29,0,CLIC
1924-01-30,0,CLIC
1924-01-31,0,CLIC
1924-02-01,0,CLIC
1924-02-02,0,CLIC
1924-02-03,0,CLIC
1924-02-04,0,CLIC
1924-02-05,0,CLIC
1924-02-06,0,CLIC
1924-02-07,0,CLIC
1924-02-08,0,CLIC
1924-02-09,0,CLIC
1924-02-10,0,CLIC
1924-02-11,0,CLIC
1924-02-12,0,CLIC
1924-02-13,0,CLIC
1924-02-14,0,CLIC
1924-02-15,0,CLIC
1924-02-16,0,CLIC
1924-02-17,0,CLIC
1924-02-18,0,CLIC
1924-02-19,0,CLIC
1924-02-20,0,CLIC
1924-02-21,0,CLIC
1924-02-22,0,CLIC
1924-02-23,0,CLIC
1924-02-24,0,CLIC
1924-02-25,0,CLIC
1924-02-26,0,CLIC
1924-02-27,0,CLIC
1924-02-28,0,CLIC
1924-02-29,0,CLIC
1924-03-01,0,CLIC
1924-03-02,0,CLIC
1924-03-03,0,CLIC
1924-03-04,0,CLIC
1924-03-05,0,CLIC
1924-03-06,0,CLIC
1924-03-07,0,CLIC
1924-03-08,0,CLIC
1924-03-09,0,CLIC
1924-03-10,0,CLIC
1924-03-11,0,CLIC
1924-03-12,0,CLIC
1924-03-13,0,CLIC
1924-03-14,0,CLIC
1924-03-15,0,CLIC
1924-03-16,0,CLIC
1924-03-17,0,CLIC
1924-03-18,0,CLIC
1924-03-19,0,CLIC
1924-03-20,0,CLIC
1924-03-21,0,CLIC
1924-03-22,0,CLIC
1924-03-23,0,CLIC
1924-03-24,0,CLIC
1924-03-25,0,CLIC
1924-03-26,0,CLIC
1924-03-27,0,CLIC
1924-03-28,0,CLIC
1924-03-29,0,CLIC
1924-03-30,0,CLIC
1924-03-31,0,CLIC
1924-04-01,0,CLIC
1924-04-02,0,CLIC
1924-04-03,0,CLIC
1924-04-04,0.2,CLIC
1924-04-05,7.7,CLIC
1924-04-06,0,CLIC
1924-04-07,6.7,CLIC
1924-04-08,0,CLIC
1924-04-09,0.7,CLIC
1924-04-10,0,CLIC
1924-04-11,0,CLIC
1924-04-12,0,CLIC
1924-04-13,0,CLIC
1924-04-14,0,CLIC
1924-04-15,0,CLIC
1924-04-16,0,CLIC
1924-04-17,0,CLIC
1924-04-18,0,CLIC
1924-04-19,0,CLIC
1924-04-20,0,CLIC
1924-04-21,0,CLIC
1924-04-22,0,CLIC
1924-04-23,0,CLIC
1924-04-24,0,CLIC
1924-04-25,0,CLIC
1924-04-26,0.7,CLIC
1924-04-27,0,CLIC
1924-04-28,0,CLIC
1924-04-29,0,CLIC
1924-04-30,0,CLIC
1924-05-01,12.2,CLIC
1924-05-02,0,CLIC
1924-05-03,0,CLIC
1924-05-04,0,CLIC
1924-05-05,0,CLIC
1924-05-06,0,CLIC
1924-05-07,0,CLIC
1924-05-08,0,CLIC
1924-05-09,0,CLIC
1924-05-10,6.5,CLIC
1924-05-11,1.5,CLIC
1924-05-12,2.2,CLIC
1924-05-13,0,CLIC
1924-05-14,1.7,CLIC
1924-05-15,8,CLIC
1924-05-16,0,CLIC
1924-05-17,0,CLIC
1924-05-18,7,CLIC
1924-05-19,0,CLIC
1924-05-20,1,CLIC
1924-05-21,0,CLIC
1924-05-22,0,CLIC
1924-05-23,0,CLIC
1924-05-24,0,CLIC
1924-05-25,0,CLIC
1924-05-26,1.2,CLIC
1924-05-27,0,CLIC
1924-05-28,0,CLIC
1924-05-29,41.2,CLIC
1924-05-30,0,CLIC
1924-05-31,4.2,CLIC
1924-06-01,0,CLIC
1924-06-02,0,CLIC
1924-06-03,0,CLIC
1924-06-04,0,CLIC
1924-06-05,0,CLIC
1924-06-06,0,CLIC
1924-06-07,25,CLIC
1924-06-08,0,CLIC
1924-06-09,0,CLIC
1924-06-10,0,CLIC
1924-06-11,0,CLIC
1924-06-12,0,CLIC
1924-06-13,0,CLIC
1924-06-14,0,CLIC
1924-06-15,0,CLIC
1924-06-16,0,CLIC
1924-06-17,0,CLIC
1924-06-18,0,CLIC
1924-06-19,0,CLIC
1924-06-20,0,CLIC
1924-06-21,3.5,CLIC
1924-06-22,0,CLIC
1924-06-23,0,CLIC
1924-06-24,0,CLIC
1924-06-25,0,CLIC
1924-06-26,0,CLIC
1924-06-27,0,CLIC
1924-06-28,0,CLIC
1924-06-29,0,CLIC
1924-06-30,3.2,CLIC
1924-07-01,5.2,CLIC
1924-07-02,2,CLIC
1924-07-03,0,CLIC
1924-07-04,0,CLIC
1924-07-05,0,CLIC
1924-07-06,0,CLIC
1924-07-07,0,CLIC
1924-07-08,0,CLIC
1924-07-09,0,CLIC
1924-07-10,0,CLIC
1924-07-11,0,CLIC
1924-07-12,0,CLIC
1924-07-13,0,CLIC
1924-07-14,1.2,CLIC
1924-07-15,15.2,CLIC
1924-07-16,0,CLIC
1924-07-17,0,CLIC
1924-07-18,0,CLIC
1924-07-19,19.7,CLIC
1924-07-20,0,CLIC
1924-07-21,0,CLIC
1924-07-22,0,CLIC
1924-07-23,0,CLIC
1924-07-24,2.7,CLIC
1924-07-25,0,CLIC
1924-07-26,0,CLIC
1924-07-27,0,CLIC
1924-07-28,0,CLIC
1924-07-29,0,CLIC
1924-07-30,0,CLIC
1924-07-31,0,CLIC
1924-08-01,0,CLIC
1924-08-02,1,CLIC
1924-08-03,0,CLIC
1924-08-04,0,CLIC
1924-08-05,0,CLIC
1924-08-06,0,CLIC
1924-08-07,0,CLIC
1924-08-08,0,CLIC
1924-08-09,0,CLIC
1924-08-10,0,CLIC
1924-08-11,0,CLIC
1924-08-12,0,CLIC
1924-08-13,0,CLIC
1924-08-14,0,CLIC
1924-08-15,0,CLIC
1924-08-16,0,CLIC
1924-08-17,0,CLIC
1924-08-18,0,CLIC
1924-08-19,0,CLIC
1924-08-20,0,CLIC
1924-08-21,4.5,CLIC
1924-08-22,0,CLIC
1924-08-23,0,CLIC
1924-08-24,0,CLIC
1924-08-25,0,CLIC
1924-08-26,0,CLIC
1924-08-27,0,CLIC
1924-08-28,29,CLIC
1924-08-29,16.7,CLIC
1924-08-30,0,CLIC
1924-08-31,0,CLIC
1924-09-01,4.2,CLIC
1924-09-02,8.5,CLIC
1924-09-03,1.5,CLIC
1924-09-04,0,CLIC
1924-09-05,0,CLIC
1924-09-06,0,CLIC
1924-09-07,7.5,CLIC
1924-09-08,20.5,CLIC
1924-09-09,0,CLIC
1924-09-10,0.7,CLIC
1924-09-11,1.5,CLIC
1924-09-12,0,CLIC
1924-09-13,3,CLIC
1924-09-14,0,CLIC
1924-09-15,0,CLIC
1924-09-16,0,CLIC
1924-09-17,47,CLIC
1924-09-18,10.2,CLIC
1924-09-19,0,CLIC
1924-09-20,0,CLIC
1924-09-21,37.5,CLIC
1924-09-22,15.2,CLIC
1924-09-23,0,CLIC
1924-09-24,0,CLIC
1924-09-25,0,CLIC
1924-09-26,9.2,CLIC
1924-09-27,0,CLIC
1924-09-28,0,CLIC
1924-09-29,0,CLIC
1924-09-30,0,CLIC
1924-10-01,0,CLIC
1924-10-02,0,CLIC
1924-10-03,0,CLIC
1924-10-04,0,CLIC
1924-10-05,0,CLIC
1924-10-06,0,CLIC
1924-10-07,0,CLIC
1924-10-08,0,CLIC
1924-10-09,0,CLIC
1924-10-10,0,CLIC
1924-10-11,0,CLIC
1924-10-12,0,CLIC
1924-10-13,0.2,CLIC
1924-10-14,0,CLIC
1924-10-15,0,CLIC
1924-10-16,0,CLIC
1924-10-17,0,CLIC
1924-10-18,0,CLIC
1924-10-19,0,CLIC
1924-10-20,0,CLIC
1924-10-21,0,CLIC
1924-10-22,0,CLIC
1924-10-23,0,CLIC
1924-10-24,0,CLIC
1924-10-25,17.5,CLIC
1924-10-26,0,CLIC
1924-10-27,0,CLIC
1924-10-28,0,CLIC
1924-10-29,0,CLIC
1924-10-30,0,CLIC
1924-10-31,0,CLIC
1924-11-01,0,CLIC
1924-11-02,0,CLIC
1924-11-03,0,CLIC
1924-11-04,0,CLIC
1924-11-05,0,CLIC
1924-11-06,0,CLIC
1924-11-07,0,CLIC
1924-11-08,0,CLIC
1924-11-09,0,CLIC
1924-11-10,0,CLIC
1924-11-11,0,CLIC
1924-11-12,0,CLIC
1924-11-13,0,CLIC
1924-11-14,0,CLIC
1924-11-15,0,CLIC
1924-11-16,0,CLIC
1924-11-17,0,CLIC
1924-11-18,0,CLIC
1924-11-19,0,CLIC
1924-11-20,0,CLIC
1924-11-21,0,CLIC
1924-11-22,0,CLIC
1924-11-23,0,CLIC
1924-11-24,0,CLIC
1924-11-25,0,CLIC
1924-11-26,0,CLIC
1924-11-27,0,CLIC
1924-11-28,0,CLIC
1924-11-29,0,CLIC
1924-11-30,0,CLIC
1925-01-01,0,CLIC
1925-01-02,0,CLIC
1925-01-03,0,CLIC
1925-01-04,0,CLIC
1925-01-05,0,CLIC
1925-01-06,0,CLIC
1925-01-07,0,CLIC
1925-01-08,0,CLIC
1925-01-09,0,CLIC
1925-01-10,0,CLIC
1925-01-11,0,CLIC
1925-01-12,0,CLIC
1925-01-13,0,CLIC
1925-01-14,0,CLIC
1925-01-15,0,CLIC
1925-01-16,0,CLIC
1925-01-17,0,CLIC
1925-01-18,0,CLIC
1925-01-19,0,CLIC
1925-01-20,0,CLIC
1925-01-21,0,CLIC
1925-01-22,0,CLIC
1925-01-23,0,CLIC
1925-01-24,0,CLIC
1925-01-25,0,CLIC
1925-01-26,0,CLIC
1925-01-27,0,CLIC
1925-01-28,0,CLIC
1925-01-29,0,CLIC
1925-01-30,0,CLIC
1925-01-31,0,CLIC
1925-02-01,0,CLIC
1925-02-02,0,CLIC
1925-02-03,0,CLIC
1925-02-04,0,CLIC
1925-02-05,0,CLIC
1925-02-06,0,CLIC
1925-02-07,0,CLIC
1925-02-08,0,CLIC
1925-02-09,0,CLIC
1925-02-10,0,CLIC
1925-02-11,0,CLIC
1925-02-12,0,CLIC
1925-02-13,0,CLIC
1925-02-14,0,CLIC
1925-02-15,0,CLIC
1925-02-16,0,CLIC
1925-02-17,0,CLIC
1925-02-18,0,CLIC
1925-02-19,0,CLIC
1925-02-20,0,CLIC
1925-02-21,0,CLIC
1925-02-22,0,CLIC
1925-02-23,0,CLIC
1925-02-24,0,CLIC
1925-02-25,0,CLIC
1925-02-26,0,CLIC
1925-02-27,0,CLIC
1925-03-01,0,CLIC
1925-03-02,0,CLIC
1925-03-03,0,CLIC
1925-03-04,0,CLIC
1925-03-05,0,CLIC
1925-03-06,0,CLIC
1925-03-07,0,CLIC
1925-03-08,0,CLIC
1925-03-09,0,CLIC
1925-03-10,0,CLIC
1925-03-11,0,CLIC
1925-03-12,0,CLIC
1925-03-13,0,CLIC
1925-03-14,12.5,CLIC
1925-03-15,0,CLIC
1925-03-16,0,CLIC
1925-03-17,0,CLIC
1925-03-18,0,CLIC
1925-03-19,0,CLIC
1925-03-20,7,CLIC
1925-03-21,0,CLIC
1925-03-22,0,CLIC
1925-03-23,0,CLIC
1925-03-24,0,CLIC
1925-03-25,0,CLIC
1925-03-26,0,CLIC
1925-03-27,2.7,CLIC
1925-03-28,0,CLIC
1925-03-29,0,CLIC
1925-03-30,0,CLIC
1925-03-31,0,CLIC
1925-04-01,0,CLIC
1925-04-02,0,CLIC
1925-04-03,0,CLIC
1925-04-04,0,CLIC
1925-04-05,0,CLIC
1925-04-06,0,CLIC
1925-04-07,0,CLIC
1925-04-08,0,CLIC
1925-04-09,0,CLIC
1925-04-10,2,CLIC
1925-04-11,1.5,CLIC
1925-04-12,0,CLIC
1925-04-13,0,CLIC
1925-04-14,0,CLIC
1925-04-15,0,CLIC
1925-04-16,0,CLIC
1925-04-17,0,CLIC
1925-04-18,0,CLIC
1925-04-19,0,CLIC
1925-04-20,0,CLIC
1925-04-21,0,CLIC
1925-04-22,0,CLIC
1925-04-23,0,CLIC
1925-04-24,1.5,CLIC
1925-04-25,0,CLIC
1925-04-26,0,CLIC
1925-04-27,0,CLIC
1925-04-28,3.2,CLIC
1925-04-29,0,CLIC
1925-04-30,0,CLIC
1925-05-01,0,CLIC
1925-05-02,8.7,CLIC
1925-05-03,0,CLIC
1925-05-04,0,CLIC
1925-05-05,22.2,CLIC
1925-05-06,0,CLIC
1925-05-07,0,CLIC
1925-05-08,0,CLIC
1925-05-09,0,CLIC
1925-05-10,0,CLIC
1925-05-11,13.7,CLIC
1925-05-12,0,CLIC
1925-05-13,0,CLIC
1925-05-14,0,CLIC
1925-05-15,3.7,CLIC
1925-05-16,0,CLIC
1925-05-17,0,CLIC
1925-05-18,0,CLIC
1925-05-19,0,CLIC
1925-05-20,0,CLIC
1925-05-21,0,CLIC
1925-05-22,0,CLIC
1925-05-23,0,CLIC
1925-05-24,0,CLIC
1925-05-25,0,CLIC
1925-05-26,1.5,CLIC
1925-05-27,4.2,CLIC
1925-05-28,0.7,CLIC
1925-05-29,1,CLIC
1925-05-30,6.5,CLIC
1925-05-31,0,CLIC
1925-06-01,0,CLIC
1925-06-02,0,CLIC
1925-06-03,0,CLIC
1925-06-04,0,CLIC
1925-06-05,0,CLIC
1925-06-06,0,CLIC
1925-06-07,2,CLIC
1925-06-08,14.5,CLIC
1925-06-09,0,CLIC
1925-06-10,0,CLIC
1925-06-11,0,CLIC
1925-06-12,0,CLIC
1925-06-13,46.2,CLIC
1925-06-14,0,CLIC
1925-06-15,2.5,CLIC
1925-06-16,0,CLIC
1925-06-17,0,CLIC
1925-06-18,6.7,CLIC
1925-06-19,0,CLIC
1925-06-20,0,CLIC
1925-06-21,0,CLIC
1925-06-22,0,CLIC
1925-06-23,0,CLIC
1925-06-24,0,CLIC
1925-06-25,0,CLIC
1925-06-26,0,CLIC
1925-06-27,0,CLIC
1925-06-28,0,CLIC
1925-06-29,0,CLIC
1925-06-30,0,CLIC
1925-07-01,2.2,CLIC
1925-07-02,0,CLIC
1925-07-03,0,CLIC
1925-07-04,0,CLIC
1925-07-05,0,CLIC
1925-07-06,0,CLIC
1925-07-07,0,CLIC
1925-07-08,0,CLIC
1925-07-09,0,CLIC
1925-07-10,15,CLIC
1925-07-11,0,CLIC
1925-07-12,0,CLIC
1925-07-13,0,CLIC
1925-07-14,0,CLIC
1925-07-15,0,CLIC
1925-07-16,0,CLIC
1925-07-17,0,CLIC
1925-07-18,0,CLIC
1925-07-19,0,CLIC
1925-07-20,0,CLIC
1925-07-21,0,CLIC
1925-07-22,0,CLIC
1925-07-23,0,CLIC
1925-07-24,0,CLIC
1925-07-25,0,CLIC
1925-07-26,0,CLIC
1925-07-27,0,CLIC
1925-07-28,0,CLIC
1925-07-29,0,CLIC
1925-07-30,0,CLIC
1925-07-31,8,CLIC
1925-08-01,0,CLIC
1925-08-02,0,CLIC
1925-08-03,0,CLIC
1925-08-04,0,CLIC
1925-08-05,0,CLIC
1925-08-06,0,CLIC
1925-08-07,0,CLIC
1925-08-08,0,CLIC
1925-08-09,0,CLIC
1925-08-10,0,CLIC
1925-08-11,0,CLIC
1925-08-12,0,CLIC
1925-08-13,1.2,CLIC
1925-08-14,0,CLIC
1925-08-15,0,CLIC
1925-08-16,0,CLIC
1925-08-17,8.7,CLIC
1925-08-18,0,CLIC
1925-08-19,0,CLIC
1925-08-20,0,CLIC
1925-08-21,0,CLIC
1925-08-22,0,CLIC
1925-08-23,8.2,CLIC
1925-08-24,11,CLIC
1925-08-25,0,CLIC
1925-08-26,0,CLIC
1925-08-27,0,CLIC
1925-08-28,0,CLIC
1925-08-29,0,CLIC
1925-08-30,2.7,CLIC
1925-08-31,14.2,CLIC
1925-09-01,1.2,CLIC
1925-09-02,0,CLIC
1925-09-03,0,CLIC
1925-09-04,0,CLIC
1925-09-05,0,CLIC
1925-09-06,24.7,CLIC
1925-09-07,7.5,CLIC
1925-09-08,0,CLIC
1925-09-09,0,CLIC
1925-09-10,0,CLIC
1925-09-11,0,CLIC
1925-09-12,0,CLIC
1925-09-13,0,CLIC
1925-09-14,0,CLIC
1925-09-15,1.5,CLIC
1925-09-16,11,CLIC
1925-09-17,2.5,CLIC
1925-09-18,1.7,CLIC
1925-09-19,0,CLIC
1925-09-20,0,CLIC
1925-09-21,1,CLIC
1925-09-22,6.2,CLIC
1925-09-23,9.2,CLIC
1925-09-24,0,CLIC
1925-09-25,0,CLIC
1925-09-26,1.2,CLIC
1925-09-27,12,CLIC
1925-09-28,4.7,CLIC
1925-09-29,0,CLIC
1925-09-30,0,CLIC
1925-10-01,0,CLIC
1925-10-02,0,CLIC
1925-10-03,0,CLIC
1925-10-04,0,CLIC
1925-10-05,0,CLIC
1925-10-06,0,CLIC
1925-10-07,0,CLIC
1925-10-08,8,CLIC
1925-10-09,0.5,CLIC
1925-10-10,0,CLIC
1925-10-11,4,CLIC
1925-10-12,0,CLIC
1925-10-13,0,CLIC
1925-10-14,0,CLIC
1925-10-15,5,CLIC
1925-10-16,0,CLIC
1925-10-17,0,CLIC
1925-10-18,0,CLIC
1925-10-19,0,CLIC
1925-10-20,0,CLIC
1925-10-21,0,CLIC
1925-10-22,0,CLIC
1925-10-23,11.2,CLIC
1925-10-24,8.7,CLIC
1925-10-25,0,CLIC
1925-10-26,0,CLIC
1925-10-27,0,CLIC
1925-10-28,0,CLIC
1925-10-29,3.7,CLIC
1925-10-30,0,CLIC
1925-10-31,0,CLIC
1925-11-01,0,CLIC
1925-11-02,0,CLIC
1925-11-03,0,CLIC
1925-11-04,0,CLIC
1925-11-05,0,CLIC
1925-11-06,0,CLIC
1925-11-07,0,CLIC
1925-11-08,0,CLIC
1925-11-09,0,CLIC
1925-11-10,3,CLIC
1925-11-11,0,CLIC
1925-11-12,0,CLIC
1925-11-13,0,CLIC
1925-11-14,0,CLIC
1925-11-15,0,CLIC
1925-11-16,6,CLIC
1925-11-17,4,CLIC
1925-11-18,16.7,CLIC
1925-11-19,4.2,CLIC
1925-11-20,0,CLIC
1925-11-21,0,CLIC
1925-11-22,0,CLIC
1925-11-23,0,CLIC
1925-11-24,0,CLIC
1925-11-25,0,CLIC
1925-11-26,0,CLIC
1925-11-27,0,CLIC
1925-11-28,0,CLIC
1925-11-29,0,CLIC
1925-11-30,0,CLIC
1925-12-01,0,CLIC
1925-12-02,0,CLIC
1925-12-03,0,CLIC
1925-12-04,0,CLIC
1925-12-05,12,CLIC
1925-12-06,7.5,CLIC
1925-12-07,0,CLIC
1925-12-08,0,CLIC
1925-12-09,0,CLIC
1925-12-10,0,CLIC
1925-12-11,0,CLIC
1925-12-12,0,CLIC
1925-12-13,3.7,CLIC
1925-12-14,22.7,CLIC
1925-12-15,0,CLIC
1925-12-16,2,CLIC
1925-12-17,0,CLIC
1925-12-18,0,CLIC
1925-12-19,0,CLIC
1925-12-20,0,CLIC
1925-12-21,0,CLIC
1925-12-22,0,CLIC
1925-12-23,2.5,CLIC
1925-12-24,2.7,CLIC
1925-12-25,0,CLIC
1925-12-26,12.5,CLIC
1925-12-27,15,CLIC
1925-12-28,17.5,CLIC
1925-12-29,12,CLIC
1925-12-30,0,CLIC
1925-12-31,1.5,CLIC
1927-01-01,0,CLIC
1927-01-02,0,CLIC
1927-01-03,0,CLIC
1927-01-04,0,CLIC
1927-01-05,0,CLIC
1927-01-06,0,CLIC
1927-01-07,0,CLIC
1927-01-08,0,CLIC
1927-01-09,0,CLIC
1927-01-10,0,CLIC
1927-01-11,0,CLIC
1927-01-12,0,CLIC
1927-01-13,0,CLIC
1927-01-14,0,CLIC
1927-01-15,0,CLIC
1927-01-16,0,CLIC
1927-01-17,0,CLIC
1927-01-18,0,CLIC
1927-01-19,0,CLIC
1927-01-20,0,CLIC
1927-01-21,0,CLIC
1927-01-22,0,CLIC
1927-01-23,0,CLIC
1927-01-24,0,CLIC
1927-01-25,0,CLIC
1927-01-26,0,CLIC
1927-01-27,0,CLIC
1927-01-28,0,CLIC
1927-01-29,0,CLIC
1927-01-30,0,CLIC
1927-01-31,0,CLIC
1927-02-01,0,CLIC
1927-02-02,0,CLIC
1927-02-03,0,CLIC
1927-02-04,0,CLIC
1927-02-05,0,CLIC
1927-02-06,0,CLIC
1927-02-07,0,CLIC
1927-02-08,0,CLIC
1927-02-09,0,CLIC
1927-02-10,0,CLIC
1927-02-11,0,CLIC
1927-02-12,0,CLIC
1927-02-13,0,CLIC
1927-02-14,0,CLIC
1927-02-15,0,CLIC
1927-02-16,0,CLIC
1927-02-17,0,CLIC
1927-02-18,0,CLIC
1927-02-19,0,CLIC
1927-02-20,0,CLIC
1927-02-21,0,CLIC
1927-02-22,0,CLIC
1927-02-23,0,CLIC
1927-02-24,0,CLIC
1927-02-25,2.7,CLIC
1927-02-26,0,CLIC
1927-02-27,0,CLIC
1927-02-28,0,CLIC
1927-03-01,0,CLIC
1927-03-02,0,CLIC
1927-03-03,0,CLIC
1927-03-04,0,CLIC
1927-03-05,0,CLIC
1927-03-06,0,CLIC
1927-03-07,0,CLIC
1927-03-08,0,CLIC
1927-03-09,0,CLIC
1927-03-10,0,CLIC
1927-03-11,0,CLIC
1927-03-12,0,CLIC
1927-03-13,0,CLIC
1927-03-14,0,CLIC
1927-03-15,0,CLIC
1927-03-16,0,CLIC
1927-03-17,0,CLIC
1927-03-18,0,CLIC
1927-03-19,0,CLIC
1927-03-20,0,CLIC
1927-03-21,0,CLIC
1927-03-22,0,CLIC
1927-03-23,0,CLIC
1927-03-24,0,CLIC
1927-03-25,0,CLIC
1927-03-26,0,CLIC
1927-03-27,0,CLIC
1927-03-28,0,CLIC
1927-03-29,0,CLIC
1927-03-30,0,CLIC
1927-04-01,4,CLIC
1927-04-02,0,CLIC
1927-04-03,0,CLIC
1927-04-04,0,CLIC
1927-04-05,0,CLIC
1927-04-06,0,CLIC
1927-04-07,0,CLIC
1927-04-08,0,CLIC
1927-04-09,0,CLIC
1927-04-10,0,CLIC
1927-04-11,0,CLIC
1927-04-12,0,CLIC
1927-04-13,0,CLIC
1927-04-14,0,CLIC
1927-04-15,0,CLIC
1927-04-16,0,CLIC
1927-04-17,0,CLIC
1927-04-18,0,CLIC
1927-04-19,0,CLIC
1927-04-20,0,CLIC
1927-04-21,0,CLIC
1927-04-22,0,CLIC
1927-04-23,0,CLIC
1927-04-24,0,CLIC
1927-04-25,0,CLIC
1927-04-26,0,CLIC
1927-04-27,0,CLIC
1927-04-28,0,CLIC
1927-04-29,0,CLIC
1927-04-30,0,CLIC
1927-05-01,0,CLIC
1927-05-02,0,CLIC
1927-05-03,0,CLIC
1927-05-04,0,CLIC
1927-05-05,0,CLIC
1927-05-06,0,CLIC
1927-05-07,0,CLIC
1927-05-08,0,CLIC
1927-05-09,0,CLIC
1927-05-10,1.5,CLIC
1927-05-11,2.7,CLIC
1927-05-12,0,CLIC
1927-05-13,0.5,CLIC
1927-05-14,0,CLIC
