Estación: ,C19009,CASILLAS. RAYONES
1959-09-01,9,CLIC
1959-09-02,9,CLIC
1959-09-03,8,CLIC
1959-09-04,7,CLIC
1959-09-05,7,CLIC
1959-09-06,7,CLIC
1959-09-07,4,CLIC
1959-09-08,3,CLIC
1959-09-09,4.1,CLIC
1959-09-10,2.5,CLIC
1959-09-11,4,CLIC
1959-09-12,5,CLIC
1959-09-13,5,CLIC
1959-09-14,5,CLIC
1959-09-15,7,CLIC
1959-09-16,7,CLIC
1959-09-17,5,CLIC
1959-09-18,5,CLIC
1959-09-19,4.9,CLIC
1959-09-20,6,CLIC
1959-09-21,5,CLIC
1959-09-22,5,CLIC
1959-09-23,5,CLIC
1959-09-24,3,CLIC
1959-09-25,4,CLIC
1959-09-26,2.2,CLIC
1959-09-27,5,CLIC
1959-09-28,3,CLIC
1959-09-29,5,CLIC
1959-09-30,4.8,CLIC
1959-10-01,6,CLIC
1959-10-02,5,CLIC
1959-10-03,4,CLIC
1959-10-04,3.5,CLIC
1959-10-05,3,CLIC
1959-10-06,6,CLIC
1959-10-07,7,CLIC
1959-10-08,5,CLIC
1959-10-09,5,CLIC
1959-10-10,7,CLIC
1959-10-11,4,CLIC
1959-10-12,4,CLIC
1959-10-13,4,CLIC
1959-10-14,3,CLIC
1959-10-15,1,CLIC
1959-10-16,3,CLIC
1959-10-17,3,CLIC
1959-10-18,2.5,CLIC
1959-10-19,3,CLIC
1959-10-20,2,CLIC
1959-10-21,3.5,CLIC
1959-10-22,3.5,CLIC
1959-10-23,4,CLIC
1959-10-24,3,CLIC
1959-10-25,3,CLIC
1959-10-26,4,CLIC
1959-10-27,2.9,CLIC
1959-10-28,5,CLIC
1959-10-29,4,CLIC
1959-10-30,5,CLIC
1959-11-01,3.8,CLIC
1959-11-02,3,CLIC
1959-11-03,3.4,CLIC
1959-11-04,6,CLIC
1959-11-05,4,CLIC
1959-11-06,3,CLIC
1959-11-07,2,CLIC
1959-11-08,3,CLIC
1959-11-09,2,CLIC
1959-11-10,3,CLIC
1959-11-11,3,CLIC
1959-11-12,3,CLIC
1959-11-13,4,CLIC
1959-11-14,2,CLIC
1959-11-15,1,CLIC
1959-11-16,3,CLIC
1959-11-17,2,CLIC
1959-11-18,2,CLIC
1959-11-19,3,CLIC
1959-11-20,3,CLIC
1959-11-21,2,CLIC
1959-11-22,3,CLIC
1959-11-23,3,CLIC
1959-11-24,3,CLIC
1959-11-25,4,CLIC
1959-11-26,2.1,CLIC
1959-11-27,1.9,CLIC
1959-11-28,3,CLIC
1959-11-29,3,CLIC
1959-11-30,2,CLIC
1959-12-01,2.7,CLIC
1959-12-02,1.6,CLIC
1959-12-03,2.5,CLIC
1959-12-04,0.2,CLIC
1959-12-05,3.9,CLIC
1959-12-06,1.8,CLIC
1959-12-07,2.1,CLIC
1959-12-08,2.7,CLIC
1959-12-09,2.3,CLIC
1959-12-10,4.1,CLIC
1959-12-11,4,CLIC
1959-12-12,2.9,CLIC
1959-12-13,2.1,CLIC
1959-12-14,7.1,CLIC
1959-12-15,3,CLIC
1959-12-16,2.9,CLIC
1959-12-17,4,CLIC
1959-12-18,3,CLIC
1959-12-19,1.8,CLIC
1959-12-20,2.2,CLIC
1959-12-21,3.1,CLIC
1959-12-22,1,CLIC
1959-12-23,3.3,CLIC
1959-12-24,2.1,CLIC
1959-12-25,1.9,CLIC
1959-12-26,2.8,CLIC
1959-12-27,3.8,CLIC
1959-12-28,4,CLIC
1959-12-29,1.1,CLIC
1959-12-30,1.2,CLIC
1959-12-31,2,CLIC
1960-01-01,2.8,CLIC
1960-01-02,3.2,CLIC
1960-01-03,2,CLIC
1960-01-04,1.7,CLIC
1960-01-05,4.4,CLIC
1960-01-06,0.6,CLIC
1960-01-07,2.9,CLIC
1960-01-08,1.1,CLIC
1960-01-09,2.1,CLIC
1960-01-10,2.2,CLIC
1960-01-11,3.1,CLIC
1960-01-12,4.2,CLIC
1960-01-13,2.7,CLIC
1960-01-14,4.2,CLIC
1960-01-15,3.1,CLIC
1960-01-16,8.1,CLIC
1960-01-17,5.1,CLIC
1960-01-18,3.8,CLIC
1960-01-19,2.1,CLIC
1960-01-20,1.6,CLIC
1960-01-21,1.4,CLIC
1960-01-22,2.9,CLIC
1960-01-23,1,CLIC
1960-01-24,2.7,CLIC
1960-01-25,3.4,CLIC
1960-01-26,1.8,CLIC
1960-01-27,4.1,CLIC
1960-01-28,3.8,CLIC
1960-01-29,3.1,CLIC
1960-01-30,1.7,CLIC
1960-01-31,2.3,CLIC
1960-03-01,4.1,CLIC
1960-03-02,6.7,CLIC
1960-03-03,1.6,CLIC
1960-03-04,4.8,CLIC
1960-03-05,4.3,CLIC
1960-03-06,5.2,CLIC
1960-03-07,6.2,CLIC
1960-03-08,8.2,CLIC
1960-03-09,8,CLIC
1960-03-10,5.9,CLIC
1960-03-11,3,CLIC
1960-03-12,3.2,CLIC
1960-03-13,3.9,CLIC
1960-03-14,3.1,CLIC
1960-03-15,7.5,CLIC
1960-03-16,6.8,CLIC
1960-03-17,2.7,CLIC
1960-03-18,6,CLIC
1960-03-19,4.8,CLIC
1960-03-20,7.5,CLIC
1960-03-21,7.2,CLIC
1960-03-22,7.4,CLIC
1960-03-23,6,CLIC
1960-03-24,8,CLIC
1960-03-25,4,CLIC
1960-03-26,4.9,CLIC
1960-03-27,4.9,CLIC
1960-03-28,5.6,CLIC
1960-03-29,7.4,CLIC
1960-03-30,6.8,CLIC
1960-03-31,5.2,CLIC
1960-04-01,5.9,CLIC
1960-04-02,5.9,CLIC
1960-04-03,3.2,CLIC
1960-04-04,7,CLIC
1960-04-05,6.9,CLIC
1960-04-06,9.1,CLIC
1960-04-07,9,CLIC
1960-04-08,9.1,CLIC
1960-04-09,8,CLIC
1960-04-10,4,CLIC
1960-04-11,4.9,CLIC
1960-04-12,4.9,CLIC
1960-04-13,6.5,CLIC
1960-04-14,7.4,CLIC
1960-04-15,6.1,CLIC
1960-04-16,7.1,CLIC
1960-04-17,2.6,CLIC
1960-04-18,5.1,CLIC
1960-04-19,6.2,CLIC
1960-04-20,4.2,CLIC
1960-04-21,7,CLIC
1960-04-22,7.1,CLIC
1960-04-23,5.9,CLIC
1960-04-24,2.8,CLIC
1960-04-25,8,CLIC
1960-04-26,6.8,CLIC
1960-04-27,8,CLIC
1960-04-28,9.8,CLIC
1960-04-29,9.3,CLIC
1960-04-30,6.1,CLIC
1960-05-01,0.4,CLIC
1960-05-02,2.9,CLIC
1960-05-03,8,CLIC
1960-05-04,11,CLIC
1960-05-05,2,CLIC
1960-05-06,8,CLIC
1960-05-07,18,CLIC
1960-05-08,7,CLIC
1960-05-09,6,CLIC
1960-05-10,7,CLIC
1960-05-11,2.4,CLIC
1960-05-12,6,CLIC
1960-05-13,11,CLIC
1960-05-14,9,CLIC
1960-05-15,12,CLIC
1960-05-16,9,CLIC
1960-05-17,10,CLIC
1960-05-18,10,CLIC
1960-05-19,2.9,CLIC
1960-05-20,6.5,CLIC
1960-05-21,5.5,CLIC
1960-05-22,4,CLIC
1960-05-23,2.1,CLIC
1960-05-24,1.9,CLIC
1960-05-25,9,CLIC
1960-05-26,7,CLIC
1960-05-27,5,CLIC
1960-05-28,8,CLIC
1960-05-29,9,CLIC
1960-05-30,7,CLIC
1960-05-31,6.5,CLIC
1960-07-01,7,CLIC
1960-07-02,8,CLIC
1960-07-03,7,CLIC
1960-07-04,6,CLIC
1960-07-05,8,CLIC
1960-07-06,5,CLIC
1960-07-07,8,CLIC
1960-07-08,9,CLIC
1960-07-09,10,CLIC
1960-07-10,2.9,CLIC
1960-07-11,3,CLIC
1960-07-12,10,CLIC
1960-07-13,7,CLIC
1960-07-14,2.5,CLIC
1960-07-15,6,CLIC
1960-07-16,4,CLIC
1960-07-17,7,CLIC
1960-07-18,4.5,CLIC
1960-07-19,7.5,CLIC
1960-07-20,8,CLIC
1960-07-21,7,CLIC
1960-07-22,7,CLIC
1960-07-23,11,CLIC
1960-07-24,7,CLIC
1960-07-25,6,CLIC
1960-07-26,3.9,CLIC
1960-07-27,3,CLIC
1960-07-28,8,CLIC
1960-07-29,7,CLIC
1960-07-30,8,CLIC
1960-07-31,6,CLIC
1960-08-01,2,CLIC
1960-08-02,7,CLIC
1960-08-03,8,CLIC
1960-08-04,9,CLIC
1960-08-05,7,CLIC
1960-08-06,4.4,CLIC
1960-08-07,5.4,CLIC
1960-08-08,4.5,CLIC
1960-08-09,4,CLIC
1960-08-10,4,CLIC
1960-08-11,0.5,CLIC
1960-08-12,5.5,CLIC
1960-08-13,2,CLIC
1960-08-14,3.5,CLIC
1960-08-15,5.2,CLIC
1960-08-16,4.8,CLIC
1960-08-17,2.9,CLIC
1960-08-18,6,CLIC
1960-08-19,6,CLIC
1960-08-20,6,CLIC
1960-08-21,6,CLIC
1960-08-22,7,CLIC
1960-08-23,7,CLIC
1960-08-24,9,CLIC
1960-08-25,7,CLIC
1960-08-26,7,CLIC
1960-08-27,5.5,CLIC
1960-08-28,4.5,CLIC
1960-08-29,5,CLIC
1960-08-30,8,CLIC
1960-08-31,6.3,CLIC
1962-04-07,8,CLIC
1962-04-08,11,CLIC
1962-04-09,11.1,CLIC
1962-04-10,8.9,CLIC
1962-04-11,10,CLIC
1962-04-12,3,CLIC
1962-04-13,8.1,CLIC
1962-04-14,6,CLIC
1962-04-15,4.2,CLIC
1962-04-16,6.4,CLIC
1962-04-17,6.6,CLIC
1962-04-18,4.1,CLIC
1962-04-19,5.6,CLIC
1962-04-20,6.3,CLIC
1962-04-21,5.5,CLIC
1962-04-22,4.2,CLIC
1962-04-23,3.9,CLIC
1962-04-24,3,CLIC
1962-04-25,3,CLIC
1962-04-26,5,CLIC
1962-04-27,6,CLIC
1962-04-28,5.6,CLIC
1962-04-29,4.9,CLIC
1962-04-30,4.6,CLIC
1962-05-01,7.9,CLIC
1962-05-02,8.7,CLIC
1962-05-03,7,CLIC
1962-05-04,10,CLIC
1962-05-05,8,CLIC
1962-05-06,10,CLIC
1962-05-07,9,CLIC
1962-05-08,8,CLIC
1962-05-09,9.9,CLIC
1962-05-10,11,CLIC
1962-05-11,12,CLIC
1962-05-12,8,CLIC
1962-05-13,10,CLIC
1962-05-14,10,CLIC
1962-05-15,8.1,CLIC
1962-05-16,9.9,CLIC
1962-05-17,9,CLIC
1962-05-18,7,CLIC
1962-05-19,9,CLIC
1962-05-20,9,CLIC
1962-05-21,10,CLIC
1962-05-22,9,CLIC
1962-05-23,9.9,CLIC
1962-05-24,8,CLIC
1962-05-25,8,CLIC
1962-05-26,13,CLIC
1962-05-27,11,CLIC
1962-05-28,9,CLIC
1962-05-29,10,CLIC
1962-05-30,9.9,CLIC
1962-05-31,8,CLIC
1962-06-01,10,CLIC
1962-06-02,7,CLIC
1962-06-03,10,CLIC
1962-06-04,10,CLIC
1962-06-05,10,CLIC
1962-06-06,11,CLIC
1962-06-07,7.5,CLIC
1962-06-08,8.5,CLIC
1962-06-09,5,CLIC
1962-06-10,9,CLIC
1962-06-11,10,CLIC
1962-06-12,11,CLIC
1962-06-13,8,CLIC
1962-06-14,7.9,CLIC
1962-06-15,8.6,CLIC
1962-06-16,6.1,CLIC
1962-06-17,8.4,CLIC
1962-06-18,8.5,CLIC
1962-06-19,9,CLIC
1962-06-20,9,CLIC
1962-06-21,11,CLIC
1962-06-22,5.5,CLIC
1962-06-23,7,CLIC
1962-06-24,9.3,CLIC
1962-06-25,6.7,CLIC
1962-06-26,6,CLIC
1962-06-27,4,CLIC
1962-06-28,3.5,CLIC
1962-06-29,7,CLIC
1962-06-30,5.6,CLIC
1962-07-01,5,CLIC
1962-07-02,8,CLIC
1962-07-03,8,CLIC
1962-07-04,9,CLIC
1962-07-05,9,CLIC
1962-07-06,10,CLIC
1962-07-07,10,CLIC
1962-07-08,9.9,CLIC
1962-07-09,8,CLIC
1962-07-10,11,CLIC
1962-07-11,11,CLIC
1962-07-12,10,CLIC
1962-07-13,11,CLIC
1962-07-14,9,CLIC
1962-07-15,9.9,CLIC
1962-07-16,10,CLIC
1962-07-17,11,CLIC
1962-07-18,10,CLIC
1962-07-19,11,CLIC
1962-07-20,10,CLIC
1962-07-21,8,CLIC
1962-07-22,7.7,CLIC
1962-07-23,9.2,CLIC
1962-07-24,10,CLIC
1962-07-25,11,CLIC
1962-07-26,8.1,CLIC
1962-07-27,9.9,CLIC
1962-07-28,11,CLIC
1962-07-29,9.9,CLIC
1962-07-30,8.3,CLIC
1962-07-31,7.4,CLIC
1962-08-01,8,CLIC
1962-08-02,9,CLIC
1962-08-03,10,CLIC
1962-08-04,9,CLIC
1962-08-05,10,CLIC
1962-08-06,9.9,CLIC
1962-08-07,6.9,CLIC
1962-08-08,12,CLIC
1962-08-09,9,CLIC
1962-08-10,12,CLIC
1962-08-11,10,CLIC
1962-08-12,10,CLIC
1962-08-13,9,CLIC
1962-08-14,7.6,CLIC
1962-08-15,11.3,CLIC
1962-08-16,11,CLIC
1962-08-17,11,CLIC
1962-08-18,8,CLIC
1962-08-19,10,CLIC
1962-08-20,9,CLIC
1962-08-21,10.9,CLIC
1962-08-22,7,CLIC
1962-08-23,9,CLIC
1962-08-24,8,CLIC
1962-08-25,4,CLIC
1962-08-26,9,CLIC
1962-08-27,9,CLIC
1962-08-28,10,CLIC
1962-08-29,9.9,CLIC
1962-08-30,7,CLIC
1962-08-31,7.3,CLIC
1962-11-01,6,CLIC
1962-11-02,7,CLIC
1962-11-03,7,CLIC
1962-11-04,4,CLIC
1962-11-05,7,CLIC
1962-11-06,7,CLIC
1962-11-07,6,CLIC
1962-11-08,8,CLIC
1962-11-09,6.9,CLIC
1962-11-10,5,CLIC
1962-11-11,5,CLIC
1962-11-12,4,CLIC
1962-11-13,3.9,CLIC
1962-11-14,2.1,CLIC
1962-11-15,4.9,CLIC
1962-11-16,5.1,CLIC
1962-11-17,3.8,CLIC
1962-11-18,4.2,CLIC
1962-11-19,3.3,CLIC
1962-11-20,6.5,CLIC
1962-11-21,2.2,CLIC
1962-11-22,4.9,CLIC
1962-11-23,3.1,CLIC
1962-11-24,4.7,CLIC
1962-11-25,5.9,CLIC
1962-11-26,2.1,CLIC
1962-11-27,5.7,CLIC
1962-11-28,3.4,CLIC
1962-11-29,3.2,CLIC
1962-11-30,2.9,CLIC
1962-12-01,5.1,CLIC
1962-12-02,5.9,CLIC
1962-12-03,7,CLIC
1962-12-04,6,CLIC
1962-12-05,4.6,CLIC
1962-12-06,5.3,CLIC
1962-12-07,4.9,CLIC
1962-12-08,4.1,CLIC
1962-12-09,5,CLIC
1962-12-10,5,CLIC
1962-12-11,4.9,CLIC
1962-12-12,4,CLIC
1962-12-13,5,CLIC
1962-12-14,5,CLIC
1962-12-15,6,CLIC
1962-12-16,6,CLIC
1962-12-17,6,CLIC
1962-12-18,6,CLIC
1962-12-19,4.9,CLIC
1962-12-20,5,CLIC
1962-12-21,6,CLIC
1962-12-22,5,CLIC
1962-12-23,5.5,CLIC
1962-12-24,5,CLIC
1962-12-25,5,CLIC
1962-12-26,5,CLIC
1962-12-27,2.5,CLIC
1962-12-28,5,CLIC
1962-12-29,3.3,CLIC
1962-12-30,3.7,CLIC
1962-12-31,4.9,CLIC
1963-01-01,2.4,CLIC
1963-01-02,7,CLIC
1963-01-03,5,CLIC
1963-01-04,5,CLIC
1963-01-05,5,CLIC
1963-01-06,6,CLIC
1963-01-07,4,CLIC
1963-01-08,6,CLIC
1963-01-09,6,CLIC
1963-01-10,7,CLIC
1963-01-11,4.9,CLIC
1963-01-12,3,CLIC
1963-01-13,5,CLIC
1963-01-14,4,CLIC
1963-01-15,5,CLIC
1963-01-16,5,CLIC
1963-01-17,6,CLIC
1963-01-18,5,CLIC
1963-01-19,6,CLIC
1963-01-20,5,CLIC
1963-01-21,5,CLIC
1963-01-22,3.9,CLIC
1963-01-23,1,CLIC
1963-01-24,5,CLIC
1963-01-25,6,CLIC
1963-01-26,6,CLIC
1963-01-27,6,CLIC
1963-01-28,5.1,CLIC
1963-01-29,6,CLIC
1963-01-30,4.7,CLIC
1963-01-31,5.7,CLIC
1963-02-01,5,CLIC
1963-02-02,7,CLIC
1963-02-03,5,CLIC
1963-02-04,6,CLIC
1963-02-05,6.9,CLIC
1963-02-06,6.1,CLIC
1963-02-07,6.9,CLIC
1963-02-08,5,CLIC
1963-02-09,8,CLIC
1963-02-10,5.2,CLIC
1963-02-11,4.9,CLIC
1963-02-12,3,CLIC
1963-02-13,5.1,CLIC
1963-02-14,5,CLIC
1963-02-15,5,CLIC
1963-02-16,5.9,CLIC
1963-02-17,11,CLIC
1963-02-18,6,CLIC
1963-02-19,6,CLIC
1963-02-20,5,CLIC
1963-02-21,4,CLIC
1963-02-22,7,CLIC
1963-02-23,6,CLIC
1963-02-24,5,CLIC
1963-02-25,6,CLIC
1963-02-26,6.1,CLIC
1963-02-27,5,CLIC
1963-02-28,6.5,CLIC
1963-03-01,5.9,CLIC
1963-03-02,7,CLIC
1963-03-03,7.1,CLIC
1963-03-04,7,CLIC
1963-03-05,7,CLIC
1963-03-06,7.1,CLIC
1963-03-07,7,CLIC
1963-03-08,7.1,CLIC
1963-03-09,4,CLIC
1963-03-10,3,CLIC
1963-03-11,8,CLIC
1963-03-12,7,CLIC
1963-03-13,6.9,CLIC
1963-03-14,8,CLIC
1963-03-15,7,CLIC
1963-03-16,6.8,CLIC
1963-03-17,6.1,CLIC
1963-03-18,7,CLIC
1963-03-19,6.9,CLIC
1963-03-20,6.2,CLIC
1963-03-21,7,CLIC
1963-03-22,5.9,CLIC
1963-03-23,5.1,CLIC
1963-03-24,8,CLIC
1963-03-25,8,CLIC
1963-03-26,6.9,CLIC
1963-03-27,7.1,CLIC
1963-03-28,2.9,CLIC
1963-03-29,7.1,CLIC
1963-03-30,7.9,CLIC
1963-03-31,6.9,CLIC
1963-05-01,4.5,CLIC
1963-05-02,2.9,CLIC
1963-05-03,5.4,CLIC
1963-05-04,3,CLIC
1963-05-05,4.9,CLIC
1963-05-06,3.4,CLIC
1963-05-07,0.6,CLIC
1963-05-08,2.6,CLIC
1963-05-09,5.1,CLIC
1963-05-10,4.7,CLIC
1963-05-11,5.3,CLIC
1963-05-12,5.8,CLIC
1963-05-13,1,CLIC
1963-05-14,8,CLIC
1963-05-15,11,CLIC
1963-05-16,6,CLIC
1963-05-17,7,CLIC
1963-05-18,4,CLIC
1963-05-19,2.3,CLIC
1963-05-20,5.3,CLIC
1963-05-21,5.9,CLIC
1963-05-22,1.8,CLIC
1963-05-23,6.2,CLIC
1963-05-24,7,CLIC
1963-05-25,9,CLIC
1963-05-26,10,CLIC
1963-05-27,8.9,CLIC
1963-05-28,6.1,CLIC
1963-05-29,5.8,CLIC
1963-05-30,1,CLIC
1963-05-31,6.9,CLIC
1966-05-01,4.8,CLIC
1966-05-02,4.8,CLIC
1966-05-03,4.2,CLIC
1966-05-04,3.2,CLIC
1966-05-05,3.7,CLIC
1966-05-06,5.3,CLIC
1966-05-07,5.9,CLIC
1966-05-08,6.2,CLIC
1966-05-09,5.1,CLIC
1966-05-10,4.7,CLIC
1966-05-11,4.2,CLIC
1966-05-12,5.1,CLIC
1966-05-13,4.9,CLIC
1966-05-14,3.5,CLIC
1966-05-15,5.5,CLIC
1966-05-16,4.2,CLIC
1966-05-17,4.9,CLIC
1966-05-18,4.9,CLIC
1966-05-19,5.1,CLIC
1966-05-20,4.9,CLIC
1966-05-21,5.9,CLIC
1966-05-22,4.8,CLIC
1966-05-23,3.6,CLIC
1966-05-24,4.5,CLIC
1966-05-25,4.1,CLIC
1966-05-26,2.1,CLIC
1966-05-27,1.9,CLIC
1966-05-28,3.1,CLIC
1966-05-29,3.9,CLIC
1966-05-30,2,CLIC
1966-05-31,2.8,CLIC
1966-09-01,3.8,CLIC
1966-09-02,2.8,CLIC
1966-09-03,4.2,CLIC
1966-09-04,4.2,CLIC
1966-09-05,3.7,CLIC
1966-09-06,4.2,CLIC
1966-09-07,4.9,CLIC
1966-09-08,3.2,CLIC
1966-09-09,5.9,CLIC
1966-09-10,4,CLIC
1966-09-11,7.9,CLIC
1966-09-12,3.2,CLIC
1966-09-13,5.2,CLIC
1966-09-14,3.1,CLIC
1966-09-15,3.9,CLIC
1966-09-16,3.8,CLIC
1966-09-17,3.7,CLIC
1966-09-18,3.3,CLIC
1966-09-19,3.9,CLIC
1966-09-20,4,CLIC
1966-09-21,4.9,CLIC
1966-09-22,3.9,CLIC
1966-09-23,4.3,CLIC
1966-09-24,5.8,CLIC
1966-09-25,2.9,CLIC
1966-09-26,2.9,CLIC
1966-09-27,4,CLIC
1966-09-28,4.9,CLIC
1966-09-29,4.1,CLIC
1966-09-30,4.2,CLIC
1966-10-01,4.9,CLIC
1966-10-02,4.2,CLIC
1966-10-03,4.8,CLIC
1966-10-04,4.1,CLIC
1966-10-05,4.9,CLIC
1966-10-06,5,CLIC
1966-10-07,4.1,CLIC
1966-10-08,5.1,CLIC
1966-10-09,2.4,CLIC
1966-10-10,2.9,CLIC
1966-10-11,3.3,CLIC
1966-10-12,4.7,CLIC
1966-10-13,3.2,CLIC
1966-10-14,2.4,CLIC
1966-10-15,2,CLIC
1966-10-16,4.2,CLIC
1966-10-17,3.7,CLIC
1966-10-18,3.7,CLIC
1966-10-19,3.9,CLIC
1966-10-20,3.9,CLIC
1966-10-21,4.2,CLIC
1966-10-22,4.1,CLIC
1966-10-23,4.1,CLIC
1966-10-24,4.8,CLIC
1966-10-25,3.2,CLIC
1966-10-26,3.9,CLIC
1966-10-27,4.9,CLIC
1966-10-28,2.2,CLIC
1966-10-29,3.2,CLIC
1966-10-30,3.1,CLIC
1966-10-31,3.2,CLIC
1966-11-01,5.6,CLIC
1966-11-02,4.8,CLIC
1966-11-03,2.8,CLIC
1966-11-04,2.2,CLIC
1966-11-05,3.7,CLIC
1966-11-06,5.2,CLIC
1966-11-07,3.3,CLIC
1966-11-08,1.9,CLIC
1966-11-09,3.7,CLIC
1966-11-10,3.2,CLIC
1966-11-11,4,CLIC
1966-11-12,4.1,CLIC
1966-11-13,2.7,CLIC
1966-11-14,3.3,CLIC
1966-11-15,4.1,CLIC
1966-11-16,2,CLIC
1966-11-17,3.9,CLIC
1966-11-18,5.1,CLIC
1966-11-19,4.1,CLIC
1966-11-20,3.7,CLIC
1966-11-21,3.2,CLIC
1966-11-22,3.9,CLIC
1966-11-23,2.9,CLIC
1966-11-24,3,CLIC
1966-11-25,3.1,CLIC
1966-11-26,4.4,CLIC
1966-11-27,3.1,CLIC
1966-11-28,4,CLIC
1966-11-29,3.9,CLIC
1966-11-30,3,CLIC
1966-12-01,2.8,CLIC
1966-12-02,2.9,CLIC
1966-12-03,3.1,CLIC
1966-12-04,1.2,CLIC
1966-12-05,1.9,CLIC
1966-12-06,2,CLIC
1966-12-07,1.9,CLIC
1966-12-08,2.2,CLIC
1966-12-09,1.9,CLIC
1966-12-10,1.5,CLIC
1966-12-11,2.6,CLIC
1966-12-12,2.1,CLIC
1966-12-13,1.5,CLIC
1966-12-14,2,CLIC
1966-12-15,1.5,CLIC
1966-12-16,1.9,CLIC
1966-12-17,2.8,CLIC
1966-12-18,2.8,CLIC
1966-12-19,2.9,CLIC
1966-12-20,0.9,CLIC
1966-12-21,1.9,CLIC
1966-12-22,3.3,CLIC
1966-12-23,3,CLIC
1966-12-24,3.1,CLIC
1966-12-25,4,CLIC
1966-12-26,1.3,CLIC
1966-12-27,2.6,CLIC
1966-12-28,2.3,CLIC
1966-12-29,2.1,CLIC
1966-12-30,2.1,CLIC
1966-12-31,3,CLIC
1967-05-01,9.8,CLIC
1967-05-02,4.7,CLIC
1967-05-03,7,CLIC
1967-05-04,7.8,CLIC
1967-05-05,8.2,CLIC
1967-05-06,9.9,CLIC
1967-05-07,11.1,CLIC
1967-05-08,10,CLIC
1967-05-09,7.7,CLIC
1967-05-10,11.1,CLIC
1967-05-11,8.1,CLIC
1967-05-12,8.9,CLIC
1967-05-13,9.2,CLIC
1967-05-14,8.8,CLIC
1967-05-15,7.1,CLIC
1967-05-16,5.9,CLIC
1967-05-17,7.1,CLIC
1967-05-18,8.8,CLIC
1967-05-19,9.2,CLIC
1967-05-20,7.2,CLIC
1967-05-21,5.3,CLIC
1967-05-22,10.3,CLIC
1967-05-23,11.3,CLIC
1967-05-24,7.7,CLIC
1967-05-25,11.1,CLIC
1967-05-26,8.1,CLIC
1967-05-27,8.9,CLIC
1967-05-28,5.5,CLIC
1967-05-29,8.3,CLIC
1967-05-30,7.6,CLIC
1967-05-31,6.8,CLIC
1967-06-01,9.5,CLIC
1967-06-02,10.1,CLIC
1967-06-03,9.2,CLIC
1967-06-04,8,CLIC
1967-06-05,7.2,CLIC
1967-06-06,7.3,CLIC
1967-06-07,7.3,CLIC
1967-06-08,6,CLIC
1967-06-09,8.4,CLIC
1967-06-10,7.9,CLIC
1967-06-11,4.1,CLIC
1967-06-12,6,CLIC
