Estación: ,C19094,E.T.A. 43. LINARES
1975-05-03,4.4,CLIC
1975-05-04,6.7,CLIC
1975-05-05,5.6,CLIC
1975-05-06,7.9,CLIC
1975-05-07,11.3,CLIC
1975-05-08,13.1,CLIC
1975-05-09,7.6,CLIC
1975-05-10,3.3,CLIC
1975-05-11,6.4,CLIC
1975-05-12,1.3,CLIC
1975-05-13,3.6,CLIC
1975-05-14,4.7,CLIC
1975-05-15,4,CLIC
1975-05-16,4.9,CLIC
1975-05-17,4.6,CLIC
1975-05-18,7.4,CLIC
1975-05-19,6.4,CLIC
1975-05-20,9.9,CLIC
1975-05-21,4.9,CLIC
1975-05-22,7.4,CLIC
1975-05-23,5.4,CLIC
1975-05-24,6.4,CLIC
1975-05-25,6.5,CLIC
1975-05-26,7.7,CLIC
1975-05-27,7.1,CLIC
1975-05-28,6.9,CLIC
1975-05-29,4.4,CLIC
1975-05-30,6.9,CLIC
1975-05-31,5.2,CLIC
1975-06-01,6.1,CLIC
1975-06-02,7.6,CLIC
1975-06-03,7.2,CLIC
1975-06-04,9.5,CLIC
1975-06-05,8.2,CLIC
1975-06-06,4,CLIC
1975-06-07,4.1,CLIC
1975-06-08,2.8,CLIC
1975-06-09,1.8,CLIC
1975-06-10,6.9,CLIC
1975-06-11,7.7,CLIC
1975-06-12,7.8,CLIC
1975-06-13,5.6,CLIC
1975-06-14,7.6,CLIC
1975-06-15,8.2,CLIC
1975-06-16,7.1,CLIC
1975-06-17,7.9,CLIC
1975-06-18,11,CLIC
1975-06-19,9.8,CLIC
1975-06-20,8,CLIC
1975-06-21,4.5,CLIC
1975-06-22,1.9,CLIC
1975-06-23,6.2,CLIC
1975-06-24,7.5,CLIC
1975-06-25,8.7,CLIC
1975-06-26,7.2,CLIC
1975-06-27,13.7,CLIC
1975-06-28,7.8,CLIC
1975-06-29,6.5,CLIC
1975-06-30,7.8,CLIC
1975-07-01,8,CLIC
1975-07-02,7.8,CLIC
1975-07-03,11.1,CLIC
1975-07-04,8.1,CLIC
1975-07-05,9.1,CLIC
1975-07-06,8.1,CLIC
1975-07-07,9.1,CLIC
1975-07-08,5.5,CLIC
1975-07-09,10.8,CLIC
1975-07-10,12.2,CLIC
1975-07-11,8.6,CLIC
1975-07-12,9.9,CLIC
1975-07-13,8.5,CLIC
1975-07-14,6,CLIC
1975-07-15,1.5,CLIC
1975-07-16,4.1,CLIC
1975-07-17,1.1,CLIC
1975-07-18,7.8,CLIC
1975-07-19,7.3,CLIC
1975-07-20,6.8,CLIC
1975-07-21,7.2,CLIC
1975-07-22,8,CLIC
1975-07-23,8.8,CLIC
1975-07-24,7.2,CLIC
1975-07-25,4.6,CLIC
1975-07-26,5.5,CLIC
1975-07-27,2.4,CLIC
1975-07-28,5.1,CLIC
1975-07-29,6.5,CLIC
1975-07-30,7.4,CLIC
1975-07-31,6.5,CLIC
1975-08-01,6.7,CLIC
1975-08-02,5.7,CLIC
1975-08-03,4.2,CLIC
1975-08-04,6.1,CLIC
1975-08-05,6.1,CLIC
1975-08-06,4.3,CLIC
1975-08-07,3.3,CLIC
1975-08-08,3.9,CLIC
1975-08-09,3.3,CLIC
1975-08-10,1.4,CLIC
1975-08-11,1.6,CLIC
1975-08-12,5.6,CLIC
1975-08-13,6.5,CLIC
1975-08-14,6.5,CLIC
1975-08-15,6,CLIC
1975-08-16,5.8,CLIC
1975-08-17,5.9,CLIC
1975-08-18,6.5,CLIC
1975-08-19,6,CLIC
1975-08-20,6.5,CLIC
1975-08-21,6.7,CLIC
1975-08-25,5.1,CLIC
1975-08-26,6,CLIC
1975-08-27,6.7,CLIC
1975-08-28,6.3,CLIC
1975-08-29,8.1,CLIC
1975-08-30,6,CLIC
1975-08-31,6.4,CLIC
1975-09-01,3,CLIC
1975-09-02,3.9,CLIC
1975-09-03,5,CLIC
1975-09-04,4.6,CLIC
1975-09-05,3.4,CLIC
1975-09-06,4,CLIC
1975-09-07,4.7,CLIC
1975-09-08,8.6,CLIC
1975-09-09,3.4,CLIC
1975-09-10,2.4,CLIC
1975-09-11,5.1,CLIC
1975-09-12,7.4,CLIC
1975-09-13,6.4,CLIC
1975-09-14,2.7,CLIC
1975-09-15,4.6,CLIC
1975-09-16,4.9,CLIC
1975-09-17,3.9,CLIC
1975-09-18,4.8,CLIC
1975-09-19,5.3,CLIC
1975-09-20,4.3,CLIC
1975-09-21,4.9,CLIC
1975-09-22,4.3,CLIC
1975-09-23,2.6,CLIC
1975-09-24,4.6,CLIC
1975-09-25,4.4,CLIC
1975-09-26,4.1,CLIC
1975-09-27,4.4,CLIC
1975-09-28,4.1,CLIC
1975-09-29,4.1,CLIC
1975-09-30,3.5,CLIC
1975-10-01,5.1,CLIC
1975-10-02,3,CLIC
1975-10-03,1.2,CLIC
1975-10-04,1.4,CLIC
1975-10-05,1,CLIC
1975-10-06,4.2,CLIC
1975-10-07,2.4,CLIC
1975-10-08,4.3,CLIC
1975-10-09,5.5,CLIC
1975-10-10,2.2,CLIC
1975-10-11,3.2,CLIC
1975-10-12,5.3,CLIC
1975-10-13,3.1,CLIC
1975-10-14,5.5,CLIC
1975-10-15,4.9,CLIC
1975-10-16,3.1,CLIC
1975-10-17,6.3,CLIC
1975-10-18,4.3,CLIC
1975-10-19,3.8,CLIC
1975-10-20,1,CLIC
1975-10-21,4.4,CLIC
1975-10-22,1.3,CLIC
1975-10-23,3.8,CLIC
1975-10-24,4.4,CLIC
1975-10-25,3.5,CLIC
1975-10-26,1.5,CLIC
1975-10-27,2,CLIC
1975-10-28,2.5,CLIC
1975-10-29,2.1,CLIC
1975-10-30,3.2,CLIC
1975-10-31,4.3,CLIC
1975-11-01,3,CLIC
1975-11-02,3.4,CLIC
1975-11-03,3.7,CLIC
1975-11-04,4.6,CLIC
1975-11-05,3.8,CLIC
1975-11-06,2.9,CLIC
1975-11-07,3.9,CLIC
1975-11-08,4,CLIC
1975-11-09,4,CLIC
1975-11-10,2.8,CLIC
1975-11-11,3.8,CLIC
1975-11-12,2.9,CLIC
1975-11-13,3.9,CLIC
1975-11-14,3.6,CLIC
1975-11-15,3.3,CLIC
1975-11-16,3.9,CLIC
1975-11-17,3.7,CLIC
1975-11-18,3.7,CLIC
1975-11-19,4.6,CLIC
1975-11-20,5.3,CLIC
1975-11-21,4.1,CLIC
1975-11-22,0.6,CLIC
1975-11-24,3.4,CLIC
1975-11-25,3.2,CLIC
1975-11-26,3.4,CLIC
1975-11-27,3.2,CLIC
1975-11-28,3.4,CLIC
1975-11-29,2.8,CLIC
1975-11-30,4.2,CLIC
1977-12-01,2.5,CLIC
1977-12-02,2.3,CLIC
1977-12-03,3.2,CLIC
1977-12-04,4,CLIC
1977-12-05,4.2,CLIC
1977-12-06,0.8,CLIC
1977-12-07,2.5,CLIC
1977-12-08,3.5,CLIC
1977-12-09,1.5,CLIC
1977-12-10,0.6,CLIC
1977-12-11,0.3,CLIC
1977-12-12,1,CLIC
1977-12-13,1.2,CLIC
1977-12-14,2.3,CLIC
1977-12-15,2.3,CLIC
1977-12-16,2.5,CLIC
1977-12-17,2.3,CLIC
1977-12-18,4.4,CLIC
1977-12-19,3.1,CLIC
1977-12-20,3.8,CLIC
1977-12-21,2.1,CLIC
1977-12-22,3.5,CLIC
1977-12-23,1.3,CLIC
1977-12-24,2.3,CLIC
1977-12-25,3.4,CLIC
1977-12-26,1.8,CLIC
1977-12-27,1.7,CLIC
1977-12-28,0.7,CLIC
1977-12-29,1.1,CLIC
1977-12-30,2.4,CLIC
1977-12-31,0.7,CLIC
