Estación: ,C19259,LAS ENRAMADAS II
2008-10-20,3.34,CLIC
2008-10-21,2.88,CLIC
2008-10-22,4.97,CLIC
2008-10-23,3.79,CLIC
2008-10-24,2.22,CLIC
2008-10-25,2.12,CLIC
2008-10-26,2.51,CLIC
2008-10-27,3.68,CLIC
2008-10-28,3.35,CLIC
2008-10-29,2.66,CLIC
2008-10-30,2.71,CLIC
2008-10-31,2.4,CLIC
2008-11-01,2.67,CLIC
2008-11-02,2.65,CLIC
2008-11-03,2.34,CLIC
2008-11-04,3.11,CLIC
2008-11-05,3.02,CLIC
2008-11-06,3.96,CLIC
2008-11-07,1.83,CLIC
2008-11-08,3.15,CLIC
2008-11-09,1.06,CLIC
2008-11-10,3.46,CLIC
2008-11-11,2.04,CLIC
2008-11-12,3.4,CLIC
2008-11-13,0.44,CLIC
2008-11-14,4.88,CLIC
2008-11-15,4.82,CLIC
2008-11-16,3.03,CLIC
2008-11-17,2.32,CLIC
2008-11-18,2.51,CLIC
2008-11-19,1.01,CLIC
2008-11-20,4.47,CLIC
2008-11-21,0.38,CLIC
2008-11-22,0.58,CLIC
2008-11-23,0.29,CLIC
2008-11-24,3.63,CLIC
2008-11-25,2.58,CLIC
2008-11-26,1.99,CLIC
2008-11-27,2.08,CLIC
2008-11-28,1.77,CLIC
2008-11-29,3.3,CLIC
2008-11-30,2.71,CLIC
2009-01-01,2.02,CLIC
2009-01-02,0.96,CLIC
2009-01-03,3.03,CLIC
2009-01-04,2.72,CLIC
2009-01-05,1.7,CLIC
2009-01-06,1.72,CLIC
2009-01-07,2.87,CLIC
2009-01-08,1.78,CLIC
2009-01-09,2.48,CLIC
2009-01-10,5.18,CLIC
2009-01-11,2.7,CLIC
2009-01-12,1.16,CLIC
2009-01-13,3.53,CLIC
2009-01-14,1.89,CLIC
2009-01-15,0.84,CLIC
2009-01-16,1.58,CLIC
2009-01-17,3.94,CLIC
2009-01-18,1,CLIC
2009-01-19,0.9,CLIC
2009-01-20,2.42,CLIC
2009-01-21,3.73,CLIC
2009-01-22,2.24,CLIC
2009-01-23,2.71,CLIC
2009-01-24,4.02,CLIC
2009-01-25,1.91,CLIC
2009-01-26,2.97,CLIC
2009-01-27,4.22,CLIC
2009-01-28,1.02,CLIC
2009-01-29,3.5,CLIC
2009-01-30,2.73,CLIC
2009-01-31,2.24,CLIC
2009-02-01,4.13,CLIC
2009-02-02,4.64,CLIC
2009-02-03,2.55,CLIC
2009-02-04,3.98,CLIC
2009-02-05,4.99,CLIC
2009-02-06,5.14,CLIC
2009-02-07,3.62,CLIC
2009-02-08,3.69,CLIC
2009-02-09,3.92,CLIC
2009-02-10,5.46,CLIC
2009-02-11,3.63,CLIC
2009-02-12,4.4,CLIC
2009-02-13,2.64,CLIC
2009-02-14,4.98,CLIC
2009-02-15,2.87,CLIC
2009-02-16,0.05,CLIC
2009-02-17,1.08,CLIC
2009-02-18,2.98,CLIC
2009-02-19,3.92,CLIC
2009-02-20,2.13,CLIC
2009-02-21,4.86,CLIC
2009-02-22,4.24,CLIC
2009-02-23,2.91,CLIC
2009-02-24,3.87,CLIC
2009-02-25,4.07,CLIC
2009-02-26,4.39,CLIC
2009-02-27,4.13,CLIC
2009-02-28,6.68,CLIC
2009-03-01,4.65,CLIC
2009-03-02,2.78,CLIC
2009-03-03,4.27,CLIC
2009-03-04,3.13,CLIC
2009-03-05,3.89,CLIC
2009-03-06,6.52,CLIC
2009-03-07,2.83,CLIC
2009-03-08,4.09,CLIC
2009-03-09,3.2,CLIC
2009-03-10,5.55,CLIC
2009-03-11,6.41,CLIC
2009-03-12,0.67,CLIC
2009-03-13,0.47,CLIC
2009-03-14,2.2,CLIC
2009-03-15,0.61,CLIC
2009-03-16,4.18,CLIC
2009-03-17,0.26,CLIC
2009-03-18,0.98,CLIC
2009-03-19,5.73,CLIC
2009-03-20,5.95,CLIC
2009-03-21,2.34,CLIC
2009-03-22,5.09,CLIC
2009-03-23,5.28,CLIC
2009-03-24,4.62,CLIC
2009-03-25,4.01,CLIC
2009-03-26,6.47,CLIC
2009-03-27,8.97,CLIC
2009-03-28,5.36,CLIC
2009-03-29,5.61,CLIC
2009-03-30,3.63,CLIC
2009-03-31,8.36,CLIC
2009-04-01,5.5,CLIC
2009-04-02,8.71,CLIC
2009-04-03,6.5,CLIC
2009-04-04,4.64,CLIC
2009-04-05,10.21,CLIC
2009-04-06,4.56,CLIC
2009-04-07,6.51,CLIC
2009-04-08,5.07,CLIC
2009-04-09,4.66,CLIC
2009-04-10,4.25,CLIC
2009-04-11,4.33,CLIC
2009-04-12,7.72,CLIC
2009-04-13,8.23,CLIC
2009-04-14,6.07,CLIC
2009-04-15,4.8,CLIC
2009-04-16,5.42,CLIC
2009-04-17,6.93,CLIC
2009-04-18,3.53,CLIC
2009-04-19,5.27,CLIC
2009-04-20,3.66,CLIC
2009-04-21,6.19,CLIC
2009-04-22,7.43,CLIC
2009-04-23,5.36,CLIC
2009-04-24,6.38,CLIC
2009-04-25,5.76,CLIC
2009-04-26,6.9,CLIC
2009-04-27,6.98,CLIC
2009-04-28,5.52,CLIC
2009-04-29,6.51,CLIC
2009-04-30,7.85,CLIC
2009-05-01,4.31,CLIC
2009-05-02,6.88,CLIC
2009-05-03,7.65,CLIC
2009-05-04,5.81,CLIC
2009-05-05,7.79,CLIC
2009-05-06,7.28,CLIC
2009-05-07,7.98,CLIC
2009-05-08,9.44,CLIC
2009-05-09,6.71,CLIC
2009-05-10,7.38,CLIC
2009-05-11,7.98,CLIC
2009-05-12,6.46,CLIC
2009-05-13,8.37,CLIC
2009-05-14,7.01,CLIC
2009-05-15,4.37,CLIC
2009-05-16,5.59,CLIC
2009-05-17,4.76,CLIC
2009-05-18,7.5,CLIC
2009-05-19,5.73,CLIC
2009-05-20,6.17,CLIC
2009-05-21,5.05,CLIC
2009-05-22,4.01,CLIC
2009-05-23,7.31,CLIC
2009-05-24,4.67,CLIC
2009-05-25,6.74,CLIC
2009-05-26,5.53,CLIC
2009-05-27,9.72,CLIC
2009-05-28,5.02,CLIC
2009-05-29,4.3,CLIC
2009-05-30,5.88,CLIC
2009-05-31,3.1,CLIC
2009-06-01,9.88,CLIC
2009-06-02,3.19,CLIC
2009-06-03,7.5,CLIC
2009-06-04,7.19,CLIC
2009-06-05,6.28,CLIC
2009-06-06,7.74,CLIC
2009-06-07,9.2,CLIC
2009-06-08,6.82,CLIC
2009-06-09,7.39,CLIC
2009-06-10,6.46,CLIC
2009-06-11,5.45,CLIC
2009-06-12,8.9,CLIC
2009-06-13,9.37,CLIC
2009-06-14,8.11,CLIC
2009-06-15,6.96,CLIC
2009-06-16,12.4,CLIC
2009-06-17,8.79,CLIC
2009-06-18,10.25,CLIC
2009-06-19,9.52,CLIC
2009-06-20,7.58,CLIC
2009-06-21,9.41,CLIC
2009-06-22,8.72,CLIC
2009-06-23,3.48,CLIC
2009-06-24,1.18,CLIC
2009-06-25,6.49,CLIC
2009-06-26,6.26,CLIC
2009-06-27,9.4,CLIC
2009-06-28,6.34,CLIC
2009-06-29,7.14,CLIC
2009-06-30,6.87,CLIC
2009-07-01,6.82,CLIC
2009-07-02,7.65,CLIC
2009-07-03,10.13,CLIC
2009-07-04,12.08,CLIC
2009-07-05,10.29,CLIC
2009-07-06,10.19,CLIC
2009-07-07,4.24,CLIC
2009-07-08,9.71,CLIC
2009-07-09,8.29,CLIC
2009-07-10,8.61,CLIC
2009-07-11,8.85,CLIC
2009-07-12,9.14,CLIC
2009-07-13,9.07,CLIC
2009-07-14,9.83,CLIC
2009-07-15,9.13,CLIC
2009-07-16,9.15,CLIC
2009-07-17,7.85,CLIC
2009-07-18,7.22,CLIC
2009-07-19,8.59,CLIC
2009-07-20,8.47,CLIC
2009-07-21,10.05,CLIC
2009-07-22,9.72,CLIC
2009-07-23,8.2,CLIC
2009-07-24,10.6,CLIC
2009-07-25,8.35,CLIC
2009-07-26,9.43,CLIC
2009-07-27,8.62,CLIC
2009-07-28,9.62,CLIC
2009-07-29,8.23,CLIC
2009-07-30,9.58,CLIC
2009-07-31,6.13,CLIC
2009-08-01,11.06,CLIC
2009-08-02,10.63,CLIC
2009-08-03,8.22,CLIC
2009-08-04,8.01,CLIC
2009-08-05,9.04,CLIC
2009-08-06,9.5,CLIC
2009-08-07,8.03,CLIC
2009-08-08,1.3,CLIC
2009-08-09,8.14,CLIC
2009-08-10,10.43,CLIC
2009-08-11,9.48,CLIC
2009-08-12,8.69,CLIC
2009-08-13,8.19,CLIC
2009-08-14,8.11,CLIC
2009-08-15,8.5,CLIC
2009-08-16,9.29,CLIC
2009-08-17,10,CLIC
2009-08-18,10.11,CLIC
2009-08-19,8.76,CLIC
2009-08-20,10.66,CLIC
2009-08-21,6.77,CLIC
2009-08-22,9.14,CLIC
2009-08-23,9.27,CLIC
2009-08-24,9.08,CLIC
2009-08-25,8.03,CLIC
2009-08-26,8.08,CLIC
2009-08-27,6.82,CLIC
2009-08-28,4.36,CLIC
2009-08-29,6.62,CLIC
2009-08-30,4.36,CLIC
2009-08-31,3.03,CLIC
2009-09-01,3.31,CLIC
2009-09-02,2.75,CLIC
2009-09-03,2.3,CLIC
2009-09-04,1.26,CLIC
2009-09-05,3.84,CLIC
2009-09-06,4.56,CLIC
2009-09-07,4.41,CLIC
2009-09-08,4.91,CLIC
2009-09-09,4.55,CLIC
2009-09-10,2.12,CLIC
2009-09-11,4.62,CLIC
2009-09-12,3.34,CLIC
2009-09-13,2.74,CLIC
2009-09-14,6.81,CLIC
2009-09-15,5.53,CLIC
2009-09-16,4.59,CLIC
2009-09-17,4.96,CLIC
2009-09-18,5,CLIC
2009-09-19,5.41,CLIC
2009-09-20,2.62,CLIC
2009-09-21,5.56,CLIC
2009-09-22,1.62,CLIC
2009-09-23,1.69,CLIC
2009-09-24,1.16,CLIC
2009-09-25,2.37,CLIC
2009-09-26,2.45,CLIC
2009-09-27,5.44,CLIC
2009-09-28,3.78,CLIC
2009-09-29,3.13,CLIC
2009-09-30,6.08,CLIC
2009-10-01,4.67,CLIC
2009-10-02,3.23,CLIC
2009-10-03,2.49,CLIC
2009-10-04,3.68,CLIC
2009-10-05,4.72,CLIC
2009-10-06,5.73,CLIC
2009-10-07,5.21,CLIC
2009-10-08,9.35,CLIC
2009-10-09,1.33,CLIC
2009-10-10,2.01,CLIC
2009-10-11,0.19,CLIC
2009-10-12,2.21,CLIC
2009-10-13,2.94,CLIC
2009-10-14,3.05,CLIC
2009-10-15,3.47,CLIC
2009-10-16,10.42,CLIC
2009-10-17,3.7,CLIC
2009-10-18,3.16,CLIC
2009-10-19,4.51,CLIC
2009-10-20,1.46,CLIC
2009-10-21,3.23,CLIC
2009-10-22,4.89,CLIC
2009-10-23,3.46,CLIC
2009-10-24,0.01,CLIC
2009-10-25,2.25,CLIC
2009-10-26,2.48,CLIC
2009-10-27,2.93,CLIC
2009-10-28,4.66,CLIC
2009-10-29,7.36,CLIC
2009-10-30,2.96,CLIC
2009-10-31,4.52,CLIC
2009-11-01,2.96,CLIC
2009-11-02,2.85,CLIC
2009-11-03,2.75,CLIC
2009-11-04,3.58,CLIC
2009-11-05,2.76,CLIC
2009-11-06,3.59,CLIC
2009-11-07,3.51,CLIC
2009-11-08,2.9,CLIC
2009-11-09,3.49,CLIC
2009-11-10,4.4,CLIC
2009-11-11,2.6,CLIC
2009-11-12,4.21,CLIC
2009-11-13,2.94,CLIC
2009-11-14,2.81,CLIC
2009-11-15,2.73,CLIC
2009-11-16,7.06,CLIC
2009-11-17,1.5,CLIC
2009-11-18,2.55,CLIC
2009-11-19,1.7,CLIC
2009-11-20,4.93,CLIC
2009-11-21,1.37,CLIC
2009-11-22,2.2,CLIC
2009-11-23,1.14,CLIC
2009-11-24,1.43,CLIC
2009-11-25,1.76,CLIC
2009-11-26,2.13,CLIC
2009-11-27,1.29,CLIC
2009-11-28,2.26,CLIC
2009-11-29,2.95,CLIC
2009-11-30,5.45,CLIC
2010-01-02,2.77,CLIC
2010-01-03,1.62,CLIC
2010-01-04,1.2,CLIC
2010-01-05,0.4,CLIC
2010-01-06,0.45,CLIC
2010-01-07,3.69,CLIC
2010-01-08,0.73,CLIC
2010-01-09,2.09,CLIC
2010-01-10,1.66,CLIC
2010-01-11,0.87,CLIC
2010-01-12,1.06,CLIC
2010-01-13,0.33,CLIC
2010-01-14,1.66,CLIC
2010-01-15,0.47,CLIC
2010-01-16,3.65,CLIC
2010-01-17,2.09,CLIC
2010-01-18,2.8,CLIC
2010-01-19,3.84,CLIC
2010-01-20,2.46,CLIC
2010-01-21,2.95,CLIC
2010-01-22,4.51,CLIC
2010-01-23,4.25,CLIC
2010-01-24,2.89,CLIC
2010-01-25,4.13,CLIC
2010-01-26,1.72,CLIC
2010-01-27,0.75,CLIC
2010-01-28,4.17,CLIC
2010-01-29,6.96,CLIC
2010-01-30,0.71,CLIC
2010-01-31,0.98,CLIC
2010-02-01,2.01,CLIC
2010-02-02,0.09,CLIC
2010-02-03,1.1,CLIC
2010-02-04,0.69,CLIC
2010-02-05,2.45,CLIC
2010-02-06,2.45,CLIC
2010-02-07,2.52,CLIC
2010-02-08,6.36,CLIC
2010-02-09,1.85,CLIC
2010-02-10,0.81,CLIC
2010-02-11,0.8,CLIC
2010-02-12,0.87,CLIC
2010-02-13,1.58,CLIC
2010-02-14,3.16,CLIC
2010-02-15,2.42,CLIC
2010-02-16,2.91,CLIC
2010-02-17,2.58,CLIC
2010-02-18,0.99,CLIC
2010-02-19,0.14,CLIC
2010-02-20,2.18,CLIC
2010-02-21,1.81,CLIC
2010-02-22,3.3,CLIC
2010-02-23,3.65,CLIC
2010-02-24,2.57,CLIC
2010-02-25,3.52,CLIC
2010-02-26,6.65,CLIC
2010-02-27,3.79,CLIC
2010-02-28,3.06,CLIC
2010-03-01,5.82,CLIC
2010-03-02,4.48,CLIC
2010-03-03,3.31,CLIC
2010-03-04,5.2,CLIC
2010-03-05,1.09,CLIC
2010-03-06,0.84,CLIC
2010-03-07,1.35,CLIC
2010-03-08,1.32,CLIC
2010-03-09,3.01,CLIC
2010-03-10,6.45,CLIC
2010-03-11,5.01,CLIC
2010-03-12,4.88,CLIC
2010-03-13,5.25,CLIC
2010-03-14,1.83,CLIC
2010-03-15,3.79,CLIC
2010-03-16,3.09,CLIC
2010-03-17,4.28,CLIC
2010-03-18,5.17,CLIC
2010-03-19,5.81,CLIC
2010-03-20,4.29,CLIC
2010-03-21,3.65,CLIC
2010-03-22,5.22,CLIC
2010-03-23,5.98,CLIC
2010-03-24,3.99,CLIC
2010-03-25,6.16,CLIC
2010-03-26,5.32,CLIC
2010-03-27,6.02,CLIC
2010-03-28,4.34,CLIC
2010-03-29,6.25,CLIC
2010-03-30,4.27,CLIC
2010-03-31,5.26,CLIC
2010-04-01,5.32,CLIC
2010-04-02,4.3,CLIC
2010-04-03,4.93,CLIC
2010-04-04,5.74,CLIC
2010-04-05,6.12,CLIC
2010-04-06,5.06,CLIC
2010-04-07,8.01,CLIC
2010-04-08,4.97,CLIC
2010-04-09,3.67,CLIC
2010-04-10,6.83,CLIC
2010-04-11,2.4,CLIC
2010-04-12,2.6,CLIC
2010-04-13,4.4,CLIC
2010-04-14,3.33,CLIC
2010-04-15,2.44,CLIC
2010-04-16,2.61,CLIC
2010-04-17,4.48,CLIC
2010-04-18,3.03,CLIC
2010-04-20,3.06,CLIC
2010-04-21,0.59,CLIC
2010-04-22,2.93,CLIC
2010-04-23,5.8,CLIC
2010-04-24,4.9,CLIC
2010-04-25,5.13,CLIC
2010-04-26,4.96,CLIC
2010-04-27,5.77,CLIC
2010-04-28,2.28,CLIC
2010-04-29,4.91,CLIC
2010-04-30,7.55,CLIC
2010-05-01,7.12,CLIC
2010-05-02,6.18,CLIC
2010-05-03,6.52,CLIC
2010-05-04,7.95,CLIC
2010-05-05,4.83,CLIC
2010-05-06,7.76,CLIC
2010-05-07,5.55,CLIC
2010-05-08,6.61,CLIC
2010-05-09,7.47,CLIC
2010-05-10,5.08,CLIC
2010-05-11,6.18,CLIC
2010-05-12,7.04,CLIC
2010-05-13,2.44,CLIC
2010-05-14,4.58,CLIC
2010-05-15,4.26,CLIC
2010-05-16,3.41,CLIC
2010-05-17,4.2,CLIC
2010-05-18,6.05,CLIC
2010-05-19,7.08,CLIC
2010-05-20,3.87,CLIC
2010-05-21,6.19,CLIC
2010-05-22,6.88,CLIC
2010-05-23,7.35,CLIC
2010-05-24,4.4,CLIC
2010-05-25,4.83,CLIC
2010-05-26,1.04,CLIC
2010-05-27,3.8,CLIC
2010-05-28,4.62,CLIC
2010-05-29,10.97,CLIC
2010-05-30,3.76,CLIC
2010-05-31,5.19,CLIC
2010-06-01,4.62,CLIC
2010-06-02,4.83,CLIC
2010-06-03,7.98,CLIC
2010-06-04,5.03,CLIC
2010-06-05,6.84,CLIC
2010-06-06,6.05,CLIC
2010-06-07,6.03,CLIC
2010-06-08,6.12,CLIC
2010-06-09,5.06,CLIC
2010-06-10,5.77,CLIC
2010-06-11,8.05,CLIC
2010-06-12,5.84,CLIC
2010-06-13,10.22,CLIC
2010-06-14,7.57,CLIC
2010-06-15,8.7,CLIC
2010-06-16,7.46,CLIC
2010-06-17,8.27,CLIC
2010-06-18,9.72,CLIC
2010-06-19,7.99,CLIC
2010-06-20,7.28,CLIC
2010-06-21,9.81,CLIC
2010-06-22,8.18,CLIC
2010-06-23,7.33,CLIC
2010-06-24,9.44,CLIC
2010-06-25,7.92,CLIC
2010-06-26,9.08,CLIC
2010-06-27,7.26,CLIC
2010-06-28,6.39,CLIC
2010-06-29,6.68,CLIC
2010-07-02,5.29,CLIC
2010-07-03,2.3,CLIC
2010-07-04,6.32,CLIC
2010-07-07,5.89,CLIC
2010-07-08,3.73,CLIC
2010-07-09,2.54,CLIC
2010-07-10,3.99,CLIC
2010-07-11,6.13,CLIC
2010-07-12,6.61,CLIC
2010-07-13,7.89,CLIC
2010-07-14,6.98,CLIC
2010-07-15,4.68,CLIC
2010-07-16,5.59,CLIC
2010-07-17,6.59,CLIC
2010-07-18,4.93,CLIC
2010-07-19,7.14,CLIC
2010-07-20,2.81,CLIC
2010-07-21,5.39,CLIC
2010-07-22,3.9,CLIC
2010-07-23,1.54,CLIC
2010-07-24,4.12,CLIC
2010-07-25,3.95,CLIC
2010-07-26,3.83,CLIC
2010-07-27,5.7,CLIC
2010-07-28,0.36,CLIC
2010-07-29,5.87,CLIC
2010-07-30,5.56,CLIC
2010-07-31,5.91,CLIC
2010-08-01,4.62,CLIC
2010-08-02,5.3,CLIC
2010-08-03,6.32,CLIC
2010-08-04,6.27,CLIC
2010-08-05,5.39,CLIC
2010-08-06,4.75,CLIC
2010-08-07,5.59,CLIC
2010-08-08,4.19,CLIC
2010-08-09,6.75,CLIC
2010-08-10,3.75,CLIC
2010-08-11,6.08,CLIC
2010-08-12,4.82,CLIC
2010-08-13,7.4,CLIC
2010-08-14,6.57,CLIC
2010-08-15,5.39,CLIC
2010-08-16,5.85,CLIC
2010-08-17,7.27,CLIC
2010-08-18,4.58,CLIC
2010-08-19,8.42,CLIC
2010-08-20,8.01,CLIC
2010-08-21,4.13,CLIC
2010-08-22,8.22,CLIC
2010-08-23,6.01,CLIC
2010-08-24,6.57,CLIC
2010-08-25,5.66,CLIC
2010-08-26,2.05,CLIC
2010-08-27,4.47,CLIC
2010-08-28,5,CLIC
2010-08-29,5.28,CLIC
2010-08-30,6.7,CLIC
2010-08-31,6.25,CLIC
2010-09-01,5.72,CLIC
2010-09-02,6.93,CLIC
2010-09-03,11.17,CLIC
2010-09-04,1.96,CLIC
2010-09-05,4.78,CLIC
2010-09-06,3.86,CLIC
2010-09-07,3.62,CLIC
2010-09-08,4.05,CLIC
2010-09-09,4.19,CLIC
2010-09-10,5.34,CLIC
2010-09-11,3.41,CLIC
2010-09-12,5.21,CLIC
2010-09-13,5.16,CLIC
2010-09-14,5.23,CLIC
2010-09-15,6.06,CLIC
2010-09-16,4.32,CLIC
2010-09-17,6.27,CLIC
2010-09-19,1.55,CLIC
2010-09-20,4.73,CLIC
2010-09-21,2.94,CLIC
2010-09-22,2.8,CLIC
2010-09-23,1.98,CLIC
2010-09-24,5.35,CLIC
2010-09-25,3.81,CLIC
2010-09-26,6.39,CLIC
2010-09-27,2.07,CLIC
2010-09-28,3.72,CLIC
2010-09-29,4.46,CLIC
2010-09-30,2.9,CLIC
2010-10-01,3.88,CLIC
2010-10-02,3.78,CLIC
2010-10-03,4.25,CLIC
2010-10-04,2.49,CLIC
2010-10-05,3.22,CLIC
2010-10-06,4.3,CLIC
2010-10-07,3.39,CLIC
2010-10-08,3.39,CLIC
2010-10-09,3.02,CLIC
2010-10-10,4.26,CLIC
2010-10-11,3.86,CLIC
2010-10-12,3.62,CLIC
2010-10-13,3.27,CLIC
2010-10-14,3.74,CLIC
2010-10-15,4.06,CLIC
2010-10-16,4.67,CLIC
2010-10-17,4.6,CLIC
2010-10-18,2.31,CLIC
2010-10-19,2.94,CLIC
2010-10-20,2.7,CLIC
2010-10-21,2.78,CLIC
2010-10-22,3.87,CLIC
2010-10-23,4.18,CLIC
2010-10-24,2.25,CLIC
2010-10-25,3.96,CLIC
2010-10-26,5.79,CLIC
2010-10-27,1.1,CLIC
2010-10-28,3.64,CLIC
2010-10-29,4.34,CLIC
2010-10-30,2.6,CLIC
2010-10-31,1.84,CLIC
2010-11-01,5.63,CLIC
2010-11-02,5.15,CLIC
2010-11-03,8.03,CLIC
2010-11-04,4.01,CLIC
2010-11-05,3.35,CLIC
2010-11-06,3.45,CLIC
2010-11-07,1.84,CLIC
2010-11-08,3.32,CLIC
2010-11-09,2.35,CLIC
2010-11-10,2.27,CLIC
2010-11-11,2.96,CLIC
2010-11-12,3.02,CLIC
2010-11-13,3.64,CLIC
2010-11-14,2.39,CLIC
2010-11-15,2.74,CLIC
2010-11-16,3.92,CLIC
2010-11-17,3.16,CLIC
2010-11-18,3.37,CLIC
2010-11-19,1.53,CLIC
2010-11-20,2.85,CLIC
2010-11-21,1.73,CLIC
2010-11-22,4.54,CLIC
2010-11-23,1.22,CLIC
2010-11-24,4.08,CLIC
2010-11-25,4.98,CLIC
2010-11-26,3.42,CLIC
2010-11-27,3.49,CLIC
2010-11-28,1.91,CLIC
2010-11-29,4.29,CLIC
2010-11-30,4.84,CLIC
2010-12-01,1,CLIC
2010-12-02,3.2,CLIC
2010-12-03,2.24,CLIC
2010-12-04,1.57,CLIC
2011-01-01,1.55,CLIC
2011-01-02,4.53,CLIC
2011-01-03,0.67,CLIC
2011-01-04,2.76,CLIC
2011-01-05,2.26,CLIC
2011-01-06,3.53,CLIC
2011-01-07,2.05,CLIC
2011-01-08,1.53,CLIC
2011-01-09,4.43,CLIC
2011-01-10,2.2,CLIC
2011-01-11,1.1,CLIC
2011-01-12,0.17,CLIC
2011-01-13,1.17,CLIC
2011-01-14,1.14,CLIC
2011-01-15,0.12,CLIC
2011-01-16,1.69,CLIC
2011-01-17,3.33,CLIC
2011-01-18,4.31,CLIC
2011-01-19,0.95,CLIC
2011-01-20,4.13,CLIC
