Estación: ,C19126,LA LAJA. HUALAHUISES
1979-12-05,2.7,CLIC
1979-12-06,2.9,CLIC
1979-12-07,1.8,CLIC
1979-12-08,1.2,CLIC
1979-12-09,0.7,CLIC
1979-12-10,3,CLIC
1979-12-11,1.9,CLIC
1979-12-12,2.4,CLIC
1979-12-14,4.3,CLIC
1979-12-15,0.8,CLIC
1979-12-16,2,CLIC
1979-12-17,1.6,CLIC
1979-12-18,1.4,CLIC
1979-12-19,1.1,CLIC
1979-12-20,0.6,CLIC
1979-12-21,1.9,CLIC
1979-12-22,1.7,CLIC
1979-12-23,3.7,CLIC
1979-12-24,3.2,CLIC
1979-12-25,1.5,CLIC
1979-12-26,3.3,CLIC
1979-12-27,0.1,CLIC
1979-12-28,2,CLIC
1979-12-29,0.2,CLIC
1979-12-30,1.4,CLIC
1979-12-31,1,CLIC
1980-01-01,2.2,CLIC
1980-01-02,3.2,CLIC
1980-01-03,0.3,CLIC
1980-01-04,1.1,CLIC
1980-01-05,3.2,CLIC
1980-01-06,1.5,CLIC
1980-01-07,1.7,CLIC
1980-01-08,0.6,CLIC
1980-01-09,3,CLIC
1980-01-10,2.3,CLIC
1980-01-11,3.5,CLIC
1980-01-12,3.5,CLIC
1980-01-13,1.9,CLIC
1980-01-14,2.1,CLIC
1980-01-15,2.7,CLIC
1980-01-16,2.5,CLIC
1980-01-17,0.4,CLIC
1980-01-18,4.9,CLIC
1980-01-19,0.3,CLIC
1980-01-20,3,CLIC
1980-01-21,0.6,CLIC
1980-01-22,1.6,CLIC
1980-01-23,2.4,CLIC
1980-01-24,0.3,CLIC
1980-01-25,3,CLIC
1980-01-26,2.1,CLIC
1980-01-27,0.5,CLIC
1980-01-28,0.5,CLIC
1980-01-29,1,CLIC
1980-01-30,0.8,CLIC
1980-01-31,0.9,CLIC
1980-07-01,8.8,CLIC
1980-07-02,4.7,CLIC
1980-07-03,4.1,CLIC
1980-07-04,4.1,CLIC
1980-07-05,5.6,CLIC
1980-07-06,8.9,CLIC
1980-07-07,8.5,CLIC
1980-07-08,10.4,CLIC
1980-07-09,10.8,CLIC
1980-07-10,7.9,CLIC
1980-07-11,11.2,CLIC
1980-07-12,7,CLIC
1980-07-13,5.1,CLIC
1980-07-14,3.2,CLIC
1980-07-15,2.8,CLIC
1980-07-16,11.3,CLIC
1980-07-17,10.4,CLIC
1980-07-18,7.4,CLIC
1980-07-19,16.4,CLIC
1980-07-20,7.7,CLIC
1980-07-21,5.7,CLIC
1980-07-22,6.6,CLIC
1980-07-23,5.9,CLIC
1980-07-24,13.4,CLIC
1980-07-25,5.8,CLIC
1980-07-26,13.3,CLIC
1980-07-27,7.4,CLIC
1980-07-28,9.8,CLIC
1980-07-29,4.6,CLIC
1980-07-30,4.7,CLIC
1980-07-31,5.9,CLIC
1980-08-01,11.2,CLIC
1980-08-02,7.7,CLIC
1980-08-03,9.6,CLIC
1980-08-04,8,CLIC
1980-08-05,8.2,CLIC
1980-08-06,4.8,CLIC
1980-08-07,3.1,CLIC
1980-08-08,10.8,CLIC
1980-08-09,4.9,CLIC
1980-08-10,7.3,CLIC
1980-08-11,8,CLIC
1980-08-12,5.2,CLIC
1980-08-13,5.8,CLIC
1980-08-14,9.8,CLIC
1980-08-15,2.6,CLIC
1980-08-16,5.9,CLIC
1980-08-17,6.4,CLIC
1980-08-18,4.7,CLIC
1980-08-19,8.4,CLIC
1980-08-20,2.6,CLIC
1980-08-21,7.3,CLIC
1980-08-22,6.9,CLIC
1980-08-23,7.6,CLIC
1980-08-24,5.8,CLIC
1980-08-25,12.3,CLIC
1980-08-26,10.3,CLIC
1980-08-27,6,CLIC
1980-08-28,6.6,CLIC
1980-08-29,6.4,CLIC
1980-08-30,7,CLIC
1980-08-31,9,CLIC
1980-09-01,4.2,CLIC
1980-09-02,9.5,CLIC
1980-09-03,10.4,CLIC
1980-09-04,7.9,CLIC
1980-09-05,6.1,CLIC
1980-09-06,4.1,CLIC
1980-09-07,6.7,CLIC
1980-09-08,7.5,CLIC
1980-09-09,5.4,CLIC
1980-09-10,4.9,CLIC
1980-09-11,4.9,CLIC
1980-09-12,12.9,CLIC
1980-09-13,2.8,CLIC
1980-09-14,5.7,CLIC
1980-09-15,3,CLIC
1980-09-16,4.2,CLIC
1980-09-17,4.2,CLIC
1980-09-18,8.3,CLIC
1980-09-19,8.9,CLIC
1980-09-20,9.1,CLIC
1980-09-21,7.4,CLIC
1980-09-22,5.2,CLIC
1980-09-23,7.1,CLIC
1980-09-24,4.5,CLIC
1980-09-25,9.8,CLIC
1980-09-27,3.4,CLIC
1980-09-28,4.5,CLIC
1980-09-29,5,CLIC
1980-09-30,4.6,CLIC
1980-10-01,5.5,CLIC
1980-10-02,4.6,CLIC
1980-10-03,6.8,CLIC
1980-10-04,3.6,CLIC
1980-10-05,7,CLIC
1980-10-06,9.4,CLIC
1980-10-07,4.7,CLIC
1980-10-08,3.3,CLIC
1980-10-09,5.2,CLIC
1980-10-10,3.2,CLIC
1980-10-11,6.6,CLIC
1980-10-12,3.2,CLIC
1980-10-13,3.2,CLIC
1980-10-14,3.5,CLIC
1980-10-15,4.3,CLIC
1980-10-16,2.7,CLIC
1980-10-17,4.1,CLIC
1980-10-18,4.2,CLIC
1980-10-19,4.6,CLIC
1980-10-20,5,CLIC
1980-10-21,5.7,CLIC
1980-10-22,4.7,CLIC
1980-10-23,3.6,CLIC
1980-10-24,4.8,CLIC
1980-10-25,6,CLIC
1980-10-26,3.7,CLIC
1980-10-27,4,CLIC
1980-10-28,4.1,CLIC
1980-10-29,4.6,CLIC
1980-10-30,4.7,CLIC
1980-10-31,4.3,CLIC
1980-11-01,1,CLIC
1980-11-02,0.9,CLIC
1980-11-03,4,CLIC
1980-11-04,2.2,CLIC
1980-11-05,5.3,CLIC
1980-11-06,3,CLIC
1980-11-07,2.6,CLIC
1980-11-08,4.2,CLIC
1980-11-09,4.4,CLIC
1980-11-10,2.5,CLIC
1980-11-11,1.9,CLIC
1980-11-12,1.9,CLIC
1980-11-13,3.5,CLIC
1980-11-14,4.3,CLIC
1980-11-15,2.4,CLIC
1980-11-16,2.4,CLIC
1980-11-17,2.3,CLIC
1980-11-18,1.3,CLIC
1980-11-19,2.2,CLIC
1980-11-20,2.6,CLIC
1980-11-21,1.6,CLIC
1980-11-22,2.3,CLIC
1980-11-23,1.4,CLIC
1980-11-24,0.4,CLIC
1980-11-25,1.8,CLIC
1980-11-26,1.6,CLIC
1980-11-27,0.6,CLIC
1980-11-28,1.4,CLIC
1980-11-29,1.2,CLIC
1980-11-30,0.3,CLIC
1980-12-01,2,CLIC
1980-12-02,3.3,CLIC
1980-12-03,2,CLIC
1980-12-04,5.4,CLIC
1980-12-05,2,CLIC
1980-12-06,2.8,CLIC
1980-12-07,2.2,CLIC
1980-12-08,2.6,CLIC
1980-12-09,3.8,CLIC
1980-12-10,3.1,CLIC
1980-12-11,2,CLIC
1980-12-12,4.8,CLIC
1980-12-13,4.1,CLIC
1980-12-14,2.5,CLIC
1980-12-15,3.2,CLIC
1980-12-16,3,CLIC
1980-12-17,4,CLIC
1980-12-18,3.6,CLIC
1980-12-19,2.3,CLIC
1980-12-20,0.5,CLIC
1980-12-21,1.6,CLIC
1980-12-22,1.9,CLIC
1980-12-23,2.7,CLIC
1980-12-24,3.4,CLIC
1980-12-25,1.6,CLIC
1980-12-26,2.1,CLIC
1980-12-27,4.3,CLIC
1980-12-28,2,CLIC
1980-12-29,1.6,CLIC
1980-12-30,2,CLIC
1980-12-31,1.6,CLIC
1981-01-01,3.6,CLIC
1981-01-02,5.4,CLIC
1981-01-03,2.8,CLIC
1981-01-04,5.5,CLIC
1981-01-05,3.6,CLIC
1981-01-06,2,CLIC
1981-01-07,2,CLIC
1981-01-08,6,CLIC
1981-01-09,0.9,CLIC
1981-01-10,1.8,CLIC
1981-01-11,2.4,CLIC
1981-01-12,4.4,CLIC
1981-01-13,2.7,CLIC
1981-01-14,3,CLIC
1981-01-16,1.5,CLIC
1981-01-17,0.4,CLIC
1981-01-18,1.7,CLIC
1981-01-19,4.1,CLIC
1981-01-20,1.6,CLIC
1981-01-22,3,CLIC
1981-01-23,2.8,CLIC
1981-01-24,1.3,CLIC
1981-01-25,3.1,CLIC
1981-01-26,1.4,CLIC
1981-01-27,4,CLIC
1981-01-28,2.6,CLIC
1981-01-29,3.1,CLIC
1981-01-30,3.5,CLIC
1981-01-31,1.5,CLIC
1981-02-01,4.9,CLIC
1981-02-02,5.1,CLIC
1981-02-03,3.1,CLIC
1981-02-04,3,CLIC
1981-02-05,4.1,CLIC
1981-02-06,2.6,CLIC
1981-02-07,4.1,CLIC
1981-02-08,5.5,CLIC
1981-02-09,3.5,CLIC
1981-02-10,5.4,CLIC
1981-02-11,3.2,CLIC
1981-02-12,3.5,CLIC
1981-02-13,2.9,CLIC
1981-02-14,3.2,CLIC
1981-02-15,2.1,CLIC
1981-02-16,2.6,CLIC
1981-02-17,2.9,CLIC
1981-02-18,4.9,CLIC
1981-02-19,4.1,CLIC
1981-02-20,3.7,CLIC
1981-02-21,3.7,CLIC
1981-02-22,3.7,CLIC
1981-02-23,4.3,CLIC
1981-02-24,3.9,CLIC
1981-02-25,4.4,CLIC
1981-02-26,3.9,CLIC
1981-02-27,4.7,CLIC
1981-02-28,5.1,CLIC
1981-03-01,5.9,CLIC
1981-03-02,3.4,CLIC
1981-03-03,5.7,CLIC
1981-03-04,4.5,CLIC
1981-03-05,6.7,CLIC
1981-03-06,5.9,CLIC
1981-03-07,4.5,CLIC
1981-03-08,4.8,CLIC
1981-03-09,3.4,CLIC
1981-03-10,3.2,CLIC
1981-03-11,3.6,CLIC
1981-03-12,2.4,CLIC
1981-03-13,3.2,CLIC
1981-03-14,1.6,CLIC
1981-03-15,2.3,CLIC
1981-03-16,2.7,CLIC
1981-03-17,2.7,CLIC
1981-03-18,6.2,CLIC
1981-03-19,5.1,CLIC
1981-03-20,4.9,CLIC
1981-03-21,6,CLIC
1981-03-22,5.9,CLIC
1981-03-23,5.8,CLIC
1981-03-24,5.3,CLIC
1981-03-25,5.3,CLIC
1981-03-26,5,CLIC
1981-03-27,6.1,CLIC
1981-03-28,5.6,CLIC
1981-03-29,6.4,CLIC
1981-03-30,5.9,CLIC
1981-03-31,7.1,CLIC
1981-04-01,4.2,CLIC
1981-04-02,7.5,CLIC
1981-04-03,7.2,CLIC
1981-04-04,6.2,CLIC
1981-04-05,7.7,CLIC
1981-04-06,7,CLIC
1981-04-07,4.7,CLIC
1981-04-08,4.9,CLIC
1981-04-09,5.2,CLIC
1981-04-10,4.1,CLIC
1981-04-11,4.3,CLIC
1981-04-12,6.2,CLIC
1981-04-13,2.5,CLIC
1981-04-14,1.2,CLIC
1981-04-15,2,CLIC
1981-04-16,2.1,CLIC
1981-04-17,2.2,CLIC
1981-04-18,4,CLIC
1981-04-19,3.4,CLIC
1981-04-20,7.3,CLIC
1981-04-21,0.8,CLIC
1981-04-22,2.8,CLIC
1981-04-23,4.9,CLIC
1981-04-24,4,CLIC
1981-04-25,4.2,CLIC
1981-04-26,6.3,CLIC
1981-04-27,5.7,CLIC
1981-04-28,5.7,CLIC
1981-04-29,4.3,CLIC
1981-04-30,4.1,CLIC
1981-05-02,3.3,CLIC
1981-05-03,2.3,CLIC
1981-05-04,5.6,CLIC
1981-05-05,2.6,CLIC
1981-05-06,3.9,CLIC
1981-05-07,3.9,CLIC
1981-05-08,5.2,CLIC
1981-05-09,5.6,CLIC
1981-05-10,3.4,CLIC
1981-05-11,5.6,CLIC
1981-05-12,5.9,CLIC
1981-05-13,4.5,CLIC
1981-05-14,4.5,CLIC
1981-05-15,3.4,CLIC
1981-05-16,5.7,CLIC
1981-05-17,8.3,CLIC
1981-05-18,6.6,CLIC
1981-05-19,5.1,CLIC
1981-05-20,5.6,CLIC
1981-05-21,3.9,CLIC
1981-05-22,5.6,CLIC
1981-05-23,5.9,CLIC
1981-05-24,5.3,CLIC
1981-05-25,5.5,CLIC
1981-05-26,6,CLIC
1981-05-27,5.9,CLIC
1981-05-28,6.6,CLIC
1981-05-29,6.6,CLIC
1981-05-30,5.4,CLIC
1981-05-31,4.7,CLIC
1981-06-01,7.7,CLIC
1981-06-02,5.7,CLIC
1981-06-03,3.7,CLIC
1981-06-05,5.2,CLIC
1981-06-06,4.8,CLIC
1981-06-07,4.7,CLIC
1981-06-08,4.9,CLIC
1981-06-09,6.3,CLIC
1981-06-10,6.5,CLIC
1981-06-11,4.4,CLIC
1981-06-12,6.5,CLIC
1981-06-13,7,CLIC
1981-06-14,2.7,CLIC
1981-06-15,7.3,CLIC
1981-06-16,4.8,CLIC
1981-06-17,4.6,CLIC
1981-06-18,4.2,CLIC
1981-06-19,6.1,CLIC
1981-06-20,5.2,CLIC
1981-06-21,6.5,CLIC
1981-06-22,4.6,CLIC
1981-06-23,2.6,CLIC
1981-06-24,5.2,CLIC
1981-06-25,5.8,CLIC
1981-06-26,6.1,CLIC
1981-06-27,6,CLIC
1981-06-28,5.4,CLIC
1981-06-29,6,CLIC
1981-06-30,6.6,CLIC
1981-07-01,5.9,CLIC
1981-07-02,5.4,CLIC
1981-07-03,7.6,CLIC
1981-07-04,4.4,CLIC
1981-07-05,3.7,CLIC
1981-07-06,4.9,CLIC
1981-07-07,4.7,CLIC
1981-07-08,3.2,CLIC
1981-07-09,3.3,CLIC
1981-07-10,3.8,CLIC
1981-07-11,5.3,CLIC
1981-07-12,6.7,CLIC
1981-07-13,5.4,CLIC
1981-07-14,4.5,CLIC
1981-07-15,7.9,CLIC
1981-07-16,7.6,CLIC
1981-07-17,6.8,CLIC
1981-07-18,4.7,CLIC
1981-07-19,3.7,CLIC
1981-07-20,6.5,CLIC
1981-07-21,6.2,CLIC
1981-07-22,5.4,CLIC
1981-07-23,5.3,CLIC
1981-07-24,5.9,CLIC
1981-07-25,6.1,CLIC
1981-07-26,3,CLIC
1981-07-27,5.2,CLIC
1981-07-28,4.7,CLIC
1981-07-29,7.3,CLIC
1981-07-30,4.9,CLIC
1981-08-01,7,CLIC
1981-08-02,6.2,CLIC
1981-08-03,6.3,CLIC
1981-08-04,5.9,CLIC
1981-08-05,7.7,CLIC
1981-08-06,5.2,CLIC
1981-08-07,6.6,CLIC
1981-08-08,6.8,CLIC
1981-08-09,6.7,CLIC
1981-08-10,5,CLIC
1981-08-11,7.2,CLIC
1981-08-12,7.3,CLIC
1981-08-13,5.7,CLIC
1981-08-14,5.7,CLIC
1981-08-15,6.3,CLIC
1981-08-16,7.7,CLIC
1981-08-17,5,CLIC
1981-08-18,6.7,CLIC
1981-08-19,6.4,CLIC
1981-08-21,4.3,CLIC
1981-08-22,5.5,CLIC
1981-08-23,4.8,CLIC
1981-08-24,5.2,CLIC
1981-08-25,3.8,CLIC
1981-08-26,5,CLIC
1981-08-27,5.7,CLIC
1981-08-29,5.4,CLIC
1981-08-30,5.9,CLIC
1981-08-31,6.7,CLIC
1981-09-01,5.5,CLIC
1981-09-02,6.3,CLIC
1981-09-03,5.3,CLIC
1981-09-04,5.5,CLIC
1981-09-05,6.3,CLIC
1981-09-06,6.5,CLIC
1981-09-07,5.7,CLIC
1981-09-08,6.3,CLIC
1981-09-09,5.9,CLIC
1981-09-10,6.6,CLIC
1981-09-11,7,CLIC
1981-09-12,6.3,CLIC
1981-09-13,6.6,CLIC
1981-09-14,7,CLIC
1981-09-15,5.3,CLIC
1981-09-17,5.9,CLIC
1981-09-18,5.6,CLIC
1981-09-19,4.7,CLIC
1981-09-20,6.3,CLIC
1981-09-21,6.3,CLIC
1981-09-22,6.1,CLIC
1981-09-23,6.5,CLIC
1981-09-24,6.5,CLIC
1981-09-25,6.5,CLIC
1981-09-26,6.3,CLIC
1981-09-27,6.3,CLIC
1981-09-28,5.7,CLIC
1981-09-29,5.9,CLIC
1981-09-30,7.3,CLIC
1981-10-01,6.1,CLIC
1981-10-02,4.6,CLIC
1981-10-03,6.8,CLIC
1981-10-04,7.6,CLIC
1981-10-05,4.4,CLIC
1981-10-06,5.6,CLIC
1981-10-07,4.2,CLIC
1981-10-08,4.8,CLIC
1981-10-09,5.4,CLIC
1981-10-10,4.3,CLIC
1981-10-11,5.1,CLIC
1981-10-12,5.7,CLIC
1981-10-13,5.9,CLIC
1981-10-14,5,CLIC
1981-10-15,4.7,CLIC
1981-10-16,5.4,CLIC
1981-10-17,4.5,CLIC
1981-10-18,6.2,CLIC
1981-10-19,6.3,CLIC
1981-10-20,5,CLIC
1981-10-21,5.8,CLIC
1981-10-22,5.5,CLIC
1981-10-23,4.2,CLIC
1981-10-24,4.4,CLIC
1981-10-25,3.9,CLIC
1981-10-26,3.9,CLIC
1981-10-27,3.7,CLIC
1981-10-28,1.8,CLIC
1981-10-29,2.9,CLIC
1981-10-30,3.5,CLIC
1981-10-31,4.4,CLIC
1981-11-01,5.9,CLIC
1981-11-02,1.2,CLIC
1981-11-03,0.5,CLIC
1981-11-04,2.9,CLIC
1981-11-05,4,CLIC
1981-11-06,1.9,CLIC
1981-11-07,1,CLIC
1981-11-08,4.1,CLIC
1981-11-09,4.3,CLIC
1981-11-10,3.3,CLIC
1981-11-11,2.7,CLIC
1981-11-12,3.8,CLIC
1981-11-13,4.2,CLIC
1981-11-14,4.6,CLIC
1981-11-15,2.9,CLIC
1981-11-16,4.6,CLIC
1981-11-17,4.5,CLIC
1981-11-18,3,CLIC
1981-11-19,4.5,CLIC
1981-11-20,2.8,CLIC
1981-11-21,3.4,CLIC
1981-11-22,1.3,CLIC
1981-11-23,4.3,CLIC
1981-11-24,4.6,CLIC
1981-11-25,3.4,CLIC
1981-11-26,5.7,CLIC
1981-11-27,1.5,CLIC
1981-11-28,2.2,CLIC
1981-11-29,2.8,CLIC
1981-11-30,4.1,CLIC
1982-02-01,5.64,CLIC
1982-02-02,4.2,CLIC
1982-02-03,4.44,CLIC
1982-02-04,2.43,CLIC
1982-02-05,2.02,CLIC
1982-02-06,0.69,CLIC
1982-02-07,0.26,CLIC
1982-02-08,2.43,CLIC
1982-02-09,5.31,CLIC
1982-02-10,2.56,CLIC
1982-02-11,0.75,CLIC
1982-02-12,4.08,CLIC
1982-02-13,3.42,CLIC
1982-02-14,3.99,CLIC
1982-02-15,3.66,CLIC
1982-02-16,6.89,CLIC
1982-02-17,5.66,CLIC
1982-02-18,6.09,CLIC
1982-02-19,2.81,CLIC
1982-02-20,3.39,CLIC
1982-02-21,2.86,CLIC
1982-02-22,3.65,CLIC
1982-02-23,4.49,CLIC
1982-02-24,5.29,CLIC
1982-02-25,5.13,CLIC
1982-02-26,3.9,CLIC
1982-02-27,3.45,CLIC
1982-02-28,5.1,CLIC
1982-03-01,4.6,CLIC
1982-03-02,4.2,CLIC
1982-03-03,6.4,CLIC
1982-03-04,6.6,CLIC
1982-03-05,6.4,CLIC
1982-03-06,2.9,CLIC
1982-03-07,5.2,CLIC
1982-03-08,5.9,CLIC
1982-03-09,6.1,CLIC
1982-03-10,5.9,CLIC
1982-03-11,7,CLIC
1982-03-12,7.5,CLIC
1982-03-13,6.9,CLIC
1982-03-14,7,CLIC
1982-03-15,6.5,CLIC
1982-03-16,7.5,CLIC
1982-03-17,7.2,CLIC
1982-03-18,7.9,CLIC
1982-03-19,6.5,CLIC
1982-03-20,7.8,CLIC
1982-03-21,8.3,CLIC
1982-03-22,6.7,CLIC
1982-03-23,7.2,CLIC
1982-03-24,5.8,CLIC
1982-03-25,4.1,CLIC
1982-03-26,5.8,CLIC
1982-03-27,5.8,CLIC
1982-03-28,5.1,CLIC
1982-03-29,5.2,CLIC
1982-03-30,7.5,CLIC
1982-03-31,6.4,CLIC
1982-04-01,6.5,CLIC
1982-04-02,7.2,CLIC
1982-04-03,5.8,CLIC
1982-04-04,7.5,CLIC
1982-04-05,6.9,CLIC
1982-04-06,6.7,CLIC
1982-04-07,5.4,CLIC
1982-04-08,5.8,CLIC
1982-04-09,7,CLIC
1982-04-10,7,CLIC
1982-04-11,7,CLIC
1982-04-12,7.5,CLIC
1982-04-13,7.5,CLIC
1982-04-14,6.5,CLIC
1982-04-15,8.1,CLIC
1982-04-16,3.8,CLIC
1982-04-17,5.8,CLIC
1982-04-18,7,CLIC
1982-04-19,6.5,CLIC
1982-04-20,6,CLIC
1982-04-21,6,CLIC
1982-04-22,4.7,CLIC
1982-04-23,5.1,CLIC
1982-04-24,4.9,CLIC
1982-04-25,5.3,CLIC
1982-04-26,5.9,CLIC
1982-04-27,7.8,CLIC
1982-04-28,6.8,CLIC
1982-04-29,6.5,CLIC
1982-04-30,6.5,CLIC
1982-05-01,4.9,CLIC
1982-05-02,6.1,CLIC
1982-05-03,4,CLIC
1982-05-04,6.2,CLIC
1982-05-05,6.8,CLIC
1982-05-06,5,CLIC
1982-05-07,6.5,CLIC
1982-05-08,5.2,CLIC
1982-05-09,7.3,CLIC
1982-05-10,8.1,CLIC
1982-05-11,7.4,CLIC
1982-05-12,7,CLIC
1982-05-13,5.5,CLIC
1982-05-14,6.5,CLIC
1982-05-15,6.7,CLIC
1982-05-16,6.5,CLIC
1982-05-17,7,CLIC
1982-05-18,5.1,CLIC
1982-05-19,6.7,CLIC
1982-05-20,5.6,CLIC
1982-05-21,6.9,CLIC
1982-05-22,6.8,CLIC
1982-05-23,6.2,CLIC
1982-05-24,5.5,CLIC
1982-05-25,7.5,CLIC
1982-05-26,6.5,CLIC
1982-05-27,6.5,CLIC
1982-05-28,6.5,CLIC
1982-05-29,7.9,CLIC
1982-05-30,8,CLIC
1982-05-31,5.8,CLIC
1982-06-01,7.5,CLIC
1982-06-02,9,CLIC
1982-06-03,9.6,CLIC
1982-06-04,8.5,CLIC
1982-06-05,10.5,CLIC
1982-06-06,10.5,CLIC
1982-06-07,10.9,CLIC
1982-06-08,7.9,CLIC
1982-06-09,8.9,CLIC
1982-06-10,7,CLIC
1982-06-11,7,CLIC
1982-06-12,8,CLIC
1982-06-13,8.5,CLIC
1982-06-14,8,CLIC
1982-06-15,7.9,CLIC
1982-06-16,7.7,CLIC
1982-06-17,6.3,CLIC
1982-06-18,9.5,CLIC
1982-06-19,9.1,CLIC
1982-06-20,6.9,CLIC
1982-06-21,7.5,CLIC
1982-06-22,7.5,CLIC
1982-06-23,8.5,CLIC
1982-06-24,7,CLIC
1982-06-25,7,CLIC
1982-06-26,6.8,CLIC
1982-06-27,7.5,CLIC
1982-06-28,7.5,CLIC
1982-06-29,8.4,CLIC
1982-06-30,7.9,CLIC
1982-10-01,5.6,CLIC
1982-10-02,5.2,CLIC
1982-10-03,6.1,CLIC
1982-10-04,5.5,CLIC
1982-10-05,7.5,CLIC
1982-10-06,5.5,CLIC
1982-10-07,7.5,CLIC
1982-10-08,4.5,CLIC
1982-10-09,5.5,CLIC
1982-10-10,4.5,CLIC
1982-10-11,5.5,CLIC
1982-10-12,5,CLIC
1982-10-13,4.5,CLIC
1982-10-14,3.3,CLIC
1982-10-15,4.7,CLIC
1982-10-16,4.8,CLIC
1982-10-17,3.9,CLIC
1982-10-18,3.8,CLIC
1982-10-19,4.8,CLIC
1982-10-20,4.7,CLIC
1982-10-21,2.6,CLIC
1982-10-22,4.7,CLIC
1982-10-23,3.6,CLIC
1982-10-24,5,CLIC
1982-10-25,4.5,CLIC
1982-10-26,3.5,CLIC
1982-10-27,5.5,CLIC
1982-10-28,4.5,CLIC
1982-10-29,6.5,CLIC
1982-10-30,5.5,CLIC
1982-10-31,6.4,CLIC
1982-12-01,2.4,CLIC
1982-12-02,4.3,CLIC
1982-12-03,3.5,CLIC
1982-12-04,4.1,CLIC
1982-12-05,2.3,CLIC
1982-12-06,2.8,CLIC
1982-12-07,2.8,CLIC
1982-12-08,3.21,CLIC
1982-12-09,2.53,CLIC
1982-12-10,2.4,CLIC
1982-12-11,3.86,CLIC
1982-12-12,4.6,CLIC
1982-12-13,0.9,CLIC
1982-12-14,1.3,CLIC
1982-12-15,3,CLIC
1982-12-16,1.3,CLIC
1982-12-17,5,CLIC
1982-12-18,3.3,CLIC
1982-12-19,1.6,CLIC
1982-12-20,1.6,CLIC
1982-12-21,1.5,CLIC
1982-12-22,2.95,CLIC
1982-12-23,2.15,CLIC
1982-12-24,4.2,CLIC
1982-12-25,3.7,CLIC
1982-12-26,2.29,CLIC
1982-12-27,2.31,CLIC
1982-12-28,2.07,CLIC
1982-12-29,3.89,CLIC
1982-12-30,2.06,CLIC
1982-12-31,3.92,CLIC
1983-01-01,0.9,CLIC
1983-01-02,1.3,CLIC
1983-01-03,1.8,CLIC
1983-01-04,1.5,CLIC
1983-01-05,2.4,CLIC
1983-01-06,1.8,CLIC
1983-01-07,2.2,CLIC
1983-01-08,1.9,CLIC
1983-01-09,2.8,CLIC
1983-01-10,1.8,CLIC
1983-01-11,2.1,CLIC
1983-01-12,2,CLIC
1983-01-13,3.4,CLIC
1983-01-14,2.3,CLIC
1983-01-15,1.2,CLIC
1983-01-16,0.9,CLIC
1983-01-17,0.1,CLIC
1983-01-18,0.3,CLIC
1983-01-19,0.5,CLIC
1983-01-20,1.5,CLIC
1983-01-21,0.5,CLIC
1983-01-22,1,CLIC
1983-01-23,1.9,CLIC
1983-01-24,2.8,CLIC
1983-01-25,2.9,CLIC
1983-01-26,2.7,CLIC
1983-01-27,3.9,CLIC
1983-01-28,2.1,CLIC
1983-01-29,3.5,CLIC
1983-01-30,4.1,CLIC
1983-01-31,3.3,CLIC
1983-02-01,6.4,CLIC
1983-02-02,0.4,CLIC
1983-02-03,0.2,CLIC
1983-02-04,0.9,CLIC
1983-02-05,1.3,CLIC
1983-02-06,1,CLIC
1983-02-07,3.8,CLIC
