Estación: ,VCRCL,P.V.Carranza
2022-08-03,11.7,
2022-08-04,10.82,
2022-08-05,9.55,
2022-08-06,9.84,
2022-08-07,10.32,
2022-08-08,10.62,
2022-08-09,10.96,
2022-08-10,11.05,
2022-08-11,8.8,
2022-08-12,5.65,
2022-08-13,6.4,
2022-08-14,4.4,
2022-08-15,3.4,
2022-08-16,5.72,
2022-08-17,6.1,
2022-08-18,6.66,
2022-08-19,7.55,
2022-08-20,7.9,
2022-08-21,8.1,
2022-08-22,8.78,
2022-08-23,4.5,
2022-08-24,4.83,
2022-08-25,3.46,
2022-08-26,4.7,
2022-08-27,5.32,
2022-08-28,5.7,
2022-08-29,5.92,
2022-08-30,3.05,
2022-08-31,3.4,
2022-09-01,4.65,
2022-09-02,4.82,
2022-09-03,2.18,
2022-09-04,2.96,
2022-09-05,3.3,
2022-09-06,3.55,
2022-09-07,4.47,
2022-09-08,5.18,
2022-09-09,5.6,
2022-09-10,5.84,
2022-09-11,5.02,
2022-09-12,5.44,
2022-09-13,5.58,
2022-09-14,5.27,
2022-09-15,5.1,
2022-09-16,5.38,
2022-09-17,6.05,
2022-09-18,6.04,
2022-09-19,6.14,
2022-09-20,6.2,
2022-09-21,6.26,
2022-09-22,6.1,
2022-09-23,5.5,
2022-09-24,5.65,
2022-09-25,4.85,
2022-09-26,4.72,
2022-09-27,4.3,
2022-09-28,4.48,
2022-09-29,4.55,
2022-09-30,4.25,
2022-10-01,4.64,
2022-10-02,3.4,
2022-10-03,3.56,
2022-10-04,3.92,
2022-10-05,3.75,
2022-10-06,4.1,
2022-10-07,3.28,
2022-10-08,3.84,
2022-10-09,4.14,
2022-10-10,3.6,
2022-10-11,4.67,
2022-10-12,4.8,
2022-10-13,5.22,
2022-10-14,5.5,
2022-10-15,4.73,
2022-10-16,4.28,
2022-10-17,1.08,
2022-10-18,1.87,
2022-10-19,2.3,
2022-10-20,3.66,
2022-10-21,3.89,
2022-10-22,3.96,
2022-10-23,4.08,
2022-10-24,5.86,
2022-10-25,4.26,
2022-10-26,4.51,
2022-10-27,4.05,
2022-10-28,4.96,
2022-10-29,3.76,
2022-10-30,3.88,
2022-10-31,2.75,
2022-11-01,2.9,
2022-11-02,2.52,
2022-11-03,3.34,
2022-11-04,3.82,
2022-11-05,3.9,
2022-11-06,4.15,
2022-11-07,4.48,
2022-11-08,4.1,
2022-11-09,3.63,
2022-11-10,3.3,
2022-11-11,5.15,
2022-11-12,4.21,
2022-11-13,3.93,
2022-11-14,3.16,
2022-11-15,3.17,
2022-11-16,2.6,
2022-11-17,2.84,
2022-11-18,2.05,
2022-11-19,1.62,
2022-11-20,1.4,
2022-11-21,1.75,
2022-11-22,2.14,
2022-11-23,2.55,
2022-11-24,2.78,
2022-11-25,2.85,
2022-11-26,3.2,
2022-11-27,3.86,
2022-11-28,3.53,
2022-11-29,3.98,
2022-11-30,4.47,
2022-12-01,2.08,
2022-12-02,2.74,
2022-12-03,1.7,
2022-12-04,1.53,
2022-12-05,1.84,
2022-12-06,1.97,
2022-12-07,2.17,
2022-12-08,2.32,
2022-12-09,2.45,
2022-12-10,2.62,
2022-12-11,2.74,
2022-12-12,2.5,
2022-12-13,3.1,
2022-12-14,3.04,
2022-12-15,2.9,
2022-12-16,2.66,
2022-12-17,2.75,
2022-12-18,2.86,
2022-12-19,1.92,
2022-12-20,1.66,
2022-12-21,1.43,
2022-12-22,3.4,
2022-12-23,1.2,
2022-12-24,1.79,
2022-12-25,1.05,
2022-12-26,2.74,
2022-12-27,3.07,
2022-12-28,3.27,
2022-12-29,2.83,
2022-12-30,3.02,
2022-12-31,3.8,
2023-01-01,4.1,
2023-01-02,4.22,
2023-01-03,2.8,
2023-01-04,3.13,
2023-01-05,3.22,
2023-01-06,3.7,
2023-01-07,2.71,
2023-01-08,2.96,
2023-01-09,2.38,
2023-01-10,3.34,
2023-01-11,4.3,
2023-01-12,4.55,
2023-01-13,2.89,
2023-01-14,3.3,
2023-01-15,3.57,
2023-01-16,3.9,
2023-01-17,3.44,
2023-01-18,3.66,
2023-01-19,3.78,
2023-01-20,2.93,
2023-01-21,2.77,
2023-01-22,2.43,
2023-01-23,2.2,
2023-01-24,4.52,
2023-01-25,2.67,
2023-01-26,3.5,
2023-01-27,2.97,
2023-01-28,2.12,
2023-01-29,3.42,
2023-01-30,1.3,
2023-01-31,1.02,
2023-02-01,1.16,
2023-02-02,1.53,
2023-02-03,2.94,
2023-02-04,3.25,
2023-02-05,3.6,
2023-02-06,3.93,
2023-02-07,4.16,
2023-02-08,3.48,
2023-02-09,4.04,
2023-02-10,4.82,
2023-02-11,3.55,
2023-02-12,3.05,
2023-02-13,3.63,
2023-02-14,5.16,
2023-02-15,5.6,
2023-02-16,5.08,
2023-02-17,3.76,
2023-02-18,3.15,
2023-02-19,3.82,
2023-02-20,3.97,
2023-02-21,4.7,
2023-02-22,5.38,
2023-02-23,5.1,
2023-02-24,3.26,
2023-02-25,2.95,
2023-02-26,4.2,
2023-02-27,3.47,
2023-02-28,5.2,
2023-03-01,5.74,
2023-03-02,7.34,
2023-03-03,-,-
