Estación: ,C19147,LAS CRUCITAS. LINARES
1981-11-02,3.5,CLIC
1981-11-03,5,CLIC
1981-11-04,4,CLIC
1981-11-05,4,CLIC
1981-11-06,4,CLIC
1981-11-07,3,CLIC
1981-11-08,3.1,CLIC
1981-11-09,3,CLIC
1981-11-10,3.6,CLIC
1981-11-11,5.5,CLIC
1981-11-12,5,CLIC
1981-11-13,4.2,CLIC
1981-11-14,4,CLIC
1981-11-15,3,CLIC
1981-11-16,6.1,CLIC
1981-11-17,4,CLIC
1981-11-18,4,CLIC
1981-11-19,4.1,CLIC
1981-11-20,5,CLIC
1981-11-21,4.1,CLIC
1981-11-22,4,CLIC
1981-11-23,5.1,CLIC
1981-11-24,4.3,CLIC
1981-11-25,4,CLIC
1981-11-26,5,CLIC
1981-11-27,3.2,CLIC
1981-11-28,4,CLIC
1981-11-29,4.1,CLIC
1981-11-30,4,CLIC
1981-12-01,5.1,CLIC
1981-12-02,5,CLIC
1981-12-03,4.4,CLIC
1981-12-04,3.5,CLIC
1981-12-05,4.1,CLIC
1981-12-06,4.4,CLIC
1981-12-07,3.6,CLIC
1981-12-08,4,CLIC
1981-12-09,4.3,CLIC
1981-12-10,3.5,CLIC
1981-12-11,4.5,CLIC
1981-12-12,4.2,CLIC
1981-12-13,4.2,CLIC
1981-12-14,4.3,CLIC
1981-12-15,3.6,CLIC
1981-12-16,4,CLIC
1981-12-17,3,CLIC
1981-12-18,1.9,CLIC
1981-12-19,2.6,CLIC
1981-12-20,3.9,CLIC
1981-12-21,5.1,CLIC
1981-12-22,6.4,CLIC
1981-12-23,4.2,CLIC
1981-12-24,3.5,CLIC
1981-12-25,4.4,CLIC
1981-12-26,4.5,CLIC
1981-12-27,4.4,CLIC
1981-12-28,4,CLIC
1981-12-29,2.6,CLIC
1981-12-30,4.1,CLIC
1981-12-31,4.3,CLIC
1982-01-01,2.8,CLIC
1982-01-02,3.1,CLIC
1982-01-03,5.1,CLIC
1982-01-04,5.3,CLIC
1982-01-05,3.8,CLIC
1982-01-06,6.1,CLIC
1982-01-07,2,CLIC
1982-01-08,4,CLIC
1982-01-09,3,CLIC
1982-01-10,4,CLIC
1982-01-11,3,CLIC
1982-01-12,4,CLIC
1982-01-13,3.1,CLIC
1982-01-14,2,CLIC
1982-01-15,3,CLIC
1982-01-16,5.2,CLIC
1982-01-17,3,CLIC
1982-01-18,4,CLIC
1982-01-19,5.1,CLIC
1982-01-20,4,CLIC
1982-01-21,4.1,CLIC
1982-01-22,4,CLIC
1982-01-23,5.1,CLIC
1982-01-24,5,CLIC
1982-01-25,5.1,CLIC
1982-01-26,6,CLIC
1982-01-27,5.1,CLIC
1982-01-28,5,CLIC
1982-01-29,7.1,CLIC
1982-01-30,4.8,CLIC
1982-01-31,5,CLIC
1982-02-01,3.2,CLIC
1982-02-02,6.6,CLIC
1982-02-03,5,CLIC
1982-02-04,5.9,CLIC
1982-02-05,3.5,CLIC
1982-02-06,5.3,CLIC
1982-02-07,2.8,CLIC
1982-02-08,3.5,CLIC
1982-02-09,3.6,CLIC
1982-02-10,4.4,CLIC
1982-02-11,3.9,CLIC
1982-02-12,2.7,CLIC
1982-02-13,2.1,CLIC
1982-02-14,3,CLIC
1982-02-15,3,CLIC
1982-02-16,3.9,CLIC
1982-02-17,4.3,CLIC
1982-02-18,4.4,CLIC
1982-02-19,4.5,CLIC
1982-02-20,6.1,CLIC
1982-02-21,3.8,CLIC
1982-02-22,5.1,CLIC
1982-02-23,5.1,CLIC
1982-02-24,5.3,CLIC
1982-02-25,4.4,CLIC
1982-02-26,5.1,CLIC
1982-02-27,3.8,CLIC
1982-02-28,5.1,CLIC
1982-03-01,6.2,CLIC
1982-03-02,6.5,CLIC
1982-03-03,6.2,CLIC
1982-03-04,6.9,CLIC
1982-03-05,4,CLIC
1982-03-06,4.1,CLIC
1982-03-07,5.3,CLIC
1982-03-08,4,CLIC
1982-03-09,4.6,CLIC
1982-03-10,5.4,CLIC
1982-03-11,6.6,CLIC
1982-03-12,3.4,CLIC
1982-03-13,6.5,CLIC
1982-03-14,6,CLIC
1982-03-15,6.5,CLIC
1982-03-16,6.5,CLIC
1982-03-17,7.4,CLIC
1982-03-18,6.9,CLIC
1982-03-19,7,CLIC
1982-03-20,7.8,CLIC
1982-03-21,6.7,CLIC
1982-03-22,7.2,CLIC
1982-03-23,5.5,CLIC
1982-03-24,6.6,CLIC
1982-03-25,5,CLIC
1982-03-26,5.3,CLIC
1982-03-27,2.1,CLIC
1982-03-28,5.4,CLIC
1982-03-29,5.9,CLIC
1982-03-30,4.8,CLIC
1982-03-31,6.1,CLIC
1997-06-01,4.8,CLIC
1997-06-02,2.77,CLIC
1997-06-03,3.9,CLIC
1997-06-04,2.85,CLIC
1997-06-05,4.82,CLIC
1997-06-06,4.37,CLIC
1997-06-07,2.48,CLIC
1997-06-08,2.1,CLIC
1997-06-09,3.05,CLIC
1997-06-10,3.38,CLIC
1997-06-11,3.85,CLIC
1997-06-12,2.99,CLIC
1997-06-13,6.65,CLIC
1997-06-14,5.08,CLIC
1997-06-15,4.8,CLIC
1997-06-16,4.32,CLIC
1997-06-17,4.2,CLIC
1997-06-18,4.3,CLIC
1997-06-19,5.09,CLIC
1997-06-20,6.41,CLIC
1997-06-21,1.66,CLIC
1997-06-22,6.23,CLIC
1997-06-23,4.41,CLIC
1997-06-24,4.81,CLIC
1997-06-25,4.89,CLIC
1997-06-26,5.93,CLIC
1997-06-27,6.98,CLIC
1997-06-28,6.78,CLIC
1997-06-29,9.28,CLIC
1997-06-30,8.92,CLIC
1997-07-01,7.33,CLIC
1997-07-02,6.6,CLIC
1997-07-03,7.92,CLIC
1997-07-04,8.21,CLIC
1997-07-05,7.64,CLIC
1997-07-06,8.53,CLIC
1997-07-07,5.12,CLIC
1997-07-08,6.88,CLIC
1997-07-09,8.35,CLIC
1997-07-10,8.07,CLIC
1997-07-11,8.7,CLIC
1997-07-12,8.83,CLIC
1997-07-13,9.65,CLIC
1997-07-14,6.46,CLIC
1997-07-15,7.07,CLIC
1997-07-16,8.02,CLIC
1997-07-17,7.97,CLIC
1997-07-18,9.78,CLIC
1997-07-19,6.96,CLIC
1997-07-20,6.73,CLIC
1997-07-21,5.98,CLIC
1997-07-22,5.71,CLIC
1997-07-23,8.3,CLIC
1997-07-24,4.45,CLIC
1997-07-25,9.78,CLIC
1997-07-26,7.14,CLIC
1997-07-27,9.81,CLIC
1997-07-28,10.6,CLIC
1997-07-29,8.34,CLIC
1997-07-30,9.63,CLIC
1997-07-31,8.65,CLIC
1997-08-01,4.59,CLIC
1997-08-02,6.73,CLIC
1997-08-03,7.05,CLIC
1997-08-04,7.5,CLIC
1997-08-05,7.5,CLIC
1997-08-06,7.2,CLIC
1997-08-07,7.05,CLIC
1997-08-08,9.01,CLIC
1997-08-09,10.72,CLIC
1997-08-10,9.82,CLIC
1997-08-11,9.04,CLIC
1997-08-12,7.52,CLIC
1997-08-13,5.49,CLIC
1997-08-14,8.49,CLIC
1997-08-15,7.16,CLIC
1997-08-16,9.82,CLIC
1997-08-17,6.27,CLIC
1997-08-18,9.44,CLIC
1997-08-19,7.96,CLIC
1997-08-20,9.68,CLIC
1997-08-21,8.3,CLIC
1997-08-22,8.27,CLIC
1997-08-23,7.86,CLIC
1997-08-24,8.42,CLIC
1997-08-25,8.42,CLIC
1997-08-26,8.19,CLIC
1997-08-27,8.19,CLIC
1997-08-28,1.77,CLIC
1997-08-29,1.77,CLIC
1997-08-30,6.61,CLIC
1997-08-31,8.77,CLIC
1997-09-01,7.12,CLIC
1997-09-02,5.39,CLIC
1997-09-03,7.41,CLIC
1997-09-04,10.65,CLIC
1997-09-05,6.96,CLIC
1997-09-06,10.32,CLIC
1997-09-07,7.46,CLIC
1997-09-08,5.8,CLIC
1997-09-09,5.47,CLIC
1997-09-10,6.53,CLIC
1997-09-11,2.77,CLIC
1997-09-12,9.84,CLIC
1997-09-13,6.49,CLIC
1997-09-14,5.21,CLIC
1997-09-15,8.74,CLIC
1997-09-16,6.92,CLIC
1997-09-17,7.28,CLIC
1997-09-18,7.37,CLIC
1997-09-19,6.32,CLIC
1997-09-20,9.49,CLIC
1997-09-21,8.73,CLIC
1997-09-22,4.78,CLIC
1997-09-23,8.43,CLIC
1997-09-24,7.71,CLIC
1997-09-25,6.98,CLIC
1997-09-26,5.58,CLIC
1997-09-27,6.96,CLIC
1997-09-28,5.78,CLIC
1997-09-29,5.91,CLIC
1997-09-30,5.06,CLIC
1997-10-01,5.15,CLIC
1997-10-02,3.83,CLIC
1997-10-03,3.75,CLIC
1997-10-04,4.23,CLIC
1997-10-05,5.15,CLIC
1997-10-06,4.38,CLIC
1997-10-07,3.97,CLIC
1997-10-08,1.79,CLIC
1997-10-09,8.38,CLIC
1997-10-10,5.08,CLIC
1997-10-11,4.77,CLIC
1997-10-12,8.72,CLIC
1997-10-13,6.35,CLIC
1997-10-14,7.48,CLIC
1997-10-15,7.13,CLIC
1997-10-16,6.84,CLIC
1997-10-17,6.73,CLIC
1997-10-18,6.12,CLIC
1997-10-19,7.38,CLIC
1997-10-20,4.26,CLIC
1997-10-21,2.33,CLIC
1997-10-22,3.47,CLIC
1997-10-23,4.75,CLIC
1997-10-24,5.52,CLIC
1997-10-25,3.07,CLIC
1997-10-26,3.39,CLIC
1997-10-27,2.99,CLIC
1997-10-28,3.68,CLIC
1997-10-29,2.9,CLIC
1997-10-30,4.26,CLIC
1997-10-31,5.3,CLIC
1997-11-01,1,CLIC
1997-11-02,5.09,CLIC
1997-11-03,2.76,CLIC
1997-11-04,2.98,CLIC
1997-11-05,4.11,CLIC
1997-11-06,2.66,CLIC
1997-11-07,1.97,CLIC
1997-11-08,0.3,CLIC
1997-11-09,2.27,CLIC
1997-11-10,0.7,CLIC
1997-11-11,1.3,CLIC
1997-11-12,1.15,CLIC
1997-11-13,1.41,CLIC
1997-11-14,1.15,CLIC
1997-11-15,0.99,CLIC
1997-11-16,1.03,CLIC
1997-11-17,1.57,CLIC
1997-11-18,2.4,CLIC
1997-11-19,2.55,CLIC
1997-11-20,2.25,CLIC
1997-11-21,1.89,CLIC
1997-11-22,2.56,CLIC
1997-11-23,0.38,CLIC
1997-11-24,4.32,CLIC
1997-11-25,2.21,CLIC
1997-11-26,2.36,CLIC
1997-11-27,4.73,CLIC
1997-11-28,2.23,CLIC
1997-11-29,2.35,CLIC
1997-11-30,3.74,CLIC
1997-12-01,5.25,CLIC
1997-12-02,1.8,CLIC
1997-12-03,3.92,CLIC
1997-12-04,1.01,CLIC
1997-12-05,0.6,CLIC
1997-12-06,0.37,CLIC
1997-12-07,1.17,CLIC
1997-12-08,2.25,CLIC
1997-12-09,4.43,CLIC
1997-12-10,3.18,CLIC
1997-12-11,1.19,CLIC
1997-12-12,5.28,CLIC
1997-12-13,6.6,CLIC
1997-12-14,2.56,CLIC
1997-12-15,3.4,CLIC
1997-12-16,2.01,CLIC
1997-12-17,3.1,CLIC
1997-12-18,2.32,CLIC
1997-12-19,3.24,CLIC
1997-12-20,3.6,CLIC
1997-12-21,2.12,CLIC
1997-12-22,1.22,CLIC
1997-12-23,4.02,CLIC
1997-12-24,4.08,CLIC
1997-12-25,2.43,CLIC
1997-12-26,2.45,CLIC
1997-12-27,1.38,CLIC
1997-12-28,1.85,CLIC
1997-12-29,2.07,CLIC
1997-12-30,1.53,CLIC
1997-12-31,1.78,CLIC
1998-01-01,4.1,CLIC
1998-01-02,3.43,CLIC
1998-01-03,5.25,CLIC
1998-01-04,2.55,CLIC
1998-01-05,3.22,CLIC
1998-01-06,2.11,CLIC
1998-01-07,2.94,CLIC
1998-01-08,1.51,CLIC
1998-01-09,4.63,CLIC
1998-01-10,2.88,CLIC
1998-01-11,3.63,CLIC
1998-01-12,2.03,CLIC
1998-01-13,1.53,CLIC
1998-01-14,1.04,CLIC
1998-01-15,3.13,CLIC
1998-01-16,5.35,CLIC
1998-01-17,1.9,CLIC
1998-01-18,2.62,CLIC
1998-01-19,4.31,CLIC
1998-01-20,3.44,CLIC
1998-01-21,3.93,CLIC
1998-01-22,2.73,CLIC
1998-01-23,2.71,CLIC
1998-01-24,3.28,CLIC
1998-01-25,2.99,CLIC
1998-01-26,4.43,CLIC
1998-01-27,6.41,CLIC
1998-01-28,3.9,CLIC
1998-01-29,4.69,CLIC
1998-01-30,3.02,CLIC
1998-01-31,3.31,CLIC
1998-02-01,3.32,CLIC
1998-02-02,6.27,CLIC
1998-02-03,4.44,CLIC
1998-02-04,5.29,CLIC
1998-02-05,2.82,CLIC
1998-02-06,3.52,CLIC
1998-02-07,2.74,CLIC
1998-02-08,2.74,CLIC
1998-02-09,5.93,CLIC
1998-02-10,6.89,CLIC
1998-02-11,5.88,CLIC
1998-02-12,5.51,CLIC
1998-02-13,4.05,CLIC
1998-02-14,8.4,CLIC
1998-02-15,8.08,CLIC
1998-02-16,4.97,CLIC
1998-02-17,4.36,CLIC
1998-02-18,3.64,CLIC
1998-02-19,5.56,CLIC
1998-02-20,6.69,CLIC
1998-02-21,5.93,CLIC
1998-02-22,5.93,CLIC
1998-02-23,7.95,CLIC
1998-02-24,7.04,CLIC
1998-02-25,9.13,CLIC
1998-02-26,9.13,CLIC
1998-02-27,1.73,CLIC
1998-02-28,1.74,CLIC
1998-03-01,2.11,CLIC
1998-03-02,4.6,CLIC
1998-03-03,1.45,CLIC
1998-03-04,3.47,CLIC
1998-03-05,6.58,CLIC
1998-03-06,3.65,CLIC
1998-03-07,8.3,CLIC
1998-03-08,6.78,CLIC
1998-03-09,4.48,CLIC
1998-03-10,3.77,CLIC
1998-03-11,0.22,CLIC
1998-03-12,1.52,CLIC
1998-03-13,0.29,CLIC
1998-03-14,2.1,CLIC
1998-03-15,6.12,CLIC
1998-03-16,6.45,CLIC
1998-03-17,5.22,CLIC
1998-03-18,5.67,CLIC
1998-03-19,6.26,CLIC
1998-03-20,5,CLIC
1998-03-21,1.95,CLIC
1998-03-22,5.14,CLIC
1998-03-23,5.87,CLIC
1998-03-24,8.76,CLIC
1998-03-25,8.3,CLIC
1998-03-26,6.75,CLIC
1998-03-27,7.73,CLIC
1998-03-28,6.49,CLIC
1998-03-29,8.9,CLIC
1998-03-30,8.8,CLIC
1998-03-31,8.9,CLIC
1998-07-01,6.32,CLIC
1998-07-02,9.75,CLIC
1998-07-03,8.3,CLIC
1998-07-04,8.4,CLIC
1998-07-05,10.68,CLIC
1998-07-06,10.23,CLIC
1998-07-07,12.23,CLIC
1998-07-08,8.73,CLIC
1998-07-09,10.34,CLIC
1998-07-10,10.2,CLIC
1998-07-11,9.72,CLIC
1998-07-12,11.43,CLIC
1998-07-13,10.3,CLIC
1998-07-14,11.25,CLIC
1998-07-15,9.3,CLIC
1998-07-16,6.78,CLIC
1998-07-17,10.21,CLIC
1998-07-18,10.04,CLIC
1998-07-19,8.35,CLIC
1998-07-20,10.68,CLIC
1998-07-21,9.98,CLIC
1998-07-22,12.15,CLIC
1998-07-23,10.81,CLIC
1998-07-24,11.41,CLIC
1998-07-25,9.85,CLIC
1998-07-26,9.55,CLIC
1998-07-27,7.77,CLIC
1998-07-28,9.05,CLIC
1998-07-29,9.72,CLIC
1998-07-30,11.29,CLIC
1998-07-31,10.22,CLIC
1998-08-01,8.95,CLIC
1998-08-02,10.37,CLIC
1998-08-03,7.44,CLIC
1998-08-04,8.38,CLIC
1998-08-05,9.58,CLIC
1998-08-06,7.72,CLIC
1998-08-07,7.44,CLIC
1998-08-08,7.59,CLIC
1998-08-09,8.71,CLIC
1998-08-10,10.61,CLIC
1998-08-11,10.7,CLIC
1998-08-12,9.55,CLIC
1998-08-13,8.3,CLIC
1998-08-14,11,CLIC
1998-08-15,4.53,CLIC
1998-08-16,7.49,CLIC
1998-08-17,5.79,CLIC
1998-08-18,8.39,CLIC
1998-08-19,5.88,CLIC
1998-08-20,0,CLIC
1998-08-21,6.85,CLIC
1998-08-22,3.11,CLIC
1998-08-23,4.66,CLIC
1998-08-24,7.28,CLIC
1998-08-25,7.03,CLIC
1998-08-26,5.73,CLIC
1998-08-27,5.82,CLIC
1998-08-28,7.59,CLIC
1998-08-29,7.7,CLIC
1998-08-30,4.98,CLIC
1998-08-31,5.53,CLIC
1998-09-01,5.63,CLIC
1998-09-02,4.34,CLIC
1998-09-03,4.77,CLIC
1998-09-04,8.26,CLIC
1998-09-05,3.05,CLIC
1998-09-06,3.09,CLIC
1998-09-07,4.1,CLIC
1998-09-08,6.34,CLIC
1998-09-09,2.81,CLIC
1998-09-10,5.45,CLIC
1998-09-11,3.85,CLIC
1998-09-12,3.91,CLIC
1998-09-13,1.59,CLIC
1998-09-14,7.7,CLIC
1998-09-15,1.8,CLIC
1998-09-16,2.46,CLIC
1998-09-17,0,CLIC
1998-09-18,0.94,CLIC
1998-09-19,5.02,CLIC
1998-09-20,2.33,CLIC
1998-09-21,6.7,CLIC
1998-09-22,6.81,CLIC
1998-09-23,5.09,CLIC
1998-09-24,4.03,CLIC
1998-09-25,3.32,CLIC
1998-09-26,4.95,CLIC
1998-09-27,5.75,CLIC
1998-09-28,6.45,CLIC
1998-09-29,5.38,CLIC
1998-09-30,5.6,CLIC
1998-10-01,4.56,CLIC
1998-10-02,3.84,CLIC
1998-10-03,2.64,CLIC
1998-10-04,4.9,CLIC
1998-10-05,5.02,CLIC
1998-10-06,2.41,CLIC
1998-10-07,2.9,CLIC
1998-10-08,3.86,CLIC
1998-10-09,4.32,CLIC
1998-10-10,2.91,CLIC
1998-10-11,2.79,CLIC
1998-10-12,2.45,CLIC
1998-10-13,4,CLIC
1998-10-14,3.08,CLIC
1998-10-15,4.01,CLIC
1998-10-16,3.41,CLIC
1998-10-17,2.91,CLIC
1998-10-18,3.59,CLIC
1998-10-19,1.2,CLIC
1998-10-20,1.93,CLIC
1998-10-21,1.89,CLIC
1998-10-22,2.16,CLIC
1998-10-23,3.08,CLIC
1998-10-24,2.26,CLIC
1998-10-25,2.8,CLIC
1998-10-26,2.75,CLIC
1998-10-27,2.03,CLIC
1998-10-28,2.04,CLIC
1998-10-29,1.24,CLIC
1998-10-30,3.81,CLIC
1998-10-31,2.61,CLIC
1998-11-01,1.28,CLIC
1998-11-02,1.81,CLIC
1998-11-03,1.24,CLIC
1998-11-04,0.84,CLIC
1998-11-05,3.6,CLIC
1998-11-06,0.01,CLIC
1998-11-07,1.17,CLIC
1998-11-08,2.21,CLIC
1998-11-09,1.64,CLIC
1998-11-10,2.46,CLIC
1998-11-11,2.7,CLIC
1998-11-12,0.89,CLIC
1998-11-13,2.25,CLIC
1998-11-14,1.05,CLIC
1998-11-15,1.58,CLIC
1998-11-16,3,CLIC
1998-11-17,2.66,CLIC
1998-11-18,1.37,CLIC
1998-11-19,2.04,CLIC
1998-11-20,3.39,CLIC
1998-11-21,2.45,CLIC
1998-11-22,5.88,CLIC
1998-11-23,0.37,CLIC
1998-11-24,2.5,CLIC
1998-11-25,2.2,CLIC
1998-11-26,0.46,CLIC
1998-11-27,0.84,CLIC
1998-11-28,2.01,CLIC
1998-11-29,3.06,CLIC
1998-11-30,1.7,CLIC
1998-12-01,2.81,CLIC
1998-12-02,1.51,CLIC
1998-12-03,3.16,CLIC
1998-12-04,2.61,CLIC
1998-12-05,1.86,CLIC
1998-12-06,3.25,CLIC
1998-12-07,1.36,CLIC
1998-12-08,2.27,CLIC
1998-12-09,2.19,CLIC
1998-12-10,0.33,CLIC
1998-12-11,2.76,CLIC
1998-12-12,1.11,CLIC
1998-12-13,1.56,CLIC
1998-12-14,0.74,CLIC
1998-12-15,2.64,CLIC
1998-12-16,1.11,CLIC
1998-12-17,2.59,CLIC
1998-12-18,2.26,CLIC
1998-12-19,3.64,CLIC
1998-12-20,1.71,CLIC
1998-12-21,2.13,CLIC
1998-12-22,2.01,CLIC
1998-12-23,0.84,CLIC
1998-12-24,2.68,CLIC
1998-12-25,1.58,CLIC
1998-12-26,1.31,CLIC
1998-12-27,1.8,CLIC
1998-12-28,2.18,CLIC
1998-12-29,2.61,CLIC
1998-12-30,1.77,CLIC
1998-12-31,2.19,CLIC
1999-01-01,2.5,CLIC
1999-01-02,3.13,CLIC
1999-01-03,0.7,CLIC
1999-01-04,1.26,CLIC
1999-01-05,1.9,CLIC
1999-01-06,3.71,CLIC
1999-01-07,1.63,CLIC
1999-01-08,3.29,CLIC
1999-01-09,1.56,CLIC
1999-01-10,2.28,CLIC
1999-01-11,2.56,CLIC
1999-01-12,2.18,CLIC
1999-01-13,1.93,CLIC
1999-01-14,2.72,CLIC
1999-01-15,3.99,CLIC
1999-01-16,3.23,CLIC
1999-01-17,2.72,CLIC
1999-01-18,3.12,CLIC
1999-01-19,3.86,CLIC
1999-01-20,2.09,CLIC
1999-01-21,5.15,CLIC
1999-01-22,3.87,CLIC
1999-01-23,3.92,CLIC
1999-01-24,4.18,CLIC
1999-01-25,4.27,CLIC
1999-01-26,4.45,CLIC
1999-01-27,4,CLIC
1999-01-28,1.59,CLIC
1999-01-29,4.25,CLIC
1999-01-30,3.44,CLIC
1999-01-31,3.55,CLIC
1999-02-01,4.11,CLIC
1999-02-02,2.16,CLIC
1999-02-03,2.83,CLIC
1999-02-04,2.3,CLIC
1999-02-05,3.54,CLIC
1999-02-06,5.19,CLIC
1999-02-07,3.13,CLIC
1999-02-08,4.5,CLIC
1999-02-09,3.38,CLIC
1999-02-10,2.82,CLIC
1999-02-11,8.04,CLIC
1999-02-12,2.5,CLIC
1999-02-13,5.01,CLIC
1999-02-14,4.04,CLIC
1999-02-15,4.12,CLIC
1999-02-16,5.4,CLIC
1999-02-17,3.94,CLIC
1999-02-18,5.72,CLIC
1999-02-19,3.92,CLIC
1999-02-20,7.67,CLIC
1999-02-21,2.72,CLIC
1999-02-22,3.84,CLIC
1999-02-23,2.98,CLIC
1999-02-24,4.09,CLIC
1999-02-25,2.72,CLIC
1999-02-26,3.07,CLIC
1999-02-27,6.23,CLIC
1999-02-28,3.36,CLIC
1999-03-01,3.38,CLIC
1999-03-02,7.18,CLIC
1999-03-03,5.02,CLIC
1999-03-04,6.43,CLIC
1999-03-05,5.69,CLIC
1999-03-06,5.74,CLIC
1999-03-07,4.6,CLIC
1999-03-08,7.17,CLIC
1999-03-09,4.83,CLIC
1999-03-10,4.17,CLIC
1999-03-11,3.15,CLIC
1999-03-12,6.26,CLIC
1999-03-13,5.77,CLIC
1999-03-14,5.8,CLIC
1999-03-15,6.5,CLIC
1999-03-16,4.95,CLIC
1999-03-17,5.21,CLIC
1999-03-18,6.67,CLIC
1999-03-19,3.96,CLIC
1999-03-20,0.64,CLIC
1999-03-21,0.81,CLIC
1999-03-22,2.19,CLIC
1999-03-23,4.97,CLIC
1999-03-24,6.68,CLIC
1999-03-25,0.91,CLIC
1999-03-26,0.26,CLIC
1999-03-27,4.56,CLIC
1999-03-28,2.17,CLIC
1999-03-29,5.41,CLIC
1999-03-30,1.98,CLIC
1999-03-31,4.85,CLIC
1999-04-01,2.9,CLIC
1999-04-02,3.83,CLIC
1999-04-03,9.87,CLIC
1999-04-04,8.95,CLIC
1999-04-05,7.94,CLIC
1999-04-06,5.84,CLIC
1999-04-07,9.16,CLIC
1999-04-08,9.04,CLIC
1999-04-09,10.58,CLIC
1999-04-10,9.26,CLIC
1999-04-11,2.26,CLIC
1999-04-12,7.65,CLIC
1999-04-13,7.41,CLIC
1999-04-14,9.68,CLIC
1999-04-15,6.17,CLIC
1999-04-16,2.53,CLIC
1999-04-17,5.93,CLIC
1999-04-18,7.22,CLIC
1999-04-19,7.18,CLIC
1999-04-20,6.6,CLIC
1999-04-21,8.35,CLIC
1999-04-22,9.27,CLIC
1999-04-23,9.14,CLIC
1999-04-24,5.8,CLIC
1999-04-25,4.14,CLIC
1999-04-26,7.58,CLIC
1999-04-27,7.3,CLIC
1999-04-28,7.5,CLIC
1999-04-29,7.56,CLIC
1999-04-30,4.9,CLIC
1999-05-01,1.36,CLIC
1999-05-02,6.25,CLIC
1999-05-03,10.63,CLIC
1999-05-04,8.2,CLIC
1999-05-05,9.46,CLIC
1999-05-06,8.59,CLIC
1999-05-07,6.16,CLIC
1999-05-08,5.75,CLIC
1999-05-09,7.3,CLIC
1999-05-10,7.59,CLIC
1999-05-11,6.9,CLIC
1999-05-12,3.87,CLIC
1999-05-13,5.51,CLIC
1999-05-14,6.06,CLIC
1999-05-15,8.04,CLIC
1999-05-16,7.26,CLIC
1999-05-17,5.93,CLIC
1999-05-18,6.01,CLIC
1999-05-19,3.59,CLIC
1999-05-20,9.5,CLIC
1999-05-21,6.27,CLIC
1999-05-22,8.39,CLIC
1999-05-23,6.6,CLIC
1999-05-24,7.3,CLIC
1999-05-25,6.69,CLIC
1999-05-26,8.09,CLIC
1999-05-27,8.75,CLIC
1999-05-28,5.9,CLIC
1999-05-29,5.63,CLIC
1999-05-30,5.89,CLIC
1999-05-31,10.51,CLIC
1999-06-01,10.55,CLIC
1999-06-02,6.67,CLIC
1999-06-03,8.11,CLIC
1999-06-04,8.91,CLIC
1999-06-05,10.09,CLIC
1999-06-06,10.51,CLIC
1999-06-07,9.6,CLIC
1999-06-08,8.45,CLIC
1999-06-09,5.75,CLIC
1999-06-10,7.79,CLIC
1999-06-11,6.08,CLIC
1999-06-12,9.87,CLIC
1999-06-13,6.95,CLIC
1999-06-15,9.11,CLIC
1999-06-17,5.4,CLIC
1999-06-18,7.15,CLIC
1999-06-19,9.89,CLIC
1999-06-20,5.21,CLIC
1999-06-21,7.7,CLIC
1999-06-22,3.4,CLIC
1999-06-23,6.55,CLIC
1999-06-24,4.65,CLIC
1999-06-25,8.78,CLIC
1999-06-26,5.32,CLIC
1999-06-27,6.16,CLIC
1999-06-28,8.32,CLIC
