Estación: ,C19106,LA POMONA. LINARES
1978-11-16,1.4,CLIC
1978-11-17,3.4,CLIC
1978-11-18,0.9,CLIC
1978-11-19,0.1,CLIC
1978-11-20,1.7,CLIC
1978-11-21,0.1,CLIC
1978-11-22,0.4,CLIC
1978-11-23,0.3,CLIC
1978-11-24,0.6,CLIC
1978-11-25,3.5,CLIC
1978-11-26,1.9,CLIC
1978-11-27,1.8,CLIC
1978-11-28,1.1,CLIC
1978-11-29,6.6,CLIC
1978-11-30,1,CLIC
1978-12-01,2.2,CLIC
1978-12-02,2.8,CLIC
1978-12-03,2.3,CLIC
1978-12-04,2.2,CLIC
1978-12-05,5.9,CLIC
1978-12-06,3.4,CLIC
1978-12-07,5.8,CLIC
1978-12-08,0.7,CLIC
1978-12-09,2.5,CLIC
1978-12-10,1.9,CLIC
1978-12-11,0.6,CLIC
1978-12-12,1.5,CLIC
1978-12-13,1.8,CLIC
1978-12-14,2.2,CLIC
1978-12-15,1,CLIC
1978-12-16,1,CLIC
1978-12-17,0.4,CLIC
1978-12-18,0.6,CLIC
1978-12-19,0.6,CLIC
1978-12-20,5.3,CLIC
1978-12-21,4.2,CLIC
1978-12-22,2.6,CLIC
1978-12-23,3.4,CLIC
1978-12-24,3.1,CLIC
1978-12-25,2.9,CLIC
1978-12-26,0.1,CLIC
1978-12-27,0.4,CLIC
1978-12-28,0.1,CLIC
1978-12-29,0.2,CLIC
1978-12-30,2.9,CLIC
1978-12-31,2.9,CLIC
1979-01-01,4.9,CLIC
1979-01-02,2.8,CLIC
1979-01-03,0.9,CLIC
1979-01-04,1.3,CLIC
1979-01-05,2,CLIC
1979-01-06,1.7,CLIC
1979-01-07,0.1,CLIC
1979-01-08,0.4,CLIC
1979-01-09,3.1,CLIC
1979-01-10,1,CLIC
1979-01-11,0.6,CLIC
1979-01-12,2.5,CLIC
1979-01-13,7,CLIC
1979-01-14,0.4,CLIC
1979-01-15,1.5,CLIC
1979-01-16,0.2,CLIC
1979-01-17,3.5,CLIC
1979-01-18,5.7,CLIC
1979-01-19,3.7,CLIC
1979-01-20,6.1,CLIC
1979-01-21,3.8,CLIC
1979-01-22,1.4,CLIC
1979-01-23,5.7,CLIC
1979-01-24,2.1,CLIC
1979-01-25,1.3,CLIC
1979-01-26,2.7,CLIC
1979-01-27,2.9,CLIC
1979-01-28,0.2,CLIC
1979-01-29,0.5,CLIC
1979-01-30,2,CLIC
1979-01-31,1.4,CLIC
1979-02-01,2.5,CLIC
1979-02-02,1.8,CLIC
1979-02-03,2,CLIC
1979-02-04,2.7,CLIC
1979-02-05,1.7,CLIC
1979-02-06,2.2,CLIC
1979-02-07,0.8,CLIC
1979-02-08,1.3,CLIC
1979-02-09,1.9,CLIC
1979-02-10,1.7,CLIC
1979-02-11,2.3,CLIC
1979-02-12,3.5,CLIC
1979-02-13,3.2,CLIC
1979-02-14,2.6,CLIC
1979-02-15,2.1,CLIC
1979-02-16,2.7,CLIC
1979-02-17,2.9,CLIC
1979-02-18,2.9,CLIC
1979-02-19,1.9,CLIC
1979-02-20,2.2,CLIC
1979-02-21,2.4,CLIC
1979-02-22,2.2,CLIC
1979-02-23,2.3,CLIC
1979-02-24,3.7,CLIC
1979-02-25,1.9,CLIC
1979-02-26,2.2,CLIC
1979-02-27,2.8,CLIC
1979-02-28,8.5,CLIC
1979-03-01,4.2,CLIC
1979-03-02,4.8,CLIC
1979-03-03,2.8,CLIC
1979-03-04,4.2,CLIC
1979-03-05,1,CLIC
1979-03-06,2.5,CLIC
1979-03-07,2.5,CLIC
1979-03-08,2,CLIC
1979-03-09,7,CLIC
1979-03-10,4.3,CLIC
1979-03-11,3.7,CLIC
1979-03-12,3,CLIC
1979-03-13,2,CLIC
1979-03-14,3.8,CLIC
1979-03-15,4.4,CLIC
1979-03-16,3,CLIC
1979-03-17,4.9,CLIC
1979-03-18,2.3,CLIC
1979-03-19,5.7,CLIC
1979-03-20,5.8,CLIC
1979-03-21,2.9,CLIC
1979-03-22,5.9,CLIC
1979-03-23,6,CLIC
1979-03-24,5.1,CLIC
1979-03-25,6.2,CLIC
1979-03-26,8.5,CLIC
1979-03-27,1.5,CLIC
1979-03-28,4.3,CLIC
1979-03-29,8,CLIC
1979-03-30,6,CLIC
1979-03-31,3.1,CLIC
1979-04-01,3,CLIC
1979-04-02,9.9,CLIC
1979-04-03,2.3,CLIC
1979-04-04,0.7,CLIC
1979-04-05,4.9,CLIC
1979-04-06,6.6,CLIC
1979-04-07,5.6,CLIC
1979-04-08,4.8,CLIC
1979-04-09,8.1,CLIC
1979-04-10,4.8,CLIC
1979-04-11,7.6,CLIC
1979-04-12,10.2,CLIC
1979-04-13,4.6,CLIC
1979-04-14,7,CLIC
1979-04-15,6.9,CLIC
1979-04-16,4.7,CLIC
1979-04-17,0.4,CLIC
1979-04-18,1.5,CLIC
1979-04-19,5.9,CLIC
1979-04-20,8.4,CLIC
1979-04-21,4.3,CLIC
1979-04-22,4.8,CLIC
1979-04-23,4.6,CLIC
1979-04-24,4.4,CLIC
1979-04-25,7.1,CLIC
1979-04-26,8.6,CLIC
1979-04-27,6.5,CLIC
1979-04-28,5.6,CLIC
1979-04-29,3,CLIC
1979-04-30,5,CLIC
1979-05-01,4.6,CLIC
1979-05-02,5.5,CLIC
1979-05-03,7.6,CLIC
1979-05-04,7.8,CLIC
1979-05-05,4.4,CLIC
1979-05-06,8.7,CLIC
1979-05-07,6.2,CLIC
1979-05-08,8.7,CLIC
1979-05-09,9.1,CLIC
1979-05-10,8.5,CLIC
1979-05-11,4.4,CLIC
1979-05-12,3.3,CLIC
1979-05-13,6,CLIC
1979-05-14,8.3,CLIC
1979-05-15,4.8,CLIC
1979-05-16,4.6,CLIC
1979-05-17,3.6,CLIC
1979-05-18,5.5,CLIC
1979-05-19,9.5,CLIC
1979-05-20,6.3,CLIC
1979-05-21,5.2,CLIC
1979-05-22,5.3,CLIC
1979-05-23,6,CLIC
1979-05-24,6.4,CLIC
1979-05-25,3.5,CLIC
1979-05-26,6.5,CLIC
1979-05-27,8.3,CLIC
1979-05-28,5.8,CLIC
1979-05-29,9.6,CLIC
1979-05-30,6,CLIC
1979-05-31,8.4,CLIC
1979-06-01,5.7,CLIC
1979-06-02,4.9,CLIC
1979-06-03,4.7,CLIC
1979-06-04,2.8,CLIC
1979-06-05,0.5,CLIC
1979-06-06,7,CLIC
1979-06-07,4,CLIC
1979-06-08,15.3,CLIC
1979-06-09,4.3,CLIC
1979-06-10,8.5,CLIC
1979-06-11,8.7,CLIC
1979-06-12,8.4,CLIC
1979-06-13,8.7,CLIC
1979-06-14,7.6,CLIC
1979-06-15,8.4,CLIC
1979-06-16,8.2,CLIC
1979-06-17,6.9,CLIC
1979-06-18,9.8,CLIC
1979-06-19,8.1,CLIC
1979-06-20,7.5,CLIC
1979-06-21,7.3,CLIC
1979-06-22,12.2,CLIC
1979-06-23,6.8,CLIC
1979-06-24,6.4,CLIC
1979-06-25,6.8,CLIC
1979-06-26,6.5,CLIC
1979-06-27,10.2,CLIC
1979-06-28,9.8,CLIC
1979-06-29,8.4,CLIC
1979-06-30,8.9,CLIC
1979-07-01,9.3,CLIC
1979-07-02,9,CLIC
1979-07-03,12.7,CLIC
1979-07-04,8.4,CLIC
1979-07-05,7.6,CLIC
1979-07-06,7.4,CLIC
1979-07-07,9.5,CLIC
1979-07-08,8.4,CLIC
1979-07-09,5.1,CLIC
1979-07-10,12.9,CLIC
1979-07-11,7.3,CLIC
1979-07-12,5.3,CLIC
1979-07-13,8.3,CLIC
1979-07-14,10.1,CLIC
1979-07-15,8.3,CLIC
1979-07-16,10.1,CLIC
1979-07-17,10.1,CLIC
1979-07-18,5.8,CLIC
1979-07-19,6.8,CLIC
1979-07-20,8,CLIC
1979-07-21,11.8,CLIC
1979-07-22,8.5,CLIC
1979-07-23,6.1,CLIC
1979-07-24,8.2,CLIC
1979-07-25,10.2,CLIC
1979-07-26,7,CLIC
1979-07-27,4.7,CLIC
1979-07-28,4.3,CLIC
1979-07-29,10,CLIC
1979-07-30,10.1,CLIC
1979-07-31,5.1,CLIC
1979-08-01,10.1,CLIC
1979-08-02,10.2,CLIC
1979-08-03,10.7,CLIC
1979-08-04,8.1,CLIC
1979-08-05,9.7,CLIC
1979-08-06,6.9,CLIC
1979-08-07,2.2,CLIC
1979-08-08,8.4,CLIC
1979-08-09,2.6,CLIC
1979-08-10,6.3,CLIC
1979-08-11,10.5,CLIC
1979-08-12,10.1,CLIC
1979-08-13,6.4,CLIC
1979-08-14,8.8,CLIC
1979-08-15,8.3,CLIC
1979-08-16,7.7,CLIC
1979-08-17,6.5,CLIC
1979-08-18,8.8,CLIC
1979-08-19,8.5,CLIC
1979-08-20,6.8,CLIC
1979-08-21,5.7,CLIC
1979-08-22,9,CLIC
1979-08-23,8.3,CLIC
1979-08-24,5.9,CLIC
1979-08-25,6.6,CLIC
1979-08-26,2.6,CLIC
1979-08-27,10.6,CLIC
1979-08-28,0.4,CLIC
1979-08-29,1.5,CLIC
1979-08-30,1.6,CLIC
1979-08-31,4.4,CLIC
1979-09-01,1.2,CLIC
1979-09-02,7.1,CLIC
1979-09-03,6.9,CLIC
1979-09-04,4,CLIC
1979-09-05,2.7,CLIC
1979-09-06,7.9,CLIC
1979-09-07,3.2,CLIC
1979-09-08,1.3,CLIC
1979-09-10,2.8,CLIC
1979-09-11,3.7,CLIC
1979-09-12,4.9,CLIC
1979-09-13,5.3,CLIC
1979-09-14,8.9,CLIC
1979-09-15,9.1,CLIC
1979-09-16,7.9,CLIC
1979-09-17,6.6,CLIC
1979-09-18,4.5,CLIC
1979-09-19,4.3,CLIC
1979-09-20,1.3,CLIC
1979-09-21,4.8,CLIC
1979-09-22,4.9,CLIC
1979-09-23,6.6,CLIC
1979-09-24,5.1,CLIC
1979-09-25,5.2,CLIC
1979-09-26,5.2,CLIC
1979-09-27,4.2,CLIC
1979-09-28,6.7,CLIC
1979-09-29,5.4,CLIC
1979-09-30,5.2,CLIC
1979-10-01,10.6,CLIC
1979-10-02,5.4,CLIC
1979-10-03,4.4,CLIC
1979-10-04,4.8,CLIC
1979-10-05,3.6,CLIC
1979-10-06,4.1,CLIC
1979-10-07,5.4,CLIC
1979-10-08,4.9,CLIC
1979-10-09,4.3,CLIC
1979-10-10,6.8,CLIC
1979-10-11,5.8,CLIC
1979-10-12,2.8,CLIC
1979-10-13,6.1,CLIC
1979-10-14,5.7,CLIC
1979-10-15,6.6,CLIC
1979-10-16,5,CLIC
1979-10-17,7,CLIC
1979-10-18,7,CLIC
1979-10-19,2.3,CLIC
1979-10-20,5,CLIC
1979-10-21,6.4,CLIC
1979-10-22,4.7,CLIC
1979-10-23,4.5,CLIC
1979-10-24,4.1,CLIC
1979-10-25,6.8,CLIC
1979-10-26,2.8,CLIC
1979-10-27,4.2,CLIC
1979-10-28,4.6,CLIC
1979-10-29,3.3,CLIC
1979-10-30,4.2,CLIC
1979-10-31,8.8,CLIC
1979-11-01,5.2,CLIC
1979-11-02,3,CLIC
1979-11-03,1.8,CLIC
1979-11-04,1.9,CLIC
1979-11-05,2.8,CLIC
1979-11-06,4.7,CLIC
1979-11-07,4.2,CLIC
1979-11-08,2.6,CLIC
1979-11-09,3.6,CLIC
1979-11-10,3.8,CLIC
1979-11-11,2.2,CLIC
1979-11-12,3.3,CLIC
1979-11-13,3.7,CLIC
1979-11-14,3.4,CLIC
1979-11-15,1.6,CLIC
1979-11-16,0.1,CLIC
1979-11-17,1.2,CLIC
1979-11-18,3.8,CLIC
1979-11-19,1,CLIC
1979-11-20,4.1,CLIC
1979-11-21,2.5,CLIC
1979-11-22,5.9,CLIC
1979-11-23,1.8,CLIC
1979-11-24,3,CLIC
1979-11-25,3.9,CLIC
1979-11-26,0.6,CLIC
1979-11-27,1.1,CLIC
1979-11-28,7.3,CLIC
1979-11-29,3.5,CLIC
1979-11-30,1.4,CLIC
1979-12-01,6.9,CLIC
1979-12-02,2,CLIC
1979-12-03,2,CLIC
1979-12-04,3,CLIC
1979-12-05,3.9,CLIC
1979-12-06,6,CLIC
1979-12-07,3,CLIC
1979-12-08,4.9,CLIC
1979-12-09,4.2,CLIC
1979-12-10,3.8,CLIC
1979-12-11,5.1,CLIC
1979-12-12,4,CLIC
1979-12-13,4.1,CLIC
1979-12-14,7,CLIC
1979-12-15,1.8,CLIC
1979-12-16,3.2,CLIC
1979-12-17,2,CLIC
1979-12-18,2.8,CLIC
1979-12-19,2.2,CLIC
1979-12-20,4.7,CLIC
1979-12-21,4.3,CLIC
1979-12-22,4,CLIC
1979-12-23,6.5,CLIC
1979-12-24,2.7,CLIC
1979-12-25,3.2,CLIC
1979-12-26,2,CLIC
1979-12-27,1.6,CLIC
1979-12-28,1,CLIC
1979-12-29,2.9,CLIC
1979-12-30,0.4,CLIC
1979-12-31,1.9,CLIC
1980-01-01,2.9,CLIC
1980-01-02,1.8,CLIC
1980-01-03,0.5,CLIC
1980-01-04,0.9,CLIC
1980-01-05,2.6,CLIC
1980-01-06,3.8,CLIC
1980-01-07,1.3,CLIC
1980-01-08,1,CLIC
1980-01-09,1.4,CLIC
1980-01-10,1.7,CLIC
1980-01-11,2,CLIC
1980-01-12,2.4,CLIC
1980-01-13,3,CLIC
1980-01-14,3.6,CLIC
1980-01-15,2.5,CLIC
1980-01-16,2.8,CLIC
1980-01-17,1.1,CLIC
1980-01-18,3.4,CLIC
1980-01-19,3.3,CLIC
1980-01-20,2.8,CLIC
1980-01-21,0.7,CLIC
1980-01-22,1.3,CLIC
1980-01-23,2.2,CLIC
1980-01-24,1.3,CLIC
1980-01-25,0.9,CLIC
1980-01-26,1.4,CLIC
1980-01-28,2.7,CLIC
1980-01-29,0.9,CLIC
1980-01-30,1.8,CLIC
1980-01-31,0.5,CLIC
1980-02-01,0.5,CLIC
1980-02-02,2.3,CLIC
1980-02-03,1,CLIC
1980-02-04,1.6,CLIC
1980-02-05,3.5,CLIC
1980-02-06,3,CLIC
1980-02-07,2.4,CLIC
1980-02-08,3.8,CLIC
1980-02-09,5.4,CLIC
1980-02-10,2.4,CLIC
1980-02-11,2.9,CLIC
1980-02-12,0.3,CLIC
1980-02-13,1,CLIC
1980-02-14,0.5,CLIC
1980-02-15,0.2,CLIC
1980-02-16,0.2,CLIC
1980-02-17,2.5,CLIC
1980-02-18,2.9,CLIC
1980-02-19,3.9,CLIC
1980-02-20,3.9,CLIC
1980-02-21,4.7,CLIC
1980-02-22,6.6,CLIC
1980-02-23,2.6,CLIC
1980-02-24,5.1,CLIC
1980-02-25,0.2,CLIC
1980-02-26,3.6,CLIC
1980-02-27,4.1,CLIC
1980-02-28,2,CLIC
1980-02-29,4.7,CLIC
1980-03-01,5.9,CLIC
1980-03-02,4.7,CLIC
1980-03-03,6.2,CLIC
1980-03-04,5.1,CLIC
1980-03-05,1,CLIC
1980-03-06,9.7,CLIC
1980-03-07,1,CLIC
1980-03-08,2.2,CLIC
1980-03-09,1.8,CLIC
1980-03-10,3.1,CLIC
1980-03-11,5.1,CLIC
1980-03-12,4.6,CLIC
1980-03-13,5.7,CLIC
1980-03-14,4.6,CLIC
1980-03-15,6.5,CLIC
1980-03-16,5.9,CLIC
1980-03-17,3.9,CLIC
1980-03-18,8.9,CLIC
1980-03-19,3.6,CLIC
1980-03-20,6,CLIC
1980-03-21,5,CLIC
1980-03-22,6.5,CLIC
1980-03-23,5.4,CLIC
1980-03-24,5.1,CLIC
1980-03-25,11.2,CLIC
1980-03-26,4.3,CLIC
1980-03-27,1.8,CLIC
1980-03-28,2.3,CLIC
1980-03-29,3.8,CLIC
1980-03-30,3.8,CLIC
1980-03-31,4.3,CLIC
1980-04-01,4.5,CLIC
1980-04-02,4.5,CLIC
1980-04-03,7.9,CLIC
1980-04-04,7,CLIC
1980-04-05,3.1,CLIC
1980-04-06,4.5,CLIC
1980-04-07,6.4,CLIC
1980-04-08,5,CLIC
1980-04-09,3.8,CLIC
1980-04-10,7.5,CLIC
1980-04-11,6.4,CLIC
1980-04-12,7.5,CLIC
1980-04-13,6.7,CLIC
1980-04-14,6.9,CLIC
1980-04-15,4.9,CLIC
1980-04-16,5.1,CLIC
1980-04-17,9.4,CLIC
1980-04-18,6.2,CLIC
1980-04-19,5.1,CLIC
1980-04-20,3,CLIC
1980-04-21,5.2,CLIC
1980-04-22,0.4,CLIC
1980-04-23,4.9,CLIC
1980-04-24,7.2,CLIC
1980-04-25,7.1,CLIC
1980-04-26,10,CLIC
1980-04-27,6.6,CLIC
1980-04-28,4.5,CLIC
1980-04-29,6.5,CLIC
1980-04-30,4.2,CLIC
1980-05-01,4.2,CLIC
1980-05-02,8.9,CLIC
1980-05-03,4.2,CLIC
1980-05-04,5,CLIC
1980-05-05,4.6,CLIC
1980-05-06,2.4,CLIC
1980-05-07,6.3,CLIC
1980-05-08,5.2,CLIC
1980-05-09,4.3,CLIC
1980-05-10,6.3,CLIC
1980-05-11,6.3,CLIC
1980-05-12,7.1,CLIC
1980-05-13,4.9,CLIC
1980-05-14,8,CLIC
1980-05-15,9.9,CLIC
1980-05-16,8.1,CLIC
1980-05-17,4,CLIC
1980-05-18,4.7,CLIC
1980-05-19,5.1,CLIC
1980-05-20,4.8,CLIC
1980-05-21,5,CLIC
1980-05-22,1.9,CLIC
1980-05-23,3.5,CLIC
1980-05-24,6.7,CLIC
1980-05-25,5.7,CLIC
1980-05-26,7.5,CLIC
1980-05-27,6.2,CLIC
1980-05-28,6.7,CLIC
1980-05-29,5.3,CLIC
1980-05-30,9.2,CLIC
1980-05-31,7.8,CLIC
1980-06-01,9.1,CLIC
1980-06-02,10.9,CLIC
1980-06-03,8.2,CLIC
1980-06-04,5.4,CLIC
1980-06-05,8.5,CLIC
1980-06-06,9.9,CLIC
1980-06-07,9.3,CLIC
1980-06-08,10.1,CLIC
1980-06-09,7.7,CLIC
1980-06-10,9.6,CLIC
1980-06-11,5.9,CLIC
1980-06-12,7.3,CLIC
1980-06-13,7.3,CLIC
1980-06-14,8,CLIC
1980-06-15,5,CLIC
1980-06-16,6.3,CLIC
1980-06-17,9.9,CLIC
1980-06-18,6,CLIC
1980-06-19,8,CLIC
1980-06-20,8,CLIC
1980-06-21,9.7,CLIC
1980-06-22,7.5,CLIC
1980-06-23,8,CLIC
1980-06-24,8.8,CLIC
1980-06-25,10.9,CLIC
1980-06-26,10.3,CLIC
1980-06-27,9.2,CLIC
1980-06-28,9.8,CLIC
1980-06-29,8,CLIC
1980-06-30,8,CLIC
1980-07-01,4.4,CLIC
1980-07-02,3.9,CLIC
1980-07-03,1.9,CLIC
1980-07-04,6.5,CLIC
1980-07-05,8.9,CLIC
1980-07-06,6.7,CLIC
1980-07-07,7,CLIC
1980-07-08,7.5,CLIC
1980-07-09,5.9,CLIC
1980-07-10,8.6,CLIC
1980-07-11,5.1,CLIC
1980-07-12,10.2,CLIC
1980-07-13,9.8,CLIC
1980-07-14,9.4,CLIC
1980-07-15,9.9,CLIC
1980-07-16,8.1,CLIC
1980-07-17,4.9,CLIC
1980-07-18,10.7,CLIC
1980-07-19,9.2,CLIC
1980-07-20,10.7,CLIC
1980-07-21,5.8,CLIC
1980-07-22,6.7,CLIC
1980-07-23,3,CLIC
1980-07-24,2.8,CLIC
1980-07-25,9.2,CLIC
1980-07-26,9.3,CLIC
1980-07-27,8.3,CLIC
1980-07-28,10.4,CLIC
1980-07-29,9.8,CLIC
1980-07-30,8.7,CLIC
1980-07-31,11.4,CLIC
1980-08-01,9.8,CLIC
1980-08-02,6,CLIC
1980-08-03,4.4,CLIC
1980-08-04,10.4,CLIC
1980-08-05,11.6,CLIC
1980-08-06,1.3,CLIC
1980-08-07,2.3,CLIC
1980-08-08,4.3,CLIC
1980-08-09,5.9,CLIC
1980-08-10,1.8,CLIC
1980-08-11,2.9,CLIC
1980-08-12,2.4,CLIC
1980-08-13,7.2,CLIC
1980-08-14,8,CLIC
1980-08-15,7.2,CLIC
1980-08-16,5.2,CLIC
1980-08-17,8.2,CLIC
1980-08-18,8.6,CLIC
1980-08-19,6.5,CLIC
1980-08-20,8.2,CLIC
1980-08-21,7,CLIC
1980-08-22,8,CLIC
1980-08-23,6.4,CLIC
1980-08-24,6.2,CLIC
1980-08-25,9.1,CLIC
1980-08-26,8.3,CLIC
1980-08-27,8.8,CLIC
1980-08-28,6.7,CLIC
1980-08-29,6.9,CLIC
1980-08-30,7.8,CLIC
1980-08-31,10.2,CLIC
1980-09-01,8.4,CLIC
1980-09-02,8.8,CLIC
1980-09-03,6.3,CLIC
1980-09-04,7.1,CLIC
1980-09-05,6.4,CLIC
1980-09-06,6.4,CLIC
1980-09-07,8.9,CLIC
1980-09-08,7.3,CLIC
1980-09-09,8.8,CLIC
1980-09-10,7.9,CLIC
1980-09-11,3.2,CLIC
1980-09-12,7.6,CLIC
1980-09-13,6.7,CLIC
1980-09-14,6.3,CLIC
1980-09-15,5.8,CLIC
1980-09-16,7.4,CLIC
1980-09-17,7.7,CLIC
1980-09-18,7.8,CLIC
1980-09-19,6.4,CLIC
1980-09-20,6.9,CLIC
1980-09-21,5.7,CLIC
1980-09-22,9.4,CLIC
1980-09-23,9.5,CLIC
1980-09-24,7.1,CLIC
1980-09-25,3.5,CLIC
1980-09-26,1.5,CLIC
1980-09-27,3.3,CLIC
1980-09-28,1.2,CLIC
1980-09-29,3.8,CLIC
1980-09-30,7,CLIC
1980-10-01,8.1,CLIC
1980-10-02,6.7,CLIC
1980-10-03,4.4,CLIC
1980-10-04,6.1,CLIC
1980-10-05,6.5,CLIC
1980-10-06,5.3,CLIC
1980-10-07,6.2,CLIC
1980-10-08,5.5,CLIC
1980-10-09,5.3,CLIC
1980-10-10,4.6,CLIC
1980-10-11,1.9,CLIC
1980-10-12,5.2,CLIC
1980-10-13,5.4,CLIC
1980-10-14,4.1,CLIC
1980-10-15,4.9,CLIC
1980-10-16,4.4,CLIC
1980-10-17,6.4,CLIC
1980-10-18,3.8,CLIC
1980-10-19,2.5,CLIC
1980-10-20,3.2,CLIC
1980-10-21,4.8,CLIC
1980-10-22,4.1,CLIC
1980-10-23,5.2,CLIC
1980-10-24,4.9,CLIC
1980-10-25,6.2,CLIC
1980-10-26,5.1,CLIC
1980-10-27,4.5,CLIC
1980-10-28,4.1,CLIC
1980-10-29,3.3,CLIC
1980-10-30,4.3,CLIC
1980-10-31,4.7,CLIC
1980-11-01,2.6,CLIC
1980-11-02,3.8,CLIC
1980-11-03,4.1,CLIC
1980-11-04,5.3,CLIC
1980-11-05,5.1,CLIC
1980-11-06,4.7,CLIC
1980-11-07,4.9,CLIC
1980-11-08,4.7,CLIC
1980-11-09,6.1,CLIC
1980-11-10,5.7,CLIC
1980-11-11,2.9,CLIC
1980-11-12,3.1,CLIC
1980-11-13,3.9,CLIC
1980-11-14,3.6,CLIC
1980-11-15,1,CLIC
1980-11-16,1.4,CLIC
1980-11-17,2.1,CLIC
1980-11-18,4.6,CLIC
1980-11-19,1.9,CLIC
1980-11-20,1.4,CLIC
1980-11-21,3,CLIC
1980-11-22,2.8,CLIC
1980-11-23,2.6,CLIC
1980-11-24,3.9,CLIC
1980-11-25,1.5,CLIC
1980-11-26,2.4,CLIC
1980-11-27,2.8,CLIC
1980-11-28,1.5,CLIC
1980-11-29,2.8,CLIC
1980-11-30,3.3,CLIC
1980-12-01,2.8,CLIC
1980-12-02,1.4,CLIC
1980-12-03,1.2,CLIC
1980-12-04,1.2,CLIC
1980-12-05,1,CLIC
1980-12-06,1.5,CLIC
1980-12-07,5.6,CLIC
1980-12-08,2.3,CLIC
1980-12-09,1.3,CLIC
1980-12-10,0.5,CLIC
1980-12-11,0.7,CLIC
1980-12-12,1.7,CLIC
1980-12-13,1,CLIC
1980-12-14,2.1,CLIC
1980-12-15,3.5,CLIC
1980-12-16,3.5,CLIC
1980-12-17,2.6,CLIC
1980-12-18,2.5,CLIC
1980-12-19,1.8,CLIC
1980-12-20,1.8,CLIC
1980-12-21,0.3,CLIC
1980-12-22,0.2,CLIC
1980-12-23,0.9,CLIC
1980-12-24,1.2,CLIC
1980-12-25,1.2,CLIC
1980-12-26,2,CLIC
1980-12-27,8.5,CLIC
1980-12-28,8.5,CLIC
1980-12-29,2.5,CLIC
1980-12-30,2,CLIC
1980-12-31,3.2,CLIC
1981-05-01,5.5,CLIC
1981-05-03,3.9,CLIC
1981-05-04,5.9,CLIC
1981-05-05,4.4,CLIC
1981-05-06,4.2,CLIC
1981-05-07,0.6,CLIC
