Estación: ,C19185,EL CANADA
1998-01-15,5.71,CLIC
1998-01-16,3.96,CLIC
1998-01-17,3.1,CLIC
1998-01-18,3.6,CLIC
1998-01-19,5.53,CLIC
1998-01-20,2.57,CLIC
1998-01-21,5.13,CLIC
1998-01-22,3.97,CLIC
1998-01-23,3.2,CLIC
1998-01-24,2.98,CLIC
1998-01-25,2.97,CLIC
1998-01-26,4.4,CLIC
1998-01-27,2.78,CLIC
1998-02-06,5.56,CLIC
1998-02-07,3.59,CLIC
1998-02-08,7.71,CLIC
1998-02-09,7.12,CLIC
1998-02-10,11.12,CLIC
1998-02-11,5.78,CLIC
1998-02-12,3.33,CLIC
1998-02-13,0.19,CLIC
1998-02-14,0.83,CLIC
1998-02-15,1.57,CLIC
1998-02-16,6.98,CLIC
1998-02-17,5.67,CLIC
1998-02-18,4.28,CLIC
1998-02-19,7.17,CLIC
1998-02-20,4.6,CLIC
1998-02-21,10.4,CLIC
1998-02-22,8.25,CLIC
1998-02-23,5.8,CLIC
1998-02-24,4.95,CLIC
1998-02-25,3.9,CLIC
1998-02-26,6.57,CLIC
1998-02-27,4.2,CLIC
1998-02-28,6.35,CLIC
1998-03-01,6.26,CLIC
1998-03-02,0.72,CLIC
1998-03-03,0.79,CLIC
1998-03-04,2.18,CLIC
1998-03-05,6.77,CLIC
1998-03-06,0.4,CLIC
1998-03-07,12.23,CLIC
1998-03-08,8.4,CLIC
1998-03-09,5.18,CLIC
1998-03-10,4.23,CLIC
1998-03-11,0.12,CLIC
1998-03-12,0.15,CLIC
1998-03-13,0.2,CLIC
1998-03-14,1.49,CLIC
1998-03-15,3.03,CLIC
1998-03-16,5.67,CLIC
1998-03-17,5.1,CLIC
1998-03-18,6.7,CLIC
1998-03-19,4.96,CLIC
1998-03-20,4.4,CLIC
1998-03-21,5.85,CLIC
1998-03-22,5.95,CLIC
1998-03-23,7.04,CLIC
1998-03-24,8.64,CLIC
1998-03-25,9.12,CLIC
1998-03-26,8.28,CLIC
1998-03-27,7.22,CLIC
1998-03-28,9.7,CLIC
1998-03-29,7.57,CLIC
1998-03-30,9.23,CLIC
1998-03-31,4.6,CLIC
1998-04-01,6.08,CLIC
1998-04-02,7.17,CLIC
1998-04-03,6.65,CLIC
1998-04-04,4.74,CLIC
1998-04-05,6.71,CLIC
1998-04-06,5.99,CLIC
1998-04-07,7.68,CLIC
1998-04-08,10.38,CLIC
1998-04-09,9.6,CLIC
1998-04-10,7.4,CLIC
1998-04-11,9.5,CLIC
1998-04-12,8.9,CLIC
1998-04-13,10.22,CLIC
1998-04-14,9.11,CLIC
1998-04-15,12.34,CLIC
1998-04-16,8.53,CLIC
1998-04-17,7.15,CLIC
1998-04-18,9.85,CLIC
1998-04-19,9,CLIC
1998-04-20,4.95,CLIC
1998-04-21,4.13,CLIC
1998-04-22,4.87,CLIC
1998-04-23,9.05,CLIC
1998-04-24,8.9,CLIC
1998-04-25,5.78,CLIC
1998-04-26,7.22,CLIC
1998-04-27,13.05,CLIC
1998-04-28,4.73,CLIC
1998-04-29,6.57,CLIC
1998-04-30,8.65,CLIC
1998-05-01,7.67,CLIC
1998-05-02,11.43,CLIC
1998-05-03,11.7,CLIC
1998-05-04,8.9,CLIC
1998-05-05,11.68,CLIC
1998-05-06,12.52,CLIC
1998-05-07,12.79,CLIC
1998-05-08,11.76,CLIC
1998-05-09,10.67,CLIC
1998-05-10,9.23,CLIC
1998-05-11,8.45,CLIC
1998-05-12,8.6,CLIC
1998-05-13,7.05,CLIC
1998-05-14,7.27,CLIC
1998-05-15,8.68,CLIC
1998-05-16,8.95,CLIC
1998-05-17,7.95,CLIC
1998-05-18,2.89,CLIC
1998-05-19,8.88,CLIC
1998-05-20,9.7,CLIC
1998-05-21,11.34,CLIC
1998-05-22,9.44,CLIC
1998-05-23,9.15,CLIC
1998-05-24,9,CLIC
1998-05-25,9.1,CLIC
1998-05-26,9.17,CLIC
1998-05-27,9.2,CLIC
1998-05-28,7.43,CLIC
1998-05-29,11.25,CLIC
1998-05-30,7.85,CLIC
1998-05-31,9.65,CLIC
1998-06-01,10.29,CLIC
1998-06-02,9.06,CLIC
1998-06-03,8.99,CLIC
1998-06-04,9.14,CLIC
1998-06-05,9.16,CLIC
1998-06-06,8.41,CLIC
1998-06-07,10,CLIC
1998-06-08,8.9,CLIC
1998-06-09,8.78,CLIC
1998-06-10,9.25,CLIC
1998-06-11,9.36,CLIC
1998-06-12,10.26,CLIC
1998-06-13,10.49,CLIC
1998-06-14,11.46,CLIC
1998-06-15,7.7,CLIC
1998-06-16,9.3,CLIC
1998-06-17,9.1,CLIC
1998-06-18,9,CLIC
1998-06-19,10.9,CLIC
1998-06-20,9.9,CLIC
1998-06-21,9.05,CLIC
1998-06-22,8.93,CLIC
1998-06-23,10.27,CLIC
1998-06-24,9.55,CLIC
1998-06-25,9.43,CLIC
1998-06-26,12.12,CLIC
1998-06-27,9.95,CLIC
1998-06-28,9.05,CLIC
1998-06-29,8.7,CLIC
1998-06-30,9.25,CLIC
1998-07-01,9.22,CLIC
1998-07-02,11.36,CLIC
1998-07-03,8.97,CLIC
1998-07-04,8.22,CLIC
1998-07-05,11.5,CLIC
1998-07-06,11.81,CLIC
1998-07-07,11.45,CLIC
1998-07-08,8.65,CLIC
1998-07-09,9.69,CLIC
1998-07-10,9.11,CLIC
1998-07-11,9.2,CLIC
1998-07-12,11.65,CLIC
1998-07-13,11.1,CLIC
1998-07-14,10.3,CLIC
1998-07-15,9.39,CLIC
1998-07-16,9.97,CLIC
1998-07-17,8.53,CLIC
1998-07-18,11.17,CLIC
1998-07-19,9.13,CLIC
1998-07-20,10.77,CLIC
1998-07-21,11.28,CLIC
1998-07-22,13.7,CLIC
1998-07-23,10.45,CLIC
1998-07-24,12.62,CLIC
1998-07-25,12.21,CLIC
1998-07-26,11.67,CLIC
1998-07-27,11.25,CLIC
1998-07-28,10.9,CLIC
1998-07-29,12.7,CLIC
1998-07-30,11.25,CLIC
1998-07-31,10.83,CLIC
1998-08-01,12,CLIC
1998-08-02,11.45,CLIC
1998-08-03,11.3,CLIC
1998-08-04,11.53,CLIC
1998-08-05,11.2,CLIC
1998-08-06,12.9,CLIC
1998-08-07,11.18,CLIC
1998-08-08,11.44,CLIC
1998-08-09,10,CLIC
1998-08-10,1.03,CLIC
1998-08-11,10.22,CLIC
1998-08-12,11.39,CLIC
1998-08-13,12.11,CLIC
1998-08-14,11.25,CLIC
1998-08-15,11.97,CLIC
1998-08-16,7.93,CLIC
1998-08-17,9.85,CLIC
1998-08-18,9.15,CLIC
1998-08-19,10.37,CLIC
1998-08-20,9.44,CLIC
1998-08-21,9.46,CLIC
1998-08-22,10.87,CLIC
1998-08-23,11.39,CLIC
1998-08-24,10.77,CLIC
1998-08-25,11.31,CLIC
1998-08-26,11.68,CLIC
1998-08-27,10.52,CLIC
1998-08-28,10.2,CLIC
1998-08-29,10.63,CLIC
1998-08-30,10.15,CLIC
1998-08-31,10.12,CLIC
1998-09-01,10.73,CLIC
1998-09-02,5.4,CLIC
1998-09-03,5.75,CLIC
1998-09-04,7.69,CLIC
1998-09-05,9.85,CLIC
1998-09-06,7.25,CLIC
1998-09-07,8.6,CLIC
1998-09-08,8.67,CLIC
1998-09-09,8,CLIC
1998-09-10,7.18,CLIC
1998-09-11,8.15,CLIC
1998-09-12,8.85,CLIC
1998-09-13,8.07,CLIC
1998-09-14,11.82,CLIC
1998-09-15,5.6,CLIC
1998-09-16,7.03,CLIC
1998-09-17,3.5,CLIC
1998-09-18,4.33,CLIC
1998-09-19,7.79,CLIC
1998-09-20,6.29,CLIC
1998-09-21,10.06,CLIC
1998-09-22,8.95,CLIC
1998-09-23,9.91,CLIC
1998-09-24,7.9,CLIC
1998-09-25,7.3,CLIC
1998-09-26,8.17,CLIC
1998-09-27,8.38,CLIC
1998-09-28,8.6,CLIC
1998-09-29,9.03,CLIC
1998-09-30,7.4,CLIC
1998-10-01,8.67,CLIC
1998-10-02,9.2,CLIC
1998-10-03,9.07,CLIC
1998-10-04,8.54,CLIC
1998-10-05,8.06,CLIC
1998-10-06,5.62,CLIC
1998-10-07,3.78,CLIC
1998-10-08,5.73,CLIC
1998-10-09,6.46,CLIC
1998-10-10,5.71,CLIC
1998-10-11,8.6,CLIC
1998-10-12,3.6,CLIC
1998-10-13,4.97,CLIC
1998-10-14,4.64,CLIC
1998-10-15,5.95,CLIC
1998-10-16,5.65,CLIC
1998-10-17,6.35,CLIC
1998-10-18,3.1,CLIC
1998-10-19,3.16,CLIC
1998-10-20,8.75,CLIC
1998-10-21,1.41,CLIC
1998-10-22,1.75,CLIC
1998-10-23,3.15,CLIC
1998-10-24,3.47,CLIC
1998-10-25,3.09,CLIC
1998-10-26,3.19,CLIC
1998-10-27,1.78,CLIC
1998-10-28,1.61,CLIC
1998-10-29,2.35,CLIC
1998-10-30,3.97,CLIC
1998-10-31,2.05,CLIC
1998-11-01,4.29,CLIC
1998-11-02,3.19,CLIC
1998-11-03,0.43,CLIC
1998-11-04,1.8,CLIC
1998-11-05,0.11,CLIC
1998-11-06,0.44,CLIC
1998-11-07,1.46,CLIC
1998-11-08,2.11,CLIC
1998-11-09,1.45,CLIC
1998-11-10,4.05,CLIC
1998-11-11,1.94,CLIC
1998-11-12,1.14,CLIC
1998-11-13,0.54,CLIC
1998-11-14,2.58,CLIC
1998-11-15,3.36,CLIC
1998-11-16,2.59,CLIC
1998-11-17,3.34,CLIC
1998-11-18,2.11,CLIC
1998-11-19,2.54,CLIC
1998-11-20,1.78,CLIC
1998-11-21,0.94,CLIC
1998-11-22,0.84,CLIC
1998-11-23,2.1,CLIC
1998-11-24,1.46,CLIC
1998-11-25,2.97,CLIC
1998-11-26,1.65,CLIC
1998-11-27,2.57,CLIC
1998-11-28,2.24,CLIC
1998-11-29,1.63,CLIC
1998-11-30,3.29,CLIC
1998-12-01,1.38,CLIC
1998-12-02,3.32,CLIC
1998-12-03,2.52,CLIC
1998-12-04,2.07,CLIC
1998-12-05,2.65,CLIC
1998-12-06,2.64,CLIC
1998-12-07,4.55,CLIC
1998-12-08,3.19,CLIC
1998-12-09,2.36,CLIC
1998-12-10,3.46,CLIC
1998-12-11,0.67,CLIC
1998-12-12,1.86,CLIC
1998-12-13,3.5,CLIC
1998-12-14,2.22,CLIC
1998-12-15,2.9,CLIC
1998-12-16,2.89,CLIC
1998-12-17,2.96,CLIC
1998-12-18,2.04,CLIC
1998-12-19,2.65,CLIC
1998-12-20,3.25,CLIC
1998-12-21,2.29,CLIC
1998-12-22,2.26,CLIC
1998-12-23,0.36,CLIC
1998-12-24,2.09,CLIC
1998-12-25,1.81,CLIC
1998-12-26,1.34,CLIC
1998-12-27,2.33,CLIC
1998-12-28,2.35,CLIC
1998-12-29,2.63,CLIC
1998-12-30,1.44,CLIC
1998-12-31,2.9,CLIC
1999-01-01,2.31,CLIC
1999-01-02,4.21,CLIC
1999-01-03,0.84,CLIC
1999-01-04,2.19,CLIC
1999-01-05,1.91,CLIC
1999-01-06,2.72,CLIC
1999-01-07,2.52,CLIC
1999-01-08,1.71,CLIC
1999-01-09,2.7,CLIC
1999-01-10,2.65,CLIC
1999-01-11,2.3,CLIC
1999-01-12,2.59,CLIC
1999-01-13,3.31,CLIC
1999-01-14,2.12,CLIC
1999-01-15,3.62,CLIC
1999-01-16,3.36,CLIC
1999-01-17,4.89,CLIC
1999-01-18,3.06,CLIC
1999-01-19,2.74,CLIC
1999-01-20,6.18,CLIC
1999-01-21,7.08,CLIC
1999-01-22,5.75,CLIC
1999-01-23,5.65,CLIC
1999-01-24,5.84,CLIC
1999-01-25,5.86,CLIC
1999-01-26,3.7,CLIC
1999-01-27,4.17,CLIC
1999-01-28,3.42,CLIC
1999-01-29,4.66,CLIC
1999-01-30,3.75,CLIC
1999-01-31,5.25,CLIC
1999-02-01,5.65,CLIC
1999-02-02,5.47,CLIC
1999-02-03,6.33,CLIC
1999-02-04,4.49,CLIC
1999-02-05,4.51,CLIC
1999-02-06,6.88,CLIC
1999-02-07,6.56,CLIC
1999-02-08,8.13,CLIC
1999-02-09,8.35,CLIC
1999-02-10,3.1,CLIC
1999-02-11,8.91,CLIC
1999-02-12,4.67,CLIC
1999-02-13,4.72,CLIC
1999-02-14,4.38,CLIC
1999-02-15,3.87,CLIC
1999-02-16,5.14,CLIC
1999-02-17,4.49,CLIC
1999-02-18,6.68,CLIC
1999-02-19,5.27,CLIC
1999-02-20,7.9,CLIC
1999-02-21,4.57,CLIC
1999-02-22,3.35,CLIC
1999-02-23,4.71,CLIC
1999-02-24,3.73,CLIC
1999-02-25,5.3,CLIC
1999-02-26,4.8,CLIC
1999-02-27,5.59,CLIC
1999-02-28,4.41,CLIC
1999-03-01,5.6,CLIC
1999-03-02,5.69,CLIC
1999-03-03,4.81,CLIC
1999-03-04,3.9,CLIC
1999-03-05,9.91,CLIC
1999-03-06,6.03,CLIC
1999-03-07,3.47,CLIC
1999-03-08,6.71,CLIC
1999-03-09,6.63,CLIC
1999-03-10,2.69,CLIC
1999-03-11,2.09,CLIC
1999-03-12,6.67,CLIC
1999-03-13,4.6,CLIC
1999-03-14,10.15,CLIC
1999-03-15,8.24,CLIC
1999-03-16,7.09,CLIC
1999-03-17,6.56,CLIC
1999-03-18,9.09,CLIC
1999-03-19,3.08,CLIC
1999-03-20,2.75,CLIC
1999-03-21,2.93,CLIC
1999-03-22,3.64,CLIC
1999-03-23,6.26,CLIC
1999-03-24,5.24,CLIC
1999-03-25,1.06,CLIC
1999-03-26,1.03,CLIC
1999-03-27,1.72,CLIC
1999-03-28,1.75,CLIC
1999-03-29,3.7,CLIC
1999-03-30,4.29,CLIC
1999-03-31,4.41,CLIC
1999-04-01,4.57,CLIC
1999-04-02,6.6,CLIC
1999-04-03,9.88,CLIC
1999-04-04,8.76,CLIC
1999-04-05,8.76,CLIC
1999-04-06,7.09,CLIC
1999-04-07,11.01,CLIC
1999-04-08,10.6,CLIC
1999-04-09,9.69,CLIC
1999-04-10,12.6,CLIC
1999-04-11,6.56,CLIC
1999-04-12,4.34,CLIC
1999-04-13,8.11,CLIC
1999-04-14,12.92,CLIC
1999-04-15,6.46,CLIC
1999-04-16,4.06,CLIC
1999-04-17,4.65,CLIC
1999-04-18,7.03,CLIC
1999-04-19,7.72,CLIC
1999-04-20,7.5,CLIC
1999-04-21,8.89,CLIC
1999-04-22,13.6,CLIC
1999-04-23,10.28,CLIC
1999-04-24,9.11,CLIC
1999-04-25,8.24,CLIC
1999-04-26,9.35,CLIC
1999-04-27,9.7,CLIC
1999-04-28,10.4,CLIC
1999-04-29,9.59,CLIC
1999-04-30,8.65,CLIC
1999-05-01,15.61,CLIC
1999-05-02,4.21,CLIC
1999-05-03,9.19,CLIC
1999-05-04,11.29,CLIC
1999-05-05,14.84,CLIC
1999-05-06,9.83,CLIC
1999-05-07,5.92,CLIC
1999-05-08,6.75,CLIC
1999-05-09,5.67,CLIC
1999-05-10,16.99,CLIC
1999-05-11,13.8,CLIC
1999-05-12,6.04,CLIC
1999-05-13,5.3,CLIC
1999-05-14,7.9,CLIC
1999-05-15,7.66,CLIC
1999-05-16,7.29,CLIC
1999-05-17,6.81,CLIC
1999-05-18,7.26,CLIC
1999-05-19,8.33,CLIC
1999-05-20,7.09,CLIC
1999-05-21,8.48,CLIC
1999-05-22,8.3,CLIC
1999-05-23,7.75,CLIC
1999-05-24,11.38,CLIC
1999-05-25,9.28,CLIC
1999-05-26,1.03,CLIC
1999-05-27,10.45,CLIC
1999-05-28,8.37,CLIC
1999-05-29,9.53,CLIC
1999-05-30,10.89,CLIC
1999-05-31,11.01,CLIC
1999-06-01,10.02,CLIC
1999-06-02,8.94,CLIC
1999-06-03,10.17,CLIC
1999-06-04,11.25,CLIC
1999-06-05,10.86,CLIC
1999-06-06,10,CLIC
1999-06-07,10.9,CLIC
1999-06-08,9.1,CLIC
1999-06-09,10.29,CLIC
1999-06-10,10.03,CLIC
1999-06-11,9.91,CLIC
1999-06-12,10.4,CLIC
1999-06-13,10.67,CLIC
1999-06-14,6.88,CLIC
1999-06-15,7.95,CLIC
1999-06-16,8.97,CLIC
1999-06-17,7.03,CLIC
1999-06-18,9.24,CLIC
1999-06-19,6.14,CLIC
1999-06-20,3.51,CLIC
1999-06-21,2,CLIC
1999-06-22,5.46,CLIC
1999-06-23,8.11,CLIC
1999-06-24,9.32,CLIC
1999-06-25,8.65,CLIC
1999-06-26,9.04,CLIC
1999-06-27,10.29,CLIC
1999-06-28,9.02,CLIC
1999-06-29,11.28,CLIC
1999-06-30,10.08,CLIC
1999-07-01,11.32,CLIC
1999-07-02,7.27,CLIC
1999-07-03,6.28,CLIC
1999-07-04,4.15,CLIC
1999-07-05,6.04,CLIC
1999-07-06,8.33,CLIC
1999-07-07,9.18,CLIC
1999-07-08,7.56,CLIC
1999-07-09,5.28,CLIC
1999-07-10,6.53,CLIC
1999-07-11,6.27,CLIC
1999-07-12,7.1,CLIC
1999-07-13,7.16,CLIC
1999-07-14,8.7,CLIC
1999-07-15,9.29,CLIC
1999-07-16,8.31,CLIC
1999-07-17,8.09,CLIC
1999-07-18,5.01,CLIC
1999-07-19,7.3,CLIC
1999-07-20,7.39,CLIC
1999-07-21,8.08,CLIC
1999-07-22,8.91,CLIC
1999-07-23,7.82,CLIC
1999-07-24,7.39,CLIC
1999-07-25,8.66,CLIC
1999-07-26,8.02,CLIC
1999-07-27,8.07,CLIC
1999-07-28,8.08,CLIC
1999-07-29,11.24,CLIC
1999-07-30,10.01,CLIC
1999-07-31,11.28,CLIC
1999-08-01,10.52,CLIC
1999-08-02,9.39,CLIC
1999-08-03,10.43,CLIC
1999-08-04,9.82,CLIC
1999-08-05,9.28,CLIC
1999-08-06,9.29,CLIC
1999-08-07,9.59,CLIC
1999-08-08,10.05,CLIC
1999-08-09,11.19,CLIC
1999-08-10,11.03,CLIC
1999-08-11,11.18,CLIC
1999-08-12,10.5,CLIC
1999-08-13,10.35,CLIC
1999-08-14,10.28,CLIC
1999-08-15,11.09,CLIC
1999-08-16,11.03,CLIC
1999-08-17,9.64,CLIC
1999-08-18,10.41,CLIC
1999-08-19,9.65,CLIC
1999-08-20,9.95,CLIC
1999-08-21,8.95,CLIC
1999-08-22,10.93,CLIC
1999-08-23,8.51,CLIC
1999-08-24,5.98,CLIC
1999-08-25,4.51,CLIC
1999-08-26,9.17,CLIC
1999-08-27,9.09,CLIC
1999-08-28,7.35,CLIC
1999-08-29,8.89,CLIC
1999-08-30,10.47,CLIC
1999-08-31,10.05,CLIC
1999-09-01,10.05,CLIC
1999-09-02,9.05,CLIC
1999-09-03,10.07,CLIC
1999-09-04,10.6,CLIC
1999-09-05,8.13,CLIC
1999-09-06,5.67,CLIC
1999-09-07,4.71,CLIC
1999-09-08,3.11,CLIC
1999-09-09,4.19,CLIC
1999-09-10,7.06,CLIC
1999-09-11,7.86,CLIC
1999-09-12,8.4,CLIC
1999-09-13,4.89,CLIC
1999-09-14,6.3,CLIC
1999-09-15,6.43,CLIC
1999-09-16,5.68,CLIC
1999-09-17,5.69,CLIC
1999-09-18,6.9,CLIC
1999-09-19,6.27,CLIC
1999-09-20,8.1,CLIC
1999-09-21,7.15,CLIC
1999-09-22,5.48,CLIC
1999-09-23,5.74,CLIC
1999-09-24,6.38,CLIC
1999-09-25,7.94,CLIC
1999-09-26,8.4,CLIC
1999-09-27,7.16,CLIC
1999-09-28,3.7,CLIC
1999-09-29,3.19,CLIC
1999-09-30,4.68,CLIC
1999-10-01,9.99,CLIC
1999-10-02,5.12,CLIC
1999-10-03,8.18,CLIC
1999-10-04,4.2,CLIC
1999-10-05,5.96,CLIC
1999-10-06,6.86,CLIC
1999-10-07,6.69,CLIC
1999-10-08,7.06,CLIC
1999-10-09,6.72,CLIC
1999-10-10,7.23,CLIC
1999-10-11,7.38,CLIC
1999-10-12,6.02,CLIC
1999-10-13,6.19,CLIC
1999-10-14,7.71,CLIC
1999-10-15,6.3,CLIC
1999-10-16,6.68,CLIC
1999-10-17,5.3,CLIC
1999-10-18,5.24,CLIC
1999-10-19,5.34,CLIC
1999-10-20,5.06,CLIC
1999-10-21,5.04,CLIC
1999-10-22,5.59,CLIC
1999-10-23,6.11,CLIC
1999-10-24,5.22,CLIC
1999-10-25,6.08,CLIC
1999-10-26,5.61,CLIC
1999-10-27,6.25,CLIC
1999-10-28,5.93,CLIC
1999-10-29,6.13,CLIC
1999-10-30,8.32,CLIC
1999-10-31,7.16,CLIC
1999-11-01,7.22,CLIC
1999-11-02,7.2,CLIC
1999-11-03,6.35,CLIC
1999-11-04,6.12,CLIC
1999-11-05,7.47,CLIC
1999-11-06,7.46,CLIC
1999-11-07,6.27,CLIC
1999-11-08,7.05,CLIC
1999-11-09,8.09,CLIC
1999-11-10,6.83,CLIC
1999-11-11,7.27,CLIC
1999-11-12,5.78,CLIC
1999-11-13,6.02,CLIC
1999-11-14,6.3,CLIC
1999-11-15,5.91,CLIC
1999-11-16,6.32,CLIC
1999-11-17,6.08,CLIC
1999-11-18,5.31,CLIC
1999-11-19,5.91,CLIC
1999-11-20,5.78,CLIC
1999-11-21,5.29,CLIC
1999-11-22,6.07,CLIC
1999-11-23,5.96,CLIC
1999-11-24,4.89,CLIC
1999-11-25,3.81,CLIC
1999-11-26,4.58,CLIC
1999-11-27,4.88,CLIC
1999-11-28,5.14,CLIC
1999-11-29,4.68,CLIC
1999-11-30,5.12,CLIC
1999-12-01,5.44,CLIC
1999-12-02,4.15,CLIC
1999-12-03,5.69,CLIC
1999-12-04,8.29,CLIC
1999-12-05,4.32,CLIC
1999-12-06,3.38,CLIC
1999-12-07,3.3,CLIC
1999-12-08,4.01,CLIC
1999-12-09,5.6,CLIC
1999-12-10,4.69,CLIC
1999-12-11,2.13,CLIC
1999-12-12,6.39,CLIC
1999-12-13,4.01,CLIC
1999-12-14,5.88,CLIC
1999-12-15,4.73,CLIC
1999-12-16,5.39,CLIC
1999-12-17,5,CLIC
1999-12-18,4.27,CLIC
1999-12-19,4.21,CLIC
1999-12-20,3.82,CLIC
1999-12-21,2.68,CLIC
1999-12-22,1.52,CLIC
1999-12-23,1.27,CLIC
1999-12-24,2.06,CLIC
1999-12-25,4.17,CLIC
1999-12-26,4.12,CLIC
1999-12-27,4.02,CLIC
1999-12-28,4.13,CLIC
1999-12-29,4.83,CLIC
1999-12-30,5.19,CLIC
1999-12-31,5.95,CLIC
2000-01-01,10.15,CLIC
2000-01-02,0.84,CLIC
2000-01-03,5.3,CLIC
2000-01-04,5.06,CLIC
2000-01-05,4.1,CLIC
2000-01-06,4.67,CLIC
2000-01-07,5.31,CLIC
2000-01-08,4.92,CLIC
2000-01-09,5.09,CLIC
2000-01-10,5.84,CLIC
2000-01-11,6.09,CLIC
2000-01-12,5.56,CLIC
2000-01-13,4.49,CLIC
2000-01-14,4.38,CLIC
2000-01-15,2.52,CLIC
2000-01-16,4.24,CLIC
2000-01-17,5.04,CLIC
2000-01-18,6.1,CLIC
2000-01-19,6.61,CLIC
2000-01-20,5.01,CLIC
2000-01-21,4.05,CLIC
2000-01-22,4.55,CLIC
2000-01-23,5.88,CLIC
2000-01-24,4.07,CLIC
2000-01-25,3.34,CLIC
2000-01-26,2.7,CLIC
2000-01-27,5.34,CLIC
2000-01-28,3.34,CLIC
2000-01-29,2.02,CLIC
2000-01-30,2.58,CLIC
2000-01-31,4.11,CLIC
2000-02-01,4.91,CLIC
2000-02-02,2.15,CLIC
2000-02-03,4.4,CLIC
2000-02-04,5.05,CLIC
2000-02-05,3.38,CLIC
2000-02-06,4.6,CLIC
2000-02-07,5.81,CLIC
2000-02-08,5.09,CLIC
2000-02-09,5.1,CLIC
2000-02-10,7.02,CLIC
2000-02-11,7.11,CLIC
2000-02-12,8.4,CLIC
2000-02-13,9.05,CLIC
2000-02-14,9.04,CLIC
2000-02-15,5.19,CLIC
2000-02-16,5.56,CLIC
2000-02-17,6.04,CLIC
2000-02-18,6.11,CLIC
2000-02-19,3.76,CLIC
2000-02-20,1.25,CLIC
2000-02-21,3.28,CLIC
2000-02-22,5.12,CLIC
2000-02-23,4.08,CLIC
2000-02-24,6.11,CLIC
2000-02-25,6,CLIC
2000-02-26,6.38,CLIC
2000-02-27,7.26,CLIC
2000-02-28,7.1,CLIC
2000-02-29,8.14,CLIC
2000-03-01,6.11,CLIC
2000-03-02,6.86,CLIC
2000-03-03,7.05,CLIC
2000-03-04,3.38,CLIC
2000-03-05,5.12,CLIC
2000-03-06,6.35,CLIC
2000-03-07,7.47,CLIC
2000-03-08,7.82,CLIC
2000-03-09,9.09,CLIC
2000-03-10,11.41,CLIC
2000-03-11,4.66,CLIC
2000-03-12,4.94,CLIC
2000-03-13,5.41,CLIC
2000-03-14,5.05,CLIC
2000-03-15,6.15,CLIC
2000-03-16,7.33,CLIC
2000-03-17,5.74,CLIC
2000-03-18,8.94,CLIC
2000-03-19,6.06,CLIC
2000-03-20,7.16,CLIC
2000-03-21,6.28,CLIC
2000-03-22,7.62,CLIC
2000-03-23,8.03,CLIC
2000-03-24,9.22,CLIC
2000-03-25,8.55,CLIC
2000-03-26,10.68,CLIC
2000-03-27,9.21,CLIC
2000-03-28,12.01,CLIC
