Estación: ,C19143,LA CARDONA. MIER Y N.
1981-04-28,1.7,CLIC
1981-04-29,5.6,CLIC
1981-04-30,4.4,CLIC
1981-10-01,4.4,CLIC
1981-10-02,6,CLIC
1981-10-03,5.1,CLIC
1981-10-04,4,CLIC
1981-10-05,5.3,CLIC
1981-10-06,4,CLIC
1981-10-07,4,CLIC
1981-10-08,4,CLIC
1981-10-09,3.6,CLIC
1981-10-10,4.4,CLIC
1981-10-11,4.1,CLIC
1981-10-12,3.5,CLIC
1981-10-13,4.4,CLIC
1981-10-14,4.7,CLIC
1981-10-15,3.4,CLIC
1981-10-16,4.6,CLIC
1981-10-17,2.3,CLIC
1981-10-18,4.3,CLIC
1981-10-19,6.2,CLIC
1981-10-20,4.2,CLIC
1981-10-21,5.7,CLIC
1981-10-22,3.4,CLIC
1981-10-23,4.9,CLIC
1981-10-24,4.7,CLIC
1981-10-25,4,CLIC
1981-10-26,4,CLIC
1981-10-27,3.5,CLIC
1981-10-28,3.7,CLIC
1981-10-29,4.1,CLIC
1981-10-30,5.8,CLIC
1981-10-31,4.5,CLIC
1982-01-01,3.7,CLIC
1982-01-02,4.9,CLIC
1982-01-03,4.1,CLIC
1982-01-04,3,CLIC
1982-01-05,3,CLIC
1982-01-06,4,CLIC
1982-01-07,4,CLIC
1982-01-08,3,CLIC
1982-01-09,6,CLIC
1982-01-10,4,CLIC
1982-01-11,3.9,CLIC
1982-01-12,3.1,CLIC
1982-01-13,3,CLIC
1982-01-14,4.1,CLIC
1982-01-15,4,CLIC
1982-01-16,3,CLIC
1982-01-17,2.1,CLIC
1982-01-18,3.1,CLIC
1982-01-19,3.1,CLIC
1982-01-20,3.6,CLIC
1982-01-21,4,CLIC
1982-01-22,5,CLIC
1982-01-23,3,CLIC
1982-01-24,3,CLIC
1982-01-25,4,CLIC
1982-01-26,3.4,CLIC
1982-01-27,4,CLIC
1982-01-28,4.1,CLIC
1982-01-29,3.9,CLIC
1982-01-30,4.4,CLIC
1982-01-31,3.8,CLIC
1983-03-01,4.3,CLIC
1983-03-02,8.6,CLIC
1983-03-03,9,CLIC
1983-03-04,9,CLIC
1983-03-05,7,CLIC
1983-03-06,4.5,CLIC
1983-03-07,8,CLIC
1983-03-08,8,CLIC
1983-03-09,9.1,CLIC
1983-03-10,7.9,CLIC
1983-03-11,8,CLIC
1983-03-12,3.3,CLIC
1983-03-13,6,CLIC
1983-03-14,7.6,CLIC
1983-03-15,8,CLIC
1983-03-16,5.4,CLIC
1983-03-17,5.1,CLIC
1983-03-18,7.3,CLIC
1983-03-19,7.3,CLIC
1983-03-20,7.3,CLIC
1983-03-21,8.1,CLIC
1983-03-22,7.9,CLIC
1983-03-23,6.1,CLIC
1983-03-24,7.8,CLIC
1983-03-25,6.4,CLIC
1983-03-26,6,CLIC
1983-03-27,6,CLIC
1983-03-28,7.5,CLIC
1983-03-29,6.6,CLIC
1983-03-30,8.6,CLIC
1983-03-31,7.5,CLIC
1983-07-01,5.1,CLIC
1983-07-02,4.86,CLIC
1983-07-03,7.14,CLIC
1983-07-04,6.09,CLIC
1983-07-05,5.06,CLIC
1983-07-06,1.01,CLIC
1983-07-07,1.02,CLIC
1983-07-08,1.82,CLIC
1983-07-09,2.27,CLIC
1983-07-10,2.21,CLIC
1983-07-11,2.8,CLIC
1983-07-12,2.5,CLIC
1983-07-13,1.95,CLIC
1983-07-14,2.15,CLIC
1983-07-15,3,CLIC
1983-07-16,4.45,CLIC
1983-07-17,3.65,CLIC
1983-07-18,5,CLIC
1983-07-19,6.8,CLIC
1983-07-20,5.3,CLIC
1983-07-21,5.8,CLIC
1983-07-22,3,CLIC
1983-07-23,2.38,CLIC
1983-07-24,2.23,CLIC
1983-07-25,1.99,CLIC
1983-07-26,4.2,CLIC
1983-07-27,3.6,CLIC
1983-07-28,4.3,CLIC
1983-07-29,4.1,CLIC
1983-07-30,4.8,CLIC
1984-01-01,3.15,CLIC
1984-01-02,3.5,CLIC
1984-01-03,3.61,CLIC
1984-01-04,2.01,CLIC
1984-01-05,1.82,CLIC
1984-01-06,2.02,CLIC
1984-01-07,2.02,CLIC
1984-01-08,3.02,CLIC
1984-01-09,0.91,CLIC
1984-01-10,1.02,CLIC
1984-01-11,1.07,CLIC
1984-01-12,2.01,CLIC
1984-01-13,1.01,CLIC
1984-01-14,1.01,CLIC
1984-01-15,2.02,CLIC
1984-01-16,2.05,CLIC
1984-01-17,1.91,CLIC
1984-01-18,2.02,CLIC
1984-01-19,1.02,CLIC
1984-01-20,1.02,CLIC
1984-01-21,2.03,CLIC
1984-01-22,2.01,CLIC
1984-01-23,2.01,CLIC
1984-01-24,2.01,CLIC
1984-01-25,1.1,CLIC
1984-01-26,1.05,CLIC
1984-01-27,3.05,CLIC
1984-01-28,1.16,CLIC
1984-01-29,0.87,CLIC
1984-01-30,3.02,CLIC
1984-01-31,3.08,CLIC
1984-03-01,3.02,CLIC
1984-03-02,2.03,CLIC
1984-03-03,2.01,CLIC
1984-03-04,1.4,CLIC
1984-03-05,0.63,CLIC
1984-03-06,1.01,CLIC
1984-03-07,3.02,CLIC
1984-03-08,1.02,CLIC
1984-03-09,1.02,CLIC
1984-03-10,1.01,CLIC
1984-03-11,1.01,CLIC
1984-03-12,1.02,CLIC
1984-03-13,2.01,CLIC
1984-03-14,3,CLIC
1984-03-15,1.02,CLIC
1984-03-16,1.03,CLIC
1984-03-17,1.02,CLIC
1984-03-18,1.01,CLIC
1984-03-19,1.02,CLIC
1984-03-20,1.01,CLIC
1984-03-21,2.01,CLIC
1984-03-22,2.02,CLIC
1984-03-23,1.06,CLIC
1984-03-24,4.03,CLIC
1984-03-25,2.01,CLIC
1984-03-26,2.32,CLIC
1984-03-27,0.71,CLIC
1984-03-28,2.02,CLIC
1984-03-29,2.01,CLIC
1984-03-30,2.14,CLIC
1984-03-31,3.01,CLIC
1984-04-01,1.01,CLIC
1984-04-02,4.03,CLIC
1984-04-03,1.02,CLIC
1984-04-04,1.03,CLIC
1984-04-05,3.01,CLIC
1984-04-06,1.01,CLIC
1984-04-07,1.03,CLIC
1984-04-08,2.05,CLIC
1984-04-09,3.5,CLIC
1984-04-10,1.25,CLIC
1984-04-11,2.4,CLIC
1984-04-12,2.72,CLIC
1984-04-13,1.38,CLIC
1984-04-14,1.65,CLIC
1984-04-15,1.85,CLIC
1984-04-16,2.4,CLIC
1984-04-17,2.5,CLIC
1984-04-18,2.5,CLIC
1984-04-19,1.56,CLIC
1984-04-20,1.59,CLIC
1984-04-21,1.3,CLIC
1984-04-22,1.54,CLIC
1984-04-23,1.61,CLIC
1984-04-24,1.54,CLIC
1984-04-25,1.45,CLIC
1984-04-26,2.81,CLIC
1984-04-27,1.7,CLIC
1984-04-28,1.8,CLIC
1984-04-29,2.1,CLIC
1984-04-30,2.9,CLIC
1984-05-01,3.01,CLIC
1984-05-02,1.02,CLIC
1984-05-03,1.03,CLIC
1984-05-04,3.02,CLIC
1984-05-05,1.01,CLIC
1984-05-06,1.02,CLIC
1984-05-07,3.02,CLIC
1984-05-08,2.01,CLIC
1984-05-09,1.01,CLIC
1984-05-10,2.01,CLIC
1984-05-11,2.02,CLIC
1984-05-12,2,CLIC
1984-05-13,2.02,CLIC
1984-05-14,2.02,CLIC
1984-05-15,1.01,CLIC
1984-05-16,2.01,CLIC
1984-05-17,1.01,CLIC
1984-05-18,1,CLIC
1984-05-19,2.06,CLIC
1984-05-20,0.97,CLIC
1984-05-21,2.01,CLIC
1984-05-22,2.02,CLIC
1984-05-23,2.02,CLIC
1984-05-24,3.02,CLIC
1984-05-25,1.03,CLIC
1984-05-26,1.01,CLIC
1984-05-27,2.22,CLIC
1984-05-28,1.02,CLIC
1984-05-29,0.95,CLIC
1984-05-30,2.02,CLIC
1984-05-31,2.01,CLIC
1984-06-01,2.01,CLIC
1984-06-02,1.01,CLIC
1984-06-03,2.01,CLIC
1984-06-04,1.01,CLIC
1984-06-05,2.02,CLIC
1984-06-06,2.02,CLIC
1984-06-07,2.02,CLIC
1984-06-08,0.23,CLIC
1984-06-09,0.79,CLIC
1984-06-10,1.01,CLIC
1984-06-11,1.01,CLIC
1984-06-12,1.02,CLIC
1984-06-13,2.04,CLIC
1984-06-14,1,CLIC
1984-06-15,1.62,CLIC
1984-06-16,1.5,CLIC
1984-06-17,1.6,CLIC
1984-06-18,2.2,CLIC
1984-06-19,1.2,CLIC
1984-06-20,2.45,CLIC
1984-06-21,1.55,CLIC
1984-06-22,1.25,CLIC
1984-06-23,3.01,CLIC
1984-06-24,1.02,CLIC
1984-06-25,5.01,CLIC
1984-06-26,2.71,CLIC
1984-06-27,2,CLIC
1984-06-28,1.8,CLIC
1984-06-29,2.2,CLIC
1984-06-30,1.75,CLIC
1984-07-01,1.02,CLIC
1984-07-02,1.01,CLIC
1984-07-03,3.01,CLIC
1984-07-04,1.01,CLIC
1984-07-05,2.03,CLIC
1984-07-06,1.01,CLIC
1984-07-07,1.03,CLIC
1984-07-08,1.01,CLIC
1984-07-09,4.01,CLIC
1984-07-10,2.5,CLIC
1984-07-11,2.02,CLIC
1984-07-12,1.08,CLIC
1984-07-13,3.94,CLIC
1984-07-14,2.03,CLIC
1984-07-15,2.03,CLIC
1984-07-16,2.02,CLIC
1984-07-17,1.01,CLIC
1984-07-18,2.02,CLIC
1984-07-19,1,CLIC
1984-07-20,2.05,CLIC
1984-07-21,2.01,CLIC
1984-07-22,1.01,CLIC
1984-07-23,1.01,CLIC
1984-07-24,1.01,CLIC
1984-07-25,1.02,CLIC
1984-07-26,2.01,CLIC
1984-07-27,1.02,CLIC
1984-07-28,1.01,CLIC
1984-07-29,2.01,CLIC
1984-07-30,1.09,CLIC
1984-07-31,1.1,CLIC
1984-08-01,2.5,CLIC
1984-08-02,3.1,CLIC
1984-08-03,2.2,CLIC
1984-08-04,2.1,CLIC
1984-08-05,2.1,CLIC
1984-08-06,2.2,CLIC
1984-08-07,2.6,CLIC
1984-08-08,2.7,CLIC
1984-08-09,1.8,CLIC
1984-08-10,2.2,CLIC
1984-08-11,2.81,CLIC
1984-08-12,1.45,CLIC
1984-08-13,1.02,CLIC
1984-08-14,1.01,CLIC
1984-08-15,1.01,CLIC
1984-08-16,1.02,CLIC
1984-08-17,1.01,CLIC
1984-08-18,3.06,CLIC
1984-08-19,0.96,CLIC
1984-08-20,1.01,CLIC
1984-08-21,1.01,CLIC
1984-08-22,1.01,CLIC
1984-08-23,2.02,CLIC
1984-08-24,4.02,CLIC
1984-08-25,1.03,CLIC
1984-08-26,1.01,CLIC
1984-08-27,1.02,CLIC
1984-08-28,1.01,CLIC
1984-08-29,1.01,CLIC
1984-08-30,2.03,CLIC
1984-08-31,2.4,CLIC
1984-09-01,2.02,CLIC
1984-09-02,1.02,CLIC
1984-09-03,1.02,CLIC
1984-09-04,1.01,CLIC
1984-09-05,0.88,CLIC
1984-09-06,2.15,CLIC
1984-09-07,1.01,CLIC
1984-09-08,1.38,CLIC
1984-09-09,1.65,CLIC
1984-09-10,1.67,CLIC
1984-09-11,2.44,CLIC
1984-09-12,0.85,CLIC
1984-09-13,1.52,CLIC
1984-09-14,1.67,CLIC
1984-09-15,1.64,CLIC
1984-09-16,1.37,CLIC
1984-09-17,0.73,CLIC
1984-09-18,2.57,CLIC
1984-09-19,0.3,CLIC
1984-09-20,2.69,CLIC
1984-09-21,1.76,CLIC
1984-09-22,1.18,CLIC
1984-09-23,2.02,CLIC
1984-09-24,0.53,CLIC
1984-09-25,1.31,CLIC
1984-09-26,1.76,CLIC
1984-09-27,1.73,CLIC
1984-09-28,1.32,CLIC
1984-09-29,1.4,CLIC
1984-09-30,0.51,CLIC
1984-10-01,1.01,CLIC
1984-10-02,2.02,CLIC
1984-10-03,2.03,CLIC
1984-10-04,1.01,CLIC
1984-10-05,1.02,CLIC
1984-10-06,2.01,CLIC
1984-10-07,1.01,CLIC
1984-10-08,2.02,CLIC
1984-10-09,2.01,CLIC
1984-10-10,1.01,CLIC
1984-10-11,3.01,CLIC
1984-10-12,6.02,CLIC
1984-10-13,2.01,CLIC
1984-10-14,3.01,CLIC
1984-10-15,2.01,CLIC
1984-10-16,2.05,CLIC
1984-10-17,1.45,CLIC
1984-10-18,2.01,CLIC
1984-10-19,3.02,CLIC
1984-10-20,1.02,CLIC
1984-10-21,1.01,CLIC
1984-10-22,2.02,CLIC
1984-10-23,2.01,CLIC
1984-10-24,2.01,CLIC
1984-10-25,2.03,CLIC
1984-10-26,1.02,CLIC
1984-10-27,1.63,CLIC
1984-10-28,1.8,CLIC
1984-10-29,1.42,CLIC
1984-10-30,1.01,CLIC
1984-10-31,2.07,CLIC
1984-11-01,1.5,CLIC
1984-11-02,2,CLIC
1984-11-03,1.45,CLIC
1984-11-04,1.05,CLIC
1984-11-05,1.78,CLIC
1984-11-06,1.22,CLIC
1984-11-07,1.7,CLIC
1984-11-08,1.51,CLIC
1984-11-09,2.52,CLIC
1984-11-10,0.52,CLIC
1984-11-11,1.52,CLIC
1984-11-12,0.96,CLIC
1984-11-13,1.08,CLIC
1984-11-14,2.03,CLIC
1984-11-15,2.16,CLIC
1984-11-16,0.72,CLIC
1984-11-17,1.02,CLIC
1984-11-18,1.01,CLIC
1984-11-19,2,CLIC
1984-11-20,3.25,CLIC
1984-11-21,0.5,CLIC
1984-11-22,0.31,CLIC
1984-11-23,1.01,CLIC
1984-11-24,1.06,CLIC
1984-11-25,0.97,CLIC
1984-11-26,1.02,CLIC
1984-11-27,2.02,CLIC
1984-11-28,2,CLIC
1984-11-29,1.01,CLIC
1984-11-30,1.6,CLIC
1984-12-01,1.45,CLIC
1984-12-02,2.02,CLIC
1984-12-03,2.02,CLIC
1984-12-04,2.01,CLIC
1984-12-05,2.01,CLIC
1984-12-06,1.01,CLIC
1984-12-07,2.03,CLIC
1984-12-08,2.02,CLIC
1984-12-09,1.02,CLIC
1984-12-10,1.01,CLIC
1984-12-11,2.02,CLIC
1984-12-12,2.03,CLIC
1984-12-13,1.02,CLIC
1984-12-14,2.02,CLIC
1984-12-15,2.01,CLIC
1984-12-16,3.01,CLIC
1984-12-17,2.02,CLIC
1984-12-18,1.02,CLIC
1984-12-19,2.01,CLIC
1984-12-20,2.02,CLIC
1984-12-21,1.02,CLIC
1984-12-22,2.01,CLIC
1984-12-23,2.03,CLIC
1984-12-24,1.01,CLIC
1984-12-25,2.01,CLIC
1984-12-26,2.01,CLIC
1984-12-27,1.01,CLIC
1984-12-28,1.01,CLIC
1984-12-29,1.01,CLIC
1984-12-30,1,CLIC
1984-12-31,2.96,CLIC
1985-01-01,2.02,CLIC
1985-01-02,1.59,CLIC
1985-01-03,0.73,CLIC
1985-01-04,1.3,CLIC
1985-01-05,2.01,CLIC
1985-01-06,1.01,CLIC
1985-01-07,1.02,CLIC
1985-01-08,2.01,CLIC
1985-01-09,2.02,CLIC
1985-01-10,2.02,CLIC
1985-01-11,1.02,CLIC
1985-01-12,2.02,CLIC
1985-01-13,2.02,CLIC
1985-01-14,2.01,CLIC
1985-01-15,2.01,CLIC
1985-01-16,1.02,CLIC
1985-01-17,1.01,CLIC
1985-01-18,1.02,CLIC
1985-01-19,1.01,CLIC
1985-01-20,3.03,CLIC
1985-01-21,2.02,CLIC
1985-01-22,2.02,CLIC
1985-01-23,1.02,CLIC
1985-01-24,1.02,CLIC
1985-01-25,2.02,CLIC
1985-01-26,2.02,CLIC
1985-01-27,2.01,CLIC
1985-01-28,1.02,CLIC
1985-01-29,1.02,CLIC
1985-01-30,3.01,CLIC
1985-01-31,2.75,CLIC
1985-02-01,1.7,CLIC
1985-02-02,1.1,CLIC
1985-02-03,1.5,CLIC
1985-02-04,1.03,CLIC
1985-02-05,1.02,CLIC
1985-02-06,2.01,CLIC
1985-02-07,1.02,CLIC
1985-02-08,1,CLIC
1985-02-09,3.01,CLIC
1985-02-10,1.86,CLIC
1985-02-11,1.1,CLIC
1985-02-12,0.58,CLIC
1985-02-13,1.01,CLIC
1985-02-14,1.81,CLIC
1985-02-15,0.7,CLIC
1985-02-16,1.15,CLIC
1985-02-17,1.85,CLIC
1985-02-18,1.2,CLIC
1985-02-19,1.29,CLIC
1985-02-20,2.21,CLIC
1985-02-21,1.55,CLIC
1985-02-22,0.9,CLIC
1985-02-23,0.85,CLIC
1985-02-24,1.25,CLIC
1985-02-25,1.02,CLIC
1985-02-26,1.01,CLIC
1985-02-27,0.42,CLIC
1985-02-28,0.6,CLIC
1985-03-01,2.4,CLIC
1985-03-02,2.15,CLIC
1985-03-03,3.04,CLIC
1985-03-04,2.01,CLIC
1985-03-05,2.1,CLIC
1985-03-06,0.93,CLIC
1985-03-07,1.02,CLIC
1985-03-08,1.99,CLIC
1985-03-09,1.02,CLIC
1985-03-10,3.01,CLIC
1985-03-11,1.53,CLIC
1985-03-12,1.51,CLIC
1985-03-13,1.02,CLIC
1985-03-14,1.02,CLIC
1985-03-15,2.01,CLIC
1985-03-16,2.02,CLIC
1985-03-17,1.32,CLIC
1985-03-18,1.71,CLIC
1985-03-19,1.01,CLIC
1985-03-20,1.02,CLIC
1985-03-21,2.01,CLIC
1985-03-22,2,CLIC
1985-03-23,1.04,CLIC
1985-03-24,1,CLIC
1985-03-25,1.03,CLIC
1985-03-26,2.08,CLIC
1985-03-27,2.7,CLIC
1985-03-28,2.2,CLIC
1985-03-29,1.2,CLIC
1985-03-30,1.05,CLIC
1985-03-31,2.8,CLIC
1985-04-01,2.5,CLIC
1985-04-02,2.21,CLIC
1985-04-03,1.01,CLIC
1985-04-04,1.01,CLIC
1985-04-05,2.07,CLIC
1985-04-06,1,CLIC
1985-04-07,0.95,CLIC
1985-04-08,1.05,CLIC
1985-04-09,0.99,CLIC
1985-04-10,2.01,CLIC
1985-04-11,1.08,CLIC
1985-04-12,0.95,CLIC
1985-04-13,1.01,CLIC
1985-04-14,1.01,CLIC
1985-04-15,2.01,CLIC
1985-04-16,1.02,CLIC
1985-04-17,1.12,CLIC
1985-04-18,1,CLIC
1985-04-19,1.93,CLIC
1985-04-20,2.02,CLIC
1985-04-21,2.15,CLIC
1985-04-22,1.89,CLIC
1985-04-23,1.41,CLIC
1985-04-24,1.7,CLIC
1985-04-25,2.2,CLIC
1985-04-26,1.94,CLIC
1985-04-27,1.81,CLIC
1985-04-28,1.05,CLIC
1985-04-29,1.3,CLIC
1985-04-30,1.1,CLIC
1985-05-01,3.38,CLIC
1985-05-02,2.37,CLIC
1985-05-03,3.36,CLIC
1985-05-04,3.35,CLIC
1985-05-05,4.32,CLIC
1985-05-06,3.3,CLIC
1985-05-07,3.29,CLIC
1985-05-08,3.28,CLIC
1985-05-09,3.27,CLIC
1985-05-10,3.25,CLIC
1985-05-11,3.23,CLIC
1985-05-12,3.21,CLIC
1985-05-13,4.2,CLIC
1985-05-14,3.19,CLIC
1985-05-15,3.18,CLIC
1985-05-16,4.17,CLIC
1985-05-17,3.16,CLIC
1985-05-18,3.14,CLIC
1985-05-19,4.14,CLIC
1985-05-20,3.12,CLIC
1985-05-21,3.1,CLIC
1985-05-22,3.82,CLIC
1985-05-23,3.8,CLIC
1985-05-24,3.79,CLIC
1985-05-25,3.77,CLIC
1985-05-26,3.75,CLIC
1985-05-27,3.74,CLIC
1985-05-28,3.72,CLIC
1985-05-29,3.7,CLIC
1985-05-30,3.72,CLIC
1985-05-31,3.69,CLIC
1985-06-01,3.8,CLIC
1985-06-02,3.7,CLIC
