Estación: ,C19029,LA ARENA. PESQUERIA
1967-09-03,9.9,CLIC
1967-09-04,4.9,CLIC
1967-09-05,5.3,CLIC
1967-09-06,2.1,CLIC
1967-09-07,6.3,CLIC
1967-09-08,5.6,CLIC
1967-09-09,5,CLIC
1967-09-10,6.1,CLIC
1967-09-11,5,CLIC
1967-09-12,6,CLIC
1967-09-13,4.4,CLIC
1967-09-14,4.7,CLIC
1967-09-15,6.7,CLIC
1967-09-16,9.2,CLIC
1967-09-17,6.7,CLIC
1967-09-18,2.5,CLIC
1967-09-19,3.6,CLIC
1967-09-20,3.8,CLIC
1967-09-21,0.8,CLIC
1967-09-22,4.8,CLIC
1967-09-23,3,CLIC
1967-09-24,7.1,CLIC
1967-09-25,3.7,CLIC
1967-09-26,5.4,CLIC
1967-09-27,1.3,CLIC
1967-09-28,5.8,CLIC
1967-09-29,5.2,CLIC
1967-09-30,3.1,CLIC
1967-10-01,2.7,CLIC
1967-10-02,6.4,CLIC
1967-10-03,8.5,CLIC
1967-10-04,4.6,CLIC
1967-10-05,3.6,CLIC
1967-10-06,5,CLIC
1967-10-07,5.4,CLIC
1967-10-08,3.2,CLIC
1967-10-09,3.4,CLIC
1967-10-10,3.6,CLIC
1967-10-11,3,CLIC
1967-10-12,3.2,CLIC
1967-10-13,4.2,CLIC
1967-10-14,2.5,CLIC
1967-10-15,3.8,CLIC
1967-10-16,3,CLIC
1967-10-17,2.8,CLIC
1967-10-18,3.5,CLIC
1967-10-19,5.2,CLIC
1967-10-20,2.9,CLIC
1967-10-21,3.7,CLIC
1967-10-22,3.1,CLIC
1967-10-23,3.5,CLIC
1967-10-24,3.5,CLIC
1967-10-25,3.6,CLIC
1967-10-26,3.6,CLIC
1967-10-27,4.4,CLIC
1967-10-28,3.1,CLIC
1967-10-29,3.3,CLIC
1967-10-30,3.5,CLIC
1967-10-31,3.9,CLIC
1967-11-01,4,CLIC
1967-11-02,5.1,CLIC
1967-11-03,4.5,CLIC
1967-11-04,1,CLIC
1967-11-05,0.8,CLIC
1967-11-06,1.1,CLIC
1967-11-07,0.7,CLIC
1967-11-08,1.4,CLIC
1967-11-09,0.7,CLIC
1967-11-10,1.5,CLIC
1967-11-11,2.8,CLIC
1967-11-12,1,CLIC
1967-11-13,2,CLIC
1967-11-14,3.4,CLIC
1967-11-15,2.7,CLIC
1967-11-16,0.8,CLIC
1967-11-17,2.1,CLIC
1967-11-18,3.2,CLIC
1967-11-19,2.3,CLIC
1967-11-20,5.2,CLIC
1967-11-21,4.9,CLIC
1967-11-22,3.1,CLIC
1967-11-23,4.1,CLIC
1967-11-24,3.3,CLIC
1967-11-25,5.8,CLIC
1967-11-26,1.2,CLIC
1967-11-27,1.7,CLIC
1967-11-28,0.2,CLIC
1967-11-29,1.7,CLIC
1967-11-30,3.2,CLIC
1967-12-01,1.4,CLIC
1967-12-02,4.4,CLIC
1967-12-03,2.3,CLIC
1967-12-04,3.5,CLIC
1967-12-05,2.4,CLIC
1967-12-06,1.2,CLIC
1967-12-07,3,CLIC
1967-12-08,2.3,CLIC
1967-12-09,2.7,CLIC
1967-12-10,2.5,CLIC
1967-12-11,5.9,CLIC
1967-12-12,1.9,CLIC
1967-12-13,3.5,CLIC
1967-12-14,0.8,CLIC
1967-12-15,1.4,CLIC
1967-12-16,0.5,CLIC
1967-12-17,0.5,CLIC
1967-12-18,1.5,CLIC
1967-12-19,1.5,CLIC
1967-12-20,1,CLIC
1967-12-21,4.1,CLIC
1967-12-22,4.7,CLIC
1967-12-23,6.2,CLIC
1967-12-24,6.2,CLIC
1967-12-25,6.2,CLIC
1967-12-26,2,CLIC
1967-12-27,3,CLIC
1967-12-28,3,CLIC
1967-12-29,1.6,CLIC
1967-12-30,1.6,CLIC
1967-12-31,1,CLIC
1968-01-01,5.4,CLIC
1968-01-02,0.5,CLIC
1968-01-03,1.7,CLIC
1968-01-04,1,CLIC
1968-01-05,1.1,CLIC
1968-01-06,2,CLIC
1968-01-07,1.5,CLIC
1968-01-08,0.8,CLIC
1968-01-09,2.8,CLIC
1968-01-10,1.9,CLIC
1968-01-11,0.5,CLIC
1968-01-12,5,CLIC
1968-01-13,1.6,CLIC
1968-01-14,4,CLIC
1968-01-15,1.5,CLIC
1968-01-16,2.2,CLIC
1968-01-17,2.4,CLIC
1968-01-18,2.3,CLIC
1968-01-19,2.3,CLIC
1968-01-20,2,CLIC
1968-01-21,2.7,CLIC
1968-01-22,2.3,CLIC
1968-01-23,2.2,CLIC
1968-01-24,4.8,CLIC
1968-01-25,4.5,CLIC
1968-01-26,1,CLIC
1968-01-27,1.9,CLIC
1968-01-28,1.6,CLIC
1968-01-29,2.1,CLIC
1968-01-30,3.5,CLIC
1968-01-31,2.8,CLIC
1968-02-01,2.8,CLIC
1968-02-02,5.7,CLIC
1968-02-03,4.5,CLIC
1968-02-04,4.3,CLIC
1968-02-05,4.6,CLIC
1968-02-06,3.1,CLIC
1968-02-07,5.4,CLIC
1968-02-08,3.8,CLIC
1968-02-09,0.6,CLIC
1968-02-10,1.3,CLIC
1968-02-11,1.5,CLIC
1968-02-12,4.4,CLIC
1968-02-13,0.6,CLIC
1968-02-14,1.2,CLIC
1968-02-15,1.2,CLIC
1968-02-16,3.9,CLIC
1968-02-17,5.9,CLIC
1968-02-18,0.7,CLIC
1968-02-19,1.2,CLIC
1968-02-20,5.5,CLIC
1968-02-21,4.9,CLIC
1968-02-22,4.9,CLIC
1968-02-23,3.8,CLIC
1968-02-24,4.6,CLIC
1968-02-25,1.4,CLIC
1968-02-26,3.7,CLIC
1968-02-27,1.1,CLIC
1968-02-28,2.7,CLIC
1968-02-29,1.2,CLIC
1968-03-01,4,CLIC
1968-03-02,6.7,CLIC
1968-03-03,6.9,CLIC
1968-03-04,5.4,CLIC
1968-03-05,6.8,CLIC
1968-03-06,5.4,CLIC
1968-03-07,3.7,CLIC
1968-03-08,8.6,CLIC
1968-03-09,8.7,CLIC
1968-03-10,7,CLIC
1968-03-11,7.2,CLIC
1968-03-12,3.4,CLIC
1968-03-13,2.6,CLIC
1968-03-14,4.6,CLIC
1968-03-15,5.4,CLIC
1968-03-16,2.8,CLIC
1968-03-17,3.3,CLIC
1968-03-18,4.9,CLIC
1968-03-19,5.5,CLIC
1968-03-20,9.2,CLIC
1968-03-21,4.3,CLIC
1968-03-22,5.7,CLIC
1968-03-23,6.4,CLIC
1968-03-24,6.4,CLIC
1968-03-25,5.9,CLIC
1968-03-26,5.4,CLIC
1968-03-27,2.7,CLIC
1968-03-28,3,CLIC
1968-03-29,3,CLIC
1968-03-30,2.4,CLIC
1968-03-31,5.5,CLIC
1968-04-01,2.5,CLIC
1968-04-02,5.7,CLIC
1968-04-03,6.9,CLIC
1968-04-04,8.1,CLIC
1968-04-05,5.9,CLIC
1968-04-06,3.1,CLIC
1968-04-07,3.2,CLIC
1968-04-08,1.3,CLIC
1968-04-09,9.2,CLIC
1968-04-10,3.5,CLIC
1968-04-11,1.3,CLIC
1968-04-12,1.4,CLIC
1968-04-13,9.7,CLIC
1968-04-14,0.9,CLIC
1968-04-15,4,CLIC
1968-04-16,6.8,CLIC
1968-04-17,5.6,CLIC
1968-04-18,5.3,CLIC
1968-04-19,3.5,CLIC
1968-04-20,6,CLIC
1968-04-21,9.1,CLIC
1968-04-22,6.1,CLIC
1968-04-23,7,CLIC
1968-04-24,5.9,CLIC
1968-04-25,4.8,CLIC
1968-04-26,7,CLIC
1968-04-27,7.3,CLIC
1968-04-28,2.4,CLIC
1968-04-29,1.8,CLIC
1968-04-30,2,CLIC
1968-05-01,4.6,CLIC
1968-05-02,7.5,CLIC
1968-05-03,4.3,CLIC
1968-05-04,8,CLIC
1968-05-05,4.4,CLIC
1968-05-06,3.4,CLIC
1968-05-07,4,CLIC
1968-05-08,5.4,CLIC
1968-05-09,7.9,CLIC
1968-05-10,7.5,CLIC
1968-05-11,7,CLIC
1968-05-12,2.9,CLIC
1968-05-13,7.3,CLIC
1968-05-14,4.4,CLIC
1968-05-15,7.4,CLIC
1968-05-16,5.5,CLIC
1968-05-17,10.5,CLIC
1968-05-18,3.9,CLIC
1968-05-19,4.2,CLIC
1968-05-20,4.3,CLIC
1968-05-21,6.3,CLIC
1968-05-22,4.5,CLIC
1968-05-23,7.1,CLIC
1968-05-24,7.2,CLIC
1968-05-25,7.2,CLIC
1968-05-26,7.2,CLIC
1968-05-27,7.2,CLIC
1968-05-28,8.5,CLIC
1968-05-29,8.5,CLIC
1968-05-30,7.2,CLIC
1968-05-31,7.8,CLIC
1968-06-01,5.2,CLIC
1968-06-02,6.9,CLIC
1968-06-03,5.9,CLIC
1968-06-04,7.9,CLIC
1968-06-05,7,CLIC
1968-06-06,7.3,CLIC
1968-06-07,7.4,CLIC
1968-06-08,7,CLIC
1968-06-09,7.9,CLIC
1968-06-10,6.3,CLIC
1968-06-11,6.3,CLIC
1968-06-12,5.9,CLIC
1968-06-13,6.5,CLIC
1968-06-14,9.7,CLIC
1968-06-15,9.3,CLIC
1968-06-16,10,CLIC
1968-06-17,10.1,CLIC
1968-06-18,10.1,CLIC
1968-06-19,5.4,CLIC
1968-06-20,6.1,CLIC
1968-06-21,6,CLIC
1968-06-22,4.4,CLIC
1968-06-23,7.6,CLIC
1968-06-24,8.8,CLIC
1968-06-25,10.7,CLIC
1968-06-26,6,CLIC
1968-06-27,5.9,CLIC
1968-06-28,9.5,CLIC
1968-06-29,9.1,CLIC
1968-06-30,9.5,CLIC
1968-07-01,3,CLIC
1968-07-02,7.2,CLIC
1968-07-03,5.3,CLIC
1968-07-04,6.2,CLIC
1968-07-05,3.6,CLIC
1968-07-06,4.7,CLIC
1968-07-07,7.8,CLIC
1968-07-08,6.3,CLIC
1968-07-09,9.9,CLIC
1968-07-10,3.2,CLIC
1968-07-11,4.7,CLIC
1968-07-12,4,CLIC
1968-07-13,5.2,CLIC
1968-07-14,5.8,CLIC
1968-07-15,8.3,CLIC
1968-07-16,7.4,CLIC
1968-07-17,7.4,CLIC
1968-07-18,7.8,CLIC
1968-07-19,9.2,CLIC
1968-07-20,7.3,CLIC
1968-07-21,9.4,CLIC
1968-07-22,9.4,CLIC
1968-07-23,7,CLIC
1968-07-24,8.3,CLIC
1968-07-25,8.8,CLIC
1968-07-26,7.3,CLIC
1968-07-27,5.7,CLIC
1968-07-28,6.3,CLIC
1968-07-29,6.2,CLIC
1968-07-30,8,CLIC
1968-07-31,10.7,CLIC
1968-08-01,6.6,CLIC
1968-08-02,5.1,CLIC
1968-08-03,4.6,CLIC
1968-08-04,7.5,CLIC
1968-08-05,8.3,CLIC
1968-08-06,10.3,CLIC
1968-08-07,10.6,CLIC
1968-08-08,9.1,CLIC
1968-08-09,8.9,CLIC
1968-08-10,9.6,CLIC
1968-08-11,9.4,CLIC
1968-08-12,8.9,CLIC
1968-08-13,10.9,CLIC
1968-08-14,9.9,CLIC
1968-08-15,12,CLIC
1968-08-16,11,CLIC
1968-08-17,9.9,CLIC
1968-08-18,9.5,CLIC
1968-08-19,9.3,CLIC
1968-08-20,11.7,CLIC
1968-08-21,11,CLIC
1968-08-22,9.8,CLIC
1968-08-23,9.6,CLIC
1968-08-24,9.6,CLIC
1968-08-25,5.7,CLIC
1968-08-26,3.9,CLIC
1968-08-27,5.5,CLIC
1968-08-28,7.8,CLIC
1968-08-29,7,CLIC
1968-08-30,6.6,CLIC
1968-08-31,4.3,CLIC
1968-09-01,2.3,CLIC
1968-09-02,3.4,CLIC
1968-09-03,3.9,CLIC
1968-09-04,2.4,CLIC
1968-09-05,5.5,CLIC
1968-09-06,3.9,CLIC
1968-09-07,5.9,CLIC
1968-09-08,5.2,CLIC
1968-09-09,6,CLIC
1968-09-10,5.9,CLIC
1968-09-11,6.1,CLIC
1968-09-12,2.2,CLIC
1968-09-13,2,CLIC
1968-09-14,1.5,CLIC
1968-09-15,2.9,CLIC
1968-09-16,4.7,CLIC
1968-09-17,9.6,CLIC
1968-09-18,9,CLIC
1968-09-19,6.5,CLIC
1968-09-20,4,CLIC
1968-09-21,7.3,CLIC
1968-09-22,6,CLIC
1968-09-23,5.5,CLIC
1968-09-24,4.7,CLIC
1968-09-26,2.9,CLIC
1968-09-27,3.9,CLIC
1968-09-28,4.2,CLIC
1968-09-29,5.9,CLIC
1968-09-30,1.2,CLIC
1968-10-01,3.4,CLIC
1968-10-02,3.5,CLIC
1968-10-03,3.2,CLIC
1968-10-05,2.3,CLIC
1968-10-06,4,CLIC
1968-10-07,5.6,CLIC
1968-10-08,5,CLIC
1968-10-09,4.2,CLIC
1968-10-10,4.2,CLIC
1968-10-11,1.3,CLIC
1968-10-12,1.6,CLIC
1968-10-13,4.9,CLIC
1968-10-14,4.5,CLIC
1968-10-15,5.2,CLIC
1968-10-16,3,CLIC
1968-10-18,2,CLIC
1968-10-19,1,CLIC
1968-10-20,1.1,CLIC
1968-10-21,1.8,CLIC
1968-10-22,2.6,CLIC
1968-10-23,3.1,CLIC
1968-10-24,3.2,CLIC
1968-10-25,3.2,CLIC
1968-10-26,3.5,CLIC
1968-10-27,3.1,CLIC
1968-10-28,3.9,CLIC
1968-10-29,3.7,CLIC
1968-10-30,3.4,CLIC
1968-10-31,3,CLIC
1968-11-01,5,CLIC
1968-11-02,3.3,CLIC
1968-11-03,3.4,CLIC
1968-11-04,4.3,CLIC
1968-11-05,3.5,CLIC
1968-11-06,4,CLIC
1968-11-07,1.6,CLIC
1968-11-08,1.2,CLIC
1968-11-09,2.3,CLIC
1968-11-10,4,CLIC
1968-11-11,3.7,CLIC
1968-11-12,2.7,CLIC
1968-11-13,1.9,CLIC
1968-11-14,2.1,CLIC
1968-11-15,3.8,CLIC
1968-11-16,3.8,CLIC
1968-11-17,3.9,CLIC
1968-11-18,3.3,CLIC
1968-11-19,2.5,CLIC
1968-11-20,1,CLIC
1968-11-21,1.3,CLIC
1968-11-22,1.8,CLIC
1968-11-23,1,CLIC
1968-11-24,2.5,CLIC
1968-11-25,1.2,CLIC
1968-11-26,1.7,CLIC
1968-11-27,2.4,CLIC
1968-11-28,1.2,CLIC
1968-11-29,1.1,CLIC
1968-11-30,0.8,CLIC
1968-12-01,0.6,CLIC
1968-12-02,1.9,CLIC
1968-12-03,2.6,CLIC
1968-12-04,2.3,CLIC
1968-12-05,2.6,CLIC
1968-12-06,3.4,CLIC
1968-12-07,2,CLIC
1968-12-08,1.4,CLIC
1968-12-09,1.8,CLIC
1968-12-10,1.8,CLIC
1968-12-11,1.6,CLIC
1968-12-12,3.2,CLIC
1968-12-13,4.8,CLIC
1968-12-14,3.4,CLIC
1968-12-15,1.2,CLIC
1968-12-16,3.7,CLIC
1968-12-17,4.2,CLIC
1968-12-18,4.1,CLIC
1968-12-19,1.6,CLIC
1968-12-20,1.1,CLIC
1968-12-21,2,CLIC
1968-12-22,2,CLIC
1968-12-23,2.2,CLIC
1968-12-24,2.4,CLIC
1968-12-25,1.9,CLIC
1968-12-26,2.8,CLIC
1968-12-27,7.6,CLIC
1968-12-28,4,CLIC
1968-12-29,2.2,CLIC
1968-12-30,3.3,CLIC
1968-12-31,1.5,CLIC
1969-01-01,0.5,CLIC
1969-01-02,0.5,CLIC
1969-01-03,3.1,CLIC
1969-01-04,1.1,CLIC
1969-01-05,1.3,CLIC
1969-01-06,3.7,CLIC
1969-01-07,3.6,CLIC
1969-01-08,4.6,CLIC
1969-01-09,4.6,CLIC
1969-01-10,2.9,CLIC
1969-01-11,2.7,CLIC
1969-01-12,1.9,CLIC
1969-01-13,1.1,CLIC
1969-01-14,1,CLIC
1969-01-15,2.8,CLIC
1969-01-16,2.8,CLIC
1969-01-17,2.5,CLIC
1969-01-18,2.9,CLIC
1969-01-19,1.5,CLIC
1969-01-20,2,CLIC
1969-01-21,4.9,CLIC
1969-01-22,5.1,CLIC
1969-01-23,4.6,CLIC
1969-01-24,4.7,CLIC
1969-01-25,1.7,CLIC
1969-01-26,1.5,CLIC
1969-01-27,3.7,CLIC
1969-01-28,2.8,CLIC
1969-01-29,1.2,CLIC
1969-01-30,2.6,CLIC
1969-01-31,2.7,CLIC
1969-03-01,4.7,CLIC
1969-03-02,3.1,CLIC
1969-03-03,3.1,CLIC
1969-03-04,1.2,CLIC
1969-03-05,4.6,CLIC
1969-03-06,7.8,CLIC
1969-03-07,5.8,CLIC
1969-03-08,6.5,CLIC
1969-03-09,2.1,CLIC
1969-03-10,1,CLIC
1969-03-11,0.9,CLIC
1969-03-12,1.5,CLIC
1969-03-13,7.7,CLIC
1969-03-14,1.5,CLIC
1969-03-15,6.4,CLIC
1969-03-16,4.7,CLIC
1969-03-17,6.8,CLIC
1969-03-18,6.5,CLIC
1969-03-19,6.4,CLIC
1969-03-20,7,CLIC
1969-03-21,2,CLIC
1969-03-22,2.9,CLIC
1969-03-23,4.9,CLIC
1969-03-24,7.5,CLIC
1969-03-25,6.2,CLIC
1969-03-26,6.8,CLIC
1969-03-27,7.2,CLIC
1969-03-28,5.7,CLIC
1969-03-29,8.4,CLIC
1969-03-30,5,CLIC
1969-03-31,3.3,CLIC
1969-04-01,5.7,CLIC
1969-04-02,4.8,CLIC
1969-04-03,6.9,CLIC
1969-04-04,3.8,CLIC
1969-04-05,4.1,CLIC
1969-04-06,2.1,CLIC
1969-04-07,3.6,CLIC
1969-04-08,5.3,CLIC
1969-04-09,2.7,CLIC
1969-04-10,5.1,CLIC
1969-04-11,4.1,CLIC
1969-04-12,9.4,CLIC
1969-04-13,9,CLIC
1969-04-14,7.7,CLIC
1969-04-15,6.8,CLIC
1969-04-16,8.1,CLIC
1969-04-17,11.1,CLIC
1969-04-18,7.9,CLIC
1969-04-19,9.2,CLIC
1969-04-20,6.8,CLIC
1969-04-21,4.7,CLIC
1969-04-22,6.8,CLIC
1969-04-23,7.5,CLIC
1969-04-24,7,CLIC
1969-04-25,5.1,CLIC
1969-04-26,8,CLIC
1969-04-27,13.3,CLIC
1969-04-28,6.4,CLIC
1969-04-29,0.6,CLIC
1969-04-30,2.1,CLIC
1969-06-01,10.1,CLIC
1969-06-02,3.8,CLIC
1969-06-03,3.4,CLIC
1969-06-04,3.1,CLIC
1969-06-05,4.1,CLIC
1969-06-06,3.1,CLIC
1969-06-07,1.7,CLIC
1969-06-08,5.7,CLIC
1969-06-09,8.2,CLIC
1969-06-10,9.2,CLIC
1969-06-11,7.2,CLIC
1969-06-12,4.3,CLIC
1969-06-13,6.5,CLIC
1969-06-14,6.5,CLIC
1969-06-15,9.4,CLIC
1969-06-16,5.8,CLIC
1969-06-17,7.1,CLIC
1969-06-18,6,CLIC
1969-06-19,8.1,CLIC
1969-06-20,10.4,CLIC
1969-06-21,9,CLIC
1969-06-22,5.2,CLIC
1969-06-23,5.8,CLIC
1969-06-24,3.7,CLIC
1969-06-25,6.2,CLIC
1969-06-26,9.1,CLIC
1969-06-27,8.9,CLIC
1969-06-28,2.3,CLIC
1969-06-29,7.8,CLIC
1969-06-30,7.5,CLIC
1969-07-01,8.4,CLIC
1969-07-02,5.2,CLIC
1969-07-03,7.7,CLIC
1969-07-04,10.8,CLIC
1969-07-05,8,CLIC
1969-07-06,9.4,CLIC
1969-07-07,10.2,CLIC
1969-07-08,9.8,CLIC
1969-07-09,10.7,CLIC
1969-07-10,8.3,CLIC
1969-07-11,8,CLIC
1969-07-12,12,CLIC
1969-07-13,8.9,CLIC
1969-07-14,8.9,CLIC
1969-07-15,8.3,CLIC
1969-07-16,9,CLIC
1969-07-17,7.6,CLIC
1969-07-18,8.5,CLIC
1969-07-19,6.9,CLIC
1969-07-20,6.3,CLIC
1969-07-21,6.8,CLIC
1969-07-22,8.2,CLIC
1969-07-23,10.3,CLIC
1969-07-24,9.4,CLIC
1969-07-25,7.9,CLIC
1969-07-26,11.4,CLIC
1969-07-27,8.7,CLIC
1969-07-28,6.1,CLIC
1969-07-29,8.7,CLIC
1969-07-30,8.7,CLIC
1969-07-31,8,CLIC
1969-08-01,7.4,CLIC
1969-08-02,8.6,CLIC
1969-08-03,7.8,CLIC
1969-08-04,7.5,CLIC
1969-08-05,7.7,CLIC
1969-08-06,10.4,CLIC
1969-08-07,7.1,CLIC
1969-08-08,1.3,CLIC
1969-08-09,5.5,CLIC
1969-08-10,9.3,CLIC
1969-08-11,9.9,CLIC
1969-08-12,10,CLIC
1969-08-13,10.2,CLIC
1969-08-14,10.1,CLIC
1969-08-15,9.1,CLIC
1969-08-16,9,CLIC
1969-08-17,9.4,CLIC
1969-08-18,10.8,CLIC
1969-08-19,9.6,CLIC
1969-08-20,3,CLIC
1969-08-21,4.5,CLIC
1969-08-22,2.2,CLIC
1969-08-23,6.8,CLIC
1969-08-24,8.4,CLIC
1969-08-25,6.7,CLIC
1969-08-26,8.7,CLIC
1969-08-27,5.3,CLIC
1969-08-28,5.4,CLIC
1969-08-29,2.1,CLIC
1969-08-30,1.4,CLIC
1969-08-31,1.8,CLIC
1969-10-01,5.5,CLIC
1969-10-02,5.1,CLIC
1969-10-03,4.5,CLIC
1969-10-04,4.9,CLIC
1969-10-05,3.6,CLIC
1969-10-06,3.3,CLIC
1969-10-07,3.2,CLIC
1969-10-08,3.4,CLIC
1969-10-09,4.2,CLIC
1969-10-10,3,CLIC
1969-10-11,4,CLIC
1969-10-12,3.3,CLIC
1969-10-13,0.6,CLIC
1969-10-14,3.3,CLIC
1969-10-15,2.6,CLIC
1969-10-16,0.7,CLIC
1969-10-17,3.6,CLIC
1969-10-18,3.3,CLIC
1969-10-19,1.3,CLIC
1969-10-20,3.4,CLIC
1969-10-21,3.1,CLIC
1969-10-22,3.1,CLIC
1969-10-23,1.2,CLIC
1969-10-24,2.2,CLIC
1969-10-25,0.3,CLIC
1969-10-26,1.4,CLIC
1969-10-27,1,CLIC
1969-10-28,0.9,CLIC
1969-10-29,0.4,CLIC
1969-10-30,1.8,CLIC
1969-10-31,2.7,CLIC
1969-11-01,4.2,CLIC
1969-11-02,2.3,CLIC
1969-11-03,2,CLIC
1969-11-04,2.7,CLIC
1969-11-05,3.2,CLIC
1969-11-06,3.2,CLIC
1969-11-07,3.1,CLIC
1969-11-08,1.4,CLIC
1969-11-09,4.5,CLIC
1969-11-10,4.1,CLIC
1969-11-11,0.9,CLIC
1969-11-12,2.7,CLIC
1969-11-13,2.3,CLIC
1969-11-14,4.5,CLIC
1969-11-15,3.2,CLIC
1969-11-16,3.3,CLIC
