Estación: ,C19096,LA HUASTECA.STA.CATARINA
1992-02-10,2.87,CLIC
1992-02-11,4.17,CLIC
1992-02-12,3.24,CLIC
1992-02-13,3.37,CLIC
1992-02-14,8.16,CLIC
1992-02-15,6.56,CLIC
1992-02-16,4.87,CLIC
1992-02-17,5.13,CLIC
1992-02-18,2.51,CLIC
1992-02-19,2.62,CLIC
1992-02-20,3.34,CLIC
1992-02-21,4.56,CLIC
1992-02-22,4.4,CLIC
1992-02-23,5.29,CLIC
1992-02-24,9.19,CLIC
1992-02-25,3.41,CLIC
1992-02-26,3.56,CLIC
1992-02-27,5.02,CLIC
1992-02-28,6.79,CLIC
1992-02-29,4.46,CLIC
1992-03-01,5.63,CLIC
1992-03-02,2.96,CLIC
1992-03-03,1.4,CLIC
1992-03-04,8.93,CLIC
1992-03-05,8.97,CLIC
1992-03-06,6.41,CLIC
1992-03-07,6.64,CLIC
1992-03-08,6.13,CLIC
1992-03-09,7.39,CLIC
1992-03-10,6.93,CLIC
1992-03-11,0.9,CLIC
1992-03-12,4.49,CLIC
1992-03-13,4.66,CLIC
1992-03-14,6.31,CLIC
1992-03-15,9.44,CLIC
1992-03-16,3.37,CLIC
1992-03-17,5.27,CLIC
1992-03-18,11.71,CLIC
1992-03-19,4.9,CLIC
1992-03-20,7.53,CLIC
1992-03-21,8.88,CLIC
1992-03-22,8.34,CLIC
1992-03-23,5.71,CLIC
1992-03-24,8.29,CLIC
1992-03-25,2.41,CLIC
1992-03-26,2.29,CLIC
1992-03-27,4.5,CLIC
1992-03-28,2.12,CLIC
1992-03-29,1.49,CLIC
1992-03-30,2.34,CLIC
1992-03-31,2.89,CLIC
1992-04-01,3,CLIC
1992-04-02,4.91,CLIC
1992-04-03,5.85,CLIC
1992-04-04,2.99,CLIC
1992-04-05,3.01,CLIC
1992-04-06,4.89,CLIC
1992-04-07,5.98,CLIC
1992-04-08,6.43,CLIC
1992-04-09,5.17,CLIC
1992-04-10,7.44,CLIC
1992-04-11,5.6,CLIC
1992-04-12,8.03,CLIC
1992-04-13,10.62,CLIC
1992-04-14,1.41,CLIC
1992-04-15,4.01,CLIC
1992-04-16,4.15,CLIC
1992-04-17,0.3,CLIC
1992-04-18,7.86,CLIC
1992-04-19,5.08,CLIC
1992-04-20,5.57,CLIC
1992-04-21,4.83,CLIC
1992-04-22,5.72,CLIC
1992-04-23,5.3,CLIC
1992-04-24,4.14,CLIC
1992-04-25,0.39,CLIC
1992-04-26,2.46,CLIC
1992-04-27,4.44,CLIC
1992-04-28,11.13,CLIC
1992-04-29,11.25,CLIC
1992-04-30,6.73,CLIC
1992-05-01,9.72,CLIC
1992-05-02,6,CLIC
1992-05-03,3.53,CLIC
1992-05-04,0.39,CLIC
1992-05-05,11.85,CLIC
1992-05-06,5.4,CLIC
1992-05-07,6.25,CLIC
1992-05-08,4.49,CLIC
1992-05-09,4.86,CLIC
1992-05-10,6.99,CLIC
1992-05-11,9.67,CLIC
1992-05-12,9.91,CLIC
1992-05-13,9.63,CLIC
1992-05-14,11.18,CLIC
1992-05-15,6.68,CLIC
1992-05-16,6.2,CLIC
1992-05-17,8.94,CLIC
1992-05-18,8.48,CLIC
1992-05-19,5.26,CLIC
1992-05-20,7.96,CLIC
1992-05-21,8.48,CLIC
1992-05-22,5.62,CLIC
1992-05-23,7.64,CLIC
1992-05-24,7.91,CLIC
1992-05-25,10,CLIC
1992-05-26,7.21,CLIC
1992-05-27,6.81,CLIC
1992-05-28,7.44,CLIC
1992-05-29,4.06,CLIC
1992-05-30,5.96,CLIC
1992-05-31,6.63,CLIC
1992-06-01,5.03,CLIC
1992-06-02,5.75,CLIC
1992-06-03,8.72,CLIC
1992-06-04,7.9,CLIC
1992-06-05,7.75,CLIC
1992-06-06,10.55,CLIC
1992-06-07,9.38,CLIC
1992-06-08,7.53,CLIC
1992-06-09,6.69,CLIC
1992-06-10,12.04,CLIC
1992-06-11,11.35,CLIC
1992-06-12,6.17,CLIC
1992-06-13,13.4,CLIC
1992-06-14,10.1,CLIC
1992-06-15,7.57,CLIC
1992-06-16,10.53,CLIC
1992-06-17,13.3,CLIC
1992-06-18,11.37,CLIC
1992-06-19,9.01,CLIC
1992-06-20,10.64,CLIC
1992-06-21,9.25,CLIC
1992-06-22,9.32,CLIC
1992-06-23,8.77,CLIC
1992-06-24,10.7,CLIC
1992-06-25,12.31,CLIC
1992-06-26,10.54,CLIC
1992-06-27,10.92,CLIC
1992-06-28,8.84,CLIC
1992-06-29,9.17,CLIC
1992-06-30,11.07,CLIC
1992-07-01,9.41,CLIC
1992-07-02,12.15,CLIC
1992-07-03,10.86,CLIC
1992-07-04,9.04,CLIC
1992-07-05,10.89,CLIC
1992-07-06,11,CLIC
1992-07-07,8.02,CLIC
1992-07-08,11.14,CLIC
1992-07-09,8.86,CLIC
1992-07-10,8.95,CLIC
1992-07-11,10.96,CLIC
1992-07-12,9.45,CLIC
1992-07-13,8.03,CLIC
1992-07-14,8.03,CLIC
1992-07-15,10.81,CLIC
1992-07-16,13.05,CLIC
1992-07-17,11.62,CLIC
1992-07-18,10.02,CLIC
1992-07-19,12.03,CLIC
1992-07-20,9.07,CLIC
1992-07-21,8.65,CLIC
1992-07-22,12.41,CLIC
1992-07-23,9.11,CLIC
1992-07-24,8.14,CLIC
1992-07-25,7.44,CLIC
1992-07-26,9.28,CLIC
1992-07-27,7.12,CLIC
1992-07-28,9.02,CLIC
1992-07-29,8.08,CLIC
1992-07-30,10.65,CLIC
1992-07-31,10.48,CLIC
1992-10-01,9.38,CLIC
1992-10-02,10.62,CLIC
1992-10-03,9.3,CLIC
1992-10-04,8.02,CLIC
1992-10-05,8.52,CLIC
1992-10-06,8,CLIC
1992-10-07,8.98,CLIC
1992-10-08,4.37,CLIC
1992-10-09,6.67,CLIC
1992-10-10,6.96,CLIC
1992-10-11,6.56,CLIC
1992-10-12,8.1,CLIC
1992-10-13,5.85,CLIC
1992-10-14,9.24,CLIC
1992-10-15,6.43,CLIC
1992-10-16,6.63,CLIC
1992-10-17,10.02,CLIC
1992-10-18,7,CLIC
1992-10-19,6.4,CLIC
1992-10-20,11.78,CLIC
1992-10-21,3.82,CLIC
1992-10-22,7.5,CLIC
1992-10-23,4.91,CLIC
1992-10-24,7.12,CLIC
1992-10-25,5.02,CLIC
1992-10-26,5.28,CLIC
1992-10-27,5.96,CLIC
1992-10-28,7.59,CLIC
1992-10-29,6.12,CLIC
1992-10-30,5.89,CLIC
1992-10-31,6.5,CLIC
1992-11-01,3.27,CLIC
1992-11-02,6.67,CLIC
1992-11-03,8.29,CLIC
1992-11-04,8.05,CLIC
1992-11-05,5.87,CLIC
1992-11-06,4.83,CLIC
1992-11-07,5.32,CLIC
1992-11-08,4.7,CLIC
1992-11-09,1.14,CLIC
1992-11-10,4.91,CLIC
1992-11-11,4.2,CLIC
1992-11-12,4.77,CLIC
1992-11-13,3.03,CLIC
1992-11-14,2.63,CLIC
1992-11-15,2.18,CLIC
1992-11-16,1.83,CLIC
1992-11-17,2.37,CLIC
1992-11-18,5.68,CLIC
1992-11-19,6.52,CLIC
1992-11-20,3.34,CLIC
1992-11-21,4.15,CLIC
1992-11-22,3.87,CLIC
1992-11-23,3.67,CLIC
1992-11-24,3.47,CLIC
1992-11-25,4.8,CLIC
1992-11-26,1.04,CLIC
1992-11-27,2.46,CLIC
1992-11-28,3.32,CLIC
1992-11-29,2.09,CLIC
1992-11-30,1.59,CLIC
1992-12-01,4.22,CLIC
1992-12-02,4.29,CLIC
1992-12-03,5.56,CLIC
1992-12-04,4.39,CLIC
1992-12-05,1.16,CLIC
1992-12-06,2.56,CLIC
1992-12-07,3.11,CLIC
1992-12-08,2.46,CLIC
1992-12-09,8.71,CLIC
1992-12-10,4.25,CLIC
1992-12-11,5.93,CLIC
1992-12-12,8.05,CLIC
1992-12-13,5.61,CLIC
1992-12-14,4.21,CLIC
1992-12-15,2.81,CLIC
1992-12-16,5.8,CLIC
1992-12-17,4.3,CLIC
1992-12-18,5,CLIC
1992-12-19,3.98,CLIC
1992-12-20,3.07,CLIC
1992-12-21,4.72,CLIC
1992-12-22,2,CLIC
1992-12-23,4.08,CLIC
1992-12-24,5.12,CLIC
1992-12-25,6.06,CLIC
1992-12-26,6.82,CLIC
1992-12-27,2.33,CLIC
1992-12-28,4.91,CLIC
1992-12-29,4.84,CLIC
1992-12-30,5.94,CLIC
1992-12-31,4.05,CLIC
1993-01-01,4.93,CLIC
1993-01-02,5.93,CLIC
1993-01-03,4.21,CLIC
1993-01-04,2.83,CLIC
1993-01-05,5.02,CLIC
1993-01-06,6.03,CLIC
1993-01-07,6.02,CLIC
1993-01-08,6.12,CLIC
1993-01-09,3.96,CLIC
1993-01-10,4,CLIC
1993-01-11,2.38,CLIC
1993-01-12,5.51,CLIC
1993-01-13,2.91,CLIC
1993-01-14,4.5,CLIC
1993-01-15,6.26,CLIC
1993-01-16,3.87,CLIC
1993-01-17,4.49,CLIC
1993-01-18,5.55,CLIC
1993-01-19,4.16,CLIC
1993-01-20,3.77,CLIC
1993-01-21,5.02,CLIC
1993-01-22,4.91,CLIC
1993-01-23,3.11,CLIC
1993-01-24,4.03,CLIC
1993-01-25,3.79,CLIC
1993-01-26,4.23,CLIC
1993-01-27,3.83,CLIC
1993-01-28,3.15,CLIC
1993-01-29,2.36,CLIC
1993-01-30,4.03,CLIC
1993-01-31,2.41,CLIC
1993-02-01,6.01,CLIC
1993-02-02,1.55,CLIC
1993-02-03,3.63,CLIC
1993-02-04,3.99,CLIC
1993-02-05,4.13,CLIC
1993-02-06,3.1,CLIC
1993-02-07,3.86,CLIC
1993-02-08,4,CLIC
1993-02-09,4.91,CLIC
1993-02-10,4.02,CLIC
1993-02-11,1.97,CLIC
1993-02-12,4.07,CLIC
1993-02-13,3.92,CLIC
1993-02-14,5.07,CLIC
1993-02-15,5.96,CLIC
1993-02-16,3.54,CLIC
1993-02-17,3.07,CLIC
1993-02-18,1.57,CLIC
1993-02-19,2.26,CLIC
1993-02-20,5.78,CLIC
1993-02-21,4.88,CLIC
1993-02-22,10,CLIC
1993-02-23,4.8,CLIC
1993-02-24,5.41,CLIC
1993-02-25,4.34,CLIC
1993-02-26,4.88,CLIC
1993-02-27,7.56,CLIC
1993-02-28,3.13,CLIC
1993-03-01,8.02,CLIC
1993-03-02,3.06,CLIC
1993-03-03,3.35,CLIC
1993-03-04,6.47,CLIC
1993-03-05,2.69,CLIC
1993-03-06,6.22,CLIC
1993-03-07,8.6,CLIC
1993-03-08,4.99,CLIC
1993-03-09,5.61,CLIC
1993-03-10,8.75,CLIC
1993-03-11,4.62,CLIC
1993-03-12,7.98,CLIC
1993-03-13,8.44,CLIC
1993-03-14,9.55,CLIC
1993-03-15,10.92,CLIC
1993-03-16,7.31,CLIC
1993-03-17,5.4,CLIC
1993-03-18,9.66,CLIC
1993-03-19,5.33,CLIC
1993-03-20,1.84,CLIC
1993-03-21,5.92,CLIC
1993-03-22,5.12,CLIC
1993-03-23,7.86,CLIC
1993-03-24,5.59,CLIC
1993-03-25,8.51,CLIC
1993-03-26,8.03,CLIC
1993-03-27,7.01,CLIC
1993-03-28,7.25,CLIC
1993-03-29,9.59,CLIC
1993-03-30,10.05,CLIC
1993-03-31,8.88,CLIC
1993-04-01,5.85,CLIC
1993-04-02,4,CLIC
1993-04-03,7.26,CLIC
1993-04-04,8.14,CLIC
1993-04-05,7.7,CLIC
1993-04-06,9.37,CLIC
1993-04-07,11.96,CLIC
1993-04-08,13.17,CLIC
1993-04-09,11.18,CLIC
1993-04-10,8.84,CLIC
1993-04-11,9.36,CLIC
1993-04-12,8.72,CLIC
1993-04-13,10.07,CLIC
1993-04-14,13.55,CLIC
1993-04-15,10.42,CLIC
1993-04-16,10.66,CLIC
1993-04-17,10.04,CLIC
1993-04-18,7.95,CLIC
1993-04-19,9.17,CLIC
1993-04-20,2.28,CLIC
1993-04-21,4,CLIC
1993-04-22,5.6,CLIC
1993-04-23,11.18,CLIC
1993-04-24,7.84,CLIC
1993-04-25,12.19,CLIC
1993-04-26,3.69,CLIC
1993-04-27,3.6,CLIC
1993-04-28,4.18,CLIC
1993-04-29,8.44,CLIC
1993-04-30,6.8,CLIC
1993-05-01,9.81,CLIC
1993-05-02,14.02,CLIC
1993-05-03,7.9,CLIC
1993-05-04,3.38,CLIC
1993-05-05,9.19,CLIC
1993-05-06,9.51,CLIC
1993-05-07,5.9,CLIC
1993-05-08,7.26,CLIC
1993-05-09,10.17,CLIC
1993-05-10,11.74,CLIC
1993-05-11,11.48,CLIC
1993-05-12,10.12,CLIC
1993-05-13,7.36,CLIC
1993-05-14,8.7,CLIC
1993-05-15,9.94,CLIC
1993-05-16,9.09,CLIC
1993-05-17,5.27,CLIC
1993-05-20,10.06,CLIC
1993-05-21,4.08,CLIC
1993-05-22,7,CLIC
1993-05-23,7.92,CLIC
1993-05-24,7.17,CLIC
1993-05-25,3.96,CLIC
1993-05-26,1.52,CLIC
1993-05-27,7.01,CLIC
1993-05-28,6.01,CLIC
1993-05-29,8.4,CLIC
1993-05-30,9.82,CLIC
1993-05-31,9.92,CLIC
1993-06-01,11.18,CLIC
1993-06-02,14.73,CLIC
1993-06-03,11.2,CLIC
1993-06-04,7.98,CLIC
1993-06-05,9.28,CLIC
1993-06-06,8.84,CLIC
1993-06-07,10.57,CLIC
1993-06-08,7.63,CLIC
1993-06-09,6.13,CLIC
1993-06-10,5.03,CLIC
1993-06-11,7.03,CLIC
1993-06-12,5.72,CLIC
1993-06-13,4.54,CLIC
1993-06-14,1.89,CLIC
1993-06-15,5.01,CLIC
1993-06-16,7.03,CLIC
1993-06-17,5.02,CLIC
1993-06-18,6.12,CLIC
1993-06-19,6.95,CLIC
1993-06-20,4.41,CLIC
1993-06-21,1.41,CLIC
1993-06-22,1.82,CLIC
1993-06-23,6.4,CLIC
1993-06-24,2.2,CLIC
1993-06-25,4.93,CLIC
1993-06-26,3.9,CLIC
1993-06-27,3.89,CLIC
1993-06-28,8.98,CLIC
1993-06-29,5.6,CLIC
1993-06-30,4.85,CLIC
1993-07-07,11.99,CLIC
1993-07-08,7.88,CLIC
1993-07-09,9.12,CLIC
1993-07-10,6.29,CLIC
1993-07-11,10.5,CLIC
1993-07-12,8.93,CLIC
1993-07-13,11.14,CLIC
1993-07-14,7.96,CLIC
1993-07-15,7.96,CLIC
1993-07-21,9,CLIC
1993-07-22,9.5,CLIC
1993-07-23,13.51,CLIC
1993-07-24,10.99,CLIC
1993-07-25,10.02,CLIC
1993-07-26,8.96,CLIC
1993-07-27,9.86,CLIC
1993-07-30,16.05,CLIC
1993-07-31,10.07,CLIC
1993-08-01,8.93,CLIC
1993-08-02,9.99,CLIC
1993-08-03,8.33,CLIC
1993-08-04,12.8,CLIC
1993-08-05,10.87,CLIC
1993-08-06,13.01,CLIC
1993-08-07,16.27,CLIC
1993-08-08,13.59,CLIC
1993-08-09,10.15,CLIC
1993-08-10,10.11,CLIC
1993-08-11,8.9,CLIC
1993-08-12,10.22,CLIC
1993-08-21,9.07,CLIC
1993-08-22,8.97,CLIC
1993-08-23,9.83,CLIC
1993-08-24,6.19,CLIC
1993-08-25,1.91,CLIC
1993-08-26,8.08,CLIC
1993-08-27,4.98,CLIC
1993-08-28,7.31,CLIC
1993-08-29,8.11,CLIC
1993-08-30,10.66,CLIC
1993-08-31,5.73,CLIC
1993-09-01,7.35,CLIC
1993-09-04,3.35,CLIC
1993-09-05,6.8,CLIC
1993-09-06,1.25,CLIC
1993-09-07,2.2,CLIC
1993-09-08,2.39,CLIC
1993-09-09,2.89,CLIC
1993-09-10,2.51,CLIC
1993-09-11,4.62,CLIC
1993-09-12,4.52,CLIC
1993-09-13,4.06,CLIC
1993-09-14,7.59,CLIC
1993-09-15,6.35,CLIC
1993-09-16,6,CLIC
1993-09-17,7.21,CLIC
1993-09-18,5.11,CLIC
1993-09-19,5.64,CLIC
1993-09-20,1.4,CLIC
1993-09-21,1.14,CLIC
1993-09-22,8.01,CLIC
1993-09-23,6.95,CLIC
1993-09-24,4.91,CLIC
1993-09-25,4.05,CLIC
1993-09-26,7.5,CLIC
1993-09-27,6.24,CLIC
1993-09-28,3.85,CLIC
1993-09-29,5.91,CLIC
1993-09-30,6.17,CLIC
1993-10-01,2.23,CLIC
1993-10-02,6.85,CLIC
1993-10-03,5.02,CLIC
1993-10-04,4.56,CLIC
1993-10-05,5.37,CLIC
1993-10-06,4.8,CLIC
1993-10-07,5.96,CLIC
1993-10-08,5.06,CLIC
1993-10-09,4.38,CLIC
1993-10-10,3.85,CLIC
1993-10-11,5.91,CLIC
1993-10-12,5.9,CLIC
1993-10-13,8.75,CLIC
1993-10-14,5.38,CLIC
1993-10-15,6.19,CLIC
1993-10-16,5.77,CLIC
1993-10-17,6.13,CLIC
1993-10-18,6,CLIC
1993-10-19,3.9,CLIC
1993-10-20,4.02,CLIC
1993-10-21,2.81,CLIC
1993-10-22,3.34,CLIC
1993-10-23,3.77,CLIC
1993-10-24,5.13,CLIC
