Estación: ,C19086,MIER Y NORIEGA (DGE) usar 19046
1975-06-02,0,CLIC
1975-06-03,0,CLIC
1975-06-04,29,CLIC
1975-06-05,28,CLIC
1975-06-06,0,CLIC
1975-06-07,8.5,CLIC
1975-06-08,16,CLIC
1975-06-09,0,CLIC
1975-06-10,2,CLIC
1975-06-11,18.5,CLIC
1975-06-12,0,CLIC
1975-06-13,0,CLIC
1975-06-14,0,CLIC
1975-06-15,0,CLIC
1975-06-16,0,CLIC
1975-06-17,1.5,CLIC
1975-06-18,0,CLIC
1975-06-19,15.5,CLIC
1975-06-20,2.5,CLIC
1975-06-21,0.5,CLIC
1975-06-22,0,CLIC
1975-06-23,0,CLIC
1975-06-24,9.5,CLIC
1975-06-25,1,CLIC
1975-06-26,10.5,CLIC
1975-06-27,0,CLIC
1975-06-28,0,CLIC
1975-06-29,0,CLIC
1975-06-30,0,CLIC
1975-07-01,0,CLIC
1975-07-02,0,CLIC
1975-07-03,0.5,CLIC
1975-07-04,0,CLIC
1975-07-05,0,CLIC
1975-07-06,0,CLIC
1975-07-07,0,CLIC
1975-07-08,0,CLIC
1975-07-09,0,CLIC
1975-07-10,0,CLIC
1975-07-11,0,CLIC
1975-07-12,9,CLIC
1975-07-13,6,CLIC
1975-07-14,4,CLIC
1975-07-15,20,CLIC
1975-07-16,0,CLIC
1975-07-17,0,CLIC
1975-07-18,24,CLIC
1975-07-19,0,CLIC
1975-07-20,0,CLIC
1975-07-21,0,CLIC
1975-07-22,2,CLIC
1975-07-23,0,CLIC
1975-07-24,0,CLIC
1975-07-25,0,CLIC
1975-07-26,1.5,CLIC
1975-07-27,1,CLIC
1975-07-28,0,CLIC
1975-07-29,0.5,CLIC
1975-07-30,0.5,CLIC
1975-07-31,0,CLIC
1975-08-01,0,CLIC
1975-08-02,0,CLIC
1975-08-03,0,CLIC
1975-08-04,0,CLIC
1975-08-05,1,CLIC
1975-08-06,1.5,CLIC
1975-08-07,9,CLIC
1975-08-08,0,CLIC
1975-08-09,30,CLIC
1975-08-10,5,CLIC
1975-08-11,0,CLIC
1975-08-12,0,CLIC
1975-08-13,0,CLIC
1975-08-14,0,CLIC
1975-08-15,0,CLIC
1975-08-16,20.5,CLIC
1975-08-17,0,CLIC
1975-08-18,2,CLIC
1975-08-19,0,CLIC
1975-08-20,0,CLIC
1975-08-21,1,CLIC
1975-08-22,0,CLIC
1975-08-23,0,CLIC
1975-08-24,0,CLIC
1975-08-25,4,CLIC
1975-08-26,0,CLIC
1975-08-27,0,CLIC
1975-08-28,1.5,CLIC
1975-08-29,20.5,CLIC
1975-08-30,0,CLIC
1975-08-31,0.5,CLIC
1975-09-01,0.5,CLIC
1975-09-02,0,CLIC
1975-09-03,28.5,CLIC
1975-09-04,0,CLIC
1975-09-05,1,CLIC
1975-09-06,1.5,CLIC
1975-09-07,6.5,CLIC
1975-09-08,0,CLIC
1975-09-09,0,CLIC
1975-09-10,2,CLIC
1975-09-11,0,CLIC
1975-09-12,0,CLIC
1975-09-13,0,CLIC
1975-09-14,0,CLIC
1975-09-15,0,CLIC
1975-09-16,0,CLIC
1975-09-17,0,CLIC
1975-09-18,0,CLIC
1975-09-19,0,CLIC
1975-09-20,4,CLIC
1975-09-21,0,CLIC
1975-09-22,8.5,CLIC
1975-09-23,0,CLIC
1975-09-24,0,CLIC
1975-09-25,0,CLIC
1975-09-26,0,CLIC
1975-09-27,0,CLIC
1975-09-28,0,CLIC
1975-09-29,0.5,CLIC
1975-09-30,0,CLIC
1975-10-01,0,CLIC
1975-10-02,0,CLIC
1975-10-03,0,CLIC
1975-10-04,0,CLIC
1975-10-05,0,CLIC
1975-10-06,0,CLIC
1975-10-07,0,CLIC
1975-10-08,0,CLIC
1975-10-09,1,CLIC
1975-10-10,0,CLIC
1975-10-11,2,CLIC
1975-10-12,0,CLIC
1975-10-13,0,CLIC
1975-10-14,0,CLIC
1975-10-15,0,CLIC
1975-10-16,9.5,CLIC
1975-10-17,0.5,CLIC
1975-10-18,0,CLIC
1975-10-19,0,CLIC
1975-10-20,0,CLIC
1975-10-21,0,CLIC
1975-10-22,0,CLIC
1975-10-23,0,CLIC
1975-10-24,0,CLIC
1975-10-25,0,CLIC
1975-10-26,2,CLIC
1975-10-27,0,CLIC
1975-10-28,0,CLIC
1975-10-29,0.5,CLIC
1975-10-30,1,CLIC
1975-10-31,0,CLIC
1975-11-01,0,CLIC
1975-11-02,0,CLIC
1975-11-03,0,CLIC
1975-11-04,0,CLIC
1975-11-05,0,CLIC
1975-11-06,0,CLIC
1975-11-07,0,CLIC
1975-11-08,0,CLIC
1975-11-09,0,CLIC
1975-11-10,0,CLIC
1975-11-11,0,CLIC
1975-11-12,0,CLIC
1975-11-13,0,CLIC
1975-11-14,0,CLIC
1975-11-15,0,CLIC
1975-11-16,0,CLIC
1975-11-17,0,CLIC
1975-11-18,0,CLIC
1975-11-19,0,CLIC
1975-11-20,0,CLIC
1975-11-21,0,CLIC
1975-11-22,1,CLIC
1975-11-23,0,CLIC
1975-11-24,0,CLIC
1975-11-25,0,CLIC
1975-11-26,0,CLIC
1975-11-27,0,CLIC
1975-11-28,0,CLIC
1975-11-29,0,CLIC
1975-11-30,0,CLIC
1975-12-01,0,CLIC
1975-12-02,0,CLIC
1975-12-03,0,CLIC
1975-12-04,0,CLIC
1975-12-05,0,CLIC
1975-12-06,0,CLIC
1975-12-07,0,CLIC
1975-12-08,0,CLIC
1975-12-09,0,CLIC
1975-12-10,0,CLIC
1975-12-11,0,CLIC
1975-12-12,0,CLIC
1975-12-13,0,CLIC
1975-12-14,0,CLIC
1975-12-15,0,CLIC
1975-12-16,0,CLIC
1975-12-17,8,CLIC
1975-12-18,13,CLIC
1975-12-19,2,CLIC
1975-12-20,0,CLIC
1975-12-21,0,CLIC
1975-12-22,0,CLIC
1975-12-23,0,CLIC
1975-12-24,0,CLIC
1975-12-25,0,CLIC
1975-12-26,0,CLIC
1975-12-27,0,CLIC
1975-12-28,0,CLIC
1975-12-29,0,CLIC
1975-12-30,0,CLIC
1975-12-31,0,CLIC
1976-01-01,0,CLIC
1976-01-02,0,CLIC
1976-01-03,0,CLIC
1976-01-04,0,CLIC
1976-01-05,0,CLIC
1976-01-06,0,CLIC
1976-01-07,0,CLIC
1976-01-08,0,CLIC
1976-01-09,0,CLIC
1976-01-10,0,CLIC
1976-01-11,0,CLIC
1976-01-12,0,CLIC
1976-01-13,0,CLIC
1976-01-14,0,CLIC
1976-01-15,0,CLIC
1976-01-16,0,CLIC
1976-01-17,0,CLIC
1976-01-18,0,CLIC
1976-01-19,0,CLIC
1976-01-20,0,CLIC
1976-01-21,0.5,CLIC
1976-01-22,0,CLIC
1976-01-23,0,CLIC
1976-01-24,0,CLIC
1976-01-25,0,CLIC
1976-01-26,0,CLIC
1976-01-27,0,CLIC
1976-01-28,0,CLIC
1976-01-29,0,CLIC
1976-01-30,2,CLIC
1976-01-31,0,CLIC
1976-02-01,0,CLIC
1976-02-02,0,CLIC
1976-02-03,0,CLIC
1976-02-04,0,CLIC
1976-02-05,0,CLIC
1976-02-06,0,CLIC
1976-02-07,0,CLIC
1976-02-08,0,CLIC
1976-02-09,0,CLIC
1976-02-10,0,CLIC
1976-02-11,0,CLIC
1976-02-12,0,CLIC
1976-02-13,0,CLIC
1976-02-14,0,CLIC
1976-02-15,0,CLIC
1976-02-16,0,CLIC
1976-02-17,0,CLIC
1976-02-18,0,CLIC
1976-02-19,0,CLIC
1976-02-20,0,CLIC
1976-02-21,0,CLIC
1976-02-22,0,CLIC
1976-02-23,0,CLIC
1976-02-24,0,CLIC
1976-02-25,0,CLIC
1976-02-26,0,CLIC
1976-02-27,0,CLIC
1976-02-28,0,CLIC
1976-02-29,0,CLIC
1976-03-01,0,CLIC
1976-03-02,0,CLIC
1976-03-03,0,CLIC
1976-03-04,0,CLIC
1976-03-05,0,CLIC
1976-03-06,0,CLIC
1976-03-07,0,CLIC
1976-03-08,0,CLIC
1976-03-09,0,CLIC
1976-03-10,0,CLIC
1976-03-11,0,CLIC
1976-03-12,0,CLIC
1976-03-13,0,CLIC
1976-03-14,0,CLIC
1976-03-15,0,CLIC
1976-03-16,0,CLIC
1976-03-17,0,CLIC
1976-03-18,0,CLIC
1976-03-19,0,CLIC
1976-03-20,0,CLIC
1976-03-21,0,CLIC
1976-03-22,0,CLIC
1976-03-23,0,CLIC
1976-03-24,0,CLIC
1976-03-25,0,CLIC
1976-03-26,0,CLIC
1976-03-27,0,CLIC
1976-03-28,0,CLIC
1976-03-29,0,CLIC
1976-03-30,0,CLIC
1976-03-31,7.5,CLIC
1976-04-01,0,CLIC
1976-04-02,6,CLIC
1976-04-03,17.5,CLIC
1976-04-04,0,CLIC
1976-04-05,0,CLIC
1976-04-06,0,CLIC
1976-04-07,0,CLIC
1976-04-08,0,CLIC
1976-04-09,0,CLIC
1976-04-10,0,CLIC
1976-04-11,2,CLIC
1976-04-12,1.5,CLIC
1976-04-13,0,CLIC
1976-04-14,1,CLIC
1976-04-15,0,CLIC
1976-04-16,0,CLIC
1976-04-17,0,CLIC
1976-04-18,0,CLIC
1976-04-19,0,CLIC
1976-04-20,0,CLIC
1976-04-21,0,CLIC
1976-04-22,0,CLIC
1976-04-23,0,CLIC
1976-04-24,9.5,CLIC
1976-04-25,0,CLIC
1976-04-26,0,CLIC
1976-04-27,0,CLIC
1976-04-28,0,CLIC
1976-04-29,0,CLIC
1976-04-30,20.5,CLIC
1976-05-01,4,CLIC
1976-05-02,0,CLIC
1976-05-03,0,CLIC
1976-05-04,0,CLIC
1976-05-05,0,CLIC
1976-05-06,0,CLIC
1976-05-07,0,CLIC
1976-05-08,0,CLIC
1976-05-09,0,CLIC
1976-05-10,32.5,CLIC
1976-05-11,0,CLIC
1976-05-12,2.5,CLIC
1976-05-13,6,CLIC
1976-05-14,0,CLIC
1976-05-15,0,CLIC
1976-05-16,4,CLIC
1976-05-17,10.5,CLIC
1976-05-18,13,CLIC
1976-05-19,13.5,CLIC
1976-05-20,0,CLIC
1976-05-21,0,CLIC
1976-05-22,0,CLIC
1976-05-23,0,CLIC
1976-05-24,0,CLIC
1976-05-25,0,CLIC
1976-05-26,0,CLIC
1976-05-27,3.5,CLIC
1976-05-28,5,CLIC
1976-05-29,0,CLIC
1976-05-30,0,CLIC
1976-05-31,0,CLIC
1976-06-01,5,CLIC
1976-06-02,10,CLIC
1976-06-03,0,CLIC
1976-06-04,0,CLIC
1976-06-05,0,CLIC
1976-06-06,0,CLIC
1976-06-07,0,CLIC
1976-06-08,0,CLIC
1976-06-09,0,CLIC
1976-06-10,0,CLIC
1976-06-11,0,CLIC
1976-06-12,0,CLIC
1976-06-13,0,CLIC
1976-06-14,0,CLIC
1976-06-15,1,CLIC
1976-06-16,0,CLIC
1976-06-17,0,CLIC
1976-06-18,0,CLIC
1976-06-19,2,CLIC
1976-06-20,0,CLIC
1976-06-21,4,CLIC
1976-06-22,0,CLIC
1976-06-23,0,CLIC
1976-06-24,0,CLIC
1976-06-25,0,CLIC
1976-06-26,0,CLIC
1976-06-27,0,CLIC
1976-06-28,0,CLIC
1976-06-29,0,CLIC
1976-06-30,8,CLIC
1976-07-01,8,CLIC
1976-07-02,0,CLIC
1976-07-03,1,CLIC
1976-07-04,0,CLIC
1976-07-05,4.5,CLIC
1976-07-06,6,CLIC
1976-07-07,1,CLIC
1976-07-08,9.5,CLIC
1976-07-09,42,CLIC
1976-07-10,3.5,CLIC
1976-07-11,6.5,CLIC
1976-07-12,4,CLIC
1976-07-13,13.5,CLIC
1976-07-14,32,CLIC
1976-07-15,0,CLIC
1976-07-16,0,CLIC
1976-07-17,0,CLIC
1976-07-18,0,CLIC
1976-07-19,0,CLIC
1976-07-20,0,CLIC
1976-07-21,1.5,CLIC
1976-07-22,5,CLIC
1976-07-23,0,CLIC
1976-07-24,4,CLIC
1976-07-25,6,CLIC
1976-07-26,0,CLIC
1976-07-27,0,CLIC
1976-07-28,0,CLIC
1976-07-29,0,CLIC
1976-07-30,0,CLIC
1976-07-31,0,CLIC
1976-08-01,0,CLIC
1976-08-02,8.5,CLIC
1976-08-03,22,CLIC
1976-08-04,4,CLIC
1976-08-05,0,CLIC
1976-08-06,0,CLIC
1976-08-07,0,CLIC
1976-08-08,0,CLIC
1976-08-09,9.5,CLIC
1976-08-10,0,CLIC
1976-08-11,0,CLIC
1976-08-12,0,CLIC
1976-08-13,10,CLIC
1976-08-14,0,CLIC
1976-08-15,5,CLIC
1976-08-16,0,CLIC
1976-08-17,0,CLIC
1976-08-18,5,CLIC
1976-08-19,5,CLIC
1976-08-20,16,CLIC
1976-08-21,0,CLIC
1976-08-22,20.5,CLIC
1976-08-23,0,CLIC
1976-08-24,8,CLIC
1976-08-25,0,CLIC
1976-08-26,0,CLIC
1976-08-27,1,CLIC
1976-08-28,0,CLIC
1976-08-29,0,CLIC
1976-08-30,0,CLIC
1976-08-31,0,CLIC
1976-09-01,0,CLIC
1976-09-02,0,CLIC
1976-09-03,0,CLIC
1976-09-04,0,CLIC
1976-09-05,0,CLIC
1976-09-06,0,CLIC
1976-09-07,0,CLIC
1976-09-08,0,CLIC
1976-09-09,0,CLIC
1976-09-10,0,CLIC
1976-09-11,0,CLIC
1976-09-12,36.5,CLIC
1976-09-13,9,CLIC
1976-09-14,1,CLIC
1976-09-15,0,CLIC
1976-09-16,5,CLIC
1976-09-17,2,CLIC
1976-09-18,11.5,CLIC
1976-09-19,9,CLIC
1976-09-20,38.5,CLIC
1976-09-21,2,CLIC
1976-09-22,0,CLIC
1976-09-23,0,CLIC
1976-09-24,20.5,CLIC
1976-09-25,33.5,CLIC
1976-09-26,0,CLIC
1976-09-27,0,CLIC
1976-09-28,17.5,CLIC
1976-09-29,1.5,CLIC
1976-09-30,0,CLIC
1976-10-01,0,CLIC
1976-10-02,0,CLIC
1976-10-03,0,CLIC
1976-10-04,0,CLIC
1976-10-05,0,CLIC
1976-10-06,0,CLIC
1976-10-07,0,CLIC
1976-10-08,14,CLIC
1976-10-09,2,CLIC
1976-10-10,0,CLIC
1976-10-11,0,CLIC
1976-10-12,0.5,CLIC
1976-10-13,2,CLIC
1976-10-14,2,CLIC
1976-10-15,0,CLIC
1976-10-16,4,CLIC
1976-10-17,0,CLIC
1976-10-18,0,CLIC
1976-10-19,0,CLIC
1976-10-20,1,CLIC
1976-10-21,0,CLIC
1976-10-22,0,CLIC
1976-10-23,0,CLIC
1976-10-24,0,CLIC
1976-10-25,2,CLIC
1976-10-26,21,CLIC
1976-10-27,0,CLIC
1976-10-28,0,CLIC
1976-10-29,0,CLIC
1976-10-30,0,CLIC
1976-10-31,1,CLIC
1976-11-01,0,CLIC
1976-11-02,0,CLIC
1976-11-03,0,CLIC
1976-11-04,0,CLIC
1976-11-05,0,CLIC
1976-11-06,0,CLIC
1976-11-07,1.5,CLIC
1976-11-08,0,CLIC
1976-11-09,0,CLIC
1976-11-10,0,CLIC
1976-11-11,0,CLIC
1976-11-12,0,CLIC
1976-11-13,0,CLIC
1976-11-14,0,CLIC
1976-11-15,0,CLIC
1976-11-16,0,CLIC
1976-11-17,23,CLIC
1976-11-18,4,CLIC
1976-11-19,1.5,CLIC
1976-11-20,0,CLIC
1976-11-21,6.5,CLIC
1976-11-22,0,CLIC
1976-11-23,0,CLIC
1976-11-24,0,CLIC
1976-11-25,0,CLIC
1976-11-26,4,CLIC
1976-11-27,0,CLIC
1976-11-28,4,CLIC
1976-11-29,3,CLIC
1976-11-30,2.5,CLIC
1976-12-01,6.5,CLIC
1976-12-02,9.5,CLIC
1976-12-03,0,CLIC
1976-12-04,0,CLIC
1976-12-05,0,CLIC
1976-12-06,0,CLIC
1976-12-07,0,CLIC
1976-12-08,0,CLIC
1976-12-09,2,CLIC
1976-12-10,0,CLIC
1976-12-11,0,CLIC
1976-12-12,0,CLIC
1976-12-13,0,CLIC
1976-12-14,0,CLIC
1976-12-15,2,CLIC
1976-12-16,8,CLIC
1976-12-17,0,CLIC
1976-12-18,0,CLIC
1976-12-19,0,CLIC
1976-12-20,9.5,CLIC
1976-12-21,7.5,CLIC
1976-12-22,2,CLIC
1976-12-23,7.5,CLIC
1976-12-24,2,CLIC
1976-12-25,16,CLIC
1976-12-26,0,CLIC
1976-12-27,0,CLIC
1976-12-28,0,CLIC
1976-12-29,0,CLIC
1976-12-30,0,CLIC
1976-12-31,0,CLIC
1977-01-01,0,CLIC
1977-01-02,0,CLIC
1977-01-03,0,CLIC
1977-01-04,0,CLIC
1977-01-05,0,CLIC
1977-01-06,0,CLIC
1977-01-07,0,CLIC
1977-01-08,0,CLIC
1977-01-09,0,CLIC
1977-01-10,0,CLIC
1977-01-11,0,CLIC
1977-01-12,0,CLIC
1977-01-13,0,CLIC
1977-01-14,0,CLIC
1977-01-15,0,CLIC
1977-01-16,0,CLIC
1977-01-17,0,CLIC
1977-01-18,0,CLIC
1977-01-19,0,CLIC
1977-01-20,0,CLIC
1977-01-21,4.5,CLIC
1977-01-22,0,CLIC
1977-01-23,0,CLIC
1977-01-24,0,CLIC
1977-01-25,0,CLIC
1977-01-26,0,CLIC
1977-01-27,0,CLIC
1977-01-28,0,CLIC
1977-01-29,0,CLIC
1977-01-30,0,CLIC
1977-01-31,0,CLIC
1977-02-01,0,CLIC
1977-02-02,0,CLIC
1977-02-03,0,CLIC
1977-02-04,0,CLIC
1977-02-05,0,CLIC
1977-02-06,0,CLIC
1977-02-07,0,CLIC
1977-02-08,0,CLIC
1977-02-09,0,CLIC
1977-02-10,0,CLIC
1977-02-11,0,CLIC
1977-02-12,1,CLIC
1977-02-13,0,CLIC
1977-02-14,0,CLIC
1977-02-15,1,CLIC
1977-02-16,0,CLIC
1977-02-17,0,CLIC
