Estación: ,C19098,GENERAL TREVIÑO. GRAL.T.
1978-08-12,9.1,CLIC
1978-08-13,5.1,CLIC
1978-08-14,9.7,CLIC
1978-08-15,10.8,CLIC
1978-08-16,9.5,CLIC
1978-08-17,10.9,CLIC
1978-08-18,8.1,CLIC
1978-08-19,9.8,CLIC
1978-08-20,6.4,CLIC
1978-08-21,5.3,CLIC
1978-08-22,9.6,CLIC
1978-08-23,10.3,CLIC
1978-08-24,8.6,CLIC
1978-08-25,7.9,CLIC
1978-08-26,8.9,CLIC
1978-08-27,7.1,CLIC
1978-08-28,9.1,CLIC
1978-08-29,6.5,CLIC
1978-08-30,4.3,CLIC
1978-08-31,5.5,CLIC
1978-09-01,6.1,CLIC
1978-09-02,13.6,CLIC
1978-09-03,4.3,CLIC
1978-09-04,4.5,CLIC
1978-09-07,3.4,CLIC
1978-09-08,4.8,CLIC
1978-09-09,5.6,CLIC
1978-09-10,3.4,CLIC
1978-09-11,1.8,CLIC
1978-09-12,4.2,CLIC
1978-09-13,4.5,CLIC
1978-09-14,7,CLIC
1978-09-15,6.8,CLIC
1978-09-16,6.9,CLIC
1978-09-17,6.7,CLIC
1978-09-18,8,CLIC
1978-09-19,7.7,CLIC
1978-09-20,0.2,CLIC
1978-09-21,3.8,CLIC
1978-09-22,0.9,CLIC
1978-09-25,4.8,CLIC
1978-09-26,2,CLIC
1978-09-27,3.3,CLIC
1978-09-28,3.5,CLIC
1978-09-29,5.7,CLIC
1978-09-30,3.9,CLIC
1978-10-01,4.4,CLIC
1978-10-02,3.6,CLIC
1978-10-03,2.6,CLIC
1978-10-04,2.2,CLIC
1978-10-05,3.9,CLIC
1978-10-06,3.5,CLIC
1978-10-07,1.5,CLIC
1978-10-08,3,CLIC
1978-10-09,5.8,CLIC
1978-10-10,2.9,CLIC
1978-10-11,4,CLIC
1978-10-12,4.2,CLIC
1978-10-13,7,CLIC
1978-10-14,4.3,CLIC
1978-10-15,3.3,CLIC
1978-10-16,3.9,CLIC
1978-10-17,3.4,CLIC
1978-10-18,3.7,CLIC
1978-10-19,3.2,CLIC
1978-10-20,5,CLIC
1978-10-21,3.8,CLIC
1978-10-22,4.8,CLIC
1978-10-23,3.6,CLIC
1978-10-24,3.8,CLIC
1978-10-25,2.7,CLIC
1978-10-26,2.5,CLIC
1978-10-27,2.8,CLIC
1978-10-28,0.1,CLIC
1978-10-29,2.5,CLIC
1978-10-30,2.2,CLIC
1978-10-31,3,CLIC
1978-11-01,1.3,CLIC
1978-11-02,4.2,CLIC
1978-11-03,2.2,CLIC
1978-11-04,2.5,CLIC
1978-11-05,3.2,CLIC
1978-11-06,5.3,CLIC
1978-11-07,3.4,CLIC
1978-11-08,3.1,CLIC
1978-11-09,2.7,CLIC
1978-11-10,1.8,CLIC
1978-11-11,4.6,CLIC
1978-11-12,3.3,CLIC
1978-11-13,2.8,CLIC
1978-11-14,1.7,CLIC
1978-11-15,3.1,CLIC
1978-11-16,2.3,CLIC
1978-11-17,1.5,CLIC
1978-11-18,0.2,CLIC
1978-11-19,1,CLIC
1978-11-20,0.6,CLIC
1978-11-21,0.2,CLIC
1978-11-22,1,CLIC
1978-11-23,0.6,CLIC
1978-11-24,1.3,CLIC
1978-11-25,1.1,CLIC
1978-11-26,2.1,CLIC
1978-11-27,3.1,CLIC
1978-11-28,0.8,CLIC
1978-11-29,1.1,CLIC
1978-11-30,2.2,CLIC
1978-12-01,2.2,CLIC
1978-12-02,2.7,CLIC
1978-12-03,2.2,CLIC
1978-12-04,5.2,CLIC
1978-12-05,3.2,CLIC
1978-12-06,2.3,CLIC
1978-12-07,1.7,CLIC
1978-12-08,2.6,CLIC
1978-12-09,0.8,CLIC
1978-12-10,5.4,CLIC
1978-12-11,1.8,CLIC
1978-12-12,0.8,CLIC
1978-12-13,1.1,CLIC
1978-12-14,0.9,CLIC
1978-12-15,3.3,CLIC
1978-12-16,3,CLIC
1978-12-17,3.8,CLIC
1978-12-18,2.5,CLIC
1978-12-19,2.7,CLIC
1978-12-20,3.5,CLIC
1978-12-21,5.1,CLIC
1978-12-22,2.1,CLIC
1978-12-23,4.1,CLIC
1978-12-24,3.9,CLIC
1978-12-25,1.6,CLIC
1978-12-26,1.4,CLIC
1978-12-27,1.4,CLIC
1978-12-28,0.9,CLIC
1978-12-29,0.9,CLIC
1978-12-30,0.8,CLIC
1978-12-31,4,CLIC
1979-01-01,2.6,CLIC
1979-01-02,1.8,CLIC
1979-01-03,1.6,CLIC
1979-01-04,2,CLIC
1979-01-05,1.9,CLIC
1979-01-06,1.7,CLIC
1979-01-07,2.4,CLIC
1979-01-08,1.4,CLIC
1979-01-09,0.5,CLIC
1979-01-10,1.3,CLIC
1979-01-11,2.1,CLIC
1979-01-12,4.9,CLIC
1979-01-13,4.2,CLIC
1979-01-14,1.9,CLIC
1979-01-15,3,CLIC
1979-01-16,1.6,CLIC
1979-01-17,2.2,CLIC
1979-01-18,0.4,CLIC
1979-01-19,4.4,CLIC
1979-01-20,12.1,CLIC
1979-01-21,0.9,CLIC
1979-01-22,4.2,CLIC
1979-01-23,4.8,CLIC
1979-01-24,4.1,CLIC
1979-01-25,1.9,CLIC
1979-01-26,1.7,CLIC
1979-01-27,7.8,CLIC
1979-01-28,1.5,CLIC
1979-01-29,1.4,CLIC
1979-01-30,1.3,CLIC
1979-01-31,0.5,CLIC
1979-02-01,1.3,CLIC
1979-02-02,2.5,CLIC
1979-02-03,1.2,CLIC
1979-02-04,1.3,CLIC
1979-02-05,0.7,CLIC
1979-02-06,4.4,CLIC
1979-02-07,2.1,CLIC
1979-02-08,4.4,CLIC
1979-02-09,2.5,CLIC
1979-02-10,1.2,CLIC
1979-02-11,0.4,CLIC
1979-02-12,4.2,CLIC
1979-02-13,2.4,CLIC
1979-02-14,4.2,CLIC
1979-02-15,4.9,CLIC
1979-02-16,5.8,CLIC
1979-02-17,1.5,CLIC
1979-02-18,1.9,CLIC
1979-02-19,0.2,CLIC
1979-02-20,1.8,CLIC
1979-02-21,0.6,CLIC
1979-02-22,4.5,CLIC
1979-02-23,4.8,CLIC
1979-02-24,7.6,CLIC
