Estación: ,C19121,GATOS GUEROS. LINARES
1980-08-25,10.4,CLIC
1980-08-26,9.6,CLIC
1980-08-27,9,CLIC
1980-08-28,9.3,CLIC
1980-08-29,8.7,CLIC
1980-08-30,8.3,CLIC
1980-08-31,9.4,CLIC
1980-09-01,9.1,CLIC
1980-09-02,6.4,CLIC
1980-09-03,8.1,CLIC
1980-09-04,12,CLIC
1980-09-05,7.3,CLIC
1980-09-06,11,CLIC
1980-09-07,9.1,CLIC
1980-09-08,8.2,CLIC
1980-09-09,3.8,CLIC
1980-09-10,5.9,CLIC
1980-09-11,11.1,CLIC
1980-09-12,7,CLIC
1980-09-13,9.1,CLIC
1980-09-14,4.3,CLIC
1980-09-15,7.6,CLIC
1980-09-16,10.2,CLIC
1980-09-17,10.9,CLIC
1980-09-18,11.4,CLIC
1980-09-19,11.1,CLIC
1980-09-20,11,CLIC
1980-09-21,10,CLIC
1980-09-22,11,CLIC
1980-09-23,10,CLIC
1980-09-24,8.4,CLIC
1980-09-25,5.8,CLIC
1980-09-26,11.8,CLIC
1980-09-27,5,CLIC
1980-09-28,8,CLIC
1980-09-29,11,CLIC
1980-09-30,10,CLIC
1980-10-01,10,CLIC
1980-10-02,8.5,CLIC
1980-10-03,8.5,CLIC
1980-10-04,8,CLIC
1980-10-05,8.7,CLIC
1980-10-06,4.7,CLIC
1980-10-07,8.5,CLIC
1980-10-08,8.4,CLIC
1980-10-09,9.1,CLIC
1980-10-10,7.6,CLIC
1980-10-11,8.9,CLIC
1980-10-12,6.9,CLIC
1980-10-13,7.2,CLIC
1980-10-14,7,CLIC
1980-10-15,7.4,CLIC
1980-10-16,8,CLIC
1980-10-17,7.9,CLIC
1980-10-18,6.9,CLIC
1980-10-19,7.7,CLIC
1980-10-20,8.4,CLIC
1980-10-21,5.3,CLIC
1980-10-25,4.9,CLIC
1980-10-26,4.4,CLIC
1980-10-27,4.9,CLIC
1980-10-28,5.2,CLIC
1980-10-29,5.5,CLIC
1980-10-30,5.9,CLIC
1980-10-31,5,CLIC
1981-01-01,5,CLIC
1981-01-02,4.7,CLIC
1981-01-03,4.3,CLIC
1981-01-04,6,CLIC
1981-01-05,6.7,CLIC
1981-01-06,2.2,CLIC
1981-01-07,5.1,CLIC
1981-01-08,4.9,CLIC
1981-01-09,4,CLIC
1981-01-10,3.4,CLIC
1981-01-11,4.6,CLIC
1981-01-12,4.5,CLIC
1981-01-13,5,CLIC
1981-01-14,5.1,CLIC
1981-01-15,5.1,CLIC
1981-01-16,4.2,CLIC
1981-01-17,4,CLIC
1981-01-18,5,CLIC
1981-01-19,4.5,CLIC
1981-01-20,4.5,CLIC
1981-01-21,3.6,CLIC
1981-01-22,2.9,CLIC
1981-01-23,4.1,CLIC
1981-01-24,4.8,CLIC
1981-01-25,4.6,CLIC
1981-01-26,4.3,CLIC
1981-01-27,5,CLIC
1981-01-28,4.7,CLIC
1981-01-29,5.4,CLIC
1981-01-30,4.9,CLIC
1981-01-31,4.8,CLIC
1981-02-01,3.3,CLIC
1981-02-02,4.7,CLIC
1981-02-03,4.9,CLIC
1981-02-04,5.1,CLIC
1981-02-05,4.3,CLIC
1981-02-06,4.6,CLIC
1981-02-07,3.5,CLIC
1981-02-08,4.5,CLIC
1981-02-09,4.4,CLIC
1981-02-10,4,CLIC
1981-02-11,4.9,CLIC
1981-02-12,5.2,CLIC
1981-02-13,5.3,CLIC
1981-02-14,5.4,CLIC
1981-02-15,5.8,CLIC
1981-02-16,4.1,CLIC
1981-02-17,4,CLIC
1981-02-18,4.4,CLIC
1981-02-19,4.6,CLIC
1981-02-20,6,CLIC
1981-02-21,4,CLIC
1981-02-22,5.1,CLIC
1981-02-23,4.8,CLIC
1981-02-24,5.4,CLIC
1981-02-25,4,CLIC
1981-02-26,6.2,CLIC
1981-02-27,5.4,CLIC
1981-02-28,3.9,CLIC
1981-03-01,4.9,CLIC
1981-03-02,6.5,CLIC
1981-03-03,5.9,CLIC
1981-03-04,6.3,CLIC
1981-03-05,5.3,CLIC
1981-03-06,5.8,CLIC
1981-03-07,6.2,CLIC
1981-03-08,4.8,CLIC
1981-03-09,4.4,CLIC
1981-03-10,4.2,CLIC
1981-03-11,6.2,CLIC
1981-03-12,6,CLIC
1981-03-13,5,CLIC
1981-03-14,4.1,CLIC
1981-03-15,4.3,CLIC
1981-03-16,5.6,CLIC
1981-03-17,5.8,CLIC
1981-03-18,5.4,CLIC
1981-03-19,5.3,CLIC
1981-03-20,5.6,CLIC
1981-03-21,5.7,CLIC
1981-03-22,3.9,CLIC
1981-03-23,3.5,CLIC
1981-03-24,4.4,CLIC
1981-03-25,5,CLIC
1981-03-26,4.9,CLIC
1981-03-27,4.8,CLIC
1981-03-28,5.2,CLIC
1981-03-29,5.5,CLIC
1981-03-30,5.9,CLIC
1981-03-31,4.7,CLIC
1981-04-01,6.7,CLIC
1981-04-02,6.5,CLIC
1981-04-03,5.3,CLIC
1981-04-04,5.9,CLIC
1981-04-05,8.3,CLIC
1981-04-06,5.4,CLIC
1981-04-07,6.6,CLIC
1981-04-08,5.9,CLIC
1981-04-09,7.3,CLIC
1981-04-10,7.8,CLIC
1981-04-11,6,CLIC
1981-04-12,6,CLIC
1981-04-13,7.3,CLIC
1981-04-14,6.1,CLIC
1981-04-15,5.3,CLIC
1981-04-16,5.6,CLIC
1981-04-18,5.8,CLIC
1981-04-19,5.9,CLIC
1981-04-21,5.4,CLIC
1981-04-22,5.8,CLIC
1981-04-23,4.9,CLIC
1981-04-24,5.6,CLIC
1981-04-25,8,CLIC
1981-04-26,4.4,CLIC
1981-04-27,5.1,CLIC
1981-04-28,5.5,CLIC
1981-04-29,6.5,CLIC
1981-04-30,6.4,CLIC
1981-05-01,4.1,CLIC
1981-05-02,5.4,CLIC
1981-05-03,5.9,CLIC
1981-05-04,5.6,CLIC
1981-05-05,5.9,CLIC
1981-05-06,6.5,CLIC
1981-05-07,6.4,CLIC
1981-05-08,6.9,CLIC
1981-05-09,6.6,CLIC
1981-05-10,6.4,CLIC
1981-05-11,7.5,CLIC
1981-05-12,6.2,CLIC
1981-05-13,6.3,CLIC
1981-05-14,6.8,CLIC
1981-05-15,6.9,CLIC
1981-05-16,6,CLIC
1981-05-17,8.4,CLIC
1981-05-18,5.5,CLIC
1981-05-19,6.8,CLIC
1981-05-20,6.4,CLIC
1981-05-21,6.1,CLIC
1981-05-22,6.7,CLIC
1981-05-23,6.9,CLIC
1981-05-24,6.1,CLIC
1981-05-25,6.3,CLIC
1981-05-26,4.6,CLIC
1981-05-27,5.9,CLIC
1981-05-28,8.1,CLIC
1981-05-29,7.1,CLIC
1981-05-30,5.2,CLIC
1981-05-31,7.6,CLIC
1981-06-02,7.4,CLIC
1981-06-03,8.5,CLIC
1981-06-04,7.9,CLIC
1981-06-05,7.9,CLIC
1981-06-06,7.5,CLIC
1981-06-07,6.5,CLIC
1981-06-08,8,CLIC
1981-06-09,8,CLIC
1981-06-10,8.2,CLIC
1981-06-11,7.9,CLIC
1981-06-12,5.9,CLIC
1981-06-13,8.1,CLIC
1981-06-14,8.1,CLIC
1981-06-15,7.7,CLIC
1981-06-17,7.6,CLIC
1981-06-18,8.8,CLIC
1981-06-19,7.9,CLIC
1981-06-20,7.7,CLIC
1981-06-21,7.9,CLIC
1981-06-22,6.9,CLIC
1981-06-23,8.1,CLIC
1981-06-24,7.7,CLIC
1981-06-25,7.9,CLIC
1981-06-26,8.9,CLIC
1981-06-27,8.5,CLIC
1981-06-28,8.6,CLIC
1981-06-29,7.5,CLIC
1981-06-30,8.4,CLIC
1982-06-01,7.8,CLIC
1982-06-02,7.5,CLIC
1982-06-03,6.5,CLIC
1982-06-04,8.1,CLIC
1982-06-05,8.4,CLIC
1982-06-06,7.6,CLIC
1982-06-07,8.4,CLIC
1982-06-08,9.8,CLIC
1982-06-09,10.1,CLIC
1982-06-10,9.4,CLIC
1982-06-11,11.6,CLIC
1982-06-12,10.5,CLIC
1982-06-13,10.6,CLIC
1982-06-14,8.8,CLIC
1982-06-15,12,CLIC
1982-06-16,10,CLIC
1982-06-17,10,CLIC
1982-06-18,11,CLIC
1982-06-19,10.5,CLIC
1982-06-20,10.8,CLIC
1982-06-21,10,CLIC
1982-06-22,11,CLIC
1982-06-23,9,CLIC
1982-06-24,9.3,CLIC
1982-06-25,9.6,CLIC
1982-06-26,9.3,CLIC
1982-06-27,10.1,CLIC
1982-06-28,9.9,CLIC
1982-06-29,11.6,CLIC
1982-06-30,10.3,CLIC
1982-10-01,6,CLIC
1982-10-02,5.8,CLIC
1982-10-03,7.5,CLIC
1982-10-04,8.6,CLIC
1982-10-05,7.1,CLIC
1982-10-06,5.6,CLIC
1982-10-07,7.5,CLIC
1982-10-08,6.3,CLIC
1982-10-09,6.8,CLIC
1982-10-10,5,CLIC
1982-10-11,5.5,CLIC
1982-10-12,7,CLIC
1982-10-13,6.4,CLIC
1982-10-14,4.2,CLIC
1982-10-15,6.5,CLIC
1982-10-16,5,CLIC
1982-10-17,6.3,CLIC
1982-10-18,7.6,CLIC
1982-10-19,5,CLIC
1982-10-20,5,CLIC
1982-10-21,5.3,CLIC
1982-10-22,3.1,CLIC
1982-10-23,6.8,CLIC
1982-10-24,4,CLIC
1982-10-25,4,CLIC
1982-10-26,4.4,CLIC
1982-10-27,5.6,CLIC
1982-10-28,5.9,CLIC
1982-10-29,5.3,CLIC
1982-10-30,6.6,CLIC
1982-10-31,6.3,CLIC
1997-12-01,3,CLIC
1997-12-02,2.7,CLIC
1997-12-03,3.7,CLIC
1997-12-04,3.7,CLIC
1997-12-05,3.2,CLIC
1997-12-06,3,CLIC
1997-12-07,3.3,CLIC
1997-12-08,1.3,CLIC
1997-12-09,2.5,CLIC
1997-12-10,3.1,CLIC
1997-12-11,2.4,CLIC
1997-12-12,5.65,CLIC
1997-12-13,4,CLIC
1997-12-14,2.5,CLIC
1997-12-15,5,CLIC
1997-12-16,1.2,CLIC
1997-12-17,3.5,CLIC
1997-12-18,2.3,CLIC
1997-12-19,2.8,CLIC
1997-12-20,3.1,CLIC
1997-12-21,3.4,CLIC
1997-12-22,3.5,CLIC
1997-12-23,2.1,CLIC
1997-12-24,4.6,CLIC
1997-12-25,1.7,CLIC
1997-12-26,3.1,CLIC
1997-12-27,4,CLIC
1997-12-28,2.4,CLIC
1997-12-29,4.1,CLIC
1997-12-30,2.5,CLIC
1997-12-31,4.8,CLIC
1998-01-01,2.85,CLIC
1998-01-02,3.1,CLIC
1998-01-03,2.8,CLIC
1998-01-04,3.05,CLIC
1998-01-05,2.95,CLIC
1998-01-06,4.8,CLIC
1998-01-07,3.3,CLIC
1998-01-08,3.7,CLIC
1998-01-09,1.95,CLIC
1998-01-10,2.05,CLIC
1998-01-11,3.13,CLIC
1998-01-12,4.2,CLIC
1998-01-13,2.4,CLIC
1998-01-14,2.1,CLIC
1998-01-15,2.4,CLIC
1998-01-16,4.7,CLIC
1998-01-17,2.1,CLIC
1998-01-18,2.2,CLIC
1998-01-19,5.1,CLIC
1998-01-20,2.9,CLIC
1998-01-21,6.3,CLIC
1998-01-22,5,CLIC
1998-01-23,3.75,CLIC
1998-01-24,2.85,CLIC
1998-01-25,3,CLIC
1998-01-26,6.45,CLIC
1998-01-27,4.35,CLIC
1998-01-28,3.35,CLIC
1998-01-29,3.9,CLIC
1998-01-30,3.5,CLIC
1998-01-31,5,CLIC
1998-02-01,3.3,CLIC
1998-02-02,4.3,CLIC
1998-02-03,3.4,CLIC
1998-02-04,4,CLIC
1998-02-05,5.45,CLIC
1998-02-06,3.95,CLIC
1998-02-07,3.6,CLIC
1998-02-08,3.95,CLIC
1998-02-09,4.95,CLIC
1998-02-10,4.8,CLIC
1998-02-11,4.5,CLIC
1998-02-12,3.9,CLIC
1998-02-13,3.8,CLIC
1998-02-14,3.45,CLIC
1998-02-15,4,CLIC
1998-02-16,5.1,CLIC
1998-02-17,5.1,CLIC
1998-02-18,3.95,CLIC
1998-02-19,7.1,CLIC
1998-02-20,5.35,CLIC
1998-02-21,5.6,CLIC
1998-02-22,4.2,CLIC
1998-02-23,5.3,CLIC
1998-02-24,6.2,CLIC
1998-02-25,5.4,CLIC
1998-02-26,5.7,CLIC
1998-02-27,6.55,CLIC
1998-02-28,6.85,CLIC
1998-03-01,4.8,CLIC
1998-03-02,3.7,CLIC
1998-03-03,6.1,CLIC
1998-03-04,6.7,CLIC
1998-03-05,7.3,CLIC
1998-03-06,3.5,CLIC
1998-03-07,6.4,CLIC
1998-03-08,6.7,CLIC
1998-03-09,5.95,CLIC
1998-03-10,5.1,CLIC
1998-03-11,1.25,CLIC
1998-03-12,0.2,CLIC
1998-03-13,1.7,CLIC
1998-03-14,6.5,CLIC
1998-03-15,6.7,CLIC
1998-03-16,6.4,CLIC
1998-03-17,6.65,CLIC
1998-03-18,5.85,CLIC
1998-03-19,6.4,CLIC
1998-03-20,6.7,CLIC
1998-03-21,6.05,CLIC
1998-03-22,4.4,CLIC
1998-03-23,6.05,CLIC
1998-03-24,8.4,CLIC
1998-03-25,9.25,CLIC
1998-03-26,7.1,CLIC
1998-03-27,11.6,CLIC
1998-03-28,8.5,CLIC
1998-03-29,7.8,CLIC
1998-03-30,9,CLIC
1998-03-31,11.25,CLIC
1998-04-01,10.75,CLIC
1998-04-02,9.1,CLIC
1998-04-03,7.4,CLIC
1998-04-04,5.3,CLIC
1998-04-05,6.9,CLIC
1998-04-06,7.5,CLIC
1998-04-07,5.55,CLIC
1998-04-08,10.05,CLIC
1998-04-09,8.9,CLIC
1998-04-10,10,CLIC
1998-04-11,8.95,CLIC
1998-04-12,10.95,CLIC
1998-04-13,7.35,CLIC
1998-04-14,7.75,CLIC
1998-04-15,7.8,CLIC
1998-04-16,10.9,CLIC
1998-04-17,7.4,CLIC
1998-04-18,6.85,CLIC
1998-04-19,7.95,CLIC
1998-04-20,8.6,CLIC
1998-04-21,4.9,CLIC
1998-04-22,2.85,CLIC
1998-04-23,3.25,CLIC
1998-04-24,7.9,CLIC
1998-04-25,9.05,CLIC
1998-04-26,7.3,CLIC
1998-04-27,9.65,CLIC
1998-04-28,8.1,CLIC
1998-04-29,7.35,CLIC
1998-04-30,6.25,CLIC
1998-05-01,8.15,CLIC
1998-05-02,10.5,CLIC
1998-05-03,11.7,CLIC
1998-05-04,10.5,CLIC
1998-05-05,6.05,CLIC
1998-05-06,9.3,CLIC
1998-05-07,11.15,CLIC
1998-05-08,11.7,CLIC
1998-05-09,13.2,CLIC
1998-05-10,11.55,CLIC
1998-05-11,15.1,CLIC
1998-05-12,11.95,CLIC
1998-05-13,6.2,CLIC
1998-05-14,6,CLIC
1998-05-15,8.55,CLIC
1998-05-16,9,CLIC
1998-05-17,6.85,CLIC
1998-05-18,10.05,CLIC
1998-05-19,10.55,CLIC
1998-05-20,8.6,CLIC
1998-05-21,11.5,CLIC
1998-05-22,17.2,CLIC
1998-05-23,3.9,CLIC
1998-05-24,16.1,CLIC
1998-05-25,8.8,CLIC
1998-05-26,7.15,CLIC
1998-05-27,7.7,CLIC
1998-05-28,11.05,CLIC
1998-05-29,9.85,CLIC
1998-05-30,11.05,CLIC
1998-05-31,12.15,CLIC
1998-06-01,11.5,CLIC
1998-06-02,11.4,CLIC
1998-06-03,13,CLIC
1998-06-04,13.8,CLIC
1998-06-05,12.4,CLIC
1998-06-06,10.8,CLIC
1998-06-07,8.6,CLIC
1998-06-08,8.9,CLIC
1998-06-09,12.1,CLIC
1998-06-10,10.95,CLIC
1998-06-11,12.1,CLIC
1998-06-12,11.75,CLIC
1998-06-13,12,CLIC
1998-06-14,14.7,CLIC
1998-06-15,12.45,CLIC
1998-06-16,13.45,CLIC
1998-06-17,12.5,CLIC
1998-06-18,13.05,CLIC
1998-06-19,13.1,CLIC
1998-06-20,13.95,CLIC
1998-06-21,13.7,CLIC
1998-06-22,12.7,CLIC
1998-06-23,12.3,CLIC
1998-06-24,14.4,CLIC
1998-06-25,13.3,CLIC
1998-06-26,11.2,CLIC
1998-06-27,11.5,CLIC
1998-06-28,10.1,CLIC
1998-07-01,6.15,CLIC
1998-07-02,9.8,CLIC
1998-07-03,6.25,CLIC
1998-07-04,11.2,CLIC
1998-07-05,11.8,CLIC
1998-07-06,12.85,CLIC
1998-07-07,16.7,CLIC
1998-07-08,11.17,CLIC
1998-07-09,8,CLIC
1998-07-10,10.15,CLIC
1998-07-11,13.3,CLIC
1998-07-12,11.85,CLIC
1998-07-13,13.75,CLIC
1998-07-14,13.9,CLIC
1998-07-15,10.35,CLIC
1998-07-16,4.95,CLIC
1998-07-17,9.7,CLIC
1998-07-18,12.2,CLIC
1998-07-19,8.5,CLIC
1998-07-20,10.6,CLIC
1998-07-21,13.2,CLIC
1998-07-22,13.5,CLIC
1998-07-23,10.5,CLIC
1998-07-24,11.7,CLIC
1998-07-25,11.15,CLIC
1998-07-26,9,CLIC
1998-07-27,9.9,CLIC
1998-07-28,6.15,CLIC
1998-07-29,10.9,CLIC
1998-07-30,13.05,CLIC
1998-07-31,11.95,CLIC
1998-08-01,9.05,CLIC
1998-08-02,10.35,CLIC
1998-08-03,8.2,CLIC
1998-08-04,11.45,CLIC
1998-08-05,11.9,CLIC
1998-08-06,9.2,CLIC
1998-08-07,9.2,CLIC
1998-08-08,8.5,CLIC
1998-08-09,9.15,CLIC
1998-08-10,12.35,CLIC
1998-08-11,10.6,CLIC
1998-08-12,10.9,CLIC
1998-08-13,11.8,CLIC
1998-08-14,10.1,CLIC
1998-08-15,6.1,CLIC
1998-08-16,6.3,CLIC
1998-08-17,7,CLIC
1998-08-18,12,CLIC
1998-08-19,9,CLIC
1998-08-20,5,CLIC
1998-08-21,6.45,CLIC
1998-08-22,7.35,CLIC
1998-08-23,5.9,CLIC
1998-08-24,9.65,CLIC
1998-08-25,9.95,CLIC
1998-08-26,0,CLIC
1998-08-27,7.5,CLIC
1998-08-28,5.05,CLIC
1998-08-29,8.85,CLIC
1998-08-30,4.1,CLIC
1998-08-31,7.35,CLIC
1998-09-01,9.05,CLIC
1998-09-02,7.1,CLIC
1998-09-03,8.1,CLIC
1998-09-04,10.45,CLIC
1998-09-05,7.15,CLIC
1998-09-06,7.6,CLIC
1998-09-07,3.45,CLIC
1998-09-08,6,CLIC
1998-09-09,6.22,CLIC
1998-09-10,3.42,CLIC
1998-09-11,8.6,CLIC
1998-09-12,8.95,CLIC
1998-09-21,7.55,CLIC
1998-09-22,5.25,CLIC
1998-09-23,7,CLIC
1998-09-24,9.4,CLIC
1998-09-25,6.1,CLIC
1998-09-26,6.85,CLIC
1998-09-27,9.85,CLIC
1998-09-28,9.8,CLIC
1998-09-29,3.7,CLIC
1998-09-30,7.75,CLIC
1998-10-01,10.75,CLIC
1998-10-02,6,CLIC
1998-10-03,4.2,CLIC
1998-10-04,11.8,CLIC
1998-10-05,5.2,CLIC
1998-10-06,0.5,CLIC
1998-10-07,0.5,CLIC
1998-10-08,5.7,CLIC
1998-10-09,4.8,CLIC
1998-10-10,4.65,CLIC
1998-10-11,4.85,CLIC
1998-10-12,2.6,CLIC
1998-10-13,1.75,CLIC
1998-10-14,3.85,CLIC
1998-10-15,3.6,CLIC
1998-10-16,11.45,CLIC
1998-10-17,0.85,CLIC
1998-10-18,2.3,CLIC
1998-10-19,2.45,CLIC
1998-10-20,7.1,CLIC
1998-10-21,5.64,CLIC
1998-10-22,3,CLIC
1998-10-23,3.6,CLIC
1998-10-24,3.5,CLIC
1998-10-25,2.85,CLIC
1998-10-26,3.55,CLIC
1998-10-27,3.1,CLIC
1998-10-28,1.4,CLIC
1998-10-29,4.89,CLIC
1998-10-30,2.45,CLIC
1998-10-31,3.9,CLIC
1998-11-01,6.7,CLIC
1998-11-02,2.9,CLIC
1998-11-03,1.9,CLIC
1998-11-04,0,CLIC
1998-11-05,4.65,CLIC
1998-11-06,0.1,CLIC
1998-11-07,0.26,CLIC
1998-11-08,0.29,CLIC
1998-11-09,2.15,CLIC
1998-11-10,5.2,CLIC
1998-11-11,5.2,CLIC
1998-11-12,4.2,CLIC
1998-11-13,2.7,CLIC
1998-11-14,3.1,CLIC
1998-11-15,3.4,CLIC
1998-11-16,3.4,CLIC
1998-11-17,2.15,CLIC
1998-11-18,4.75,CLIC
1998-11-19,0.7,CLIC
1998-11-20,2.1,CLIC
1998-11-21,1.8,CLIC
1998-11-22,0.2,CLIC
1998-11-23,1.65,CLIC
1998-11-24,1.8,CLIC
1998-11-25,2.15,CLIC
1998-11-26,1.9,CLIC
1998-11-27,2.85,CLIC
1998-11-28,2.95,CLIC
1998-11-29,3.4,CLIC
1998-11-30,3.25,CLIC
1998-12-01,3.7,CLIC
1998-12-02,3.05,CLIC
1998-12-03,4,CLIC
1998-12-04,3.5,CLIC
1998-12-05,2.3,CLIC
1998-12-06,4.8,CLIC
1998-12-07,3.45,CLIC
1998-12-08,5.9,CLIC
1998-12-09,3.8,CLIC
1998-12-10,0.3,CLIC
1998-12-11,1.45,CLIC
1998-12-12,1.45,CLIC
1998-12-13,1.5,CLIC
1998-12-14,3.4,CLIC
1998-12-15,3,CLIC
1998-12-16,2.3,CLIC
1998-12-17,1.7,CLIC
1998-12-18,5.1,CLIC
1998-12-19,5.15,CLIC
1998-12-20,3.95,CLIC
1998-12-21,2.6,CLIC
1998-12-22,1.5,CLIC
1998-12-23,1.5,CLIC
1998-12-24,1.2,CLIC
1998-12-25,1.1,CLIC
1998-12-26,1.2,CLIC
1998-12-27,2.8,CLIC
1998-12-28,3.1,CLIC
1998-12-29,2.3,CLIC
1998-12-30,3.3,CLIC
1998-12-31,5.3,CLIC
1999-01-01,3.3,CLIC
1999-01-02,3.1,CLIC
1999-01-03,2.5,CLIC
1999-01-04,2.1,CLIC
1999-01-05,1.2,CLIC
1999-01-06,2.05,CLIC
1999-01-07,3.6,CLIC
1999-01-08,0.75,CLIC
1999-01-09,6.05,CLIC
1999-01-10,2.35,CLIC
1999-01-11,2.3,CLIC
1999-01-12,4.45,CLIC
1999-01-13,3.95,CLIC
1999-01-14,3.3,CLIC
1999-01-15,3.3,CLIC
1999-01-16,3.85,CLIC
1999-01-17,4.85,CLIC
1999-01-18,4.1,CLIC
1999-01-19,5.7,CLIC
1999-01-20,6.6,CLIC
1999-01-21,5.1,CLIC
1999-01-22,5.1,CLIC
1999-01-23,7,CLIC
1999-01-24,3.1,CLIC
1999-01-25,4.9,CLIC
1999-01-26,5.2,CLIC
1999-01-27,4.55,CLIC
1999-01-28,2.9,CLIC
1999-01-29,7.3,CLIC
1999-01-30,3.4,CLIC
1999-01-31,4.55,CLIC
1999-02-01,3.15,CLIC
1999-02-02,4.65,CLIC
1999-02-03,4.85,CLIC
1999-02-04,3.45,CLIC
1999-02-05,4.5,CLIC
1999-02-06,2.3,CLIC
1999-02-07,4.3,CLIC
1999-02-08,5.45,CLIC
1999-02-09,5.2,CLIC
1999-02-10,6.2,CLIC
1999-02-11,11.2,CLIC
1999-02-12,7.55,CLIC
1999-02-13,3.55,CLIC
1999-02-14,3.95,CLIC
1999-02-15,4.55,CLIC
1999-02-16,5.95,CLIC
1999-02-17,4.35,CLIC
1999-02-18,5.2,CLIC
1999-02-19,5.85,CLIC
1999-02-20,10.95,CLIC
1999-02-21,4.3,CLIC
1999-02-22,3.95,CLIC
1999-02-23,5.3,CLIC
1999-02-24,2.6,CLIC
1999-02-25,2.6,CLIC
1999-02-26,9.25,CLIC
1999-02-27,8.45,CLIC
1999-02-28,2.85,CLIC
1999-03-01,5.65,CLIC
1999-03-02,9.05,CLIC
1999-03-03,4.9,CLIC
1999-03-04,6.2,CLIC
1999-03-05,5.5,CLIC
1999-03-06,5.1,CLIC
1999-03-07,7,CLIC
1999-03-08,8,CLIC
1999-03-09,6.8,CLIC
1999-03-10,5.2,CLIC
1999-03-11,4.15,CLIC
1999-03-12,8.4,CLIC
1999-03-13,6.8,CLIC
1999-03-14,7.3,CLIC
1999-03-15,4.1,CLIC
1999-03-16,4.8,CLIC
1999-03-17,4.9,CLIC
1999-03-18,4.6,CLIC
1999-03-19,3.8,CLIC
1999-03-20,1.4,CLIC
1999-03-21,1.5,CLIC
1999-03-22,4.8,CLIC
1999-03-23,7.6,CLIC
1999-03-24,3.4,CLIC
1999-03-25,3,CLIC
1999-03-26,2.15,CLIC
1999-03-27,6,CLIC
1999-03-28,1.45,CLIC
1999-03-29,9.05,CLIC
1999-03-30,5.45,CLIC
1999-03-31,4.3,CLIC
1999-04-01,4.6,CLIC
1999-04-02,5.45,CLIC
1999-04-03,4.05,CLIC
1999-04-04,5.3,CLIC
1999-04-05,11.35,CLIC
1999-04-06,7.45,CLIC
1999-04-07,11.3,CLIC
1999-04-08,13.5,CLIC
1999-04-09,13.05,CLIC
1999-04-10,10.2,CLIC
1999-04-11,7.85,CLIC
1999-04-12,10.7,CLIC
1999-04-13,11.1,CLIC
1999-04-14,8.75,CLIC
1999-04-15,9.05,CLIC
1999-04-16,4.5,CLIC
1999-04-17,5.7,CLIC
