Estación: ,C19112,BENITEZ. LINARES
1980-09-01,6.3,CLIC
1980-09-02,4.7,CLIC
1980-09-03,6.1,CLIC
1980-09-04,5.2,CLIC
1980-09-05,4.8,CLIC
1980-09-06,5.1,CLIC
1980-09-07,5,CLIC
1980-09-08,5.2,CLIC
1980-09-09,4.2,CLIC
1980-09-10,4.9,CLIC
1980-09-11,4.4,CLIC
1980-09-12,5.6,CLIC
1980-09-13,4.9,CLIC
1980-09-14,5.6,CLIC
1980-09-15,6.5,CLIC
1980-09-16,5.8,CLIC
1980-09-17,5.9,CLIC
1980-09-18,4.8,CLIC
1980-09-19,5.9,CLIC
1980-09-20,5.2,CLIC
1980-09-21,5.9,CLIC
1980-09-22,5.9,CLIC
1980-09-23,5,CLIC
1980-09-24,6.4,CLIC
1980-09-25,5.6,CLIC
1980-09-26,6.6,CLIC
1980-09-27,5.2,CLIC
1980-09-28,6.6,CLIC
1980-09-29,5.7,CLIC
1980-09-30,5.9,CLIC
1980-10-01,1.4,CLIC
1980-10-02,3,CLIC
1980-10-03,2.1,CLIC
1980-10-04,1.5,CLIC
1980-10-05,3.6,CLIC
1980-10-06,3.3,CLIC
1980-10-07,1.2,CLIC
1980-10-08,1.9,CLIC
1980-10-09,1.2,CLIC
1980-10-10,0.7,CLIC
1980-10-11,1.3,CLIC
1980-10-12,1.1,CLIC
1980-10-13,1.3,CLIC
1980-10-14,0.7,CLIC
1980-10-15,1.9,CLIC
1980-10-16,8.1,CLIC
1980-10-17,1.9,CLIC
1980-10-18,6.1,CLIC
1980-10-19,0.7,CLIC
1980-10-20,2.4,CLIC
1980-10-21,0.9,CLIC
1980-10-22,2.9,CLIC
1980-10-23,4.2,CLIC
1980-10-24,6,CLIC
1980-10-25,3.8,CLIC
1980-10-26,3.2,CLIC
1980-10-27,6,CLIC
1980-10-28,2.9,CLIC
1980-10-29,1.1,CLIC
1980-10-30,3.8,CLIC
1980-10-31,3.8,CLIC
1980-11-01,1,CLIC
1980-11-02,2,CLIC
1980-11-03,0.9,CLIC
1980-11-04,0.7,CLIC
1980-11-05,2.3,CLIC
1980-11-06,0.7,CLIC
1980-11-07,2.3,CLIC
1980-11-08,2.1,CLIC
1980-11-09,1,CLIC
1980-11-10,0.1,CLIC
1980-11-11,0.5,CLIC
1980-11-12,1.4,CLIC
1980-11-13,0.8,CLIC
1980-11-14,1.2,CLIC
1980-11-15,0.6,CLIC
1980-11-16,2.4,CLIC
1980-11-17,0.6,CLIC
1980-11-18,0.2,CLIC
1980-11-19,1.2,CLIC
1980-11-20,1,CLIC
1980-11-21,0.5,CLIC
1980-11-22,0.5,CLIC
1980-11-23,1.5,CLIC
1980-11-24,3,CLIC
1980-11-25,0.5,CLIC
1980-11-26,1.4,CLIC
1980-11-27,2.1,CLIC
1980-11-28,2,CLIC
1980-11-29,1.9,CLIC
1980-11-30,1.9,CLIC
1981-02-01,1.4,CLIC
1981-02-02,4,CLIC
1981-02-03,1.9,CLIC
1981-02-04,2.6,CLIC
1981-02-05,1.3,CLIC
1981-02-06,0.9,CLIC
1981-02-07,2.1,CLIC
1981-02-08,1.4,CLIC
1981-02-09,1.8,CLIC
1981-02-10,4.7,CLIC
1981-02-11,3.7,CLIC
1981-02-12,1.9,CLIC
1981-02-13,2.2,CLIC
1981-02-14,0.9,CLIC
1981-02-15,0.2,CLIC
1981-02-16,1.5,CLIC
1981-02-17,2.3,CLIC
1981-02-18,1.7,CLIC
1981-02-19,2.4,CLIC
1981-02-20,4.3,CLIC
1981-02-21,3.4,CLIC
1981-02-22,1.9,CLIC
1981-02-23,1.3,CLIC
1981-02-24,3.5,CLIC
1981-02-25,3.2,CLIC
1981-02-26,5.5,CLIC
1981-02-27,3.1,CLIC
1981-02-28,3.7,CLIC
1981-03-01,1.6,CLIC
1981-03-02,3.8,CLIC
1981-03-03,1.7,CLIC
1981-03-04,2.1,CLIC
1981-03-05,6.3,CLIC
1981-03-06,4.8,CLIC
1981-03-07,6.5,CLIC
1981-03-08,1.5,CLIC
1981-03-09,2.8,CLIC
1981-03-10,0.4,CLIC
1981-03-11,0.9,CLIC
1981-03-12,2,CLIC
1981-03-13,3.4,CLIC
1981-03-14,2.9,CLIC
1981-03-15,3.9,CLIC
1981-03-16,2.6,CLIC
1981-03-17,2.6,CLIC
1981-03-18,3.2,CLIC
1981-03-19,4.2,CLIC
1981-03-20,5.3,CLIC
1981-03-21,5,CLIC
1981-03-22,2.4,CLIC
1981-03-23,4.1,CLIC
1981-03-24,3.3,CLIC
1981-03-25,2.4,CLIC
1981-03-26,9.7,CLIC
1981-03-27,5.2,CLIC
1981-03-28,3,CLIC
1981-03-29,5.2,CLIC
1981-03-30,4.2,CLIC
1981-03-31,5.4,CLIC
1981-04-01,3.8,CLIC
1981-04-02,4.2,CLIC
1981-04-03,3.1,CLIC
1981-04-04,5,CLIC
1981-04-05,3.3,CLIC
1981-04-06,4.7,CLIC
1981-04-07,4.3,CLIC
1981-04-08,5.8,CLIC
1981-04-09,4.1,CLIC
1981-04-10,3.6,CLIC
1981-04-11,3.4,CLIC
1981-04-12,4,CLIC
1981-04-13,5,CLIC
1981-04-14,4.4,CLIC
1981-04-16,1.7,CLIC
1981-04-17,4.2,CLIC
1981-04-18,3.7,CLIC
1981-04-19,3.4,CLIC
1981-04-20,3.7,CLIC
1981-04-21,6.1,CLIC
1981-04-22,2.5,CLIC
1981-04-23,6.6,CLIC
1981-04-24,3,CLIC
1981-04-25,2.2,CLIC
1981-04-26,5.7,CLIC
1981-04-27,3.8,CLIC
1981-04-28,7.2,CLIC
1981-04-29,4.2,CLIC
1981-04-30,5.8,CLIC
1981-07-01,5.5,CLIC
1981-07-02,5.9,CLIC
1981-07-03,6.3,CLIC
1981-07-04,6.2,CLIC
1981-07-05,5.4,CLIC
1981-07-06,7.7,CLIC
1981-07-07,4.7,CLIC
1981-07-08,5.9,CLIC
1981-07-09,5.1,CLIC
1981-07-10,8.8,CLIC
1981-07-11,7.2,CLIC
1981-07-12,8.6,CLIC
1981-07-13,7.7,CLIC
1981-07-14,8.2,CLIC
1981-07-15,8.5,CLIC
1981-07-16,8.9,CLIC
1981-07-17,10.5,CLIC
1981-07-18,12.7,CLIC
1981-07-19,10.8,CLIC
1981-07-20,10.1,CLIC
1981-07-21,12.2,CLIC
1981-07-22,11.1,CLIC
1981-07-23,9.8,CLIC
1981-07-24,9.6,CLIC
1981-07-25,10.1,CLIC
1981-07-26,9,CLIC
1981-07-27,8.5,CLIC
1981-07-28,7.2,CLIC
1981-07-29,7.8,CLIC
1981-07-30,12.8,CLIC
1981-07-31,12.6,CLIC
1981-09-01,5.6,CLIC
1981-09-02,6,CLIC
1981-09-03,4.2,CLIC
1981-09-04,6.3,CLIC
1981-09-05,6.8,CLIC
1981-09-06,6.1,CLIC
1981-09-07,6.3,CLIC
1981-09-08,5.6,CLIC
1981-09-09,6.2,CLIC
1981-09-10,4.9,CLIC
1981-09-11,6,CLIC
1981-09-12,8,CLIC
1981-09-13,5.9,CLIC
1981-09-14,5.5,CLIC
1981-09-15,4.1,CLIC
1981-09-16,8.7,CLIC
1981-09-17,6.3,CLIC
1981-09-18,5.3,CLIC
1981-09-19,5.8,CLIC
1981-09-20,5.1,CLIC
1981-09-21,4.8,CLIC
1981-09-22,5.1,CLIC
1981-09-23,5.6,CLIC
1981-09-24,6.5,CLIC
1981-09-25,6,CLIC
1981-09-26,6.5,CLIC
1981-09-27,6.4,CLIC
1981-09-28,6.7,CLIC
1981-09-29,6.1,CLIC
1981-09-30,7,CLIC
1981-10-01,4.4,CLIC
1981-10-02,7.4,CLIC
1981-10-03,6.5,CLIC
1981-10-04,6.2,CLIC
1981-10-05,7.4,CLIC
1981-10-06,6.3,CLIC
1981-10-08,4.8,CLIC
1981-10-09,5.7,CLIC
1981-10-10,5.9,CLIC
1981-10-11,4.9,CLIC
1981-10-12,7.1,CLIC
1981-10-13,6,CLIC
1981-10-14,6.8,CLIC
1981-10-15,6.2,CLIC
1981-10-16,7,CLIC
1981-10-17,6.7,CLIC
1981-10-18,4.3,CLIC
1981-10-19,5.9,CLIC
1981-10-20,6.4,CLIC
1981-10-21,7.2,CLIC
1981-10-22,6.2,CLIC
1981-10-23,5.3,CLIC
1981-10-24,5.4,CLIC
1981-10-25,5.9,CLIC
1981-10-26,6.1,CLIC
1981-10-27,6.8,CLIC
1981-10-28,5.8,CLIC
1981-10-29,5.2,CLIC
1981-10-30,5.1,CLIC
1981-10-31,7.8,CLIC
1981-11-01,5,CLIC
1981-11-02,7.1,CLIC
1981-11-03,3.3,CLIC
1981-11-04,3.9,CLIC
1981-11-05,4.1,CLIC
1981-11-06,4.8,CLIC
1981-11-07,3.8,CLIC
1981-11-08,3.1,CLIC
1981-11-09,3.9,CLIC
1981-11-10,3,CLIC
1981-11-11,3,CLIC
1981-11-12,2.3,CLIC
1981-11-13,3.8,CLIC
1981-11-14,2.3,CLIC
1981-11-15,3.7,CLIC
1981-11-16,2.1,CLIC
1981-11-17,2.9,CLIC
1981-11-18,3.6,CLIC
1981-11-19,3.2,CLIC
1981-11-20,1.7,CLIC
1981-11-21,3.1,CLIC
1981-11-22,4.2,CLIC
1981-11-23,2.6,CLIC
1981-11-24,3,CLIC
1981-11-25,3.3,CLIC
1981-11-26,2.2,CLIC
1981-11-27,3.9,CLIC
1981-11-28,2,CLIC
1981-11-29,2,CLIC
1981-11-30,2.9,CLIC
1982-01-01,3.1,CLIC
1982-01-02,3.7,CLIC
1982-01-03,3.4,CLIC
1982-01-04,3.5,CLIC
1982-01-05,3.3,CLIC
1982-01-06,4.8,CLIC
1982-01-07,4,CLIC
1982-01-08,2.5,CLIC
1982-01-09,4.5,CLIC
1982-01-10,3.5,CLIC
1982-01-11,2.8,CLIC
1982-01-12,4.2,CLIC
1982-01-13,3.1,CLIC
1982-01-14,3.8,CLIC
1982-01-15,2.7,CLIC
1982-01-16,3.1,CLIC
1982-01-17,3.4,CLIC
1982-01-18,4,CLIC
1982-01-19,4.6,CLIC
1982-01-20,3.5,CLIC
1982-01-21,4,CLIC
1982-01-22,4.6,CLIC
1982-01-23,3,CLIC
1982-01-24,3.6,CLIC
1982-01-25,3.9,CLIC
1982-01-26,5.7,CLIC
1982-01-27,3.9,CLIC
1982-01-28,3.3,CLIC
1982-01-29,4.1,CLIC
1982-01-30,4,CLIC
1982-01-31,4.1,CLIC
1982-03-01,5.5,CLIC
1982-03-02,5.9,CLIC
1982-03-03,6.1,CLIC
1982-03-04,5.3,CLIC
1982-03-05,5.9,CLIC
1982-03-06,4.1,CLIC
1982-03-07,2.1,CLIC
1982-03-08,3.6,CLIC
1982-03-09,2.4,CLIC
1982-03-10,2.9,CLIC
1982-03-11,2.8,CLIC
1982-03-12,3.9,CLIC
1982-03-13,2.5,CLIC
1982-03-14,4.2,CLIC
1982-03-15,3.5,CLIC
1982-03-16,3.1,CLIC
1982-03-17,4,CLIC
1982-03-18,3.7,CLIC
1982-03-19,3.2,CLIC
1982-03-20,4.2,CLIC
1982-03-21,4.9,CLIC
1982-03-22,5.2,CLIC
1982-03-23,6,CLIC
1982-03-24,3.8,CLIC
1982-03-25,4.8,CLIC
1982-03-26,4.4,CLIC
1982-03-27,5.1,CLIC
1982-03-28,5.5,CLIC
1982-03-29,6.4,CLIC
1982-03-30,5,CLIC
1982-03-31,5,CLIC
1982-04-01,6,CLIC
1982-04-02,2,CLIC
1982-04-03,5.1,CLIC
1982-04-04,4.6,CLIC
1982-04-05,5.9,CLIC
1982-04-06,6.8,CLIC
1982-04-07,6.8,CLIC
1982-04-08,6.1,CLIC
1982-04-09,6.9,CLIC
1982-04-10,5.8,CLIC
1982-04-11,5.6,CLIC
1982-04-12,8.3,CLIC
1982-04-13,6.8,CLIC
1982-04-14,8.1,CLIC
1982-04-15,6.7,CLIC
1982-04-16,7.7,CLIC
1982-04-17,6.5,CLIC
1982-04-18,7.8,CLIC
1982-04-19,6.7,CLIC
1982-04-20,8.2,CLIC
1982-04-21,4,CLIC
1982-04-22,3.4,CLIC
1982-04-23,5.3,CLIC
1982-04-24,5,CLIC
1982-04-25,4,CLIC
1982-04-26,6.7,CLIC
1982-04-27,6.4,CLIC
1982-04-28,4.3,CLIC
1982-04-29,4.7,CLIC
1982-04-30,5.6,CLIC
1982-05-01,4.3,CLIC
1982-05-02,8.4,CLIC
1982-05-03,3.5,CLIC
1982-05-04,7.8,CLIC
1982-05-05,6.1,CLIC
1982-05-06,6.3,CLIC
1982-05-07,5.4,CLIC
1982-05-08,5.7,CLIC
1982-05-09,6.2,CLIC
1982-05-10,7.9,CLIC
1982-05-11,5.8,CLIC
1982-05-12,3.7,CLIC
1982-05-13,7.2,CLIC
1982-05-14,7.2,CLIC
1982-05-15,4.3,CLIC
1982-05-16,7.9,CLIC
1982-05-17,6.5,CLIC
1982-05-18,10.5,CLIC
1982-05-19,12.5,CLIC
1982-05-20,5.1,CLIC
1982-05-21,8.3,CLIC
1982-05-22,7.8,CLIC
1982-05-23,3.2,CLIC
1982-05-24,8.1,CLIC
1982-05-25,5.7,CLIC
1982-05-26,5.6,CLIC
1982-05-27,7.9,CLIC
1982-05-28,3.3,CLIC
1982-05-29,9,CLIC
1982-05-30,7.7,CLIC
1982-05-31,7.1,CLIC
1982-06-01,8,CLIC
1982-06-02,7.6,CLIC
1982-06-03,7.5,CLIC
1982-06-04,7.5,CLIC
1982-06-05,7.4,CLIC
1982-06-06,7.6,CLIC
1982-06-07,8.1,CLIC
1982-06-08,8.9,CLIC
1982-06-09,6.9,CLIC
1982-06-10,8.7,CLIC
1982-06-11,9.4,CLIC
1982-06-12,7.1,CLIC
1982-06-13,6.1,CLIC
1982-06-14,8.3,CLIC
1982-06-15,6.9,CLIC
1982-06-16,8,CLIC
1982-06-17,6.9,CLIC
1982-06-18,8.8,CLIC
1982-06-19,8.1,CLIC
1982-06-20,7.4,CLIC
1982-06-21,8.9,CLIC
1982-06-22,10.6,CLIC
1982-06-23,8,CLIC
1982-06-24,8.4,CLIC
1982-06-25,10.5,CLIC
1982-06-26,8.2,CLIC
1982-06-27,8,CLIC
1982-06-28,8.7,CLIC
1982-06-29,8.5,CLIC
1982-06-30,9.6,CLIC
1982-07-01,9.7,CLIC
1982-07-02,9.2,CLIC
1982-07-03,10.4,CLIC
1982-07-04,11.3,CLIC
1982-07-05,12.8,CLIC
1982-07-06,10.2,CLIC
1982-07-07,7.2,CLIC
1982-07-08,9.2,CLIC
1982-07-09,11.7,CLIC
1982-07-10,8.6,CLIC
1982-07-11,11.7,CLIC
1982-07-12,10.7,CLIC
1982-07-13,10.6,CLIC
1982-07-14,11.9,CLIC
1982-07-15,11.5,CLIC
1982-07-16,8.1,CLIC
1982-07-17,11.1,CLIC
1982-07-18,9.6,CLIC
1982-07-19,6.4,CLIC
1982-07-20,14.4,CLIC
1982-07-21,8.6,CLIC
1982-07-22,12.4,CLIC
1982-07-23,10.7,CLIC
1982-07-24,11.9,CLIC
1982-07-25,13.1,CLIC
1982-07-26,11.4,CLIC
1982-07-27,12.8,CLIC
1982-07-28,11.9,CLIC
1982-07-29,10,CLIC
1982-07-30,9.3,CLIC
1982-07-31,9.8,CLIC
1982-08-01,13,CLIC
1982-08-02,12.7,CLIC
1982-08-03,11.6,CLIC
1982-08-04,9.6,CLIC
1982-08-05,9.6,CLIC
1982-08-06,11.9,CLIC
1982-08-07,12.1,CLIC
1982-08-08,10.5,CLIC
1982-08-09,6.3,CLIC
1982-08-10,9.1,CLIC
1982-08-11,12.1,CLIC
1982-08-12,11.6,CLIC
1982-08-13,13.7,CLIC
1982-08-14,11.4,CLIC
1982-08-15,12.9,CLIC
1982-08-16,10.1,CLIC
1982-08-17,7,CLIC
1982-08-18,11.2,CLIC
1982-08-19,5.4,CLIC
1982-08-20,12.7,CLIC
1982-08-21,8.8,CLIC
1982-08-22,10.6,CLIC
1982-08-23,13.6,CLIC
1982-08-24,8.5,CLIC
1982-08-25,8.7,CLIC
1982-08-26,12.9,CLIC
1982-08-27,11.9,CLIC
1982-08-28,14.9,CLIC
1982-08-29,12.2,CLIC
1982-08-30,11.1,CLIC
1982-08-31,11.6,CLIC
1982-09-01,8.7,CLIC
1982-09-02,10.6,CLIC
1982-09-03,6.1,CLIC
1982-09-04,6.4,CLIC
1982-09-05,6.6,CLIC
1982-09-06,8.7,CLIC
1982-09-07,10.6,CLIC
1982-09-08,6.9,CLIC
1982-09-09,7.5,CLIC
1982-09-10,6.1,CLIC
1982-09-11,7.5,CLIC
1982-09-12,6.1,CLIC
1982-09-13,6.3,CLIC
1982-09-14,6.8,CLIC
1982-09-15,9.9,CLIC
1982-09-16,6.2,CLIC
1982-09-17,7.4,CLIC
1982-09-18,7.8,CLIC
1982-09-19,9.3,CLIC
1982-09-20,7.6,CLIC
1982-09-21,8.8,CLIC
1982-09-22,6.8,CLIC
1982-09-23,5,CLIC
1982-09-24,6.1,CLIC
1982-09-25,9.4,CLIC
1982-09-26,9.4,CLIC
1982-09-27,9,CLIC
1982-09-28,8.6,CLIC
1982-09-29,7.7,CLIC
1982-09-30,12.8,CLIC
1982-10-01,7.8,CLIC
1982-10-02,7,CLIC
1982-10-03,7.2,CLIC
1982-10-04,7.3,CLIC
1982-10-05,9.5,CLIC
1982-10-06,7.2,CLIC
1982-10-07,8,CLIC
1982-10-08,8.9,CLIC
1982-10-09,9,CLIC
1982-10-11,5.3,CLIC
1982-10-12,4,CLIC
1982-10-13,3.9,CLIC
1982-10-14,6.7,CLIC
1982-10-15,4.4,CLIC
1982-10-16,6.6,CLIC
1982-10-17,5.4,CLIC
1982-10-18,6.5,CLIC
1982-10-19,7.5,CLIC
1982-10-20,6,CLIC
1982-10-21,8.5,CLIC
1982-10-22,7,CLIC
1982-10-23,5.2,CLIC
1982-10-24,6.6,CLIC
1982-10-25,5.5,CLIC
1982-10-26,5.6,CLIC
1982-10-27,5.4,CLIC
1982-10-28,5.9,CLIC
1982-10-29,6.7,CLIC
1982-10-30,5.5,CLIC
1982-10-31,5.8,CLIC
1982-11-01,4.8,CLIC
1982-11-02,4.5,CLIC
1982-11-03,6.9,CLIC
1982-11-04,6,CLIC
1982-11-05,3.9,CLIC
1982-11-06,4.7,CLIC
1982-11-07,5.4,CLIC
1982-11-08,6.6,CLIC
1982-11-09,5.4,CLIC
1982-11-10,4.6,CLIC
1982-11-11,5.4,CLIC
1982-11-12,3.9,CLIC
1982-11-13,4.3,CLIC
1982-11-14,4.9,CLIC
1982-11-15,4.9,CLIC
1982-11-16,5.1,CLIC
1982-11-17,5.1,CLIC
1982-11-18,5.4,CLIC
1982-11-19,4,CLIC
1982-11-20,4.3,CLIC
1982-11-21,5,CLIC
1982-11-22,5.7,CLIC
1982-11-23,5.9,CLIC
1982-11-24,5.6,CLIC
1982-11-25,4.5,CLIC
1982-11-26,5.5,CLIC
1982-11-27,2.5,CLIC
1982-11-28,5.5,CLIC
1982-11-29,4.1,CLIC
1982-11-30,3.9,CLIC
1983-01-01,1.7,CLIC
1983-01-02,2.1,CLIC
1983-01-03,0.6,CLIC
1983-01-04,2.6,CLIC
1983-01-05,2.1,CLIC
1983-01-06,1.1,CLIC
1983-01-07,2.7,CLIC
1983-01-08,0.4,CLIC
1983-01-09,1.8,CLIC
1983-01-10,2,CLIC
1983-01-11,1.7,CLIC
1983-01-12,1.9,CLIC
1983-01-13,2.5,CLIC
1983-01-14,4.4,CLIC
1983-01-15,1.5,CLIC
1983-01-16,0.2,CLIC
1983-01-17,1.1,CLIC
1983-01-18,4.9,CLIC
1983-01-19,1.2,CLIC
1983-01-20,0.5,CLIC
1983-01-21,0.2,CLIC
1983-01-22,1.2,CLIC
1983-01-23,2.3,CLIC
1983-01-24,2.2,CLIC
1983-01-25,1,CLIC
1983-01-26,1.4,CLIC
1983-01-27,1.8,CLIC
1983-01-28,4.8,CLIC
1983-01-29,3.1,CLIC
1983-01-30,4.3,CLIC
1983-01-31,5,CLIC
1983-02-01,1.7,CLIC
1983-02-02,2.9,CLIC
1983-02-03,1.4,CLIC
1983-02-04,1.4,CLIC
1983-02-05,1.7,CLIC
1983-02-06,1.4,CLIC
1983-02-07,3.3,CLIC
1983-02-08,1.6,CLIC
1983-02-09,2,CLIC
1983-02-10,2.8,CLIC
1983-02-11,2.9,CLIC
1983-02-12,0.1,CLIC
1983-02-13,3.1,CLIC
1983-02-14,7.1,CLIC
1983-02-15,4.6,CLIC
1983-02-16,2.2,CLIC
1983-02-17,4.2,CLIC
1983-02-18,4.9,CLIC
1983-02-19,6.4,CLIC
1983-02-20,6.4,CLIC
1983-02-21,5.9,CLIC
1983-02-22,8.5,CLIC
1983-02-23,6.8,CLIC
1983-02-24,7.9,CLIC
1983-02-25,3.6,CLIC
1983-02-26,3.1,CLIC
1983-02-27,6.7,CLIC
1983-02-28,2.3,CLIC
1983-03-01,5.7,CLIC
1983-03-02,3.1,CLIC
1983-03-03,4.7,CLIC
1983-03-04,8.1,CLIC
1983-03-05,9.2,CLIC
1983-03-06,3.4,CLIC
