Estación: ,C19155,LA POZA. GALEANA
1984-07-27,3.02,CLIC
1984-07-28,5.51,CLIC
1984-07-29,1.03,CLIC
1984-07-30,3.03,CLIC
1984-07-31,7.08,CLIC
1985-01-01,2.01,CLIC
1985-01-02,3.02,CLIC
1985-01-03,1.94,CLIC
1985-01-04,1.36,CLIC
1985-01-05,1.68,CLIC
1985-01-06,2.02,CLIC
1985-01-07,3.01,CLIC
1985-01-08,2.04,CLIC
1985-01-09,1.21,CLIC
1985-01-10,2.02,CLIC
1985-01-11,2.02,CLIC
1985-01-12,1.85,CLIC
1985-01-13,0.95,CLIC
1985-01-14,2.95,CLIC
1985-01-15,1.65,CLIC
1985-01-16,0.49,CLIC
1985-01-17,1.93,CLIC
1985-01-18,2.03,CLIC
1985-01-19,2,CLIC
1985-01-20,1,CLIC
1985-01-21,1.7,CLIC
1985-01-22,1.3,CLIC
1985-01-23,2,CLIC
1985-01-24,2.02,CLIC
1985-01-25,3.04,CLIC
1985-01-26,1.64,CLIC
1985-01-27,3.8,CLIC
1985-01-28,2.02,CLIC
1985-01-29,2.03,CLIC
1985-01-30,2.03,CLIC
1985-01-31,2.12,CLIC
1985-02-01,4.92,CLIC
1985-02-02,2.04,CLIC
1985-02-03,2.02,CLIC
1985-02-04,2.02,CLIC
1985-02-05,4.02,CLIC
1985-02-06,2.04,CLIC
1985-02-07,4.01,CLIC
1985-02-08,2.02,CLIC
1985-02-09,2.02,CLIC
1985-02-10,2.11,CLIC
1985-02-11,2.02,CLIC
1985-02-12,2.02,CLIC
1985-02-13,1.02,CLIC
1985-02-14,1.02,CLIC
1985-02-15,2.02,CLIC
1985-02-16,2.03,CLIC
1985-02-17,2.03,CLIC
1985-02-18,2.02,CLIC
1985-02-19,1.02,CLIC
1985-02-20,1.03,CLIC
1985-02-21,2.03,CLIC
1985-02-22,2.02,CLIC
1985-02-23,2.01,CLIC
1985-02-24,3.03,CLIC
1985-02-25,4.02,CLIC
1985-02-26,3.02,CLIC
1985-02-27,3.17,CLIC
1985-02-28,3.85,CLIC
1985-03-01,4.76,CLIC
1985-03-02,6.29,CLIC
1985-03-03,3.06,CLIC
1985-03-04,2.01,CLIC
1985-03-05,3.04,CLIC
1985-03-06,2.02,CLIC
1985-03-07,3.02,CLIC
1985-03-08,4.01,CLIC
1985-03-09,3.02,CLIC
1985-03-10,3.02,CLIC
1985-03-11,2.02,CLIC
1985-03-12,2.02,CLIC
1985-03-13,2.02,CLIC
1985-03-14,2.25,CLIC
1985-03-15,3.03,CLIC
1985-03-16,1.02,CLIC
1985-03-17,1.02,CLIC
1985-03-18,1.02,CLIC
1985-03-19,1.96,CLIC
1985-03-20,2.08,CLIC
1985-03-21,3.02,CLIC
1985-03-22,2.03,CLIC
1985-03-23,2.02,CLIC
1985-03-24,4.01,CLIC
1985-03-25,3.03,CLIC
1985-03-26,4.74,CLIC
1985-03-27,5.2,CLIC
1985-03-28,4.9,CLIC
1985-03-29,2.24,CLIC
1985-03-30,2.02,CLIC
1985-03-31,2.02,CLIC
1985-04-01,2.02,CLIC
1985-04-02,0.97,CLIC
1985-04-03,1.04,CLIC
1985-04-04,2.02,CLIC
1985-04-05,2.03,CLIC
1985-04-06,2.02,CLIC
1985-04-07,1.02,CLIC
1985-04-08,1.31,CLIC
1985-04-09,2.03,CLIC
1985-04-10,3,CLIC
1985-04-11,3.62,CLIC
1985-04-12,2.9,CLIC
1985-04-13,2.6,CLIC
1985-04-14,3.73,CLIC
1985-04-15,3.25,CLIC
1985-04-16,5.1,CLIC
1985-04-17,4.7,CLIC
1985-04-18,3.9,CLIC
1985-04-19,4.05,CLIC
1985-04-20,3.95,CLIC
1985-04-21,4.3,CLIC
1985-04-22,5.5,CLIC
1985-04-23,4.45,CLIC
1985-04-24,4.55,CLIC
1985-04-25,3.5,CLIC
1985-04-26,5.05,CLIC
1985-04-27,4.4,CLIC
1985-04-28,4,CLIC
1985-04-29,5.02,CLIC
1985-04-30,4.03,CLIC
1985-07-01,2.03,CLIC
1985-07-02,2.02,CLIC
1985-07-03,3.02,CLIC
1985-07-04,4.9,CLIC
1985-07-05,1.06,CLIC
1985-07-06,2.02,CLIC
1985-07-07,3.02,CLIC
1985-07-08,2.04,CLIC
1985-07-09,2,CLIC
1985-07-10,1.05,CLIC
1985-07-11,2.02,CLIC
1985-07-12,3.04,CLIC
1985-07-13,3.04,CLIC
1985-07-14,2.02,CLIC
1985-07-15,2.04,CLIC
1985-07-16,4.03,CLIC
1985-07-17,4.05,CLIC
1985-07-18,2.01,CLIC
1985-07-19,1.06,CLIC
1985-07-20,1.99,CLIC
1985-07-21,2.02,CLIC
1985-07-22,3.03,CLIC
1985-07-23,7.02,CLIC
1985-07-24,2.25,CLIC
1985-07-25,4.03,CLIC
1985-07-26,4.03,CLIC
1985-07-27,2.09,CLIC
1985-07-28,4,CLIC
1985-07-29,3.98,CLIC
1985-07-30,5.08,CLIC
1985-07-31,3.05,CLIC
1985-08-01,4.05,CLIC
1985-08-02,5.8,CLIC
1985-08-03,3.03,CLIC
1985-08-04,3.48,CLIC
1985-08-05,5.09,CLIC
1985-08-06,6.03,CLIC
1985-08-07,4.03,CLIC
1985-08-08,4.02,CLIC
1985-08-09,4.96,CLIC
1985-08-10,5.08,CLIC
1985-08-11,6.36,CLIC
1985-08-12,4.9,CLIC
1985-08-13,4.01,CLIC
1985-08-14,2.02,CLIC
1985-08-15,5.02,CLIC
1985-08-16,5.42,CLIC
1985-08-17,4.6,CLIC
1985-08-18,3.04,CLIC
1985-08-19,3.23,CLIC
1985-08-20,4.51,CLIC
1985-08-21,5.06,CLIC
1985-08-22,5.63,CLIC
1985-08-23,6.46,CLIC
1985-08-24,5.1,CLIC
1985-08-25,4.43,CLIC
1985-08-26,2.1,CLIC
1985-08-27,3.55,CLIC
1985-08-28,5.21,CLIC
1985-08-29,4.29,CLIC
1985-08-30,6.93,CLIC
1985-08-31,5.86,CLIC
1985-12-01,2.03,CLIC
1985-12-02,3.03,CLIC
1985-12-03,1.02,CLIC
1985-12-04,1.02,CLIC
1985-12-05,1.02,CLIC
1985-12-06,1.02,CLIC
1985-12-07,3.02,CLIC
1985-12-08,2,CLIC
1985-12-09,1.02,CLIC
1985-12-10,2.02,CLIC
1985-12-11,2.01,CLIC
1985-12-12,2.95,CLIC
1985-12-13,1.07,CLIC
1985-12-14,1.02,CLIC
1985-12-15,1.02,CLIC
1985-12-16,2.02,CLIC
1985-12-17,2.02,CLIC
1985-12-18,2.02,CLIC
1985-12-19,9.15,CLIC
1985-12-20,3.25,CLIC
1985-12-21,3.01,CLIC
1985-12-22,3.9,CLIC
1985-12-23,2.03,CLIC
1985-12-24,3.03,CLIC
1985-12-25,2.04,CLIC
1985-12-26,3.03,CLIC
1985-12-27,2.01,CLIC
1985-12-28,2.02,CLIC
1985-12-29,2.03,CLIC
1985-12-30,2.04,CLIC
1985-12-31,2.22,CLIC
1986-01-01,2.03,CLIC
1986-01-02,3.17,CLIC
1986-01-03,3.01,CLIC
1986-01-04,4.03,CLIC
1986-01-05,3.03,CLIC
1986-01-06,7.01,CLIC
1986-01-07,1.02,CLIC
1986-01-08,3.04,CLIC
1986-01-09,4.03,CLIC
1986-01-10,1.93,CLIC
1986-01-11,3.07,CLIC
1986-01-12,2.05,CLIC
1986-01-13,3.01,CLIC
1986-01-14,2.01,CLIC
1986-01-15,3.03,CLIC
1986-01-16,2.21,CLIC
1986-01-17,2.03,CLIC
1986-01-18,1.01,CLIC
1986-01-19,1.01,CLIC
1986-01-20,1.07,CLIC
1986-01-21,1.97,CLIC
1986-01-22,4.03,CLIC
1986-01-23,3.02,CLIC
1986-01-24,2.03,CLIC
1986-01-25,3.05,CLIC
1986-01-26,1,CLIC
1986-01-27,6.05,CLIC
1986-01-28,1.04,CLIC
1986-01-29,4.02,CLIC
1986-01-30,1.07,CLIC
1986-01-31,2.63,CLIC
1986-04-01,2.03,CLIC
1986-04-02,4.04,CLIC
1986-04-03,8.9,CLIC
1986-04-04,5.23,CLIC
1986-04-05,6.01,CLIC
1986-04-06,5.06,CLIC
1986-04-07,7.05,CLIC
1986-04-08,4.05,CLIC
1986-04-09,3.06,CLIC
1986-04-10,8.06,CLIC
1986-04-11,3.06,CLIC
1986-04-12,8.05,CLIC
1986-04-13,5.2,CLIC
1986-04-14,5.03,CLIC
1986-04-15,5.04,CLIC
1986-04-16,5.66,CLIC
1986-04-17,4.19,CLIC
1986-04-18,5.05,CLIC
1986-04-19,4.63,CLIC
1986-04-20,3.03,CLIC
1986-04-21,3.92,CLIC
1986-04-22,3.27,CLIC
1986-04-23,5.31,CLIC
1986-04-24,4.32,CLIC
1986-04-25,4.09,CLIC
1986-04-26,4.73,CLIC
1986-04-27,4.49,CLIC
1986-04-28,3.99,CLIC
1986-04-29,2.93,CLIC
1986-04-30,3.53,CLIC
1986-05-01,7.16,CLIC
1986-05-02,6.7,CLIC
1986-05-03,3.15,CLIC
1986-05-04,3.01,CLIC
1986-05-05,5.02,CLIC
1986-05-06,4.02,CLIC
1986-05-07,6.85,CLIC
1986-05-08,2.02,CLIC
1986-05-09,2.02,CLIC
1986-05-10,1.96,CLIC
1986-05-11,1.02,CLIC
1986-05-12,4.78,CLIC
1986-05-13,2.02,CLIC
1986-05-14,2.03,CLIC
1986-05-15,6.05,CLIC
1986-05-16,4.02,CLIC
1986-05-17,4.66,CLIC
1986-05-18,2.04,CLIC
1986-05-19,4.05,CLIC
1986-05-20,14.09,CLIC
1986-05-21,3.03,CLIC
1986-05-22,1.03,CLIC
1986-05-23,2.02,CLIC
1986-05-24,4.72,CLIC
1986-05-25,8.06,CLIC
1986-05-26,9.06,CLIC
1986-05-27,3.03,CLIC
1986-05-28,3.03,CLIC
1986-05-29,4.67,CLIC
1986-05-30,1.02,CLIC
1986-05-31,2.01,CLIC
1986-08-01,2.02,CLIC
1986-08-02,2.04,CLIC
1986-08-03,1.02,CLIC
1986-08-04,2.02,CLIC
1986-08-05,3.02,CLIC
1986-08-06,3.04,CLIC
1986-08-07,2.02,CLIC
1986-08-08,1.01,CLIC
1986-08-09,2.01,CLIC
1986-08-10,2.02,CLIC
1986-08-11,4.56,CLIC
1986-08-12,3.04,CLIC
1986-08-13,2.02,CLIC
1986-08-14,1.03,CLIC
1986-08-15,1.02,CLIC
1986-08-16,8.02,CLIC
1986-08-17,5.02,CLIC
1986-08-18,2.05,CLIC
1986-08-19,3.03,CLIC
1986-08-20,3.03,CLIC
1986-08-21,6.03,CLIC
1986-08-22,3.02,CLIC
1986-08-23,3.03,CLIC
1986-08-24,1.4,CLIC
1986-08-25,4.66,CLIC
1986-08-26,2.04,CLIC
1986-08-27,2.03,CLIC
1986-08-28,1.02,CLIC
1986-08-29,8.02,CLIC
1986-08-30,4.02,CLIC
1986-08-31,2.11,CLIC
1986-09-01,1.95,CLIC
1986-09-02,4.02,CLIC
1986-09-03,4.03,CLIC
1986-09-04,5.48,CLIC
1986-09-05,4.76,CLIC
1986-09-06,5.03,CLIC
1986-09-07,4.99,CLIC
1986-09-08,2.01,CLIC
1986-09-09,2.02,CLIC
1986-09-10,2.02,CLIC
1986-09-11,1.02,CLIC
1986-09-12,2.15,CLIC
1986-09-13,3.01,CLIC
1986-09-14,2.3,CLIC
1986-09-15,2.3,CLIC
1986-09-16,4.9,CLIC
1986-09-17,2.04,CLIC
1986-09-18,4.62,CLIC
1986-09-19,5.03,CLIC
1986-09-20,4.04,CLIC
1986-09-21,2.03,CLIC
1986-09-22,3.05,CLIC
1986-09-23,6.05,CLIC
1986-09-24,3.02,CLIC
1986-09-25,3.02,CLIC
1986-09-26,1.3,CLIC
1986-09-27,1.2,CLIC
1986-09-28,2.9,CLIC
1986-09-29,2.76,CLIC
1987-04-01,3.04,CLIC
1987-04-02,3.03,CLIC
1987-04-03,3.03,CLIC
1987-04-04,2.03,CLIC
1987-04-05,2.01,CLIC
1987-04-06,2.01,CLIC
1987-04-07,2.3,CLIC
1987-04-08,2.1,CLIC
1987-04-09,1.2,CLIC
1987-04-11,3.04,CLIC
1987-04-12,1.03,CLIC
1987-04-13,2.03,CLIC
1987-04-14,1.03,CLIC
1987-04-15,3.04,CLIC
1987-04-16,3.02,CLIC
1987-04-17,2.02,CLIC
1987-04-18,2.02,CLIC
1987-04-19,3.01,CLIC
1987-04-20,3.3,CLIC
1987-04-21,4.46,CLIC
1987-04-22,3.03,CLIC
1987-04-23,4.03,CLIC
1987-04-24,1.03,CLIC
1987-04-25,2.02,CLIC
1987-04-26,1.02,CLIC
1987-04-27,2.03,CLIC
1987-04-28,2.02,CLIC
1987-04-29,13.02,CLIC
1987-05-01,4.02,CLIC
1987-05-02,10.3,CLIC
1987-05-06,5.01,CLIC
1987-05-07,2.37,CLIC
1987-05-08,2.76,CLIC
1987-05-10,2.02,CLIC
1987-05-11,2.02,CLIC
1987-05-12,4.02,CLIC
1987-05-13,2.02,CLIC
1987-05-14,1.99,CLIC
1987-05-15,8.02,CLIC
1987-05-16,6.02,CLIC
1987-05-17,1.3,CLIC
1987-05-20,4.04,CLIC
1987-05-21,3.04,CLIC
1987-05-22,2.04,CLIC
1987-05-23,8.02,CLIC
1987-05-24,2.13,CLIC
1987-05-25,3.93,CLIC
1987-05-26,3.04,CLIC
1987-05-27,3.02,CLIC
1987-05-28,4.02,CLIC
1987-05-29,2.03,CLIC
1987-05-30,5.03,CLIC
1987-09-01,12.19,CLIC
1987-09-02,2.03,CLIC
1987-09-03,1.03,CLIC
1987-09-04,2.03,CLIC
1987-09-05,3.03,CLIC
1987-09-06,4.02,CLIC
1987-09-07,5.05,CLIC
1987-09-08,2.03,CLIC
1987-09-09,3.02,CLIC
1987-09-10,2.02,CLIC
1987-09-11,2.02,CLIC
1987-09-12,2.02,CLIC
1987-09-13,1.02,CLIC
1987-09-14,2.02,CLIC
1987-09-15,3,CLIC
1987-09-16,2.03,CLIC
1987-09-17,3.04,CLIC
1987-09-18,1.02,CLIC
1987-09-19,2.02,CLIC
1987-09-20,5.03,CLIC
1987-09-21,3.03,CLIC
1987-09-22,1.02,CLIC
1987-09-23,2.03,CLIC
1987-09-24,2.02,CLIC
1987-09-25,5.03,CLIC
1987-09-26,1.02,CLIC
1987-09-27,1.5,CLIC
1987-09-28,10.03,CLIC
1987-09-29,3.04,CLIC
1987-09-30,2.5,CLIC
1987-10-01,2.04,CLIC
1987-10-02,2.02,CLIC
1987-10-03,4.03,CLIC
1987-10-04,2.02,CLIC
1987-10-05,2.02,CLIC
1987-10-06,3.03,CLIC
1987-10-07,2.01,CLIC
1987-10-08,2.03,CLIC
1987-10-09,3.03,CLIC
1987-10-10,2.02,CLIC
1987-10-11,2.99,CLIC
1987-10-12,6.01,CLIC
1987-10-13,1.3,CLIC
1987-10-14,2.5,CLIC
1987-10-15,3.06,CLIC
1987-10-16,2.03,CLIC
1987-10-17,0.98,CLIC
1987-10-18,3.05,CLIC
1987-10-19,2.01,CLIC
1987-10-20,8.02,CLIC
1987-10-21,2.03,CLIC
1987-10-22,3.02,CLIC
1987-10-23,2.02,CLIC
1987-10-24,3.02,CLIC
1987-10-25,2.02,CLIC
1987-10-26,2.02,CLIC
1987-10-27,2.02,CLIC
1987-10-28,2.02,CLIC
1987-10-29,2.01,CLIC
1987-10-30,3,CLIC
1987-10-31,2.5,CLIC
1987-11-01,3.04,CLIC
1987-11-02,5.05,CLIC
1987-11-03,3.03,CLIC
1987-11-04,4.04,CLIC
1987-11-05,2.03,CLIC
1987-11-06,1.02,CLIC
1987-11-07,1.03,CLIC
1987-11-08,4.02,CLIC
1987-11-09,1.02,CLIC
1987-11-10,4.03,CLIC
1987-11-11,3.02,CLIC
1987-11-12,1.02,CLIC
1987-11-13,2.3,CLIC
1987-11-14,1,CLIC
1987-11-15,3.05,CLIC
1987-11-16,4.04,CLIC
1987-11-17,1.03,CLIC
1987-11-18,3.03,CLIC
1987-11-19,2.02,CLIC
1987-11-20,3.03,CLIC
1987-11-21,5.03,CLIC
1987-11-22,4.02,CLIC
1987-11-23,2.03,CLIC
1987-11-24,3.02,CLIC
1987-11-25,3.03,CLIC
1987-11-26,2.01,CLIC
1987-11-27,1.01,CLIC
1987-11-28,3.3,CLIC
1987-11-29,1.2,CLIC
1987-11-30,2.5,CLIC
1987-12-01,1.5,CLIC
1987-12-02,1,CLIC
1987-12-03,0.6,CLIC
1987-12-04,1.06,CLIC
1987-12-05,2.03,CLIC
1987-12-06,1.04,CLIC
1987-12-07,2.02,CLIC
1987-12-08,1.02,CLIC
1987-12-09,5.02,CLIC
1987-12-10,2.03,CLIC
1987-12-11,2.02,CLIC
1987-12-12,1.02,CLIC
1987-12-13,1.02,CLIC
1987-12-14,2.02,CLIC
1987-12-15,2.02,CLIC
1987-12-16,3.02,CLIC
1987-12-17,1.01,CLIC
1987-12-18,1.01,CLIC
1987-12-19,1.02,CLIC
1987-12-20,1.01,CLIC
1987-12-21,0.21,CLIC
1987-12-22,3,CLIC
1987-12-23,1.96,CLIC
1987-12-24,6.01,CLIC
1987-12-25,3.03,CLIC
1987-12-26,1.03,CLIC
1987-12-27,2.03,CLIC
1987-12-28,1.02,CLIC
1987-12-29,0.98,CLIC
1987-12-30,2.02,CLIC
1987-12-31,1,CLIC
1988-01-01,9.02,CLIC
1988-01-02,4.02,CLIC
1988-01-03,2,CLIC
1988-01-04,2.07,CLIC
1988-01-05,3.04,CLIC
1988-01-06,1.04,CLIC
1988-01-07,3.03,CLIC
