Estación: ,C19144,CIENEGUILLAS Y CRUCITAS
1975-06-17,4.7,CLIC
1975-06-18,4.75,CLIC
1975-06-19,4.72,CLIC
1975-06-20,6.94,CLIC
1975-06-21,5.15,CLIC
1975-06-22,3.35,CLIC
1975-06-23,4.37,CLIC
1975-06-24,3.12,CLIC
1975-06-25,4.41,CLIC
1975-06-26,5.39,CLIC
1975-06-27,3.81,CLIC
1975-06-28,4.42,CLIC
1975-06-29,4.03,CLIC
1975-06-30,4.29,CLIC
1975-07-01,2.15,CLIC
1975-07-02,3.06,CLIC
1975-07-03,3.3,CLIC
1975-07-04,1.19,CLIC
1975-07-05,0.71,CLIC
1975-07-06,2.29,CLIC
1975-07-07,3.78,CLIC
1975-07-08,4.66,CLIC
1975-07-09,4.78,CLIC
1975-07-10,3.33,CLIC
1975-07-11,2.84,CLIC
1975-07-12,4.39,CLIC
1975-07-13,3.44,CLIC
1975-07-14,2.81,CLIC
1975-07-15,2.47,CLIC
1975-07-16,2.89,CLIC
1975-07-17,4.41,CLIC
1975-07-18,4.31,CLIC
1975-07-19,4.84,CLIC
1975-07-20,4.79,CLIC
1975-07-21,5.84,CLIC
1975-07-22,2.01,CLIC
1975-07-23,3.24,CLIC
1975-07-24,3.46,CLIC
1975-07-25,6.87,CLIC
1975-07-26,2.94,CLIC
1975-07-27,3.25,CLIC
1975-07-28,1.79,CLIC
1975-07-29,3.25,CLIC
1975-07-30,3.3,CLIC
1975-07-31,5.15,CLIC
1975-08-01,3,CLIC
1975-08-02,4.74,CLIC
1975-08-03,5.28,CLIC
1975-08-04,1.88,CLIC
1975-08-05,3.87,CLIC
1975-08-06,5.27,CLIC
1975-08-07,1.9,CLIC
1975-08-08,2.31,CLIC
1975-08-09,2.24,CLIC
1975-08-10,3.02,CLIC
1975-08-11,2.5,CLIC
1975-08-12,4.27,CLIC
1975-08-13,4.22,CLIC
1975-08-14,5.15,CLIC
1975-08-15,5.33,CLIC
1975-08-16,4.24,CLIC
1975-08-17,3.29,CLIC
1975-08-18,4.33,CLIC
1975-08-19,6.21,CLIC
1975-08-20,1.85,CLIC
1975-08-21,2.31,CLIC
1975-08-22,3.19,CLIC
1975-08-23,2.88,CLIC
1975-08-24,4.75,CLIC
1975-08-25,5.76,CLIC
1975-08-26,4.66,CLIC
1975-08-27,3.77,CLIC
1975-08-28,3.09,CLIC
1975-08-29,2.36,CLIC
1975-08-30,1.86,CLIC
1975-08-31,3.33,CLIC
1975-09-01,1.95,CLIC
1975-09-02,0.88,CLIC
1975-09-03,3.61,CLIC
1975-09-04,4.09,CLIC
1975-09-05,1.21,CLIC
1975-09-06,2.52,CLIC
1975-09-07,2.4,CLIC
1975-09-08,2.19,CLIC
1975-09-09,2.78,CLIC
1975-09-10,3.57,CLIC
1975-09-11,3.08,CLIC
1975-09-12,2.57,CLIC
1975-09-13,2.89,CLIC
1975-09-14,3.11,CLIC
1975-09-15,4.64,CLIC
1975-09-16,3.74,CLIC
1975-09-17,4.43,CLIC
1975-09-18,4.66,CLIC
1975-09-19,5.62,CLIC
1975-09-20,5.49,CLIC
1975-09-21,2.13,CLIC
1975-09-22,3.04,CLIC
1975-09-23,3.09,CLIC
1975-09-24,3.84,CLIC
1975-09-25,4.88,CLIC
1975-09-26,5.18,CLIC
1975-09-27,3.52,CLIC
1975-09-28,4.32,CLIC
1975-09-29,3.55,CLIC
1975-09-30,2.95,CLIC
1975-10-01,4.15,CLIC
1975-10-02,2.81,CLIC
1975-10-03,2.12,CLIC
1975-10-04,3.13,CLIC
1975-10-05,2.69,CLIC
1975-10-06,3.27,CLIC
1975-10-07,3.83,CLIC
1975-10-08,4.75,CLIC
1975-10-09,5.46,CLIC
1975-10-10,3.62,CLIC
1975-10-11,5.91,CLIC
1975-10-12,3.32,CLIC
1975-10-13,2.95,CLIC
1975-10-14,4.36,CLIC
1975-10-15,5.29,CLIC
1975-10-16,1.73,CLIC
1975-10-17,0.83,CLIC
1975-10-18,3.82,CLIC
1975-10-19,4.6,CLIC
1975-10-20,5.34,CLIC
1975-10-21,4.4,CLIC
1975-10-22,3.82,CLIC
1975-10-23,5.34,CLIC
1975-10-24,3.5,CLIC
1975-10-25,5.63,CLIC
1975-10-26,5.28,CLIC
1975-10-27,1.81,CLIC
1975-10-28,1.57,CLIC
1975-10-29,1.99,CLIC
1975-10-30,2.93,CLIC
1975-10-31,3.27,CLIC
1975-11-01,1.69,CLIC
1975-11-02,3.38,CLIC
1975-11-03,5.26,CLIC
1975-11-04,6.95,CLIC
1975-11-05,5.59,CLIC
1975-11-06,2.75,CLIC
1975-11-07,2.29,CLIC
1975-11-08,3.56,CLIC
1975-11-09,5.74,CLIC
1975-11-10,2.98,CLIC
1975-11-11,6.72,CLIC
1975-11-12,4.96,CLIC
1975-11-13,8.57,CLIC
1975-11-14,4.24,CLIC
1975-11-15,7.69,CLIC
1975-11-16,1.67,CLIC
1975-11-17,3.68,CLIC
1975-11-18,5.41,CLIC
1975-11-19,6.23,CLIC
1975-11-20,4.72,CLIC
1975-11-21,4.29,CLIC
1975-11-22,2.67,CLIC
1975-11-23,3.84,CLIC
1975-11-24,3.26,CLIC
1975-11-25,1.79,CLIC
1975-11-26,2.24,CLIC
1975-11-27,5.05,CLIC
1975-11-28,4.34,CLIC
1975-11-29,8.52,CLIC
1975-11-30,5.44,CLIC
1975-12-01,1.71,CLIC
1975-12-02,3.29,CLIC
1975-12-03,3.86,CLIC
1975-12-04,4.6,CLIC
1975-12-05,4.79,CLIC
1975-12-06,3.14,CLIC
1975-12-07,1.05,CLIC
1975-12-08,2.07,CLIC
1975-12-09,2.08,CLIC
1975-12-10,4.51,CLIC
1975-12-11,2.85,CLIC
1975-12-12,3.8,CLIC
1975-12-13,4.06,CLIC
1975-12-14,4.71,CLIC
1975-12-15,3.29,CLIC
1975-12-16,1.69,CLIC
1975-12-17,2.84,CLIC
1975-12-18,0.63,CLIC
1975-12-19,0.04,CLIC
1975-12-20,2.52,CLIC
1975-12-21,0.31,CLIC
1975-12-22,2,CLIC
1975-12-23,4.61,CLIC
1975-12-24,3.14,CLIC
1975-12-25,2,CLIC
1975-12-26,2,CLIC
1975-12-27,8.66,CLIC
1975-12-28,0.18,CLIC
1975-12-29,0.96,CLIC
1975-12-30,0.74,CLIC
1975-12-31,3.57,CLIC
1976-01-01,6.64,CLIC
1976-01-02,6.05,CLIC
1976-01-03,3.08,CLIC
1976-01-04,0.97,CLIC
1976-01-05,3.49,CLIC
1976-01-06,4.2,CLIC
1976-01-07,2.61,CLIC
1976-01-08,4.63,CLIC
1976-01-09,1.32,CLIC
1976-01-10,2.98,CLIC
1976-01-11,1.81,CLIC
1976-01-12,3.59,CLIC
1976-01-13,3,CLIC
1976-01-14,2.82,CLIC
1976-01-15,1.92,CLIC
1976-01-16,3.26,CLIC
1976-01-17,3.1,CLIC
1976-01-18,2,CLIC
1976-01-19,2.08,CLIC
1976-01-20,3.53,CLIC
1976-01-21,6.96,CLIC
1976-01-22,1.93,CLIC
1976-01-23,2.29,CLIC
1976-01-24,3.82,CLIC
1976-01-25,3.49,CLIC
1976-01-26,4.1,CLIC
1976-01-27,3.87,CLIC
1976-01-28,3.45,CLIC
1976-01-29,1.05,CLIC
1976-01-30,4.32,CLIC
1976-01-31,1.91,CLIC
1976-02-01,5.14,CLIC
1976-02-02,1.7,CLIC
1976-02-03,2.05,CLIC
1976-02-04,2.04,CLIC
1976-02-05,1.66,CLIC
1976-02-06,3.67,CLIC
1976-02-07,4.5,CLIC
1976-02-08,4.74,CLIC
1976-02-09,7.73,CLIC
1976-02-10,7.18,CLIC
1976-02-11,7.33,CLIC
1976-02-12,7.2,CLIC
1976-02-13,7.94,CLIC
1976-02-14,4.59,CLIC
1976-02-15,5.38,CLIC
1976-02-16,4.74,CLIC
1976-02-17,5,CLIC
1976-02-18,4.05,CLIC
1976-02-19,3.99,CLIC
1976-02-20,4.62,CLIC
1976-02-21,2.37,CLIC
1976-02-22,4.78,CLIC
1976-02-23,4.09,CLIC
1976-02-24,11.44,CLIC
1976-02-25,3.93,CLIC
1976-02-26,9.3,CLIC
1976-02-27,6.18,CLIC
1976-02-28,6.03,CLIC
1976-02-29,6.44,CLIC
1976-03-01,4.62,CLIC
1976-03-02,2.34,CLIC
1976-03-03,2.9,CLIC
1976-03-04,4.74,CLIC
1976-03-05,6.77,CLIC
1976-03-06,10.35,CLIC
1976-03-07,3.76,CLIC
1976-03-08,5.42,CLIC
1976-03-09,6.3,CLIC
1976-03-10,5.01,CLIC
1976-03-11,6.64,CLIC
1976-03-12,9,CLIC
1976-03-13,8.75,CLIC
1976-03-15,5.97,CLIC
1976-03-16,3.79,CLIC
1976-03-17,1.79,CLIC
1976-03-18,2.04,CLIC
1976-03-19,1.39,CLIC
1976-03-20,5.41,CLIC
1976-03-21,8.44,CLIC
1976-03-22,3.01,CLIC
1976-03-23,3.8,CLIC
1976-03-24,5.16,CLIC
1976-03-25,6.85,CLIC
1976-03-26,5.26,CLIC
1976-03-27,8.97,CLIC
1976-03-28,6.43,CLIC
1976-03-29,8.26,CLIC
1976-03-30,4.07,CLIC
1976-03-31,4.83,CLIC
1976-04-01,3.54,CLIC
1976-04-02,6.06,CLIC
1976-04-03,2.3,CLIC
1976-04-04,3,CLIC
1976-04-05,2.64,CLIC
1976-04-06,2.75,CLIC
1976-04-07,2,CLIC
1976-04-08,2.38,CLIC
1976-04-09,2.93,CLIC
1976-04-10,7.22,CLIC
1976-04-11,6.28,CLIC
1976-04-12,4.9,CLIC
1976-04-13,7.4,CLIC
1976-04-14,10.3,CLIC
1976-04-15,8.27,CLIC
1976-04-16,7.69,CLIC
1976-04-17,4.54,CLIC
1976-04-18,6,CLIC
1976-04-19,5.8,CLIC
1976-04-20,1.25,CLIC
1976-04-21,2.83,CLIC
1976-04-22,1.81,CLIC
1976-04-23,3.21,CLIC
1976-04-24,5.58,CLIC
1976-04-25,7.84,CLIC
1976-04-26,7.35,CLIC
1976-04-27,6.96,CLIC
1976-04-28,6.6,CLIC
1976-04-29,6.89,CLIC
1976-04-30,1.7,CLIC
1976-05-01,3.83,CLIC
1976-05-02,3.68,CLIC
1976-05-03,5.29,CLIC
1976-05-04,6.33,CLIC
1976-05-05,3.1,CLIC
1976-05-06,8.13,CLIC
1976-05-07,6.22,CLIC
1976-05-08,5.37,CLIC
1976-05-09,4.34,CLIC
1976-05-10,4.65,CLIC
1976-05-11,7.23,CLIC
1976-05-12,2.21,CLIC
1976-05-13,3.22,CLIC
1976-05-14,9.7,CLIC
1976-05-15,6,CLIC
1976-05-16,2.2,CLIC
1976-05-17,1.88,CLIC
1976-05-18,2.99,CLIC
1976-05-19,4.7,CLIC
1976-05-20,5,CLIC
1976-05-21,4.16,CLIC
1976-05-22,10.48,CLIC
1976-05-23,3.59,CLIC
1976-05-24,8.76,CLIC
1976-05-25,4.87,CLIC
1976-05-26,7.52,CLIC
1976-05-27,3.52,CLIC
1976-05-28,2.96,CLIC
1976-05-29,6.91,CLIC
1976-05-30,6.91,CLIC
1976-05-31,3.86,CLIC
1976-06-01,8.32,CLIC
1976-06-02,8.02,CLIC
1976-06-03,4.65,CLIC
1976-06-04,3.57,CLIC
1976-06-05,9.71,CLIC
1976-06-06,5.35,CLIC
1976-06-07,6.39,CLIC
1976-06-08,2.93,CLIC
1976-06-09,4.38,CLIC
1976-06-10,2.58,CLIC
1976-06-11,2.44,CLIC
1976-06-12,3.58,CLIC
1976-06-13,2.47,CLIC
1976-06-14,1.56,CLIC
1976-06-15,3.02,CLIC
1976-06-16,3.76,CLIC
1976-06-17,7.77,CLIC
1976-06-18,0.72,CLIC
1976-06-19,8.84,CLIC
1976-06-20,2.55,CLIC
1976-06-21,7.85,CLIC
1976-06-22,7,CLIC
1976-06-23,7.46,CLIC
1976-06-24,9.04,CLIC
1976-06-25,2.14,CLIC
1976-06-26,1.56,CLIC
1976-06-27,1.71,CLIC
1976-06-28,3.87,CLIC
1976-06-29,7.29,CLIC
1976-06-30,6.5,CLIC
1976-07-01,2.56,CLIC
1976-07-02,5.81,CLIC
1976-07-03,4.14,CLIC
1976-07-04,1.87,CLIC
1976-07-05,1.85,CLIC
1976-07-06,2.66,CLIC
1976-07-07,1.38,CLIC
1976-07-08,1.4,CLIC
1976-07-09,1.2,CLIC
1976-07-10,3.32,CLIC
1976-07-11,3.43,CLIC
1976-07-12,3.38,CLIC
1976-07-13,3.4,CLIC
1976-07-14,1.87,CLIC
1976-07-15,2.9,CLIC
1976-07-16,4.89,CLIC
1976-07-17,6.51,CLIC
1976-07-18,8.42,CLIC
1976-07-19,6.4,CLIC
1976-07-20,6.84,CLIC
1976-07-21,7.9,CLIC
1976-07-22,7.52,CLIC
1976-07-23,7.75,CLIC
1976-07-24,9.67,CLIC
1976-07-25,6.6,CLIC
1976-07-26,5,CLIC
1976-07-27,5.78,CLIC
1976-07-28,8.52,CLIC
1976-07-29,1.5,CLIC
1976-07-30,0.8,CLIC
1976-07-31,3.7,CLIC
1976-08-01,6.8,CLIC
1976-08-02,9.6,CLIC
1976-08-03,2.8,CLIC
1976-08-04,1.8,CLIC
1976-08-05,4.2,CLIC
1976-08-06,5.5,CLIC
1976-08-07,9.1,CLIC
1976-08-08,5.6,CLIC
1976-08-09,6.2,CLIC
1976-08-10,9.9,CLIC
1976-08-11,4.8,CLIC
1976-08-12,5.7,CLIC
1976-08-13,4.2,CLIC
1976-08-14,6.69,CLIC
1976-08-15,1.91,CLIC
1976-08-16,3.5,CLIC
1976-08-17,3.4,CLIC
1976-08-18,3.75,CLIC
1976-08-19,3.15,CLIC
1976-08-20,6.1,CLIC
1976-08-21,8,CLIC
1976-08-22,3.7,CLIC
1976-08-23,2.9,CLIC
1976-08-24,1.9,CLIC
1976-08-25,1.7,CLIC
1976-08-26,0.4,CLIC
1976-08-27,3.1,CLIC
1976-08-28,2.57,CLIC
1976-08-29,3.73,CLIC
1976-08-30,1.6,CLIC
1976-08-31,2.1,CLIC
1976-09-01,4.4,CLIC
1976-09-02,1.86,CLIC
1976-09-03,1.55,CLIC
1976-09-04,2.87,CLIC
1976-09-05,2.42,CLIC
1976-09-06,3.34,CLIC
1976-09-07,4.95,CLIC
1976-09-08,4.61,CLIC
1976-09-09,2.53,CLIC
1976-09-10,2.25,CLIC
1976-09-11,2.6,CLIC
1976-09-12,3.08,CLIC
1976-09-13,2.1,CLIC
1976-09-14,2.4,CLIC
1976-09-15,1.84,CLIC
1976-09-16,2.75,CLIC
1976-09-17,1.1,CLIC
1976-09-18,2.15,CLIC
1976-09-19,2.32,CLIC
1976-09-20,2.37,CLIC
1976-09-21,0.41,CLIC
1976-09-22,1.91,CLIC
1976-09-23,2.06,CLIC
1976-09-24,2.15,CLIC
1976-09-25,3.41,CLIC
1976-09-26,1.69,CLIC
1976-09-27,1.78,CLIC
1976-09-29,0.89,CLIC
1976-09-30,0.44,CLIC
1977-01-01,0.4,CLIC
1977-01-02,1.75,CLIC
1977-01-03,2.95,CLIC
1977-01-04,3.25,CLIC
1977-01-05,4.95,CLIC
1977-01-06,1.4,CLIC
1977-01-07,3.64,CLIC
1977-01-08,4.23,CLIC
1977-01-09,0.78,CLIC
1977-01-10,1.75,CLIC
1977-01-11,2.31,CLIC
1977-01-12,4.23,CLIC
1977-01-13,2.36,CLIC
1977-01-14,1.65,CLIC
1977-01-15,1.65,CLIC
1977-01-16,0.65,CLIC
1977-01-17,0.25,CLIC
1977-01-18,0.65,CLIC
1977-01-19,1.53,CLIC
1977-01-20,2.32,CLIC
1977-01-21,2.79,CLIC
1977-01-22,3.06,CLIC
1977-01-23,3.38,CLIC
1977-01-24,1.51,CLIC
1977-01-25,2.31,CLIC
1977-01-26,4.07,CLIC
1977-01-27,2.09,CLIC
1977-01-28,2.99,CLIC
1977-01-29,2.7,CLIC
1977-01-30,3.58,CLIC
1977-01-31,3.9,CLIC
1977-02-01,2.59,CLIC
1977-02-02,3.52,CLIC
1977-02-03,2.26,CLIC
1977-02-04,0.75,CLIC
1977-02-05,2.36,CLIC
1977-02-06,1.28,CLIC
1977-02-07,0.85,CLIC
1977-02-08,2.68,CLIC
1977-02-09,3.74,CLIC
1977-02-10,3.79,CLIC
1977-02-11,1.48,CLIC
1977-02-12,0.6,CLIC
1977-02-13,1.39,CLIC
1977-02-14,2.49,CLIC
1977-02-15,1.38,CLIC
1977-02-16,1.85,CLIC
1977-02-17,2.41,CLIC
1977-02-18,2.45,CLIC
1977-02-19,1.49,CLIC
1977-02-20,3.4,CLIC
1977-02-21,4.39,CLIC
1977-02-22,4.53,CLIC
1977-02-23,3.13,CLIC
1977-02-24,2.8,CLIC
1977-02-25,1.24,CLIC
1977-02-26,1.8,CLIC
1977-02-27,0.55,CLIC
1977-02-28,3.11,CLIC
1977-03-01,8.35,CLIC
1977-03-02,5.25,CLIC
1977-03-03,2.55,CLIC
1977-03-04,3.54,CLIC
1977-03-05,3.29,CLIC
1977-03-06,1.9,CLIC
1977-03-07,0.89,CLIC
1977-03-08,4.38,CLIC
1977-03-09,5.95,CLIC
1977-03-10,7.67,CLIC
1977-03-11,3.18,CLIC
1977-03-12,4.42,CLIC
1977-03-13,8.51,CLIC
1977-03-14,9.41,CLIC
1977-03-15,8.71,CLIC
1977-03-16,9.2,CLIC
1977-03-17,4.52,CLIC
1977-03-18,7.94,CLIC
1977-03-19,7.28,CLIC
1977-03-20,5.84,CLIC
1977-03-21,5.69,CLIC
1977-03-22,5.33,CLIC
1977-03-23,6.51,CLIC
1977-03-24,8.24,CLIC
1977-03-25,5.28,CLIC
1977-03-26,8.73,CLIC
1977-03-27,5.19,CLIC
1977-03-28,6.68,CLIC
1977-03-29,7.04,CLIC
1977-03-30,9.32,CLIC
1977-03-31,5.2,CLIC
1977-04-01,7.6,CLIC
1977-04-02,8.52,CLIC
1977-04-03,10.73,CLIC
1977-04-04,3.1,CLIC
1977-04-05,4.88,CLIC
1977-04-06,4.67,CLIC
1977-04-07,5.8,CLIC
1977-04-08,6.04,CLIC
1977-04-09,5.17,CLIC
1977-04-10,10.88,CLIC
1977-04-11,3.55,CLIC
1977-04-12,3.87,CLIC
1977-04-13,3.05,CLIC
1977-04-14,2.5,CLIC
1977-04-15,3.47,CLIC
1977-04-16,2.72,CLIC
1977-04-17,6.21,CLIC
1977-04-18,8.35,CLIC
1977-04-19,5.63,CLIC
1977-04-20,7.42,CLIC
1977-04-21,4.81,CLIC
1977-04-22,5.77,CLIC
1977-04-23,4.33,CLIC
1977-04-24,5.18,CLIC
1977-04-25,7.85,CLIC
1977-04-26,4.54,CLIC
1977-04-27,4.8,CLIC
1977-04-28,6.18,CLIC
1977-04-29,5.38,CLIC
1977-04-30,5.59,CLIC
1977-05-01,4.77,CLIC
1977-05-02,3.66,CLIC
1977-05-03,2.82,CLIC
1977-05-04,5.44,CLIC
1977-05-05,8.58,CLIC
1977-05-06,5.12,CLIC
1977-05-07,6.71,CLIC
1977-05-08,5.11,CLIC
1977-05-09,3.73,CLIC
1977-05-10,4.61,CLIC
1977-05-11,3.74,CLIC
1977-05-12,3.31,CLIC
1977-05-13,4.27,CLIC
1977-05-14,8.85,CLIC
1977-05-15,5.7,CLIC
1977-05-16,7.08,CLIC
1977-05-17,2.79,CLIC
1977-05-18,8.38,CLIC
1977-05-19,4.72,CLIC
1977-05-20,10.35,CLIC
1977-05-21,10.29,CLIC
1977-05-22,9.21,CLIC
1977-05-23,6.55,CLIC
1977-05-24,8.19,CLIC
1977-05-25,7.75,CLIC
1977-05-26,6.77,CLIC
1977-05-27,6.34,CLIC
1977-05-28,5.56,CLIC
1977-05-29,7.59,CLIC
1977-05-30,7.86,CLIC
1977-05-31,10.19,CLIC
1977-06-01,6.16,CLIC
1977-06-02,6.35,CLIC
1977-06-03,7.75,CLIC
1977-06-04,5.67,CLIC
1977-06-05,4.13,CLIC
1977-06-06,4.3,CLIC
1977-06-07,6.19,CLIC
1977-06-08,6.59,CLIC
1977-06-09,6.88,CLIC
1977-06-10,8.14,CLIC
1977-06-11,7.75,CLIC
1977-06-12,5.41,CLIC
1977-06-13,5.44,CLIC
1977-06-14,5.18,CLIC
1977-06-15,6.22,CLIC
1977-06-16,3.59,CLIC
1977-06-17,4.69,CLIC
1977-06-18,4.56,CLIC
1977-06-19,9.24,CLIC
1977-06-20,3.81,CLIC
1977-06-21,3.85,CLIC
1977-06-22,4.22,CLIC
1977-06-23,3.58,CLIC
1977-06-24,4.62,CLIC
1977-06-25,5.48,CLIC
1977-06-26,7.35,CLIC
1977-06-27,8.69,CLIC
1977-06-28,10.06,CLIC
1977-06-29,4.34,CLIC
1977-06-30,4.84,CLIC
1977-07-01,4.82,CLIC
1977-07-02,6.19,CLIC
1977-07-03,6.61,CLIC
1977-07-04,5.81,CLIC
1977-07-05,7.61,CLIC
1977-07-06,6.67,CLIC
1977-07-07,5.07,CLIC
1977-07-08,6.38,CLIC
1977-07-09,5.56,CLIC
1977-07-10,9.1,CLIC
1977-07-11,5.34,CLIC
1977-07-12,6.39,CLIC
1977-07-13,4.64,CLIC
1977-07-14,6.16,CLIC
1977-07-15,6.23,CLIC
1977-07-16,8.81,CLIC
1977-07-17,5.67,CLIC
1977-07-18,3.38,CLIC
1977-07-19,3.91,CLIC
1977-07-20,5.41,CLIC
1977-07-21,5.4,CLIC
1977-07-22,6.16,CLIC
1977-07-23,6.76,CLIC
1977-07-24,7.38,CLIC
1977-07-25,8.68,CLIC
1977-07-26,11.86,CLIC
1977-07-27,5.39,CLIC
1977-07-28,8.63,CLIC
1977-07-29,7.2,CLIC
1977-07-30,7.44,CLIC
1977-07-31,7.11,CLIC
1977-08-01,6.21,CLIC
1977-08-02,8.18,CLIC
1977-08-03,7.34,CLIC
1977-08-04,6.2,CLIC
1977-08-05,9.78,CLIC
1977-08-06,4.91,CLIC
1977-08-07,8.31,CLIC
1977-08-08,7.05,CLIC
1977-08-09,6.37,CLIC
1977-08-10,5.97,CLIC
1977-08-11,9.58,CLIC
1977-08-12,4.83,CLIC
1977-08-13,4.43,CLIC
1977-08-14,6.31,CLIC
1977-08-15,7.15,CLIC
1977-08-16,3.87,CLIC
1977-08-17,6.98,CLIC
1977-08-18,4.18,CLIC
1977-08-19,7.34,CLIC
1977-08-20,7.27,CLIC
