Estación: ,C19083,EJIDO ACUÑA. DR. ARROYO
1974-10-06,3.5,CLIC
1974-10-07,4.3,CLIC
1974-10-08,4.4,CLIC
1974-10-09,4.8,CLIC
1974-10-10,5.5,CLIC
1974-10-11,4.6,CLIC
1974-10-12,5.4,CLIC
1974-10-13,4.6,CLIC
1974-10-14,5.5,CLIC
1974-10-15,5.1,CLIC
1974-10-16,5.1,CLIC
1974-10-17,8.6,CLIC
1974-10-18,6.5,CLIC
1974-10-19,4.8,CLIC
1974-10-20,5,CLIC
1974-10-21,5.1,CLIC
1974-10-22,5.9,CLIC
1974-10-23,4.4,CLIC
1974-10-24,4.6,CLIC
1974-10-25,4.5,CLIC
1974-10-26,5.6,CLIC
1974-10-27,4.3,CLIC
1974-10-28,5.2,CLIC
1974-10-29,5.4,CLIC
1974-10-30,4.9,CLIC
1974-10-31,4.2,CLIC
1974-11-01,4.1,CLIC
1974-11-02,8.1,CLIC
1974-11-03,5.1,CLIC
1974-11-04,4.1,CLIC
1974-11-05,5.1,CLIC
1974-11-06,7,CLIC
1974-11-07,5.1,CLIC
1974-11-08,8.1,CLIC
1974-11-09,6.1,CLIC
1974-11-10,5.1,CLIC
1974-11-11,5.1,CLIC
1974-11-12,4.9,CLIC
1974-11-13,1.4,CLIC
1974-11-14,3.4,CLIC
1974-11-15,4.9,CLIC
1974-11-16,3,CLIC
1974-11-17,5.8,CLIC
1974-11-18,4.5,CLIC
1974-11-19,5.5,CLIC
1974-11-20,6.1,CLIC
1974-11-21,2.8,CLIC
1974-11-22,4.4,CLIC
1974-11-23,3.3,CLIC
1974-11-24,3.1,CLIC
1974-11-25,5.7,CLIC
1974-11-26,2.1,CLIC
1974-11-27,4,CLIC
1974-11-28,5.4,CLIC
1974-11-29,5.2,CLIC
1974-11-30,4.3,CLIC
1974-12-01,1.3,CLIC
1974-12-02,1.7,CLIC
1974-12-03,1.9,CLIC
1974-12-04,2.4,CLIC
1974-12-05,3,CLIC
1974-12-06,6.1,CLIC
1974-12-07,4.6,CLIC
1974-12-08,4.9,CLIC
1974-12-09,2.4,CLIC
1974-12-10,3.4,CLIC
1974-12-11,5.8,CLIC
1974-12-12,3.1,CLIC
1974-12-13,2.2,CLIC
1974-12-14,1.1,CLIC
1974-12-15,2.3,CLIC
1974-12-16,2.6,CLIC
1974-12-17,5.2,CLIC
1974-12-18,2.7,CLIC
1974-12-19,2.6,CLIC
1974-12-20,2.9,CLIC
1974-12-21,2.4,CLIC
1974-12-22,2.5,CLIC
1974-12-23,3.3,CLIC
1974-12-24,4.3,CLIC
1974-12-25,3.5,CLIC
1974-12-26,2.8,CLIC
1974-12-27,2.5,CLIC
1974-12-28,2.3,CLIC
1974-12-29,4.7,CLIC
1974-12-30,7.8,CLIC
1974-12-31,5.7,CLIC
1975-01-01,6,CLIC
1975-01-02,2,CLIC
1975-01-03,4,CLIC
1975-01-04,4.4,CLIC
1975-01-05,3.9,CLIC
1975-01-06,5.5,CLIC
1975-01-07,5,CLIC
1975-01-08,6.3,CLIC
1975-01-09,5.5,CLIC
1975-01-10,4.2,CLIC
1975-01-11,4.3,CLIC
1975-01-12,5.7,CLIC
1975-01-13,4.4,CLIC
1975-01-14,4.1,CLIC
1975-01-15,5,CLIC
1975-01-16,2.4,CLIC
1975-01-17,5.2,CLIC
1975-01-18,3.9,CLIC
1975-01-19,4.6,CLIC
1975-01-20,4,CLIC
1975-01-21,2.8,CLIC
1975-01-22,3,CLIC
1975-01-23,4,CLIC
1975-01-24,3,CLIC
1975-01-25,3,CLIC
1975-01-26,2.9,CLIC
1975-01-27,3.8,CLIC
1975-01-28,4.4,CLIC
1975-01-29,3.6,CLIC
1975-01-30,2.3,CLIC
1975-01-31,2.4,CLIC
1975-02-01,5.8,CLIC
1975-02-02,4.7,CLIC
1975-02-03,4.1,CLIC
1975-02-04,4.9,CLIC
1975-02-05,4.6,CLIC
1975-02-06,5.3,CLIC
1975-02-07,4.4,CLIC
1975-02-08,5.4,CLIC
1975-02-09,4.3,CLIC
1975-02-10,4.5,CLIC
1975-02-11,3.7,CLIC
1975-02-12,6.2,CLIC
1975-02-13,5.6,CLIC
1975-02-14,4.3,CLIC
1975-02-15,5.1,CLIC
1975-02-16,3.5,CLIC
1975-02-17,4.3,CLIC
1975-02-18,4.9,CLIC
1975-02-19,4.3,CLIC
1975-02-20,3.8,CLIC
1975-02-21,3.2,CLIC
1975-02-22,6.1,CLIC
1975-02-23,5.2,CLIC
1975-02-24,7.9,CLIC
1975-02-25,6.2,CLIC
1975-02-26,7.8,CLIC
1975-02-27,6,CLIC
1975-02-28,2.8,CLIC
1975-03-01,5.4,CLIC
1975-03-02,8.8,CLIC
1975-03-03,7.3,CLIC
1975-03-04,5.1,CLIC
1975-03-05,7.4,CLIC
1975-03-06,7.7,CLIC
1975-03-07,8,CLIC
1975-03-08,5.7,CLIC
1975-03-09,9.4,CLIC
1975-03-10,5.9,CLIC
1975-03-11,4,CLIC
1975-03-12,5.1,CLIC
1975-03-13,8.1,CLIC
1975-03-14,8.4,CLIC
1975-03-15,7.3,CLIC
1975-03-16,9.1,CLIC
1975-03-17,9,CLIC
1975-03-18,8.5,CLIC
1975-03-19,8.8,CLIC
1975-03-20,9.5,CLIC
1975-03-21,9.4,CLIC
1975-03-22,10.7,CLIC
1975-03-23,9.7,CLIC
1975-03-24,10.8,CLIC
1975-03-25,12.6,CLIC
1975-03-26,5.9,CLIC
1975-03-27,5.8,CLIC
1975-03-28,11.7,CLIC
1975-03-29,10.8,CLIC
1975-03-30,12.7,CLIC
1975-03-31,10.1,CLIC
1975-04-01,10.9,CLIC
1975-04-02,8.2,CLIC
1975-04-03,5.2,CLIC
1975-04-04,10.1,CLIC
1975-04-05,7.6,CLIC
1975-04-06,9.1,CLIC
1975-04-07,8.6,CLIC
1975-04-08,12,CLIC
1975-04-09,9.7,CLIC
1975-04-10,8.6,CLIC
1975-04-11,12.6,CLIC
1975-04-12,9.8,CLIC
1975-04-13,10.1,CLIC
1975-04-14,13.8,CLIC
1975-04-15,12.7,CLIC
1975-04-16,10.8,CLIC
1975-04-17,13.2,CLIC
1975-04-18,11.5,CLIC
1975-04-19,11.5,CLIC
1975-04-20,10.7,CLIC
1975-04-21,7.8,CLIC
1975-04-22,9.5,CLIC
1975-04-23,9.5,CLIC
1975-04-24,7.6,CLIC
1975-04-25,11.2,CLIC
1975-04-26,9.4,CLIC
1975-04-27,9,CLIC
1975-04-28,7.9,CLIC
1975-04-29,8.3,CLIC
1975-04-30,7.1,CLIC
1975-05-01,8.8,CLIC
1975-05-02,7.3,CLIC
1975-05-03,10.8,CLIC
1975-05-04,11.9,CLIC
1975-05-05,11.9,CLIC
1975-05-06,10.6,CLIC
1975-05-07,12,CLIC
1975-05-08,12.6,CLIC
1975-05-09,10.7,CLIC
1975-05-10,9.7,CLIC
1975-05-12,8.6,CLIC
1975-05-13,7.8,CLIC
1975-05-14,9.9,CLIC
1975-05-15,9,CLIC
1975-05-16,10.7,CLIC
1975-05-18,10.6,CLIC
1975-05-19,8.6,CLIC
1975-05-21,9.6,CLIC
1975-05-22,10.5,CLIC
1975-05-23,9.7,CLIC
1975-05-25,10.1,CLIC
1975-05-26,8.5,CLIC
1975-05-27,8.9,CLIC
1975-05-28,9.4,CLIC
1975-05-29,11.4,CLIC
1975-05-30,10.9,CLIC
1975-05-31,9.8,CLIC
1975-06-01,5.1,CLIC
1975-06-02,6.9,CLIC
1975-06-03,2.9,CLIC
1975-06-04,1.3,CLIC
1975-06-05,6.3,CLIC
1975-06-06,3.1,CLIC
1975-06-07,1.2,CLIC
1975-06-08,2.2,CLIC
1975-06-09,8.6,CLIC
1975-06-10,4.1,CLIC
1975-06-11,4.3,CLIC
1975-06-12,5.2,CLIC
1975-06-13,6.5,CLIC
1975-06-14,4.6,CLIC
1975-06-15,6.1,CLIC
1975-06-16,10.3,CLIC
1975-06-17,8.6,CLIC
1975-06-18,9.5,CLIC
1975-06-19,12.1,CLIC
1975-06-20,3.7,CLIC
1975-06-21,4.5,CLIC
1975-06-22,5,CLIC
1975-06-23,5.9,CLIC
1975-06-24,4.2,CLIC
1975-06-25,3.3,CLIC
1975-06-26,6.8,CLIC
1975-06-27,3.9,CLIC
1975-06-28,4.7,CLIC
1975-06-29,8.8,CLIC
1975-06-30,9.5,CLIC
1975-07-01,8,CLIC
1975-07-02,4.2,CLIC
1975-07-03,4.9,CLIC
1975-07-04,5.2,CLIC
1975-07-05,8.4,CLIC
1975-07-06,10,CLIC
1975-07-07,6.4,CLIC
1975-07-08,6.1,CLIC
1975-07-09,6.5,CLIC
1975-07-10,6.2,CLIC
1975-07-11,7,CLIC
1975-07-12,4.8,CLIC
1975-07-13,1.4,CLIC
1975-07-14,0.9,CLIC
1975-07-15,0.8,CLIC
1975-07-16,4.3,CLIC
1975-07-17,9.6,CLIC
1975-07-18,6.7,CLIC
1975-07-19,5.4,CLIC
1975-07-20,5.5,CLIC
1975-07-21,7.7,CLIC
1975-07-22,6.3,CLIC
1975-07-23,4.6,CLIC
1975-07-24,4.5,CLIC
1975-07-25,6,CLIC
1975-07-26,7.5,CLIC
1975-07-27,6,CLIC
1975-07-28,6.9,CLIC
1975-07-29,6.1,CLIC
1975-07-30,6.8,CLIC
1975-07-31,10.6,CLIC
1975-08-01,8.9,CLIC
1975-08-02,3.2,CLIC
1975-08-03,7.2,CLIC
1975-08-04,9.7,CLIC
1975-08-05,9.2,CLIC
1975-08-06,5.3,CLIC
1975-08-07,4.3,CLIC
1975-08-08,1.3,CLIC
1975-08-09,0.9,CLIC
1975-08-10,2.9,CLIC
1975-08-11,6.7,CLIC
1975-08-12,3.3,CLIC
1975-08-13,7.9,CLIC
1975-08-14,7.6,CLIC
1975-08-15,4.2,CLIC
1975-08-16,7.1,CLIC
1975-08-17,6.9,CLIC
1975-08-18,6.8,CLIC
1975-08-19,1,CLIC
1975-08-20,5.9,CLIC
1975-08-21,8.4,CLIC
1975-08-22,5.6,CLIC
1975-08-23,2.1,CLIC
1975-08-24,6.2,CLIC
1975-08-25,5,CLIC
1975-08-26,8.6,CLIC
1975-08-27,4.1,CLIC
1975-08-28,6.2,CLIC
1975-08-29,5.3,CLIC
1975-08-30,7.4,CLIC
1975-08-31,8.1,CLIC
1975-09-01,3,CLIC
1975-09-02,5.8,CLIC
1975-09-03,5.7,CLIC
1975-09-04,4.1,CLIC
1975-09-05,3.8,CLIC
1975-09-06,5.7,CLIC
1975-09-07,7.6,CLIC
1975-09-08,5.9,CLIC
1975-09-09,4.4,CLIC
1975-09-10,2.7,CLIC
1975-09-11,2.4,CLIC
1975-09-12,5.7,CLIC
1975-09-13,7.2,CLIC
1975-09-14,7,CLIC
1975-09-15,7.4,CLIC
1975-09-16,4.3,CLIC
1975-09-17,7.1,CLIC
1975-09-18,6.6,CLIC
1975-09-19,6.7,CLIC
1975-09-20,6.9,CLIC
1975-09-21,8.9,CLIC
1975-09-22,6.3,CLIC
1975-09-23,4.8,CLIC
1975-09-24,5.2,CLIC
1975-09-25,8.1,CLIC
1975-09-26,5.3,CLIC
1975-09-27,4.5,CLIC
1975-09-28,5.5,CLIC
1975-09-29,7.1,CLIC
1975-09-30,7.4,CLIC
1975-11-01,4,CLIC
1975-11-02,4.4,CLIC
1975-11-03,5.6,CLIC
1975-11-04,4.1,CLIC
1975-11-05,3.8,CLIC
1975-11-06,2.3,CLIC
1975-11-07,6.2,CLIC
1975-11-08,6,CLIC
1975-11-09,5.9,CLIC
1975-11-10,5.5,CLIC
1975-11-11,6.4,CLIC
1975-11-12,4.8,CLIC
1975-11-13,4.7,CLIC
1975-11-14,3.7,CLIC
1975-11-15,3.3,CLIC
1975-11-16,3.3,CLIC
1975-11-17,2.6,CLIC
1975-11-18,3,CLIC
1975-11-19,6.3,CLIC
1975-11-20,2.1,CLIC
1975-11-21,4.9,CLIC
1975-11-22,5.7,CLIC
1975-11-23,4.5,CLIC
1975-11-24,5.4,CLIC
1975-11-25,2,CLIC
1975-11-26,4,CLIC
1975-11-27,4.1,CLIC
1975-11-28,6.1,CLIC
1975-11-29,6.3,CLIC
1975-11-30,4.9,CLIC
1975-12-01,4.1,CLIC
1975-12-02,4.2,CLIC
1975-12-03,3.1,CLIC
1975-12-04,3.8,CLIC
1975-12-05,4.4,CLIC
1975-12-06,4.1,CLIC
1975-12-07,3,CLIC
1975-12-08,2.5,CLIC
1975-12-09,2.2,CLIC
1975-12-10,3.1,CLIC
1975-12-11,1.3,CLIC
1975-12-12,4.1,CLIC
1975-12-13,1.9,CLIC
1975-12-14,3.9,CLIC
1975-12-15,3.3,CLIC
1975-12-16,3.7,CLIC
1975-12-17,4.2,CLIC
1975-12-18,1.2,CLIC
1975-12-19,1.4,CLIC
1975-12-20,2.9,CLIC
1975-12-21,2.1,CLIC
1975-12-22,3.7,CLIC
1975-12-23,5,CLIC
1975-12-24,5.4,CLIC
1975-12-25,5.1,CLIC
1975-12-26,4.9,CLIC
1975-12-27,4.5,CLIC
1975-12-28,2.8,CLIC
1975-12-29,5.1,CLIC
1975-12-30,5.1,CLIC
1975-12-31,0.4,CLIC
1976-01-01,2.8,CLIC
1976-01-02,3,CLIC
1976-01-03,5.3,CLIC
1976-01-04,4.1,CLIC
1976-01-05,3.1,CLIC
1976-01-06,2.4,CLIC
1976-01-07,4.1,CLIC
1976-01-08,3.9,CLIC
1976-01-09,2.9,CLIC
1976-01-10,3.6,CLIC
1976-01-11,3.2,CLIC
1976-01-12,4.5,CLIC
1976-01-13,2.5,CLIC
1976-01-14,2.3,CLIC
1976-01-15,4.3,CLIC
1976-01-16,5.9,CLIC
1976-01-17,2.6,CLIC
1976-01-18,4.9,CLIC
1976-01-19,2,CLIC
1976-01-20,3.8,CLIC
1976-01-21,3.2,CLIC
1976-01-22,1.3,CLIC
1976-01-23,2.7,CLIC
1976-01-24,2.4,CLIC
1976-01-25,6.4,CLIC
1976-01-26,6.2,CLIC
1976-01-27,7.2,CLIC
1976-01-28,2.5,CLIC
1976-01-29,2.9,CLIC
1976-01-30,3.3,CLIC
1976-01-31,3.1,CLIC
1976-02-01,3.4,CLIC
1976-02-02,2.8,CLIC
1976-02-03,3,CLIC
1976-02-04,4.8,CLIC
1976-02-05,5.1,CLIC
1976-02-06,4.4,CLIC
1976-02-07,5.2,CLIC
1976-02-08,4.8,CLIC
1976-02-09,4.3,CLIC
1976-02-10,5.6,CLIC
1976-02-11,6.2,CLIC
1976-02-12,8.5,CLIC
1976-02-13,3.7,CLIC
1976-02-14,3.6,CLIC
1976-02-15,3.9,CLIC
1976-02-16,5.3,CLIC
1976-02-17,6.6,CLIC
1976-02-18,8.8,CLIC
1976-02-19,7.6,CLIC
1976-02-20,5.8,CLIC
1976-02-21,8.3,CLIC
1976-02-22,9.7,CLIC
1976-02-23,4.9,CLIC
1976-02-24,4.8,CLIC
1976-02-25,5,CLIC
1976-02-26,4.9,CLIC
1976-02-27,3.8,CLIC
1976-02-28,3.1,CLIC
1976-02-29,3.7,CLIC
1976-03-01,2.3,CLIC
1976-03-02,2,CLIC
1976-03-03,4.2,CLIC
1976-03-04,7.6,CLIC
1976-03-05,7.4,CLIC
1976-03-06,9.7,CLIC
1976-03-07,6.7,CLIC
1976-03-08,3.5,CLIC
1976-03-09,7.2,CLIC
1976-03-10,3,CLIC
1976-03-11,7.8,CLIC
1976-03-12,7,CLIC
1976-03-13,9,CLIC
1976-03-14,7.9,CLIC
1976-03-15,8.8,CLIC
1976-03-16,7.4,CLIC
1976-03-17,7.4,CLIC
1976-03-18,7.6,CLIC
1976-03-19,5.9,CLIC
1976-03-20,5.1,CLIC
1976-03-21,9.5,CLIC
1976-03-22,6.7,CLIC
1976-03-23,7.9,CLIC
1976-03-24,6.5,CLIC
1976-03-25,8.1,CLIC
1976-03-26,1,CLIC
1976-03-27,8,CLIC
1976-03-28,3.9,CLIC
1976-03-29,9.4,CLIC
1976-03-30,4.4,CLIC
1976-03-31,4.3,CLIC
1976-04-01,5.1,CLIC
1976-04-02,2.6,CLIC
1976-04-03,3.9,CLIC
1976-04-04,6.8,CLIC
1976-04-05,6.2,CLIC
1976-04-06,6.6,CLIC
1976-04-07,6.2,CLIC
1976-04-08,9,CLIC
1976-04-09,7.8,CLIC
1976-04-10,6.9,CLIC
1976-04-11,7.8,CLIC
1976-04-12,6.1,CLIC
1976-04-13,4.9,CLIC
1976-04-14,8.8,CLIC
1976-04-15,9.1,CLIC
1976-04-16,3.1,CLIC
1976-04-17,9.1,CLIC
1976-04-18,11.3,CLIC
1976-04-19,9.7,CLIC
1976-04-20,7.5,CLIC
1976-04-21,9.8,CLIC
1976-04-22,7.7,CLIC
1976-04-23,4.9,CLIC
1976-04-24,5.3,CLIC
1976-04-25,9.7,CLIC
1976-04-26,6.9,CLIC
1976-04-27,8.1,CLIC
1976-04-28,8,CLIC
1976-04-29,7.4,CLIC
1976-04-30,4.9,CLIC
1976-05-01,5.2,CLIC
1976-05-02,4.9,CLIC
1976-05-03,6.7,CLIC
1976-05-04,3.5,CLIC
1976-05-05,5.5,CLIC
1976-05-06,11.1,CLIC
1976-05-07,10.9,CLIC
1976-05-08,3,CLIC
1976-05-09,3.4,CLIC
1976-05-10,3.1,CLIC
1976-05-11,2.9,CLIC
1976-05-12,3.4,CLIC
1976-05-13,4.9,CLIC
1976-05-14,4.8,CLIC
1976-05-15,6.9,CLIC
1976-05-16,7.6,CLIC
1976-05-17,3.9,CLIC
1976-05-19,3.7,CLIC
1976-05-20,4.2,CLIC
1976-05-21,3.1,CLIC
1976-05-22,10,CLIC
1976-05-23,6.4,CLIC
1976-05-24,8.1,CLIC
1976-05-25,9,CLIC
1976-05-26,7,CLIC
1976-05-27,9.2,CLIC
1976-05-28,5.1,CLIC
1976-05-29,3.7,CLIC
1976-05-30,6.5,CLIC
1976-05-31,2.3,CLIC
1976-06-01,7,CLIC
1976-06-02,5,CLIC
1976-06-03,6,CLIC
1976-06-04,7.7,CLIC
1976-06-05,9.6,CLIC
1976-06-06,8.7,CLIC
1976-06-07,8.8,CLIC
1976-06-08,9.1,CLIC
1976-06-09,5.9,CLIC
1976-06-10,5,CLIC
1976-06-11,6.3,CLIC
1976-06-12,8.8,CLIC
1976-06-13,9.6,CLIC
1976-06-14,10.5,CLIC
1976-06-15,10.4,CLIC
1976-06-16,6.8,CLIC
1976-06-17,5.8,CLIC
1976-06-18,6,CLIC
1976-06-19,7.1,CLIC
1976-06-20,8.1,CLIC
1976-06-21,8.5,CLIC
1976-06-22,9.1,CLIC
1976-06-23,9.9,CLIC
1976-06-24,8.5,CLIC
1976-06-25,6.1,CLIC
1976-06-26,6.2,CLIC
1976-06-27,7.8,CLIC
1976-06-28,6.3,CLIC
1976-06-29,5.2,CLIC
1976-06-30,7.1,CLIC
1976-07-01,3.2,CLIC
1976-07-02,5.8,CLIC
1976-07-03,3.4,CLIC
1976-07-07,3.1,CLIC
1976-07-08,0.9,CLIC
1976-07-09,2.1,CLIC
1976-07-10,1.3,CLIC
1976-07-11,0.6,CLIC
1976-07-12,2,CLIC
1976-07-13,1,CLIC
1976-07-15,2.6,CLIC
1976-07-16,2.9,CLIC
1976-07-17,7.1,CLIC
1976-07-18,8.7,CLIC
1976-07-19,9.6,CLIC
1976-07-20,6.2,CLIC
1976-07-21,3.4,CLIC
1976-07-22,8.9,CLIC
1976-07-23,4.7,CLIC
1976-07-25,5.1,CLIC
1976-07-26,4,CLIC
1976-07-27,0.3,CLIC
1976-07-28,8.8,CLIC
1976-07-29,8.1,CLIC
1976-07-30,5.4,CLIC
1976-07-31,6.2,CLIC
1976-08-01,7.2,CLIC
1976-08-02,6.3,CLIC
1976-08-03,8.6,CLIC
1976-08-04,4.9,CLIC
1976-08-05,3.9,CLIC
1976-08-06,5.5,CLIC
1976-08-07,6.1,CLIC
1976-08-08,6.4,CLIC
1976-08-09,5.3,CLIC
1976-08-10,9.7,CLIC
1976-08-11,9.6,CLIC
1976-08-12,5.3,CLIC
1976-08-13,7.4,CLIC
1976-08-14,6.2,CLIC
1976-08-15,2.6,CLIC
1976-08-16,9.8,CLIC
1976-08-17,5.4,CLIC
1976-08-18,4.7,CLIC
1976-08-19,5.4,CLIC
1976-08-20,5.6,CLIC
1976-08-21,7,CLIC
1976-08-22,8.6,CLIC
1976-08-23,4.5,CLIC
1976-08-24,4.6,CLIC
1976-08-25,3.7,CLIC
1976-08-26,7.7,CLIC
1976-08-27,5.8,CLIC
1976-08-28,5.3,CLIC
1976-08-29,4.6,CLIC
1976-08-30,4.3,CLIC
1976-08-31,3.9,CLIC
1976-09-01,4.2,CLIC
1976-09-02,4.6,CLIC
1976-09-03,3.3,CLIC
1976-09-04,4.8,CLIC
1976-09-05,5.7,CLIC
1976-09-06,8.6,CLIC
1976-09-07,5.5,CLIC
1976-09-08,5.4,CLIC
1976-09-09,5.2,CLIC
1976-09-10,3.6,CLIC
1976-09-11,4.6,CLIC
1976-09-12,5,CLIC
1976-09-13,5.9,CLIC
1976-09-14,3.5,CLIC
1976-09-15,4.7,CLIC
1976-09-16,3,CLIC
1976-09-17,1.7,CLIC
1976-09-18,3.1,CLIC
1976-09-19,2.5,CLIC
1976-09-21,0.6,CLIC
1976-09-22,0.9,CLIC
1976-09-23,2.3,CLIC
1976-09-24,4.9,CLIC
1976-09-25,3.1,CLIC
1976-09-26,2.7,CLIC
1976-09-28,2.7,CLIC
1976-09-29,2.2,CLIC
1976-09-30,2.6,CLIC
1976-10-01,1.8,CLIC
1976-10-02,3.1,CLIC
1976-10-03,5.3,CLIC
1976-10-04,2.5,CLIC
1976-10-05,4.7,CLIC
1976-10-06,2.2,CLIC
1976-10-07,1.7,CLIC
1976-10-08,1.3,CLIC
1976-10-09,0.9,CLIC
1976-10-10,2.4,CLIC
1976-10-11,3.4,CLIC
1976-10-12,2.4,CLIC
1976-10-13,3.7,CLIC
1976-10-14,3,CLIC
1976-10-15,4.2,CLIC
1976-10-16,3.4,CLIC
1976-10-17,1.7,CLIC
1976-10-18,1.1,CLIC
1976-10-19,4.3,CLIC
1976-10-20,4.7,CLIC
1976-10-21,3.8,CLIC
1976-10-22,2.8,CLIC
1976-10-23,1.8,CLIC
1976-10-24,2,CLIC
1976-10-25,2,CLIC
1976-10-26,0.6,CLIC
1976-10-27,2.6,CLIC
1976-10-28,5.4,CLIC
1976-10-29,3.6,CLIC
1976-10-30,4.6,CLIC
1976-10-31,4.9,CLIC
1976-11-01,2.9,CLIC
1976-11-02,3.4,CLIC
1976-11-03,2.8,CLIC
1976-11-04,4.2,CLIC
1976-11-05,2.5,CLIC
1976-11-06,3.2,CLIC
1976-11-07,4.1,CLIC
1976-11-08,4.1,CLIC
1976-11-09,2,CLIC
1976-11-10,1.1,CLIC
1976-11-11,7.9,CLIC
1976-11-12,3.3,CLIC
1976-11-13,2.8,CLIC
1976-11-14,3.8,CLIC
1976-11-15,5.3,CLIC
1976-11-16,3.8,CLIC
1976-11-17,1.1,CLIC
1976-11-18,0.6,CLIC
1976-11-19,0.1,CLIC
1976-11-20,1.6,CLIC
1976-11-21,2,CLIC
1976-11-22,0.9,CLIC
1976-11-23,3.8,CLIC
1976-11-24,2,CLIC
1976-11-25,1.1,CLIC
1976-11-26,1,CLIC
1976-11-27,1.4,CLIC
1976-11-28,0.8,CLIC
1976-11-29,1.9,CLIC
1976-11-30,2.8,CLIC
1976-12-01,2.3,CLIC
1976-12-02,1.8,CLIC
1976-12-03,2.4,CLIC
1976-12-04,0.6,CLIC
1976-12-05,3.2,CLIC
1976-12-06,3.6,CLIC
1976-12-07,2.7,CLIC
1976-12-08,1.4,CLIC
1976-12-09,1.1,CLIC
1976-12-10,0.7,CLIC
1976-12-11,1.6,CLIC
1976-12-12,2.8,CLIC
1976-12-13,1.2,CLIC
1976-12-14,2.3,CLIC
1976-12-15,1.6,CLIC
1976-12-16,1.8,CLIC
1976-12-17,0.6,CLIC
1976-12-18,2.2,CLIC
1976-12-19,2.4,CLIC
1976-12-20,2.5,CLIC
1976-12-21,1.7,CLIC
1976-12-22,1.1,CLIC
1976-12-23,0.3,CLIC
1976-12-24,0.5,CLIC
1976-12-25,0.1,CLIC
1976-12-27,1.1,CLIC
1976-12-28,0.3,CLIC
1976-12-29,0.8,CLIC
1976-12-30,3.1,CLIC
1976-12-31,3.4,CLIC
1977-01-01,2.3,CLIC
1977-01-02,2.1,CLIC
1977-01-03,1.1,CLIC
1977-01-04,2.8,CLIC
1977-01-05,3,CLIC
1977-01-06,3.4,CLIC
1977-01-07,3,CLIC
1977-01-08,3.5,CLIC
