Estación: ,C19261,LA CIENEGA
1997-11-03,1.64,CLIC
1997-11-04,3.49,CLIC
1997-11-05,5.14,CLIC
1997-11-06,1.88,CLIC
1997-11-07,2.21,CLIC
1997-11-08,0.36,CLIC
1997-11-09,1.74,CLIC
1997-11-10,0.74,CLIC
1997-11-11,0.44,CLIC
1997-11-12,0.18,CLIC
1997-11-13,0.72,CLIC
1997-11-14,2.85,CLIC
1997-11-15,1.92,CLIC
1997-11-16,0.53,CLIC
1997-11-17,0.94,CLIC
1997-11-18,0.36,CLIC
1997-11-19,1.44,CLIC
1997-11-20,0.45,CLIC
1997-11-21,0.7,CLIC
1997-11-22,0.81,CLIC
1997-11-23,2.2,CLIC
1997-11-24,1.71,CLIC
1997-11-25,0.57,CLIC
1997-11-26,2.76,CLIC
1997-11-27,1.87,CLIC
1997-11-28,2.34,CLIC
1997-11-29,3.65,CLIC
1997-11-30,3,CLIC
1997-12-01,3.96,CLIC
1997-12-02,0.42,CLIC
1997-12-03,2.4,CLIC
1997-12-04,2.35,CLIC
1997-12-05,0.49,CLIC
1997-12-06,0.72,CLIC
1997-12-07,0.68,CLIC
1997-12-08,0.58,CLIC
1997-12-09,3.02,CLIC
1997-12-10,1.98,CLIC
1997-12-11,2.48,CLIC
1997-12-12,0.13,CLIC
1997-12-13,0.37,CLIC
1997-12-14,4.49,CLIC
1997-12-15,2.43,CLIC
1997-12-16,1.05,CLIC
1997-12-17,1.05,CLIC
1997-12-18,3.48,CLIC
1997-12-19,2.02,CLIC
1997-12-20,1.28,CLIC
1997-12-21,1.86,CLIC
1997-12-22,1.89,CLIC
1997-12-23,2.1,CLIC
1997-12-24,2.17,CLIC
1997-12-25,1.88,CLIC
1997-12-26,1.42,CLIC
1997-12-27,2.4,CLIC
1997-12-28,2.05,CLIC
1997-12-29,1.86,CLIC
1997-12-30,2.16,CLIC
1997-12-31,2.87,CLIC
1998-01-01,0.15,CLIC
1998-01-02,2.96,CLIC
1998-01-03,1.89,CLIC
1998-01-04,0.51,CLIC
1998-01-05,3.45,CLIC
1998-01-06,2.97,CLIC
1998-01-07,3.03,CLIC
1998-01-08,2.81,CLIC
1998-01-09,3.02,CLIC
1998-01-10,2.32,CLIC
1998-01-11,2.04,CLIC
1998-01-12,1.98,CLIC
1998-01-13,1.12,CLIC
1998-01-14,2.61,CLIC
1998-01-15,2.35,CLIC
1998-01-16,2.01,CLIC
1998-01-17,2.04,CLIC
1998-01-18,3.6,CLIC
1998-01-19,3.15,CLIC
1998-01-20,2.96,CLIC
1998-01-21,2.92,CLIC
1998-01-22,3.37,CLIC
1998-01-23,3.43,CLIC
1998-01-24,2.42,CLIC
1998-01-25,1.8,CLIC
1998-01-26,3.9,CLIC
1998-01-27,3.85,CLIC
1998-01-28,2.85,CLIC
1998-01-29,3.92,CLIC
1998-01-30,2.18,CLIC
1998-01-31,4.03,CLIC
1998-02-01,4.15,CLIC
1998-02-02,4.63,CLIC
1998-02-03,4.39,CLIC
1998-02-04,2.08,CLIC
1998-02-05,6.61,CLIC
1998-02-06,1.46,CLIC
1998-02-07,4.59,CLIC
1998-02-08,2.37,CLIC
1998-02-09,6.74,CLIC
1998-02-10,6.61,CLIC
1998-02-11,5.26,CLIC
1998-02-12,2.09,CLIC
1998-02-13,0.81,CLIC
1998-02-14,2.98,CLIC
1998-02-15,2.47,CLIC
1998-02-16,1.83,CLIC
1998-02-17,4.51,CLIC
1998-02-18,6.73,CLIC
1998-02-19,4.2,CLIC
1998-02-20,1,CLIC
1998-02-21,1.62,CLIC
1998-02-22,1.38,CLIC
1998-02-23,4.6,CLIC
1998-02-24,5.21,CLIC
1998-02-25,5,CLIC
1998-02-26,7.68,CLIC
1998-02-27,3.33,CLIC
1998-02-28,5.98,CLIC
1998-03-01,2.59,CLIC
1998-03-02,1.49,CLIC
1998-03-03,1.17,CLIC
1998-03-04,1.55,CLIC
1998-03-05,0.8,CLIC
1998-03-06,0.45,CLIC
1998-03-07,6.83,CLIC
1998-03-08,5.9,CLIC
1998-03-09,4.52,CLIC
1998-03-10,5.27,CLIC
1998-03-11,0.23,CLIC
1998-03-12,0.85,CLIC
1998-03-13,0.48,CLIC
1998-03-14,1.33,CLIC
1998-03-15,1.64,CLIC
1998-03-16,3.5,CLIC
1998-03-17,5.5,CLIC
1998-03-18,4.2,CLIC
1998-03-19,5.8,CLIC
1998-03-20,4.78,CLIC
1998-03-21,5.06,CLIC
1998-03-22,5.84,CLIC
1998-03-23,9.1,CLIC
1998-03-24,5.89,CLIC
1998-03-25,5.77,CLIC
1998-03-26,5.18,CLIC
1998-03-27,6.01,CLIC
1998-03-28,5.16,CLIC
1998-03-29,6.02,CLIC
1998-03-30,8.02,CLIC
1998-03-31,7.95,CLIC
1998-04-01,5.88,CLIC
1998-04-02,5.21,CLIC
1998-04-03,7.5,CLIC
1998-04-04,4.19,CLIC
1998-04-05,5.02,CLIC
1998-04-06,5.69,CLIC
1998-04-07,6.51,CLIC
1998-04-08,10.44,CLIC
1998-04-09,6.05,CLIC
1998-04-10,8.26,CLIC
1998-04-11,6.33,CLIC
1998-04-12,7.5,CLIC
1998-04-13,8.2,CLIC
1998-04-14,4.5,CLIC
1998-04-15,7.64,CLIC
1998-04-16,8.06,CLIC
1998-04-17,2.7,CLIC
1998-04-18,4.56,CLIC
1998-04-19,7.4,CLIC
1998-04-20,5.24,CLIC
1998-04-21,1.5,CLIC
1998-04-22,2.74,CLIC
1998-04-23,6.06,CLIC
1998-04-24,7.96,CLIC
1998-04-25,7.85,CLIC
1998-04-26,7.92,CLIC
1998-04-27,4.43,CLIC
1998-04-28,0.88,CLIC
1998-04-29,3.8,CLIC
1998-04-30,5.82,CLIC
1998-05-01,6.78,CLIC
1998-05-02,9.46,CLIC
1998-05-03,9.9,CLIC
1998-05-04,4.48,CLIC
1998-05-05,9.25,CLIC
1998-05-06,10,CLIC
1998-05-07,8.9,CLIC
1998-05-08,8.99,CLIC
1998-05-09,9.61,CLIC
1998-05-10,9.52,CLIC
1998-05-11,10.86,CLIC
1998-05-12,7.15,CLIC
1998-05-13,6,CLIC
1998-05-14,6.72,CLIC
1998-05-15,8.1,CLIC
1998-05-16,5.69,CLIC
1998-05-17,7.3,CLIC
1998-05-18,4.39,CLIC
1998-05-19,12.58,CLIC
1998-05-20,3.72,CLIC
1998-05-21,8.8,CLIC
1998-05-22,10.34,CLIC
1998-05-23,6.16,CLIC
1998-05-24,7.78,CLIC
1998-05-25,3.92,CLIC
1998-05-26,3.31,CLIC
1998-05-27,7.02,CLIC
1998-05-28,8.67,CLIC
1998-05-29,9.3,CLIC
1998-05-30,8.01,CLIC
1998-05-31,9.07,CLIC
1998-06-01,10.45,CLIC
1998-06-02,7.66,CLIC
1998-06-03,9.03,CLIC
1998-06-04,5.39,CLIC
1998-06-05,6.42,CLIC
1998-06-06,3.15,CLIC
1998-06-07,2.78,CLIC
1998-06-08,4.17,CLIC
1998-06-09,4.9,CLIC
1998-06-10,6.92,CLIC
1998-06-11,3.23,CLIC
1998-06-12,8.35,CLIC
1998-06-13,7.7,CLIC
1998-06-14,8.9,CLIC
1998-06-15,5.53,CLIC
1998-06-16,7.11,CLIC
1998-06-17,8.74,CLIC
1998-06-18,7.77,CLIC
1998-06-19,8.13,CLIC
1998-06-20,7.17,CLIC
1998-06-21,10.54,CLIC
1998-06-22,8.07,CLIC
1998-06-23,8.32,CLIC
1998-06-24,8.2,CLIC
1998-06-25,8.09,CLIC
1998-06-26,7.77,CLIC
1998-06-27,7.03,CLIC
1998-06-28,5.2,CLIC
1998-06-29,7.88,CLIC
1998-06-30,2.82,CLIC
1998-07-01,7.1,CLIC
1998-07-02,7.26,CLIC
1998-07-03,4.48,CLIC
1998-07-04,4.21,CLIC
1998-07-05,8.7,CLIC
1998-07-06,8.25,CLIC
1998-07-07,9.19,CLIC
1998-07-08,7.68,CLIC
1998-07-09,8.85,CLIC
1998-07-10,11.11,CLIC
1998-07-11,7.44,CLIC
1998-07-12,9,CLIC
1998-07-13,10.22,CLIC
1998-07-14,6.7,CLIC
1998-07-15,3.8,CLIC
1998-07-16,7.29,CLIC
1998-07-17,7.77,CLIC
1998-07-18,9.04,CLIC
1998-07-19,8.06,CLIC
1998-07-20,6.57,CLIC
1998-07-21,8.56,CLIC
1998-07-22,10,CLIC
1998-07-23,10,CLIC
1998-07-24,10.28,CLIC
1998-07-25,10,CLIC
1998-07-26,8.01,CLIC
1998-07-27,9.79,CLIC
1998-07-28,8.31,CLIC
1998-07-29,9.09,CLIC
1998-07-30,10.81,CLIC
1998-07-31,11.88,CLIC
1998-08-01,8.78,CLIC
1998-08-02,11.22,CLIC
1998-08-03,8.9,CLIC
1998-08-04,8.7,CLIC
1998-08-05,11.19,CLIC
1998-08-06,7.54,CLIC
1998-08-07,8.67,CLIC
1998-08-08,9.7,CLIC
1998-08-09,8.04,CLIC
1998-08-10,9.73,CLIC
1998-08-11,7.84,CLIC
1998-08-12,9.09,CLIC
1998-08-13,8.13,CLIC
1998-08-14,3.49,CLIC
1998-08-15,4.39,CLIC
1998-08-16,5.41,CLIC
1998-08-17,0.71,CLIC
1998-08-18,1.91,CLIC
1998-08-19,1.14,CLIC
1998-08-20,1.93,CLIC
1998-08-21,3.93,CLIC
1998-08-22,8.36,CLIC
1998-08-23,2.4,CLIC
1998-08-24,4.85,CLIC
1998-08-25,3.9,CLIC
1998-08-26,1.1,CLIC
1998-08-27,1.75,CLIC
1998-08-28,1.14,CLIC
1998-08-29,1.44,CLIC
1998-08-30,0.61,CLIC
1998-08-31,6,CLIC
1998-09-01,3.41,CLIC
1998-09-02,3.83,CLIC
1998-09-03,3.27,CLIC
1998-09-04,6.78,CLIC
1998-09-05,4.74,CLIC
1998-09-06,4.19,CLIC
1998-09-07,2.85,CLIC
1998-09-08,2.67,CLIC
1998-09-09,1.42,CLIC
1998-09-10,5.25,CLIC
1998-09-11,5.64,CLIC
1998-09-12,4.82,CLIC
1998-09-13,5.22,CLIC
1998-09-14,4.32,CLIC
1998-09-15,0.8,CLIC
1998-09-16,1,CLIC
1998-09-17,0,CLIC
1998-09-18,1.04,CLIC
1998-09-19,4.84,CLIC
1998-09-20,4.12,CLIC
1998-09-21,3.88,CLIC
1998-09-22,4.65,CLIC
1998-09-23,1.49,CLIC
1998-09-24,3.11,CLIC
1998-09-25,0.73,CLIC
1998-09-26,0.89,CLIC
1998-09-27,3.28,CLIC
1998-09-28,2.6,CLIC
1998-09-29,3.96,CLIC
1998-09-30,3.44,CLIC
1998-10-01,4.51,CLIC
1998-10-02,3.32,CLIC
1998-10-03,2.97,CLIC
1998-10-04,2.69,CLIC
1998-10-05,2.83,CLIC
1998-10-06,1.99,CLIC
1998-10-07,3.18,CLIC
1998-10-08,3.71,CLIC
1998-10-09,3.38,CLIC
1998-10-10,4.76,CLIC
1998-10-11,2.56,CLIC
1998-10-12,1.6,CLIC
1998-10-13,0.58,CLIC
1998-10-14,2.72,CLIC
1998-10-15,1.72,CLIC
1998-10-16,0.5,CLIC
1998-10-17,2.68,CLIC
1998-10-18,0,CLIC
1998-10-19,0.54,CLIC
1998-10-20,0.3,CLIC
1998-10-21,0.2,CLIC
1998-10-22,0.44,CLIC
1998-10-23,0.92,CLIC
1998-10-24,1.72,CLIC
1998-10-25,1.22,CLIC
1998-10-26,1.24,CLIC
1998-10-27,2.42,CLIC
1998-10-28,1.4,CLIC
1998-10-29,2.42,CLIC
1998-10-30,1.98,CLIC
1998-10-31,2,CLIC
1998-11-01,2.6,CLIC
1998-11-02,2,CLIC
1998-11-03,4.25,CLIC
1998-11-08,0.2,CLIC
1998-11-09,2.34,CLIC
1998-11-10,3.98,CLIC
1998-11-11,1.28,CLIC
1998-11-12,0.62,CLIC
1998-11-13,1.78,CLIC
1998-11-14,0.49,CLIC
1998-11-15,0.91,CLIC
1998-11-16,0.6,CLIC
1998-11-17,1.13,CLIC
1998-11-18,1.07,CLIC
1998-11-19,0.6,CLIC
1998-11-20,1.1,CLIC
1998-11-21,0.3,CLIC
1998-11-22,1.4,CLIC
1998-11-23,1.07,CLIC
1998-11-24,1.03,CLIC
1998-11-25,0.89,CLIC
1998-11-26,1.04,CLIC
1998-11-27,0.27,CLIC
1998-11-28,0.4,CLIC
1998-11-29,0.6,CLIC
1998-11-30,0.29,CLIC
1998-12-01,2.21,CLIC
1998-12-02,0.7,CLIC
1998-12-03,2.62,CLIC
1998-12-04,0.38,CLIC
1998-12-05,1.8,CLIC
1998-12-06,1.6,CLIC
1998-12-07,3.29,CLIC
1998-12-08,2.2,CLIC
1998-12-09,3.58,CLIC
1998-12-10,0.43,CLIC
1998-12-11,1.94,CLIC
1998-12-12,2.75,CLIC
1998-12-13,2.07,CLIC
1998-12-14,2.14,CLIC
1998-12-15,1.56,CLIC
1998-12-16,1.54,CLIC
1998-12-17,1.43,CLIC
1998-12-18,0.67,CLIC
1998-12-19,2.05,CLIC
1998-12-20,3.35,CLIC
1998-12-21,0.83,CLIC
1998-12-22,0.67,CLIC
1998-12-23,0.58,CLIC
1998-12-24,0.52,CLIC
1998-12-25,0.57,CLIC
1998-12-26,0.41,CLIC
1998-12-27,1.79,CLIC
1998-12-28,1.27,CLIC
1998-12-29,4.53,CLIC
1998-12-30,2.08,CLIC
1998-12-31,2.07,CLIC
2000-01-01,2.47,CLIC
2000-01-02,2.91,CLIC
2000-01-03,5.96,CLIC
2000-01-04,4.04,CLIC
2000-01-05,2.75,CLIC
2000-01-06,1.54,CLIC
2000-01-07,2.47,CLIC
2000-01-08,1.15,CLIC
2000-01-09,2.95,CLIC
2000-01-10,1.36,CLIC
2000-01-11,4.55,CLIC
2000-01-12,2.43,CLIC
2000-01-13,0.65,CLIC
2000-01-14,0.48,CLIC
2000-01-15,0.27,CLIC
2000-01-16,1.68,CLIC
2000-01-17,1.15,CLIC
2000-01-18,3.54,CLIC
2000-01-19,4.18,CLIC
2000-01-20,3.83,CLIC
2000-01-21,3.23,CLIC
2000-01-22,1.34,CLIC
2000-01-23,2.46,CLIC
2000-01-24,2.57,CLIC
2000-01-25,3.77,CLIC
2000-01-26,2.03,CLIC
2000-01-27,2.27,CLIC
2000-01-28,3.69,CLIC
2000-01-29,0.91,CLIC
2000-01-30,0.87,CLIC
2000-01-31,1.53,CLIC
2000-02-01,0.5,CLIC
2000-02-02,0.5,CLIC
2000-02-03,1,CLIC
2000-02-04,2.8,CLIC
2000-02-05,3.75,CLIC
2000-02-06,3.45,CLIC
2000-02-07,1.11,CLIC
2000-02-08,4.49,CLIC
2000-02-09,2.41,CLIC
2000-02-10,4.69,CLIC
2000-02-11,4,CLIC
2000-02-12,3.42,CLIC
2000-02-13,6.52,CLIC
2000-02-14,6.17,CLIC
2000-02-15,2.8,CLIC
2000-02-16,3.16,CLIC
2000-02-17,3.02,CLIC
2000-02-18,4.11,CLIC
2000-02-19,0.1,CLIC
2000-02-20,1,CLIC
2000-02-21,0.3,CLIC
2000-02-22,1.66,CLIC
2000-02-23,2.34,CLIC
2000-02-24,3.63,CLIC
2000-02-25,5.09,CLIC
2000-02-26,4.33,CLIC
2000-02-27,4.89,CLIC
2000-02-28,5.11,CLIC
2000-02-29,3.68,CLIC
2000-03-01,5.14,CLIC
2000-03-02,3.99,CLIC
2000-03-03,4.73,CLIC
2000-03-04,0.2,CLIC
2000-03-05,1.16,CLIC
2000-03-06,2.2,CLIC
2000-03-07,5.67,CLIC
2000-03-08,4.71,CLIC
2000-03-09,4.52,CLIC
2000-03-10,4.71,CLIC
2000-03-11,4.16,CLIC
2000-03-12,3.94,CLIC
2000-03-13,0.19,CLIC
2000-03-14,1,CLIC
2000-03-15,2.5,CLIC
2000-03-16,9.29,CLIC
2000-03-17,5.11,CLIC
2000-03-18,4.99,CLIC
2000-03-19,4.7,CLIC
2000-03-20,4.04,CLIC
2000-03-21,4.76,CLIC
2000-03-22,5.34,CLIC
2000-03-23,4.86,CLIC
2000-03-24,3.05,CLIC
2000-03-25,3.25,CLIC
2000-03-26,5.4,CLIC
2000-03-27,9.17,CLIC
2000-03-28,6.17,CLIC
2000-03-29,9.99,CLIC
2000-03-30,5.75,CLIC
2000-03-31,4.54,CLIC
2000-04-01,4.07,CLIC
2000-04-02,5.93,CLIC
2000-04-03,7.73,CLIC
2000-04-04,7.13,CLIC
2000-04-05,6.34,CLIC
2000-04-06,7.49,CLIC
2000-04-07,7.61,CLIC
2000-04-08,5.76,CLIC
2000-04-09,5.84,CLIC
2000-04-10,4.53,CLIC
2000-04-11,4.23,CLIC
2000-04-12,0.83,CLIC
2000-04-13,3.2,CLIC
2000-04-14,4.82,CLIC
2000-04-15,7.08,CLIC
2000-04-16,2,CLIC
2000-04-17,2.69,CLIC
2000-04-18,5.16,CLIC
2000-04-19,6.96,CLIC
2000-04-20,9.49,CLIC
2000-04-21,0.2,CLIC
2000-04-22,2.18,CLIC
2000-04-23,4.44,CLIC
2000-04-24,9.55,CLIC
2000-04-25,6.23,CLIC
2000-04-26,3.89,CLIC
2000-04-27,2.51,CLIC
2000-04-28,6.7,CLIC
2000-04-29,6.85,CLIC
2000-04-30,6.31,CLIC
2000-05-01,3.64,CLIC
2000-05-02,3.18,CLIC
2000-05-03,3.77,CLIC
2000-05-04,8.05,CLIC
2000-05-05,7.18,CLIC
2000-05-06,7.44,CLIC
2000-05-07,5.17,CLIC
2000-05-08,7.39,CLIC
2000-05-09,5.77,CLIC
2000-05-10,4.23,CLIC
2000-05-11,5.79,CLIC
2000-05-12,2.93,CLIC
2000-05-13,2.57,CLIC
2000-05-14,4.26,CLIC
2000-05-15,5.82,CLIC
2000-05-16,6.56,CLIC
2000-05-17,8.64,CLIC
2000-05-18,6.19,CLIC
2000-05-19,5.57,CLIC
2000-05-20,0.51,CLIC
2000-05-21,2.57,CLIC
2000-05-22,4.38,CLIC
2000-05-23,6.94,CLIC
2000-05-24,4.79,CLIC
2000-05-25,5.21,CLIC
2000-05-26,2.74,CLIC
2000-05-27,1.52,CLIC
2000-05-28,6.88,CLIC
2000-05-29,3.43,CLIC
2000-05-30,5.37,CLIC
2000-05-31,5.05,CLIC
2000-06-01,3.99,CLIC
2000-06-02,5.85,CLIC
2000-06-03,3.21,CLIC
2000-06-04,5.8,CLIC
2000-06-05,3.2,CLIC
2000-06-06,1.08,CLIC
2000-06-07,1.42,CLIC
2000-06-08,1.16,CLIC
2000-06-09,1.99,CLIC
2000-06-10,0.68,CLIC
2000-06-11,0.38,CLIC
2000-06-12,4.29,CLIC
2000-06-13,4.06,CLIC
2000-06-14,4.36,CLIC
2000-06-15,3.73,CLIC
2000-06-16,3.25,CLIC
2000-06-17,0.4,CLIC
2000-06-18,1.37,CLIC
2000-06-19,2.43,CLIC
2000-06-20,4.88,CLIC
2000-06-21,5.21,CLIC
2000-06-22,3.04,CLIC
2000-06-23,6.87,CLIC
2000-06-24,4.01,CLIC
2000-06-25,6.75,CLIC
2000-06-26,5.04,CLIC
2000-06-27,5.81,CLIC
2000-06-28,6.24,CLIC
2000-06-29,7.96,CLIC
2000-06-30,6.2,CLIC
2000-07-01,6.6,CLIC
2000-07-02,8.22,CLIC
2000-07-03,6.96,CLIC
2000-07-04,4.62,CLIC
2000-07-05,7.3,CLIC
2000-07-06,7,CLIC
2000-07-07,5.85,CLIC
2000-07-08,6.16,CLIC
2000-07-09,7.29,CLIC
2000-07-10,7.05,CLIC
2000-07-11,8.66,CLIC
2000-07-12,6.99,CLIC
2000-07-13,8.15,CLIC
2000-07-14,7.4,CLIC
2000-07-15,10.88,CLIC
2000-07-16,8.62,CLIC
2000-07-17,9.3,CLIC
2000-07-18,10,CLIC
2000-07-19,8.01,CLIC
2000-07-20,10.75,CLIC
2000-07-21,7.54,CLIC
2000-07-22,8.9,CLIC
2000-07-23,9.66,CLIC
2000-07-24,7.94,CLIC
2000-07-25,8.99,CLIC
2000-07-26,8.21,CLIC
2000-07-27,8.76,CLIC
2000-07-28,7.78,CLIC
2000-07-29,9.03,CLIC
2000-07-30,8.25,CLIC
2000-07-31,6.78,CLIC
2000-08-01,7.46,CLIC
2000-08-02,2.69,CLIC
2000-08-03,4.79,CLIC
2000-08-04,4.23,CLIC
2000-08-05,4.11,CLIC
2000-08-06,6.69,CLIC
2000-08-07,8.07,CLIC
2000-08-08,3.4,CLIC
2000-08-09,8.09,CLIC
2000-08-10,7.76,CLIC
2000-08-11,2.24,CLIC
2000-08-12,7.71,CLIC
2000-08-13,7.89,CLIC
2000-08-14,6.27,CLIC
2000-08-15,6.59,CLIC
2000-08-16,2.6,CLIC
2000-08-17,8.67,CLIC
2000-08-18,3.26,CLIC
2000-08-19,5.84,CLIC
2000-08-20,7.6,CLIC
2000-08-21,6.19,CLIC
2000-08-22,4.12,CLIC
2000-08-23,6.11,CLIC
2000-08-24,5.94,CLIC
2000-08-25,5.95,CLIC
2000-08-26,6.93,CLIC
2000-08-27,4.32,CLIC
2000-08-28,8.73,CLIC
2000-08-29,7.71,CLIC
2000-08-30,8.23,CLIC
2000-08-31,7.01,CLIC
2000-09-01,6.97,CLIC
2000-09-02,7,CLIC
2000-09-03,8.7,CLIC
2000-09-04,8.73,CLIC
2000-09-05,7.65,CLIC
2000-09-06,7.9,CLIC
2000-09-07,6.5,CLIC
2000-09-08,7.29,CLIC
2000-09-09,8.92,CLIC
2000-09-10,5.18,CLIC
2000-09-11,5.89,CLIC
2000-09-12,6.22,CLIC
2000-09-13,3.03,CLIC
2000-09-14,6.53,CLIC
2000-09-15,4.84,CLIC
2000-09-16,1.73,CLIC
2000-09-17,6.56,CLIC
2000-09-18,4.79,CLIC
2000-09-19,3.97,CLIC
2000-09-20,4.35,CLIC
2000-09-21,4.95,CLIC
2000-09-22,3.2,CLIC
2000-09-23,3.85,CLIC
2000-09-24,8.24,CLIC
2000-09-25,8.72,CLIC
2000-09-26,4.79,CLIC
2000-09-27,4.1,CLIC
2000-09-28,2.94,CLIC
2000-09-29,4.19,CLIC
2000-09-30,5.17,CLIC
2000-10-01,4.7,CLIC
2000-10-02,3,CLIC
2000-10-03,3.1,CLIC
2000-10-04,3.88,CLIC
2000-10-05,5.28,CLIC
2000-10-06,5.7,CLIC
2000-10-07,6,CLIC
2000-10-08,5.87,CLIC
2000-10-09,5.48,CLIC
2000-10-10,5.29,CLIC
2000-10-11,2.76,CLIC
2000-10-12,2.66,CLIC
2000-10-13,2.35,CLIC
2000-10-14,1.8,CLIC
2000-10-15,1.09,CLIC
2000-10-16,0.55,CLIC
2000-10-17,1.65,CLIC
2000-10-18,0.8,CLIC
2000-10-19,0.2,CLIC
2000-10-20,0.38,CLIC
2000-10-21,0.62,CLIC
2000-10-22,1.08,CLIC
