Estación: ,C19032,LA CARBONERA. GALEANA
1982-01-07,4.3,CLIC
1982-01-08,1.7,CLIC
1982-01-09,2.4,CLIC
1982-01-10,4.4,CLIC
1982-01-11,1.5,CLIC
1982-01-12,4.6,CLIC
1982-01-13,3.3,CLIC
1982-01-14,3.4,CLIC
1982-01-15,3.3,CLIC
1982-01-16,2.9,CLIC
1982-01-17,3.7,CLIC
1982-01-18,2.6,CLIC
1982-01-19,4.6,CLIC
1982-01-20,4.3,CLIC
1982-01-21,5.1,CLIC
1982-01-22,4.4,CLIC
1982-01-23,5.3,CLIC
1982-01-24,3.5,CLIC
1982-01-25,5.2,CLIC
1982-01-26,4.3,CLIC
1982-01-27,3.5,CLIC
1982-01-28,4.8,CLIC
1982-01-29,3.7,CLIC
1982-01-30,3.5,CLIC
1982-01-31,4.1,CLIC
1982-02-01,2.5,CLIC
1982-02-02,3.1,CLIC
1982-02-03,3.1,CLIC
1982-02-04,4.6,CLIC
1982-02-05,1.4,CLIC
1982-02-06,3.3,CLIC
1982-02-07,3.9,CLIC
1982-02-08,5.9,CLIC
1982-02-09,6.3,CLIC
1982-02-10,5,CLIC
1982-02-11,3.5,CLIC
1982-02-12,5.6,CLIC
1982-02-13,4.6,CLIC
1982-02-14,5.2,CLIC
1982-02-15,5.9,CLIC
1982-02-16,5.9,CLIC
1982-02-17,6.6,CLIC
1982-02-18,3.6,CLIC
1982-02-19,4.9,CLIC
1982-02-20,6.1,CLIC
1982-02-21,4.3,CLIC
1982-02-22,3.7,CLIC
1982-02-23,5,CLIC
1982-02-24,4,CLIC
1982-02-25,2.9,CLIC
1982-02-26,2.2,CLIC
1982-02-27,4,CLIC
1982-02-28,3,CLIC
1982-03-01,6.8,CLIC
1982-03-02,7.1,CLIC
1982-03-03,6.8,CLIC
1982-03-04,6.9,CLIC
1982-03-05,5.8,CLIC
1982-03-06,7.2,CLIC
1982-03-07,5.1,CLIC
1982-03-08,4.6,CLIC
1982-03-09,6.4,CLIC
1982-03-10,5.3,CLIC
1982-03-11,5.2,CLIC
1982-03-12,5,CLIC
1982-03-13,4.9,CLIC
1982-03-14,6.7,CLIC
1982-03-15,6.6,CLIC
1982-03-16,7.4,CLIC
1982-03-17,7.2,CLIC
1982-03-18,7,CLIC
1982-03-19,6.2,CLIC
1982-03-20,7.8,CLIC
1982-03-21,6,CLIC
1982-03-22,8,CLIC
1982-03-23,6.9,CLIC
1982-03-24,7,CLIC
1982-03-25,7.5,CLIC
1982-03-26,6.1,CLIC
1982-03-27,4.1,CLIC
1982-03-28,6.1,CLIC
1982-03-29,8.1,CLIC
1982-03-30,6.4,CLIC
1982-03-31,6.4,CLIC
1982-04-01,7.3,CLIC
1982-04-02,4.8,CLIC
1982-04-03,6.2,CLIC
1982-04-04,6.5,CLIC
1982-04-05,5.5,CLIC
1982-04-06,4.2,CLIC
1982-04-07,6.2,CLIC
1982-04-08,5.7,CLIC
1982-04-09,5,CLIC
1982-04-10,7.8,CLIC
1982-04-11,5.2,CLIC
1982-04-12,6.8,CLIC
1982-04-13,5.7,CLIC
1982-04-14,5.7,CLIC
1982-04-15,5.9,CLIC
1982-04-16,6.8,CLIC
1982-04-17,4.7,CLIC
1982-04-18,5.6,CLIC
1982-04-19,6.7,CLIC
1982-04-20,5.4,CLIC
1982-04-21,6.1,CLIC
1982-04-23,4.3,CLIC
1982-04-24,6.5,CLIC
1982-04-25,6,CLIC
1982-04-26,6,CLIC
1982-04-27,5.2,CLIC
1982-04-28,5.4,CLIC
1982-04-29,5.2,CLIC
1982-04-30,6.8,CLIC
1982-05-01,4.46,CLIC
1982-05-02,5.54,CLIC
1982-05-03,5.25,CLIC
1982-05-04,5.8,CLIC
1982-05-05,5.01,CLIC
1982-05-06,4.4,CLIC
1982-05-07,5.54,CLIC
1982-05-08,4.29,CLIC
1982-05-09,5.33,CLIC
1982-05-10,4.9,CLIC
1982-05-11,5.04,CLIC
1982-05-12,4.67,CLIC
1982-05-13,5.84,CLIC
1982-05-14,6.93,CLIC
1982-05-15,4.86,CLIC
1982-05-16,6.03,CLIC
1982-05-17,6.17,CLIC
1982-05-18,7.07,CLIC
1982-05-19,4.9,CLIC
1982-05-20,4.01,CLIC
1982-05-21,6.04,CLIC
1982-05-22,6.45,CLIC
1982-05-23,3.73,CLIC
1982-05-24,5.5,CLIC
1982-05-25,5.93,CLIC
1982-05-26,6.53,CLIC
1982-05-27,9.37,CLIC
1982-05-28,7.26,CLIC
1982-05-29,6.93,CLIC
1982-05-30,5.76,CLIC
1982-05-31,8.72,CLIC
1982-06-01,6.6,CLIC
1982-06-02,6.8,CLIC
1982-06-03,8.9,CLIC
1982-06-04,12.4,CLIC
1982-06-05,10.3,CLIC
1982-06-06,9,CLIC
1982-06-07,8.6,CLIC
1982-06-08,10.3,CLIC
1982-06-09,8.1,CLIC
1982-06-10,9.4,CLIC
1982-06-11,7.7,CLIC
1982-06-12,6.9,CLIC
1982-06-13,5.7,CLIC
1982-06-14,6.1,CLIC
1982-06-15,5.9,CLIC
1982-06-16,6,CLIC
1982-06-17,6.7,CLIC
1982-06-18,6.7,CLIC
1982-06-19,6.3,CLIC
1982-06-20,8.5,CLIC
1982-06-21,5.9,CLIC
1982-06-22,8.3,CLIC
1982-06-23,8.9,CLIC
1982-06-24,7.9,CLIC
1982-06-25,8,CLIC
1982-06-26,8.1,CLIC
1982-06-27,9,CLIC
1982-06-28,9.1,CLIC
1982-06-29,5.8,CLIC
1982-06-30,4.2,CLIC
1982-07-01,4.3,CLIC
1982-07-02,4.1,CLIC
1982-07-03,4.3,CLIC
1982-07-04,3.3,CLIC
1982-07-05,4.9,CLIC
1982-07-06,2.5,CLIC
1982-07-07,5.2,CLIC
1982-07-08,3.8,CLIC
1982-07-09,6.1,CLIC
1982-07-10,3,CLIC
1982-07-11,3.4,CLIC
1982-07-12,4.9,CLIC
1982-07-13,2.1,CLIC
1982-07-14,3,CLIC
1982-07-15,5.6,CLIC
1982-07-16,5.7,CLIC
1982-07-17,4.7,CLIC
1982-07-18,4.9,CLIC
1982-07-19,6.4,CLIC
1982-07-20,5.8,CLIC
1982-07-21,5.2,CLIC
1982-07-22,5.1,CLIC
1982-07-23,6.5,CLIC
1982-07-24,3.9,CLIC
1982-07-25,4.1,CLIC
1982-07-26,3.4,CLIC
1982-07-27,5.7,CLIC
1982-07-28,2.3,CLIC
1982-07-29,5.7,CLIC
1982-07-30,3.8,CLIC
1982-07-31,5.2,CLIC
1982-08-01,4.5,CLIC
1982-08-02,5.1,CLIC
1982-08-03,3.9,CLIC
1982-08-04,3.2,CLIC
1982-08-05,4.3,CLIC
1982-08-06,4.1,CLIC
1982-08-07,4.2,CLIC
1982-08-08,2.9,CLIC
1982-08-09,2.8,CLIC
1982-08-10,3,CLIC
1982-08-11,3,CLIC
1982-08-12,3,CLIC
1982-08-13,2.9,CLIC
1982-08-14,3.6,CLIC
1982-08-15,2.6,CLIC
1982-08-16,6.6,CLIC
1982-08-17,2.4,CLIC
1982-08-18,5.3,CLIC
1982-08-19,4.7,CLIC
1982-08-20,4.4,CLIC
1982-08-21,6.3,CLIC
1982-08-22,5,CLIC
1982-08-23,3.5,CLIC
1982-08-24,6.6,CLIC
1982-08-25,5.1,CLIC
1982-08-26,4.3,CLIC
1982-08-27,5.3,CLIC
1982-08-28,6.4,CLIC
1982-08-29,5.1,CLIC
1982-08-30,4.8,CLIC
1982-08-31,6.1,CLIC
1982-09-01,5.3,CLIC
1982-09-02,6.5,CLIC
1982-09-03,5.3,CLIC
1982-09-04,4.8,CLIC
1982-09-05,2.4,CLIC
1982-09-06,2.6,CLIC
1982-09-07,3.6,CLIC
1982-09-08,3.9,CLIC
1982-09-09,4.5,CLIC
1982-09-10,5.5,CLIC
1982-09-11,4.5,CLIC
1982-09-12,4.4,CLIC
1982-09-13,2.6,CLIC
1982-09-14,3.4,CLIC
1982-09-15,3.6,CLIC
1982-09-16,4.3,CLIC
1982-09-17,4.8,CLIC
1982-09-18,5,CLIC
1982-09-19,4.7,CLIC
1982-09-20,5,CLIC
1982-09-21,4.7,CLIC
1982-09-22,6,CLIC
1982-09-23,6,CLIC
1982-09-24,4.9,CLIC
1982-09-25,5.5,CLIC
1982-09-26,5.2,CLIC
1982-09-27,5.6,CLIC
1982-09-28,5.4,CLIC
1982-09-29,5.1,CLIC
1982-09-30,4.8,CLIC
1982-10-01,4,CLIC
1982-10-02,4.4,CLIC
1982-10-03,5.3,CLIC
1982-10-04,5.1,CLIC
1982-10-05,6.3,CLIC
1982-10-06,4.6,CLIC
1982-10-07,3,CLIC
1982-10-08,3.9,CLIC
1982-10-11,2.4,CLIC
1982-10-12,3.1,CLIC
1982-10-13,1.8,CLIC
1982-10-14,2.5,CLIC
1982-10-15,2.4,CLIC
1982-10-16,3.2,CLIC
1982-10-17,3.7,CLIC
1982-10-18,4.3,CLIC
1982-10-19,4.6,CLIC
1982-10-20,5.4,CLIC
1982-10-21,3.2,CLIC
1982-10-22,2.4,CLIC
1982-10-23,2.3,CLIC
1982-10-24,4.8,CLIC
1982-10-25,3.5,CLIC
1982-10-26,3.6,CLIC
1982-10-27,2.5,CLIC
1982-10-28,3.8,CLIC
1982-10-29,3.2,CLIC
1982-10-30,3.9,CLIC
1982-10-31,4.2,CLIC
1982-11-01,4.8,CLIC
1982-11-02,3.2,CLIC
1982-11-03,3.8,CLIC
1982-11-04,3.7,CLIC
1982-11-05,3.6,CLIC
1982-11-06,1.8,CLIC
1982-11-07,2,CLIC
1982-11-08,1.3,CLIC
1982-11-09,4.6,CLIC
1982-11-10,4.1,CLIC
1982-11-11,4.1,CLIC
1982-11-12,4.1,CLIC
1982-11-13,3.8,CLIC
1982-11-14,3.3,CLIC
1982-11-15,3.7,CLIC
1982-11-16,1.9,CLIC
1982-11-17,2.6,CLIC
1982-11-18,3.5,CLIC
1982-11-19,4.4,CLIC
1982-11-20,3.1,CLIC
1982-11-21,3.5,CLIC
1982-11-22,2.6,CLIC
1982-11-23,3,CLIC
1982-11-24,2.5,CLIC
1982-11-25,3.1,CLIC
1982-11-26,1.2,CLIC
1982-11-27,1.5,CLIC
1982-11-28,2.7,CLIC
1982-11-29,2.9,CLIC
1982-11-30,3.1,CLIC
1982-12-01,5.5,CLIC
1982-12-02,7.2,CLIC
1982-12-03,8.3,CLIC
1982-12-04,6.3,CLIC
1982-12-05,3.2,CLIC
1982-12-06,2.5,CLIC
1982-12-07,2.1,CLIC
1982-12-08,1.9,CLIC
1982-12-09,1,CLIC
1982-12-10,1,CLIC
1982-12-11,1.3,CLIC
1982-12-12,1.2,CLIC
1982-12-13,1.2,CLIC
1982-12-14,1.2,CLIC
1982-12-15,2.3,CLIC
1982-12-16,2.1,CLIC
1982-12-17,2,CLIC
1982-12-18,2.2,CLIC
1982-12-19,4.8,CLIC
1982-12-20,1.1,CLIC
1982-12-21,2.8,CLIC
1982-12-22,2.9,CLIC
1982-12-23,2.9,CLIC
1982-12-24,5.4,CLIC
1982-12-25,4.2,CLIC
1982-12-26,7.2,CLIC
1982-12-27,4.5,CLIC
1982-12-28,5.2,CLIC
1982-12-29,2.2,CLIC
1982-12-30,2.7,CLIC
1982-12-31,2.4,CLIC
1983-01-01,2.3,CLIC
1983-01-02,2.2,CLIC
1983-01-03,0.8,CLIC
1983-01-04,0.6,CLIC
1983-01-05,2.1,CLIC
1983-01-06,2.2,CLIC
1983-01-07,2.1,CLIC
1983-01-08,4.1,CLIC
1983-01-09,3,CLIC
1983-01-10,2.7,CLIC
1983-01-11,2.5,CLIC
1983-01-12,2.1,CLIC
1983-01-13,2.9,CLIC
1983-01-14,4.4,CLIC
1983-01-15,2.9,CLIC
1983-01-16,2.4,CLIC
1983-01-17,3.3,CLIC
1983-01-18,1.1,CLIC
1983-01-19,1.7,CLIC
1983-01-20,2.7,CLIC
1983-01-21,2.8,CLIC
1983-01-22,2.6,CLIC
1983-01-23,3.3,CLIC
1983-01-24,3.1,CLIC
1983-01-25,5.2,CLIC
1983-01-26,4,CLIC
1983-01-27,3.7,CLIC
1983-01-28,4.3,CLIC
1983-01-29,5.8,CLIC
1983-01-30,4.2,CLIC
1983-01-31,4.3,CLIC
1983-02-01,2.7,CLIC
1983-02-02,4.6,CLIC
1983-02-03,1.2,CLIC
1983-02-04,3,CLIC
1983-02-05,9.3,CLIC
1983-02-06,3.6,CLIC
1983-02-07,4.5,CLIC
1983-02-08,5.2,CLIC
1983-02-09,6.3,CLIC
1983-02-10,4.7,CLIC
1983-02-11,3.8,CLIC
1983-02-12,3.9,CLIC
1983-02-13,3.6,CLIC
1983-02-14,6.6,CLIC
1983-02-15,3.6,CLIC
1983-02-16,6.3,CLIC
1983-02-17,4.1,CLIC
1983-02-18,4.3,CLIC
1983-02-19,4.2,CLIC
1983-02-20,5.4,CLIC
1983-02-21,6.4,CLIC
1983-02-22,3.9,CLIC
1983-02-23,4.4,CLIC
1983-02-24,4.9,CLIC
1983-02-25,3.2,CLIC
1983-02-26,3.9,CLIC
1983-02-27,3.9,CLIC
1983-02-28,6.5,CLIC
1983-03-01,5.9,CLIC
1983-03-02,8.3,CLIC
1983-03-03,11.2,CLIC
1983-03-04,10.7,CLIC
1983-03-05,7,CLIC
1983-03-06,6.4,CLIC
1983-03-07,6.2,CLIC
1983-03-08,6.1,CLIC
1983-03-09,5.4,CLIC
1983-03-10,5.3,CLIC
1983-03-11,5.9,CLIC
1983-03-12,4,CLIC
1983-03-13,2.2,CLIC
1983-03-14,5.4,CLIC
1983-03-15,5.2,CLIC
1983-03-16,6.5,CLIC
1983-03-17,5.9,CLIC
1983-03-18,7.1,CLIC
1983-03-19,10.4,CLIC
1983-03-20,5.6,CLIC
1983-03-21,5.4,CLIC
1983-03-22,5.1,CLIC
1983-03-23,9.2,CLIC
1983-03-24,4.8,CLIC
1983-03-25,12.4,CLIC
1983-03-26,8.2,CLIC
1983-03-27,8.1,CLIC
1983-03-28,5.2,CLIC
1983-03-29,5.6,CLIC
1983-03-30,9.8,CLIC
1983-03-31,6.6,CLIC
1983-04-01,9.9,CLIC
1983-04-02,5.9,CLIC
1983-04-03,8.2,CLIC
1983-04-04,9.1,CLIC
1983-04-05,10.8,CLIC
1983-04-06,10.7,CLIC
1983-04-07,12.3,CLIC
1983-04-08,7.2,CLIC
1983-04-09,7,CLIC
1983-04-10,6.6,CLIC
1983-04-11,10.3,CLIC
1983-04-12,11.3,CLIC
1983-04-13,9.3,CLIC
1983-04-14,9,CLIC
1983-04-15,7.8,CLIC
1983-04-16,6.4,CLIC
1983-04-17,7.7,CLIC
1983-04-18,6.7,CLIC
1983-04-19,11.1,CLIC
1983-04-20,9.4,CLIC
1983-04-21,13.1,CLIC
1983-04-22,11.6,CLIC
1983-04-23,7.7,CLIC
1983-04-24,8.7,CLIC
1983-04-25,8.5,CLIC
1983-04-26,8.7,CLIC
1983-04-27,9.2,CLIC
1983-04-28,8,CLIC
1983-04-29,10.3,CLIC
1983-04-30,9.1,CLIC
1983-06-01,4.78,CLIC
1983-06-02,6.28,CLIC
1983-06-03,6.68,CLIC
1983-06-04,7.49,CLIC
1983-06-05,4.44,CLIC
1983-06-06,9.03,CLIC
1983-06-07,7.68,CLIC
1983-06-08,6.5,CLIC
1983-06-09,7.2,CLIC
1983-06-10,7.1,CLIC
1983-06-11,8.6,CLIC
1983-06-12,4.9,CLIC
1983-06-13,7.85,CLIC
1983-06-14,5.67,CLIC
1983-06-15,5.63,CLIC
1983-06-16,6.38,CLIC
1983-06-17,7.15,CLIC
1983-06-18,6.83,CLIC
1983-06-19,6.35,CLIC
1983-06-20,7.15,CLIC
1983-06-21,6.17,CLIC
1983-06-22,6.38,CLIC
1983-06-23,5.96,CLIC
1983-06-24,6.11,CLIC
1983-06-25,5.38,CLIC
1983-06-26,9.59,CLIC
1983-06-27,8.62,CLIC
1983-06-28,6.23,CLIC
1983-06-29,6.25,CLIC
1983-06-30,4.59,CLIC
1983-07-01,5.43,CLIC
1983-07-02,3.03,CLIC
1983-07-03,3.65,CLIC
1983-07-04,4.67,CLIC
1983-07-05,2.52,CLIC
1983-07-06,7.12,CLIC
1983-07-07,7.85,CLIC
1983-07-08,6.96,CLIC
1983-07-09,6.12,CLIC
1983-07-10,4.63,CLIC
1983-07-11,4.36,CLIC
1983-07-12,6.29,CLIC
1983-07-13,4.95,CLIC
1983-07-14,5.02,CLIC
1983-07-15,7.62,CLIC
1983-07-16,2.62,CLIC
1983-07-17,7.58,CLIC
1983-07-18,6.06,CLIC
1983-07-19,3.56,CLIC
1983-07-20,4.27,CLIC
1983-07-21,5.35,CLIC
1983-07-22,6.1,CLIC
1983-07-23,6.31,CLIC
1983-07-24,8.14,CLIC
1983-07-25,9,CLIC
1983-07-26,8.04,CLIC
1983-07-27,7.11,CLIC
1983-07-28,6.37,CLIC
1983-07-29,7.68,CLIC
1983-07-30,7.1,CLIC
1983-07-31,6.15,CLIC
1983-08-01,4.32,CLIC
1983-08-02,3.64,CLIC
1983-08-03,5.56,CLIC
1983-08-04,5.39,CLIC
1983-08-05,5.55,CLIC
1983-08-06,4.8,CLIC
1983-08-07,6.4,CLIC
1983-08-08,3.5,CLIC
1983-08-09,4.9,CLIC
1983-08-10,8.78,CLIC
1983-08-11,5.62,CLIC
1983-08-12,8.6,CLIC
1983-08-13,8.8,CLIC
1983-08-14,1.21,CLIC
1983-08-15,5.03,CLIC
1983-08-16,5.72,CLIC
1983-08-17,3.01,CLIC
1983-08-18,6.09,CLIC
1983-08-19,3.72,CLIC
1983-08-20,6.41,CLIC
1983-08-21,6.12,CLIC
1983-08-22,5.8,CLIC
1983-08-23,6.86,CLIC
1983-08-24,7.54,CLIC
1983-08-25,7.37,CLIC
1983-08-26,7.08,CLIC
1983-08-27,7.22,CLIC
1983-08-28,1.87,CLIC
1983-08-29,2.34,CLIC
1983-08-30,2.3,CLIC
1983-08-31,5.72,CLIC
1983-09-01,5.72,CLIC
1983-09-03,3.06,CLIC
1983-09-04,6.61,CLIC
1983-09-05,5.63,CLIC
1983-09-06,6.8,CLIC
1983-09-07,3.35,CLIC
1983-09-08,2.55,CLIC
1983-09-09,2.74,CLIC
1983-09-10,1.39,CLIC
1983-09-11,2.72,CLIC
1983-09-12,2.33,CLIC
1983-09-13,5.22,CLIC
1983-09-14,2.3,CLIC
1983-09-15,3.4,CLIC
1983-09-16,3.7,CLIC
1983-09-17,4.2,CLIC
1983-09-18,3.8,CLIC
1983-09-19,2.24,CLIC
1983-09-20,3.98,CLIC
1983-09-21,2.89,CLIC
1983-09-22,1.98,CLIC
1983-09-23,3.22,CLIC
1983-09-24,4.2,CLIC
1983-09-25,4.76,CLIC
1983-09-26,3.9,CLIC
1983-09-27,2.77,CLIC
1983-09-28,4.79,CLIC
1983-09-29,4.22,CLIC
1983-09-30,5.15,CLIC
1983-10-01,4.3,CLIC
1983-10-02,4.35,CLIC
1983-10-03,4.25,CLIC
1983-10-04,5.65,CLIC
1983-10-05,6.5,CLIC
1983-10-06,4.15,CLIC
1983-10-07,6.37,CLIC
1983-10-08,4.82,CLIC
1983-10-09,5.18,CLIC
1983-10-10,4.1,CLIC
1983-10-11,4.17,CLIC
1983-10-12,4.26,CLIC
1983-10-13,5.37,CLIC
1983-10-14,5.05,CLIC
1983-10-15,2.6,CLIC
1983-10-16,5.27,CLIC
1983-10-17,4.34,CLIC
1983-10-18,4,CLIC
1983-10-19,3.86,CLIC
1983-10-20,4.96,CLIC
1983-10-21,2.39,CLIC
1983-10-22,4.35,CLIC
1983-10-23,3.58,CLIC
1983-10-24,3.4,CLIC
1983-10-25,6.42,CLIC
1983-10-26,4.6,CLIC
1983-10-27,2.77,CLIC
1983-10-28,3.92,CLIC
1983-10-29,4.44,CLIC
1983-10-30,3.62,CLIC
1983-10-31,4.55,CLIC
1983-11-01,2.62,CLIC
1983-11-02,3.18,CLIC
1983-11-03,4.1,CLIC
1983-11-04,5.6,CLIC
1983-11-05,4.11,CLIC
1983-11-06,3.26,CLIC
1983-11-07,3.59,CLIC
1983-11-08,3.21,CLIC
1983-11-09,3.96,CLIC
1983-11-10,3.58,CLIC
1983-11-11,4.26,CLIC
1983-11-12,4.95,CLIC
1983-11-13,4.86,CLIC
1983-11-14,4.24,CLIC
1983-11-15,5.09,CLIC
1983-11-16,5.08,CLIC
1983-11-17,4.62,CLIC
1983-11-18,4.76,CLIC
1983-11-19,5.75,CLIC
1983-11-20,3.83,CLIC
1983-11-21,6.17,CLIC
1983-11-22,6.36,CLIC
1983-11-23,5.9,CLIC
1983-11-24,5.09,CLIC
1983-11-25,3.71,CLIC
1983-11-26,4.77,CLIC
1983-11-27,6.41,CLIC
1983-11-28,3.98,CLIC
1983-11-29,4.26,CLIC
1983-11-30,3.18,CLIC
1983-12-01,3,CLIC
1983-12-02,6.49,CLIC
1983-12-03,4.8,CLIC
1983-12-04,4.51,CLIC
1983-12-05,6.83,CLIC
1983-12-06,2.84,CLIC
1983-12-07,3.78,CLIC
1983-12-08,2.92,CLIC
1983-12-09,4.28,CLIC
1983-12-10,4.47,CLIC
1983-12-11,4.55,CLIC
1983-12-12,3.57,CLIC
1983-12-13,5.12,CLIC
1983-12-14,3.42,CLIC
1983-12-15,6.04,CLIC
1983-12-16,4.2,CLIC
1983-12-17,3.4,CLIC
1983-12-18,3.68,CLIC
1983-12-19,3.54,CLIC
1983-12-20,3.95,CLIC
1983-12-21,4.59,CLIC
1983-12-22,4.48,CLIC
1983-12-23,4.6,CLIC
1983-12-24,3.78,CLIC
1983-12-25,3.36,CLIC
1983-12-26,4.06,CLIC
1983-12-27,5.62,CLIC
1983-12-28,3.7,CLIC
1983-12-29,4.43,CLIC
1983-12-30,0.25,CLIC
1983-12-31,2.71,CLIC
1984-01-01,1.4,CLIC
1984-01-02,0.8,CLIC
1984-01-03,2.3,CLIC
1984-01-04,1.1,CLIC
1984-01-05,1.4,CLIC
1984-01-06,2.7,CLIC
1984-01-07,0.6,CLIC
1984-01-08,3.5,CLIC
1984-01-09,4.5,CLIC
1984-01-10,1.1,CLIC
1984-01-11,1.2,CLIC
1984-01-12,1.2,CLIC
1984-01-13,4.2,CLIC
1984-01-14,1.5,CLIC
1984-01-15,2.1,CLIC
1984-01-16,0.7,CLIC
1984-01-17,5.7,CLIC
1984-01-18,3.3,CLIC
1984-01-19,3.1,CLIC
1984-01-20,1.4,CLIC
1984-01-21,2.6,CLIC
1984-01-22,3.2,CLIC
1984-01-23,3.3,CLIC
1984-01-24,1,CLIC
1984-01-25,5,CLIC
1984-01-26,6,CLIC
1984-01-27,3.6,CLIC
1984-01-28,1.9,CLIC
1984-01-29,2.9,CLIC
1984-01-31,1.9,CLIC
1984-02-01,2.5,CLIC
1984-02-02,4,CLIC
1984-02-03,3,CLIC
1984-02-04,2.9,CLIC
1984-02-05,1.9,CLIC
1984-02-06,2.8,CLIC
1984-02-07,3.7,CLIC
1984-02-08,2.7,CLIC
1984-02-09,2.9,CLIC
1984-02-10,3.8,CLIC
1984-02-11,3,CLIC
1984-02-12,5,CLIC
1984-02-13,4.1,CLIC
1984-02-14,4.4,CLIC
1984-02-15,4.3,CLIC
1984-02-16,4.2,CLIC
1984-02-17,3.9,CLIC
1984-02-18,4.7,CLIC
1984-02-19,4.1,CLIC
1984-02-20,6.7,CLIC
1984-02-21,3.3,CLIC
1984-02-22,3.8,CLIC
1984-02-23,5.9,CLIC
1984-02-24,3.6,CLIC
1984-02-25,3.4,CLIC
1984-02-26,5.7,CLIC
1984-02-27,5.8,CLIC
1984-02-28,4,CLIC
1984-02-29,4.1,CLIC
1984-03-01,4.77,CLIC
1984-03-02,5.01,CLIC
1984-03-03,4.92,CLIC
1984-03-04,6.7,CLIC
1984-03-05,9.33,CLIC
1984-03-06,5.27,CLIC
1984-03-07,5.28,CLIC
1984-03-08,5.44,CLIC
1984-03-09,5.58,CLIC
1984-03-10,4.68,CLIC
1984-03-11,4.37,CLIC
1984-03-12,5.98,CLIC
1984-03-13,4.77,CLIC
1984-03-14,4.68,CLIC
1984-03-15,7.25,CLIC
1984-03-16,6.85,CLIC
1984-03-17,6.18,CLIC
1984-03-18,7.57,CLIC
1984-03-19,8.68,CLIC
1984-03-20,5.44,CLIC
1984-03-21,6.75,CLIC
1984-03-22,8.53,CLIC
1984-03-23,7.8,CLIC
1984-03-24,8.33,CLIC
1984-03-25,3.47,CLIC
1984-03-26,8.29,CLIC
1984-03-27,8.71,CLIC
1984-03-28,8.19,CLIC
1984-03-29,5.5,CLIC
1984-03-30,6.9,CLIC
1984-03-31,7.3,CLIC
1984-04-01,6.77,CLIC
1984-04-02,5.98,CLIC
1984-04-03,8.62,CLIC
1984-04-04,5.03,CLIC
1984-04-05,5.43,CLIC
1984-04-06,8.04,CLIC
1984-04-07,14.4,CLIC
1984-04-08,11.21,CLIC
1984-04-09,9.37,CLIC
1984-04-10,10.97,CLIC
1984-04-11,7.91,CLIC
1984-04-12,6.88,CLIC
1984-04-13,7.03,CLIC
1984-04-14,8.04,CLIC
1984-04-15,5.39,CLIC
1984-04-16,9.41,CLIC
1984-04-17,7.45,CLIC
1984-04-18,8,CLIC
1984-04-19,9.97,CLIC
1984-04-20,12.22,CLIC
1984-04-21,8.79,CLIC
1984-04-22,8.04,CLIC
1984-04-23,7.7,CLIC
1984-04-24,6.13,CLIC
1984-04-25,10.01,CLIC
1984-04-26,12.28,CLIC
1984-04-27,12.98,CLIC
1984-04-28,11.12,CLIC
1984-04-29,10.21,CLIC
