Estación: ,C19050,RAICES. GALEANA
1990-12-25,1.1,CLIC
1990-12-26,2,CLIC
1990-12-27,2.2,CLIC
1990-12-28,1.2,CLIC
1990-12-29,1.5,CLIC
1990-12-30,1.6,CLIC
1990-12-31,1.7,CLIC
1991-01-01,2.28,CLIC
1991-01-02,1.04,CLIC
1991-01-03,2.2,CLIC
1991-01-04,2.44,CLIC
1991-01-05,1.05,CLIC
1991-01-06,1.96,CLIC
1991-01-07,2.7,CLIC
1991-01-08,0.43,CLIC
1991-01-09,1.39,CLIC
1991-01-10,3.02,CLIC
1991-01-11,2.23,CLIC
1991-01-12,0.68,CLIC
1991-01-13,1.47,CLIC
1991-01-14,0.44,CLIC
1991-01-15,2.11,CLIC
1991-01-16,2.26,CLIC
1991-01-17,2.11,CLIC
1991-01-18,0.87,CLIC
1991-01-19,1.39,CLIC
1991-01-20,3.29,CLIC
1991-01-21,3.38,CLIC
1991-01-22,1.08,CLIC
1991-01-23,3.2,CLIC
1991-01-24,0.62,CLIC
1991-01-25,1.6,CLIC
1991-01-26,0.7,CLIC
1991-01-27,2.01,CLIC
1991-01-28,3.25,CLIC
1991-01-29,2.14,CLIC
1991-01-30,2.22,CLIC
1991-01-31,0.74,CLIC
1991-02-01,2.01,CLIC
1991-02-02,2.31,CLIC
1991-02-03,1.99,CLIC
1991-02-04,2.02,CLIC
1991-02-05,1.6,CLIC
1991-02-06,1.85,CLIC
1991-02-07,1.9,CLIC
1991-02-08,0.23,CLIC
1991-02-09,2.17,CLIC
1991-02-10,0.8,CLIC
1991-02-11,1.92,CLIC
1991-02-12,1.35,CLIC
1991-02-13,1.73,CLIC
1991-02-14,2.81,CLIC
1991-02-15,3.99,CLIC
1991-02-16,3.3,CLIC
1991-02-17,1.78,CLIC
1991-02-18,4.92,CLIC
1991-02-19,3.23,CLIC
1991-02-20,4.55,CLIC
1991-02-21,2.47,CLIC
1991-02-22,1.75,CLIC
1991-02-23,2.01,CLIC
1991-02-24,4.51,CLIC
1991-02-25,2.89,CLIC
1991-02-26,3.98,CLIC
1991-02-27,1.16,CLIC
1991-02-28,3.09,CLIC
1991-03-01,3.1,CLIC
1991-03-02,4.81,CLIC
1991-03-03,5.85,CLIC
1991-03-04,4.08,CLIC
1991-03-05,4.27,CLIC
1991-03-06,4.44,CLIC
1991-03-07,4.3,CLIC
1991-03-08,6.37,CLIC
1991-03-09,4.3,CLIC
1991-03-10,1.3,CLIC
1991-03-11,4.1,CLIC
1991-03-12,4.1,CLIC
1991-03-13,4.24,CLIC
1991-03-14,4.5,CLIC
1991-03-15,5.3,CLIC
1991-03-16,5.1,CLIC
1991-03-17,8.29,CLIC
1991-03-18,6.55,CLIC
1991-03-19,4.57,CLIC
1991-03-20,5.14,CLIC
1991-03-21,8.15,CLIC
1991-03-22,4.39,CLIC
1991-03-23,7.06,CLIC
1991-03-24,8.65,CLIC
1991-03-25,5.2,CLIC
1991-03-26,4.2,CLIC
1991-03-27,5.03,CLIC
1991-03-28,4.97,CLIC
1991-03-29,4.87,CLIC
1991-03-30,10.43,CLIC
1991-03-31,4.51,CLIC
1991-04-01,3.1,CLIC
1991-04-02,4.2,CLIC
1991-04-03,2.01,CLIC
1991-04-04,6.14,CLIC
1991-04-05,4.85,CLIC
1991-04-06,5.35,CLIC
1991-04-07,4.66,CLIC
1991-04-08,4.7,CLIC
1991-04-09,4.64,CLIC
1991-04-10,5.45,CLIC
1991-04-11,4.6,CLIC
1991-04-12,8.09,CLIC
1991-04-13,4.97,CLIC
1991-04-14,8.58,CLIC
1991-04-15,6.7,CLIC
1991-04-16,4.62,CLIC
1991-04-17,5.81,CLIC
1991-04-18,4.34,CLIC
1991-04-19,4.83,CLIC
1991-04-20,5.3,CLIC
1991-04-21,4.67,CLIC
1991-04-22,6.2,CLIC
1991-04-23,6.1,CLIC
1991-04-24,7.4,CLIC
1991-04-25,7.11,CLIC
1991-04-26,6.57,CLIC
1991-04-27,5.39,CLIC
1991-04-28,10.78,CLIC
1991-04-29,7.22,CLIC
1991-04-30,9.96,CLIC
1991-05-01,7.27,CLIC
1991-05-02,6,CLIC
1991-05-03,7.65,CLIC
1991-05-04,4.42,CLIC
1991-05-05,7.4,CLIC
1991-05-06,1.58,CLIC
1991-05-07,5.1,CLIC
1991-05-08,3.6,CLIC
1991-05-09,5.05,CLIC
1991-05-10,3.65,CLIC
1991-05-11,3.9,CLIC
1991-05-12,5.25,CLIC
1991-05-13,6.1,CLIC
1991-05-14,5.7,CLIC
1991-05-15,0.45,CLIC
1991-05-16,4.25,CLIC
1991-05-17,5.25,CLIC
1991-05-18,4.55,CLIC
1991-05-19,4.9,CLIC
1991-05-20,10.5,CLIC
1991-05-21,9.5,CLIC
1991-05-22,5.3,CLIC
1991-05-23,5.5,CLIC
1991-05-24,9.75,CLIC
1991-05-25,5.65,CLIC
1991-05-26,4.15,CLIC
1991-05-27,4.3,CLIC
1991-05-28,8.5,CLIC
1991-05-29,3.85,CLIC
1991-05-30,7.5,CLIC
1991-05-31,7.8,CLIC
1991-06-01,8.49,CLIC
1991-06-02,6.86,CLIC
1991-06-03,4.4,CLIC
1991-06-04,4.7,CLIC
1991-06-05,5.15,CLIC
1991-06-06,5.04,CLIC
1991-06-07,5.15,CLIC
1991-06-08,4.6,CLIC
1991-06-09,6.2,CLIC
1991-06-10,5.2,CLIC
1991-06-11,0.8,CLIC
1991-06-12,8,CLIC
1991-06-13,2.3,CLIC
1991-06-14,4.95,CLIC
1991-06-15,4.25,CLIC
1991-06-16,5.2,CLIC
1991-06-17,5.1,CLIC
1991-06-18,4.15,CLIC
1991-06-19,5.35,CLIC
1991-06-20,10.15,CLIC
1991-06-21,4.9,CLIC
1991-06-22,10.3,CLIC
1991-06-23,4.4,CLIC
1991-06-24,5.15,CLIC
1991-06-25,7.6,CLIC
1991-06-26,4.8,CLIC
1991-06-27,4.5,CLIC
1991-06-28,7.25,CLIC
1991-06-29,4.65,CLIC
1991-06-30,4.95,CLIC
1991-07-01,1.8,CLIC
1991-07-02,1.55,CLIC
1991-07-03,0.85,CLIC
1991-07-04,2.75,CLIC
1991-07-05,8.3,CLIC
1991-07-06,4.55,CLIC
1991-07-07,5.25,CLIC
1991-07-08,3.3,CLIC
1991-07-09,3.95,CLIC
1991-07-10,1.15,CLIC
1991-07-11,7.9,CLIC
1991-07-12,1.25,CLIC
1991-07-13,5.8,CLIC
1991-07-14,3.85,CLIC
1991-07-15,1,CLIC
1991-07-16,5,CLIC
1991-07-17,2.95,CLIC
1991-07-18,5,CLIC
1991-07-19,4.55,CLIC
1991-07-20,5,CLIC
1991-07-21,4.75,CLIC
1991-07-22,6.7,CLIC
1991-07-23,1.8,CLIC
1991-07-24,3.65,CLIC
1991-07-25,2.75,CLIC
1991-07-26,5.75,CLIC
1991-07-27,5.35,CLIC
1991-07-28,4.55,CLIC
1991-07-29,4.9,CLIC
1991-07-30,5.35,CLIC
1991-07-31,9.55,CLIC
1991-08-01,5.95,CLIC
1991-08-02,5.4,CLIC
1991-08-03,10,CLIC
1991-08-04,4.8,CLIC
1991-08-05,5,CLIC
1991-08-06,5.65,CLIC
1991-08-07,5.7,CLIC
1991-08-08,3.85,CLIC
1991-08-09,1.55,CLIC
1991-08-10,2,CLIC
1991-08-11,4.75,CLIC
1991-08-12,5.35,CLIC
1991-08-13,4.65,CLIC
1991-08-14,5.7,CLIC
1991-08-15,4.6,CLIC
1991-08-16,3.9,CLIC
1991-08-17,6,CLIC
1991-08-18,4.75,CLIC
1991-08-19,5.15,CLIC
1991-08-20,5.6,CLIC
1991-08-21,4.75,CLIC
1991-08-22,4.6,CLIC
1991-08-23,5.65,CLIC
1991-08-24,4.8,CLIC
1991-08-25,5,CLIC
1991-08-26,4.8,CLIC
1991-08-27,5.45,CLIC
1991-08-28,4.8,CLIC
1991-08-29,6,CLIC
1991-08-30,5.3,CLIC
1991-08-31,3.9,CLIC
1991-09-01,4.1,CLIC
1991-09-02,5.6,CLIC
1991-09-03,1,CLIC
1991-09-04,7.2,CLIC
1991-09-05,5,CLIC
1991-09-06,1.2,CLIC
1991-09-07,5.15,CLIC
1991-09-08,2,CLIC
1991-09-09,2.75,CLIC
1991-09-10,5.2,CLIC
1991-09-11,7.4,CLIC
1991-09-12,0.8,CLIC
1991-09-13,2,CLIC
1991-09-14,1.7,CLIC
1991-09-15,7.5,CLIC
1991-09-16,7.3,CLIC
1991-09-17,1.2,CLIC
1991-09-18,1.7,CLIC
1991-09-19,0.1,CLIC
1991-09-20,4.8,CLIC
1991-09-21,3.35,CLIC
1991-09-22,2.55,CLIC
1991-09-23,3.7,CLIC
1991-09-24,2.7,CLIC
1991-09-25,5.9,CLIC
1991-09-26,5,CLIC
1991-09-27,5.5,CLIC
1991-09-28,2,CLIC
1991-09-29,5.3,CLIC
1991-09-30,0.2,CLIC
1991-10-01,3.46,CLIC
1991-10-02,4.1,CLIC
1991-10-03,5.21,CLIC
1991-10-04,3.35,CLIC
1991-10-05,3.7,CLIC
1991-10-06,1.23,CLIC
1991-10-07,1.01,CLIC
1991-10-08,1.76,CLIC
1991-10-09,1.8,CLIC
1991-10-10,2,CLIC
1991-10-11,4.2,CLIC
1991-10-12,2.1,CLIC
1991-10-13,3.08,CLIC
1991-10-14,4.55,CLIC
1991-10-15,2.35,CLIC
1991-10-16,5.75,CLIC
1991-10-17,2.3,CLIC
1991-10-18,5.46,CLIC
1991-10-19,2.86,CLIC
1991-10-20,1.76,CLIC
1991-10-21,3.71,CLIC
1991-10-22,2.85,CLIC
1991-10-23,5.36,CLIC
1991-10-24,6.85,CLIC
1991-10-25,7.08,CLIC
1991-10-26,6.31,CLIC
1991-10-27,6.46,CLIC
1991-10-28,7.46,CLIC
1991-10-29,6.23,CLIC
1991-10-30,4.15,CLIC
1991-10-31,6.23,CLIC
1991-11-01,0.86,CLIC
1991-11-02,0.7,CLIC
1991-11-03,1.95,CLIC
1991-11-04,1.15,CLIC
1991-11-05,1.08,CLIC
1991-11-06,1.75,CLIC
1991-11-07,1.4,CLIC
1991-11-08,3.45,CLIC
1991-11-09,1.85,CLIC
1991-11-10,0.9,CLIC
1991-11-11,1.7,CLIC
1991-11-12,4.7,CLIC
1991-11-13,1.85,CLIC
1991-11-14,1.15,CLIC
1991-11-15,3.75,CLIC
1991-11-16,1.3,CLIC
1991-11-17,3,CLIC
1991-11-18,1.9,CLIC
1991-11-19,3.2,CLIC
1991-11-20,5.25,CLIC
1991-11-21,5,CLIC
1991-11-22,0.25,CLIC
1991-11-23,1.7,CLIC
1991-11-24,5.75,CLIC
1991-11-25,0.78,CLIC
1991-11-26,2,CLIC
1991-11-27,3.95,CLIC
1991-11-28,2,CLIC
1991-11-29,1.4,CLIC
1991-11-30,1.35,CLIC
1991-12-01,1.35,CLIC
1991-12-02,3.1,CLIC
1991-12-03,0.2,CLIC
1991-12-04,1.86,CLIC
1991-12-05,3.23,CLIC
1991-12-06,2.45,CLIC
1991-12-07,3.23,CLIC
1991-12-08,1.46,CLIC
1991-12-09,2.41,CLIC
1991-12-10,2.85,CLIC
1991-12-11,2.2,CLIC
1991-12-12,3.2,CLIC
1991-12-13,1.86,CLIC
1991-12-14,2.46,CLIC
1991-12-15,1.86,CLIC
1991-12-16,0.46,CLIC
1991-12-17,3.41,CLIC
1991-12-18,1.96,CLIC
1991-12-19,0.43,CLIC
1991-12-20,0.56,CLIC
1991-12-21,0.95,CLIC
1991-12-22,1.79,CLIC
1991-12-23,2.24,CLIC
1991-12-24,1.86,CLIC
1991-12-25,1.53,CLIC
1991-12-26,3.2,CLIC
1991-12-27,1.7,CLIC
1991-12-28,1,CLIC
1991-12-29,1.75,CLIC
1991-12-30,2.15,CLIC
1991-12-31,1.36,CLIC
1992-01-01,5.66,CLIC
1992-01-02,1.55,CLIC
1992-01-03,2.5,CLIC
1992-01-04,2.43,CLIC
1992-01-05,2.2,CLIC
1992-01-06,0.7,CLIC
1992-01-07,1.9,CLIC
1992-01-08,3.6,CLIC
1992-01-09,1.8,CLIC
1992-01-10,1.03,CLIC
1992-01-11,5,CLIC
1992-01-12,1.6,CLIC
1992-01-13,1.8,CLIC
1992-01-14,1.9,CLIC
1992-01-15,2.8,CLIC
1992-01-16,0.48,CLIC
1992-01-17,4.8,CLIC
1992-01-18,8.3,CLIC
1992-01-19,3.8,CLIC
1992-01-20,0.51,CLIC
1992-01-21,0.75,CLIC
1992-01-22,1.08,CLIC
1992-01-23,1.3,CLIC
1992-01-24,1.9,CLIC
1992-01-25,3.4,CLIC
1992-01-26,2.1,CLIC
1992-01-27,3.45,CLIC
1992-01-28,2.86,CLIC
1992-01-29,0.3,CLIC
1992-01-30,0.99,CLIC
1992-01-31,1.15,CLIC
1992-03-01,1.2,CLIC
1992-03-02,3.4,CLIC
1992-03-03,2.15,CLIC
1992-03-04,2.7,CLIC
1992-03-05,2.9,CLIC
1992-03-06,4.1,CLIC
1992-03-07,3,CLIC
1992-03-08,5.75,CLIC
1992-03-09,4.4,CLIC
1992-03-10,5.4,CLIC
1992-03-11,2.55,CLIC
1992-03-12,2.35,CLIC
1992-03-13,1.15,CLIC
1992-03-14,3.01,CLIC
1992-03-15,3.61,CLIC
1992-03-16,1.9,CLIC
1992-03-17,2.99,CLIC
1992-03-18,2.55,CLIC
1992-03-19,5.3,CLIC
1992-03-20,4.8,CLIC
1992-03-21,3.2,CLIC
1992-03-22,4,CLIC
1992-03-23,1.6,CLIC
1992-03-24,3.1,CLIC
1992-03-25,4.55,CLIC
1992-03-26,1.1,CLIC
1992-03-27,1.75,CLIC
1992-03-28,3.55,CLIC
1992-03-29,1.75,CLIC
1992-03-30,1,CLIC
1992-03-31,4.75,CLIC
1992-04-01,4.2,CLIC
1992-04-02,6.45,CLIC
1992-04-03,1.63,CLIC
1992-04-04,1.8,CLIC
1992-04-05,2.95,CLIC
1992-04-06,3.15,CLIC
1992-04-07,4.4,CLIC
1992-04-08,2.6,CLIC
1992-04-09,1.99,CLIC
1992-04-10,2.91,CLIC
1992-04-11,2.3,CLIC
1992-04-12,2.95,CLIC
1992-04-13,3.02,CLIC
1992-04-14,2.9,CLIC
1992-04-15,4.6,CLIC
1992-04-16,2.5,CLIC
1992-04-17,4.9,CLIC
1992-04-18,4.7,CLIC
1992-04-19,5.05,CLIC
1992-04-20,2.45,CLIC
1992-04-21,5.8,CLIC
1992-04-22,5.1,CLIC
1992-04-23,3,CLIC
1992-04-24,4,CLIC
1992-04-25,2.51,CLIC
1992-04-26,3.4,CLIC
1992-04-27,4.28,CLIC
1992-04-28,3.95,CLIC
1992-04-29,5.05,CLIC
1992-04-30,7.35,CLIC
1992-05-01,3.6,CLIC
1992-05-02,1.4,CLIC
1992-05-03,2.93,CLIC
1992-05-04,4,CLIC
1992-05-05,5.01,CLIC
1992-05-06,4.85,CLIC
1992-05-07,2,CLIC
1992-05-08,5.39,CLIC
1992-05-09,1.2,CLIC
1992-05-10,3.28,CLIC
1992-05-11,4.95,CLIC
1992-05-12,4.81,CLIC
1992-05-13,3.1,CLIC
1992-05-14,1.45,CLIC
1992-05-15,1.55,CLIC
1992-05-16,3.91,CLIC
1992-05-17,2,CLIC
1992-05-18,4.01,CLIC
1992-05-19,4.85,CLIC
1992-05-20,2.32,CLIC
1992-05-21,3.91,CLIC
1992-05-22,2.75,CLIC
1992-05-23,3.1,CLIC
1992-05-24,2.9,CLIC
1992-05-25,6.01,CLIC
1992-05-26,4.25,CLIC
1992-05-27,3.9,CLIC
1992-05-28,1.2,CLIC
1992-05-29,2.7,CLIC
1992-05-30,3.95,CLIC
1992-05-31,5.65,CLIC
1992-06-01,2.05,CLIC
1992-06-02,4.3,CLIC
1992-06-03,4,CLIC
1992-06-04,2.65,CLIC
1992-06-05,5.35,CLIC
1992-06-06,8,CLIC
1992-06-07,8.2,CLIC
1992-06-08,5.49,CLIC
1992-06-09,4.55,CLIC
1992-06-10,4.7,CLIC
1992-06-11,5.05,CLIC
1992-06-12,7.15,CLIC
1992-06-13,8.25,CLIC
1992-06-14,6.65,CLIC
1992-06-15,4.15,CLIC
1992-06-16,5.03,CLIC
1992-06-17,4.22,CLIC
1992-06-18,5.81,CLIC
1992-06-19,6.04,CLIC
1992-06-20,6.45,CLIC
1992-06-21,7.2,CLIC
1992-06-22,7.55,CLIC
1992-06-23,5.9,CLIC
1992-06-24,4.85,CLIC
1992-06-25,5.21,CLIC
1992-06-26,7.9,CLIC
1992-06-27,7.65,CLIC
1992-06-28,4.3,CLIC
1992-06-29,7.55,CLIC
1992-06-30,4.25,CLIC
1992-09-01,2.45,CLIC
1992-09-02,4.75,CLIC
1992-09-03,3.25,CLIC
1992-09-04,4.35,CLIC
1992-09-05,5,CLIC
1992-09-06,4.21,CLIC
1992-09-07,5.03,CLIC
1992-09-08,0.75,CLIC
1992-09-09,2.43,CLIC
1992-09-10,0.96,CLIC
1992-09-11,2.4,CLIC
1992-09-12,1.91,CLIC
1992-09-13,1.28,CLIC
1992-09-14,2.31,CLIC
1992-09-15,2.35,CLIC
1992-09-16,5,CLIC
1992-09-17,4.81,CLIC
1992-09-18,5.4,CLIC
1992-09-19,2.8,CLIC
1992-09-20,4,CLIC
1992-09-21,4.2,CLIC
1992-09-22,5.3,CLIC
1992-09-23,5.2,CLIC
1992-09-24,0.25,CLIC
1992-09-25,2.9,CLIC
1992-09-26,4.55,CLIC
1992-09-27,5.65,CLIC
1992-09-28,5.05,CLIC
1992-09-29,4.95,CLIC
1992-09-30,4.5,CLIC
1992-10-01,1.46,CLIC
1992-10-02,5.4,CLIC
1992-10-03,4.55,CLIC
1992-10-04,5.3,CLIC
1992-10-05,4.25,CLIC
1992-10-06,0.3,CLIC
1992-10-07,2.2,CLIC
1992-10-08,1.55,CLIC
1992-10-09,3.45,CLIC
1992-10-10,1.15,CLIC
1992-10-11,1.3,CLIC
1992-10-12,3.15,CLIC
1992-10-13,4.05,CLIC
1992-10-14,3,CLIC
1992-10-15,1.6,CLIC
1992-10-16,4.9,CLIC
1992-10-17,3,CLIC
1992-10-18,2.35,CLIC
1992-10-19,3.35,CLIC
1992-10-20,3.6,CLIC
1992-10-21,2.9,CLIC
1992-10-22,2.9,CLIC
1992-10-23,3,CLIC
1992-10-24,2,CLIC
1992-10-25,5.1,CLIC
1992-10-26,3.9,CLIC
1992-10-27,2.3,CLIC
1992-10-28,2.76,CLIC
1992-10-29,2.1,CLIC
1992-10-30,3.45,CLIC
1992-10-31,3.28,CLIC
1992-11-01,4.81,CLIC
1992-11-02,4.26,CLIC
1992-11-03,3.65,CLIC
1992-11-04,6.2,CLIC
1992-11-05,4.1,CLIC
1992-11-06,1.55,CLIC
1992-11-07,0.8,CLIC
1992-11-08,3,CLIC
1992-11-09,3.45,CLIC
1992-11-10,3.15,CLIC
1992-11-11,0.2,CLIC
1992-11-12,3.6,CLIC
1992-11-13,3.85,CLIC
1992-11-14,1.35,CLIC
1992-11-15,1.85,CLIC
1992-11-16,0.75,CLIC
1992-11-17,0.6,CLIC
1992-11-18,1.2,CLIC
1992-11-19,1.2,CLIC
1992-11-20,5.8,CLIC
1992-11-21,4.8,CLIC
1992-11-22,3.35,CLIC
1992-11-23,1.9,CLIC
1992-11-24,1.85,CLIC
1992-11-25,3.6,CLIC
1992-11-26,1.75,CLIC
1992-11-27,2.5,CLIC
1992-11-28,1.9,CLIC
1992-11-29,1,CLIC
1992-11-30,1.75,CLIC
1992-12-01,4.8,CLIC
1992-12-02,1.85,CLIC
1992-12-03,3.25,CLIC
1992-12-04,1.2,CLIC
1992-12-05,3.2,CLIC
1992-12-06,2,CLIC
1992-12-07,2.45,CLIC
1992-12-08,4.55,CLIC
1992-12-09,3.4,CLIC
1992-12-10,4.1,CLIC
1992-12-11,1.15,CLIC
1992-12-12,3.1,CLIC
1992-12-13,2.75,CLIC
1992-12-14,0.2,CLIC
1992-12-15,1.65,CLIC
1992-12-16,1.4,CLIC
1992-12-17,2.1,CLIC
1992-12-18,3.45,CLIC
1992-12-19,1.8,CLIC
1992-12-20,1.85,CLIC
1992-12-21,2.9,CLIC
1992-12-22,2.7,CLIC
1992-12-23,2.4,CLIC
1992-12-24,0.25,CLIC
1992-12-25,2.1,CLIC
1992-12-26,3.35,CLIC
1992-12-27,2.9,CLIC
1992-12-28,2.8,CLIC
1992-12-29,1.7,CLIC
1992-12-30,5.7,CLIC
1992-12-31,4.5,CLIC
1993-02-01,3.29,CLIC
1993-02-02,1.23,CLIC
1993-02-03,0.93,CLIC
1993-02-04,0.76,CLIC
1993-02-05,2.14,CLIC
1993-02-06,1.05,CLIC
1993-02-07,1.66,CLIC
1993-02-08,1.8,CLIC
1993-02-09,5.4,CLIC
1993-02-10,1.65,CLIC
1993-02-11,2,CLIC
1993-02-12,3.5,CLIC
1993-02-13,2.9,CLIC
1993-02-14,2,CLIC
1993-02-15,2.65,CLIC
1993-02-16,5,CLIC
1993-02-17,4.75,CLIC
1993-02-18,5.5,CLIC
1993-02-19,4.4,CLIC
1993-02-20,2.15,CLIC
1993-02-21,3.75,CLIC
1993-02-22,4.5,CLIC
1993-02-23,5,CLIC
1993-02-24,2.2,CLIC
1993-02-25,4.55,CLIC
1993-02-26,2.8,CLIC
1993-02-27,5.35,CLIC
1993-02-28,4.5,CLIC
1993-03-01,5.35,CLIC
1993-03-02,3.25,CLIC
1993-03-03,1.7,CLIC
1993-03-04,2,CLIC
1993-03-05,5.2,CLIC
1993-03-06,2,CLIC
1993-03-07,3,CLIC
1993-03-08,2.1,CLIC
1993-03-09,1.05,CLIC
1993-03-10,3.7,CLIC
1993-03-11,6.45,CLIC
1993-03-12,3.65,CLIC
1993-03-13,4.4,CLIC
1993-03-14,2.95,CLIC
1993-03-15,3.8,CLIC
1993-03-16,3.3,CLIC
1993-03-17,5.7,CLIC
1993-03-18,4.9,CLIC
1993-03-19,4.3,CLIC
1993-03-20,5.3,CLIC
1993-03-21,5.3,CLIC
1993-03-22,4.7,CLIC
1993-03-23,5,CLIC
1993-03-24,5.35,CLIC
1993-03-25,0.25,CLIC
1993-03-26,4.75,CLIC
1993-03-27,4.35,CLIC
1993-03-28,5.65,CLIC
1993-03-29,4.3,CLIC
1993-03-30,7.1,CLIC
1993-03-31,5.2,CLIC
1993-04-08,4.3,CLIC
1993-04-09,8.5,CLIC
1993-04-10,3.55,CLIC
1993-04-11,2.95,CLIC
1993-04-12,5,CLIC
1993-04-13,5.7,CLIC
1993-04-14,12.6,CLIC
1993-04-15,7.15,CLIC
1993-04-16,9.85,CLIC
1993-04-17,4,CLIC
1993-04-18,3.45,CLIC
1993-04-19,7.45,CLIC
1993-04-20,4.95,CLIC
1993-04-21,5.4,CLIC
1993-04-22,5.2,CLIC
1993-04-23,6.25,CLIC
1993-04-24,3.65,CLIC
1993-04-25,4.2,CLIC
1993-05-08,9.85,CLIC
1993-05-09,10.35,CLIC
1993-05-10,3.75,CLIC
1993-05-11,5.3,CLIC
1993-05-12,5.6,CLIC
1993-05-13,1.6,CLIC
1993-05-14,5.6,CLIC
1993-05-15,4.25,CLIC
1993-05-16,5,CLIC
1993-05-17,5.65,CLIC
1993-05-18,4.75,CLIC
1993-05-19,5.55,CLIC
1993-05-20,8.6,CLIC
1993-05-21,4.7,CLIC
1993-05-22,4.15,CLIC
1993-05-23,5.35,CLIC
1993-05-24,4.4,CLIC
1993-05-25,5,CLIC
1993-05-26,7.3,CLIC
1997-10-01,5,CLIC
1997-10-02,5.65,CLIC
1997-10-03,4.9,CLIC
1997-10-04,4.78,CLIC
1997-10-05,5.85,CLIC
1997-10-06,4.8,CLIC
1997-10-07,5.1,CLIC
1997-10-08,4.88,CLIC
1997-10-09,3.99,CLIC
1997-10-10,3.78,CLIC
