Estación: ,C19268,Allende II
2004-02-11,7,CLIC
2004-02-12,8,CLIC
2004-02-13,0,CLIC
2004-02-14,0,CLIC
2004-02-15,0,CLIC
2004-02-16,0,CLIC
2004-02-17,0,CLIC
2004-02-18,0,CLIC
2004-02-19,0,CLIC
2004-02-20,0,CLIC
2004-02-21,0,CLIC
2004-02-22,0,CLIC
2004-02-23,0,CLIC
2004-02-24,0,CLIC
2004-02-25,0,CLIC
2004-02-26,0,CLIC
2004-02-27,0,CLIC
2004-02-28,0,CLIC
2004-02-29,0,CLIC
2004-03-01,0,CLIC
2004-03-02,0,CLIC
2004-03-03,0,CLIC
2004-03-04,0,CLIC
2004-03-05,0,CLIC
2004-03-06,0,CLIC
2004-03-07,0,CLIC
2004-03-08,0,CLIC
2004-03-09,0,CLIC
2004-03-10,10,CLIC
2004-03-11,9,CLIC
2004-03-12,9,CLIC
2004-03-13,7,CLIC
2004-03-14,23,CLIC
2004-03-15,6,CLIC
2004-03-16,0,CLIC
2004-03-17,0,CLIC
2004-03-18,2,CLIC
2004-03-19,0,CLIC
2004-03-20,3,CLIC
2004-03-21,30,CLIC
2004-03-22,0,CLIC
2004-03-23,0,CLIC
2004-03-24,0,CLIC
2004-03-25,0,CLIC
2004-03-26,0,CLIC
2004-03-27,0,CLIC
2004-03-28,0,CLIC
2004-03-29,101.3,CLIC
2004-03-30,1,CLIC
2004-03-31,10,CLIC
2004-04-01,0,CLIC
2004-04-02,9,CLIC
2004-04-03,16,CLIC
2004-04-04,3,CLIC
2004-04-05,2,CLIC
2004-04-06,0,CLIC
2004-04-07,0,CLIC
2004-04-08,0,CLIC
2004-04-09,3.5,CLIC
2004-04-10,0,CLIC
2004-04-11,0,CLIC
2004-04-12,2,CLIC
2004-04-13,0,CLIC
2004-04-14,0,CLIC
2004-04-15,0,CLIC
2004-04-16,0,CLIC
2004-04-17,0,CLIC
2004-04-18,0,CLIC
2004-04-19,0,CLIC
2004-04-20,0,CLIC
2004-04-21,2,CLIC
2004-04-22,3,CLIC
2004-04-23,0.8,CLIC
2004-04-24,20,CLIC
2004-04-25,60,CLIC
2004-04-26,2,CLIC
2004-04-27,0,CLIC
2004-04-28,0,CLIC
2004-04-29,0,CLIC
2004-04-30,0,CLIC
2004-05-01,0,CLIC
2004-05-02,0,CLIC
2004-05-03,0,CLIC
2004-05-04,0,CLIC
2004-05-05,0,CLIC
2004-05-06,0,CLIC
2004-05-07,0,CLIC
2004-05-08,2,CLIC
2004-05-09,0,CLIC
2004-05-10,0,CLIC
2004-05-11,0,CLIC
2004-05-12,0,CLIC
2004-05-13,19,CLIC
2004-05-14,12,CLIC
2004-05-15,0,CLIC
2004-05-16,3,CLIC
2004-05-17,0,CLIC
2004-05-18,0,CLIC
2004-05-19,0,CLIC
2004-05-20,0,CLIC
2004-05-21,0,CLIC
2004-05-22,0,CLIC
2004-05-23,0,CLIC
2004-05-24,0,CLIC
2004-05-25,0,CLIC
2004-05-26,0,CLIC
2004-05-27,0,CLIC
2004-05-28,0,CLIC
2004-05-29,0,CLIC
2004-05-30,0,CLIC
2004-05-31,0,CLIC
2004-07-01,0,CLIC
2004-07-02,0,CLIC
2004-07-03,0,CLIC
2004-07-04,0,CLIC
2004-07-05,0,CLIC
2004-07-06,45,CLIC
2004-07-07,0,CLIC
2004-07-08,0,CLIC
2004-07-09,0,CLIC
2004-07-10,0,CLIC
2004-07-11,0.5,CLIC
2004-07-12,0,CLIC
2004-07-13,0,CLIC
2004-07-14,0,CLIC
2004-07-15,0,CLIC
2004-07-16,0,CLIC
2004-07-17,0,CLIC
2004-07-18,0,CLIC
2004-07-19,0,CLIC
2004-07-20,0,CLIC
2004-07-21,0,CLIC
2004-07-22,21,CLIC
2004-07-23,20.5,CLIC
2004-07-24,0,CLIC
2004-07-25,9,CLIC
2004-07-26,2,CLIC
2004-07-27,0,CLIC
2004-07-28,0,CLIC
2004-07-29,0,CLIC
2004-07-30,0,CLIC
2004-07-31,14,CLIC
2004-08-01,0,CLIC
2004-08-02,1.5,CLIC
2004-08-03,0,CLIC
2004-08-04,0,CLIC
2004-08-05,0,CLIC
2004-08-06,0,CLIC
2004-08-07,0,CLIC
2004-08-08,0,CLIC
2004-08-09,1.5,CLIC
2004-08-10,16,CLIC
2004-08-11,44,CLIC
2004-08-12,0,CLIC
2004-08-13,0,CLIC
2004-08-14,0,CLIC
2004-08-15,0,CLIC
2004-08-16,0,CLIC
2004-08-17,0,CLIC
2004-08-18,0,CLIC
2004-08-19,0,CLIC
2004-08-20,0,CLIC
2004-08-21,0,CLIC
2004-08-22,0,CLIC
2004-08-23,0,CLIC
2004-08-24,1,CLIC
2004-08-25,0,CLIC
2004-08-26,0,CLIC
2004-08-27,0,CLIC
2004-08-28,0,CLIC
2004-08-29,11,CLIC
2004-08-30,58,CLIC
2004-08-31,28,CLIC
2004-09-01,102,CLIC
2004-09-02,64,CLIC
2004-09-03,0,CLIC
2004-09-04,3,CLIC
2004-09-05,45,CLIC
2004-09-06,8,CLIC
2004-09-07,6,CLIC
2004-09-08,0,CLIC
2004-09-09,0,CLIC
2004-09-10,0,CLIC
2004-09-11,0,CLIC
2004-09-12,0,CLIC
2004-09-13,0,CLIC
2004-09-14,0,CLIC
2004-09-15,5,CLIC
2004-09-16,4,CLIC
2004-09-17,32,CLIC
2004-09-18,1.5,CLIC
2004-09-19,46,CLIC
2004-09-20,28,CLIC
2004-09-21,0,CLIC
2004-09-22,54,CLIC
2004-09-23,17,CLIC
2004-09-24,21,CLIC
2004-09-25,13,CLIC
2004-09-26,0,CLIC
2004-09-27,0,CLIC
2004-09-28,0,CLIC
2004-09-29,0,CLIC
2004-09-30,0,CLIC
2004-10-01,0,CLIC
2004-10-02,15,CLIC
2004-10-03,0,CLIC
2004-10-04,0,CLIC
2004-10-05,0,CLIC
2004-10-06,25,CLIC
2004-10-07,1,CLIC
2004-10-08,5,CLIC
2004-10-09,1,CLIC
2004-10-10,2,CLIC
2004-10-11,0,CLIC
2004-10-12,0,CLIC
2004-10-13,0,CLIC
2004-10-14,3,CLIC
2004-10-15,0,CLIC
2004-10-16,0,CLIC
2004-10-17,0,CLIC
2004-10-18,0,CLIC
2004-10-19,0,CLIC
2004-10-20,0,CLIC
2004-10-21,0,CLIC
2004-10-22,0,CLIC
2004-10-23,0,CLIC
2004-10-24,0,CLIC
2004-10-25,0,CLIC
2004-10-26,0,CLIC
2004-10-27,0,CLIC
2004-10-28,0,CLIC
2004-10-29,0,CLIC
2004-10-30,0,CLIC
2004-10-31,0,CLIC
2004-11-01,0,CLIC
2004-11-02,0,CLIC
2004-11-03,0,CLIC
2004-11-04,0,CLIC
2004-11-05,0,CLIC
2004-11-06,0,CLIC
2004-11-07,0,CLIC
2004-11-08,0,CLIC
2004-11-09,0,CLIC
2004-11-10,0,CLIC
2004-11-11,0,CLIC
2004-11-12,0,CLIC
2004-11-13,2,CLIC
2004-11-14,0.5,CLIC
2004-11-15,0.5,CLIC
2004-11-16,8,CLIC
2004-11-17,0,CLIC
2004-11-18,0.5,CLIC
2004-11-19,0,CLIC
2004-11-20,0,CLIC
2004-11-21,1,CLIC
2004-11-22,0,CLIC
2004-11-23,0,CLIC
2004-11-24,0,CLIC
2004-11-25,0,CLIC
2004-11-26,0,CLIC
2004-11-27,0,CLIC
2004-11-28,0,CLIC
2004-11-29,0,CLIC
2004-11-30,0,CLIC
2004-12-01,0,CLIC
2004-12-02,0,CLIC
2004-12-03,2,CLIC
2004-12-04,2.5,CLIC
2004-12-05,0,CLIC
2004-12-06,0,CLIC
2004-12-07,0,CLIC
2004-12-08,0,CLIC
2004-12-09,0,CLIC
2004-12-10,0,CLIC
2004-12-11,0,CLIC
2004-12-12,0,CLIC
2004-12-13,0,CLIC
2004-12-14,0,CLIC
2004-12-15,0,CLIC
2004-12-16,2,CLIC
2004-12-17,0,CLIC
2004-12-18,0,CLIC
2004-12-19,0,CLIC
2004-12-20,0,CLIC
2004-12-21,0,CLIC
2004-12-22,0,CLIC
2004-12-23,0,CLIC
2004-12-24,0,CLIC
2004-12-25,0,CLIC
2004-12-26,0,CLIC
2004-12-27,0,CLIC
2004-12-28,0,CLIC
2004-12-29,0,CLIC
2004-12-30,0,CLIC
2004-12-31,0,CLIC
2005-01-01,0,CLIC
2005-01-02,0,CLIC
2005-01-03,0,CLIC
2005-01-04,0.5,CLIC
2005-01-05,0,CLIC
2005-01-06,0,CLIC
2005-01-07,0,CLIC
2005-01-08,0,CLIC
2005-01-09,2.5,CLIC
2005-01-10,0,CLIC
2005-01-11,0,CLIC
2005-01-12,0,CLIC
2005-01-13,0,CLIC
2005-01-14,0,CLIC
2005-01-15,0,CLIC
2005-01-16,0,CLIC
2005-01-17,0,CLIC
2005-01-18,0,CLIC
2005-01-19,2.5,CLIC
2005-01-20,0,CLIC
2005-01-21,0,CLIC
2005-01-22,0,CLIC
2005-01-23,29,CLIC
2005-01-24,0,CLIC
2005-01-25,0,CLIC
2005-01-26,0,CLIC
2005-01-27,2,CLIC
2005-01-28,45,CLIC
2005-01-29,0,CLIC
2005-01-30,30,CLIC
2005-01-31,4,CLIC
2005-02-01,5,CLIC
2005-02-02,3,CLIC
2005-02-03,2,CLIC
2005-02-04,4,CLIC
2005-02-05,4,CLIC
2005-02-06,0,CLIC
2005-02-07,0,CLIC
2005-02-08,0,CLIC
2005-02-09,0,CLIC
2005-02-10,19,CLIC
2005-02-11,5,CLIC
2005-02-12,4,CLIC
2005-02-13,4,CLIC
2005-02-14,0,CLIC
2005-02-15,0,CLIC
2005-02-16,0,CLIC
2005-02-17,2,CLIC
2005-02-18,12,CLIC
2005-02-19,5,CLIC
2005-02-20,0,CLIC
2005-02-21,0,CLIC
2005-02-22,0,CLIC
2005-02-23,2,CLIC
2005-02-24,0,CLIC
2005-02-25,60,CLIC
2005-02-26,21,CLIC
2005-02-27,5,CLIC
2005-02-28,0,CLIC
2005-03-01,0,CLIC
2005-03-02,0,CLIC
2005-03-03,0,CLIC
2005-03-04,0,CLIC
2005-03-05,0,CLIC
2005-03-06,2,CLIC
2005-03-07,1,CLIC
2005-03-08,1.5,CLIC
2005-03-09,50,CLIC
2005-03-10,0,CLIC
2005-03-11,0,CLIC
2005-03-12,0,CLIC
2005-03-13,0,CLIC
2005-03-14,0,CLIC
2005-03-15,0,CLIC
2005-03-16,0,CLIC
2005-03-17,2,CLIC
2005-03-18,4,CLIC
2005-03-19,0,CLIC
2005-03-20,0,CLIC
2005-03-21,0,CLIC
2005-03-22,0,CLIC
2005-03-23,0,CLIC
2005-03-24,0,CLIC
2005-03-25,0,CLIC
2005-03-26,0,CLIC
2005-03-27,0,CLIC
2005-03-28,0,CLIC
2005-03-29,0,CLIC
2005-03-30,0,CLIC
2005-03-31,0,CLIC
2005-04-01,0,CLIC
2005-04-02,0,CLIC
2005-04-03,0,CLIC
2005-04-04,0,CLIC
2005-04-05,0,CLIC
2005-04-06,0,CLIC
2005-04-07,0,CLIC
2005-04-08,0,CLIC
2005-04-09,0,CLIC
2005-04-10,0,CLIC
2005-04-11,0,CLIC
2005-04-12,0,CLIC
2005-04-13,0,CLIC
2005-04-14,0,CLIC
2005-04-15,0,CLIC
2005-04-16,0,CLIC
2005-04-17,0,CLIC
2005-04-18,0,CLIC
2005-04-19,0,CLIC
2005-04-20,0,CLIC
2005-04-21,0,CLIC
2005-04-22,0,CLIC
2005-04-23,0,CLIC
2005-04-24,31,CLIC
2005-04-25,0,CLIC
2005-04-26,0,CLIC
2005-04-27,0,CLIC
2005-04-28,0,CLIC
2005-04-30,0,CLIC
2005-05-01,0,CLIC
2005-05-02,13,CLIC
2005-05-03,11,CLIC
2005-05-04,14,CLIC
2005-05-05,2,CLIC
2005-05-06,0,CLIC
2005-05-07,0,CLIC
2005-05-08,0,CLIC
2005-05-09,0,CLIC
2005-05-10,0,CLIC
2005-05-11,0,CLIC
2005-05-12,0,CLIC
2005-05-13,30,CLIC
2005-05-14,12,CLIC
2005-05-15,0,CLIC
2005-05-16,2,CLIC
2005-05-17,0,CLIC
2005-05-18,0,CLIC
2005-05-19,0,CLIC
2005-05-20,0,CLIC
2005-05-21,0,CLIC
2005-05-22,0,CLIC
2005-05-23,0,CLIC
2005-05-24,0,CLIC
2005-05-25,13,CLIC
2005-05-26,31,CLIC
2005-05-27,2,CLIC
2005-05-28,0,CLIC
2005-05-29,0,CLIC
2005-05-30,0,CLIC
2005-05-31,0,CLIC
2005-06-01,0,CLIC
2005-06-02,0,CLIC
2005-06-03,0,CLIC
2005-06-04,3,CLIC
2005-06-05,0,CLIC
2005-06-06,0,CLIC
2005-06-07,0,CLIC
2005-06-08,8,CLIC
2005-06-09,0,CLIC
2005-06-10,4,CLIC
2005-06-11,0,CLIC
2005-06-12,0,CLIC
2005-06-13,0,CLIC
2005-06-14,0,CLIC
2005-06-15,2,CLIC
2005-06-16,0,CLIC
2005-06-17,0,CLIC
2005-06-18,0,CLIC
2005-06-19,0,CLIC
2005-06-20,0,CLIC
2005-06-21,0,CLIC
2005-06-22,0,CLIC
2005-06-23,0,CLIC
2005-06-24,0,CLIC
2005-06-25,0,CLIC
2005-06-26,0,CLIC
2005-06-27,0,CLIC
2005-06-28,0,CLIC
2005-06-29,0,CLIC
2005-06-30,0,CLIC
2005-07-01,0,CLIC
2005-07-02,0,CLIC
2005-07-03,0,CLIC
2005-07-04,0,CLIC
2005-07-05,1,CLIC
2005-07-06,0,CLIC
2005-07-07,0,CLIC
2005-07-08,0,CLIC
2005-07-09,0,CLIC
2005-07-10,10,CLIC
2005-07-11,0,CLIC
2005-07-12,0,CLIC
2005-07-13,0,CLIC
2005-07-14,0,CLIC
2005-07-15,43,CLIC
2005-07-16,10,CLIC
2005-07-17,0,CLIC
2005-07-18,21,CLIC
2005-07-19,1,CLIC
2005-07-20,193,CLIC
2005-07-21,21,CLIC
2005-07-22,0,CLIC
2005-07-23,0,CLIC
2005-07-24,38,CLIC
2005-07-25,42,CLIC
2005-07-26,3,CLIC
2005-07-27,0,CLIC
2005-07-28,0,CLIC
2005-07-29,0,CLIC
2005-07-30,0,CLIC
2005-07-31,0,CLIC
2005-08-01,16,CLIC
2005-08-02,12,CLIC
2005-08-03,0,CLIC
2005-08-04,0,CLIC
2005-08-05,0,CLIC
2005-08-06,3,CLIC
2005-08-07,0,CLIC
2005-08-08,0,CLIC
2005-08-09,0,CLIC
2005-08-10,1,CLIC
2005-08-11,0,CLIC
2005-08-12,0,CLIC
2005-08-13,0,CLIC
2005-08-14,0,CLIC
2005-08-15,0,CLIC
2005-08-16,0,CLIC
2005-08-17,0,CLIC
2005-08-18,0,CLIC
2005-08-19,0,CLIC
2005-08-20,0,CLIC
2005-08-21,0,CLIC
2005-08-22,0,CLIC
2005-08-23,0,CLIC
2005-08-24,0,CLIC
2005-08-25,0,CLIC
2005-08-26,0,CLIC
2005-08-27,0,CLIC
2005-08-28,57,CLIC
2005-08-29,3,CLIC
2005-08-30,0,CLIC
2005-08-31,47,CLIC
2005-09-01,0,CLIC
2005-09-02,9,CLIC
2005-09-03,33,CLIC
2005-09-04,0,CLIC
2005-09-05,0,CLIC
2005-09-06,11,CLIC
2005-09-07,0,CLIC
2005-09-08,0,CLIC
2005-09-09,115,CLIC
2005-09-10,0,CLIC
2005-09-11,0,CLIC
2005-09-12,0,CLIC
2005-09-13,0,CLIC
2005-09-14,0,CLIC
2005-09-15,0,CLIC
2005-09-16,0,CLIC
2005-09-17,0,CLIC
2005-09-18,0,CLIC
2005-09-19,0,CLIC
2005-09-20,0,CLIC
2005-09-21,0,CLIC
2005-09-22,0,CLIC
2005-09-23,0,CLIC
2005-09-24,0,CLIC
2005-09-25,0,CLIC
2005-09-26,0,CLIC
2005-09-27,0,CLIC
2005-09-28,0,CLIC
2005-09-29,0,CLIC
2005-09-30,0,CLIC
2005-10-01,0,CLIC
2005-10-02,0,CLIC
2005-10-03,9,CLIC
2005-10-04,15,CLIC
2005-10-05,11,CLIC
2005-10-06,39,CLIC
2005-10-07,1,CLIC
2005-10-08,1.5,CLIC
2005-10-09,8,CLIC
2005-10-10,83,CLIC
2005-10-11,0,CLIC
2005-10-12,57,CLIC
2005-10-13,34,CLIC
2005-10-14,35,CLIC
2005-10-15,0,CLIC
2005-10-16,1,CLIC
2005-10-17,0,CLIC
2005-10-18,0,CLIC
2005-10-19,0,CLIC
2005-10-20,0,CLIC
2005-10-21,0,CLIC
2005-10-22,0,CLIC
2005-10-23,40,CLIC
2005-10-24,0,CLIC
2005-10-25,0,CLIC
2005-10-26,49,CLIC
2005-10-27,83,CLIC
2005-10-28,0,CLIC
2005-10-29,8,CLIC
2005-10-30,0,CLIC
2005-10-31,0,CLIC
2005-11-01,0,CLIC
2005-11-02,0,CLIC
2005-11-03,0,CLIC
2005-11-04,0,CLIC
2005-11-05,0,CLIC
2005-11-06,0,CLIC
2005-11-07,0,CLIC
2005-11-08,0,CLIC
2005-11-09,0,CLIC
2005-11-10,0,CLIC
2005-11-11,3,CLIC
2005-11-12,0,CLIC
2005-11-13,0,CLIC
2005-11-14,0,CLIC
2005-11-15,14,CLIC
2005-11-16,0,CLIC
2005-11-17,0,CLIC
2005-11-18,4,CLIC
2005-11-19,0,CLIC
2005-11-20,1.5,CLIC
2005-11-21,0,CLIC
2005-11-22,0,CLIC
2005-11-23,0,CLIC
2005-11-24,0,CLIC
2005-11-25,0,CLIC
2005-11-26,0,CLIC
2005-11-27,0,CLIC
2005-11-28,0,CLIC
2005-11-29,0,CLIC
2005-11-30,0,CLIC
2005-12-01,1.5,CLIC
2005-12-02,0,CLIC
2005-12-03,0,CLIC
2005-12-04,0,CLIC
2005-12-05,0,CLIC
2005-12-06,0,CLIC
2005-12-07,1,CLIC
2005-12-08,4,CLIC
2005-12-09,0,CLIC
2005-12-10,0,CLIC
2005-12-11,0,CLIC
2005-12-12,0,CLIC
2005-12-13,0,CLIC
2005-12-14,1.5,CLIC
2005-12-15,0,CLIC
2005-12-16,0,CLIC
2005-12-17,0,CLIC
2005-12-18,5,CLIC
2005-12-19,3,CLIC
2005-12-20,1,CLIC
2005-12-21,0,CLIC
2005-12-22,0,CLIC
2005-12-23,0,CLIC
2005-12-24,0,CLIC
2005-12-25,0,CLIC
2005-12-26,0,CLIC
2005-12-27,0,CLIC
2005-12-28,0,CLIC
2005-12-29,0,CLIC
2005-12-30,0,CLIC
2005-12-31,0,CLIC
2006-01-01,0,CLIC
2006-01-02,0,CLIC
2006-01-03,0,CLIC
2006-01-04,0,CLIC
2006-01-05,0,CLIC
2006-01-06,0,CLIC
2006-01-07,0,CLIC
2006-01-08,0,CLIC
2006-01-09,0,CLIC
2006-01-10,0,CLIC
2006-01-11,0,CLIC
2006-01-12,0,CLIC
2006-01-13,0,CLIC
2006-01-14,0,CLIC
2006-01-15,0,CLIC
2006-01-16,0,CLIC
2006-01-17,0,CLIC
2006-01-18,0,CLIC
2006-01-19,0,CLIC
2006-01-20,0,CLIC
2006-01-21,0,CLIC
2006-01-22,0,CLIC
2006-01-23,0,CLIC
2006-01-24,0,CLIC
2006-01-25,0,CLIC
2006-01-26,0,CLIC
2006-01-27,0,CLIC
2006-01-28,0,CLIC
2006-01-29,0,CLIC
2006-01-30,0,CLIC
2006-01-31,0,CLIC
2006-02-01,0,CLIC
2006-02-02,0,CLIC
2006-02-03,0,CLIC
2006-02-04,0,CLIC
2006-02-05,0,CLIC
2006-02-06,0,CLIC
2006-02-07,0,CLIC
2006-02-08,0,CLIC
2006-02-09,0,CLIC
2006-02-10,0,CLIC
2006-02-11,0,CLIC
2006-02-12,0,CLIC
2006-02-13,0,CLIC
2006-02-14,0,CLIC
2006-02-15,0,CLIC
2006-02-16,0,CLIC
2006-02-17,2,CLIC
