Estación: ,C19023,CAMPO EXP. GRAL. TERAN.
1971-12-14,0,CLIC
1971-12-15,0,CLIC
1971-12-16,0,CLIC
1971-12-17,0,CLIC
1971-12-18,0,CLIC
1971-12-19,0,CLIC
1971-12-20,0,CLIC
1971-12-21,0,CLIC
1971-12-22,0,CLIC
1971-12-23,0,CLIC
1971-12-24,0,CLIC
1971-12-25,0,CLIC
1971-12-26,0,CLIC
1971-12-27,0,CLIC
1971-12-28,0,CLIC
1971-12-29,0,CLIC
1971-12-30,0,CLIC
1971-12-31,0,CLIC
1972-01-01,0,CLIC
1972-01-02,0,CLIC
1972-01-03,0,CLIC
1972-01-04,0,CLIC
1972-01-05,0,CLIC
1972-01-06,0,CLIC
1972-01-07,0,CLIC
1972-01-08,0,CLIC
1972-01-09,0,CLIC
1972-01-10,0,CLIC
1972-01-11,0,CLIC
1972-01-12,0,CLIC
1972-01-13,0,CLIC
1972-01-14,0,CLIC
1972-01-15,0,CLIC
1972-01-16,0,CLIC
1972-01-17,0,CLIC
1972-01-18,0,CLIC
1972-01-19,0,CLIC
1972-01-20,0,CLIC
1972-01-21,0,CLIC
1972-01-22,0,CLIC
1972-01-23,0,CLIC
1972-01-24,0,CLIC
1972-01-25,0,CLIC
1972-01-26,0,CLIC
1972-01-27,0,CLIC
1972-01-28,0,CLIC
1972-01-29,0,CLIC
1972-01-30,0,CLIC
1972-01-31,0,CLIC
1972-02-01,8,CLIC
1972-02-02,0,CLIC
1972-02-03,0,CLIC
1972-02-04,0,CLIC
1972-02-05,0,CLIC
1972-02-06,0,CLIC
1972-02-07,0,CLIC
1972-02-08,0,CLIC
1972-02-09,4,CLIC
1972-02-10,0,CLIC
1972-02-11,0,CLIC
1972-02-12,0,CLIC
1972-02-13,0,CLIC
1972-02-14,0,CLIC
1972-02-15,0,CLIC
1972-02-16,0,CLIC
1972-02-17,0,CLIC
1972-02-18,0,CLIC
1972-02-19,0,CLIC
1972-02-20,0,CLIC
1972-02-21,0,CLIC
1972-02-22,0,CLIC
1972-02-23,0,CLIC
1972-02-24,0,CLIC
1972-02-25,0,CLIC
1972-02-26,0,CLIC
1972-02-27,0,CLIC
1972-02-28,0,CLIC
1972-02-29,4.5,CLIC
1972-04-01,0,CLIC
1972-04-02,0,CLIC
1972-04-03,0,CLIC
1972-04-04,0,CLIC
1972-04-05,0,CLIC
1972-04-06,0,CLIC
1972-04-07,0,CLIC
1972-04-08,0,CLIC
1972-04-09,0,CLIC
1972-04-10,0,CLIC
1972-04-11,0,CLIC
1972-04-12,0,CLIC
1972-04-13,0,CLIC
1972-04-14,0,CLIC
1972-04-15,0,CLIC
1972-04-16,0,CLIC
1972-04-17,0,CLIC
1972-04-18,0,CLIC
1972-04-19,0,CLIC
1972-04-20,0,CLIC
1972-04-21,0,CLIC
1972-04-22,0,CLIC
1972-04-23,0,CLIC
1972-04-24,0,CLIC
1972-04-25,0,CLIC
1972-04-26,0,CLIC
1972-04-27,0,CLIC
1972-04-28,0,CLIC
1972-04-29,0,CLIC
1972-04-30,0,CLIC
1972-05-01,0,CLIC
1972-05-02,0,CLIC
1972-05-03,3.6,CLIC
1972-05-04,0,CLIC
1972-05-05,0,CLIC
1972-05-06,1.1,CLIC
1972-05-07,0,CLIC
1972-05-08,0,CLIC
1972-05-09,0.6,CLIC
1972-05-10,0.3,CLIC
1972-05-11,0,CLIC
1972-05-12,0.1,CLIC
1972-05-13,0,CLIC
1972-05-14,0,CLIC
1972-05-15,1,CLIC
1972-05-16,0.1,CLIC
1972-05-17,0,CLIC
1972-05-18,1.8,CLIC
1972-05-19,0,CLIC
1972-05-20,0,CLIC
1972-05-21,0,CLIC
1972-05-22,0,CLIC
1972-05-23,0,CLIC
1972-05-24,0,CLIC
1972-05-25,0,CLIC
1972-05-26,0,CLIC
1972-05-27,0,CLIC
1972-05-28,0,CLIC
1972-05-29,0,CLIC
1972-05-30,0.1,CLIC
1972-05-31,3.3,CLIC
1972-06-01,0,CLIC
1972-06-02,0,CLIC
1972-06-03,37,CLIC
1972-06-04,0,CLIC
1972-06-05,0,CLIC
1972-06-06,4,CLIC
1972-06-07,1,CLIC
1972-06-08,7,CLIC
1972-06-09,33,CLIC
1972-06-10,0,CLIC
1972-06-11,0,CLIC
1972-06-12,21,CLIC
1972-06-13,8,CLIC
1972-06-14,0,CLIC
1972-06-15,0,CLIC
1972-06-16,0,CLIC
1972-06-17,0,CLIC
1972-06-18,0,CLIC
1972-06-19,0,CLIC
1972-06-20,0,CLIC
1972-06-21,0,CLIC
1972-06-22,0,CLIC
1972-06-23,0,CLIC
1972-06-24,0,CLIC
1972-06-25,0,CLIC
1972-06-26,0,CLIC
1972-06-27,0,CLIC
1972-06-28,0,CLIC
1972-06-29,0,CLIC
1972-06-30,0,CLIC
1972-07-01,0,CLIC
1972-07-02,0,CLIC
1972-07-03,0,CLIC
1972-07-04,0,CLIC
1972-07-05,0,CLIC
1972-07-06,0,CLIC
1972-07-07,0,CLIC
1972-07-08,0,CLIC
1972-07-09,0,CLIC
1972-07-10,0,CLIC
1972-07-11,0,CLIC
1972-07-12,0,CLIC
1972-07-13,0,CLIC
1972-07-14,23,CLIC
1972-07-15,0,CLIC
1972-07-16,0,CLIC
1972-07-17,0,CLIC
1972-07-18,29,CLIC
1972-07-19,0,CLIC
1972-07-20,3,CLIC
1972-07-21,10,CLIC
1972-07-22,55,CLIC
1972-07-23,5,CLIC
1972-07-24,0,CLIC
1972-07-25,5,CLIC
1972-07-26,0,CLIC
1972-07-27,0,CLIC
1972-07-28,0,CLIC
1972-07-29,0,CLIC
1972-07-30,0,CLIC
1972-07-31,0,CLIC
1972-08-02,0,CLIC
1972-08-03,0,CLIC
1972-08-04,10,CLIC
1972-08-05,0,CLIC
1972-08-07,0,CLIC
1972-08-08,0,CLIC
1972-08-10,0,CLIC
1972-08-11,0,CLIC
1972-08-12,0,CLIC
1972-08-13,0,CLIC
1972-08-14,0,CLIC
1972-08-15,0,CLIC
1972-08-16,0,CLIC
1972-08-17,0,CLIC
1972-08-18,0,CLIC
1972-08-19,0,CLIC
1972-08-20,22,CLIC
1972-08-21,0,CLIC
1972-08-22,0,CLIC
1972-08-23,0,CLIC
1972-08-24,0,CLIC
1972-08-25,0,CLIC
1972-08-26,0,CLIC
1972-08-29,0,CLIC
1972-08-30,0,CLIC
1972-08-31,0,CLIC
1972-09-02,18,CLIC
1972-09-03,0,CLIC
1972-09-04,0,CLIC
1972-09-05,0,CLIC
1972-09-06,0,CLIC
1972-09-07,0,CLIC
1972-09-08,0,CLIC
1972-09-09,0,CLIC
1972-09-10,15,CLIC
1972-09-11,35,CLIC
1972-09-12,0,CLIC
1972-09-13,0,CLIC
1972-09-14,0,CLIC
1972-09-15,0,CLIC
1972-09-16,0,CLIC
1972-09-17,0,CLIC
1972-09-18,0,CLIC
1972-09-19,0,CLIC
1972-09-20,0,CLIC
1972-09-21,0,CLIC
1972-09-22,55,CLIC
1972-09-23,26,CLIC
1972-09-24,20,CLIC
1972-09-25,0,CLIC
1972-09-26,0,CLIC
1972-09-27,0,CLIC
1972-09-28,0,CLIC
1972-09-29,0,CLIC
1972-09-30,0,CLIC
1972-10-01,0,CLIC
1972-10-02,0,CLIC
1972-10-03,0,CLIC
1972-10-04,0,CLIC
1972-10-05,0,CLIC
1972-10-06,0,CLIC
1972-10-07,0,CLIC
1972-10-08,0,CLIC
1972-10-09,0,CLIC
1972-10-10,40,CLIC
1972-10-11,0,CLIC
1972-10-12,0,CLIC
1972-10-13,0.4,CLIC
1972-10-14,0,CLIC
1972-10-15,0,CLIC
1972-10-16,0,CLIC
1972-10-17,0,CLIC
1972-10-18,0,CLIC
1972-10-19,0,CLIC
1972-10-20,40,CLIC
1972-10-21,0,CLIC
1972-10-22,0,CLIC
1972-10-23,0,CLIC
1972-10-24,20,CLIC
1972-10-25,22,CLIC
1972-10-26,0,CLIC
1972-10-27,0,CLIC
1972-10-28,0,CLIC
1972-10-29,0,CLIC
1972-10-30,0,CLIC
1972-10-31,0,CLIC
1972-12-01,0,CLIC
1972-12-02,0,CLIC
1972-12-03,0,CLIC
1972-12-04,0,CLIC
1972-12-05,0,CLIC
1972-12-06,0,CLIC
1972-12-07,0,CLIC
1972-12-08,0,CLIC
1972-12-09,0,CLIC
1972-12-10,0,CLIC
1972-12-11,3,CLIC
1972-12-12,2,CLIC
1972-12-13,0,CLIC
1972-12-14,0,CLIC
1972-12-15,0,CLIC
1972-12-16,0,CLIC
1972-12-17,0,CLIC
1972-12-18,0,CLIC
1972-12-19,0,CLIC
1972-12-20,0,CLIC
1973-01-03,1,CLIC
1973-01-04,0,CLIC
1973-01-05,2,CLIC
1973-01-06,2,CLIC
1973-01-07,0,CLIC
1973-01-08,0,CLIC
1973-01-09,16,CLIC
1973-01-10,18,CLIC
1973-01-11,3,CLIC
1973-01-12,0,CLIC
1973-01-13,0,CLIC
1973-01-14,0,CLIC
1973-01-15,0,CLIC
1973-01-16,0,CLIC
1973-01-17,0,CLIC
1973-01-18,0,CLIC
1973-01-19,0,CLIC
1973-01-20,0,CLIC
1973-01-21,0,CLIC
1973-01-22,0,CLIC
1973-01-23,0,CLIC
1973-01-24,0,CLIC
1973-01-25,1,CLIC
1973-01-26,0,CLIC
1973-01-27,0,CLIC
1973-01-28,0,CLIC
1973-01-29,0,CLIC
