Estación: ,C19034,LINARES. LINARES (SMN)
1930-07-17,9.7,CLIC
1930-07-18,10.3,CLIC
1930-07-19,8.7,CLIC
1930-07-20,8.6,CLIC
1930-07-21,8.1,CLIC
1930-07-22,4.2,CLIC
1930-07-23,9.6,CLIC
1930-07-24,9.5,CLIC
1930-07-25,9.5,CLIC
1930-07-26,9.1,CLIC
1930-07-27,8,CLIC
1930-07-28,8.3,CLIC
1930-07-29,8.4,CLIC
1930-07-30,10.4,CLIC
1930-07-31,7.9,CLIC
1930-08-01,9,CLIC
1930-08-02,9.1,CLIC
1930-08-03,9.4,CLIC
1930-08-04,8,CLIC
1930-08-05,8.2,CLIC
1930-08-06,12.2,CLIC
1930-08-07,10.8,CLIC
1930-08-08,7.3,CLIC
1930-08-09,5.2,CLIC
1930-08-10,14.4,CLIC
1930-08-11,8.9,CLIC
1930-08-12,12.9,CLIC
1930-08-13,10.1,CLIC
1930-08-14,7.7,CLIC
1930-08-15,10.9,CLIC
1930-08-16,10,CLIC
1930-08-17,10.7,CLIC
1930-08-18,9.5,CLIC
1930-08-19,7.9,CLIC
1930-08-20,4.6,CLIC
1930-08-21,7.8,CLIC
1930-08-22,8.8,CLIC
1930-08-23,10.6,CLIC
1930-08-24,9.3,CLIC
1930-08-25,8.1,CLIC
1930-08-26,9.9,CLIC
1930-08-27,8.8,CLIC
1930-08-28,8.5,CLIC
1930-08-29,7.8,CLIC
1930-08-30,8.5,CLIC
1930-08-31,9.5,CLIC
1930-09-01,9.4,CLIC
1930-09-02,9.4,CLIC
1930-09-03,7,CLIC
1930-09-04,6.5,CLIC
1930-09-05,7.7,CLIC
1930-09-06,8,CLIC
1930-09-07,9,CLIC
1930-09-08,7.2,CLIC
1930-09-09,8.5,CLIC
1930-09-10,8.3,CLIC
1930-09-11,9.2,CLIC
1930-09-12,9.2,CLIC
1930-09-13,10,CLIC
1930-09-14,10.3,CLIC
1930-09-15,5.8,CLIC
1930-09-16,8,CLIC
1930-09-17,8,CLIC
1930-09-18,8.8,CLIC
1930-09-19,8.9,CLIC
1930-09-20,10,CLIC
1930-09-21,7.7,CLIC
1930-09-22,6.9,CLIC
1930-09-23,7.9,CLIC
1930-09-24,9.4,CLIC
1930-09-25,11.3,CLIC
1930-09-26,2.7,CLIC
1930-09-27,1.5,CLIC
1930-09-28,7.3,CLIC
1930-09-29,6.9,CLIC
1930-09-30,7.9,CLIC
1930-10-01,4.2,CLIC
1930-10-02,4.5,CLIC
1930-10-03,6,CLIC
1930-10-04,7.4,CLIC
1930-10-05,5.3,CLIC
1930-10-06,7.7,CLIC
1930-10-07,6.1,CLIC
1930-10-08,7,CLIC
1930-10-09,7.2,CLIC
1930-10-10,6.8,CLIC
1930-10-11,4.2,CLIC
1930-10-12,5.2,CLIC
1930-10-13,5.1,CLIC
1930-10-14,3.1,CLIC
1930-10-15,5.1,CLIC
1930-10-16,4.6,CLIC
1930-10-17,6,CLIC
1930-10-19,0.6,CLIC
1930-10-20,0.6,CLIC
1930-10-21,6.9,CLIC
1930-10-22,6.4,CLIC
1930-10-23,5,CLIC
1930-10-24,1.2,CLIC
1930-10-25,1.9,CLIC
1930-10-26,3.2,CLIC
1930-10-27,2,CLIC
1930-10-28,2.8,CLIC
1930-10-29,3.7,CLIC
1930-10-30,2.8,CLIC
1930-10-31,0.9,CLIC
1930-11-01,1.3,CLIC
1930-11-02,1.7,CLIC
1930-11-03,1.6,CLIC
1930-11-04,3.8,CLIC
1930-11-05,2.3,CLIC
1930-11-06,1.4,CLIC
1930-11-07,0.9,CLIC
1930-11-08,1.1,CLIC
1930-11-09,0.7,CLIC
1930-11-10,0.9,CLIC
1930-11-11,1,CLIC
1930-11-12,1.8,CLIC
1930-11-13,1.3,CLIC
1930-11-14,2.2,CLIC
1930-11-15,3.6,CLIC
1930-11-16,3.8,CLIC
1930-11-17,3.5,CLIC
1930-11-18,3,CLIC
1930-11-19,1.4,CLIC
1930-11-20,6.8,CLIC
1930-11-21,2.7,CLIC
1930-11-22,1.5,CLIC
1930-11-23,2.6,CLIC
1930-11-24,2.9,CLIC
1930-11-25,2.3,CLIC
1930-11-26,3.6,CLIC
1930-11-27,2.5,CLIC
1930-11-28,2.9,CLIC
1930-11-29,4.7,CLIC
1930-11-30,3.1,CLIC
1930-12-01,1.6,CLIC
1930-12-02,2.1,CLIC
1930-12-03,2.4,CLIC
1930-12-04,2.8,CLIC
1930-12-05,2.6,CLIC
1930-12-06,1.1,CLIC
1930-12-07,1.1,CLIC
1930-12-08,0.7,CLIC
1930-12-09,7.8,CLIC
1930-12-10,1.7,CLIC
1930-12-11,3.2,CLIC
1930-12-12,3,CLIC
1930-12-13,2.4,CLIC
1930-12-14,2.2,CLIC
1930-12-15,4.1,CLIC
1930-12-16,2.1,CLIC
1930-12-17,1.8,CLIC
1930-12-18,2.8,CLIC
1930-12-19,2.5,CLIC
1930-12-20,1.3,CLIC
1930-12-21,1.6,CLIC
1930-12-22,1.8,CLIC
1930-12-23,2,CLIC
1930-12-24,3.4,CLIC
1930-12-25,1.2,CLIC
1930-12-26,4.2,CLIC
1930-12-27,2,CLIC
1930-12-28,1.2,CLIC
1930-12-29,3.2,CLIC
1930-12-30,2.6,CLIC
1930-12-31,4.2,CLIC
1931-01-01,1.4,CLIC
1931-01-02,2.7,CLIC
1931-01-03,3.1,CLIC
1931-01-04,3.8,CLIC
1931-01-05,3.3,CLIC
1931-01-06,4.5,CLIC
1931-01-07,3.4,CLIC
1931-01-08,2.8,CLIC
1931-01-09,1.2,CLIC
1931-01-10,3.8,CLIC
1931-01-11,0.8,CLIC
1931-01-12,0.3,CLIC
1931-01-13,3.2,CLIC
1931-01-14,0.1,CLIC
1931-01-15,0.8,CLIC
1931-01-16,1.5,CLIC
1931-01-17,1,CLIC
1931-01-18,1.6,CLIC
1931-01-19,0.7,CLIC
1931-01-20,0.9,CLIC
1931-01-21,7.5,CLIC
1931-01-22,2.6,CLIC
1931-01-23,2,CLIC
1931-01-24,2.7,CLIC
1931-01-25,3.6,CLIC
1931-01-26,1,CLIC
1931-01-27,7.3,CLIC
1931-01-28,0.8,CLIC
1931-01-29,1.2,CLIC
1931-01-30,0.9,CLIC
1931-01-31,0.4,CLIC
1931-02-01,1.7,CLIC
1931-02-02,5.2,CLIC
1931-02-03,2.7,CLIC
1931-02-04,2,CLIC
1931-02-05,1.8,CLIC
1931-02-06,0.9,CLIC
1931-02-07,0.5,CLIC
1931-02-08,3.2,CLIC
1931-02-09,2.5,CLIC
1931-02-10,1.4,CLIC
1931-02-11,1.6,CLIC
1931-02-12,1.4,CLIC
1931-02-13,0.4,CLIC
1931-02-14,1.4,CLIC
1931-02-15,2.7,CLIC
1931-02-16,0.1,CLIC
1931-02-17,4.1,CLIC
1931-02-18,4,CLIC
1931-02-19,1.3,CLIC
1931-02-20,4.1,CLIC
1931-02-21,5.2,CLIC
1931-02-22,3.8,CLIC
1931-02-23,10.8,CLIC
1931-02-24,0.4,CLIC
1931-02-25,0.4,CLIC
1931-02-26,0.9,CLIC
1931-02-27,2.4,CLIC
1931-02-28,5.4,CLIC
1931-03-01,4.4,CLIC
1931-03-02,7,CLIC
1931-03-03,4.4,CLIC
1931-03-04,6.1,CLIC
1931-03-05,5.8,CLIC
1931-03-06,7.2,CLIC
1931-03-07,4.8,CLIC
1931-03-08,2,CLIC
1931-03-09,8.2,CLIC
1931-03-10,5.8,CLIC
1931-03-11,6.4,CLIC
1931-03-12,5.7,CLIC
1931-03-13,3.1,CLIC
1931-03-14,2.7,CLIC
1931-03-15,1,CLIC
1931-03-16,1.4,CLIC
1931-03-17,0.5,CLIC
1931-03-18,2.8,CLIC
1931-03-19,6.8,CLIC
1931-03-20,6.6,CLIC
1931-03-21,6.3,CLIC
1931-03-22,7.4,CLIC
1931-03-23,5.2,CLIC
1931-03-24,4,CLIC
1931-03-25,3.9,CLIC
1931-03-26,3.2,CLIC
1931-03-27,8.3,CLIC
1931-03-28,5.2,CLIC
1931-03-29,3.5,CLIC
1931-03-30,4.1,CLIC
1931-03-31,5.7,CLIC
1931-04-01,6.5,CLIC
1931-04-02,5.7,CLIC
1931-04-03,10.1,CLIC
1931-04-04,4.4,CLIC
1931-04-05,5.6,CLIC
1931-04-06,6.4,CLIC
1931-04-07,5.1,CLIC
1931-04-08,6.1,CLIC
1931-04-09,5.3,CLIC
1931-04-10,2.9,CLIC
1931-04-11,6.7,CLIC
1931-04-12,5.7,CLIC
1931-04-13,2,CLIC
1931-04-14,4.5,CLIC
1931-04-15,6,CLIC
1931-04-16,1.7,CLIC
1931-04-17,4.3,CLIC
1931-04-18,2.7,CLIC
1931-04-19,4.9,CLIC
1931-04-20,7.1,CLIC
1931-04-21,1.6,CLIC
1931-04-22,5.3,CLIC
1931-04-23,1.1,CLIC
1931-04-24,6.2,CLIC
1931-04-25,7.3,CLIC
1931-04-26,1.4,CLIC
1931-04-27,0.7,CLIC
1931-04-28,0.2,CLIC
1931-04-29,3.1,CLIC
1931-04-30,6.2,CLIC
1931-05-01,2,CLIC
1931-05-02,1.7,CLIC
1931-05-03,2.1,CLIC
1931-05-04,4.9,CLIC
1931-05-05,6.3,CLIC
1931-05-06,8.4,CLIC
1931-05-07,8.4,CLIC
1931-05-08,8.5,CLIC
1931-05-09,3.5,CLIC
1931-05-10,0.7,CLIC
1931-05-11,0.1,CLIC
1931-05-12,3.3,CLIC
1931-05-13,7.6,CLIC
1931-05-14,7.2,CLIC
1931-05-15,8.2,CLIC
1931-05-16,5.3,CLIC
1931-05-17,0.7,CLIC
1931-05-18,5.9,CLIC
1931-05-19,9.4,CLIC
1931-05-20,0.1,CLIC
1931-05-21,1.2,CLIC
1931-05-22,0.2,CLIC
1931-05-23,5.2,CLIC
1931-05-24,4.1,CLIC
1931-05-25,5.8,CLIC
1931-05-26,3.3,CLIC
1931-05-27,2.7,CLIC
1931-05-28,2.9,CLIC
1931-05-29,0.7,CLIC
1931-05-30,1.1,CLIC
1931-05-31,3.1,CLIC
1931-06-02,2.4,CLIC
1931-06-03,4.3,CLIC
1931-06-04,1.5,CLIC
1931-06-05,6.6,CLIC
1931-06-06,6.6,CLIC
1931-06-07,6.9,CLIC
1931-06-08,8,CLIC
1931-06-09,7,CLIC
1931-06-10,6.6,CLIC
1931-06-11,7.8,CLIC
1931-06-12,7.5,CLIC
1931-06-13,8,CLIC
1931-06-14,7.5,CLIC
1931-06-15,8.2,CLIC
1931-06-16,9.5,CLIC
1931-06-17,9,CLIC
1931-06-18,7.2,CLIC
1931-06-19,8.2,CLIC
1931-06-20,8.4,CLIC
1931-06-21,9.6,CLIC
1931-06-22,5.7,CLIC
1931-06-23,8.3,CLIC
1931-06-24,9,CLIC
1931-06-25,6.6,CLIC
1931-06-26,8.3,CLIC
1931-06-27,7.3,CLIC
1931-06-28,5.6,CLIC
1931-06-29,6.2,CLIC
1931-06-30,5,CLIC
1931-07-01,8.3,CLIC
1931-07-02,9,CLIC
1931-07-03,3.6,CLIC
1931-07-04,9.5,CLIC
1931-07-05,6.6,CLIC
1931-07-06,9.1,CLIC
1931-07-07,8.8,CLIC
1931-07-08,9.7,CLIC
1931-07-09,13.8,CLIC
1931-07-10,7.1,CLIC
1931-07-11,6.5,CLIC
1931-07-12,9.7,CLIC
1931-07-13,2.8,CLIC
1931-07-14,6.4,CLIC
1931-07-15,7.2,CLIC
1931-07-16,5.6,CLIC
1931-07-17,2.6,CLIC
1931-07-18,3,CLIC
1931-07-19,5.9,CLIC
1931-07-20,5.8,CLIC
1931-07-21,7.1,CLIC
1931-07-22,6.5,CLIC
1931-07-23,7.1,CLIC
1931-07-24,7,CLIC
1931-07-25,3.9,CLIC
1931-07-26,1.8,CLIC
1931-07-27,4.2,CLIC
1931-07-28,6.6,CLIC
1931-07-29,7.2,CLIC
1931-07-30,2.6,CLIC
1931-08-01,0.6,CLIC
1931-08-02,5.4,CLIC
1931-08-03,11.9,CLIC
1931-08-04,6.1,CLIC
1931-08-05,7.5,CLIC
1931-08-06,7.6,CLIC
1931-08-07,8.7,CLIC
1931-08-08,10.1,CLIC
1931-08-09,7.5,CLIC
1931-08-10,4.8,CLIC
1931-08-11,6.8,CLIC
1931-08-12,6.9,CLIC
1931-08-13,5,CLIC
1931-08-14,8.6,CLIC
1931-08-15,7.7,CLIC
1931-08-16,8.9,CLIC
1931-08-17,6.9,CLIC
1931-08-18,7.9,CLIC
1931-08-19,8.3,CLIC
1931-08-20,8.5,CLIC
1931-08-21,9.1,CLIC
1931-08-22,7.2,CLIC
1931-08-23,0.8,CLIC
1931-08-24,1.1,CLIC
1931-08-25,0.4,CLIC
1931-08-26,6.6,CLIC
1931-08-27,5.7,CLIC
1931-08-28,7.3,CLIC
1931-08-29,6.1,CLIC
1931-08-30,7.8,CLIC
1931-08-31,6.2,CLIC
1931-09-01,12.5,CLIC
1931-09-02,7.5,CLIC
1931-09-03,5.2,CLIC
1931-09-04,7.2,CLIC
1931-09-05,7.1,CLIC
1931-09-06,7.4,CLIC
1931-09-07,8,CLIC
1931-09-08,5.9,CLIC
1931-09-09,5.7,CLIC
1931-09-10,6.9,CLIC
1931-09-11,4.2,CLIC
1931-09-12,3.3,CLIC
1931-09-13,0.6,CLIC
1931-09-14,4.3,CLIC
1931-09-15,4.8,CLIC
1931-09-16,4.8,CLIC
1931-09-17,4.2,CLIC
1931-09-18,7,CLIC
1931-09-19,6,CLIC
1931-09-20,6.5,CLIC
1931-09-21,6.6,CLIC
1931-09-22,4.8,CLIC
1931-09-23,6.8,CLIC
1931-09-24,6.2,CLIC
1931-09-25,6.7,CLIC
1931-09-26,5.1,CLIC
1931-09-27,5.7,CLIC
1931-09-28,3.3,CLIC
1931-09-29,6.7,CLIC
1931-09-30,6.1,CLIC
1931-10-01,3.5,CLIC
1931-10-02,2.4,CLIC
1931-10-03,5.4,CLIC
1931-10-04,4.8,CLIC
1931-10-05,7.2,CLIC
1931-10-06,6.9,CLIC
1931-10-07,3.5,CLIC
1931-10-08,7.7,CLIC
1931-10-09,3.5,CLIC
1931-10-10,7.4,CLIC
1931-10-11,5.7,CLIC
1931-10-12,5.8,CLIC
1931-10-13,7.1,CLIC
1931-10-14,6.2,CLIC
1931-10-15,6.4,CLIC
1931-10-16,6.1,CLIC
1931-10-17,2,CLIC
1931-10-18,2.5,CLIC
1931-10-19,4.3,CLIC
1931-10-20,4.8,CLIC
1931-10-21,3.8,CLIC
1931-10-22,5.3,CLIC
1931-10-23,5.1,CLIC
1931-10-24,6.2,CLIC
1931-10-25,7.1,CLIC
1931-10-26,6.5,CLIC
1931-10-27,6.5,CLIC
1931-10-28,6.3,CLIC
1931-10-29,6.6,CLIC
1931-10-30,1.9,CLIC
1931-10-31,1.6,CLIC
1931-11-03,3,CLIC
1931-11-04,3.8,CLIC
1931-11-05,4.6,CLIC
1931-11-06,4.1,CLIC
1931-11-07,5,CLIC
1931-11-08,4.9,CLIC
1931-11-09,4.4,CLIC
1931-11-10,6.4,CLIC
1931-11-11,6.3,CLIC
1931-11-12,4.6,CLIC
1931-11-13,5.5,CLIC
1931-11-14,3.2,CLIC
1931-11-15,4.4,CLIC
1931-11-16,5.1,CLIC
1931-11-17,4.9,CLIC
1931-11-18,5.8,CLIC
1931-11-19,7.6,CLIC
1931-11-20,5.2,CLIC
1931-11-21,5.7,CLIC
1931-11-22,6,CLIC
1931-11-23,5.8,CLIC
1931-11-24,1.4,CLIC
1931-11-25,0.4,CLIC
1931-11-26,0.7,CLIC
1931-11-27,1,CLIC
1931-11-28,1,CLIC
1931-11-29,1.6,CLIC
1931-12-01,0.3,CLIC
1931-12-02,2.1,CLIC
1931-12-03,1.4,CLIC
1931-12-04,2.3,CLIC
1931-12-05,6.8,CLIC
1931-12-06,4.3,CLIC
1931-12-07,1.7,CLIC
1931-12-08,1.3,CLIC
1931-12-09,2.5,CLIC
1931-12-10,4.9,CLIC
1931-12-11,2,CLIC
1931-12-12,3.7,CLIC
1931-12-13,7.3,CLIC
1931-12-14,4.1,CLIC
1931-12-15,2.9,CLIC
