Estación: ,C19173,LOS PALMITOS. CADEREYTA
1983-03-20,2.6,CLIC
1983-03-21,2.5,CLIC
1983-03-22,2.5,CLIC
1983-03-23,2.9,CLIC
1983-03-24,2.2,CLIC
1983-03-25,2.8,CLIC
1983-03-26,2.3,CLIC
1983-03-27,3,CLIC
1983-03-28,2,CLIC
1983-03-29,2.9,CLIC
1983-03-30,3.3,CLIC
1983-03-31,6.5,CLIC
1983-04-01,1.7,CLIC
1983-04-02,2.5,CLIC
1983-04-03,2.4,CLIC
1983-04-04,3.2,CLIC
1983-04-05,2.1,CLIC
1983-04-06,2.4,CLIC
1983-04-07,1.8,CLIC
1983-04-08,3.3,CLIC
1983-04-09,1.8,CLIC
1983-04-10,2.3,CLIC
1983-04-11,3.2,CLIC
1983-04-12,2.8,CLIC
1983-04-13,2.3,CLIC
1983-04-14,1.9,CLIC
1983-04-15,2.1,CLIC
1983-04-16,2,CLIC
1983-04-17,1.6,CLIC
1983-04-18,2.2,CLIC
1983-04-19,2.1,CLIC
1983-04-20,2.3,CLIC
1983-04-21,3.2,CLIC
1983-04-22,2.5,CLIC
1983-04-23,2,CLIC
1983-04-24,2.6,CLIC
1983-04-25,3.5,CLIC
1983-04-26,3,CLIC
1983-04-27,2.4,CLIC
1983-04-28,2.9,CLIC
1983-04-29,3,CLIC
1983-04-30,4.1,CLIC
1984-02-01,7.5,CLIC
1984-02-02,6.6,CLIC
1984-02-03,5.4,CLIC
1984-02-04,5.2,CLIC
1984-02-05,0.9,CLIC
1984-02-06,3.9,CLIC
1984-02-07,2.6,CLIC
1984-02-08,8.2,CLIC
1984-02-09,8.6,CLIC
1984-02-10,5.5,CLIC
1984-02-11,4.6,CLIC
1984-02-12,5.5,CLIC
1984-02-13,2,CLIC
1984-02-14,5.2,CLIC
1984-02-15,7.9,CLIC
1984-02-16,3,CLIC
1984-02-17,6.4,CLIC
1984-02-18,3.2,CLIC
1984-02-19,5,CLIC
1984-02-20,2.9,CLIC
1984-02-21,2.5,CLIC
1984-02-22,1.9,CLIC
1984-02-23,3.9,CLIC
1984-02-24,5,CLIC
1984-02-25,2.8,CLIC
1984-02-26,7.3,CLIC
1984-02-27,4.8,CLIC
1984-02-28,5.5,CLIC
1984-02-29,3.9,CLIC
1984-05-01,3,CLIC
1984-05-02,3.6,CLIC
1984-05-03,3.8,CLIC
1984-05-04,9.6,CLIC
1984-05-05,7.4,CLIC
1984-05-06,10.9,CLIC
1984-05-07,8.1,CLIC
1984-05-08,8.9,CLIC
1984-05-09,8.4,CLIC
1984-05-10,9.8,CLIC
1984-05-11,9.1,CLIC
1984-05-12,4.2,CLIC
1984-05-13,9.1,CLIC
1984-05-14,11,CLIC
1984-05-15,7.1,CLIC
1984-05-16,7,CLIC
1984-05-17,5.1,CLIC
1984-05-18,8.2,CLIC
1984-05-19,8.1,CLIC
1984-05-20,7.6,CLIC
1984-05-21,5.9,CLIC
1984-05-22,10.3,CLIC
1984-05-23,8.3,CLIC
1984-05-24,8.9,CLIC
1984-05-25,7.4,CLIC
1984-05-26,11.5,CLIC
1984-05-27,4.1,CLIC
1984-05-28,3.6,CLIC
1984-05-29,4.1,CLIC
1984-05-30,8.1,CLIC
1984-05-31,8.1,CLIC
1984-06-01,4.9,CLIC
1984-06-02,5.1,CLIC
1984-06-03,2,CLIC
1984-06-04,2.5,CLIC
1984-06-05,5.4,CLIC
1984-06-06,2.3,CLIC
1984-06-07,1,CLIC
1984-06-08,1.9,CLIC
1984-06-09,2,CLIC
1984-06-10,2.9,CLIC
1984-06-11,3.2,CLIC
1984-06-12,2.1,CLIC
1984-06-13,2,CLIC
1984-06-14,2.6,CLIC
1984-06-15,2,CLIC
1984-06-16,2.5,CLIC
1984-06-17,1.8,CLIC
1984-06-18,3.8,CLIC
1984-06-19,3.5,CLIC
1984-06-20,1.5,CLIC
1984-06-21,2.4,CLIC
1984-06-22,3.1,CLIC
1984-06-23,3.2,CLIC
1984-06-24,2,CLIC
1984-06-25,2.2,CLIC
1984-06-26,3.7,CLIC
1984-06-27,2.7,CLIC
1984-06-28,2.5,CLIC
1984-06-29,1.1,CLIC
1984-06-30,2,CLIC
1984-07-01,3.5,CLIC
1984-07-02,4.9,CLIC
1984-07-03,2.2,CLIC
1984-07-04,2.9,CLIC
1984-07-05,4.9,CLIC
1984-07-06,0.8,CLIC
1984-07-07,3.5,CLIC
1984-07-08,2,CLIC
1984-07-09,2.1,CLIC
1984-07-10,1.9,CLIC
1984-07-11,2.8,CLIC
1984-07-12,3.4,CLIC
1984-07-13,3.2,CLIC
1984-07-14,2.6,CLIC
1984-07-15,2.4,CLIC
1984-07-16,1.5,CLIC
1984-07-17,3,CLIC
1984-07-18,3.3,CLIC
1984-07-19,1.1,CLIC
1984-07-20,1.5,CLIC
1984-07-21,1.9,CLIC
1984-07-22,2.7,CLIC
1984-07-23,3.1,CLIC
1984-07-24,2,CLIC
1984-07-25,3,CLIC
1984-07-26,2,CLIC
1984-07-27,3.3,CLIC
1984-07-28,2.5,CLIC
1984-07-29,3,CLIC
1984-07-30,2.6,CLIC
1984-07-31,3.1,CLIC
1985-01-01,6,CLIC
1985-01-02,8,CLIC
1985-01-03,6.3,CLIC
1985-01-04,6.1,CLIC
1985-01-05,6.3,CLIC
1985-01-06,7.3,CLIC
1985-01-07,6.9,CLIC
1985-01-08,7.2,CLIC
1985-01-09,6.6,CLIC
1985-01-10,3.3,CLIC
1985-01-11,2,CLIC
1985-01-12,1.5,CLIC
1985-01-13,2.7,CLIC
1985-01-14,4.6,CLIC
1985-01-15,5.2,CLIC
1985-01-16,7.9,CLIC
1985-01-17,4.5,CLIC
1985-01-18,2.8,CLIC
1985-01-19,4.9,CLIC
1985-01-20,6.6,CLIC
1985-01-21,8.1,CLIC
1985-01-22,5.7,CLIC
1985-01-23,9.1,CLIC
1985-01-24,10.3,CLIC
1985-01-25,6.7,CLIC
1985-01-26,11.5,CLIC
1985-01-27,9.9,CLIC
1985-01-28,6,CLIC
1985-01-29,10.4,CLIC
1985-01-30,10.4,CLIC
1985-01-31,4,CLIC
1985-02-01,3.5,CLIC
1985-02-02,4,CLIC
1985-02-03,7,CLIC
1985-02-04,5.8,CLIC
1985-02-05,6.9,CLIC
1985-02-06,6.5,CLIC
1985-02-07,2.6,CLIC
1985-02-08,4.8,CLIC
1985-02-09,5.7,CLIC
1985-02-10,5.8,CLIC
1985-02-11,6.6,CLIC
1985-02-12,7.1,CLIC
1985-02-13,7.3,CLIC
1985-02-14,7.1,CLIC
1985-02-15,5.9,CLIC
1985-02-16,4.8,CLIC
1985-02-17,5.9,CLIC
1985-02-18,4.4,CLIC
1985-02-19,7.1,CLIC
1985-02-20,8.8,CLIC
1985-02-21,8.9,CLIC
1985-02-22,8.7,CLIC
1985-02-23,5.9,CLIC
1985-02-24,7.6,CLIC
1985-02-25,6.6,CLIC
1985-02-26,9.2,CLIC
1985-02-27,6.3,CLIC
1985-02-28,6.5,CLIC
1985-03-01,3.7,CLIC
1985-03-02,10.6,CLIC
1985-03-03,3.8,CLIC
1985-03-04,1.8,CLIC
1985-03-05,10.7,CLIC
1985-03-06,13.9,CLIC
1985-03-07,1.4,CLIC
1985-03-08,6.9,CLIC
1985-03-09,5.8,CLIC
1985-03-10,7.9,CLIC
1985-03-11,4.4,CLIC
1985-03-12,8.9,CLIC
1985-03-13,11.7,CLIC
1985-03-14,13.7,CLIC
1985-03-15,12.4,CLIC
1985-03-16,8.8,CLIC
1985-03-17,5.9,CLIC
1985-03-18,7.1,CLIC
1985-03-19,6.1,CLIC
1985-03-20,10.1,CLIC
1985-03-21,7,CLIC
1985-03-22,5.9,CLIC
1985-03-23,3.8,CLIC
1985-03-24,3.1,CLIC
1985-03-25,4.8,CLIC
1985-03-26,6.2,CLIC
1985-03-27,7.4,CLIC
1985-03-28,9.1,CLIC
1985-03-29,7.4,CLIC
1985-03-30,5.3,CLIC
1985-03-31,5.8,CLIC
1985-05-01,2.2,CLIC
1985-05-02,9,CLIC
1985-05-03,11,CLIC
1985-05-04,11.3,CLIC
1985-05-05,6,CLIC
1985-05-06,7,CLIC
1985-05-07,3.6,CLIC
1985-05-08,6.4,CLIC
1985-05-09,6.1,CLIC
1985-05-10,6.4,CLIC
1985-05-11,6.7,CLIC
1985-05-12,8.2,CLIC
1985-05-13,5.9,CLIC
1985-05-14,6.7,CLIC
1985-05-15,4.5,CLIC
1985-05-16,5.9,CLIC
1985-05-17,5.2,CLIC
1985-05-18,6.1,CLIC
1985-05-19,7.7,CLIC
1985-05-20,9,CLIC
1985-05-21,6.9,CLIC
1985-05-22,7.2,CLIC
1985-05-23,4.5,CLIC
1985-05-24,7.9,CLIC
1985-05-25,5.1,CLIC
1985-05-26,3,CLIC
1985-05-27,6.2,CLIC
1985-05-28,15,CLIC
1985-05-29,12.8,CLIC
1985-05-30,10.1,CLIC
1985-05-31,11.5,CLIC
1985-06-01,11.2,CLIC
1985-06-02,13.3,CLIC
1985-06-03,8.3,CLIC
1985-06-04,11,CLIC
1985-06-05,9.3,CLIC
1985-06-06,1.7,CLIC
1985-06-07,6.7,CLIC
1985-06-08,11.2,CLIC
1985-06-09,4.1,CLIC
1985-06-10,3.2,CLIC
1985-06-11,5.6,CLIC
1985-06-12,4.5,CLIC
1985-06-13,7.5,CLIC
1985-06-14,6.1,CLIC
1985-06-15,6.4,CLIC
1985-06-16,12.1,CLIC
1985-06-17,9.1,CLIC
1985-06-18,10.9,CLIC
1985-06-19,11.8,CLIC
1985-06-20,4.1,CLIC
1985-06-21,2.2,CLIC
1985-06-22,6.8,CLIC
1985-06-23,8.2,CLIC
1985-06-24,6.6,CLIC
1985-06-25,8.7,CLIC
1985-06-26,12.7,CLIC
1985-06-27,12,CLIC
1985-06-28,6.9,CLIC
1985-06-29,12,CLIC
1985-06-30,6.7,CLIC
1985-07-01,13.2,CLIC
1985-07-02,7.2,CLIC
1985-07-03,3.1,CLIC
1985-07-04,7.2,CLIC
1985-07-05,2.2,CLIC
1985-07-06,6.2,CLIC
1985-07-07,5.6,CLIC
1985-07-08,5.6,CLIC
1985-07-09,3.9,CLIC
1985-07-10,6.5,CLIC
1985-07-11,8.7,CLIC
1985-07-12,5.7,CLIC
1985-07-13,7.1,CLIC
1985-07-14,5.2,CLIC
1985-07-15,4.2,CLIC
1985-07-16,3.9,CLIC
1985-07-17,5.2,CLIC
1985-07-18,5,CLIC
1985-07-19,8.7,CLIC
1985-07-20,5.1,CLIC
1985-07-21,7.1,CLIC
1985-07-22,2.9,CLIC
1985-07-23,6.4,CLIC
1985-07-24,8.6,CLIC
1985-07-25,12.4,CLIC
1985-07-26,6,CLIC
1985-07-27,3.7,CLIC
1985-07-28,6.5,CLIC
1985-07-29,5,CLIC
1985-07-30,9.9,CLIC
1985-07-31,9.9,CLIC
1985-08-01,4,CLIC
1985-08-02,10.5,CLIC
1985-08-03,5,CLIC
1985-08-04,5,CLIC
1985-08-05,7.9,CLIC
1985-08-06,7,CLIC
1985-08-07,5.6,CLIC
1985-08-08,7.7,CLIC
1985-08-09,6.6,CLIC
1985-08-10,4.6,CLIC
1985-08-11,5.3,CLIC
1985-08-12,5.1,CLIC
1985-08-13,7,CLIC
1985-08-14,8.8,CLIC
1985-08-15,7.9,CLIC
1985-08-16,4.8,CLIC
1985-08-17,6.4,CLIC
1985-08-18,8.5,CLIC
1985-08-19,4.6,CLIC
1985-08-20,3.9,CLIC
1985-08-21,5.4,CLIC
1985-08-22,5,CLIC
1985-08-23,9.1,CLIC
1985-08-24,7,CLIC
1985-08-25,9,CLIC
1985-08-26,9.6,CLIC
1985-08-27,5.6,CLIC
1985-08-28,5.9,CLIC
1985-08-29,6,CLIC
1985-08-30,4.9,CLIC
1985-08-31,7,CLIC
1985-09-01,10.3,CLIC
1985-09-02,9.6,CLIC
1985-09-03,7.9,CLIC
1985-09-04,7.2,CLIC
1985-09-05,10,CLIC
1985-09-06,11.9,CLIC
1985-09-07,10.1,CLIC
1985-09-08,9.5,CLIC
1985-09-09,9.2,CLIC
1985-09-10,7.7,CLIC
1985-09-11,8.7,CLIC
1985-09-12,9.4,CLIC
1985-09-13,6.8,CLIC
1985-09-14,10.8,CLIC
1985-09-15,9.1,CLIC
1985-09-16,10.9,CLIC
1985-09-17,3.3,CLIC
1985-09-18,9.3,CLIC
1985-09-19,9.1,CLIC
1985-09-20,8.4,CLIC
1985-09-21,8.4,CLIC
1985-09-22,7.4,CLIC
1985-09-23,7.9,CLIC
1985-09-24,9.1,CLIC
1985-09-25,9,CLIC
1985-09-26,9.8,CLIC
1985-09-27,8.2,CLIC
1985-09-28,8.8,CLIC
1985-09-29,9.5,CLIC
1985-09-30,9.8,CLIC
1985-10-01,7.9,CLIC
1985-10-02,1.3,CLIC
1985-10-03,4.5,CLIC
1985-10-04,6.6,CLIC
1985-10-05,9.5,CLIC
1985-10-06,5.4,CLIC
1985-10-07,9.5,CLIC
1985-10-08,5.2,CLIC
1985-10-09,3.4,CLIC
1985-10-10,4.4,CLIC
1985-10-11,2.6,CLIC
1985-10-12,6.5,CLIC
1985-10-13,4.4,CLIC
1985-10-14,4.1,CLIC
1985-10-15,7.4,CLIC
1985-10-16,3.9,CLIC
1985-10-17,4.3,CLIC
1985-10-18,5.1,CLIC
1985-10-19,8.1,CLIC
1985-10-20,9.4,CLIC
1985-10-21,4.7,CLIC
1985-10-22,10.8,CLIC
1985-10-23,4.4,CLIC
1985-10-24,3.1,CLIC
1985-10-25,6.7,CLIC
1985-10-26,11.8,CLIC
1985-10-27,8.5,CLIC
1985-10-28,4.5,CLIC
1985-10-29,13.5,CLIC
1985-10-30,6.2,CLIC
1985-10-31,6.9,CLIC
1985-11-01,5.3,CLIC
1985-11-02,4.7,CLIC
1985-11-03,5.4,CLIC
1985-11-04,8.1,CLIC
1985-11-05,8.2,CLIC
1985-11-06,3.6,CLIC
1985-11-07,1.8,CLIC
1985-11-08,13.4,CLIC
1985-11-09,3.7,CLIC
1985-11-10,6.3,CLIC
1985-11-11,6,CLIC
1985-11-12,13.2,CLIC
1985-11-13,9.4,CLIC
1985-11-14,8.6,CLIC
1985-11-15,3.9,CLIC
1985-11-16,8.2,CLIC
1985-11-17,4.4,CLIC
1985-11-18,11.3,CLIC
1985-11-19,2.8,CLIC
1985-11-20,2.8,CLIC
1985-11-21,5.2,CLIC
1985-11-22,5,CLIC
1985-11-23,1.1,CLIC
1985-11-24,0.9,CLIC
1985-11-25,1.1,CLIC
1985-11-26,2,CLIC
1985-11-27,4.1,CLIC
1985-11-28,2,CLIC
1985-11-29,1.9,CLIC
1985-11-30,2.5,CLIC
1985-12-01,1.4,CLIC
1985-12-02,1.4,CLIC
1985-12-03,2,CLIC
1985-12-04,4.3,CLIC
1985-12-05,1.6,CLIC
1985-12-06,4.5,CLIC
1985-12-07,4.1,CLIC
1985-12-08,5.5,CLIC
1985-12-09,4.5,CLIC
1985-12-10,4,CLIC
1985-12-11,2.5,CLIC
1985-12-12,5.2,CLIC
1985-12-13,3.3,CLIC
1985-12-14,5.1,CLIC
1985-12-15,2,CLIC
1985-12-16,2.9,CLIC
1985-12-17,6.1,CLIC
1985-12-18,7.9,CLIC
1985-12-19,3.5,CLIC
1985-12-20,3.9,CLIC
1985-12-21,5.6,CLIC
1985-12-22,2.6,CLIC
1985-12-23,4.3,CLIC
1985-12-24,3.5,CLIC
1985-12-25,4.4,CLIC
1985-12-26,4.7,CLIC
1985-12-27,7.3,CLIC
1985-12-28,1.9,CLIC
1985-12-29,4.3,CLIC
1985-12-30,2.1,CLIC
1985-12-31,5.2,CLIC
1986-04-01,5.11,CLIC
1986-04-02,6.6,CLIC
1986-04-03,5.18,CLIC
1986-04-04,2.86,CLIC
1986-04-05,1.16,CLIC
1986-04-06,5.87,CLIC
1986-04-07,3.15,CLIC
1986-04-08,5.99,CLIC
1986-04-09,0.88,CLIC
1986-04-10,3.2,CLIC
1986-04-11,1.81,CLIC
1986-04-12,4.14,CLIC
1986-04-13,5.98,CLIC
1986-04-14,5.62,CLIC
1986-04-15,13.32,CLIC
1986-04-16,5.08,CLIC
1986-04-17,5.2,CLIC
1986-04-18,3.5,CLIC
1986-04-19,6.2,CLIC
1986-04-20,3.9,CLIC
1986-04-21,5.2,CLIC
1986-04-22,4.7,CLIC
1986-04-23,6.18,CLIC
1986-04-24,4.82,CLIC
1986-04-25,6.6,CLIC
1986-04-26,4.9,CLIC
1986-04-27,6.15,CLIC
1986-04-28,4.45,CLIC
1986-04-29,6.35,CLIC
1986-04-30,4.25,CLIC
1986-05-01,6.8,CLIC
1986-05-02,2,CLIC
1986-05-03,2.3,CLIC
1986-05-04,2,CLIC
1986-05-05,3.1,CLIC
1986-05-06,2.9,CLIC
1986-05-07,3.1,CLIC
1986-05-08,2.9,CLIC
1986-05-09,7,CLIC
1986-05-10,2.9,CLIC
1986-05-11,3.2,CLIC
1986-05-12,5.15,CLIC
1986-05-13,4.75,CLIC
1986-05-14,1.3,CLIC
1986-05-15,1.8,CLIC
1986-05-16,2.1,CLIC
1986-05-17,1.95,CLIC
1986-05-18,5.15,CLIC
1986-05-19,4.9,CLIC
1986-05-20,6.15,CLIC
1986-05-21,8,CLIC
1986-05-22,6.05,CLIC
1986-05-23,3.95,CLIC
1986-05-24,2.65,CLIC
1986-05-25,1.83,CLIC
1986-05-26,5.47,CLIC
1986-05-27,5.42,CLIC
1986-05-28,6.53,CLIC
1986-05-29,1.9,CLIC
1986-05-30,2.45,CLIC
1986-05-31,5.45,CLIC
1986-06-01,15.05,CLIC
1986-06-02,4.95,CLIC
1986-06-03,8.1,CLIC
1986-06-04,9.9,CLIC
1986-06-05,5.4,CLIC
1986-06-06,4.7,CLIC
1986-06-07,4.1,CLIC
1986-06-08,3.2,CLIC
1986-06-09,0.8,CLIC
1986-06-10,6.1,CLIC
1986-06-11,2.06,CLIC
1986-06-12,17.04,CLIC
1986-06-13,6.6,CLIC
1986-06-14,2.9,CLIC
1986-06-15,3.5,CLIC
1986-06-16,3.25,CLIC
1986-06-17,5.8,CLIC
1986-06-18,5.5,CLIC
1986-06-19,4.2,CLIC
1986-06-20,6.85,CLIC
1986-06-21,2.75,CLIC
1986-06-22,4.25,CLIC
1986-06-23,3.98,CLIC
1986-06-24,4.51,CLIC
1986-06-25,5.21,CLIC
1986-06-26,7.6,CLIC
1986-06-27,4.98,CLIC
1986-06-28,5.77,CLIC
1986-06-29,5.45,CLIC
1986-06-30,4.75,CLIC
1986-07-01,7.84,CLIC
1986-07-02,6.12,CLIC
1986-07-03,7.56,CLIC
1986-07-04,7.15,CLIC
1986-07-05,8,CLIC
1986-07-06,6.26,CLIC
1986-07-07,4.64,CLIC
1986-07-08,4.55,CLIC
1986-07-09,4.1,CLIC
1986-07-10,3.55,CLIC
1986-07-11,5.6,CLIC
1986-07-12,4.37,CLIC
1986-07-13,4.88,CLIC
1986-07-14,5.15,CLIC
1986-07-15,8,CLIC
1986-07-16,6.8,CLIC
1986-07-17,6.97,CLIC
1986-07-18,8.28,CLIC
1986-07-19,8.21,CLIC
1986-07-20,8.92,CLIC
1986-07-21,7.97,CLIC
1986-07-22,8.8,CLIC
1986-07-23,9.25,CLIC
1986-07-24,9.63,CLIC
1986-07-25,3.47,CLIC
1986-07-26,11,CLIC
1986-07-27,8.1,CLIC
1986-07-28,8.55,CLIC
1986-07-29,9.1,CLIC
1986-07-30,10.6,CLIC
1986-07-31,9.74,CLIC
1986-08-01,8.65,CLIC
1986-08-02,7.35,CLIC
1986-08-03,6.5,CLIC
1986-08-04,5.65,CLIC
1986-08-05,6.85,CLIC
1986-08-06,7.35,CLIC
1986-08-07,8.2,CLIC
1986-08-08,5.9,CLIC
1986-08-09,11.2,CLIC
1986-08-10,8.3,CLIC
1986-08-11,4.15,CLIC
1986-08-12,7.7,CLIC
1986-08-13,7.65,CLIC
1986-08-14,11.05,CLIC
1986-08-15,6.35,CLIC
1986-08-16,8.4,CLIC
1986-08-17,9.8,CLIC
1986-08-18,8.25,CLIC
1986-08-19,5.2,CLIC
1986-08-20,11.4,CLIC
1986-08-21,5.1,CLIC
1986-08-22,4.5,CLIC
1986-08-23,6.3,CLIC
1986-08-24,6.6,CLIC
1986-08-25,4.15,CLIC
1986-08-26,5.33,CLIC
1986-08-27,6.82,CLIC
1986-08-28,6.7,CLIC
1986-08-29,4.15,CLIC
1986-08-30,2.15,CLIC
1986-08-31,4.5,CLIC
1986-09-01,9.91,CLIC
1986-09-02,6.8,CLIC
1986-09-03,5.6,CLIC
1986-09-04,5.78,CLIC
1986-09-05,3.42,CLIC
1986-09-06,4.46,CLIC
1986-09-07,3.75,CLIC
1986-09-08,2.55,CLIC
1986-09-09,2.05,CLIC
1986-09-10,4.85,CLIC
1986-09-11,5.51,CLIC
1986-09-12,3.29,CLIC
1986-09-13,4.3,CLIC
1986-09-14,4.4,CLIC
1986-09-15,3.5,CLIC
1986-09-16,4,CLIC
1986-09-17,3.34,CLIC
1986-09-18,3.11,CLIC
1986-09-19,4.9,CLIC
1986-09-20,1.55,CLIC
1986-09-21,5.17,CLIC
1986-09-22,4.23,CLIC
1986-09-23,6.3,CLIC
1986-09-24,2.75,CLIC
1986-09-25,2.8,CLIC
1986-09-26,4.15,CLIC
1986-09-27,3.95,CLIC
1986-09-28,4.6,CLIC
1986-09-29,7.7,CLIC
1986-09-30,4.35,CLIC
1986-10-01,5.45,CLIC
1986-10-02,4.3,CLIC
1986-10-03,8.95,CLIC
1986-10-04,4.3,CLIC
1986-10-05,4.7,CLIC
1986-10-06,5.2,CLIC
1986-10-07,5.15,CLIC
1986-10-08,4.95,CLIC
1986-10-09,5.1,CLIC
1986-10-10,5.05,CLIC
1986-10-11,4.15,CLIC
1986-10-12,5.6,CLIC
1986-10-13,5.2,CLIC
1986-10-14,4.95,CLIC
1986-10-15,4.85,CLIC
1986-10-16,3.7,CLIC
1986-10-17,4.4,CLIC
1986-10-18,5.1,CLIC
1986-10-19,2.05,CLIC
1986-10-20,4.1,CLIC
1986-10-21,5.05,CLIC
1986-10-22,1.95,CLIC
1986-10-23,5.9,CLIC
1986-10-24,4.1,CLIC
1986-10-25,5.2,CLIC
1986-10-26,4.95,CLIC
1986-10-27,5.05,CLIC
1986-10-28,3.9,CLIC
1986-10-29,3.9,CLIC
1986-10-30,5.1,CLIC
1986-10-31,3.65,CLIC
