Estación: ,C19087,ZARAGOZA. ZARAGOZA
1975-02-07,0,CLIC
1975-02-08,0,CLIC
1975-02-09,0,CLIC
1975-02-10,0,CLIC
1975-02-11,0,CLIC
1975-02-12,0,CLIC
1975-02-13,0,CLIC
1975-02-14,0,CLIC
1975-02-15,0,CLIC
1975-02-16,0,CLIC
1975-02-17,0,CLIC
1975-02-18,0,CLIC
1975-02-19,0,CLIC
1975-02-20,0,CLIC
1975-02-21,0,CLIC
1975-02-22,0,CLIC
1975-02-23,0,CLIC
1975-02-24,0,CLIC
1975-02-25,0,CLIC
1975-02-26,0,CLIC
1975-02-27,0,CLIC
1975-03-01,0,CLIC
1975-03-02,0,CLIC
1975-03-03,0,CLIC
1975-03-04,0.4,CLIC
1975-03-05,0,CLIC
1975-03-06,0,CLIC
1975-03-07,0,CLIC
1975-03-08,0,CLIC
1975-03-09,0,CLIC
1975-03-10,0,CLIC
1975-03-11,0,CLIC
1975-03-12,0,CLIC
1975-03-13,0,CLIC
1975-03-14,0,CLIC
1975-03-15,0,CLIC
1975-03-16,0,CLIC
1975-03-17,0,CLIC
1975-03-18,0,CLIC
1975-03-19,0,CLIC
1975-03-20,0,CLIC
1975-03-21,0,CLIC
1975-03-22,0,CLIC
1975-03-23,0,CLIC
1975-03-24,0,CLIC
1975-03-25,0,CLIC
1975-03-26,0,CLIC
1975-03-27,0,CLIC
1975-03-28,0,CLIC
1975-03-29,0,CLIC
1975-03-30,0,CLIC
1975-03-31,0,CLIC
1975-04-01,0,CLIC
1975-04-02,0,CLIC
1975-04-03,0,CLIC
1975-04-04,0,CLIC
1975-04-05,0,CLIC
1975-04-06,0,CLIC
1975-04-07,0,CLIC
1975-04-08,0,CLIC
1975-04-09,0,CLIC
1975-04-10,0,CLIC
1975-04-11,0.6,CLIC
1975-04-12,0.1,CLIC
1975-04-13,0,CLIC
1975-04-14,0,CLIC
1975-04-15,0,CLIC
1975-04-16,0.4,CLIC
1975-04-17,0,CLIC
1975-04-18,0,CLIC
1975-04-19,0,CLIC
1975-04-20,0,CLIC
1975-04-21,0,CLIC
1975-04-22,0,CLIC
1975-04-23,0,CLIC
1975-04-24,0,CLIC
1975-04-25,0,CLIC
1975-04-26,0,CLIC
1975-04-27,0,CLIC
1975-04-28,0,CLIC
1975-04-29,0,CLIC
1975-04-30,0,CLIC
1975-05-01,0,CLIC
1975-05-02,0,CLIC
1975-05-03,0,CLIC
1975-05-04,0,CLIC
1975-05-05,0,CLIC
1975-05-06,0,CLIC
1975-05-07,0,CLIC
1975-05-08,0,CLIC
1975-05-09,10.9,CLIC
1975-05-10,6.4,CLIC
1975-05-11,4,CLIC
1975-05-12,0,CLIC
1975-05-13,2.3,CLIC
1975-05-14,0,CLIC
1975-05-15,0,CLIC
1975-05-16,1.5,CLIC
1975-05-17,2.2,CLIC
1975-05-18,0,CLIC
1975-05-19,0.6,CLIC
1975-05-20,12.7,CLIC
1975-05-21,0,CLIC
1975-05-22,5.1,CLIC
1975-05-23,5,CLIC
1975-05-24,1.1,CLIC
1975-05-25,0,CLIC
1975-05-26,0,CLIC
1975-05-27,0.3,CLIC
1975-05-28,0,CLIC
1975-05-29,0,CLIC
1975-05-30,0,CLIC
1975-05-31,2.8,CLIC
1975-06-01,0,CLIC
1975-06-02,0,CLIC
1975-06-03,0,CLIC
1975-06-04,5.9,CLIC
1975-06-05,9.7,CLIC
1975-06-06,0.5,CLIC
1975-06-07,17.8,CLIC
1975-06-08,14.9,CLIC
1975-06-09,0,CLIC
1975-06-10,15.4,CLIC
1975-06-11,4.5,CLIC
1975-06-12,1.7,CLIC
1975-06-13,6.2,CLIC
1975-06-14,0,CLIC
1975-06-15,0,CLIC
1975-06-16,0,CLIC
1975-06-17,0,CLIC
1975-06-18,11.3,CLIC
1975-06-19,0,CLIC
1975-06-20,1.1,CLIC
1975-06-21,0,CLIC
1975-06-22,2.6,CLIC
1975-06-23,8,CLIC
1975-06-24,0,CLIC
1975-06-25,1.2,CLIC
1975-06-26,0,CLIC
1975-06-27,0.8,CLIC
1975-06-28,8.3,CLIC
1975-06-29,0,CLIC
1975-06-30,0,CLIC
1975-07-01,0,CLIC
1975-07-02,0,CLIC
1975-07-03,0,CLIC
1975-07-04,11.4,CLIC
1975-07-05,1.3,CLIC
1975-07-06,0,CLIC
1975-07-07,0,CLIC
1975-07-08,0,CLIC
1975-07-09,0,CLIC
1975-07-10,0,CLIC
1975-07-11,0,CLIC
1975-07-12,31.3,CLIC
1975-07-13,38.1,CLIC
1975-07-14,31.4,CLIC
1975-07-15,6,CLIC
1975-07-16,0,CLIC
1975-07-17,0,CLIC
1975-07-18,0,CLIC
1975-07-19,0.1,CLIC
1975-07-20,0,CLIC
1975-07-21,6.9,CLIC
1975-07-22,1.2,CLIC
1975-07-23,0,CLIC
1975-07-24,0.7,CLIC
1975-07-25,0,CLIC
1975-07-26,20.2,CLIC
1975-07-27,0.2,CLIC
1975-07-28,0,CLIC
1975-07-29,0,CLIC
1975-07-30,0,CLIC
1975-07-31,0,CLIC
1975-08-01,0,CLIC
1975-08-02,17.3,CLIC
1975-08-03,0,CLIC
1975-08-04,1.8,CLIC
1975-08-05,7.5,CLIC
1975-08-06,0.2,CLIC
1975-08-07,6.5,CLIC
1975-08-08,0.7,CLIC
1975-08-09,11.4,CLIC
1975-08-10,0,CLIC
1975-08-11,0,CLIC
1975-08-12,0,CLIC
1975-08-13,0,CLIC
1975-08-14,8.4,CLIC
1975-08-15,11.8,CLIC
1975-08-16,0,CLIC
1975-08-17,10.1,CLIC
1975-08-18,0,CLIC
1975-08-19,0,CLIC
1975-08-20,0,CLIC
1975-08-21,3.7,CLIC
1975-08-22,13.2,CLIC
1975-08-23,1.8,CLIC
1975-08-24,0.2,CLIC
1975-08-25,0.4,CLIC
1975-08-26,0,CLIC
1975-08-27,5.4,CLIC
1975-08-28,0,CLIC
1975-08-29,0.9,CLIC
1975-08-30,4,CLIC
1975-08-31,11.4,CLIC
1975-09-01,12.6,CLIC
1975-09-02,0,CLIC
1975-09-03,1,CLIC
1975-09-04,0,CLIC
1975-09-05,0,CLIC
1975-09-06,6.3,CLIC
1975-09-07,12.7,CLIC
1975-09-08,1.9,CLIC
1975-09-09,9.6,CLIC
1975-09-10,3.3,CLIC
1975-09-11,0,CLIC
1975-09-12,1,CLIC
1975-09-13,0.7,CLIC
1975-09-14,0.1,CLIC
1975-09-15,0,CLIC
1975-09-16,0,CLIC
1975-09-17,0,CLIC
1975-09-18,0,CLIC
1975-09-19,0,CLIC
1975-09-20,0,CLIC
1975-09-21,0.9,CLIC
1975-09-22,0,CLIC
1975-09-23,0,CLIC
1975-09-24,0,CLIC
1975-09-25,0,CLIC
1975-09-26,0,CLIC
1975-09-27,0,CLIC
1975-09-28,0,CLIC
1975-09-29,0,CLIC
1975-09-30,0,CLIC
1975-10-01,7,CLIC
1975-10-02,0.6,CLIC
1975-10-03,0,CLIC
1975-10-04,2.3,CLIC
1975-10-05,0,CLIC
1975-10-06,0,CLIC
1975-10-07,0,CLIC
1975-10-08,0,CLIC
1975-10-09,0,CLIC
1975-10-10,0,CLIC
1975-10-11,0,CLIC
1975-10-12,0,CLIC
1975-10-13,0,CLIC
1975-10-14,0,CLIC
1975-10-15,0,CLIC
1975-10-16,11.3,CLIC
1975-10-17,0,CLIC
1975-10-18,0,CLIC
1975-10-19,0,CLIC
1975-10-20,0,CLIC
1975-10-21,0,CLIC
1975-10-22,0,CLIC
1975-10-23,0,CLIC
1975-10-24,0,CLIC
1975-10-25,0,CLIC
1975-10-26,0,CLIC
1975-10-27,0,CLIC
1975-10-28,0,CLIC
1975-10-29,5,CLIC
1975-10-30,0,CLIC
1975-10-31,0,CLIC
1975-11-01,0,CLIC
1975-11-02,0,CLIC
1975-11-03,0,CLIC
1975-11-04,5.2,CLIC
1975-11-05,0,CLIC
1975-11-06,0,CLIC
1975-11-07,0,CLIC
1975-11-08,0,CLIC
1975-11-09,0,CLIC
1975-11-10,0,CLIC
1975-11-11,0,CLIC
1975-11-12,0,CLIC
1975-11-13,0,CLIC
1975-11-14,0,CLIC
1975-11-15,0,CLIC
1975-11-16,0,CLIC
1975-11-17,0,CLIC
1975-11-18,0,CLIC
1975-11-19,0,CLIC
1975-11-20,0,CLIC
1975-11-21,0,CLIC
1975-11-22,0.4,CLIC
1975-11-23,0,CLIC
1975-11-24,0,CLIC
1975-11-25,0,CLIC
1975-11-26,0,CLIC
1975-11-27,0,CLIC
1975-11-28,0,CLIC
1975-11-29,0,CLIC
1975-11-30,0,CLIC
1975-12-01,0,CLIC
1975-12-02,0,CLIC
1975-12-03,0.6,CLIC
1975-12-04,0,CLIC
1975-12-05,0,CLIC
1975-12-06,0,CLIC
1975-12-07,0,CLIC
1975-12-08,0,CLIC
1975-12-09,0,CLIC
1975-12-10,0,CLIC
1975-12-11,0,CLIC
1975-12-12,0,CLIC
1975-12-13,0,CLIC
1975-12-14,0,CLIC
1975-12-15,0,CLIC
1975-12-16,0,CLIC
1975-12-17,5.2,CLIC
1975-12-18,3,CLIC
1975-12-19,0.6,CLIC
1975-12-20,0,CLIC
1975-12-21,0,CLIC
1975-12-22,0,CLIC
1975-12-23,0,CLIC
1975-12-24,0,CLIC
1975-12-25,0,CLIC
1975-12-26,0,CLIC
1975-12-27,0,CLIC
1975-12-28,0,CLIC
1975-12-29,0.6,CLIC
1975-12-30,0,CLIC
1975-12-31,0,CLIC
1976-01-01,0,CLIC
1976-01-02,0,CLIC
1976-01-03,0,CLIC
1976-01-04,0,CLIC
1976-01-05,0,CLIC
1976-01-06,0,CLIC
1976-01-07,0,CLIC
1976-01-08,0,CLIC
1976-01-09,0,CLIC
1976-01-10,0,CLIC
1976-01-11,0,CLIC
1976-01-12,0,CLIC
1976-01-13,0,CLIC
1976-01-14,0.5,CLIC
1976-01-15,0,CLIC
1976-01-16,0,CLIC
1976-01-17,0,CLIC
1976-01-18,0,CLIC
1976-01-19,0,CLIC
1976-01-20,0,CLIC
1976-01-21,0,CLIC
1976-01-22,0,CLIC
1976-01-23,0,CLIC
1976-01-24,0,CLIC
1976-01-25,0,CLIC
1976-01-26,0,CLIC
1976-01-27,0,CLIC
1976-01-28,0,CLIC
1976-01-29,0,CLIC
1976-01-30,5,CLIC
1976-01-31,0,CLIC
1976-02-01,0,CLIC
1976-02-02,0,CLIC
1976-02-03,0,CLIC
1976-02-04,0,CLIC
1976-02-05,0,CLIC
1976-02-06,0,CLIC
1976-02-07,0,CLIC
1976-02-08,0,CLIC
1976-02-09,0,CLIC
1976-02-10,0,CLIC
1976-02-11,0,CLIC
1976-02-12,0,CLIC
1976-02-13,0,CLIC
1976-02-14,0,CLIC
1976-02-15,0,CLIC
1976-02-16,0,CLIC
1976-02-17,0,CLIC
1976-02-18,0,CLIC
1976-02-19,0,CLIC
1976-02-20,0,CLIC
1976-02-21,0,CLIC
1976-02-22,0,CLIC
1976-02-23,0,CLIC
1976-02-24,0,CLIC
1976-02-25,0,CLIC
1976-02-26,0,CLIC
1976-02-27,0,CLIC
1976-02-28,0,CLIC
1976-02-29,0,CLIC
1976-03-01,0,CLIC
1976-03-02,0,CLIC
1976-03-03,0,CLIC
1976-03-04,0,CLIC
1976-03-05,0,CLIC
1976-03-06,0,CLIC
1976-03-07,0,CLIC
1976-03-08,0,CLIC
1976-03-09,0,CLIC
1976-03-10,0,CLIC
1976-03-11,0,CLIC
1976-03-12,0,CLIC
1976-03-13,0,CLIC
1976-03-14,0,CLIC
1976-03-15,0,CLIC
1976-03-16,0,CLIC
1976-03-17,0,CLIC
1976-03-18,0,CLIC
1976-03-19,0,CLIC
1976-03-20,0,CLIC
1976-03-21,0,CLIC
1976-03-22,0,CLIC
1976-03-23,0,CLIC
1976-03-24,0,CLIC
1976-03-25,0,CLIC
1976-03-26,0,CLIC
1976-03-27,0,CLIC
1976-03-28,0,CLIC
1976-03-29,0,CLIC
1976-03-30,0,CLIC
1976-03-31,0,CLIC
1976-04-01,26,CLIC
1976-04-02,0,CLIC
1976-04-03,10,CLIC
1976-04-04,0,CLIC
1976-04-05,0,CLIC
1976-04-06,0,CLIC
1976-04-07,0,CLIC
1976-04-08,0,CLIC
1976-04-09,0,CLIC
1976-04-10,0,CLIC
1976-04-11,4.5,CLIC
1976-04-12,8.5,CLIC
1976-04-13,0,CLIC
1976-04-14,0,CLIC
1976-04-15,0,CLIC
1976-04-16,0,CLIC
1976-04-17,0,CLIC
1976-04-18,0,CLIC
1976-04-19,0,CLIC
1976-04-20,0,CLIC
1976-04-21,7.2,CLIC
1976-04-22,0,CLIC
1976-04-23,18.5,CLIC
1976-04-24,12,CLIC
1976-04-25,0,CLIC
1976-04-26,0,CLIC
1976-04-27,0,CLIC
1976-04-28,0,CLIC
1976-04-29,4,CLIC
1976-04-30,0,CLIC
1976-05-01,3.5,CLIC
1976-05-02,4.5,CLIC
1976-05-03,0,CLIC
1976-05-04,0,CLIC
1976-05-05,0,CLIC
1976-05-06,0,CLIC
1976-05-07,0,CLIC
1976-05-08,0,CLIC
1976-05-09,15,CLIC
1976-05-10,0.8,CLIC
1976-05-11,0,CLIC
1976-05-12,0,CLIC
1976-05-13,15,CLIC
1976-05-14,0,CLIC
1976-05-15,0,CLIC
1976-05-16,0,CLIC
1976-05-17,2.7,CLIC
1976-05-18,6,CLIC
1976-05-19,12,CLIC
1976-05-20,0,CLIC
1976-05-21,0,CLIC
1976-05-22,0,CLIC
1976-05-23,0,CLIC
1976-05-24,0,CLIC
1976-05-25,0,CLIC
1976-05-26,0,CLIC
1976-05-27,0,CLIC
1976-05-28,2,CLIC
1976-05-29,0,CLIC
1976-05-30,0,CLIC
1976-05-31,0,CLIC
1976-06-01,0,CLIC
1976-06-02,0,CLIC
1976-06-03,0,CLIC
1976-06-04,0,CLIC
1976-06-05,0,CLIC
1976-06-06,0,CLIC
1976-06-07,0,CLIC
1976-06-08,0,CLIC
1976-06-09,0,CLIC
1976-06-10,0,CLIC
1976-06-11,0,CLIC
1976-06-12,0,CLIC
1976-06-13,0,CLIC
1976-06-14,0,CLIC
1976-06-15,0,CLIC
1976-06-16,24,CLIC
1976-06-17,6,CLIC
1976-06-18,4,CLIC
1976-06-19,4.5,CLIC
1976-06-20,0,CLIC
1976-06-21,0,CLIC
1976-06-22,0,CLIC
1976-06-23,0,CLIC
1976-06-24,0,CLIC
1976-06-25,0,CLIC
1976-06-26,6.5,CLIC
1976-06-27,0,CLIC
1976-06-28,3.5,CLIC
1976-06-29,0,CLIC
1976-06-30,2.5,CLIC
1976-07-01,0,CLIC
1976-07-02,0,CLIC
1976-07-03,2.5,CLIC
1976-07-04,18.5,CLIC
1976-07-05,5.5,CLIC
1976-07-06,4.5,CLIC
1976-07-07,2.5,CLIC
1976-07-08,17.5,CLIC
1976-07-09,18.5,CLIC
1976-07-10,1.9,CLIC
1976-07-11,5.5,CLIC
1976-07-12,0,CLIC
1976-07-13,1.5,CLIC
1976-07-14,8,CLIC
1976-07-15,0,CLIC
1976-07-16,0,CLIC
1976-07-17,0,CLIC
1976-07-18,0,CLIC
1976-07-19,0,CLIC
1976-07-20,0,CLIC
1976-07-21,19.6,CLIC
1976-07-22,0,CLIC
1976-07-23,0,CLIC
1976-07-24,4.5,CLIC
1976-07-25,1.5,CLIC
1976-07-26,3.5,CLIC
1976-07-27,0,CLIC
1976-07-28,1.5,CLIC
1976-07-29,0,CLIC
1976-07-30,0,CLIC
1976-07-31,1.5,CLIC
1976-08-01,3.5,CLIC
1976-08-02,0,CLIC
1976-08-03,2.5,CLIC
1976-08-04,0,CLIC
1976-08-05,0,CLIC
1976-08-06,0,CLIC
1976-08-07,4.5,CLIC
1976-08-08,14.5,CLIC
1976-08-09,3.5,CLIC
1976-08-10,0,CLIC
1976-08-11,0,CLIC
1976-08-12,0,CLIC
1976-08-13,2.6,CLIC
1976-08-14,0,CLIC
1976-08-15,0,CLIC
1976-08-16,0,CLIC
1976-08-17,0,CLIC
1976-08-18,2.5,CLIC
1976-08-19,0,CLIC
1976-08-20,4.5,CLIC
1976-08-21,5.5,CLIC
1976-08-22,6.5,CLIC
1976-08-23,0,CLIC
1976-08-24,0,CLIC
1976-08-25,1.7,CLIC
1976-08-26,4.5,CLIC
1976-08-27,12.6,CLIC
1976-08-28,0,CLIC
1976-08-29,0,CLIC
1976-08-30,0,CLIC
1976-08-31,0,CLIC
1976-09-01,8.9,CLIC
1976-09-02,2.9,CLIC
1976-09-03,0,CLIC
1976-09-04,0,CLIC
1976-09-05,8,CLIC
1976-09-06,0,CLIC
1976-09-07,0,CLIC
1976-09-08,3,CLIC
1976-09-09,4,CLIC
1976-09-10,0,CLIC
1976-09-11,0,CLIC
1976-09-12,0,CLIC
1976-09-13,20,CLIC
1976-09-14,0,CLIC
1976-09-15,3,CLIC
1976-09-16,6,CLIC
1976-09-17,4,CLIC
1976-09-18,8,CLIC
1976-09-19,0,CLIC
1976-09-20,6,CLIC
1976-09-21,0,CLIC
1976-09-22,0,CLIC
1976-09-23,0,CLIC
1976-09-24,5,CLIC
1976-09-25,0,CLIC
1976-09-26,4,CLIC
1976-09-27,0,CLIC
1976-09-28,0,CLIC
1976-09-29,4.6,CLIC
1976-09-30,0,CLIC
1976-10-01,0,CLIC
1976-10-02,0,CLIC
1976-10-03,0,CLIC
1976-10-04,0,CLIC
1976-10-05,0,CLIC
1976-10-06,0,CLIC
1976-10-07,0,CLIC
1976-10-08,7,CLIC
1976-10-09,0,CLIC
1976-10-10,0,CLIC
1976-10-11,0,CLIC
1976-10-12,0,CLIC
1976-10-13,0,CLIC
1976-10-14,0,CLIC
1976-10-15,0,CLIC
1976-10-16,0,CLIC
1976-10-17,0,CLIC
1976-10-18,0,CLIC
1976-10-19,5,CLIC
1976-10-20,0,CLIC
1976-10-21,0,CLIC
1976-10-22,0,CLIC
1976-10-23,0,CLIC
1976-10-24,0,CLIC
1976-10-25,0,CLIC
1976-10-26,2,CLIC
1976-10-27,0,CLIC
1976-10-28,0,CLIC
1976-10-29,0,CLIC
1976-10-30,5,CLIC
1976-10-31,0,CLIC
1976-11-01,0,CLIC
1976-11-02,0,CLIC
1976-11-03,0,CLIC
1976-11-04,0,CLIC
1976-11-05,0,CLIC
1976-11-06,0,CLIC
1976-11-07,5,CLIC
1976-11-08,0,CLIC
1976-11-09,0,CLIC
1976-11-10,0,CLIC
1976-11-11,0,CLIC
1976-11-12,0,CLIC
1976-11-13,0,CLIC
1976-11-14,0,CLIC
1976-11-15,0,CLIC
1976-11-16,3.5,CLIC
1976-11-17,6.5,CLIC
1976-11-18,5,CLIC
1976-11-19,0,CLIC
1976-11-20,0,CLIC
1976-11-21,2.5,CLIC
1976-11-22,0,CLIC
1976-11-23,0,CLIC
1976-11-24,0,CLIC
1976-11-25,0,CLIC
1976-11-26,0,CLIC
1976-11-27,0,CLIC
1976-11-28,3.5,CLIC
1976-11-29,0,CLIC
1976-11-30,0,CLIC
1976-12-01,9.5,CLIC
1976-12-02,0,CLIC
1976-12-03,0,CLIC
1976-12-04,0,CLIC
1976-12-05,0,CLIC
1976-12-06,2.5,CLIC
1976-12-07,0,CLIC
1976-12-08,0,CLIC
1976-12-09,0,CLIC
1976-12-10,0,CLIC
1976-12-11,0,CLIC
1976-12-12,0,CLIC
1976-12-13,0,CLIC
1976-12-14,0,CLIC
1976-12-15,0,CLIC
1976-12-16,8.5,CLIC
1976-12-17,0,CLIC
1976-12-18,0,CLIC
1976-12-19,0,CLIC
1976-12-20,4.5,CLIC
1976-12-21,3.5,CLIC
1976-12-22,0,CLIC
1976-12-23,2,CLIC
1976-12-24,0,CLIC
1976-12-25,3.5,CLIC
1976-12-26,0,CLIC
1976-12-27,0,CLIC
1976-12-28,0,CLIC
1976-12-29,0,CLIC
1976-12-30,0,CLIC
1976-12-31,0,CLIC
1977-01-01,0,CLIC
1977-01-02,0,CLIC
1977-01-03,2.5,CLIC
1977-01-04,0,CLIC
1977-01-05,0,CLIC
1977-01-06,0,CLIC
1977-01-07,0,CLIC
1977-01-08,0,CLIC
1977-01-09,0,CLIC
1977-01-10,0,CLIC
1977-01-11,0,CLIC
1977-01-12,0,CLIC
1977-01-13,0,CLIC
1977-01-14,0,CLIC
1977-01-15,0,CLIC
1977-01-16,0,CLIC
1977-01-17,0,CLIC
1977-01-18,0,CLIC
1977-01-19,0,CLIC
1977-01-20,0,CLIC
1977-01-21,0,CLIC
1977-01-22,0,CLIC
1977-01-23,0,CLIC
1977-01-24,2.5,CLIC
1977-01-25,0,CLIC
1977-01-26,0,CLIC
1977-01-27,0,CLIC
1977-01-28,0,CLIC
1977-01-29,0,CLIC
1977-01-30,0,CLIC
1977-01-31,0,CLIC
1977-02-01,0,CLIC
1977-02-02,0,CLIC
1977-02-03,0,CLIC
1977-02-04,0,CLIC
