Estación: ,C19068,DOCTOR ARROYO  (SMN)
1956-05-26,0,CLIC
1956-05-27,9,CLIC
1956-05-28,0,CLIC
1956-05-29,0,CLIC
1956-05-30,0,CLIC
1956-05-31,0,CLIC
1956-06-01,5,CLIC
1956-06-02,0,CLIC
1956-06-03,0,CLIC
1956-06-04,0,CLIC
1956-06-05,0,CLIC
1956-06-06,0,CLIC
1956-06-07,0,CLIC
1956-06-08,0,CLIC
1956-06-09,0,CLIC
1956-06-10,0,CLIC
1956-06-11,0,CLIC
1956-06-12,0,CLIC
1956-06-13,0,CLIC
1956-06-14,0,CLIC
1956-06-15,0,CLIC
1956-06-16,0,CLIC
1956-06-17,0,CLIC
1956-06-18,0,CLIC
1956-06-19,0,CLIC
1956-06-20,0,CLIC
1956-06-21,0,CLIC
1956-06-22,0,CLIC
1956-06-23,4,CLIC
1956-06-24,12,CLIC
1956-06-25,35,CLIC
1956-06-26,0,CLIC
1956-06-27,0,CLIC
1956-06-28,0,CLIC
1956-06-29,0,CLIC
1956-06-30,6,CLIC
1956-07-01,0,CLIC
1956-07-02,0,CLIC
1956-07-03,0,CLIC
1956-07-04,0,CLIC
1956-07-05,0,CLIC
1956-07-06,0,CLIC
1956-07-07,0,CLIC
1956-07-08,0,CLIC
1956-07-09,0,CLIC
1956-07-10,0,CLIC
1956-07-11,0,CLIC
1956-07-12,0,CLIC
1956-07-13,0,CLIC
1956-07-14,0,CLIC
1956-07-15,0,CLIC
1956-07-16,0,CLIC
1956-07-17,0,CLIC
1956-07-18,0,CLIC
1956-07-19,0,CLIC
1956-07-20,0,CLIC
1956-07-21,0,CLIC
1956-07-22,0,CLIC
1956-07-23,0.6,CLIC
1956-07-24,0,CLIC
1956-07-25,0,CLIC
1956-07-26,0,CLIC
1956-07-27,0,CLIC
1956-07-28,0,CLIC
1956-07-29,0,CLIC
1956-07-30,0,CLIC
1956-07-31,0,CLIC
1956-08-01,0,CLIC
1956-08-02,0,CLIC
1956-08-03,0,CLIC
1956-08-04,0,CLIC
1956-08-05,0,CLIC
1956-08-06,0,CLIC
1956-08-07,0,CLIC
1956-08-08,0,CLIC
1956-08-09,0,CLIC
1956-08-10,0,CLIC
1956-08-11,0,CLIC
1956-08-12,0,CLIC
1956-08-13,1.2,CLIC
1956-08-14,0.6,CLIC
1956-08-15,0,CLIC
1956-08-16,0,CLIC
1956-08-17,0,CLIC
1956-08-18,0,CLIC
1956-08-19,0,CLIC
1956-08-20,0.4,CLIC
1956-08-21,1.9,CLIC
1956-08-22,0.4,CLIC
1956-08-23,0,CLIC
1956-08-24,0.6,CLIC
1956-08-25,0.4,CLIC
1956-08-26,0,CLIC
1956-08-27,0,CLIC
1956-08-28,0,CLIC
1956-08-29,0,CLIC
1956-08-30,0,CLIC
1956-08-31,0,CLIC
1956-09-01,0,CLIC
1956-09-02,0,CLIC
1956-09-03,12,CLIC
1956-09-04,0,CLIC
1956-09-05,0,CLIC
1956-09-06,14,CLIC
1956-09-07,0,CLIC
1956-09-08,0,CLIC
1956-09-09,0,CLIC
1956-09-10,0,CLIC
1956-09-11,0,CLIC
1956-09-12,0,CLIC
1956-09-13,0,CLIC
1956-09-14,0,CLIC
1956-09-15,0,CLIC
1956-09-16,0,CLIC
1956-09-17,0,CLIC
1956-09-18,0,CLIC
1956-09-19,0,CLIC
1956-09-20,0,CLIC
1956-09-21,0,CLIC
1956-09-22,0,CLIC
1956-09-23,0,CLIC
1956-09-24,0,CLIC
1956-09-25,0,CLIC
1956-09-26,0,CLIC
1956-09-27,0,CLIC
1956-09-28,0,CLIC
1956-09-29,0,CLIC
1956-09-30,0,CLIC
1956-10-01,0,CLIC
1956-10-02,0,CLIC
1956-10-03,0,CLIC
1956-10-04,0,CLIC
1956-10-05,0,CLIC
1956-10-06,0,CLIC
1956-10-07,0,CLIC
1956-10-08,0,CLIC
1956-10-09,0,CLIC
1956-10-10,0,CLIC
1956-10-11,0,CLIC
1956-10-12,0,CLIC
1956-10-13,0,CLIC
1956-10-14,0,CLIC
1956-10-15,0.2,CLIC
1956-10-16,0,CLIC
1956-10-17,0.3,CLIC
1956-10-18,1.5,CLIC
1956-10-19,0.6,CLIC
1956-10-20,0,CLIC
1956-10-21,0,CLIC
1956-10-22,0,CLIC
1956-10-23,0,CLIC
1956-10-24,0,CLIC
1956-10-25,0,CLIC
1956-10-26,0,CLIC
1956-10-27,0,CLIC
1956-10-28,0,CLIC
1956-10-29,0,CLIC
1956-10-30,0,CLIC
1956-10-31,0,CLIC
1956-11-01,0,CLIC
1956-11-02,0,CLIC
1956-11-03,0,CLIC
1956-11-04,0,CLIC
1956-11-05,0,CLIC
1956-11-06,0,CLIC
1956-11-07,0,CLIC
1956-11-08,0.7,CLIC
1956-11-09,0,CLIC
1956-11-10,0,CLIC
1956-11-11,0,CLIC
1956-11-12,0,CLIC
1956-11-13,0,CLIC
1956-11-14,0,CLIC
1956-11-15,0,CLIC
1956-11-16,0,CLIC
1956-11-17,0,CLIC
1956-11-18,0,CLIC
1956-11-19,0,CLIC
1956-11-20,0,CLIC
1956-11-21,0,CLIC
1956-11-22,0,CLIC
1956-11-23,0,CLIC
1956-11-24,1.9,CLIC
1956-11-25,0,CLIC
1956-11-26,0,CLIC
1956-11-27,0,CLIC
1956-11-28,0,CLIC
1956-11-29,0,CLIC
1956-11-30,0,CLIC
1956-12-01,0,CLIC
1956-12-02,0,CLIC
1956-12-03,0,CLIC
1956-12-04,0,CLIC
1956-12-05,0,CLIC
1956-12-06,0,CLIC
1956-12-07,0,CLIC
1956-12-08,0,CLIC
1956-12-09,0,CLIC
1956-12-10,0,CLIC
1956-12-11,14,CLIC
1956-12-12,4,CLIC
1956-12-13,0,CLIC
1956-12-14,0,CLIC
1956-12-15,0,CLIC
1956-12-16,0,CLIC
1956-12-17,0,CLIC
1956-12-18,0,CLIC
1956-12-19,0,CLIC
1956-12-20,0,CLIC
1956-12-21,0,CLIC
1956-12-22,0,CLIC
1956-12-23,0,CLIC
1956-12-24,0,CLIC
1956-12-25,0,CLIC
1956-12-26,0,CLIC
1956-12-27,0,CLIC
1956-12-28,0,CLIC
1956-12-29,0,CLIC
1956-12-30,0,CLIC
1956-12-31,0,CLIC
1957-01-01,0,CLIC
1957-01-02,0,CLIC
1957-01-03,0,CLIC
1957-01-04,0,CLIC
1957-01-05,0,CLIC
1957-01-06,0,CLIC
1957-01-07,0,CLIC
1957-01-08,0,CLIC
1957-01-09,0,CLIC
1957-01-10,0,CLIC
1957-01-11,0,CLIC
1957-01-12,0,CLIC
1957-01-13,0,CLIC
1957-01-14,0,CLIC
1957-01-15,0,CLIC
1957-01-16,0,CLIC
1957-01-17,0.7,CLIC
1957-01-18,0,CLIC
1957-01-19,0,CLIC
1957-01-20,0,CLIC
1957-01-21,0,CLIC
1957-01-22,0,CLIC
1957-01-23,0,CLIC
1957-01-24,0,CLIC
1957-01-25,0,CLIC
1957-01-26,0,CLIC
1957-01-27,0,CLIC
1957-01-28,0,CLIC
1957-01-29,0,CLIC
1957-01-30,0,CLIC
1957-02-01,0,CLIC
1957-02-02,0,CLIC
1957-02-03,0,CLIC
1957-02-04,0,CLIC
1957-02-05,0,CLIC
1957-02-06,0,CLIC
1957-02-07,0,CLIC
1957-02-08,0,CLIC
1957-02-09,0,CLIC
1957-02-10,0,CLIC
1957-02-11,0,CLIC
1957-02-12,0,CLIC
1957-02-13,0,CLIC
1957-02-14,0,CLIC
1957-02-15,17,CLIC
1957-02-16,14,CLIC
1957-02-17,3,CLIC
1957-02-18,0,CLIC
1957-02-19,0,CLIC
1957-02-20,0,CLIC
1957-02-21,0,CLIC
1957-02-22,0,CLIC
1957-02-23,0,CLIC
1957-02-24,0,CLIC
1957-02-25,0,CLIC
1957-02-26,0,CLIC
1957-02-27,0,CLIC
1957-03-01,0,CLIC
1957-03-02,0,CLIC
1957-03-03,0,CLIC
1957-03-04,0,CLIC
1957-03-05,0,CLIC
1957-03-06,0,CLIC
1957-03-07,0,CLIC
1957-03-08,0,CLIC
1957-03-09,0,CLIC
1957-03-10,0,CLIC
1957-03-11,0,CLIC
1957-03-12,0,CLIC
1957-03-13,0,CLIC
1957-03-14,0,CLIC
1957-03-15,0,CLIC
1957-03-16,0,CLIC
1957-03-17,0,CLIC
1957-03-18,0,CLIC
1957-03-19,0,CLIC
1957-03-20,4,CLIC
1957-03-21,0,CLIC
1957-03-22,0,CLIC
1957-03-23,0,CLIC
1957-03-24,0,CLIC
1957-03-25,0,CLIC
1957-03-26,0,CLIC
1957-03-27,15,CLIC
1957-03-28,0,CLIC
1957-03-29,0,CLIC
1957-03-30,0,CLIC
1957-04-01,0,CLIC
1957-04-02,0,CLIC
1957-04-03,0,CLIC
1957-04-04,0,CLIC
1957-04-05,0,CLIC
1957-04-06,0,CLIC
1957-04-07,0,CLIC
1957-04-08,0,CLIC
1957-04-09,0,CLIC
1957-04-10,0,CLIC
1957-04-11,0,CLIC
1957-04-12,0,CLIC
1957-04-13,0,CLIC
1957-04-14,0,CLIC
1957-04-15,0,CLIC
1957-04-16,0,CLIC
1957-04-17,0,CLIC
1957-04-18,0,CLIC
1957-04-19,0,CLIC
1957-04-20,0,CLIC
1957-04-21,0,CLIC
1957-04-22,0,CLIC
1957-04-23,0,CLIC
1957-04-24,0,CLIC
1957-04-25,0,CLIC
1957-04-26,0,CLIC
1957-04-27,0,CLIC
1957-04-28,6,CLIC
1957-04-29,0,CLIC
1957-05-01,0,CLIC
1957-05-02,0,CLIC
1957-05-03,0,CLIC
1957-05-04,0,CLIC
1957-05-05,1,CLIC
1957-05-06,0.6,CLIC
1957-05-07,0,CLIC
1957-05-08,0.5,CLIC
1957-05-09,0,CLIC
1957-05-10,0,CLIC
1957-05-11,0,CLIC
1957-05-12,0,CLIC
1957-05-13,0,CLIC
1957-05-14,0,CLIC
1957-05-15,0,CLIC
1957-05-16,0,CLIC
1957-05-17,0,CLIC
1957-05-18,0,CLIC
1957-05-19,0,CLIC
1957-05-20,0,CLIC
1957-05-21,0,CLIC
1957-05-22,0,CLIC
1957-05-23,0,CLIC
1957-05-24,0,CLIC
1957-05-25,0,CLIC
1957-05-26,0,CLIC
1957-05-27,0,CLIC
1957-05-28,0,CLIC
1957-05-29,0,CLIC
1957-05-30,19,CLIC
1957-05-31,0.9,CLIC
1957-06-01,1,CLIC
1957-06-02,0,CLIC
1957-06-03,1.5,CLIC
1957-06-04,0,CLIC
1957-06-05,0,CLIC
1957-06-06,22,CLIC
1957-06-07,0,CLIC
1957-06-08,0,CLIC
1957-06-09,0,CLIC
1957-06-10,0,CLIC
1957-06-11,0,CLIC
1957-06-12,0,CLIC
1957-06-13,0,CLIC
1957-06-14,0,CLIC
1957-06-15,0,CLIC
1957-06-16,0,CLIC
1957-06-17,0,CLIC
1957-06-18,1.5,CLIC
1957-06-19,0,CLIC
1957-06-20,0,CLIC
1957-06-21,1.2,CLIC
1957-06-22,0,CLIC
1957-06-23,0,CLIC
1957-06-24,0,CLIC
1957-06-25,0,CLIC
1957-06-26,0,CLIC
1957-06-27,0,CLIC
1957-06-28,0,CLIC
1957-06-29,0,CLIC
1957-06-30,0,CLIC
1957-07-01,0,CLIC
1957-07-02,0,CLIC
1957-07-03,0,CLIC
1957-07-04,0,CLIC
1957-07-05,0,CLIC
1957-07-06,4,CLIC
1957-07-07,0,CLIC
1957-07-08,0,CLIC
1957-07-09,0,CLIC
1957-07-10,0,CLIC
1957-07-11,0,CLIC
1957-07-12,0,CLIC
1957-07-13,0,CLIC
1957-07-14,0,CLIC
1957-07-15,0,CLIC
1957-07-16,0,CLIC
1957-07-17,0,CLIC
1957-07-18,0,CLIC
1957-07-19,0,CLIC
1957-07-20,0,CLIC
1957-07-21,0,CLIC
1957-07-22,0,CLIC
1957-07-23,8,CLIC
1957-07-24,0,CLIC
1957-07-25,0,CLIC
1957-07-26,0,CLIC
1957-07-27,0,CLIC
1957-07-28,0,CLIC
1957-07-29,0,CLIC
1957-07-30,0,CLIC
1957-08-01,15,CLIC
1957-08-02,0,CLIC
1957-08-03,0,CLIC
1957-08-04,0,CLIC
1957-08-05,0,CLIC
1957-08-06,0,CLIC
1957-08-07,0,CLIC
1957-08-08,0,CLIC
1957-08-09,0,CLIC
1957-08-10,0,CLIC
1957-08-11,0.5,CLIC
1957-08-12,0,CLIC
1957-08-13,0,CLIC
1957-08-14,0,CLIC
1957-08-15,0,CLIC
1957-08-16,39,CLIC
1957-08-17,0,CLIC
1957-08-18,0,CLIC
1957-08-19,0.6,CLIC
1957-08-20,51,CLIC
1957-08-21,0,CLIC
1957-08-22,0,CLIC
1957-08-23,0,CLIC
1957-08-24,0,CLIC
1957-08-25,0,CLIC
1957-08-26,0,CLIC
1957-08-27,0,CLIC
1957-08-28,0.2,CLIC
1957-08-29,12,CLIC
1957-08-30,0,CLIC
1957-08-31,0,CLIC
1957-09-01,0,CLIC
1957-09-02,0,CLIC
1957-09-03,13,CLIC
1957-09-04,0,CLIC
1957-09-05,0,CLIC
1957-09-06,0,CLIC
1957-09-07,0,CLIC
1957-09-08,0,CLIC
1957-09-09,0,CLIC
1957-09-10,0,CLIC
1957-09-11,0,CLIC
1957-09-12,0,CLIC
1957-09-13,0,CLIC
1957-09-14,0,CLIC
1957-09-15,0,CLIC
1957-09-16,0,CLIC
1957-09-17,0,CLIC
1957-09-18,9,CLIC
1957-09-19,5,CLIC
1957-09-20,0,CLIC
1957-09-21,0,CLIC
1957-09-22,3,CLIC
1957-09-23,19,CLIC
1957-09-24,0,CLIC
1957-09-25,0,CLIC
1957-09-26,0,CLIC
1957-09-27,5,CLIC
1957-09-28,0,CLIC
1957-09-29,0,CLIC
1957-10-01,0,CLIC
1957-10-02,0,CLIC
1957-10-03,0,CLIC
1957-10-04,0,CLIC
1957-10-05,0,CLIC
1957-10-06,0,CLIC
1957-10-07,0,CLIC
1957-10-08,6,CLIC
1957-10-09,0,CLIC
1957-10-10,4,CLIC
1957-10-11,10,CLIC
1957-10-12,0,CLIC
1957-10-13,0,CLIC
1957-10-14,0,CLIC
1957-10-15,0,CLIC
1957-10-16,0,CLIC
1957-10-17,0,CLIC
1957-10-18,0,CLIC
1957-10-19,14,CLIC
1957-10-20,0,CLIC
1957-10-21,0,CLIC
1957-10-22,0,CLIC
1957-10-23,0,CLIC
1957-10-24,0,CLIC
1957-10-25,0,CLIC
1957-10-26,0,CLIC
1957-10-27,0,CLIC
1957-10-28,0,CLIC
1957-10-29,0,CLIC
1957-10-30,0,CLIC
1957-11-01,0,CLIC
1957-11-02,0,CLIC
1957-11-03,0,CLIC
1957-11-04,0,CLIC
1957-11-05,0,CLIC
1957-11-06,0,CLIC
1957-11-07,0,CLIC
1957-11-08,0,CLIC
1957-11-09,0,CLIC
1957-11-10,0,CLIC
1957-11-11,0,CLIC
1957-11-12,0,CLIC
1957-11-13,0,CLIC
1957-11-14,0,CLIC
1957-11-15,0,CLIC
1957-11-16,0,CLIC
1957-11-17,0,CLIC
1957-11-18,0,CLIC
1957-11-19,0,CLIC
1957-11-20,0,CLIC
1957-11-21,0,CLIC
1957-11-22,0,CLIC
1957-11-23,0,CLIC
1957-11-24,0,CLIC
1957-11-25,0,CLIC
1957-11-26,0,CLIC
1957-11-27,0,CLIC
1957-11-28,0,CLIC
1957-11-29,0,CLIC
1957-12-01,0,CLIC
1957-12-02,0,CLIC
1957-12-03,0,CLIC
1957-12-04,0,CLIC
1957-12-05,0,CLIC
1957-12-06,0,CLIC
1957-12-07,0,CLIC
1957-12-08,0,CLIC
1957-12-09,0,CLIC
1957-12-10,0,CLIC
1957-12-11,0,CLIC
1957-12-12,0,CLIC
1957-12-13,0,CLIC
1957-12-14,0,CLIC
1957-12-15,0,CLIC
1957-12-16,0,CLIC
1957-12-17,0,CLIC
1957-12-18,0,CLIC
1957-12-19,0,CLIC
1957-12-20,0,CLIC
1957-12-21,0,CLIC
1957-12-22,0,CLIC
1957-12-23,0,CLIC
1957-12-24,0,CLIC
1957-12-25,0,CLIC
1957-12-26,0,CLIC
1957-12-27,0.8,CLIC
1957-12-28,0,CLIC
1957-12-29,0,CLIC
1957-12-30,0,CLIC
1957-12-31,0.6,CLIC
1958-01-01,20,CLIC
1958-01-02,0,CLIC
1958-01-03,15,CLIC
1958-01-04,0,CLIC
1958-01-05,0,CLIC
1958-01-06,0.4,CLIC
1958-01-07,0,CLIC
1958-01-08,0,CLIC
1958-01-09,0,CLIC
1958-01-10,0,CLIC
1958-01-11,0,CLIC
1958-01-12,0,CLIC
1958-01-13,0,CLIC
1958-01-14,0,CLIC
1958-01-15,0,CLIC
1958-01-16,0,CLIC
1958-01-17,0.9,CLIC
1958-01-18,0,CLIC
1958-01-19,0,CLIC
1958-01-20,0,CLIC
1958-01-21,0,CLIC
1958-01-22,0,CLIC
1958-01-23,0,CLIC
1958-01-24,0,CLIC
1958-01-25,0,CLIC
1958-01-26,0,CLIC
1958-01-27,0,CLIC
1958-01-28,0,CLIC
1958-01-29,0,CLIC
1958-01-30,0,CLIC
1958-01-31,0,CLIC
1958-02-01,0,CLIC
1958-02-02,0,CLIC
1958-02-03,0,CLIC
1958-02-04,0,CLIC
1958-02-05,0,CLIC
1958-02-06,0,CLIC
1958-02-07,0,CLIC
1958-02-08,0,CLIC
1958-02-09,0,CLIC
1958-02-10,0,CLIC
1958-02-11,0,CLIC
1958-02-12,0,CLIC
1958-02-13,0,CLIC
1958-02-14,0,CLIC
1958-02-15,0,CLIC
1958-02-16,0,CLIC
1958-02-17,0,CLIC
1958-02-18,4,CLIC
1958-02-19,0,CLIC
1958-02-20,19,CLIC
1958-02-21,0,CLIC
1958-02-22,0,CLIC
1958-02-23,0,CLIC
1958-02-24,0,CLIC
1958-02-25,0,CLIC
1958-02-26,0,CLIC
1958-02-27,0,CLIC
1958-03-01,0,CLIC
1958-03-02,0,CLIC
1958-03-03,0,CLIC
1958-03-04,0,CLIC
1958-03-05,0,CLIC
1958-03-06,0,CLIC
1958-03-07,0,CLIC
1958-03-08,0,CLIC
1958-03-09,0,CLIC
1958-03-10,0,CLIC
1958-03-11,0,CLIC
1958-03-12,0,CLIC
1958-03-13,0,CLIC
1958-03-14,0,CLIC
1958-03-15,0,CLIC
1958-03-16,0,CLIC
1958-03-17,0,CLIC
1958-03-18,0,CLIC
1958-03-19,0,CLIC
1958-03-20,0,CLIC
1958-03-21,0,CLIC
1958-03-22,0,CLIC
1958-03-23,0,CLIC
1958-03-24,0,CLIC
1958-03-25,0,CLIC
1958-03-26,0,CLIC
1958-03-27,0,CLIC
1958-03-28,0,CLIC
1958-03-29,0,CLIC
1958-03-30,0,CLIC
1958-04-01,0,CLIC
1958-04-02,0,CLIC
1958-04-03,0,CLIC
1958-04-04,0,CLIC
1958-04-05,0,CLIC
1958-04-06,0,CLIC
1958-04-07,0,CLIC
1958-04-08,0,CLIC
1958-04-09,0,CLIC
1958-04-10,0,CLIC
1958-04-11,0,CLIC
1958-04-12,0,CLIC
1958-04-13,0,CLIC
1958-04-14,0,CLIC
1958-04-15,0,CLIC
1958-04-16,0,CLIC
1958-04-17,0,CLIC
1958-04-18,0,CLIC
1958-04-19,0,CLIC
1958-04-20,0,CLIC
1958-04-21,0,CLIC
1958-04-22,0,CLIC
1958-04-23,0,CLIC
1958-04-24,0,CLIC
1958-04-25,0,CLIC
1958-04-26,0,CLIC
1958-04-27,0,CLIC
1958-04-28,0,CLIC
1958-04-29,0,CLIC
1958-04-30,0,CLIC
1958-05-01,0,CLIC
1958-05-02,14,CLIC
1958-05-03,0,CLIC
1958-05-04,0,CLIC
1958-05-05,0,CLIC
1958-05-06,0,CLIC
1958-05-07,0,CLIC
1958-05-08,0,CLIC
1958-05-09,0,CLIC
1958-05-10,0,CLIC
1958-05-11,0,CLIC
1958-05-12,0.2,CLIC
1958-05-13,17,CLIC
1958-05-14,0,CLIC
1958-05-15,0,CLIC
1958-05-16,0,CLIC
1958-05-17,0.9,CLIC
1958-05-18,0.6,CLIC
1958-05-19,18,CLIC
1958-05-20,0.8,CLIC
1958-05-21,1.3,CLIC
1958-05-22,0,CLIC
1958-05-23,0,CLIC
1958-05-24,0,CLIC
1958-05-25,0,CLIC
1958-05-26,0,CLIC
1958-05-27,0,CLIC
1958-05-28,0,CLIC
1958-05-29,0,CLIC
1958-05-30,0,CLIC
1958-05-31,0,CLIC
1958-06-01,0,CLIC
1958-06-02,0,CLIC
1958-06-03,0,CLIC
1958-06-04,0.9,CLIC
1958-06-05,0,CLIC
1958-06-06,0,CLIC
1958-06-07,1.4,CLIC
1958-06-08,0,CLIC
1958-06-09,0,CLIC
1958-06-10,0,CLIC
1958-06-11,0,CLIC
1958-06-12,0,CLIC
1958-06-13,0.3,CLIC
1958-06-14,2.6,CLIC
1958-06-15,0,CLIC
1958-06-16,3.6,CLIC
1958-06-17,0,CLIC
1958-06-18,0,CLIC
1958-06-19,0,CLIC
1958-06-20,0,CLIC
1958-06-21,0,CLIC
1958-06-22,0,CLIC
1958-06-23,0,CLIC
1958-06-24,0,CLIC
1958-06-25,1.1,CLIC
1958-06-26,0,CLIC
1958-06-27,0.7,CLIC
1958-06-28,0.4,CLIC
1958-06-29,0,CLIC
1958-06-30,1.1,CLIC
1958-07-01,8,CLIC
1958-07-02,0,CLIC
1958-07-03,0,CLIC
1958-07-04,0,CLIC
1958-07-05,0,CLIC
1958-07-06,0,CLIC
1958-07-07,0,CLIC
1958-07-08,6,CLIC
1958-07-09,0,CLIC
1958-07-10,0,CLIC
1958-07-11,14,CLIC
1958-07-12,0,CLIC
1958-07-13,0,CLIC
1958-07-14,0,CLIC
1958-07-15,0,CLIC
1958-07-16,0,CLIC
1958-07-17,0,CLIC
1958-07-18,0,CLIC
1958-07-19,0,CLIC
1958-07-20,0,CLIC
1958-07-21,0,CLIC
1958-07-22,0,CLIC
1958-07-23,0,CLIC
1958-07-24,0,CLIC
1958-07-25,0,CLIC
1958-07-26,0,CLIC
1958-07-27,0,CLIC
1958-07-28,0,CLIC
1958-07-29,0,CLIC
1958-07-30,0,CLIC
1958-07-31,0,CLIC
1958-08-01,0,CLIC
1958-08-02,0,CLIC
1958-08-03,0,CLIC
1958-08-04,0,CLIC
1958-08-05,0,CLIC
1958-08-06,0,CLIC
1958-08-07,0,CLIC
1958-08-08,0,CLIC
1958-08-09,0,CLIC
1958-08-10,0,CLIC
1958-08-11,0,CLIC
1958-08-12,0,CLIC
1958-08-13,0,CLIC
1958-08-14,0,CLIC
1958-08-15,7,CLIC
1958-08-16,0,CLIC
1958-08-17,34,CLIC
1958-08-18,27,CLIC
1958-08-19,0,CLIC
1958-08-20,0,CLIC
1958-08-21,0,CLIC
1958-08-22,0,CLIC
1958-08-23,0,CLIC
1958-08-24,0,CLIC
1958-08-25,20,CLIC
1958-08-26,0.9,CLIC
1958-08-27,0,CLIC
1958-08-28,0,CLIC
1958-08-29,0,CLIC
1958-08-30,0,CLIC
1958-08-31,97,CLIC
1958-09-01,0,CLIC
1958-09-02,23,CLIC
1958-09-03,6,CLIC
1958-09-04,0,CLIC
1958-09-05,16,CLIC
1958-09-06,4,CLIC
1958-09-07,16,CLIC
1958-09-08,0,CLIC
1958-09-09,0,CLIC
1958-09-10,18,CLIC
1958-09-11,0,CLIC
1958-09-12,0,CLIC
1958-09-13,0,CLIC
1958-09-14,33,CLIC
1958-09-15,12,CLIC
1958-09-16,0,CLIC
1958-09-17,12,CLIC
1958-09-18,0,CLIC
1958-09-19,13,CLIC
1958-09-20,10,CLIC
1958-09-21,0,CLIC
