Estación: ,C19177,POZOS MINA. MINA
1983-12-17,0,CLIC
1983-12-18,0,CLIC
1983-12-19,0,CLIC
1983-12-20,0,CLIC
1983-12-21,0,CLIC
1983-12-22,0,CLIC
1983-12-23,0,CLIC
1983-12-24,0,CLIC
1983-12-25,0,CLIC
1983-12-26,0,CLIC
1983-12-27,0,CLIC
1983-12-28,0,CLIC
1983-12-29,0,CLIC
1983-12-30,0,CLIC
1983-12-31,0,CLIC
1984-01-01,0,CLIC
1984-01-02,14,CLIC
1984-01-03,7,CLIC
1984-01-04,0,CLIC
1984-01-05,10,CLIC
1984-01-06,0,CLIC
1984-01-07,3,CLIC
1984-01-08,0,CLIC
1984-01-09,0,CLIC
1984-01-10,0,CLIC
1984-01-11,0,CLIC
1984-01-12,0,CLIC
1984-01-13,0,CLIC
1984-01-14,0,CLIC
1984-01-15,0,CLIC
1984-01-16,0,CLIC
1984-01-17,0,CLIC
1984-01-18,0,CLIC
1984-01-19,0,CLIC
1984-01-20,1,CLIC
1984-01-21,0,CLIC
1984-01-22,1,CLIC
1984-01-23,6,CLIC
1984-01-24,12.5,CLIC
1984-01-25,16,CLIC
1984-01-26,0,CLIC
1984-01-27,0,CLIC
1984-01-28,0,CLIC
1984-01-29,1,CLIC
1984-01-30,48,CLIC
1984-01-31,3,CLIC
1984-02-01,0,CLIC
1984-02-02,0,CLIC
1984-02-03,0,CLIC
1984-02-04,2,CLIC
1984-02-05,0,CLIC
1984-02-06,0,CLIC
1984-02-07,0,CLIC
1984-02-08,0,CLIC
1984-02-09,0,CLIC
1984-02-10,0,CLIC
1984-02-11,0,CLIC
1984-02-12,0,CLIC
1984-02-13,0,CLIC
1984-02-14,0,CLIC
1984-02-15,0,CLIC
1984-02-16,0,CLIC
1984-02-17,0,CLIC
1984-02-18,0,CLIC
1984-02-19,0,CLIC
1984-02-20,0,CLIC
1984-02-21,0,CLIC
1984-02-22,0,CLIC
1984-02-23,0,CLIC
1984-02-24,0,CLIC
1984-02-25,0,CLIC
1984-02-26,0,CLIC
1984-02-27,0,CLIC
1984-02-28,0,CLIC
1984-02-29,0,CLIC
1984-05-01,0,CLIC
1984-05-02,0,CLIC
1984-05-03,0,CLIC
1984-05-04,0,CLIC
1984-05-05,0,CLIC
1984-05-06,0,CLIC
1984-05-07,1,CLIC
1984-05-08,0,CLIC
1984-05-09,0,CLIC
1984-05-10,0,CLIC
1984-05-11,0,CLIC
1984-05-12,0,CLIC
1984-05-13,0,CLIC
1984-05-14,0,CLIC
1984-05-15,0,CLIC
1984-05-16,0,CLIC
1984-05-17,5,CLIC
1984-05-18,0,CLIC
1984-05-19,4,CLIC
1984-05-20,10,CLIC
1984-05-21,0,CLIC
1984-05-22,0,CLIC
1984-05-23,0,CLIC
1984-05-24,0,CLIC
1984-05-25,0,CLIC
1984-05-26,0,CLIC
1984-05-27,0,CLIC
1984-05-28,23,CLIC
1984-05-29,0,CLIC
1984-05-30,0,CLIC
1984-05-31,0,CLIC
1984-06-01,0,CLIC
1984-06-02,0,CLIC
1984-06-03,0,CLIC
1984-06-04,3.5,CLIC
1984-06-05,0,CLIC
1984-06-06,0,CLIC
1984-06-07,0,CLIC
1984-06-08,0,CLIC
1984-06-09,0,CLIC
1984-06-10,0,CLIC
1984-06-11,0,CLIC
1984-06-12,0,CLIC
1984-06-13,0,CLIC
1984-06-14,0,CLIC
1984-06-15,0,CLIC
1984-06-16,0,CLIC
1984-06-17,0,CLIC
1984-06-18,0,CLIC
1984-06-19,3,CLIC
1984-06-20,2,CLIC
1984-06-21,0,CLIC
1984-06-22,0,CLIC
1984-06-23,0,CLIC
1984-06-24,0,CLIC
1984-06-25,0,CLIC
1984-06-26,0,CLIC
1984-06-27,0,CLIC
1984-06-28,0,CLIC
1984-06-29,0,CLIC
1984-06-30,9.4,CLIC
1984-07-01,2,CLIC
1984-07-02,0,CLIC
1984-07-03,0,CLIC
1984-07-04,0,CLIC
1984-07-05,0,CLIC
1984-07-06,0,CLIC
1984-07-07,0,CLIC
1984-07-08,0,CLIC
1984-07-09,0,CLIC
1984-07-10,1.5,CLIC
1984-07-11,4,CLIC
1984-07-12,0,CLIC
1984-07-13,0,CLIC
1984-07-14,1.5,CLIC
1984-07-15,0,CLIC
1984-07-16,0,CLIC
1984-07-17,0,CLIC
1984-07-18,0,CLIC
1984-07-19,0,CLIC
1984-07-20,0,CLIC
1984-07-21,4,CLIC
1984-07-22,3,CLIC
1984-07-23,56,CLIC
1984-07-24,0,CLIC
1984-07-25,0,CLIC
1984-07-26,0,CLIC
1984-07-27,0,CLIC
1984-07-28,14.5,CLIC
1984-07-29,2,CLIC
1984-07-30,1,CLIC
1984-07-31,0,CLIC
1985-01-01,1.5,CLIC
1985-01-02,0,CLIC
1985-01-03,0,CLIC
1985-01-04,0,CLIC
1985-01-05,0,CLIC
1985-01-06,0,CLIC
1985-01-07,0,CLIC
1985-01-08,0,CLIC
1985-01-09,0,CLIC
1985-01-10,0,CLIC
1985-01-11,6,CLIC
1985-01-12,0,CLIC
1985-01-13,2,CLIC
1985-01-14,0,CLIC
1985-01-15,3,CLIC
1985-01-16,8,CLIC
1985-01-17,0,CLIC
1985-01-18,0,CLIC
1985-01-19,0,CLIC
1985-01-20,0,CLIC
1985-01-21,0,CLIC
1985-01-22,0,CLIC
1985-01-23,0,CLIC
1985-01-24,0,CLIC
1985-01-25,0,CLIC
1985-01-26,12,CLIC
1985-01-27,0,CLIC
1985-01-28,0,CLIC
1985-01-29,0,CLIC
1985-01-30,0,CLIC
1985-01-31,0,CLIC
1985-02-01,0,CLIC
1985-02-02,0,CLIC
1985-02-03,0,CLIC
1985-02-04,0,CLIC
1985-02-05,0,CLIC
1985-02-06,0,CLIC
1985-02-07,0,CLIC
1985-02-08,0,CLIC
1985-02-09,0,CLIC
1985-02-10,0,CLIC
1985-02-11,0,CLIC
1985-02-12,0,CLIC
1985-02-13,0,CLIC
1985-02-14,0,CLIC
1985-02-15,0,CLIC
1985-02-16,0,CLIC
1985-02-17,0,CLIC
1985-02-18,0,CLIC
1985-02-19,1,CLIC
1985-02-20,0,CLIC
1985-02-21,0,CLIC
1985-02-22,0,CLIC
1985-02-23,0,CLIC
1985-02-24,0,CLIC
1985-02-25,0,CLIC
1985-02-26,4,CLIC
1985-02-27,3,CLIC
1985-02-28,0,CLIC
1985-03-01,0,CLIC
1985-03-02,0,CLIC
1985-03-03,0,CLIC
1985-03-04,0,CLIC
1985-03-05,0,CLIC
1985-03-06,7,CLIC
1985-03-07,0,CLIC
1985-03-08,0,CLIC
1985-03-09,0,CLIC
1985-03-10,0,CLIC
1985-03-11,0,CLIC
1985-03-12,0,CLIC
1985-03-13,2,CLIC
1985-03-14,0,CLIC
1985-03-15,0,CLIC
1985-03-16,0,CLIC
1985-03-17,0,CLIC
1985-03-18,0,CLIC
1985-03-19,0,CLIC
1985-03-20,0,CLIC
1985-03-21,0,CLIC
1985-03-22,0,CLIC
1985-03-23,0,CLIC
1985-03-24,0,CLIC
1985-03-25,0,CLIC
1985-03-26,0,CLIC
1985-03-27,0,CLIC
1985-03-28,0,CLIC
1985-03-29,0,CLIC
1985-03-30,0,CLIC
1985-03-31,0,CLIC
1985-04-01,0,CLIC
1985-04-02,0,CLIC
1985-04-03,0,CLIC
1985-04-04,0,CLIC
1985-04-05,0,CLIC
1985-04-06,0,CLIC
1985-04-07,4,CLIC
1985-04-08,3,CLIC
1985-04-09,0,CLIC
1985-04-10,0,CLIC
1985-04-11,0,CLIC
1985-04-12,0,CLIC
1985-04-13,1,CLIC
1985-04-14,0,CLIC
1985-04-15,0,CLIC
1985-04-16,0,CLIC
1985-04-17,0,CLIC
1985-04-18,0,CLIC
1985-04-19,0,CLIC
1985-04-20,0,CLIC
1985-04-21,0,CLIC
1985-04-22,0,CLIC
1985-04-23,0,CLIC
1985-04-24,0,CLIC
1985-04-25,0,CLIC
1985-04-26,0,CLIC
1985-04-27,0,CLIC
1985-04-28,0,CLIC
1985-04-29,0,CLIC
1985-04-30,0,CLIC
1985-05-01,3,CLIC
1985-05-02,0,CLIC
1985-05-03,0,CLIC
1985-05-04,0,CLIC
1985-05-05,0,CLIC
1985-05-06,0,CLIC
1985-05-07,0,CLIC
1985-05-08,0,CLIC
1985-05-09,0,CLIC
1985-05-10,0,CLIC
1985-05-11,0,CLIC
1985-05-12,0,CLIC
1985-05-13,0,CLIC
1985-05-14,1,CLIC
1985-05-15,0,CLIC
1985-05-16,4,CLIC
1985-05-17,7.5,CLIC
1985-05-18,0,CLIC
1985-05-19,0,CLIC
1985-05-20,0,CLIC
1985-05-21,0,CLIC
1985-05-22,0,CLIC
1985-05-23,0,CLIC
1985-05-24,5,CLIC
1985-05-25,0,CLIC
1985-05-26,0,CLIC
1985-05-27,0,CLIC
1985-05-28,0,CLIC
1985-05-29,0,CLIC
1985-05-30,0,CLIC
1985-05-31,0,CLIC
1985-06-01,0,CLIC
1985-06-02,0,CLIC
1985-06-03,0,CLIC
1985-06-04,0,CLIC
1985-06-05,0,CLIC
1985-06-06,0,CLIC
1985-06-07,0,CLIC
1985-06-08,0,CLIC
1985-06-09,0,CLIC
1985-06-10,0,CLIC
1985-06-11,0,CLIC
1985-06-12,0,CLIC
1985-06-13,0,CLIC
1985-06-14,0,CLIC
1985-06-15,0,CLIC
1985-06-16,0,CLIC
1985-06-17,0,CLIC
1985-06-18,0,CLIC
1985-06-19,0,CLIC
1985-06-20,0,CLIC
1985-06-21,0,CLIC
1985-06-22,0,CLIC
1985-06-23,0,CLIC
1985-06-24,0,CLIC
1985-06-25,0,CLIC
1985-06-26,0,CLIC
1985-06-27,5,CLIC
1985-06-28,0,CLIC
1985-06-29,0,CLIC
1985-06-30,0,CLIC
1985-07-01,0,CLIC
1985-07-02,0,CLIC
1985-07-03,0,CLIC
1985-07-04,0,CLIC
1985-07-05,0,CLIC
1985-07-06,0,CLIC
1985-07-07,0,CLIC
1985-07-08,0,CLIC
1985-07-09,0,CLIC
1985-07-10,0,CLIC
1985-07-11,6.5,CLIC
1985-07-12,0,CLIC
1985-07-13,0,CLIC
1985-07-14,0,CLIC
1985-07-15,0,CLIC
1985-07-16,0,CLIC
1985-07-17,0,CLIC
1985-07-18,0,CLIC
1985-07-19,0,CLIC
1985-07-20,0,CLIC
1985-07-21,0,CLIC
1985-07-22,0,CLIC
1985-07-23,0,CLIC
1985-07-24,0,CLIC
1985-07-25,13.5,CLIC
1985-07-26,0,CLIC
1985-07-27,0,CLIC
1985-07-28,0,CLIC
1985-07-29,0,CLIC
1985-07-30,0,CLIC
1985-07-31,0,CLIC
1985-08-01,0,CLIC
1985-08-02,0,CLIC
1985-08-03,0,CLIC
1985-08-04,0,CLIC
1985-08-05,0,CLIC
1985-08-06,0,CLIC
1985-08-07,0,CLIC
1985-08-08,0,CLIC
1985-08-09,0,CLIC
1985-08-10,0,CLIC
1985-08-11,0,CLIC
1985-08-12,0,CLIC
1985-08-13,0,CLIC
1985-08-14,0,CLIC
1985-08-15,0,CLIC
1985-08-16,0,CLIC
1985-08-17,0,CLIC
1985-08-18,0,CLIC
1985-08-19,0,CLIC
1985-08-20,0,CLIC
1985-08-21,0,CLIC
1985-08-22,0,CLIC
1985-08-23,0,CLIC
1985-08-24,0,CLIC
1985-08-25,0,CLIC
1985-08-26,0,CLIC
1985-08-27,0,CLIC
1985-08-28,0,CLIC
1985-08-29,0,CLIC
1985-08-30,0,CLIC
1985-08-31,0,CLIC
1985-10-01,0,CLIC
1985-10-02,0,CLIC
1985-10-03,0,CLIC
1985-10-04,0,CLIC
1985-10-05,0,CLIC
1985-10-06,0,CLIC
1985-10-07,0,CLIC
1985-10-08,0,CLIC
1985-10-09,0,CLIC
1985-10-10,0,CLIC
1985-10-11,0,CLIC
1985-10-12,0,CLIC
1985-10-13,0,CLIC
1985-10-14,2,CLIC
1985-10-15,0,CLIC
1985-10-16,0,CLIC
1985-10-17,0,CLIC
1985-10-18,0,CLIC
1985-10-19,0,CLIC
1985-10-20,0,CLIC
1985-10-21,1.5,CLIC
1985-10-22,0,CLIC
1985-10-23,0,CLIC
1985-10-24,0,CLIC
1985-10-25,0,CLIC
1985-10-26,0,CLIC
1985-10-27,0,CLIC
1985-10-28,0,CLIC
1985-10-29,0,CLIC
1985-10-30,0,CLIC
1985-10-31,10,CLIC
1986-01-01,0,CLIC
1986-01-02,0,CLIC
1986-01-03,0,CLIC
1986-01-04,0,CLIC
1986-01-05,0,CLIC
1986-01-06,0,CLIC
1986-01-07,0,CLIC
1986-01-08,0,CLIC
1986-01-09,0,CLIC
1986-01-10,0,CLIC
1986-01-11,0,CLIC
1986-01-12,0,CLIC
1986-01-13,0,CLIC
1986-01-14,0,CLIC
1986-01-15,0,CLIC
1986-01-16,0,CLIC
1986-01-17,0,CLIC
1986-01-18,0,CLIC
1986-01-19,0,CLIC
1986-01-20,0,CLIC
1986-01-21,0,CLIC
1986-01-22,0,CLIC
1986-01-23,0,CLIC
1986-01-24,0,CLIC
1986-01-25,0,CLIC
1986-01-26,0,CLIC
1986-01-27,0,CLIC
1986-01-28,0,CLIC
1986-01-29,0,CLIC
1986-01-30,0,CLIC
1986-01-31,0,CLIC
1986-02-01,0,CLIC
1986-02-02,0,CLIC
1986-02-03,0,CLIC
1986-02-04,0,CLIC
1986-02-05,0,CLIC
1986-02-06,0,CLIC
1986-02-07,0,CLIC
1986-02-08,0,CLIC
1986-02-09,0,CLIC
1986-02-10,0,CLIC
1986-02-11,0,CLIC
1986-02-12,0,CLIC
1986-02-13,0,CLIC
1986-02-14,0,CLIC
1986-02-15,0,CLIC
1986-02-16,0,CLIC
1986-02-17,0,CLIC
1986-02-18,0,CLIC
1986-02-19,0,CLIC
1986-02-20,0,CLIC
1986-02-21,0,CLIC
1986-02-22,0,CLIC
1986-02-23,0,CLIC
1986-02-24,0,CLIC
1986-02-25,0,CLIC
1986-02-26,0,CLIC
1986-02-27,0,CLIC
1986-02-28,0,CLIC
1986-03-01,0,CLIC
1986-03-02,0,CLIC
1986-03-03,0,CLIC
1986-03-04,0,CLIC
1986-03-05,0,CLIC
1986-03-06,0,CLIC
1986-03-07,0,CLIC
1986-03-08,0,CLIC
1986-03-09,0,CLIC
1986-03-10,0,CLIC
1986-03-11,0,CLIC
1986-03-12,0,CLIC
1986-03-13,0,CLIC
1986-03-14,0,CLIC
1986-03-15,0,CLIC
1986-03-16,0,CLIC
1986-03-17,0,CLIC
1986-03-18,0,CLIC
1986-03-19,0,CLIC
1986-03-20,0,CLIC
1986-03-21,0,CLIC
1986-03-22,0,CLIC
1986-03-23,0,CLIC
1986-03-24,0,CLIC
1986-03-25,0,CLIC
1986-03-26,0,CLIC
1986-03-27,0,CLIC
1986-03-28,0,CLIC
1986-03-29,0,CLIC
1986-03-30,0,CLIC
1986-03-31,0,CLIC
1986-04-01,0,CLIC
1986-04-02,0,CLIC
1986-04-03,0,CLIC
1986-04-04,0,CLIC
1986-04-05,0,CLIC
1986-04-06,0,CLIC
1986-04-07,0,CLIC
1986-04-08,0,CLIC
1986-04-09,1.5,CLIC
1986-04-10,0,CLIC
1986-04-11,0,CLIC
1986-04-12,0,CLIC
1986-04-13,0,CLIC
1986-04-14,0,CLIC
1986-04-15,2,CLIC
1986-04-16,2,CLIC
1986-04-17,0,CLIC
1986-04-18,0,CLIC
1986-04-19,0,CLIC
1986-04-20,0,CLIC
1986-04-21,0,CLIC
1986-04-22,0,CLIC
1986-04-23,0,CLIC
1986-04-24,0,CLIC
1986-04-25,0,CLIC
1986-04-26,0,CLIC
1986-04-27,0,CLIC
1986-04-28,4.5,CLIC
1986-04-29,3,CLIC
1986-04-30,0,CLIC
1986-06-01,1.5,CLIC
1986-06-02,0,CLIC
1986-06-03,0.5,CLIC
1986-06-04,0,CLIC
1986-06-05,0,CLIC
1986-06-06,0,CLIC
1986-06-07,0,CLIC
1986-06-08,0,CLIC
1986-06-09,0,CLIC
1986-06-10,0,CLIC
1986-06-11,0,CLIC
1986-06-12,0,CLIC
1986-06-13,0,CLIC
1986-06-14,0,CLIC
1986-06-15,0,CLIC
1986-06-16,0,CLIC
1986-06-17,0,CLIC
1986-06-18,0,CLIC
1986-06-19,0,CLIC
1986-06-20,0,CLIC
1986-06-21,1,CLIC
1986-06-22,0,CLIC
1986-06-23,5.5,CLIC
1986-06-24,1,CLIC
1986-06-25,0,CLIC
1986-06-26,0,CLIC
1986-06-27,0,CLIC
1986-06-28,0,CLIC
1986-06-29,0,CLIC
1986-06-30,0,CLIC
1986-07-01,0,CLIC
1986-07-02,0,CLIC
1986-07-03,0,CLIC
1986-07-04,0,CLIC
1986-07-05,0,CLIC
1986-07-06,0,CLIC
1986-07-07,0,CLIC
1986-07-08,0,CLIC
1986-07-09,0,CLIC
1986-07-10,0,CLIC
1986-07-11,0,CLIC
1986-07-12,0,CLIC
1986-07-13,10,CLIC
1986-07-14,0,CLIC
1986-07-15,0,CLIC
1986-07-16,0,CLIC
1986-07-17,0,CLIC
1986-07-18,0,CLIC
1986-07-19,0,CLIC
1986-07-20,0,CLIC
1986-07-21,0,CLIC
1986-07-22,0,CLIC
1986-07-23,0,CLIC
1986-07-24,0,CLIC
1986-07-25,0,CLIC
1986-07-26,0,CLIC
1986-07-27,0,CLIC
1986-07-28,0,CLIC
1986-07-29,0,CLIC
1986-07-30,0,CLIC
1986-07-31,0,CLIC
1986-12-01,0,CLIC
1986-12-02,0,CLIC
1986-12-03,0,CLIC
1986-12-04,0,CLIC
1986-12-05,0,CLIC
1986-12-06,0,CLIC
1986-12-07,0,CLIC
1986-12-08,0,CLIC
1986-12-09,0,CLIC
1986-12-10,0,CLIC
1986-12-11,1.5,CLIC
1986-12-12,0,CLIC
1986-12-13,0,CLIC
1986-12-14,0,CLIC
1986-12-15,0,CLIC
1986-12-16,0,CLIC
1986-12-17,0,CLIC
1986-12-18,0,CLIC
1986-12-19,0,CLIC
1986-12-20,1.5,CLIC
1986-12-21,2,CLIC
1986-12-22,0,CLIC
1986-12-23,0,CLIC
1986-12-24,0,CLIC
1986-12-25,0,CLIC
1986-12-26,0,CLIC
1986-12-27,0,CLIC
1986-12-28,0,CLIC
1986-12-29,0,CLIC
1986-12-30,0,CLIC
1986-12-31,0,CLIC
1988-01-01,0,CLIC
1988-01-02,0,CLIC
1988-01-03,0,CLIC
1988-01-04,0,CLIC
1988-01-05,0,CLIC
1988-01-06,0,CLIC
1988-01-07,0,CLIC
1988-01-08,0,CLIC
1988-01-09,0,CLIC
1988-01-10,0,CLIC
1988-01-11,0,CLIC
1988-01-12,0,CLIC
1988-01-13,0,CLIC
1988-01-14,0,CLIC
1988-01-15,0,CLIC
1988-01-16,0,CLIC
1988-01-17,0,CLIC
1988-01-18,0,CLIC
1988-01-19,0,CLIC
1988-01-20,0,CLIC
1988-01-21,0,CLIC
1988-01-22,0,CLIC
1988-01-23,0,CLIC
1988-01-24,1,CLIC
1988-01-25,0,CLIC
1988-01-26,0,CLIC
1988-01-27,0,CLIC
1988-01-28,0,CLIC
1988-01-29,0,CLIC
1988-01-30,0,CLIC
1988-01-31,0,CLIC
1988-02-01,0,CLIC
1988-02-02,0,CLIC
1988-02-03,0,CLIC
1988-02-04,0,CLIC
1988-02-05,1.5,CLIC
1988-02-06,4.5,CLIC
1988-02-07,0,CLIC
1988-02-08,0,CLIC
1988-02-09,0,CLIC
1988-02-10,0,CLIC
1988-02-11,0,CLIC
1988-02-12,0,CLIC
1988-02-13,0,CLIC
1988-02-14,0,CLIC
1988-02-15,0,CLIC
1988-02-16,0,CLIC
1988-02-17,0,CLIC
1988-02-18,0,CLIC
1988-02-19,0,CLIC
1988-02-20,0,CLIC
1988-02-21,0,CLIC
1988-02-22,0,CLIC
1988-02-23,0,CLIC
1988-02-24,0,CLIC
1988-02-25,0,CLIC
1988-02-26,0,CLIC
1988-02-27,0,CLIC
1988-02-28,0,CLIC
1988-03-01,0,CLIC
1988-03-02,2,CLIC
1988-03-03,0,CLIC
1988-03-04,0,CLIC
1988-03-05,0,CLIC
1988-03-06,0,CLIC
1988-03-07,0,CLIC
1988-03-08,0,CLIC
1988-03-09,0,CLIC
1988-03-10,0,CLIC
1988-03-11,0,CLIC
1988-03-12,0,CLIC
1988-03-13,0,CLIC
1988-03-14,0,CLIC
1988-03-15,0,CLIC
1988-03-16,0,CLIC
