Estación: ,C19094,E.T.A. 43. LINARES
1975-11-20,0,CLIC
1975-11-21,2.5,CLIC
1975-11-22,0,CLIC
1975-11-23,0,CLIC
1975-11-24,0,CLIC
1975-11-25,0,CLIC
1975-11-26,0,CLIC
1975-11-27,0,CLIC
1975-11-28,0,CLIC
1975-11-29,0,CLIC
1975-11-30,0,CLIC
1977-12-01,0,CLIC
1977-12-02,0,CLIC
1977-12-03,0,CLIC
1977-12-04,0,CLIC
1977-12-05,0,CLIC
1977-12-06,1.5,CLIC
1977-12-07,0,CLIC
1977-12-08,0,CLIC
1977-12-09,7,CLIC
1977-12-10,3.5,CLIC
1977-12-11,2.5,CLIC
1977-12-12,1.5,CLIC
1977-12-13,0,CLIC
1977-12-14,0,CLIC
1977-12-15,0,CLIC
1977-12-16,0,CLIC
1977-12-17,0,CLIC
1977-12-18,0,CLIC
1977-12-19,0,CLIC
1977-12-20,0,CLIC
1977-12-21,0,CLIC
1977-12-22,0,CLIC
1977-12-23,0,CLIC
1977-12-24,0,CLIC
1977-12-25,0,CLIC
1977-12-26,0,CLIC
1977-12-27,0,CLIC
1977-12-28,0.5,CLIC
1977-12-29,0,CLIC
1977-12-30,0,CLIC
1977-12-31,0,CLIC
