Estación: ,C19162,VISTA HERMOSA. LINARES
1982-10-11,5.5,CLIC
1982-10-12,4.2,CLIC
1982-10-13,4.3,CLIC
1982-10-14,3.7,CLIC
1982-10-15,3.9,CLIC
1982-10-16,4,CLIC
1982-10-17,3.5,CLIC
1982-10-18,4,CLIC
1982-10-19,6,CLIC
1982-10-20,4.5,CLIC
1982-10-21,5,CLIC
1982-10-22,5.9,CLIC
1982-10-23,4.6,CLIC
1982-10-24,5.8,CLIC
1982-10-25,5.9,CLIC
1982-10-26,6.9,CLIC
1982-10-27,5.4,CLIC
1982-10-28,4.6,CLIC
1982-10-29,6.8,CLIC
1982-10-30,5.5,CLIC
1982-10-31,6.5,CLIC
1983-02-01,5,CLIC
1983-02-02,3,CLIC
1983-02-03,1,CLIC
1983-02-04,7,CLIC
1983-02-05,2,CLIC
1983-02-06,2,CLIC
1983-02-07,4,CLIC
1983-02-08,2,CLIC
1983-02-09,4,CLIC
1983-02-10,5,CLIC
1983-02-11,3,CLIC
1983-02-12,1.3,CLIC
1983-02-13,2.7,CLIC
1983-02-14,1,CLIC
1983-02-15,2,CLIC
1983-02-16,6,CLIC
1983-02-17,4,CLIC
1983-02-18,2.1,CLIC
1983-02-19,0.5,CLIC
1983-02-20,2,CLIC
1983-02-21,8,CLIC
1983-02-22,3.1,CLIC
1983-02-23,3.9,CLIC
1983-02-24,3,CLIC
1983-02-25,4.1,CLIC
1983-02-26,0.9,CLIC
1983-02-27,3,CLIC
1983-02-28,8.4,CLIC
1983-03-01,5.1,CLIC
1983-03-02,2,CLIC
1983-03-03,10.9,CLIC
1983-03-04,6,CLIC
1983-03-05,13,CLIC
1983-03-06,5,CLIC
1983-03-07,5.5,CLIC
1983-03-08,4.9,CLIC
1983-03-09,4.3,CLIC
1983-03-10,2.8,CLIC
1983-03-11,3.9,CLIC
1983-03-13,1.6,CLIC
1983-03-14,3.9,CLIC
1983-03-15,4.9,CLIC
1983-03-16,4.2,CLIC
1983-03-17,5.9,CLIC
1983-03-18,4.1,CLIC
1983-03-19,5.9,CLIC
1983-03-20,6.5,CLIC
1983-03-21,1.1,CLIC
1983-03-22,1.1,CLIC
1983-03-23,3.8,CLIC
1983-03-24,6.2,CLIC
1983-03-25,9.9,CLIC
1983-03-26,6.4,CLIC
1983-03-27,5.7,CLIC
1983-03-28,5,CLIC
1983-03-29,5,CLIC
1983-03-30,4.4,CLIC
1983-03-31,6.2,CLIC
1983-04-01,7.7,CLIC
1983-04-02,8,CLIC
1983-04-03,8,CLIC
1983-04-04,9.1,CLIC
1983-04-05,8,CLIC
1983-04-06,4,CLIC
1983-04-07,8.1,CLIC
1983-04-08,8.3,CLIC
1983-04-09,4.4,CLIC
1983-04-10,8.3,CLIC
1983-04-11,8.7,CLIC
1983-04-12,9,CLIC
1983-04-13,4,CLIC
1983-04-14,5.8,CLIC
1983-04-15,9.3,CLIC
1983-04-16,6,CLIC
1983-04-17,7,CLIC
1983-04-18,7.5,CLIC
1983-04-19,7.3,CLIC
1983-04-20,4.4,CLIC
1983-04-21,6.2,CLIC
1983-04-22,7,CLIC
1983-04-23,7.9,CLIC
1983-04-24,8,CLIC
1983-04-25,7.2,CLIC
1983-04-26,4.9,CLIC
1983-04-27,4,CLIC
1983-04-28,8,CLIC
1983-04-29,7,CLIC
1983-04-30,6.8,CLIC
1983-05-01,8.4,CLIC
1983-05-02,11,CLIC
1983-05-03,11,CLIC
1983-05-04,10,CLIC
1983-05-05,10.3,CLIC
1983-05-06,7.7,CLIC
1983-05-07,7,CLIC
1983-05-08,6.3,CLIC
1983-05-09,2.1,CLIC
1983-05-10,3,CLIC
1983-05-11,4.1,CLIC
1983-05-12,7.9,CLIC
1983-05-13,5,CLIC
1983-05-14,8.1,CLIC
1983-05-15,4.4,CLIC
1983-05-16,4,CLIC
1983-05-17,8.1,CLIC
1983-05-18,3.9,CLIC
1983-05-19,5,CLIC
1983-05-20,8.1,CLIC
1983-05-21,7.9,CLIC
1983-05-22,4,CLIC
1983-05-23,2.3,CLIC
1983-05-24,3.3,CLIC
1983-05-25,8.1,CLIC
1983-05-29,0.5,CLIC
1983-05-30,4.9,CLIC
1983-05-31,6.1,CLIC
1983-06-01,4,CLIC
1983-06-02,7,CLIC
1983-06-03,4.9,CLIC
1983-06-04,4,CLIC
1983-06-05,2,CLIC
1983-06-06,5,CLIC
1983-06-07,3,CLIC
1983-06-08,7,CLIC
1983-06-09,6,CLIC
1983-06-10,7.1,CLIC
1983-06-11,3,CLIC
1983-06-12,2,CLIC
1983-06-13,1.9,CLIC
1983-06-14,5.4,CLIC
1983-06-15,7,CLIC
1983-06-16,5,CLIC
1983-06-17,3,CLIC
1983-06-18,8,CLIC
1983-06-19,5,CLIC
1983-06-20,7,CLIC
1983-06-21,6,CLIC
1983-06-22,7,CLIC
1983-06-23,6.5,CLIC
1983-06-24,2.1,CLIC
1983-06-25,2,CLIC
1983-06-26,6,CLIC
1983-06-27,8.4,CLIC
1983-06-28,10,CLIC
1983-06-29,8,CLIC
1983-06-30,3,CLIC
1983-07-01,6.1,CLIC
1983-07-02,6,CLIC
1983-07-03,5.9,CLIC
1983-07-04,2.4,CLIC
1983-07-05,1.5,CLIC
1983-07-06,7,CLIC
1983-07-07,8,CLIC
1983-07-08,8,CLIC
1983-07-09,5,CLIC
1983-07-10,2.5,CLIC
1983-07-13,2.3,CLIC
1983-07-14,2.9,CLIC
1983-07-15,2.1,CLIC
1983-07-16,7,CLIC
1983-07-17,4,CLIC
1983-07-18,3,CLIC
1983-07-19,1,CLIC
1983-07-20,3,CLIC
1983-07-21,5,CLIC
1983-07-22,7,CLIC
1983-07-23,7,CLIC
1983-07-24,9,CLIC
1983-07-25,10,CLIC
1983-07-26,7,CLIC
1983-07-27,9,CLIC
1983-07-28,10,CLIC
1983-07-29,5,CLIC
1983-07-30,4.4,CLIC
1983-07-31,6.6,CLIC
1983-08-01,3,CLIC
1983-08-02,6,CLIC
1983-08-03,6,CLIC
1983-08-06,2.3,CLIC
1983-08-07,6,CLIC
1983-08-08,6,CLIC
1983-08-09,7,CLIC
1983-08-10,8,CLIC
1983-08-11,8,CLIC
1983-08-12,6,CLIC
1983-08-13,4,CLIC
1983-08-14,6.5,CLIC
1983-08-15,5.1,CLIC
1983-08-16,6.9,CLIC
1983-08-17,4,CLIC
1983-08-18,4,CLIC
1983-08-19,7,CLIC
1983-08-20,4.4,CLIC
1983-08-21,9,CLIC
1983-08-22,8,CLIC
1983-08-23,6,CLIC
1983-08-24,12,CLIC
1983-08-25,9,CLIC
1983-08-26,6,CLIC
1983-08-27,7,CLIC
1983-08-28,5,CLIC
1983-08-29,4,CLIC
1983-08-30,7,CLIC
1983-08-31,7.5,CLIC
1984-07-01,7,CLIC
1984-07-02,8.9,CLIC
1984-07-03,8,CLIC
1984-07-04,10,CLIC
1984-07-05,7,CLIC
1984-07-06,9.1,CLIC
1984-07-07,5,CLIC
1984-07-08,2,CLIC
1984-07-09,4,CLIC
1984-07-10,8,CLIC
1984-07-11,3.8,CLIC
1984-07-12,3.8,CLIC
1984-07-13,4.6,CLIC
1984-07-14,4.4,CLIC
1984-07-15,5,CLIC
1984-07-16,4.6,CLIC
1984-07-17,5.4,CLIC
1984-07-18,4.8,CLIC
1984-07-19,5.2,CLIC
1984-07-20,4.7,CLIC
1984-07-21,5.2,CLIC
1984-07-22,4.5,CLIC
1984-07-23,5.6,CLIC
1984-07-24,3.2,CLIC
1984-07-25,4,CLIC
1984-07-26,7,CLIC
1984-07-27,9,CLIC
1984-07-28,6.1,CLIC
1984-07-29,3,CLIC
1984-07-30,4,CLIC
1985-01-01,3.5,CLIC
1985-01-02,4.5,CLIC
1985-01-03,1,CLIC
1985-01-04,3,CLIC
1985-01-05,2,CLIC
1985-01-06,3.4,CLIC
1985-01-07,2,CLIC
1985-01-08,4,CLIC
1985-01-09,1,CLIC
1985-01-10,1,CLIC
1985-01-11,2,CLIC
1985-01-12,0.6,CLIC
1985-01-13,0.9,CLIC
1985-01-14,0.8,CLIC
1985-01-15,6.1,CLIC
1985-01-16,0.3,CLIC
1985-01-17,1.6,CLIC
1985-01-18,1.8,CLIC
1985-01-19,2,CLIC
1985-01-20,2,CLIC
1985-01-21,2,CLIC
1985-01-22,4,CLIC
1985-01-23,1,CLIC
1985-01-24,2,CLIC
1985-01-25,3,CLIC
1985-01-26,1,CLIC
1985-01-27,2,CLIC
1985-01-28,2,CLIC
1985-01-29,3,CLIC
1985-01-30,5,CLIC
1985-01-31,7.5,CLIC
1985-02-01,0.9,CLIC
1985-02-02,1.6,CLIC
1985-02-03,4.4,CLIC
1985-02-04,6.1,CLIC
1985-02-05,3.3,CLIC
1985-02-06,3.9,CLIC
1985-02-07,5.9,CLIC
1985-02-08,4.4,CLIC
1985-02-09,6.3,CLIC
1985-02-10,2.9,CLIC
1985-02-11,3.1,CLIC
1985-02-12,3.1,CLIC
1985-02-13,5.6,CLIC
1985-02-14,4.9,CLIC
1985-02-15,5,CLIC
1985-02-16,4.9,CLIC
1985-02-17,5.9,CLIC
1985-02-18,4.2,CLIC
1985-02-19,5.5,CLIC
1985-02-20,5.9,CLIC
1985-02-21,7.4,CLIC
1985-02-22,7.2,CLIC
1985-02-23,7.9,CLIC
1985-02-24,0.3,CLIC
1985-02-25,2.9,CLIC
1985-02-26,0.3,CLIC
1985-02-27,0.3,CLIC
1985-02-28,4.9,CLIC
1985-03-01,3,CLIC
1985-03-02,2.4,CLIC
1985-03-03,7.2,CLIC
1985-03-04,6.8,CLIC
1985-03-05,4,CLIC
1985-03-06,4,CLIC
1985-03-07,6,CLIC
1985-03-08,8,CLIC
1985-03-09,7,CLIC
1985-03-10,7,CLIC
1985-03-11,5,CLIC
1985-03-12,11,CLIC
1985-03-13,9,CLIC
1985-03-14,5,CLIC
1985-03-15,2.3,CLIC
1985-03-16,2,CLIC
1985-03-17,4,CLIC
1985-03-18,2,CLIC
1985-03-19,4,CLIC
1985-03-20,6,CLIC
1985-03-21,8,CLIC
1985-03-22,7,CLIC
1985-03-23,6,CLIC
1985-03-24,6.1,CLIC
1985-03-25,7.9,CLIC
1985-03-26,5.4,CLIC
1985-03-27,4,CLIC
1985-03-28,3,CLIC
1985-03-29,8,CLIC
1985-03-30,4,CLIC
1985-03-31,5.6,CLIC
1985-04-01,5,CLIC
1985-04-02,7,CLIC
1985-04-03,9.4,CLIC
1985-04-04,9,CLIC
1985-04-05,4,CLIC
1985-04-06,4.4,CLIC
1985-04-07,5.6,CLIC
1985-04-08,4.5,CLIC
1985-04-09,4,CLIC
1985-04-10,4.8,CLIC
1985-04-11,5.2,CLIC
1985-04-12,5.1,CLIC
1985-04-13,5,CLIC
1985-04-14,4.3,CLIC
1985-04-15,3,CLIC
1985-04-16,6,CLIC
1985-04-17,5,CLIC
1985-04-18,3,CLIC
1985-04-19,4,CLIC
1985-04-20,2,CLIC
1985-04-21,4,CLIC
1985-04-22,4,CLIC
1985-04-23,3,CLIC
1985-04-24,3,CLIC
1985-04-25,8,CLIC
1985-04-26,3,CLIC
1985-04-27,2,CLIC
1985-04-28,2,CLIC
1985-04-29,4,CLIC
1985-04-30,4.9,CLIC
1985-05-01,4.1,CLIC
1985-05-02,6.2,CLIC
1985-05-03,3.4,CLIC
1985-05-04,5.3,CLIC
1985-05-05,4.8,CLIC
1985-05-06,4,CLIC
1985-05-07,4.8,CLIC
1985-05-08,4,CLIC
1985-05-09,3.5,CLIC
1985-05-10,3.8,CLIC
1985-05-11,4.1,CLIC
1985-05-12,5.2,CLIC
1985-05-13,4.8,CLIC
1985-05-14,4.3,CLIC
1985-05-15,4.8,CLIC
1985-05-16,5,CLIC
1985-05-17,4.9,CLIC
1985-05-18,5,CLIC
1985-05-19,5.1,CLIC
1985-05-20,4.8,CLIC
1985-05-21,5.2,CLIC
1985-05-22,5.7,CLIC
1985-05-23,4.2,CLIC
1985-05-24,4.3,CLIC
1985-05-25,3.8,CLIC
1985-05-26,4.2,CLIC
1985-05-27,4,CLIC
1985-05-28,3.9,CLIC
1985-05-29,6.4,CLIC
1985-05-30,5.4,CLIC
1985-05-31,5,CLIC
1985-06-01,9,CLIC
1985-06-02,3.2,CLIC
1985-06-03,8,CLIC
1985-06-04,6.7,CLIC
1985-06-05,6.8,CLIC
1985-06-06,7.1,CLIC
1985-06-07,7.3,CLIC
1985-06-08,8.3,CLIC
1985-06-09,7.2,CLIC
1985-06-10,7.3,CLIC
1985-06-11,7.5,CLIC
1985-06-12,5.4,CLIC
1985-06-13,5.3,CLIC
1985-06-14,5.6,CLIC
1985-06-15,6,CLIC
1985-06-16,6.2,CLIC
1985-06-17,5.1,CLIC
1985-06-18,4.4,CLIC
1985-06-19,3.9,CLIC
1985-06-20,3.1,CLIC
1985-06-21,4.5,CLIC
1985-06-22,5.7,CLIC
1985-06-23,6.3,CLIC
1985-06-24,6.4,CLIC
1985-06-25,6.6,CLIC
1985-06-26,5.2,CLIC
1985-06-27,3.6,CLIC
1985-06-28,3.4,CLIC
1985-06-29,3.7,CLIC
1985-06-30,4,CLIC
1985-07-01,7,CLIC
1985-07-02,8.5,CLIC
1985-07-03,3,CLIC
1985-07-04,1,CLIC
1985-07-05,5,CLIC
1985-07-06,8,CLIC
1985-07-07,5,CLIC
1985-07-08,6,CLIC
1985-07-09,7,CLIC
1985-07-10,5,CLIC
1985-07-11,5,CLIC
1985-07-12,5,CLIC
1985-07-13,5.3,CLIC
1985-07-14,10,CLIC
1985-07-15,7,CLIC
1985-07-16,7.1,CLIC
1985-07-17,8,CLIC
1985-07-18,8.4,CLIC
1985-07-19,9.8,CLIC
1985-07-20,9.5,CLIC
1985-07-21,9,CLIC
1985-07-22,8.3,CLIC
1985-07-23,8.5,CLIC
1985-07-24,9.9,CLIC
1985-07-25,9.7,CLIC
1985-07-26,11,CLIC
1985-07-27,4.9,CLIC
1985-07-28,7.2,CLIC
1985-07-29,8.6,CLIC
1985-07-30,8.4,CLIC
1985-07-31,6.3,CLIC
1985-08-01,10,CLIC
1985-08-02,11,CLIC
1985-08-03,10,CLIC
1985-08-04,5.9,CLIC
1985-08-05,6,CLIC
1985-08-06,7,CLIC
1985-08-07,8,CLIC
1985-08-08,11.4,CLIC
1985-08-09,11.1,CLIC
1985-08-10,11.5,CLIC
1985-08-11,7.9,CLIC
1985-08-12,10,CLIC
1985-08-13,9,CLIC
1985-08-14,9.2,CLIC
1985-08-15,8.7,CLIC
1985-08-16,9.4,CLIC
1985-08-17,8.1,CLIC
1985-08-18,12,CLIC
1985-08-19,11.1,CLIC
1985-08-20,9.3,CLIC
1985-08-21,10.2,CLIC
1985-08-22,10,CLIC
1985-08-23,9,CLIC
1985-08-24,7,CLIC
1985-08-25,6.1,CLIC
1985-08-26,8.8,CLIC
1985-08-27,8.3,CLIC
1985-08-28,8.4,CLIC
1985-08-29,6.2,CLIC
1985-08-30,5.2,CLIC
1985-08-31,6,CLIC
1985-09-01,5,CLIC
1985-09-02,8,CLIC
1985-09-03,10,CLIC
1985-09-04,7,CLIC
1985-09-05,7,CLIC
1985-09-06,9,CLIC
1985-09-07,10,CLIC
1985-09-08,6.4,CLIC
1985-09-09,9,CLIC
1985-09-10,8,CLIC
1985-09-11,8,CLIC
1985-09-12,8,CLIC
1985-09-13,5,CLIC
1985-09-14,5,CLIC
1985-09-15,5,CLIC
1985-09-16,8,CLIC
1985-09-17,1.4,CLIC
1985-09-18,6,CLIC
1985-09-19,2,CLIC
1985-09-20,7,CLIC
1985-09-21,5,CLIC
1985-09-22,7,CLIC
1985-09-23,7.3,CLIC
1985-09-24,7,CLIC
1985-09-25,8,CLIC
1985-09-26,5,CLIC
1985-09-27,4,CLIC
1985-09-28,7,CLIC
1985-09-29,1.3,CLIC
1985-10-01,2,CLIC
1985-10-02,6,CLIC
1985-10-03,3,CLIC
1985-10-04,4.2,CLIC
1985-10-05,3,CLIC
1985-10-06,4,CLIC
1985-10-07,5,CLIC
1985-10-08,7,CLIC
1985-10-09,4,CLIC
1985-10-10,5,CLIC
1985-10-11,4,CLIC
1985-10-12,5,CLIC
1985-10-13,5,CLIC
1985-10-14,5,CLIC
1985-10-15,4.9,CLIC
1985-10-16,3.3,CLIC
1985-10-17,5,CLIC
1985-10-18,5,CLIC
1985-10-19,3,CLIC
1985-10-20,5.3,CLIC
1985-10-21,4,CLIC
1985-10-22,4,CLIC
1985-10-23,4,CLIC
1985-10-24,4.5,CLIC
1985-10-25,4.8,CLIC
1985-10-26,5,CLIC
1985-10-27,5,CLIC
1985-10-28,5,CLIC
1985-10-29,4,CLIC
1985-10-30,6,CLIC
1985-10-31,5.1,CLIC
1985-11-01,1,CLIC
1985-11-02,2,CLIC
1985-11-03,3,CLIC
1985-11-04,2,CLIC
1985-11-05,2,CLIC
1985-11-06,2,CLIC
1985-11-07,4,CLIC
1985-11-08,7,CLIC
1985-11-09,1,CLIC
1985-11-10,7,CLIC
1985-11-11,2,CLIC
1985-11-12,9,CLIC
1985-11-13,4,CLIC
1985-11-14,6,CLIC
1985-11-15,6.1,CLIC
1985-11-16,2.2,CLIC
1985-11-17,2,CLIC
1985-11-18,2,CLIC
1985-11-19,2.3,CLIC
1985-11-20,2.1,CLIC
1985-11-21,2,CLIC
1985-11-22,2,CLIC
1985-11-23,2,CLIC
1985-11-24,2,CLIC
1985-11-25,2,CLIC
1985-11-26,2,CLIC
1985-11-27,1,CLIC
1985-11-28,2,CLIC
1985-11-29,2,CLIC
1985-11-30,1,CLIC
1985-12-01,2,CLIC
1985-12-02,2,CLIC
1985-12-03,2,CLIC
1985-12-04,2,CLIC
1985-12-05,2,CLIC
1985-12-06,2,CLIC
1985-12-07,2,CLIC
1985-12-08,2,CLIC
1985-12-09,2,CLIC
1985-12-10,2,CLIC
1985-12-11,1,CLIC
1985-12-12,2,CLIC
1985-12-13,1,CLIC
1985-12-14,2,CLIC
1985-12-15,2,CLIC
1985-12-16,2,CLIC
1985-12-17,2,CLIC
1985-12-18,4,CLIC
1985-12-19,2,CLIC
1985-12-20,2,CLIC
1985-12-21,0.2,CLIC
1985-12-22,1,CLIC
1985-12-23,2,CLIC
1985-12-24,2,CLIC
1985-12-25,2,CLIC
1985-12-26,3,CLIC
1985-12-27,2.1,CLIC
1985-12-28,2.1,CLIC
1985-12-29,3,CLIC
1985-12-30,2,CLIC
1985-12-31,2,CLIC
1986-01-01,2,CLIC
1986-01-02,2,CLIC
1986-01-03,2,CLIC
1986-01-04,1,CLIC
1986-01-05,2,CLIC
1986-01-06,2,CLIC
1986-01-07,2,CLIC
1986-01-08,2.1,CLIC
1986-01-09,2.2,CLIC
1986-01-10,2.3,CLIC
1986-01-11,3.1,CLIC
1986-01-12,2.1,CLIC
1986-01-13,1.3,CLIC
1986-01-14,1,CLIC
1986-01-15,2,CLIC
1986-01-16,2.9,CLIC
1986-01-17,1.9,CLIC
1986-01-18,3,CLIC
1986-01-19,3,CLIC
1986-01-20,2,CLIC
1986-01-21,2.5,CLIC
1986-01-22,2,CLIC
1986-01-23,1.3,CLIC
1986-01-24,2,CLIC
1986-01-25,2.5,CLIC
1986-01-26,1,CLIC
1986-01-27,2.8,CLIC
1986-01-28,2,CLIC
1986-01-29,3.2,CLIC
1986-01-30,2.1,CLIC
1986-01-31,3.2,CLIC
1986-02-01,6,CLIC
1986-02-02,5,CLIC
1986-02-03,9,CLIC
1986-02-04,9,CLIC
1986-02-05,5,CLIC
1986-02-06,8,CLIC
1986-02-07,7,CLIC
1986-02-08,6,CLIC
1986-02-09,1,CLIC
1986-02-10,9.1,CLIC
1986-02-11,9.1,CLIC
1986-02-12,0.9,CLIC
1986-02-13,0.9,CLIC
1986-02-14,8,CLIC
1986-02-15,5,CLIC
1986-02-16,4,CLIC
1986-02-17,4.6,CLIC
1986-02-18,5,CLIC
1986-02-19,8,CLIC
1986-02-20,7,CLIC
1986-02-21,8,CLIC
1986-02-22,5.9,CLIC
1986-02-23,1,CLIC
1986-02-24,6,CLIC
1986-02-25,5,CLIC
1986-02-26,5.9,CLIC
1986-02-27,9,CLIC
1986-02-28,3,CLIC
1986-03-01,6,CLIC
1986-03-02,6,CLIC
1986-03-03,4.6,CLIC
1986-03-04,4.7,CLIC
1986-03-05,3,CLIC
1986-03-06,4,CLIC
1986-03-07,4,CLIC
1986-03-09,1,CLIC
1986-03-10,4,CLIC
1986-03-11,9,CLIC
1986-03-12,4,CLIC
1986-03-13,11,CLIC
1986-03-14,3.1,CLIC
1986-03-15,6,CLIC
1986-03-16,5,CLIC
1986-03-17,5.9,CLIC
1986-03-18,3,CLIC
1986-03-19,5,CLIC
1986-03-20,5,CLIC
1986-03-21,6,CLIC
1986-03-22,8,CLIC
1986-03-23,7,CLIC
1986-03-24,9,CLIC
1986-03-25,7,CLIC
1986-03-26,6,CLIC
1986-03-27,6,CLIC
1986-03-28,5,CLIC
1986-03-29,5,CLIC
1986-03-30,6,CLIC
1986-03-31,5.6,CLIC
1986-04-01,6,CLIC
1986-04-02,5.6,CLIC
1986-04-03,9,CLIC
1986-04-04,5.7,CLIC
1986-04-05,4,CLIC
1986-04-06,4,CLIC
1986-04-07,5,CLIC
1986-04-08,8,CLIC
1986-04-09,6,CLIC
1986-04-10,5,CLIC
1986-04-11,5,CLIC
1986-04-12,7,CLIC
1986-04-13,4.7,CLIC
1986-04-14,2,CLIC
1986-04-15,4.5,CLIC
1986-04-16,1,CLIC
1986-04-17,7,CLIC
1986-04-18,4,CLIC
1986-04-19,7,CLIC
1986-04-20,7,CLIC
1986-04-21,9,CLIC
1986-04-22,9,CLIC
1986-04-23,7,CLIC
1986-04-24,5,CLIC
1986-04-25,5,CLIC
1986-04-26,5,CLIC
1986-04-27,5,CLIC
1986-04-28,1,CLIC
1986-04-29,4.2,CLIC
1986-04-30,4,CLIC
1986-05-01,4,CLIC
1986-05-02,4,CLIC
1986-05-03,2,CLIC
1986-05-04,8,CLIC
1986-05-05,6,CLIC
1986-05-06,4,CLIC
1986-05-07,6,CLIC
1986-05-08,6,CLIC
1986-05-09,3,CLIC
1986-05-10,4,CLIC
1986-05-11,1,CLIC
1986-05-12,8,CLIC
1986-05-13,4,CLIC
1986-05-14,7,CLIC
1986-05-15,2,CLIC
1986-05-16,3,CLIC
1986-05-17,2,CLIC
1986-05-18,6.9,CLIC
1986-05-19,1.9,CLIC
1986-05-20,6.1,CLIC
1986-05-21,7,CLIC
1986-05-22,3,CLIC
1986-05-23,6,CLIC
1986-05-24,7,CLIC
1986-05-25,4,CLIC
1986-05-26,2,CLIC
1986-05-27,6,CLIC
1986-05-28,5,CLIC
1986-05-29,1,CLIC
1986-05-30,0.3,CLIC
1986-05-31,7.7,CLIC
1986-06-01,7.7,CLIC
1986-06-02,6,CLIC
1986-06-03,1,CLIC
1986-06-04,2,CLIC
1986-06-05,4,CLIC
1986-06-06,5.7,CLIC
1986-06-07,6,CLIC
1986-06-08,3.9,CLIC
1986-06-09,9,CLIC
1986-06-10,7,CLIC
1986-06-11,4.8,CLIC
1986-06-12,5.5,CLIC
1986-06-13,3,CLIC
1986-06-14,2,CLIC
1986-06-15,4.4,CLIC
1986-06-16,6,CLIC
1986-06-17,6.3,CLIC
1986-06-18,6.6,CLIC
1986-06-19,7,CLIC
1986-06-20,4,CLIC
1986-06-21,9.4,CLIC
1986-06-22,8,CLIC
1986-06-23,5,CLIC
1986-06-24,4.6,CLIC
1986-06-25,2.2,CLIC
1986-06-26,3.4,CLIC
1986-06-27,6.9,CLIC
1986-06-28,9,CLIC
1986-06-29,8.3,CLIC
1986-06-30,7,CLIC
1998-01-01,-0.99,CLIC
1998-01-02,7.01,CLIC
1998-01-03,2.06,CLIC
1998-01-04,0.96,CLIC
1998-01-05,1.97,CLIC
1998-01-06,2.04,CLIC
1998-01-07,1.27,CLIC
1998-01-08,0.59,CLIC
1998-01-09,1.4,CLIC
1998-01-10,2.6,CLIC
1998-01-11,1.9,CLIC
1998-01-12,3.75,CLIC
1998-01-13,2.8,CLIC
1998-01-14,0.8,CLIC
1998-01-15,0.82,CLIC
1998-01-16,3.97,CLIC
1998-01-17,3.01,CLIC
1998-01-18,1.93,CLIC
1998-01-19,2.14,CLIC
1998-01-20,2.96,CLIC
1998-01-21,3.44,CLIC
1998-01-22,3.63,CLIC
1998-01-23,3.13,CLIC
1998-01-24,2.97,CLIC
1998-01-25,3.13,CLIC
1998-01-26,7.1,CLIC
1998-01-27,3.6,CLIC
1998-01-28,3.06,CLIC
1998-01-29,2.31,CLIC
1998-01-30,2.03,CLIC
1998-01-31,2.57,CLIC
1998-02-01,2.07,CLIC
1998-02-02,4.46,CLIC
1998-02-03,4.47,CLIC
1998-02-04,5.06,CLIC
1998-02-05,4.45,CLIC
1998-02-06,2.88,CLIC
1998-02-07,2.19,CLIC
1998-02-08,1.67,CLIC
1998-02-09,3.89,CLIC
1998-02-10,5.01,CLIC
1998-02-11,5.04,CLIC
1998-02-12,5.3,CLIC
1998-02-13,3.86,CLIC
1998-02-14,4.07,CLIC
1998-02-15,6.07,CLIC
1998-02-16,3.96,CLIC
1998-02-17,2.9,CLIC
1998-02-18,3.89,CLIC
1998-02-19,4.9,CLIC
1998-02-20,6.11,CLIC
1998-02-21,5.13,CLIC
1998-02-22,5.39,CLIC
1998-02-23,6.16,CLIC
1998-02-24,5.91,CLIC
