Estación: ,C19264,DR. COSS
2009-10-29,5.23,CLIC
2009-10-30,2.22,CLIC
2009-10-31,3.03,CLIC
2009-11-01,2.04,CLIC
2009-11-02,2.29,CLIC
2009-11-03,2.19,CLIC
2009-11-04,2.83,CLIC
2009-11-05,3.47,CLIC
2009-11-06,3.02,CLIC
2009-11-07,3.2,CLIC
2009-11-08,3.58,CLIC
2009-11-09,2.08,CLIC
2009-11-10,2.81,CLIC
2009-11-11,2.27,CLIC
2009-11-12,3.23,CLIC
2009-11-13,3.1,CLIC
2009-11-14,3.87,CLIC
2009-11-15,2.47,CLIC
2009-11-16,2.41,CLIC
2009-11-17,2.03,CLIC
2009-11-18,2.89,CLIC
2009-11-19,2.57,CLIC
2009-11-20,2.55,CLIC
2009-11-21,1.84,CLIC
2009-11-22,3.28,CLIC
2009-11-23,1.64,CLIC
2009-11-24,2.16,CLIC
2009-11-25,2.74,CLIC
2009-11-26,1.72,CLIC
2009-11-27,2.62,CLIC
2009-11-28,2.65,CLIC
2009-11-29,3.21,CLIC
2009-11-30,3.09,CLIC
2009-12-01,2.18,CLIC
2009-12-02,0.06,CLIC
2009-12-03,0.57,CLIC
2009-12-04,0.59,CLIC
2009-12-05,1,CLIC
2009-12-06,0.86,CLIC
2009-12-07,2.59,CLIC
2009-12-08,1.02,CLIC
2009-12-09,3.04,CLIC
2009-12-10,1.74,CLIC
2009-12-11,0.75,CLIC
2009-12-12,1.6,CLIC
2009-12-13,0.9,CLIC
2009-12-14,0.8,CLIC
2009-12-15,3.5,CLIC
2009-12-16,4.72,CLIC
2009-12-17,1.13,CLIC
2009-12-18,0.75,CLIC
2009-12-19,0.4,CLIC
2009-12-20,1.3,CLIC
2009-12-21,1.34,CLIC
2009-12-22,1.11,CLIC
2009-12-23,1.45,CLIC
2009-12-24,3.26,CLIC
2009-12-25,1.64,CLIC
2009-12-26,1.15,CLIC
2009-12-27,1.05,CLIC
2009-12-28,1.42,CLIC
2009-12-29,0.54,CLIC
2009-12-30,0.99,CLIC
2009-12-31,2.5,CLIC
2010-01-01,1.75,CLIC
2010-01-02,0.72,CLIC
2010-01-03,1.06,CLIC
2010-01-04,1.07,CLIC
2010-01-05,0.7,CLIC
2010-01-06,1.03,CLIC
2010-01-07,1.3,CLIC
2010-01-08,2.32,CLIC
2010-01-09,1.17,CLIC
2010-01-10,0.52,CLIC
2010-01-11,0.4,CLIC
2010-01-12,5.71,CLIC
2010-01-13,1.87,CLIC
2010-01-14,3.33,CLIC
2010-01-15,1.65,CLIC
2010-01-16,2.9,CLIC
2010-01-17,0.55,CLIC
2010-01-18,3.44,CLIC
2010-01-19,2.96,CLIC
2010-01-20,1.27,CLIC
2010-01-21,2.63,CLIC
2010-01-22,2.8,CLIC
2010-01-23,3.7,CLIC
2010-01-24,3.1,CLIC
2010-01-25,2.6,CLIC
2010-01-26,2.75,CLIC
2010-01-27,1.26,CLIC
2010-01-28,2.8,CLIC
2010-01-29,3.31,CLIC
2010-01-30,1.55,CLIC
2010-01-31,1.33,CLIC
2010-02-01,0.35,CLIC
2010-02-02,5.63,CLIC
2010-02-03,0.13,CLIC
2010-02-04,0.17,CLIC
2010-02-05,2.75,CLIC
2010-02-06,3.67,CLIC
2010-02-07,1.9,CLIC
2010-02-08,3.25,CLIC
2010-02-09,5.71,CLIC
2010-02-10,0.29,CLIC
2010-02-11,0.1,CLIC
2010-02-12,0.95,CLIC
2010-02-13,2.4,CLIC
2010-02-14,3.4,CLIC
2010-02-15,2.3,CLIC
2010-02-16,1.83,CLIC
2010-02-17,3.07,CLIC
2010-02-18,2.7,CLIC
2010-02-19,1.3,CLIC
2010-02-20,0.35,CLIC
2010-02-21,0.71,CLIC
2010-02-22,4.34,CLIC
2010-02-23,0.45,CLIC
2010-02-24,3.55,CLIC
2010-02-25,4.1,CLIC
2010-02-26,3.46,CLIC
2010-02-27,2.24,CLIC
2010-02-28,4.08,CLIC
2010-03-01,8.22,CLIC
2010-03-02,3.47,CLIC
2010-03-03,4.19,CLIC
2010-03-04,4.79,CLIC
2010-03-05,0.52,CLIC
2010-03-06,1.51,CLIC
2010-03-07,0.59,CLIC
2010-03-08,2.73,CLIC
2010-03-09,2.83,CLIC
2010-03-10,5.22,CLIC
2010-03-11,5.58,CLIC
2010-03-12,5.08,CLIC
2010-03-13,5.99,CLIC
2010-03-14,2.4,CLIC
2010-03-15,4.6,CLIC
2010-03-16,1.82,CLIC
2010-03-17,3.53,CLIC
2010-03-18,6.6,CLIC
2010-03-19,4.75,CLIC
2010-03-20,6.27,CLIC
2010-03-21,5.03,CLIC
2010-03-22,5.25,CLIC
2010-03-23,2.93,CLIC
2010-03-24,5.57,CLIC
2010-03-25,6.07,CLIC
2010-03-26,4.88,CLIC
2010-03-27,6.55,CLIC
2010-03-28,4.25,CLIC
2010-03-29,4.55,CLIC
2010-03-30,6.65,CLIC
2010-03-31,4.48,CLIC
2010-04-01,5.69,CLIC
2010-04-02,2.4,CLIC
2010-04-03,6.43,CLIC
2010-04-04,6.2,CLIC
2010-04-05,4.65,CLIC
2010-04-06,7.53,CLIC
2010-04-07,5.43,CLIC
2010-04-08,5.09,CLIC
2010-04-09,2.2,CLIC
2010-04-10,4.51,CLIC
2010-04-11,4.29,CLIC
2010-04-12,7.48,CLIC
2010-04-13,4.17,CLIC
2010-04-14,1.85,CLIC
2010-04-15,2.17,CLIC
2010-04-16,3.13,CLIC
2010-04-17,5.78,CLIC
2010-04-18,0.87,CLIC
2010-04-19,5.25,CLIC
2010-04-20,0.55,CLIC
2010-04-21,5.75,CLIC
2010-04-22,0.5,CLIC
2010-04-23,6.85,CLIC
2010-04-24,6,CLIC
2010-04-25,6.8,CLIC
2010-04-26,6.85,CLIC
2010-04-27,2.85,CLIC
2010-04-28,4.28,CLIC
2010-04-29,6.02,CLIC
2010-05-01,10.21,CLIC
2010-05-02,6.29,CLIC
2010-05-03,5.95,CLIC
2010-05-04,7.3,CLIC
2010-05-05,7.35,CLIC
2010-05-06,6.11,CLIC
2010-05-07,4.34,CLIC
2010-05-08,5.6,CLIC
2010-05-09,5,CLIC
2010-05-10,7.05,CLIC
2010-05-11,7.2,CLIC
2010-05-12,8.21,CLIC
2010-05-13,5.89,CLIC
2010-05-14,5.3,CLIC
2010-05-15,3.8,CLIC
2010-05-16,3.74,CLIC
2010-05-17,7.01,CLIC
2010-05-18,4.83,CLIC
2010-05-19,5.64,CLIC
2010-05-20,7.68,CLIC
2010-05-21,4.84,CLIC
2010-05-22,6.31,CLIC
2010-05-23,5.35,CLIC
2010-05-24,5.35,CLIC
2010-05-25,4.54,CLIC
2010-05-26,6.46,CLIC
2010-05-27,4.7,CLIC
2010-05-28,6.67,CLIC
2010-05-29,8.32,CLIC
2010-05-30,7.95,CLIC
2010-05-31,4.86,CLIC
2010-11-01,5.97,CLIC
2010-11-02,5.31,CLIC
2010-11-03,7.38,CLIC
2010-11-04,3.84,CLIC
2010-11-05,6.95,CLIC
2010-11-06,4.08,CLIC
2010-11-07,1.72,CLIC
2010-11-08,2.65,CLIC
2010-11-09,2.9,CLIC
2010-11-10,3.64,CLIC
2010-11-11,4.24,CLIC
2010-11-12,4.16,CLIC
2010-11-13,1.9,CLIC
2010-11-14,1.43,CLIC
2010-11-15,3.09,CLIC
2010-11-16,3.86,CLIC
2010-11-17,4.15,CLIC
2010-11-18,2.65,CLIC
2010-11-19,2.84,CLIC
2010-11-20,2.02,CLIC
2010-11-21,2.84,CLIC
2010-11-22,1.71,CLIC
2010-11-23,3.69,CLIC
2010-11-24,2.21,CLIC
2010-11-25,4.74,CLIC
2010-11-26,2.96,CLIC
2010-11-27,2.24,CLIC
2010-11-28,2.81,CLIC
2010-11-29,4.12,CLIC
2010-11-30,5.14,CLIC
2010-12-01,0.63,CLIC
2010-12-02,1.3,CLIC
2010-12-03,1.95,CLIC
2010-12-04,2,CLIC
2010-12-05,4.7,CLIC
2010-12-06,0.45,CLIC
2010-12-07,1.8,CLIC
2010-12-08,3.1,CLIC
2010-12-09,1.77,CLIC
2010-12-10,1.98,CLIC
2010-12-11,2.85,CLIC
2010-12-12,3.39,CLIC
2010-12-13,2.61,CLIC
2010-12-14,0.98,CLIC
2010-12-15,1.42,CLIC
2010-12-16,4.42,CLIC
2010-12-17,2.12,CLIC
2010-12-18,1.03,CLIC
2010-12-19,1.41,CLIC
2010-12-20,2.12,CLIC
2010-12-21,0.45,CLIC
2010-12-22,1.11,CLIC
2010-12-23,1.79,CLIC
2010-12-24,3.35,CLIC
2010-12-25,2.94,CLIC
2010-12-26,1.06,CLIC
2010-12-27,1,CLIC
2010-12-28,1.87,CLIC
2010-12-29,1.83,CLIC
2010-12-30,2.25,CLIC
2010-12-31,2.52,CLIC
2011-01-01,0.66,CLIC
2011-01-02,3.55,CLIC
2011-01-03,0.27,CLIC
2011-01-04,0.95,CLIC
2011-01-05,4.12,CLIC
2011-01-06,2.57,CLIC
2011-01-07,3.21,CLIC
2011-01-08,1.66,CLIC
2011-01-09,3.16,CLIC
2011-01-10,0.66,CLIC
2011-01-11,5.07,CLIC
2011-01-12,1.35,CLIC
2011-01-13,1.6,CLIC
2011-01-14,0.9,CLIC
2011-01-15,0.5,CLIC
2011-01-16,0.55,CLIC
2011-01-17,0.45,CLIC
2011-01-18,3.39,CLIC
2011-01-19,3.45,CLIC
2011-01-20,1.96,CLIC
2011-01-21,1.23,CLIC
2011-01-22,4.47,CLIC
2011-01-23,3.3,CLIC
2011-01-24,1.4,CLIC
2011-01-25,3.67,CLIC
2011-01-26,2.1,CLIC
2011-01-27,3.7,CLIC
2011-01-28,2.06,CLIC
2011-01-29,1.34,CLIC
2011-01-30,5.23,CLIC
2011-01-31,2.3,CLIC
2011-02-01,5.94,CLIC
2011-02-02,0.26,CLIC
2011-02-03,0.55,CLIC
2011-02-04,3.25,CLIC
2011-02-05,4.14,CLIC
2011-02-06,4.46,CLIC
2011-02-07,3,CLIC
2011-02-08,3.28,CLIC
2011-02-09,1.42,CLIC
2011-02-10,2.38,CLIC
2011-02-11,3.56,CLIC
2011-02-12,2.66,CLIC
2011-02-13,3.64,CLIC
2011-02-14,3.38,CLIC
2011-02-15,3.9,CLIC
2011-02-16,3.96,CLIC
2011-02-17,4.19,CLIC
2011-02-18,6.09,CLIC
2011-02-19,3.24,CLIC
2011-02-20,4.7,CLIC
2011-02-21,3.4,CLIC
2011-02-22,1.39,CLIC
2011-02-23,2.3,CLIC
2011-02-24,10.16,CLIC
2011-02-25,1.65,CLIC
2011-02-26,7.82,CLIC
2011-02-27,5.53,CLIC
2011-02-28,9.75,CLIC
2011-03-01,4,CLIC
2011-03-02,5.75,CLIC
2011-03-03,4.93,CLIC
2011-03-04,4.46,CLIC
2011-03-05,7.66,CLIC
2011-03-06,2.75,CLIC
2011-03-07,3.71,CLIC
2011-03-08,6.24,CLIC
2011-03-09,6.51,CLIC
2011-03-10,6.58,CLIC
2011-03-11,4.41,CLIC
2011-03-12,6.3,CLIC
2011-03-13,2.93,CLIC
2011-03-14,3.86,CLIC
2011-03-15,4.95,CLIC
2011-03-16,3.75,CLIC
2011-03-17,4.35,CLIC
2011-03-18,6.1,CLIC
2011-03-19,8.07,CLIC
2011-03-20,2.98,CLIC
2011-03-21,6.5,CLIC
2011-03-22,8.03,CLIC
2011-03-23,5.35,CLIC
2011-03-24,7.02,CLIC
2011-03-25,5.71,CLIC
2011-03-26,6.19,CLIC
2011-03-27,8.72,CLIC
2011-03-28,2.37,CLIC
2011-03-29,3.16,CLIC
2011-03-30,1.6,CLIC
2011-03-31,6.06,CLIC
2011-04-01,4.46,CLIC
2011-04-02,6.85,CLIC
2011-04-03,4.49,CLIC
2011-04-04,12.74,CLIC
2011-04-05,5.08,CLIC
2011-04-06,5.5,CLIC
2011-04-07,4.75,CLIC
2011-04-08,7.05,CLIC
2011-04-09,8.3,CLIC
2011-04-10,6.2,CLIC
2011-04-11,12.29,CLIC
2011-04-12,7.51,CLIC
2011-04-13,4.46,CLIC
2011-04-14,6.24,CLIC
2011-04-15,8.63,CLIC
2011-04-16,6.09,CLIC
2011-04-17,4.85,CLIC
2011-04-18,8.14,CLIC
2011-04-19,6.55,CLIC
2011-04-20,5.07,CLIC
2011-04-21,9.67,CLIC
2011-04-22,6.37,CLIC
2011-04-23,6.68,CLIC
2011-04-24,6.82,CLIC
2011-04-25,8.02,CLIC
2011-04-26,5.34,CLIC
2011-04-27,13.54,CLIC
2011-04-28,7.78,CLIC
2011-04-29,7.64,CLIC
2011-04-30,7.51,CLIC
2011-05-01,10.57,CLIC
2011-05-02,4.35,CLIC
2011-05-03,6.13,CLIC
2011-05-04,5.67,CLIC
2011-05-05,5.8,CLIC
2011-05-06,7.23,CLIC
2011-05-07,8.22,CLIC
2011-05-08,7.2,CLIC
2011-05-09,9.3,CLIC
2011-05-10,10.15,CLIC
2011-05-11,6,CLIC
2011-05-12,3.6,CLIC
2011-05-13,8.35,CLIC
2011-05-14,1.49,CLIC
2011-05-15,1.01,CLIC
2011-05-16,2,CLIC
2011-05-17,3.86,CLIC
2011-05-18,6.41,CLIC
2011-05-19,8.11,CLIC
2011-05-20,9.77,CLIC
2011-05-21,6.91,CLIC
2011-05-22,8.84,CLIC
2011-05-23,9.3,CLIC
2011-05-24,8.82,CLIC
2011-05-25,6.73,CLIC
2011-05-26,9.7,CLIC
2011-05-27,11.3,CLIC
2011-05-28,13.41,CLIC
2011-05-29,8.36,CLIC
2011-05-30,11.03,CLIC
2011-05-31,10.54,CLIC
2011-06-01,7.79,CLIC
2011-06-02,9.65,CLIC
2011-06-03,8.05,CLIC
2011-06-04,6.5,CLIC
2011-06-05,9.07,CLIC
2011-06-06,8.14,CLIC
2011-06-07,6.16,CLIC
2011-06-08,5,CLIC
2011-06-09,4.68,CLIC
2011-06-10,4.89,CLIC
2011-06-11,8.5,CLIC
2011-06-12,12.58,CLIC
2011-06-13,8.88,CLIC
2011-06-14,7.69,CLIC
2011-06-15,12.08,CLIC
2011-06-16,7.52,CLIC
2011-06-17,11.56,CLIC
2011-06-18,9.46,CLIC
2011-06-19,13.69,CLIC
2011-06-20,8.52,CLIC
2011-06-21,4.9,CLIC
2011-06-22,4.25,CLIC
2011-06-23,1.45,CLIC
2011-06-24,8.75,CLIC
2011-06-25,10.09,CLIC
2011-06-26,8.86,CLIC
2011-06-27,7.55,CLIC
2011-06-28,8.54,CLIC
2011-06-29,4.39,CLIC
2011-06-30,3.67,CLIC
2011-07-01,4.63,CLIC
2011-07-03,5.35,CLIC
2011-07-04,7.84,CLIC
2011-07-05,7.64,CLIC
2011-07-06,6.27,CLIC
2011-07-07,8.24,CLIC
2011-07-08,9.11,CLIC
2011-07-09,7.65,CLIC
2011-07-10,9.36,CLIC
2011-07-11,4.67,CLIC
2011-07-12,10.45,CLIC
2011-07-13,9.92,CLIC
2011-07-14,6.72,CLIC
2011-07-15,8.83,CLIC
2011-07-16,7.75,CLIC
2011-07-17,9.4,CLIC
2011-07-18,7.1,CLIC
2011-07-19,9.3,CLIC
2011-07-20,8.25,CLIC
2011-07-21,8.82,CLIC
2011-07-22,5.68,CLIC
2011-07-23,9.36,CLIC
2011-07-24,9.07,CLIC
2011-07-25,8.17,CLIC
2011-07-26,9.36,CLIC
2011-07-27,10.01,CLIC
2011-07-28,8.53,CLIC
2011-07-29,7.45,CLIC
2011-07-30,5.6,CLIC
2011-08-01,7.19,CLIC
2011-08-02,9.15,CLIC
2011-08-03,6.69,CLIC
2011-08-04,6.13,CLIC
2011-08-05,7.68,CLIC
2011-08-06,9.35,CLIC
2011-08-07,9.15,CLIC
2011-08-08,9,CLIC
2011-08-09,7.39,CLIC
2011-08-10,8.75,CLIC
2011-08-11,10.2,CLIC
2011-08-12,5.56,CLIC
2011-08-13,9.57,CLIC
2011-08-14,8.86,CLIC
2011-08-15,7.47,CLIC
2011-08-16,9.97,CLIC
2011-08-17,9.11,CLIC
2011-08-18,9.77,CLIC
2011-08-19,10.53,CLIC
2011-08-20,8.67,CLIC
2011-08-21,9.88,CLIC
2011-08-22,5.64,CLIC
2011-08-23,9.01,CLIC
2011-08-24,9.97,CLIC
2011-08-25,6.5,CLIC
2011-08-26,7.3,CLIC
2011-08-27,7.2,CLIC
2011-08-28,8.9,CLIC
2011-08-29,7.8,CLIC
2011-08-30,8.6,CLIC
2011-08-31,8.55,CLIC
2011-09-01,8,CLIC
2011-09-02,3.3,CLIC
2011-09-03,9.35,CLIC
2011-09-04,8.51,CLIC
2011-09-05,6.04,CLIC
2011-09-06,8.7,CLIC
2011-09-07,6.8,CLIC
2011-09-08,6.89,CLIC
2011-09-09,7.17,CLIC
2011-09-10,7.98,CLIC
2011-09-11,8.36,CLIC
2011-09-12,6.8,CLIC
2011-09-13,9.05,CLIC
2011-09-14,9.45,CLIC
2011-09-15,5.8,CLIC
2011-09-16,8.24,CLIC
2011-09-17,6.7,CLIC
2011-09-18,4.25,CLIC
2011-09-19,6.85,CLIC
2011-09-20,7.03,CLIC
2011-09-21,5.87,CLIC
2011-09-22,7.3,CLIC
2011-09-23,6,CLIC
2011-09-24,7.39,CLIC
2011-09-25,6.96,CLIC
2011-09-26,7.45,CLIC
2011-09-27,5.25,CLIC
2011-09-28,7.3,CLIC
2011-09-29,6.85,CLIC
2011-09-30,4.2,CLIC
2011-10-01,3.7,CLIC
2011-10-02,5.73,CLIC
2011-10-03,3.52,CLIC
2011-10-04,4.67,CLIC
2011-10-05,5.34,CLIC
2011-10-06,6.89,CLIC
2011-10-07,6.5,CLIC
2011-10-08,5.77,CLIC
2011-10-09,4.88,CLIC
2011-10-10,5.8,CLIC
2011-10-11,3.3,CLIC
2011-10-12,3.1,CLIC
2011-10-13,6.65,CLIC
2011-10-14,5.25,CLIC
2011-10-15,5.85,CLIC
2011-10-16,3.45,CLIC
2011-10-17,5.69,CLIC
2011-10-18,9.7,CLIC
2011-10-19,3.91,CLIC
2011-10-20,5.2,CLIC
2011-10-21,3.86,CLIC
2011-10-22,4.69,CLIC
2011-10-23,6.32,CLIC
2011-10-24,3.98,CLIC
2011-10-25,5.03,CLIC
2011-10-26,5.99,CLIC
2011-10-27,6.66,CLIC
2011-10-28,3.32,CLIC
2011-10-29,3.5,CLIC
2011-10-30,2.8,CLIC
2011-10-31,4.85,CLIC
2011-11-01,3.86,CLIC
2011-11-02,6.49,CLIC
2011-11-03,4.03,CLIC
2011-11-04,3.8,CLIC
2011-11-05,4.7,CLIC
2011-11-06,4.8,CLIC
2011-11-07,4,CLIC
2011-11-08,6.3,CLIC
2011-11-09,2.1,CLIC
2011-11-10,5.18,CLIC
2011-11-11,3.77,CLIC
2011-11-12,0.83,CLIC
2011-11-13,5.97,CLIC
2011-11-14,1.8,CLIC
2011-11-15,4.1,CLIC
2011-11-16,3.59,CLIC
2011-11-17,6.06,CLIC
2011-11-18,0.9,CLIC
2011-11-19,3.52,CLIC
2011-11-20,4.2,CLIC
2011-11-21,4.03,CLIC
2011-11-22,5.41,CLIC
2011-11-23,3.04,CLIC
2011-11-24,2.95,CLIC
2011-11-25,1.89,CLIC
2011-11-26,10.31,CLIC
2011-11-27,2.79,CLIC
2011-11-28,2.26,CLIC
2011-11-29,2.96,CLIC
2011-11-30,1.99,CLIC
2012-01-01,1.06,CLIC
2012-01-02,0.95,CLIC
2012-01-03,4.33,CLIC
2012-01-04,1.82,CLIC
2012-01-05,1.9,CLIC
2012-01-06,2.2,CLIC
2012-01-07,2.4,CLIC
2012-01-08,0.65,CLIC
2012-01-09,5.2,CLIC
2012-01-10,1.4,CLIC
2012-01-11,3.45,CLIC
2012-01-12,2.5,CLIC
2012-01-13,1.95,CLIC
2012-01-14,1.85,CLIC
