Estación: ,C19082,ARAMBERRI 2. ARAMBERRI
1974-10-29,5.1,CLIC
1974-10-30,2.3,CLIC
1974-10-31,5.2,CLIC
1974-11-01,4.6,CLIC
1974-11-02,6.8,CLIC
1974-11-03,4.4,CLIC
1974-11-04,5.8,CLIC
1974-11-05,2.7,CLIC
1974-11-06,4.8,CLIC
1974-11-07,1.5,CLIC
1974-11-08,2.8,CLIC
1974-11-09,4.3,CLIC
1974-11-10,7.4,CLIC
1974-11-11,1.7,CLIC
1974-11-12,5.1,CLIC
1974-11-13,3.8,CLIC
1974-11-14,4.5,CLIC
1974-11-15,5.6,CLIC
1974-11-16,4.8,CLIC
1974-11-17,4.9,CLIC
1974-11-18,3.3,CLIC
1974-11-19,6.4,CLIC
1974-11-20,1.1,CLIC
1974-11-21,4.2,CLIC
1974-11-22,5.8,CLIC
1974-11-23,2,CLIC
1974-11-24,3.9,CLIC
1974-11-25,4.5,CLIC
1974-11-26,4.3,CLIC
1974-11-27,3.6,CLIC
1974-11-28,5.4,CLIC
1974-11-29,2.5,CLIC
1974-11-30,3.4,CLIC
1974-12-01,1.9,CLIC
1974-12-02,2.4,CLIC
1974-12-03,3.5,CLIC
1974-12-04,2.6,CLIC
1974-12-05,4.5,CLIC
1974-12-06,7.7,CLIC
1974-12-07,2.2,CLIC
1974-12-08,0.7,CLIC
1974-12-09,1,CLIC
1974-12-10,3.7,CLIC
1974-12-11,3.1,CLIC
1974-12-12,5.3,CLIC
1974-12-13,4.3,CLIC
1974-12-14,4.3,CLIC
1974-12-15,4.1,CLIC
1974-12-16,3.4,CLIC
1974-12-17,3.9,CLIC
1974-12-18,3.4,CLIC
1974-12-19,4.3,CLIC
1974-12-20,1.7,CLIC
1974-12-21,3.9,CLIC
1974-12-22,4.9,CLIC
1974-12-23,6.1,CLIC
1974-12-24,4.2,CLIC
1974-12-25,2.7,CLIC
1974-12-26,2,CLIC
1974-12-27,2.2,CLIC
1974-12-28,6.2,CLIC
1974-12-29,4.7,CLIC
1974-12-30,3.9,CLIC
1974-12-31,2.3,CLIC
1975-01-01,0.9,CLIC
1975-01-02,3.2,CLIC
1975-01-03,1.8,CLIC
1975-01-04,1.9,CLIC
1975-01-05,2.4,CLIC
1975-01-06,2.3,CLIC
1975-01-07,4,CLIC
1975-01-08,6,CLIC
1975-01-09,11.8,CLIC
1975-01-10,9.6,CLIC
1975-01-11,4.5,CLIC
1975-01-12,1.5,CLIC
1975-01-13,5.4,CLIC
1975-01-14,4.6,CLIC
1975-01-15,5.6,CLIC
1975-01-16,3.8,CLIC
1975-01-17,4.2,CLIC
1975-01-18,3.9,CLIC
1975-01-19,1.5,CLIC
1975-01-20,1.3,CLIC
1975-01-21,4.5,CLIC
1975-01-22,3,CLIC
1975-01-23,2,CLIC
1975-01-24,5.7,CLIC
1975-01-25,7,CLIC
1975-01-26,8,CLIC
1975-01-27,7.9,CLIC
1975-01-28,6,CLIC
1975-01-29,5.3,CLIC
1975-01-30,4.7,CLIC
1975-01-31,5.1,CLIC
1975-02-01,3.2,CLIC
1975-02-02,4.4,CLIC
1975-02-03,4.9,CLIC
1975-02-04,3.7,CLIC
1975-02-05,4.4,CLIC
1975-02-06,1.9,CLIC
1975-02-07,3.8,CLIC
1975-02-08,7,CLIC
1975-02-09,4.4,CLIC
1975-02-10,7.6,CLIC
1975-02-11,7,CLIC
1975-02-12,4.5,CLIC
1975-02-13,6.5,CLIC
1975-02-14,8.6,CLIC
1975-02-15,11,CLIC
1975-02-16,7.5,CLIC
1975-02-17,10.3,CLIC
1975-02-18,6.4,CLIC
1975-02-19,4.6,CLIC
1975-02-20,5.2,CLIC
1975-02-21,12.4,CLIC
1975-02-22,12.7,CLIC
1975-02-23,5.6,CLIC
1975-02-24,6.5,CLIC
1975-02-25,8.4,CLIC
1975-02-26,8,CLIC
1975-02-27,5.6,CLIC
1975-02-28,5,CLIC
1975-03-01,7.8,CLIC
1975-03-02,8,CLIC
1975-03-03,8.4,CLIC
1975-03-04,2.9,CLIC
1975-03-05,5.6,CLIC
1975-03-06,8.1,CLIC
1975-03-07,9.9,CLIC
1975-03-08,1.1,CLIC
1975-03-09,9.7,CLIC
1975-03-10,7.4,CLIC
1975-03-11,12.7,CLIC
1975-03-12,9.1,CLIC
1975-03-13,6.7,CLIC
1975-03-14,5.4,CLIC
1975-03-15,8.3,CLIC
1975-03-16,5.4,CLIC
1975-03-17,10.8,CLIC
1975-03-18,7.3,CLIC
1975-03-19,10.7,CLIC
1975-03-20,10,CLIC
1975-03-21,11,CLIC
1975-03-22,7.6,CLIC
1975-03-23,15.6,CLIC
1975-03-24,8.9,CLIC
1975-03-25,7.8,CLIC
1975-03-26,8.9,CLIC
1975-03-27,13.7,CLIC
1975-03-28,14,CLIC
1975-03-29,6.2,CLIC
1975-03-30,3.5,CLIC
1975-03-31,8.6,CLIC
1975-04-01,10.3,CLIC
1975-04-02,13.4,CLIC
1975-04-03,5.6,CLIC
1975-04-04,6.2,CLIC
1975-04-05,6.6,CLIC
1975-04-06,6.6,CLIC
1975-04-07,11.8,CLIC
1975-04-08,8.7,CLIC
1975-04-09,6.9,CLIC
1975-04-10,9.8,CLIC
1975-04-11,5.1,CLIC
1975-04-12,4.3,CLIC
1975-04-13,8.3,CLIC
1975-04-14,8.9,CLIC
1975-04-15,7.2,CLIC
1975-04-16,8.5,CLIC
1975-04-17,10.9,CLIC
1975-04-18,15.1,CLIC
1975-04-19,9.9,CLIC
1975-04-20,7.7,CLIC
1975-04-21,6.8,CLIC
1975-04-22,15.8,CLIC
1975-04-23,9.8,CLIC
1975-04-24,11.1,CLIC
1975-04-25,9,CLIC
1975-04-26,8.1,CLIC
1975-04-27,7.9,CLIC
1975-04-28,9.9,CLIC
1975-04-29,10.9,CLIC
1975-04-30,11.3,CLIC
1975-05-01,5.8,CLIC
1975-05-02,9.2,CLIC
1975-05-03,10.4,CLIC
1975-05-04,10.1,CLIC
1975-05-05,11.8,CLIC
1975-05-06,14.5,CLIC
1975-05-07,12.2,CLIC
1975-05-08,8.2,CLIC
1975-05-09,5.7,CLIC
1975-05-10,6.3,CLIC
1975-05-11,4.2,CLIC
1975-05-12,4.7,CLIC
1975-05-13,9.7,CLIC
1975-05-14,7.5,CLIC
1975-05-15,8.9,CLIC
1975-05-16,7.4,CLIC
1975-05-17,5.6,CLIC
1975-05-18,9.9,CLIC
1975-05-19,10.4,CLIC
1975-05-20,5.5,CLIC
1975-05-21,10.6,CLIC
1975-05-22,5.3,CLIC
1975-05-23,9.8,CLIC
1975-05-24,9.9,CLIC
1975-05-25,6.9,CLIC
1975-05-26,7.9,CLIC
1975-05-27,7.9,CLIC
1975-05-28,3.6,CLIC
1975-05-29,16.4,CLIC
1975-05-30,12.2,CLIC
1975-05-31,5.4,CLIC
1975-06-01,8,CLIC
1975-06-02,11.9,CLIC
1975-06-03,3.1,CLIC
1975-06-04,4.4,CLIC
1975-06-05,5,CLIC
1975-06-06,9.8,CLIC
1975-06-07,7,CLIC
1975-06-08,7.1,CLIC
1975-06-09,7.8,CLIC
1975-06-10,6.6,CLIC
1975-06-11,6.5,CLIC
1975-06-12,5.6,CLIC
1975-06-13,7.1,CLIC
1975-06-14,8.1,CLIC
1975-06-15,9.4,CLIC
1975-06-16,8.5,CLIC
1975-06-17,4.9,CLIC
1975-06-18,6.1,CLIC
1975-06-19,6.8,CLIC
1975-06-20,5.8,CLIC
1975-06-21,13.1,CLIC
1975-06-22,5.8,CLIC
1975-06-23,8.6,CLIC
1975-06-24,9.6,CLIC
1975-06-25,7.8,CLIC
1975-06-26,8.2,CLIC
1975-06-27,7.6,CLIC
1975-06-28,6.4,CLIC
1975-06-29,11.3,CLIC
1975-06-30,10.7,CLIC
1975-08-01,8.4,CLIC
1975-08-02,3.1,CLIC
1975-08-03,5.4,CLIC
1975-08-04,4.9,CLIC
1975-08-05,9.4,CLIC
1975-08-06,8.6,CLIC
1975-08-07,10.2,CLIC
1975-08-08,4.1,CLIC
1975-08-09,0.1,CLIC
1975-08-10,2.7,CLIC
1975-08-11,4.1,CLIC
1975-08-12,6.7,CLIC
1975-08-13,7.6,CLIC
1975-08-14,8.2,CLIC
1975-08-15,9.9,CLIC
1975-08-16,5.8,CLIC
1975-08-17,10.1,CLIC
1975-08-18,5.1,CLIC
1975-08-19,6.5,CLIC
1975-08-20,6.8,CLIC
1975-08-21,5.4,CLIC
1975-08-22,3.3,CLIC
1975-08-23,6.5,CLIC
1975-08-24,5.7,CLIC
1975-08-25,6.9,CLIC
1975-08-26,6.1,CLIC
1975-08-27,3.8,CLIC
1975-08-28,6.5,CLIC
1975-08-29,7.7,CLIC
1975-08-30,2.6,CLIC
1975-08-31,0.8,CLIC
1975-09-01,2.3,CLIC
1975-09-02,7.2,CLIC
1975-09-03,3.9,CLIC
1975-09-04,6.2,CLIC
1975-09-05,7,CLIC
1975-09-06,6.3,CLIC
1975-09-07,0.2,CLIC
1975-09-08,2,CLIC
1975-09-09,4.6,CLIC
1975-09-10,3.7,CLIC
1975-09-11,5.2,CLIC
1975-09-12,2.1,CLIC
1975-09-13,5.8,CLIC
1975-09-14,2.8,CLIC
1975-09-15,4.1,CLIC
1975-09-16,8.9,CLIC
1975-09-17,6.8,CLIC
1975-09-18,8.8,CLIC
1975-09-19,8.3,CLIC
1975-09-20,4.7,CLIC
1975-09-21,6,CLIC
1975-09-22,1.4,CLIC
1975-09-23,4.9,CLIC
1975-09-24,6.7,CLIC
1975-09-25,5.9,CLIC
1975-09-26,5.4,CLIC
1975-09-27,7.1,CLIC
1975-09-28,6.9,CLIC
1975-09-29,6.2,CLIC
1975-09-30,4.2,CLIC
1975-10-01,1.9,CLIC
1975-10-02,2.1,CLIC
1975-10-03,1.9,CLIC
1975-10-04,5.1,CLIC
1975-10-05,3,CLIC
1975-10-06,5,CLIC
1975-10-07,5.4,CLIC
1975-10-08,7.4,CLIC
1975-10-09,8.9,CLIC
1975-10-10,9.1,CLIC
1975-10-11,2.1,CLIC
1975-10-12,4.2,CLIC
1975-10-13,5.3,CLIC
1975-10-14,5.9,CLIC
1975-10-15,6.4,CLIC
1975-10-16,4,CLIC
1975-10-17,3.6,CLIC
1975-10-18,4,CLIC
1975-10-19,3.9,CLIC
1975-10-20,6.8,CLIC
1975-10-21,7.6,CLIC
1975-10-22,6.2,CLIC
1975-10-23,7.6,CLIC
1975-10-24,8.4,CLIC
1975-10-25,3.3,CLIC
1975-10-26,4.2,CLIC
1975-10-27,4.2,CLIC
1975-10-28,4.6,CLIC
1975-10-29,4.3,CLIC
1975-10-30,4.6,CLIC
1975-10-31,8.6,CLIC
1975-11-01,3.3,CLIC
1975-11-02,5.8,CLIC
1975-11-03,4.7,CLIC
1975-11-04,4.2,CLIC
1975-11-05,3,CLIC
1975-11-06,6.3,CLIC
1975-11-07,7,CLIC
1975-11-08,5.9,CLIC
1975-11-09,9.5,CLIC
1975-11-10,6.8,CLIC
1975-11-11,4.2,CLIC
1975-11-12,5.8,CLIC
1975-11-13,4.5,CLIC
1975-11-14,2.8,CLIC
1975-11-15,5.4,CLIC
1975-11-16,3.2,CLIC
1975-11-17,5,CLIC
1975-11-18,4.9,CLIC
1975-11-19,7.2,CLIC
1975-11-20,2.1,CLIC
1975-11-21,4.8,CLIC
1975-11-22,4.8,CLIC
1975-11-23,4.6,CLIC
1975-11-24,2.6,CLIC
1975-11-25,6.7,CLIC
1975-11-26,4.4,CLIC
1975-11-27,5.2,CLIC
1975-11-28,6.4,CLIC
1975-11-29,7.4,CLIC
1975-11-30,5.1,CLIC
1975-12-01,4.1,CLIC
1975-12-02,4.7,CLIC
1975-12-03,3.1,CLIC
1975-12-04,6.1,CLIC
1975-12-05,4.3,CLIC
1975-12-06,3.1,CLIC
1975-12-07,4.5,CLIC
1975-12-08,4,CLIC
1975-12-09,7,CLIC
1975-12-10,4.3,CLIC
1975-12-11,6.7,CLIC
1975-12-12,1.6,CLIC
1975-12-13,3.8,CLIC
1975-12-14,4.1,CLIC
1975-12-15,4.6,CLIC
1975-12-16,2.6,CLIC
1975-12-17,3.7,CLIC
1975-12-18,0.5,CLIC
1975-12-19,0.3,CLIC
1975-12-20,1.8,CLIC
1975-12-21,2.9,CLIC
1975-12-22,3.9,CLIC
1975-12-23,4.9,CLIC
1975-12-24,6.1,CLIC
1975-12-25,4.3,CLIC
1975-12-26,2.3,CLIC
1975-12-27,4.4,CLIC
1975-12-28,5.9,CLIC
1975-12-29,2.6,CLIC
1975-12-30,5.1,CLIC
1975-12-31,5.5,CLIC
1976-01-01,8.9,CLIC
1976-01-02,6.5,CLIC
1976-01-03,2.3,CLIC
1976-01-04,2.5,CLIC
1976-01-05,4,CLIC
1976-01-06,5.6,CLIC
1976-01-07,5.4,CLIC
1976-01-08,3,CLIC
1976-01-09,3.7,CLIC
1976-01-10,4.6,CLIC
1976-01-11,5.7,CLIC
1976-01-12,3.6,CLIC
1976-01-13,6.5,CLIC
1976-01-14,1.7,CLIC
1976-01-15,3.7,CLIC
1976-01-16,4.2,CLIC
1976-01-17,5.2,CLIC
1976-01-18,4.8,CLIC
1976-01-19,4.4,CLIC
1976-01-20,3.5,CLIC
1976-01-21,3.1,CLIC
1976-01-22,4.2,CLIC
1976-01-23,2.6,CLIC
1976-01-24,6.1,CLIC
1976-01-25,6.3,CLIC
1976-01-26,4.7,CLIC
1976-01-27,1.8,CLIC
1976-01-28,3.7,CLIC
1976-01-29,3.7,CLIC
1976-01-30,2.6,CLIC
1976-01-31,8.2,CLIC
1976-02-01,3.3,CLIC
1976-02-02,4.4,CLIC
1976-02-03,4.7,CLIC
1976-02-04,3.9,CLIC
1976-02-05,4.9,CLIC
1976-02-06,1.8,CLIC
1976-02-07,4.3,CLIC
1976-02-08,3.8,CLIC
1976-02-09,5.1,CLIC
1976-02-10,5.4,CLIC
1976-02-11,5.6,CLIC
1976-02-12,5.9,CLIC
1976-02-13,4.8,CLIC
1976-02-14,3.4,CLIC
1976-02-15,5.3,CLIC
1976-02-16,6.3,CLIC
1976-02-17,6.9,CLIC
1976-02-18,5.8,CLIC
1976-02-19,4.7,CLIC
1976-02-20,6.6,CLIC
1976-02-21,6.4,CLIC
1976-02-22,5,CLIC
1976-02-23,3.1,CLIC
1976-02-24,5.7,CLIC
1976-02-25,5.7,CLIC
1976-02-26,5.5,CLIC
1976-02-27,4.9,CLIC
1976-02-28,6.1,CLIC
1976-02-29,6.6,CLIC
1976-03-01,8.6,CLIC
1976-03-02,8.5,CLIC
1976-03-03,7.9,CLIC
1976-03-04,7.4,CLIC
1976-03-05,9,CLIC
1976-03-06,6,CLIC
1976-03-07,5.6,CLIC
1976-03-08,6.5,CLIC
1976-03-09,5.7,CLIC
1976-03-10,3.2,CLIC
1976-03-11,13.5,CLIC
1976-03-12,12.4,CLIC
1976-03-13,2,CLIC
1976-03-14,5.1,CLIC
1976-03-15,10.7,CLIC
1976-03-16,4.4,CLIC
1976-03-17,5.7,CLIC
1976-03-18,6.9,CLIC
1976-03-19,10.5,CLIC
1976-03-20,8.5,CLIC
1976-03-21,3.6,CLIC
1976-03-22,3.4,CLIC
1976-03-23,6,CLIC
1976-03-24,7,CLIC
1976-03-25,8.9,CLIC
1976-03-26,10.3,CLIC
1976-03-27,7.7,CLIC
1976-03-28,9,CLIC
1976-03-29,11.2,CLIC
1976-03-30,8.1,CLIC
1976-03-31,3.6,CLIC
1976-04-01,5.3,CLIC
1976-04-02,7.3,CLIC
1976-04-03,7.7,CLIC
1976-04-04,8.8,CLIC
1976-04-05,5.8,CLIC
1976-04-06,4.2,CLIC
1976-04-07,8,CLIC
1976-04-08,12.4,CLIC
1976-04-09,7.6,CLIC
1976-04-10,5.3,CLIC
1976-04-11,7.9,CLIC
1976-04-12,4.3,CLIC
1976-04-13,6.2,CLIC
1976-04-14,7.9,CLIC
1976-04-15,7.7,CLIC
1976-04-16,8.9,CLIC
1976-04-17,7,CLIC
1976-04-18,7.5,CLIC
1976-04-19,10.2,CLIC
1976-04-20,6.8,CLIC
1976-04-21,8.4,CLIC
1976-04-22,4.6,CLIC
1976-04-23,12.9,CLIC
1976-04-24,5.8,CLIC
1976-04-25,5.3,CLIC
1976-04-26,7.1,CLIC
1976-04-27,6.7,CLIC
1976-04-28,7.4,CLIC
1976-04-29,7.4,CLIC
1976-05-01,2.2,CLIC
1976-05-02,3.6,CLIC
1976-05-03,6.2,CLIC
1976-05-04,5.3,CLIC
1976-05-05,9.4,CLIC
1976-05-06,7.9,CLIC
1976-05-07,13.7,CLIC
1976-05-08,3,CLIC
1976-05-09,5,CLIC
1976-05-10,6,CLIC
1976-05-11,6.5,CLIC
1976-05-12,7.1,CLIC
1976-05-13,3.2,CLIC
1976-05-14,9.1,CLIC
1976-05-15,16,CLIC
1976-05-16,3,CLIC
1976-05-17,0.6,CLIC
1976-05-18,3.3,CLIC
1976-05-19,3.2,CLIC
1976-05-20,6,CLIC
1976-05-21,6.8,CLIC
1976-05-22,8.5,CLIC
1976-05-23,8.6,CLIC
1976-05-24,9.1,CLIC
1976-05-25,6.1,CLIC
1976-05-26,7.5,CLIC
1976-05-27,7.7,CLIC
1976-05-28,11.1,CLIC
1976-05-29,10.1,CLIC
1976-05-30,12.3,CLIC
1976-05-31,10.6,CLIC
1976-06-01,9.1,CLIC
1976-06-02,6,CLIC
1976-06-03,6.2,CLIC
1976-06-04,5.2,CLIC
1976-06-05,6.1,CLIC
1976-06-06,6.7,CLIC
1976-06-07,9.1,CLIC
1976-06-08,7.7,CLIC
1976-06-09,7.2,CLIC
1976-06-10,7.5,CLIC
1976-06-11,8.1,CLIC
1976-06-12,8.2,CLIC
1976-06-13,6.5,CLIC
1976-06-14,6.5,CLIC
1976-06-15,7.4,CLIC
1976-06-16,7.3,CLIC
1976-06-17,7.2,CLIC
1976-06-18,6,CLIC
1976-06-19,6.8,CLIC
1976-06-20,7.1,CLIC
1976-06-21,6.8,CLIC
1976-06-22,8.5,CLIC
1976-06-23,9.9,CLIC
1976-06-24,9.7,CLIC
1976-06-25,5.4,CLIC
1976-06-26,4.1,CLIC
1976-06-27,5.5,CLIC
1976-06-28,4.5,CLIC
1976-06-29,8.5,CLIC
1976-06-30,11.8,CLIC
1976-07-01,7.8,CLIC
1976-07-02,6.8,CLIC
1976-07-03,8.5,CLIC
1976-07-04,6.9,CLIC
1976-07-05,1.5,CLIC
1976-07-06,2.8,CLIC
1976-07-07,2.5,CLIC
1976-07-08,1.3,CLIC
1976-07-09,5,CLIC
1976-07-10,2.4,CLIC
1976-07-11,1.8,CLIC
1976-07-12,0.7,CLIC
1976-07-13,2.2,CLIC
1976-07-14,4.8,CLIC
1976-07-15,4.9,CLIC
1976-07-16,4.7,CLIC
1976-07-17,8.2,CLIC
1976-07-18,4.4,CLIC
1976-07-19,8.1,CLIC
1976-07-20,3,CLIC
1976-07-21,4.8,CLIC
1976-07-22,2.4,CLIC
1976-07-23,4.9,CLIC
1976-07-24,3.3,CLIC
1976-07-25,8.4,CLIC
1976-07-26,5.5,CLIC
1976-07-27,7.6,CLIC
1976-07-28,11,CLIC
1976-07-29,4.1,CLIC
1976-07-30,9.9,CLIC
1976-07-31,10.9,CLIC
1976-08-01,8.5,CLIC
1976-08-02,10.8,CLIC
1976-08-03,0.8,CLIC
1976-08-04,5.6,CLIC
1976-08-05,7,CLIC
1976-08-06,9.9,CLIC
1976-08-07,4.5,CLIC
1976-08-08,7.5,CLIC
1976-08-09,8.8,CLIC
1976-08-10,6.2,CLIC
1976-08-11,11.2,CLIC
1976-08-12,7.7,CLIC
1976-08-13,10.5,CLIC
1976-08-14,7.1,CLIC
1976-08-15,6.5,CLIC
1976-08-16,5.9,CLIC
1976-08-17,5.4,CLIC
1976-08-18,0.8,CLIC
1976-08-19,3.5,CLIC
1976-08-20,5.2,CLIC
1976-08-21,6.4,CLIC
1976-08-22,7.2,CLIC
1976-08-23,4.8,CLIC
1976-08-24,4.3,CLIC
1976-08-25,4.5,CLIC
1976-08-26,4.9,CLIC
1976-08-27,5.5,CLIC
1976-08-28,3.9,CLIC
1976-08-29,5.3,CLIC
1976-08-30,5.5,CLIC
1976-08-31,3.7,CLIC
1976-09-01,4.3,CLIC
1976-09-02,2.9,CLIC
1976-09-03,5.6,CLIC
1976-09-04,6.4,CLIC
1976-09-05,6.6,CLIC
1976-09-06,7.9,CLIC
1976-09-07,8.8,CLIC
1976-09-08,8.1,CLIC
1976-09-09,5.4,CLIC
1976-09-10,5.4,CLIC
1976-09-11,7,CLIC
1976-09-12,5.3,CLIC
1976-09-13,6.9,CLIC
1976-09-14,9.8,CLIC
1976-09-15,5.6,CLIC
1976-09-16,5.2,CLIC
1976-09-17,6,CLIC
1976-09-18,4.1,CLIC
1976-09-19,3.7,CLIC
1976-09-20,3.1,CLIC
1976-09-21,3.9,CLIC
1976-09-22,4.6,CLIC
1976-09-23,4.8,CLIC
1976-09-24,4.9,CLIC
1976-09-25,4.4,CLIC
1976-09-26,3.2,CLIC
1976-09-27,4.5,CLIC
1976-09-28,5.1,CLIC
1976-09-29,3.1,CLIC
1976-09-30,3.1,CLIC
1976-10-01,5.8,CLIC
1976-10-02,4.9,CLIC
1976-10-03,5.3,CLIC
1976-10-04,8.2,CLIC
1976-10-05,4.2,CLIC
1976-10-06,3.7,CLIC
1976-10-07,2.2,CLIC
1976-10-08,2.6,CLIC
1976-10-09,3.4,CLIC
1976-10-10,3.5,CLIC
1976-10-11,2.7,CLIC
1976-10-12,4.8,CLIC
1976-10-13,5.1,CLIC
1976-10-14,2.2,CLIC
1976-10-15,6.7,CLIC
1976-10-16,2.8,CLIC
1976-10-17,3,CLIC
1976-10-18,1.8,CLIC
1976-10-19,4.5,CLIC
1976-10-20,3.2,CLIC
1976-10-21,3,CLIC
1976-10-22,6.1,CLIC
1976-10-23,4.5,CLIC
1976-10-24,2,CLIC
1976-10-25,3.9,CLIC
1976-10-26,2.6,CLIC
1976-10-27,1.8,CLIC
1976-10-28,3.4,CLIC
1976-10-29,2.8,CLIC
1976-10-30,5.8,CLIC
1976-10-31,1.2,CLIC
1976-11-01,2.1,CLIC
1976-11-02,4.4,CLIC
1976-11-03,2.9,CLIC
1976-11-04,3.6,CLIC
1976-11-05,4,CLIC
1976-11-06,4.4,CLIC
1976-11-07,1.6,CLIC
1976-11-08,1.3,CLIC
1976-11-09,1.5,CLIC
1976-11-10,2.1,CLIC
1976-11-11,1.9,CLIC
1976-11-12,1.1,CLIC
1976-11-13,1.1,CLIC
1976-11-14,2.7,CLIC
1976-11-15,2,CLIC
1976-11-16,1.5,CLIC
1976-11-17,1,CLIC
1976-11-18,1,CLIC
1976-11-19,7.5,CLIC
1976-11-20,4.8,CLIC
1976-11-21,2.3,CLIC
1976-11-22,1.7,CLIC
1976-11-23,0.9,CLIC
1976-11-24,1.6,CLIC
1976-11-25,6,CLIC
1976-11-26,4.7,CLIC
1976-11-27,6.1,CLIC
1976-11-28,1.6,CLIC
1976-11-29,0.8,CLIC
1976-11-30,1.3,CLIC
1976-12-01,1.7,CLIC
1976-12-02,2.2,CLIC
1976-12-03,2.5,CLIC
1976-12-04,3.3,CLIC
1976-12-05,2.9,CLIC
1976-12-06,4.2,CLIC
1976-12-07,1.3,CLIC
1976-12-08,1.8,CLIC
1976-12-09,1.1,CLIC
1976-12-10,1.5,CLIC
1976-12-11,1.5,CLIC
1976-12-12,1.1,CLIC
1976-12-13,2,CLIC
1976-12-14,1.5,CLIC
1976-12-15,1.1,CLIC
1976-12-16,1.2,CLIC
1976-12-17,3.4,CLIC
1976-12-18,5.2,CLIC
1976-12-19,4.8,CLIC
1976-12-20,2.5,CLIC
1976-12-21,1.9,CLIC
1976-12-22,2.3,CLIC
1976-12-23,1,CLIC
1976-12-24,2.2,CLIC
1976-12-25,2.6,CLIC
1976-12-26,3,CLIC
1976-12-27,4,CLIC
1976-12-28,5.6,CLIC
1976-12-29,5.3,CLIC
1976-12-30,5,CLIC
1976-12-31,3.5,CLIC
1977-01-01,3.4,CLIC
1977-01-02,1.2,CLIC
