Estación: ,C19038,LAS COMITAS.STA.CATARINA
1942-07-16,0,CLIC
1942-07-17,0,CLIC
1942-07-18,0,CLIC
1942-07-19,0,CLIC
1942-07-20,0,CLIC
1942-07-21,0,CLIC
1942-07-22,0,CLIC
1942-07-23,0,CLIC
1942-07-24,0.3,CLIC
1942-07-25,1.3,CLIC
1942-07-26,0,CLIC
1942-07-27,6.9,CLIC
1942-07-28,0.8,CLIC
1942-07-29,0.5,CLIC
1942-07-30,20.8,CLIC
1942-07-31,6,CLIC
1942-08-01,49.5,CLIC
1942-08-02,85,CLIC
1942-08-03,77.5,CLIC
1942-08-04,36.8,CLIC
1942-08-05,0,CLIC
1942-08-06,0,CLIC
1942-08-07,0,CLIC
1942-08-08,0,CLIC
1942-08-09,0,CLIC
1942-08-10,0,CLIC
1942-08-11,1.3,CLIC
1942-08-12,0,CLIC
1942-08-13,0,CLIC
1942-08-14,0,CLIC
1942-08-15,0,CLIC
1942-08-16,11,CLIC
1942-08-17,0,CLIC
1942-08-18,0,CLIC
1942-08-19,0,CLIC
1942-08-20,0.3,CLIC
1942-08-21,2,CLIC
1942-08-22,0,CLIC
1942-08-23,3.4,CLIC
1942-08-24,0.2,CLIC
1942-08-25,4.2,CLIC
1942-08-26,0,CLIC
1942-08-27,0.2,CLIC
1942-08-28,0,CLIC
1942-08-29,0,CLIC
1942-08-30,0,CLIC
1942-08-31,0,CLIC
1942-09-01,0,CLIC
1942-09-02,0,CLIC
1942-09-03,0,CLIC
1942-09-04,0.4,CLIC
1942-09-05,0,CLIC
1942-09-06,1.7,CLIC
1942-09-07,0,CLIC
1942-09-08,0,CLIC
1942-09-09,0,CLIC
1942-09-10,3.2,CLIC
1942-09-11,0,CLIC
1942-09-12,3.3,CLIC
1942-09-13,0,CLIC
1942-09-14,0,CLIC
1942-09-15,0,CLIC
1942-09-16,0,CLIC
1942-09-17,0,CLIC
1942-09-18,0,CLIC
1942-09-19,0,CLIC
1942-09-20,0,CLIC
1942-09-21,16,CLIC
1942-09-22,0,CLIC
1942-09-23,0,CLIC
1942-09-24,0,CLIC
1942-09-25,0,CLIC
1942-09-26,0,CLIC
1942-09-27,0.8,CLIC
1942-09-28,0,CLIC
1942-09-29,0,CLIC
1942-10-01,0,CLIC
1942-10-02,0,CLIC
1942-10-03,0,CLIC
1942-10-04,0,CLIC
1942-10-05,0,CLIC
1942-10-06,0,CLIC
1942-10-07,0,CLIC
1942-10-08,0,CLIC
1942-10-09,0,CLIC
1942-10-10,0,CLIC
1942-10-11,0,CLIC
1942-10-12,0,CLIC
1942-10-13,0,CLIC
1942-10-14,0,CLIC
1942-10-15,0,CLIC
1942-10-16,0,CLIC
1942-10-17,0,CLIC
1942-10-18,0,CLIC
1942-10-19,0,CLIC
1942-10-20,0,CLIC
1942-10-21,0,CLIC
1942-10-22,0,CLIC
1942-10-23,0,CLIC
1942-10-24,0,CLIC
1942-10-25,0,CLIC
1942-10-26,0,CLIC
1942-10-27,0,CLIC
1942-10-28,0.2,CLIC
1942-10-29,0,CLIC
1942-10-30,0,CLIC
1942-10-31,0,CLIC
1942-11-01,0,CLIC
1942-11-02,0,CLIC
1942-11-03,0,CLIC
1942-11-04,0,CLIC
1942-11-05,0,CLIC
1942-11-06,0,CLIC
1942-11-07,0,CLIC
1942-11-08,0,CLIC
1942-11-09,0,CLIC
1942-11-10,0,CLIC
1942-11-11,0,CLIC
1942-11-12,0,CLIC
1942-11-13,0,CLIC
1942-11-14,0,CLIC
1942-11-15,0,CLIC
1942-11-16,0,CLIC
1942-11-17,0,CLIC
1942-11-18,0,CLIC
1942-11-19,0,CLIC
1942-11-20,0,CLIC
1942-11-21,0,CLIC
1942-11-22,3.5,CLIC
1942-11-23,0,CLIC
1942-11-24,0,CLIC
1942-11-25,9,CLIC
1942-11-26,10,CLIC
1942-11-27,0,CLIC
1942-11-28,0,CLIC
1942-11-29,0,CLIC
1942-11-30,0,CLIC
1942-12-01,0,CLIC
1942-12-02,0,CLIC
1942-12-03,0,CLIC
1942-12-04,0,CLIC
1942-12-05,0,CLIC
1942-12-06,0,CLIC
1942-12-07,0,CLIC
1942-12-08,0,CLIC
1942-12-09,0,CLIC
1942-12-10,2.2,CLIC
1942-12-11,0.2,CLIC
1942-12-12,3.8,CLIC
1942-12-13,1.4,CLIC
1942-12-14,1,CLIC
1942-12-15,0,CLIC
1942-12-16,0,CLIC
1942-12-17,0,CLIC
1942-12-18,0,CLIC
1942-12-19,0,CLIC
1942-12-20,0,CLIC
1942-12-21,0,CLIC
1942-12-22,0,CLIC
1942-12-23,0,CLIC
1942-12-24,0,CLIC
1942-12-25,0,CLIC
1942-12-26,0,CLIC
1942-12-27,0,CLIC
1942-12-28,0,CLIC
1942-12-29,0,CLIC
1942-12-30,0,CLIC
1942-12-31,0,CLIC
1944-06-01,0,CLIC
1944-06-02,0.5,CLIC
1944-06-03,0,CLIC
1944-06-04,0,CLIC
1944-06-05,0,CLIC
1944-06-06,11,CLIC
1944-06-07,0,CLIC
1944-06-08,0,CLIC
1944-06-09,0,CLIC
1944-06-10,0,CLIC
1944-06-11,0,CLIC
1944-06-12,0,CLIC
1944-06-13,0,CLIC
1944-06-14,0,CLIC
1944-06-15,0,CLIC
1944-06-16,0,CLIC
1944-06-17,0,CLIC
1944-06-18,86,CLIC
1944-06-19,1.1,CLIC
1944-06-20,0,CLIC
1944-06-21,0,CLIC
1944-06-22,0,CLIC
1944-06-23,0,CLIC
1944-06-24,0,CLIC
1944-06-25,0,CLIC
1944-06-26,0,CLIC
1944-06-27,0,CLIC
1944-06-28,3.4,CLIC
1944-06-29,0,CLIC
1944-06-30,0.8,CLIC
1948-01-01,0.3,CLIC
1948-01-02,0,CLIC
1948-01-03,0,CLIC
1948-01-04,0,CLIC
1948-01-05,0,CLIC
1948-01-06,0,CLIC
1948-01-07,0,CLIC
1948-01-08,0,CLIC
1948-01-09,0,CLIC
1948-01-10,0,CLIC
1948-01-11,0,CLIC
1948-01-12,2,CLIC
1948-01-13,0,CLIC
1948-01-14,0,CLIC
1948-01-15,0,CLIC
1948-01-16,6,CLIC
1948-01-17,0,CLIC
1948-01-18,0,CLIC
1948-01-19,0,CLIC
1948-01-20,0,CLIC
1948-01-21,0,CLIC
1948-01-22,0,CLIC
1948-01-23,0,CLIC
1948-01-24,0,CLIC
1948-01-25,0,CLIC
1948-01-26,0,CLIC
1948-01-27,0,CLIC
1948-01-28,0,CLIC
1948-01-29,0,CLIC
1948-01-30,0,CLIC
1948-01-31,0,CLIC
1948-02-01,4,CLIC
1948-02-02,0,CLIC
1948-02-03,0,CLIC
1948-02-04,0,CLIC
1948-02-05,0,CLIC
1948-02-06,0,CLIC
1948-02-07,0,CLIC
1948-02-08,0,CLIC
1948-02-09,0,CLIC
1948-02-10,0,CLIC
1948-02-11,0,CLIC
1948-02-12,0,CLIC
1948-02-13,0,CLIC
1948-02-14,0,CLIC
1948-02-15,0,CLIC
1948-02-16,0,CLIC
1948-02-17,0,CLIC
1948-02-18,0,CLIC
1948-02-19,0,CLIC
1948-02-20,0,CLIC
1948-02-21,0,CLIC
1948-02-22,0,CLIC
1948-02-23,0,CLIC
1948-02-24,0,CLIC
1948-02-25,0,CLIC
1948-02-26,0,CLIC
1948-02-27,0,CLIC
1948-02-28,0,CLIC
1948-02-29,0,CLIC
1948-03-01,0,CLIC
1948-03-02,0,CLIC
1948-03-03,0,CLIC
1948-03-04,10,CLIC
1948-03-05,11,CLIC
1948-03-06,0,CLIC
1948-03-07,0,CLIC
1948-03-08,0,CLIC
1948-03-09,0,CLIC
1948-03-10,0,CLIC
1948-03-11,0,CLIC
1948-03-12,0,CLIC
1948-03-13,0,CLIC
1948-03-14,0,CLIC
1948-03-15,0,CLIC
1948-03-16,0,CLIC
1948-03-17,0,CLIC
1948-03-18,0,CLIC
1948-03-19,0,CLIC
1948-03-20,0,CLIC
1948-03-21,0,CLIC
1948-03-22,0,CLIC
1948-03-23,0,CLIC
1948-03-24,0,CLIC
1948-03-25,0,CLIC
1948-03-26,0,CLIC
1948-03-27,0,CLIC
1948-03-28,0,CLIC
1948-03-29,0,CLIC
1948-03-30,0,CLIC
1948-03-31,0,CLIC
1948-04-01,0,CLIC
1948-04-02,0,CLIC
1948-04-03,0,CLIC
1948-04-04,0,CLIC
1948-04-05,0,CLIC
1948-04-06,0,CLIC
1948-04-07,0,CLIC
1948-04-08,0,CLIC
1948-04-09,0,CLIC
1948-04-10,0,CLIC
1948-04-11,1,CLIC
1948-04-12,0,CLIC
1948-04-13,0,CLIC
1948-04-14,0,CLIC
1948-04-15,0,CLIC
1948-04-16,0,CLIC
1948-04-17,0,CLIC
1948-04-18,0,CLIC
1948-04-19,0,CLIC
1948-04-20,0,CLIC
1948-04-21,0,CLIC
1948-04-22,17,CLIC
1948-04-23,0,CLIC
1948-04-24,0,CLIC
1948-04-25,0,CLIC
1948-04-26,0,CLIC
1948-04-27,0,CLIC
1948-04-28,0,CLIC
1948-04-29,0,CLIC
1948-04-30,0,CLIC
1948-05-01,0,CLIC
1948-05-02,0,CLIC
1948-05-03,0,CLIC
1948-05-04,7.8,CLIC
1948-05-05,0,CLIC
1948-05-06,0,CLIC
1948-05-07,0.3,CLIC
1948-05-08,0,CLIC
1948-05-09,0.2,CLIC
1948-05-10,0,CLIC
1948-05-11,0,CLIC
1948-05-12,0,CLIC
1948-05-13,11,CLIC
1948-05-14,0,CLIC
1948-05-15,0,CLIC
1948-05-16,0,CLIC
1948-05-17,0,CLIC
1948-05-18,0,CLIC
1948-05-19,0,CLIC
1948-05-20,0,CLIC
1948-05-21,0,CLIC
1948-05-22,0,CLIC
1948-05-23,0,CLIC
1948-05-24,0.3,CLIC
1948-05-25,0.7,CLIC
1948-05-26,0.2,CLIC
1948-05-27,0,CLIC
1948-05-28,0.5,CLIC
1948-05-29,0,CLIC
1948-05-30,0,CLIC
1948-05-31,0,CLIC
1948-06-01,0,CLIC
1948-06-02,0,CLIC
1948-06-03,0,CLIC
1948-06-04,0,CLIC
1948-06-05,0,CLIC
1948-06-06,0,CLIC
1948-06-07,0,CLIC
1948-06-08,0,CLIC
1948-06-09,0,CLIC
1948-06-10,0,CLIC
1948-06-11,0,CLIC
1948-06-12,0,CLIC
1948-06-13,0,CLIC
1948-06-14,0,CLIC
1948-06-15,0,CLIC
1948-06-16,0,CLIC
1948-06-17,0,CLIC
1948-06-18,0,CLIC
1948-06-19,0,CLIC
1948-06-20,0.5,CLIC
1948-06-21,5,CLIC
1948-06-22,11,CLIC
1948-06-23,2.6,CLIC
1948-06-24,19,CLIC
1948-06-25,20.3,CLIC
1948-06-26,19.3,CLIC
1948-06-27,0,CLIC
1948-06-28,1,CLIC
1948-06-29,2.4,CLIC
1948-06-30,3.3,CLIC
1948-07-01,8,CLIC
1948-07-02,0,CLIC
1948-07-03,0,CLIC
1948-07-04,0,CLIC
1948-07-05,0,CLIC
1948-07-06,4.7,CLIC
1948-07-07,2,CLIC
1948-07-08,0,CLIC
1948-07-09,0,CLIC
1948-07-10,0,CLIC
1948-07-11,0.8,CLIC
1948-07-12,1.2,CLIC
1948-07-13,0,CLIC
1948-07-14,0,CLIC
1948-07-15,0,CLIC
1948-07-16,1.3,CLIC
1948-07-17,8.5,CLIC
1948-07-18,0,CLIC
1948-07-19,0,CLIC
1948-07-20,0.5,CLIC
1948-07-21,0,CLIC
1948-07-22,0,CLIC
1948-07-23,0,CLIC
1948-07-24,0,CLIC
1948-07-25,0,CLIC
1948-07-26,0,CLIC
1948-07-27,0,CLIC
1948-07-28,6.4,CLIC
1948-07-29,0.5,CLIC
1948-07-30,0,CLIC
1948-07-31,1.5,CLIC
1948-08-01,0,CLIC
1948-08-02,1.8,CLIC
1948-08-03,0,CLIC
1948-08-04,0,CLIC
1948-08-05,12.2,CLIC
1948-08-06,0,CLIC
1948-08-07,0,CLIC
1948-08-08,0,CLIC
1948-08-09,0,CLIC
1948-08-10,0,CLIC
1948-08-11,0,CLIC
1948-08-12,0,CLIC
1948-08-13,0,CLIC
1948-08-14,0,CLIC
1948-08-15,0,CLIC
1948-08-16,2.2,CLIC
1948-08-17,0,CLIC
1948-08-18,0,CLIC
1948-08-19,0.2,CLIC
1948-08-20,0,CLIC
1948-08-21,0,CLIC
1948-08-22,0,CLIC
1948-08-23,0,CLIC
1948-08-24,0,CLIC
1948-08-25,0,CLIC
1948-08-26,0,CLIC
1948-08-27,3.3,CLIC
1948-08-28,18,CLIC
1948-08-29,35,CLIC
1948-08-30,25,CLIC
1948-08-31,8.3,CLIC
1948-09-01,2.2,CLIC
1948-09-02,0,CLIC
1948-09-03,0,CLIC
1948-09-04,0,CLIC
1948-09-05,0,CLIC
1948-09-06,0,CLIC
1948-09-07,0,CLIC
1948-09-08,0,CLIC
1948-09-09,78,CLIC
1948-09-10,7,CLIC
1948-09-11,0,CLIC
1948-09-12,0.3,CLIC
1948-09-13,19,CLIC
1948-09-14,2.9,CLIC
1948-09-15,0,CLIC
1948-09-16,0,CLIC
1948-09-17,0,CLIC
1948-09-18,0,CLIC
1948-09-19,0.7,CLIC
1948-09-20,0,CLIC
1948-09-21,1,CLIC
1948-09-22,2.2,CLIC
1948-09-23,0,CLIC
1948-09-24,0,CLIC
1948-09-25,6.2,CLIC
1948-09-26,9.4,CLIC
1948-09-27,0,CLIC
1948-09-28,0,CLIC
1948-09-29,0,CLIC
1948-09-30,0,CLIC
1948-10-01,0,CLIC
1948-10-02,0,CLIC
1948-10-03,0,CLIC
1948-10-04,0,CLIC
1948-10-05,0,CLIC
1948-10-06,0,CLIC
1948-10-07,0.2,CLIC
1948-10-08,0,CLIC
1948-10-09,0.7,CLIC
1948-10-10,1.8,CLIC
1948-10-11,1.8,CLIC
1948-10-12,4.8,CLIC
1948-10-13,0,CLIC
1948-10-14,0,CLIC
1948-10-15,3.3,CLIC
1948-10-16,0,CLIC
1948-10-17,0,CLIC
1948-10-18,0,CLIC
1948-10-19,0,CLIC
1948-10-20,0,CLIC
1948-10-21,2.5,CLIC
1948-10-22,5.7,CLIC
1948-10-23,1.8,CLIC
1948-10-24,0.3,CLIC
1948-10-25,0.5,CLIC
1948-10-26,0,CLIC
1948-10-27,0,CLIC
1948-10-28,0,CLIC
1948-10-29,0,CLIC
1948-10-30,0,CLIC
1948-10-31,0,CLIC
1948-11-01,0,CLIC
1948-11-02,0,CLIC
1948-11-03,0,CLIC
1948-11-04,0,CLIC
1948-11-05,0,CLIC
1948-11-06,0,CLIC
1948-11-07,0,CLIC
1948-11-08,0,CLIC
1948-11-09,0,CLIC
1948-11-10,0,CLIC
1948-11-11,0,CLIC
1948-11-12,0.5,CLIC
1948-11-13,0,CLIC
1948-11-14,0,CLIC
1948-11-15,0,CLIC
1948-11-16,0,CLIC
1948-11-17,0,CLIC
1948-11-18,0,CLIC
1948-11-19,0,CLIC
1948-11-20,0,CLIC
1948-11-21,0,CLIC
1948-11-22,0,CLIC
1948-11-23,0,CLIC
1948-11-24,0,CLIC
1948-11-25,0,CLIC
1948-11-26,0,CLIC
1948-11-27,0,CLIC
1948-11-28,0,CLIC
1948-11-29,0,CLIC
1948-11-30,0,CLIC
1948-12-01,0,CLIC
1948-12-02,0,CLIC
1948-12-03,0,CLIC
1948-12-04,0,CLIC
1948-12-05,0,CLIC
1948-12-06,0,CLIC
1948-12-07,0,CLIC
1948-12-08,0,CLIC
1948-12-09,0,CLIC
1948-12-10,0,CLIC
1948-12-11,0,CLIC
1948-12-12,0,CLIC
1948-12-13,0,CLIC
1948-12-14,0,CLIC
1948-12-15,0.2,CLIC
1948-12-16,0,CLIC
1948-12-17,0,CLIC
1948-12-18,0,CLIC
1948-12-19,0,CLIC
1948-12-20,0,CLIC
1948-12-21,0,CLIC
1948-12-22,0,CLIC
1948-12-23,0,CLIC
1948-12-24,0,CLIC
1948-12-25,0,CLIC
1948-12-26,0,CLIC
1948-12-27,0,CLIC
1948-12-28,0,CLIC
1948-12-29,0,CLIC
1948-12-30,0,CLIC
1948-12-31,0,CLIC
1949-01-01,0,CLIC
1949-01-02,0,CLIC
1949-01-03,0,CLIC
1949-01-04,0,CLIC
1949-01-05,0,CLIC
1949-01-06,0,CLIC
1949-01-07,0,CLIC
1949-01-08,0,CLIC
1949-01-09,0,CLIC
1949-01-10,0,CLIC
1949-01-11,0,CLIC
1949-01-12,0,CLIC
1949-01-13,0,CLIC
1949-01-14,0,CLIC
1949-01-15,0,CLIC
1949-01-16,0,CLIC
1949-01-17,0,CLIC
1949-01-18,0,CLIC
1949-01-19,0,CLIC
1949-01-20,0,CLIC
1949-01-21,0,CLIC
1949-01-22,0,CLIC
1949-01-23,0,CLIC
1949-01-24,0,CLIC
1949-01-25,0,CLIC
1949-01-26,0,CLIC
1949-01-27,0,CLIC
1949-01-28,0,CLIC
1949-01-29,9.5,CLIC
1949-01-30,0,CLIC
1949-01-31,0,CLIC
1949-02-01,0,CLIC
1949-02-02,0,CLIC
1949-02-03,1.5,CLIC
1949-02-04,0.2,CLIC
1949-02-05,0,CLIC
1949-02-06,0,CLIC
1949-02-07,0,CLIC
1949-02-08,0,CLIC
1949-02-09,0,CLIC
1949-02-10,0,CLIC
1949-02-11,0,CLIC
1949-02-12,0,CLIC
1949-02-13,0,CLIC
1949-02-14,0,CLIC
1949-02-15,0,CLIC
1949-02-16,5.5,CLIC
1949-02-17,0,CLIC
1949-02-18,1.3,CLIC
1949-02-19,0,CLIC
1949-02-20,0,CLIC
1949-02-21,0,CLIC
1949-02-22,0,CLIC
1949-02-23,8,CLIC
1949-02-24,2.5,CLIC
1949-02-25,0,CLIC
1949-02-26,0,CLIC
1949-02-27,0,CLIC
1949-02-28,0,CLIC
1949-03-01,0,CLIC
1949-03-02,0,CLIC
1949-03-03,0,CLIC
1949-03-04,0,CLIC
1949-03-05,0,CLIC
1949-03-06,0,CLIC
1949-03-07,0,CLIC
1949-03-08,0,CLIC
1949-03-09,0,CLIC
1949-03-10,0,CLIC
1949-03-11,0,CLIC
1949-03-12,0,CLIC
1949-03-13,0,CLIC
1949-03-14,0,CLIC
1949-03-15,0,CLIC
1949-03-16,0,CLIC
1949-03-17,0,CLIC
1949-03-18,0.7,CLIC
1949-03-19,0,CLIC
1949-03-20,0,CLIC
1949-03-21,0,CLIC
1949-03-22,0,CLIC
1949-03-23,0,CLIC
1949-03-24,0,CLIC
1949-03-25,0,CLIC
1949-03-26,0,CLIC
1949-03-27,0,CLIC
1949-03-28,0,CLIC
1949-03-29,0,CLIC
1949-03-30,0,CLIC
1949-03-31,0,CLIC
1949-04-01,0,CLIC
1949-04-02,0,CLIC
1949-04-03,0,CLIC
1949-04-04,0,CLIC
1949-04-05,0,CLIC
1949-04-06,0,CLIC
1949-04-07,0,CLIC
1949-04-08,0,CLIC
1949-04-09,0,CLIC
1949-04-10,0,CLIC
1949-04-11,0,CLIC
1949-04-12,0,CLIC
1949-04-13,0,CLIC
1949-04-14,0,CLIC
1949-04-15,0,CLIC
1949-04-16,0,CLIC
1949-04-17,0,CLIC
1949-04-18,0,CLIC
1949-04-19,0,CLIC
1949-04-20,0,CLIC
1949-04-21,4.4,CLIC
1949-04-22,5.5,CLIC
1949-04-23,33,CLIC
1949-04-24,0,CLIC
1949-04-25,0,CLIC
1949-04-26,0,CLIC
1949-04-27,0,CLIC
1949-04-28,7.5,CLIC
1949-04-29,0,CLIC
1949-04-30,0,CLIC
1949-05-01,0,CLIC
1949-05-02,0,CLIC
1949-05-03,0,CLIC
1949-05-04,0.3,CLIC
1949-05-05,0,CLIC
1949-05-06,0,CLIC
1949-05-07,0,CLIC
1949-05-08,0,CLIC
1949-05-09,0,CLIC
1949-05-10,0.7,CLIC
1949-05-11,0.6,CLIC
1949-05-12,0,CLIC
1949-05-13,0,CLIC
1949-05-14,0,CLIC
1949-05-15,0,CLIC
1949-05-16,0,CLIC
1949-05-17,0,CLIC
1949-05-18,0.6,CLIC
1949-05-19,0,CLIC
1949-05-20,0,CLIC
1949-05-21,0,CLIC
1949-05-22,0,CLIC
1949-05-23,0,CLIC
1949-05-24,0,CLIC
1949-05-25,0,CLIC
1949-05-26,0,CLIC
1949-05-27,0,CLIC
1949-05-28,1.5,CLIC
1949-05-29,0,CLIC
1949-05-30,0,CLIC
1949-05-31,0,CLIC
1949-06-01,0,CLIC
1949-06-02,0,CLIC
1949-06-03,0,CLIC
1949-06-04,0,CLIC
1949-06-05,0,CLIC
1949-06-06,0,CLIC
1949-06-07,0,CLIC
1949-06-08,0.2,CLIC
1949-06-09,0,CLIC
1949-06-10,0,CLIC
1949-06-11,1.8,CLIC
1949-06-12,12.5,CLIC
1949-06-13,0,CLIC
1949-06-14,0,CLIC
1949-06-15,27.3,CLIC
1949-06-16,0,CLIC
1949-06-17,0,CLIC
1949-06-18,6.7,CLIC
1949-06-19,0,CLIC
1949-06-20,0,CLIC
1949-06-21,0,CLIC
1949-06-22,0,CLIC
1949-06-23,0,CLIC
1949-06-24,0.4,CLIC
1949-06-25,12,CLIC
1949-06-26,0,CLIC
1949-06-27,5.4,CLIC
1949-06-28,0,CLIC
1949-06-29,0,CLIC
1949-06-30,0,CLIC
1949-07-01,0,CLIC
1949-07-02,1.8,CLIC
1949-07-03,1,CLIC
1949-07-04,1.2,CLIC
1949-07-05,0.6,CLIC
1949-07-06,0,CLIC
1949-07-07,0,CLIC
1949-07-08,0,CLIC
1949-07-09,8,CLIC
1949-07-10,0,CLIC
1949-07-11,0,CLIC
1949-07-12,0,CLIC
1949-07-13,0,CLIC
1949-07-14,0,CLIC
1949-07-15,4.6,CLIC
1949-07-16,0,CLIC
1949-07-17,0,CLIC
1949-07-18,0,CLIC
1949-07-19,0,CLIC
1949-07-20,0,CLIC
1949-07-21,0,CLIC
1949-07-22,11.2,CLIC
1949-07-23,0,CLIC
1949-07-24,0,CLIC
1949-07-25,0.3,CLIC
1949-07-26,0.3,CLIC
1949-07-27,0.2,CLIC
1949-07-28,0,CLIC
1949-07-29,0,CLIC
1949-07-30,0,CLIC
1949-07-31,0,CLIC
1949-08-01,0,CLIC
1949-08-02,0,CLIC
1949-08-03,0,CLIC
1949-08-04,0,CLIC
1949-08-05,0,CLIC
1949-08-06,1,CLIC
1949-08-07,0.5,CLIC
1949-08-08,0.3,CLIC
1949-08-09,0,CLIC
1949-08-10,0,CLIC
1949-08-11,0,CLIC
1949-08-12,0,CLIC
1949-08-13,0,CLIC
1949-08-14,0,CLIC
1949-08-15,0,CLIC
1949-08-16,0,CLIC
1949-08-17,0,CLIC
1949-08-18,4,CLIC
1949-08-19,2.1,CLIC
1949-08-20,1.3,CLIC
1949-08-21,0,CLIC
1949-08-22,0,CLIC
1949-08-23,0,CLIC
1949-08-24,0,CLIC
1949-08-25,0,CLIC
1949-08-26,0,CLIC
1949-08-27,1,CLIC
1949-08-28,0,CLIC
1949-08-29,0,CLIC
1949-08-30,1,CLIC
1949-08-31,0,CLIC
1949-09-01,14,CLIC
1949-09-02,0,CLIC
1949-09-03,0,CLIC
1949-09-04,0,CLIC
1949-09-05,0,CLIC
1949-09-06,0,CLIC
1949-09-07,0,CLIC
1949-09-08,0,CLIC
1949-09-09,7.8,CLIC
1949-09-10,0,CLIC
1949-09-11,0,CLIC
1949-09-12,0,CLIC
1949-09-13,0,CLIC
1949-09-14,0,CLIC
1949-09-15,0,CLIC
1949-09-16,1,CLIC
1949-09-17,0,CLIC
1949-09-18,0,CLIC
1949-09-19,23,CLIC
1949-09-20,20.4,CLIC
1949-09-21,3.8,CLIC
1949-09-22,5.5,CLIC
1949-09-23,4.6,CLIC
1949-09-24,1.5,CLIC
1949-09-25,0,CLIC
1949-09-26,1.1,CLIC
1949-09-27,32.5,CLIC
1949-09-28,0,CLIC
1949-09-29,0,CLIC
1949-09-30,0,CLIC
1949-10-01,0,CLIC
1949-10-02,0,CLIC
1949-10-03,0,CLIC
1949-10-04,0,CLIC
1949-10-05,0,CLIC
1949-10-06,0,CLIC
1949-10-07,0,CLIC
1949-10-08,0,CLIC
1949-10-09,0,CLIC
1949-10-10,0,CLIC
1949-10-11,0,CLIC
1949-10-12,2,CLIC
1949-10-13,2,CLIC
1949-10-14,0,CLIC
1949-10-15,0,CLIC
1949-10-16,0,CLIC
1949-10-17,0,CLIC
1949-10-18,0,CLIC
1949-10-19,0,CLIC
1949-10-20,0,CLIC
1949-10-21,2.6,CLIC
1949-10-22,0,CLIC
1949-10-23,0,CLIC
1949-10-24,7.6,CLIC
1949-10-25,0,CLIC
1949-10-26,0,CLIC
1949-10-27,0,CLIC
1949-10-28,0.4,CLIC
