Estación: ,C19039,LAS ENRAMADAS.
1951-03-21,4.7,CLIC
1951-03-22,8.7,CLIC
1951-03-23,6.5,CLIC
1951-03-24,4.7,CLIC
1951-03-25,0.1,CLIC
1951-03-26,1.8,CLIC
1951-03-27,3.5,CLIC
1951-03-28,11.8,CLIC
1951-03-29,5.8,CLIC
1951-03-30,4.1,CLIC
1951-03-31,4.9,CLIC
1951-04-01,4.4,CLIC
1951-04-02,2.2,CLIC
1951-04-03,4.7,CLIC
1951-04-04,3.5,CLIC
1951-04-05,5.9,CLIC
1951-04-06,10.5,CLIC
1951-04-07,5.9,CLIC
1951-04-08,6.6,CLIC
1951-04-09,7.1,CLIC
1951-04-10,6.7,CLIC
1951-04-11,3.4,CLIC
1951-04-12,4.8,CLIC
1951-04-13,3.6,CLIC
1951-04-14,1.4,CLIC
1951-04-15,9.2,CLIC
1951-04-16,3.9,CLIC
1951-04-17,1.9,CLIC
1951-04-18,8.3,CLIC
1951-04-19,5.8,CLIC
1951-04-20,7,CLIC
1951-04-21,10.6,CLIC
1951-04-22,10.7,CLIC
1951-04-23,6.4,CLIC
1951-04-24,9,CLIC
1951-04-25,4.4,CLIC
1951-04-26,2.2,CLIC
1951-04-27,4,CLIC
1951-04-28,6.2,CLIC
1951-04-29,10.3,CLIC
1951-04-30,6.2,CLIC
1951-05-01,17,CLIC
1951-05-02,4.8,CLIC
1951-05-03,1.6,CLIC
1951-05-04,6.3,CLIC
1951-05-05,8.6,CLIC
1951-05-06,7.3,CLIC
1951-05-07,5.9,CLIC
1951-05-08,5.3,CLIC
1951-05-09,8.2,CLIC
1951-05-10,4,CLIC
1951-05-11,8,CLIC
1951-05-12,1.9,CLIC
1951-05-13,5.5,CLIC
1951-05-14,7.3,CLIC
1951-05-15,7.2,CLIC
1951-05-16,8.2,CLIC
1951-05-17,7.6,CLIC
1951-05-18,3.4,CLIC
1951-05-19,5.1,CLIC
1951-05-20,3.8,CLIC
1951-05-21,8,CLIC
1951-05-22,8.8,CLIC
1951-05-23,4.5,CLIC
1951-05-24,6.6,CLIC
1951-05-25,9.6,CLIC
1951-05-26,8,CLIC
1951-05-27,9.2,CLIC
1951-05-28,10.1,CLIC
1951-05-29,10.4,CLIC
1951-05-30,8.3,CLIC
1951-05-31,8.3,CLIC
1951-06-01,10.5,CLIC
1951-06-02,8.3,CLIC
1951-06-03,5.5,CLIC
1951-06-04,3.4,CLIC
1951-06-05,6.1,CLIC
1951-06-06,8.3,CLIC
1951-06-07,7.6,CLIC
1951-06-08,9.7,CLIC
1951-06-09,9.2,CLIC
1951-06-10,8.9,CLIC
1951-06-11,7.6,CLIC
1951-06-12,8.6,CLIC
1951-06-13,8.4,CLIC
1951-06-14,8.3,CLIC
1951-06-15,8.7,CLIC
1951-06-16,8.1,CLIC
1951-06-17,9.6,CLIC
1951-06-18,10.8,CLIC
1951-06-19,11.7,CLIC
1951-06-20,11.7,CLIC
1951-06-21,9.8,CLIC
1951-06-22,12.5,CLIC
1951-06-23,8.3,CLIC
1951-06-24,8.5,CLIC
1951-06-25,6,CLIC
1951-06-26,5.7,CLIC
1951-06-27,8,CLIC
1951-06-28,8,CLIC
1951-06-29,8.2,CLIC
1951-06-30,8.5,CLIC
1951-07-01,10.1,CLIC
1951-07-02,9.9,CLIC
1951-07-03,7.4,CLIC
1951-07-04,5,CLIC
1951-07-05,11.2,CLIC
1951-07-06,9,CLIC
1951-07-07,9.5,CLIC
1951-07-08,10.3,CLIC
1951-07-09,7.6,CLIC
1951-07-10,10.1,CLIC
1951-07-11,10.9,CLIC
1951-07-12,7,CLIC
1951-07-13,6.5,CLIC
1951-07-14,9.7,CLIC
1951-07-15,8.7,CLIC
1951-07-16,10,CLIC
1951-07-17,3.6,CLIC
1951-07-18,11.1,CLIC
1951-07-19,12.9,CLIC
1951-07-20,10.1,CLIC
1951-07-21,11.7,CLIC
1951-07-22,12.8,CLIC
1951-07-23,12.4,CLIC
1951-07-24,7.5,CLIC
1951-07-25,9,CLIC
1951-07-26,10.6,CLIC
1951-07-27,12,CLIC
1951-07-28,0.9,CLIC
1951-07-29,9.2,CLIC
1951-07-30,10.3,CLIC
1951-07-31,8.6,CLIC
1951-08-01,6.6,CLIC
1951-08-02,6.3,CLIC
1951-08-03,10,CLIC
1951-08-04,10.4,CLIC
1951-08-05,9.4,CLIC
1951-08-06,7.2,CLIC
1951-08-07,7.4,CLIC
1951-08-08,10.5,CLIC
1951-08-09,9.9,CLIC
1951-08-10,7.1,CLIC
1951-08-11,7.5,CLIC
1951-08-12,6.4,CLIC
1951-08-13,5.2,CLIC
1951-08-14,8.2,CLIC
1951-08-15,10,CLIC
1951-08-16,10.7,CLIC
1951-08-17,9.6,CLIC
1951-08-18,9.5,CLIC
1951-08-19,7.6,CLIC
1951-08-20,6.6,CLIC
1951-08-21,8,CLIC
1951-08-22,3.8,CLIC
1951-08-23,8.8,CLIC
1951-08-24,4.4,CLIC
1951-08-25,6.3,CLIC
1951-08-26,8.1,CLIC
1951-08-27,6.7,CLIC
1951-08-28,7.5,CLIC
1951-08-29,6.9,CLIC
1951-08-30,7.8,CLIC
1951-08-31,7.9,CLIC
1951-09-01,6.7,CLIC
1951-09-02,9,CLIC
1951-09-03,8.8,CLIC
1951-09-04,6.9,CLIC
1951-09-05,8.1,CLIC
1951-09-06,6.7,CLIC
1951-09-07,9.4,CLIC
1951-09-08,7.5,CLIC
1951-09-09,11.3,CLIC
1951-09-10,8.7,CLIC
1951-09-11,8,CLIC
1951-09-12,5.5,CLIC
1951-09-13,4.1,CLIC
1951-09-14,5.5,CLIC
1951-09-17,4.9,CLIC
1951-09-18,5,CLIC
1951-09-19,5.2,CLIC
1951-09-20,9.2,CLIC
1951-09-21,5.6,CLIC
1951-09-22,0.1,CLIC
1951-09-23,9.4,CLIC
1951-09-24,2.4,CLIC
1951-09-25,6.5,CLIC
1951-09-26,4.4,CLIC
1951-09-27,5.2,CLIC
1951-09-28,4.5,CLIC
1951-09-29,7.2,CLIC
1951-09-30,5.4,CLIC
1951-10-01,3.4,CLIC
1951-10-02,3.1,CLIC
1951-10-03,3.1,CLIC
1951-10-04,4,CLIC
1951-10-05,2.9,CLIC
1951-10-06,3,CLIC
1951-10-07,3,CLIC
1951-10-08,7.7,CLIC
1951-10-09,3,CLIC
1951-10-10,4.2,CLIC
1951-10-11,3.7,CLIC
1951-10-12,2.8,CLIC
1951-10-13,5.6,CLIC
1951-10-14,3.9,CLIC
1951-10-15,3.3,CLIC
1951-10-16,4,CLIC
1951-10-17,2.1,CLIC
1951-10-18,3.2,CLIC
1951-10-19,3.6,CLIC
1951-10-20,3.1,CLIC
1951-10-21,2.1,CLIC
1951-10-22,3.9,CLIC
1951-10-23,2.6,CLIC
1951-10-24,3.6,CLIC
1951-10-25,3.2,CLIC
1951-10-26,5.7,CLIC
1951-10-27,3.9,CLIC
1951-10-28,2.1,CLIC
1951-10-29,5.1,CLIC
1951-10-30,2.5,CLIC
1951-10-31,5.5,CLIC
1951-11-01,2.6,CLIC
1951-11-02,1.9,CLIC
1951-11-03,2,CLIC
1951-11-04,2.3,CLIC
1951-11-05,5,CLIC
1951-11-06,1.9,CLIC
1951-11-07,3.6,CLIC
1951-11-08,2.2,CLIC
1951-11-09,2.1,CLIC
1951-11-10,2.6,CLIC
1951-11-11,1.6,CLIC
1951-11-12,2.4,CLIC
1951-11-13,5.2,CLIC
1951-11-14,2.8,CLIC
1951-11-15,2.3,CLIC
1951-11-16,8.1,CLIC
1951-11-17,3.5,CLIC
1951-11-18,2.7,CLIC
1951-11-19,1.7,CLIC
1951-11-20,0.4,CLIC
1951-11-21,3.6,CLIC
1951-11-22,2.5,CLIC
1951-11-23,2.2,CLIC
1951-11-24,3.2,CLIC
1951-11-25,3.4,CLIC
1951-11-26,2.7,CLIC
1951-11-27,1.2,CLIC
1951-11-28,3.1,CLIC
1951-11-29,0.8,CLIC
1951-11-30,1,CLIC
1951-12-01,1.5,CLIC
1951-12-02,4.4,CLIC
1951-12-03,2.7,CLIC
1951-12-04,0.9,CLIC
1951-12-05,1.8,CLIC
1951-12-06,7.3,CLIC
1951-12-07,3.1,CLIC
1951-12-08,4.8,CLIC
1951-12-09,4,CLIC
1951-12-10,3.4,CLIC
1951-12-11,1.9,CLIC
1951-12-12,2.8,CLIC
1951-12-13,2.6,CLIC
1951-12-14,3.1,CLIC
1951-12-15,2.5,CLIC
1951-12-16,1.3,CLIC
1951-12-17,0.7,CLIC
1951-12-18,2.6,CLIC
1951-12-19,2,CLIC
1951-12-20,4.3,CLIC
1951-12-21,1.7,CLIC
1951-12-22,0.9,CLIC
1951-12-23,1.8,CLIC
1951-12-24,0.9,CLIC
1951-12-25,2.7,CLIC
1951-12-26,5.3,CLIC
1951-12-27,3.1,CLIC
1951-12-28,2.1,CLIC
1951-12-29,1.8,CLIC
1951-12-30,3.9,CLIC
1951-12-31,4.3,CLIC
1952-01-01,1.3,CLIC
1952-01-02,5.4,CLIC
1952-01-04,1.2,CLIC
1952-01-05,0.4,CLIC
1952-01-06,3.3,CLIC
1952-01-07,1.9,CLIC
1952-01-08,2.6,CLIC
1952-01-09,5.7,CLIC
1952-01-10,4.3,CLIC
1952-01-11,2.6,CLIC
1952-01-12,1.5,CLIC
1952-01-13,3.7,CLIC
1952-01-14,2.4,CLIC
1952-01-15,1.5,CLIC
1952-01-16,2.9,CLIC
1952-01-17,2.9,CLIC
1952-01-18,2.1,CLIC
1952-01-19,3.6,CLIC
1952-01-20,2,CLIC
1952-01-21,2.2,CLIC
1952-01-22,5.9,CLIC
1952-01-23,3.6,CLIC
1952-01-24,0.4,CLIC
1952-01-25,3.3,CLIC
1952-01-26,4.8,CLIC
1952-01-27,7.3,CLIC
1952-01-28,3.5,CLIC
1952-01-29,2.3,CLIC
1952-01-30,3.2,CLIC
1952-01-31,3.2,CLIC
1952-02-01,7.1,CLIC
1952-02-02,5.1,CLIC
1952-02-03,5.8,CLIC
1952-02-04,5.9,CLIC
1952-02-05,8,CLIC
1952-02-06,5.2,CLIC
1952-02-07,6.2,CLIC
1952-02-08,4.9,CLIC
1952-02-09,1.2,CLIC
1952-02-10,3.1,CLIC
1952-02-11,5.1,CLIC
1952-02-12,4.1,CLIC
1952-02-13,6.3,CLIC
1952-02-14,2.7,CLIC
1952-02-15,4.2,CLIC
1952-02-16,4.9,CLIC
1952-02-17,5,CLIC
1952-02-18,3,CLIC
1952-02-19,4,CLIC
1952-02-20,1,CLIC
1952-02-21,5.4,CLIC
1952-02-22,1.7,CLIC
1952-02-23,3.1,CLIC
1952-02-24,4.6,CLIC
1952-02-25,6.1,CLIC
1952-02-26,2.4,CLIC
1952-02-27,5.8,CLIC
1952-02-28,2.3,CLIC
1952-02-29,7.7,CLIC
1952-03-01,4.2,CLIC
1952-03-02,5.2,CLIC
1952-03-03,7.8,CLIC
1952-03-04,4.4,CLIC
1952-03-05,0.9,CLIC
1952-03-06,0.8,CLIC
1952-03-07,1.3,CLIC
1952-03-08,0.6,CLIC
1952-03-09,2,CLIC
1952-03-10,3,CLIC
1952-03-11,4.6,CLIC
1952-03-12,3.9,CLIC
1952-03-13,4.2,CLIC
1952-03-14,5,CLIC
1952-03-15,0.9,CLIC
1952-03-16,1.7,CLIC
1952-03-17,6.1,CLIC
1952-03-18,5.6,CLIC
1952-03-19,3.6,CLIC
1952-03-20,4.8,CLIC
1952-03-21,8.9,CLIC
1952-03-22,8.1,CLIC
1952-03-23,4.6,CLIC
1952-03-24,5.2,CLIC
1952-03-25,5.5,CLIC
1952-03-26,5.6,CLIC
1952-03-27,1.3,CLIC
1952-03-28,1.8,CLIC
1952-03-29,2.6,CLIC
1952-03-30,3.6,CLIC
1952-03-31,6.8,CLIC
1952-04-01,6.4,CLIC
1952-04-02,9.9,CLIC
1952-04-03,7.5,CLIC
1952-04-04,5.3,CLIC
1952-04-05,6.3,CLIC
1952-04-06,5.3,CLIC
1952-04-07,5.3,CLIC
1952-04-08,4.7,CLIC
1952-04-09,7.2,CLIC
1952-04-10,5.3,CLIC
1952-04-11,7.2,CLIC
1952-04-12,6.6,CLIC
1952-04-13,5.2,CLIC
1952-04-14,9.5,CLIC
1952-04-15,3.1,CLIC
1952-04-16,2.1,CLIC
1952-04-17,2.3,CLIC
1952-04-18,0.5,CLIC
1952-04-19,10.4,CLIC
1952-04-20,7.9,CLIC
1952-04-21,3.3,CLIC
1952-04-22,5.7,CLIC
1952-04-23,2.9,CLIC
1952-04-24,2.7,CLIC
1952-04-25,5,CLIC
1952-04-26,6.3,CLIC
1952-04-27,4,CLIC
1952-04-28,5.2,CLIC
1952-04-29,4.2,CLIC
1952-04-30,4.1,CLIC
1952-05-01,5.1,CLIC
1952-05-02,7.9,CLIC
1952-05-03,8.9,CLIC
1952-05-04,8.1,CLIC
1952-05-05,7.8,CLIC
1952-05-06,9.1,CLIC
1952-05-07,10.2,CLIC
1952-05-08,9.2,CLIC
1952-05-09,10.1,CLIC
1952-05-10,7.8,CLIC
1952-05-11,10.6,CLIC
1952-05-12,6.1,CLIC
1952-05-13,8.5,CLIC
1952-05-14,8.9,CLIC
1952-05-15,8.1,CLIC
1952-05-16,7.7,CLIC
1952-05-17,7,CLIC
1952-05-18,7.6,CLIC
1952-05-19,7.3,CLIC
1952-05-20,7.8,CLIC
1952-05-21,7.8,CLIC
1952-05-22,7.6,CLIC
1952-05-23,8.3,CLIC
1952-05-24,7.1,CLIC
1952-05-25,6.5,CLIC
1952-05-26,4.2,CLIC
1952-05-27,5.9,CLIC
1952-05-28,5.9,CLIC
1952-05-29,5.8,CLIC
1952-05-30,6.9,CLIC
1952-05-31,4.3,CLIC
1952-06-01,6.7,CLIC
1952-06-02,5.3,CLIC
1952-06-03,4.1,CLIC
1952-06-04,5.1,CLIC
1952-06-05,8.3,CLIC
1952-06-06,9.7,CLIC
1952-06-07,9,CLIC
1952-06-08,6.3,CLIC
1952-06-09,9.4,CLIC
1952-06-10,4.9,CLIC
1952-06-11,6.8,CLIC
1952-06-12,4.2,CLIC
1952-06-13,10.4,CLIC
1952-06-14,8.1,CLIC
1952-06-15,10,CLIC
1952-06-16,7.3,CLIC
1952-06-17,8.6,CLIC
1952-06-18,9.6,CLIC
1952-06-19,6.9,CLIC
1952-06-20,8.7,CLIC
1952-06-21,4.8,CLIC
1952-06-22,6.2,CLIC
1952-06-23,7.6,CLIC
1952-06-24,9.9,CLIC
1952-06-25,9.5,CLIC
1952-06-26,3.9,CLIC
1952-06-27,5.5,CLIC
1952-06-28,7.4,CLIC
1952-06-29,5.6,CLIC
1952-06-30,5.8,CLIC
1952-07-01,7.8,CLIC
1952-07-02,9.7,CLIC
1952-07-03,8.4,CLIC
1952-07-04,5.8,CLIC
1952-07-05,5,CLIC
1952-07-06,7.1,CLIC
1952-07-07,4.8,CLIC
1952-07-08,10.2,CLIC
1952-07-09,3.1,CLIC
1952-07-10,10.4,CLIC
1952-07-11,9.9,CLIC
1952-07-12,7,CLIC
1952-07-13,7.5,CLIC
1952-07-14,7.3,CLIC
1952-07-15,7.6,CLIC
1952-07-16,9.1,CLIC
1952-07-17,8.5,CLIC
1952-07-18,7.3,CLIC
1952-07-19,7.9,CLIC
1952-07-20,5.6,CLIC
1952-07-21,6.8,CLIC
1952-07-22,6.7,CLIC
1952-07-23,5.5,CLIC
1952-07-24,8.7,CLIC
1952-07-25,6.9,CLIC
1952-07-26,6.4,CLIC
1952-07-27,10.4,CLIC
1952-07-28,7.2,CLIC
1952-07-29,7.5,CLIC
1952-07-30,7.1,CLIC
1952-07-31,8.2,CLIC
1952-08-01,7.6,CLIC
1952-08-02,10.1,CLIC
1952-08-03,10.3,CLIC
1952-08-04,8.4,CLIC
1952-08-05,7.2,CLIC
1952-08-06,10.6,CLIC
1952-08-07,9.5,CLIC
1952-08-08,8.7,CLIC
1952-08-09,8.8,CLIC
1952-08-10,11,CLIC
1952-08-11,10.5,CLIC
1952-08-12,10.1,CLIC
1952-08-13,11.8,CLIC
1952-08-14,11.6,CLIC
1952-08-15,8.8,CLIC
1952-08-16,10.9,CLIC
1952-08-17,10.8,CLIC
1952-08-18,10,CLIC
1952-08-19,9.7,CLIC
1952-08-20,8.1,CLIC
1952-08-21,9.4,CLIC
1952-08-22,10.6,CLIC
1952-08-23,9.7,CLIC
1952-08-24,8.6,CLIC
1952-08-25,10.4,CLIC
1952-08-26,9.4,CLIC
1952-08-27,9.6,CLIC
1952-08-28,9.9,CLIC
1952-08-29,7.4,CLIC
1952-08-30,8.3,CLIC
1952-08-31,11.3,CLIC
1952-09-01,6.6,CLIC
1952-09-02,10.3,CLIC
1952-09-03,8.6,CLIC
1952-09-04,6,CLIC
1952-09-05,7.9,CLIC
1952-09-06,8.1,CLIC
1952-09-07,8.1,CLIC
1952-09-08,9.2,CLIC
1952-09-09,9.6,CLIC
1952-09-10,2.6,CLIC
1952-09-11,6.5,CLIC
1952-09-12,7.5,CLIC
1952-09-13,7.7,CLIC
1952-09-14,1.6,CLIC
1952-09-15,4.8,CLIC
1952-09-16,5.8,CLIC
1952-09-17,9.8,CLIC
1952-09-18,3.2,CLIC
1952-09-19,8,CLIC
1952-09-20,5.8,CLIC
1952-09-21,3.7,CLIC
1952-09-22,3.9,CLIC
1952-09-23,5.6,CLIC
1952-09-24,2.1,CLIC
1952-09-25,5,CLIC
1952-09-26,4.9,CLIC
1952-09-27,6.1,CLIC
1952-09-28,4.7,CLIC
1952-09-29,5.3,CLIC
1952-09-30,5.5,CLIC
1952-10-01,2.3,CLIC
1952-10-02,4.9,CLIC
1952-10-03,6.4,CLIC
1952-10-04,4.1,CLIC
1952-10-05,5.7,CLIC
1952-10-06,7.2,CLIC
1952-10-07,6.2,CLIC
1952-10-08,5.5,CLIC
1952-10-09,3.6,CLIC
1952-10-10,5.5,CLIC
1952-10-11,4.3,CLIC
1952-10-12,4.4,CLIC
1952-10-13,4.7,CLIC
1952-10-14,6.8,CLIC
1952-10-15,7.7,CLIC
1952-10-16,3.6,CLIC
1952-10-17,5.6,CLIC
1952-10-18,4,CLIC
1952-10-19,5.6,CLIC
1952-10-20,5.4,CLIC
1952-10-21,5,CLIC
1952-10-22,4.1,CLIC
1952-10-23,3.8,CLIC
1952-10-24,4.3,CLIC
1952-10-25,3.1,CLIC
1952-10-26,5.5,CLIC
1952-10-27,3.9,CLIC
1952-10-28,7.3,CLIC
1952-10-29,2.1,CLIC
1952-10-30,5.1,CLIC
1952-10-31,3.5,CLIC
1952-11-01,6.7,CLIC
1952-11-02,2.1,CLIC
1952-11-03,4,CLIC
1952-11-04,2.5,CLIC
1952-11-05,0.3,CLIC
1952-11-06,3.2,CLIC
1952-11-07,2.9,CLIC
1952-11-08,3.2,CLIC
1952-11-09,4.9,CLIC
1952-11-10,4.1,CLIC
1952-11-11,3.2,CLIC
1952-11-12,3,CLIC
1952-11-13,3.4,CLIC
1952-11-14,2.2,CLIC
1952-11-15,2.7,CLIC
1952-11-16,4,CLIC
1952-11-17,3,CLIC
1952-11-18,2.3,CLIC
1952-11-19,2.3,CLIC
1952-11-20,2.3,CLIC
1952-11-21,2.8,CLIC
1952-11-22,0.9,CLIC
1952-11-23,3.2,CLIC
1952-11-24,3,CLIC
1952-11-25,3.5,CLIC
1952-11-26,3.1,CLIC
1952-11-27,2.2,CLIC
1952-11-28,2.5,CLIC
1952-11-29,3,CLIC
1952-11-30,2.2,CLIC
1952-12-01,7.2,CLIC
1952-12-02,1.7,CLIC
1952-12-03,6.4,CLIC
1952-12-04,0.7,CLIC
1952-12-05,4.9,CLIC
1952-12-06,0.6,CLIC
1952-12-07,0.9,CLIC
1952-12-08,3.2,CLIC
1952-12-09,4.6,CLIC
1952-12-10,4.3,CLIC
1952-12-11,2.8,CLIC
1952-12-12,2.6,CLIC
1952-12-13,1.9,CLIC
1952-12-14,3.4,CLIC
1952-12-15,0.7,CLIC
1952-12-16,1.2,CLIC
1952-12-17,1.7,CLIC
1952-12-18,1.5,CLIC
1952-12-19,2.7,CLIC
1952-12-20,3.4,CLIC
1952-12-21,2.8,CLIC
1952-12-22,4.7,CLIC
1952-12-23,2.2,CLIC
1952-12-24,0.4,CLIC
1952-12-25,2.5,CLIC
1952-12-26,0.8,CLIC
1952-12-27,0.8,CLIC
1952-12-28,0.5,CLIC
1952-12-29,1.2,CLIC
1952-12-30,7.1,CLIC
1952-12-31,3.5,CLIC
1953-01-01,5.4,CLIC
1953-01-02,2.1,CLIC
1953-01-03,1.3,CLIC
1953-01-04,4.9,CLIC
1953-01-05,3.4,CLIC
1953-01-06,3.6,CLIC
1953-01-07,3.3,CLIC
1953-01-08,8.3,CLIC
1953-01-09,5.3,CLIC
1953-01-10,4.8,CLIC
1953-01-11,3.5,CLIC
1953-01-12,3.1,CLIC
1953-01-13,3.2,CLIC
1953-01-14,5.4,CLIC
1953-01-15,3,CLIC
1953-01-16,1.3,CLIC
1953-01-17,1.8,CLIC
1953-01-18,5.4,CLIC
1953-01-19,5.5,CLIC
1953-01-20,6.8,CLIC
1953-01-21,1.7,CLIC
1953-01-22,5.3,CLIC
1953-01-23,6.2,CLIC
1953-01-24,4.4,CLIC
1953-01-25,5.1,CLIC
1953-01-26,3.7,CLIC
1953-01-27,3.2,CLIC
1953-01-28,5.8,CLIC
1953-01-29,2.3,CLIC
1953-01-30,4,CLIC
1953-01-31,3.8,CLIC
1953-02-01,4.4,CLIC
1953-02-02,5.1,CLIC
1953-02-03,10.6,CLIC
1953-02-04,0.2,CLIC
1953-02-05,6,CLIC
1953-02-06,5.2,CLIC
1953-02-07,7.1,CLIC
1953-02-08,2.8,CLIC
1953-02-09,5.4,CLIC
1953-02-10,3.7,CLIC
1953-02-11,4.4,CLIC
1953-02-12,2.5,CLIC
1953-02-13,4.4,CLIC
1953-02-14,2.1,CLIC
1953-02-15,3,CLIC
1953-02-16,4,CLIC
1953-02-17,4,CLIC
1953-02-18,4,CLIC
1953-02-19,5.5,CLIC
1953-02-20,7.5,CLIC
1953-02-21,6.4,CLIC
1953-02-22,3.3,CLIC
1953-02-23,0.5,CLIC
1953-02-24,0.2,CLIC
1953-02-25,0.2,CLIC
1953-02-26,3.7,CLIC
1953-02-27,2.8,CLIC
1953-02-28,4.4,CLIC
1953-03-01,6.8,CLIC
1953-03-02,4.4,CLIC
1953-03-03,6.6,CLIC
1953-03-04,3.6,CLIC
1953-03-05,3.9,CLIC
1953-03-06,5.6,CLIC
1953-03-07,6.8,CLIC
1953-03-08,5.2,CLIC
1953-03-09,5.4,CLIC
1953-03-10,4.3,CLIC
1953-03-11,5.3,CLIC
1953-03-12,3.5,CLIC
1953-03-13,6.3,CLIC
1953-03-14,6.4,CLIC
1953-03-15,5.8,CLIC
1953-03-16,2.3,CLIC
1953-03-17,5.7,CLIC
1953-03-18,1.2,CLIC
1953-03-19,3.8,CLIC
1953-03-20,5.7,CLIC
1953-03-21,9,CLIC
1953-03-22,9.2,CLIC
1953-03-23,6.7,CLIC
1953-03-24,7,CLIC
1953-03-25,5.6,CLIC
1953-03-26,5.2,CLIC
1953-03-27,2.3,CLIC
1953-03-28,6.9,CLIC
1953-03-29,8.6,CLIC
1953-03-30,7.8,CLIC
1953-03-31,4.9,CLIC
1953-04-01,5.6,CLIC
