Estación: ,C19091,PABLILLO. GALEANA
1975-06-07,3.8,CLIC
1975-06-08,2,CLIC
1975-06-09,4.8,CLIC
1975-06-10,2.6,CLIC
1975-06-11,2.8,CLIC
1975-06-12,3.8,CLIC
1975-06-13,3.1,CLIC
1975-06-14,4.1,CLIC
1975-06-15,5.1,CLIC
1975-06-16,5.7,CLIC
1975-06-17,5.4,CLIC
1975-06-18,6.1,CLIC
1975-06-19,3.9,CLIC
1975-06-20,5.7,CLIC
1975-06-21,2.2,CLIC
1975-06-22,3.8,CLIC
1975-06-23,4.4,CLIC
1975-06-24,2.5,CLIC
1975-06-25,5.9,CLIC
1975-06-26,4.1,CLIC
1975-06-27,4.7,CLIC
1975-06-28,4.2,CLIC
1975-06-29,2.4,CLIC
1975-06-30,1.8,CLIC
1975-07-01,3.3,CLIC
1975-07-02,2.7,CLIC
1975-07-03,6.1,CLIC
1975-07-04,4.8,CLIC
1975-07-05,2.2,CLIC
1975-07-06,4.8,CLIC
1975-07-07,5.2,CLIC
1975-07-08,4.2,CLIC
1975-07-09,5.4,CLIC
1975-07-10,6.4,CLIC
1975-07-11,2.4,CLIC
1975-07-12,3.6,CLIC
1975-07-13,2.3,CLIC
1975-07-14,2.3,CLIC
1975-07-15,4.2,CLIC
1975-07-16,4.1,CLIC
1975-07-17,6.9,CLIC
1975-07-18,4.4,CLIC
1975-07-19,3.2,CLIC
1975-07-20,3.7,CLIC
1975-07-21,5.7,CLIC
1975-07-22,5.9,CLIC
1975-07-23,6.2,CLIC
1975-07-24,3.4,CLIC
1975-07-25,3.5,CLIC
1975-07-26,2.7,CLIC
1975-07-27,3.5,CLIC
1975-07-28,4.4,CLIC
1975-07-29,6.2,CLIC
1975-07-30,4.2,CLIC
1975-07-31,4.3,CLIC
1975-08-01,4.4,CLIC
1975-08-02,5.2,CLIC
1975-08-03,3.9,CLIC
1975-08-04,3.7,CLIC
1975-08-05,3.4,CLIC
1975-08-06,2.9,CLIC
1975-08-07,4.4,CLIC
1975-08-08,2.5,CLIC
1975-08-09,3.5,CLIC
1975-08-10,2.5,CLIC
1975-08-11,3,CLIC
1975-08-12,3.5,CLIC
1975-08-13,2.9,CLIC
1975-08-14,3.7,CLIC
1975-08-15,3.7,CLIC
1975-08-16,2.4,CLIC
1975-08-17,3.8,CLIC
1975-08-18,3.8,CLIC
1975-08-19,4,CLIC
1975-08-20,3.8,CLIC
1975-08-21,2.8,CLIC
1975-08-22,1.7,CLIC
1975-08-23,2.4,CLIC
1975-08-24,3.7,CLIC
1975-08-25,2.7,CLIC
1975-08-26,3.5,CLIC
1975-08-27,5.8,CLIC
1975-08-28,2.9,CLIC
1975-08-29,3.5,CLIC
1975-08-30,4.2,CLIC
1975-08-31,1.8,CLIC
1975-09-01,2.1,CLIC
1975-09-02,3.8,CLIC
1975-09-03,2.3,CLIC
1975-09-04,5.1,CLIC
1975-09-05,2.2,CLIC
1975-09-06,2.8,CLIC
1975-09-07,2.9,CLIC
1975-09-08,2.7,CLIC
1975-09-09,2.7,CLIC
1975-09-10,2.8,CLIC
1975-09-11,2.3,CLIC
1975-09-12,2.6,CLIC
1975-09-13,2.8,CLIC
1975-09-14,3.9,CLIC
1975-09-15,4.6,CLIC
1975-09-16,4.7,CLIC
1975-09-17,5.3,CLIC
1975-09-18,5.3,CLIC
1975-09-19,4.6,CLIC
1975-09-20,6.7,CLIC
1975-09-21,2.8,CLIC
1975-09-22,2.9,CLIC
1975-09-23,1.8,CLIC
1975-09-24,1.2,CLIC
1975-09-25,2.9,CLIC
1975-09-26,3.2,CLIC
1975-09-27,4.6,CLIC
1975-09-28,4.6,CLIC
1975-09-29,3.5,CLIC
1975-09-30,3,CLIC
1975-10-01,5.2,CLIC
1975-10-02,2.1,CLIC
1975-10-03,3.7,CLIC
1975-10-04,5.4,CLIC
1975-10-05,3.8,CLIC
1975-10-06,5.2,CLIC
1975-10-07,4.3,CLIC
1975-10-08,4.4,CLIC
1975-10-09,4.1,CLIC
1975-10-10,5.5,CLIC
1975-10-11,2.7,CLIC
1975-10-12,3.4,CLIC
1975-10-13,4.1,CLIC
1975-10-14,4.9,CLIC
1975-10-15,5.1,CLIC
1975-10-16,2.1,CLIC
1975-10-17,6.7,CLIC
1975-10-18,5.3,CLIC
1975-10-19,4,CLIC
1975-10-20,4.2,CLIC
1975-10-21,4.4,CLIC
1975-10-22,4.2,CLIC
1975-10-23,5.9,CLIC
1975-10-24,6.4,CLIC
1975-10-25,5.3,CLIC
1975-10-26,3.3,CLIC
1975-10-27,5.8,CLIC
1975-10-28,5.2,CLIC
1975-10-29,3.4,CLIC
1975-10-30,2.5,CLIC
1975-10-31,3.3,CLIC
1975-11-01,2,CLIC
1975-11-02,3.3,CLIC
1975-11-03,4.1,CLIC
1975-11-04,5.2,CLIC
1975-11-05,4.3,CLIC
1975-11-06,2.3,CLIC
1975-11-07,4.5,CLIC
1975-11-08,4.3,CLIC
1975-11-09,4.9,CLIC
1975-11-10,5.5,CLIC
1975-11-11,3.3,CLIC
1975-11-12,4.2,CLIC
1975-11-13,2.5,CLIC
1975-11-14,1.3,CLIC
1975-11-15,0.8,CLIC
1975-11-16,0.9,CLIC
1975-11-17,1.1,CLIC
1975-11-18,1.6,CLIC
1975-11-19,4.7,CLIC
1975-11-20,2.6,CLIC
1975-11-21,3.8,CLIC
1975-11-22,3.5,CLIC
1975-11-23,3.6,CLIC
1975-11-24,2.1,CLIC
1975-11-25,5.9,CLIC
1975-11-26,6.2,CLIC
1975-11-27,4.9,CLIC
1975-11-28,5.9,CLIC
1975-11-29,8.8,CLIC
1975-11-30,3.1,CLIC
1975-12-01,2.8,CLIC
1975-12-02,3.7,CLIC
1975-12-03,1.2,CLIC
1975-12-04,1.3,CLIC
1975-12-05,0.9,CLIC
1975-12-06,0.3,CLIC
1975-12-07,1.6,CLIC
1975-12-08,0.6,CLIC
1975-12-09,3.4,CLIC
1975-12-10,3,CLIC
1975-12-11,1.8,CLIC
1975-12-12,2.9,CLIC
1975-12-13,4.8,CLIC
1975-12-14,4.9,CLIC
1975-12-15,2.4,CLIC
1975-12-16,3.2,CLIC
1975-12-17,2.1,CLIC
1975-12-18,1.2,CLIC
1975-12-19,2.8,CLIC
1975-12-20,2.9,CLIC
1975-12-21,2.3,CLIC
1975-12-22,4.3,CLIC
1975-12-23,7.1,CLIC
1975-12-24,3.9,CLIC
1975-12-25,0.6,CLIC
1975-12-26,3.1,CLIC
1975-12-27,4.6,CLIC
1975-12-28,4.2,CLIC
1975-12-29,3.2,CLIC
1975-12-30,2.3,CLIC
1975-12-31,3,CLIC
1976-01-01,6.5,CLIC
1976-01-02,4.9,CLIC
1976-01-03,0.9,CLIC
1976-01-04,0.2,CLIC
1976-01-05,2.2,CLIC
1976-01-06,4.3,CLIC
1976-01-07,2.1,CLIC
1976-01-08,1.7,CLIC
1976-01-09,2.9,CLIC
1976-01-10,4.3,CLIC
1976-01-11,4.5,CLIC
1976-01-12,3.1,CLIC
1976-01-13,4.9,CLIC
1976-01-14,2.2,CLIC
1976-01-15,1,CLIC
1976-01-16,3.5,CLIC
1976-01-17,1.6,CLIC
1976-01-18,3.1,CLIC
1976-01-19,3.4,CLIC
1976-01-20,2.5,CLIC
1976-01-21,1.7,CLIC
1976-01-22,3.4,CLIC
1976-01-23,4.3,CLIC
1976-01-24,7.5,CLIC
1976-01-25,5.2,CLIC
1976-01-26,3.2,CLIC
1976-01-27,0.4,CLIC
1976-01-28,1.4,CLIC
1976-01-29,1.6,CLIC
1976-01-30,3.8,CLIC
1976-01-31,3.7,CLIC
1976-02-01,3.8,CLIC
1976-02-02,4.4,CLIC
1976-02-03,6.5,CLIC
1976-02-04,4.8,CLIC
1976-02-05,6.6,CLIC
1976-02-06,1.2,CLIC
1976-02-07,3.7,CLIC
1976-02-08,4.7,CLIC
1976-02-09,4.7,CLIC
1976-02-10,8.3,CLIC
1976-02-11,5.1,CLIC
1976-02-12,1.5,CLIC
1976-02-13,2.7,CLIC
1976-02-14,5.5,CLIC
1976-02-15,5.2,CLIC
1976-02-16,4.3,CLIC
1976-02-17,8.9,CLIC
1976-02-18,6.9,CLIC
1976-02-19,4.7,CLIC
1976-02-20,8.8,CLIC
1976-02-21,2.5,CLIC
1976-02-22,2.8,CLIC
1976-02-23,1.9,CLIC
1976-02-24,2.8,CLIC
1976-02-25,3,CLIC
1976-02-26,4.9,CLIC
1976-02-27,2.7,CLIC
1976-02-28,3.7,CLIC
1976-02-29,5.2,CLIC
1976-04-01,4.7,CLIC
1976-04-02,9.8,CLIC
1976-04-03,4.4,CLIC
1976-04-04,8.9,CLIC
1976-04-05,4.1,CLIC
1976-04-06,1.9,CLIC
1976-04-07,4.4,CLIC
1976-04-08,6.4,CLIC
1976-04-09,2.4,CLIC
1976-04-10,6,CLIC
1976-04-11,5.9,CLIC
1976-04-12,5.4,CLIC
1976-04-13,6.6,CLIC
1976-04-14,7.8,CLIC
1976-04-15,9.2,CLIC
1976-04-16,14.6,CLIC
1976-04-17,10.1,CLIC
1976-04-18,5.6,CLIC
1976-04-19,7.2,CLIC
1976-04-20,1.3,CLIC
1976-04-21,8.1,CLIC
1976-04-22,6.6,CLIC
1976-04-23,8.9,CLIC
1976-04-24,6.1,CLIC
1976-04-25,1.4,CLIC
1976-04-26,10.6,CLIC
1976-04-27,9.2,CLIC
1976-04-28,1.4,CLIC
1976-04-29,5.8,CLIC
1976-04-30,6.2,CLIC
1976-05-01,0.3,CLIC
1976-05-02,4.9,CLIC
1976-05-03,5.8,CLIC
1976-05-04,6.5,CLIC
1976-05-05,11.3,CLIC
1976-05-06,4.1,CLIC
1976-05-07,3.7,CLIC
1976-05-08,3.5,CLIC
1976-05-09,7.5,CLIC
1976-05-10,7.9,CLIC
1976-05-11,8.8,CLIC
1976-05-12,6.7,CLIC
1976-05-13,3.4,CLIC
1976-05-14,10,CLIC
1976-05-15,12.8,CLIC
1976-05-16,7.2,CLIC
1976-05-17,3.6,CLIC
1976-05-18,2.8,CLIC
1976-05-19,2.5,CLIC
1976-05-20,0.5,CLIC
1976-05-21,7.2,CLIC
1976-05-22,8.4,CLIC
1976-05-23,3.9,CLIC
1976-05-24,8,CLIC
1976-05-25,6.6,CLIC
1976-05-26,5.9,CLIC
1976-05-27,8.3,CLIC
1976-05-28,5.8,CLIC
1976-05-29,8,CLIC
1976-05-30,5.7,CLIC
1976-05-31,6.4,CLIC
1976-06-01,2.5,CLIC
1976-06-02,6.9,CLIC
1976-06-03,6.3,CLIC
1976-06-04,5.6,CLIC
1976-06-05,6.1,CLIC
1976-06-06,6.4,CLIC
1976-06-07,6,CLIC
1976-06-08,6.1,CLIC
1976-06-09,6,CLIC
1976-06-10,6,CLIC
1976-06-11,7.5,CLIC
1976-06-12,6.9,CLIC
1976-06-13,7,CLIC
1976-06-14,6.4,CLIC
1976-06-15,7.6,CLIC
1976-06-16,5.5,CLIC
1976-06-17,7.3,CLIC
1976-06-18,5.2,CLIC
1976-06-19,7.1,CLIC
1976-06-20,6.2,CLIC
1976-06-21,5.2,CLIC
1976-06-22,8.3,CLIC
1976-06-23,4.8,CLIC
1976-06-24,8,CLIC
1976-06-25,6.8,CLIC
1976-06-26,3.7,CLIC
1976-06-27,4.4,CLIC
1976-06-28,5.2,CLIC
1976-06-29,7.9,CLIC
1976-06-30,5.7,CLIC
1976-07-01,3.5,CLIC
1976-07-02,6.1,CLIC
1976-07-03,5.9,CLIC
1976-07-04,6.7,CLIC
1976-07-05,3.7,CLIC
1976-07-07,2.2,CLIC
1976-07-08,2.1,CLIC
1976-07-09,3,CLIC
1976-07-10,3,CLIC
1976-07-11,0.4,CLIC
1976-07-12,2.1,CLIC
1976-07-13,4.9,CLIC
1976-07-14,2.2,CLIC
1976-07-15,1.9,CLIC
1976-07-16,4,CLIC
1976-07-18,2.2,CLIC
1976-07-19,3.9,CLIC
1976-07-20,3.2,CLIC
1976-07-21,2.5,CLIC
1976-07-22,1.3,CLIC
1976-07-23,3.6,CLIC
1976-07-24,3.5,CLIC
1976-07-25,3.6,CLIC
1976-07-26,4.4,CLIC
1976-07-27,4.6,CLIC
1976-07-28,4.1,CLIC
1976-07-29,6.2,CLIC
1976-07-30,7.2,CLIC
1976-07-31,5.4,CLIC
1976-08-01,6.8,CLIC
1976-08-02,5.5,CLIC
1976-08-03,6.3,CLIC
1976-08-04,4.5,CLIC
1976-08-05,6.7,CLIC
1976-08-06,5.1,CLIC
1976-08-07,6.5,CLIC
1976-08-08,6.1,CLIC
1976-08-09,5.8,CLIC
1976-08-10,6.1,CLIC
1976-08-11,6.2,CLIC
1976-08-12,1.3,CLIC
1976-08-13,3.6,CLIC
1976-08-14,4.3,CLIC
1976-08-15,5.7,CLIC
1976-08-17,2.1,CLIC
1976-08-21,1.1,CLIC
1976-08-22,1.3,CLIC
1976-08-23,1.9,CLIC
1976-08-24,4.1,CLIC
1976-08-25,2.3,CLIC
1976-08-26,3.8,CLIC
1976-08-27,6.9,CLIC
1976-08-28,5.1,CLIC
1976-08-29,1.9,CLIC
1976-08-30,2.2,CLIC
1976-08-31,3.4,CLIC
1976-09-01,3.1,CLIC
1976-09-02,3.5,CLIC
1976-09-03,5.4,CLIC
1976-09-04,3.5,CLIC
1976-09-05,4.6,CLIC
1976-09-06,4.1,CLIC
1976-09-07,5,CLIC
1976-09-08,5.4,CLIC
1976-09-09,6.4,CLIC
1976-09-10,2.1,CLIC
1976-09-11,5,CLIC
1976-09-12,3.7,CLIC
1976-09-13,0.6,CLIC
1976-09-14,3.5,CLIC
1976-09-15,3.2,CLIC
1976-09-16,1.2,CLIC
1976-09-17,2.8,CLIC
1976-09-18,3,CLIC
1976-09-20,3,CLIC
1976-09-21,1.8,CLIC
1976-09-22,1.2,CLIC
1976-09-23,2.5,CLIC
1976-09-24,0.3,CLIC
1976-09-25,2.5,CLIC
1976-09-26,3.6,CLIC
1976-09-27,6.1,CLIC
1976-09-28,4.8,CLIC
1976-09-29,3,CLIC
1976-09-30,3,CLIC
1976-10-02,3.7,CLIC
1976-10-03,2.5,CLIC
1976-10-04,3,CLIC
1976-10-05,1.7,CLIC
1976-10-06,2.6,CLIC
1976-10-07,1.4,CLIC
1976-10-08,2.9,CLIC
1976-10-09,1.3,CLIC
1976-10-10,2.6,CLIC
1976-10-11,3.1,CLIC
1976-10-12,4.2,CLIC
1976-10-13,4.4,CLIC
1976-10-14,2.4,CLIC
1976-10-15,3.1,CLIC
1976-10-16,2.4,CLIC
1976-10-17,3.1,CLIC
1976-10-18,2.2,CLIC
1976-10-19,3.4,CLIC
1976-10-20,4.3,CLIC
1976-10-21,6,CLIC
1976-10-22,5.4,CLIC
1976-10-23,4.2,CLIC
1976-10-24,3.5,CLIC
1976-10-25,4,CLIC
1976-10-26,3.1,CLIC
1976-10-27,2.2,CLIC
1976-10-28,1.2,CLIC
1976-10-29,4.4,CLIC
1976-10-30,4.1,CLIC
1976-10-31,3.6,CLIC
1976-11-01,2.1,CLIC
1976-11-02,2.8,CLIC
1976-11-03,2.9,CLIC
1976-11-04,2.2,CLIC
1976-11-05,0.3,CLIC
1976-11-06,2.5,CLIC
1976-11-07,1,CLIC
1976-11-08,1,CLIC
1976-11-09,1.4,CLIC
1976-11-10,0.8,CLIC
1976-11-11,1.1,CLIC
1976-11-12,2.6,CLIC
1976-11-13,2.2,CLIC
1976-11-14,4.4,CLIC
1976-11-15,4.8,CLIC
1976-11-16,1.9,CLIC
1976-11-17,1.1,CLIC
1976-11-18,2.5,CLIC
1976-11-19,2,CLIC
1976-11-20,2.7,CLIC
1976-11-21,2.5,CLIC
1976-11-22,0.3,CLIC
1976-11-23,1.9,CLIC
1976-11-24,0.3,CLIC
1976-11-25,2.8,CLIC
1976-11-26,3.6,CLIC
1976-11-27,0.5,CLIC
1976-11-28,0.8,CLIC
1976-11-29,1.4,CLIC
1976-11-30,1,CLIC
1976-12-01,1,CLIC
1976-12-02,3.7,CLIC
1976-12-03,1.3,CLIC
1976-12-04,3.5,CLIC
1976-12-05,2.2,CLIC
1976-12-06,2.8,CLIC
1976-12-07,5.6,CLIC
1976-12-08,3.5,CLIC
1976-12-09,3.7,CLIC
1976-12-10,2.3,CLIC
1976-12-11,3.2,CLIC
1976-12-12,2,CLIC
1976-12-13,3.1,CLIC
1976-12-14,3.8,CLIC
1976-12-15,4.2,CLIC
1976-12-16,3.1,CLIC
1976-12-17,2.3,CLIC
1976-12-18,2.1,CLIC
1976-12-19,2.3,CLIC
1976-12-20,0.4,CLIC
1976-12-21,1.7,CLIC
1976-12-22,2.2,CLIC
1976-12-23,1.3,CLIC
1976-12-24,3.7,CLIC
1976-12-25,2.9,CLIC
1976-12-26,3.4,CLIC
1976-12-27,2.8,CLIC
1976-12-28,2.1,CLIC
1976-12-29,2.3,CLIC
1976-12-30,3.6,CLIC
1976-12-31,3.5,CLIC
1977-01-01,1.5,CLIC
1977-01-02,3.7,CLIC
1977-01-03,6.2,CLIC
1977-01-04,3.8,CLIC
1977-01-05,6.8,CLIC
1977-01-06,1.4,CLIC
1977-01-07,4.4,CLIC
1977-01-08,5.9,CLIC
1977-01-09,6.7,CLIC
1977-01-10,3,CLIC
1977-01-11,3,CLIC
1977-01-12,4.1,CLIC
1977-01-13,0.6,CLIC
1977-01-14,2.6,CLIC
1977-01-15,4.2,CLIC
1977-01-16,3.7,CLIC
1977-01-17,1.9,CLIC
1977-01-18,1.8,CLIC
1977-01-19,3.7,CLIC
1977-01-20,3.6,CLIC
1977-01-21,1.7,CLIC
1977-01-22,1.3,CLIC
1977-01-23,3.1,CLIC
1977-01-24,2.1,CLIC
1977-01-25,2.6,CLIC
1977-01-26,3.2,CLIC
1977-01-27,2.2,CLIC
1977-01-28,1.6,CLIC
1977-01-29,3.4,CLIC
1977-01-30,1.9,CLIC
1977-01-31,1.1,CLIC
1977-02-01,1,CLIC
1977-02-02,1.8,CLIC
1977-02-03,1.1,CLIC
1977-02-04,1.3,CLIC
1977-02-05,0.7,CLIC
1977-02-06,1,CLIC
1977-02-07,2.1,CLIC
1977-02-08,2,CLIC
1977-02-09,1.8,CLIC
1977-02-10,5.4,CLIC
1977-02-11,7.1,CLIC
1977-02-12,1,CLIC
1977-02-13,1.3,CLIC
1977-02-14,2.9,CLIC
1977-02-15,2.4,CLIC
1977-02-16,3.2,CLIC
1977-02-17,4.6,CLIC
1977-02-18,5.2,CLIC
1977-02-19,6.5,CLIC
1977-02-20,2.4,CLIC
1977-02-21,6.7,CLIC
1977-02-22,8.3,CLIC
1977-02-23,9,CLIC
1977-02-24,8.2,CLIC
1977-02-25,2.9,CLIC
1977-02-26,3.1,CLIC
1977-02-27,2.3,CLIC
1977-02-28,2.2,CLIC
1977-03-01,7.7,CLIC
1977-03-02,10.4,CLIC
1977-03-03,8.4,CLIC
1977-03-04,6.1,CLIC
1977-03-05,6.1,CLIC
1977-03-06,2.3,CLIC
1977-03-07,2.3,CLIC
1977-03-08,6.6,CLIC
1977-03-09,5.2,CLIC
1977-03-10,13.1,CLIC
1977-03-11,9.8,CLIC
1977-03-12,7.2,CLIC
1977-03-13,9.6,CLIC
1977-03-14,9.4,CLIC
1977-03-15,8.2,CLIC
1977-03-16,9.1,CLIC
1977-03-17,4.2,CLIC
1977-03-18,5.2,CLIC
1977-03-19,3.3,CLIC
1977-03-20,5.2,CLIC
1977-03-21,5.7,CLIC
1977-03-22,3.2,CLIC
1977-03-23,4.9,CLIC
1977-03-24,5.4,CLIC
1977-03-25,6.6,CLIC
1977-03-26,12.8,CLIC
1977-03-27,7.3,CLIC
1977-03-28,15.1,CLIC
1977-03-29,10.8,CLIC
1977-03-30,6.6,CLIC
1977-03-31,4.7,CLIC
1977-04-01,6.9,CLIC
1977-04-02,13.9,CLIC
1977-04-03,15.6,CLIC
1977-04-04,9.1,CLIC
1977-04-05,6.1,CLIC
1977-04-06,5.3,CLIC
1977-04-07,6.4,CLIC
1977-04-08,3.2,CLIC
1977-04-09,6.9,CLIC
1977-04-10,2.5,CLIC
1977-04-11,3.5,CLIC
1977-04-12,5.3,CLIC
1977-04-13,2.3,CLIC
1977-04-14,4.4,CLIC
1977-04-15,9.1,CLIC
1977-04-16,7.2,CLIC
1977-04-17,6.5,CLIC
1977-04-18,2.4,CLIC
1977-04-19,5.4,CLIC
1977-04-20,5.2,CLIC
1977-04-21,3.8,CLIC
1977-04-22,5.7,CLIC
1977-04-23,4.6,CLIC
1977-04-24,2,CLIC
1977-04-25,2.3,CLIC
1977-04-26,6.6,CLIC
1977-04-27,3.7,CLIC
1977-04-28,4.9,CLIC
1977-04-29,3,CLIC
1977-04-30,6.2,CLIC
1977-06-01,8.8,CLIC
1977-06-02,6.1,CLIC
1977-06-03,6,CLIC
1977-06-04,7.6,CLIC
1977-06-05,5.8,CLIC
1977-06-06,6.1,CLIC
1977-06-07,3.8,CLIC
1977-06-08,7.5,CLIC
1977-06-09,6.7,CLIC
1977-06-10,3.7,CLIC
1977-06-11,8.1,CLIC
1977-06-12,6.1,CLIC
1977-06-13,7.4,CLIC
1977-06-14,4.3,CLIC
1977-06-15,5.6,CLIC
1977-06-16,2.6,CLIC
1977-06-17,5.2,CLIC
1977-06-18,5.6,CLIC
1977-06-19,7.4,CLIC
1977-06-20,3.8,CLIC
1977-06-21,4.9,CLIC
1977-06-22,3.3,CLIC
1977-06-23,2.2,CLIC
1977-06-24,6.5,CLIC
1977-06-25,6.4,CLIC
1977-06-26,8.1,CLIC
1977-06-27,8.1,CLIC
1977-06-28,5.4,CLIC
1977-06-29,4.7,CLIC
1977-06-30,5.5,CLIC
1977-07-01,4.8,CLIC
1977-07-02,5.6,CLIC
1977-07-03,5.8,CLIC
1977-07-04,7.8,CLIC
1977-07-05,4.4,CLIC
1977-07-06,3.9,CLIC
1977-07-07,4.7,CLIC
1977-07-08,5.7,CLIC
1977-07-09,8.1,CLIC
1977-07-10,6.1,CLIC
1977-07-11,5.8,CLIC
1977-07-12,5.7,CLIC
1977-07-13,6.6,CLIC
1977-07-14,5.5,CLIC
1977-07-15,2.8,CLIC
1977-07-16,7.2,CLIC
1977-07-17,5.5,CLIC
1977-07-18,3.9,CLIC
1977-07-19,3.3,CLIC
1977-07-20,5.9,CLIC
1977-07-21,6.6,CLIC
1977-07-22,4.9,CLIC
1977-07-23,7.6,CLIC
1977-07-24,6.3,CLIC
1977-07-25,8.5,CLIC
1977-07-26,7.2,CLIC
1977-07-27,7.4,CLIC
1977-07-28,5,CLIC
1977-07-29,4.7,CLIC
1977-07-30,6.5,CLIC
1977-07-31,8.3,CLIC
1977-08-01,7.8,CLIC
1977-08-02,8.2,CLIC
