Estación: ,C19067,EL RUSIO. GALEANA
1960-05-11,3.06,CLIC
1960-05-12,2.93,CLIC
1960-05-13,3.13,CLIC
1960-05-14,1.87,CLIC
1960-05-15,2.24,CLIC
1960-05-16,1.97,CLIC
1960-05-17,1.85,CLIC
1960-05-18,1.84,CLIC
1960-05-19,1.15,CLIC
1960-05-20,1.2,CLIC
1960-05-21,0.84,CLIC
1960-05-22,1.91,CLIC
1960-05-23,2.1,CLIC
1960-05-24,3.11,CLIC
1960-05-25,2.86,CLIC
1960-05-26,1.91,CLIC
1960-05-27,2.14,CLIC
1960-05-28,3.03,CLIC
1960-05-29,3.06,CLIC
1960-05-30,0.96,CLIC
1960-05-31,1.39,CLIC
1960-07-01,1.86,CLIC
1960-07-02,1.91,CLIC
1960-07-03,2.3,CLIC
1960-07-04,2.92,CLIC
1960-07-05,2.72,CLIC
1960-07-06,1.98,CLIC
1960-07-07,1.97,CLIC
1960-07-08,2.05,CLIC
1960-07-09,2.3,CLIC
1960-07-10,2.23,CLIC
1960-07-11,2.94,CLIC
1960-07-12,4.22,CLIC
1960-07-13,1.8,CLIC
1960-07-14,2.88,CLIC
1960-07-15,3.31,CLIC
1960-07-16,2.11,CLIC
1960-07-17,2.78,CLIC
1960-07-18,2.8,CLIC
1960-07-19,4.13,CLIC
1960-07-20,2.02,CLIC
1960-07-21,3.28,CLIC
1960-07-23,1.9,CLIC
1960-07-24,0.9,CLIC
1960-07-25,1.76,CLIC
1960-07-26,1.24,CLIC
1960-07-27,1,CLIC
1960-07-28,0.9,CLIC
1960-07-29,1.1,CLIC
1960-07-30,2,CLIC
1960-07-31,1.38,CLIC
1972-06-01,4.9,CLIC
1972-06-02,3.7,CLIC
1972-06-03,5,CLIC
1972-06-04,5.7,CLIC
1972-06-05,3.2,CLIC
1972-06-06,4.5,CLIC
1972-06-07,3.5,CLIC
1972-06-08,3,CLIC
1972-06-09,3.5,CLIC
1972-06-10,6.2,CLIC
1972-06-11,4.8,CLIC
1972-06-12,2.1,CLIC
1972-06-13,2.2,CLIC
1972-06-14,4.9,CLIC
1972-06-15,7,CLIC
1972-06-16,6.6,CLIC
1972-06-17,5.2,CLIC
1972-06-18,5.8,CLIC
1972-06-19,8.3,CLIC
1972-06-20,9.5,CLIC
1972-06-21,6.4,CLIC
1972-06-22,8.9,CLIC
1972-06-23,9.3,CLIC
1972-06-24,9.8,CLIC
1972-06-25,8.1,CLIC
1972-06-26,8.3,CLIC
1972-06-27,10.1,CLIC
1972-06-28,4.1,CLIC
1972-06-29,8.4,CLIC
1972-06-30,5,CLIC
1972-07-01,5.5,CLIC
1972-07-02,4.9,CLIC
1972-07-03,2.9,CLIC
1972-07-04,7.3,CLIC
1972-07-05,7.8,CLIC
1972-07-06,8.7,CLIC
1972-07-07,12,CLIC
1972-07-08,7.1,CLIC
1972-07-09,10.7,CLIC
1972-07-10,1.2,CLIC
1972-07-11,5.5,CLIC
1972-07-12,8,CLIC
1972-07-13,5.1,CLIC
1972-07-14,3.1,CLIC
1972-07-15,3.5,CLIC
1972-07-16,5.4,CLIC
1972-07-17,5.4,CLIC
1972-07-18,0.2,CLIC
1972-07-19,8.4,CLIC
1972-07-20,5.2,CLIC
1972-07-21,5.4,CLIC
1972-07-22,4.6,CLIC
1972-07-23,6.6,CLIC
1972-07-24,6.7,CLIC
1972-07-25,5.4,CLIC
1972-07-26,5.5,CLIC
1972-07-27,7.1,CLIC
1972-07-28,7.2,CLIC
1972-07-29,6.1,CLIC
1972-07-30,9.6,CLIC
1972-07-31,9.2,CLIC
1972-08-01,6.9,CLIC
1972-08-02,9.9,CLIC
1972-08-03,3.4,CLIC
1972-08-04,4.8,CLIC
1972-08-05,7.6,CLIC
1972-08-06,8.9,CLIC
1972-08-07,5.3,CLIC
1972-08-08,3.1,CLIC
1972-08-09,6.4,CLIC
1972-08-10,8,CLIC
1972-08-11,5.3,CLIC
1972-08-12,5.6,CLIC
1972-08-13,5.1,CLIC
1972-08-14,6.2,CLIC
1972-08-15,6.5,CLIC
1972-08-16,6.5,CLIC
1972-08-17,5.3,CLIC
1972-08-18,6.3,CLIC
1972-08-19,6.1,CLIC
1972-08-20,3.4,CLIC
1972-08-21,3.5,CLIC
1972-08-22,3.5,CLIC
1972-08-23,4.4,CLIC
1972-08-24,4.3,CLIC
1972-08-25,5.8,CLIC
1972-08-26,6.3,CLIC
1972-08-27,7.6,CLIC
1972-08-28,5.7,CLIC
1972-08-29,7,CLIC
1972-08-30,6.9,CLIC
1972-08-31,7.1,CLIC
1972-09-01,5.9,CLIC
1972-09-02,5.3,CLIC
1972-09-03,4.9,CLIC
1972-09-04,2.2,CLIC
1972-09-05,3.7,CLIC
1972-09-06,5.2,CLIC
1972-09-07,8,CLIC
1972-09-08,6.6,CLIC
1972-09-09,5.2,CLIC
1972-09-10,6.1,CLIC
1972-09-11,2.7,CLIC
1972-09-12,6.8,CLIC
1972-09-13,4.3,CLIC
1972-09-14,3,CLIC
1972-09-15,5.2,CLIC
1972-09-16,4.6,CLIC
1972-09-17,1.1,CLIC
1972-09-18,7.8,CLIC
1972-09-19,3.4,CLIC
1972-09-20,5.7,CLIC
1972-09-21,4.4,CLIC
1972-09-22,3.4,CLIC
1972-09-23,4.2,CLIC
1972-09-24,5.8,CLIC
1972-09-25,4,CLIC
1972-09-26,4,CLIC
1972-09-27,4.9,CLIC
1972-09-28,6.2,CLIC
1972-09-29,3.5,CLIC
1972-09-30,4.1,CLIC
1972-10-01,6.2,CLIC
1972-10-02,3.3,CLIC
1972-10-03,8.4,CLIC
1972-10-04,7.6,CLIC
1972-10-05,4.7,CLIC
1972-10-06,4,CLIC
1972-10-07,3.5,CLIC
1972-10-08,8.1,CLIC
1972-10-09,3,CLIC
1972-10-10,3.3,CLIC
1972-10-11,4.5,CLIC
1972-10-12,4,CLIC
1972-10-13,5.1,CLIC
1972-10-14,5.8,CLIC
1972-10-15,4.8,CLIC
1972-10-16,4.2,CLIC
1972-10-17,5.7,CLIC
1972-10-18,5.3,CLIC
1972-10-19,4.2,CLIC
1972-10-20,5.2,CLIC
1972-10-21,0.4,CLIC
1972-10-22,3.7,CLIC
1972-10-23,3.9,CLIC
1972-10-24,5.8,CLIC
1972-10-25,5.1,CLIC
1972-10-26,4.8,CLIC
1972-10-27,3,CLIC
1972-10-28,9.8,CLIC
1972-10-29,3.3,CLIC
1972-10-30,5.9,CLIC
1972-10-31,4,CLIC
1972-11-01,6.2,CLIC
1972-11-02,4.3,CLIC
1972-11-03,6.1,CLIC
1972-11-04,1.7,CLIC
1972-11-05,2.5,CLIC
1972-11-06,1.8,CLIC
1972-11-07,2.2,CLIC
1972-11-08,1.8,CLIC
1972-11-09,1.5,CLIC
1972-11-10,2.5,CLIC
1972-11-11,2.4,CLIC
1972-11-12,5.7,CLIC
1972-11-13,5.6,CLIC
1972-11-14,5.8,CLIC
1972-11-15,4.7,CLIC
1972-11-16,6.1,CLIC
1972-11-17,2.3,CLIC
1972-11-18,4.2,CLIC
1972-11-19,4.6,CLIC
1972-11-20,2,CLIC
1972-11-21,3.8,CLIC
1972-11-22,0.2,CLIC
1972-11-23,0.8,CLIC
1972-11-24,1,CLIC
1972-11-25,0.8,CLIC
1972-11-26,2.4,CLIC
1972-11-27,1.8,CLIC
1972-11-28,3.3,CLIC
1972-11-29,1.6,CLIC
1972-11-30,2.3,CLIC
1972-12-01,3.8,CLIC
1972-12-02,0.9,CLIC
1972-12-03,1.3,CLIC
1972-12-04,3.5,CLIC
1972-12-05,1.8,CLIC
1972-12-06,7.8,CLIC
1972-12-07,1.6,CLIC
1972-12-08,4.4,CLIC
1972-12-09,1.8,CLIC
1972-12-10,2.3,CLIC
1972-12-11,4.3,CLIC
1972-12-12,2.6,CLIC
1972-12-13,2.9,CLIC
1972-12-14,2.5,CLIC
1972-12-15,4.8,CLIC
1972-12-16,3.8,CLIC
1972-12-17,4.3,CLIC
1972-12-18,1.6,CLIC
1972-12-19,4.1,CLIC
1972-12-20,2.8,CLIC
1972-12-21,3.4,CLIC
1972-12-22,0.8,CLIC
1972-12-23,5.2,CLIC
1972-12-24,5.1,CLIC
1972-12-25,3.9,CLIC
1972-12-26,4.4,CLIC
1972-12-27,2.4,CLIC
1972-12-28,1,CLIC
1972-12-29,3.4,CLIC
1972-12-30,3.1,CLIC
1972-12-31,3.4,CLIC
1973-01-02,1.9,CLIC
1973-01-03,2,CLIC
1973-01-04,1.3,CLIC
1973-01-05,3.9,CLIC
1973-01-06,2.2,CLIC
1973-01-07,7.8,CLIC
1973-01-10,0.5,CLIC
1973-01-11,1.1,CLIC
1973-01-12,2.7,CLIC
1973-01-13,3.3,CLIC
1973-01-14,3.4,CLIC
1973-01-15,2.6,CLIC
1973-01-16,1.6,CLIC
1973-01-17,3.4,CLIC
1973-01-18,3.4,CLIC
1973-01-19,3.6,CLIC
1973-01-20,2.9,CLIC
1973-01-21,1.2,CLIC
1973-01-22,1.2,CLIC
1973-01-23,1.4,CLIC
1973-01-24,3,CLIC
1973-01-25,2.1,CLIC
1973-01-26,4.6,CLIC
1973-01-27,2.7,CLIC
1973-01-28,3.1,CLIC
1973-01-29,3.2,CLIC
1973-01-30,4.2,CLIC
1973-01-31,3.5,CLIC
1973-02-01,6,CLIC
1973-02-02,5.6,CLIC
1973-02-03,2.3,CLIC
1973-02-04,3.2,CLIC
1973-02-05,5.4,CLIC
1973-02-06,4.6,CLIC
1973-02-07,8.2,CLIC
1973-02-08,6.7,CLIC
1973-02-09,5.1,CLIC
1973-02-10,5.6,CLIC
1973-02-11,4.6,CLIC
1973-02-12,6.8,CLIC
1973-02-13,5.6,CLIC
1973-02-14,4.7,CLIC
1973-02-15,3.7,CLIC
1973-02-16,2.4,CLIC
1973-02-17,1,CLIC
1973-02-18,0.9,CLIC
1973-02-19,2.9,CLIC
1973-02-20,3,CLIC
1973-02-21,1.5,CLIC
1973-02-22,1.3,CLIC
1973-02-23,2.1,CLIC
1973-02-24,4.1,CLIC
1973-02-25,3,CLIC
1973-02-26,4.6,CLIC
1973-02-27,3.5,CLIC
1973-02-28,3.7,CLIC
1973-03-01,4.4,CLIC
1973-03-02,4.8,CLIC
1973-03-03,8.3,CLIC
1973-03-04,3.4,CLIC
1973-03-05,8.5,CLIC
1973-03-06,5.8,CLIC
1973-03-07,7.2,CLIC
1973-03-08,4.3,CLIC
1973-03-09,10.5,CLIC
1973-03-10,7.6,CLIC
1973-03-11,5.1,CLIC
1973-03-12,4.4,CLIC
1973-03-13,10,CLIC
1973-03-14,10.2,CLIC
1973-03-15,8.9,CLIC
1973-03-16,3.7,CLIC
1973-03-17,3.6,CLIC
1973-03-18,6.2,CLIC
1973-03-19,0.6,CLIC
1973-03-20,2.3,CLIC
1973-03-21,8,CLIC
1973-03-22,10.3,CLIC
1973-03-23,11.9,CLIC
1973-03-24,13.3,CLIC
1973-03-25,5.5,CLIC
1973-03-26,5,CLIC
1973-03-27,5.4,CLIC
1973-03-28,14.9,CLIC
1973-03-29,14.4,CLIC
1973-03-30,7.2,CLIC
1973-03-31,6.8,CLIC
1973-04-01,3.9,CLIC
1973-04-02,10.2,CLIC
1973-04-03,8.4,CLIC
1973-04-04,4.9,CLIC
1973-04-05,5.3,CLIC
1973-04-06,5.1,CLIC
1973-04-07,6.8,CLIC
1973-04-08,10.1,CLIC
1973-04-09,4.9,CLIC
1973-04-10,4.9,CLIC
1973-04-11,8.1,CLIC
1973-04-12,6.2,CLIC
1973-04-13,8.2,CLIC
1973-04-14,4,CLIC
1973-04-15,5.6,CLIC
1973-04-16,3.3,CLIC
1973-04-17,6,CLIC
1973-04-18,6.1,CLIC
1973-04-19,7,CLIC
1973-04-20,2.6,CLIC
1973-04-21,5.8,CLIC
1973-04-22,9.2,CLIC
1973-04-23,4.4,CLIC
1973-04-24,6.4,CLIC
1973-04-25,6.8,CLIC
1973-04-26,4.7,CLIC
1973-04-27,5.5,CLIC
1973-04-28,10,CLIC
1973-04-29,5.3,CLIC
1973-04-30,5.9,CLIC
1973-05-01,6.6,CLIC
1973-05-02,6.2,CLIC
1973-05-03,3.4,CLIC
1973-05-04,4.5,CLIC
1973-05-05,5.1,CLIC
1973-05-06,3.9,CLIC
1973-05-07,6.2,CLIC
1973-05-08,4.6,CLIC
1973-05-09,7.8,CLIC
1973-05-10,3.8,CLIC
1973-05-11,5.1,CLIC
1973-05-12,8.5,CLIC
1973-05-13,4.6,CLIC
1973-05-14,3.6,CLIC
1973-05-15,0.5,CLIC
1973-05-16,3.9,CLIC
1973-05-17,3.1,CLIC
1973-05-18,6.2,CLIC
1973-05-19,7.1,CLIC
1973-05-20,7.7,CLIC
1973-05-21,10.6,CLIC
1973-05-22,6.4,CLIC
1973-05-23,8.1,CLIC
1973-05-24,7.7,CLIC
1973-05-25,11.7,CLIC
1973-05-26,10.4,CLIC
1973-05-27,6.2,CLIC
1973-05-28,3.2,CLIC
1973-05-29,8.5,CLIC
1973-05-30,8,CLIC
1973-05-31,8.8,CLIC
1973-06-01,4.2,CLIC
1973-06-02,5.9,CLIC
1973-06-03,8.1,CLIC
1973-06-04,8.7,CLIC
1973-06-05,3.7,CLIC
1973-06-06,4.1,CLIC
1973-06-07,3.9,CLIC
1973-06-08,4.1,CLIC
1973-06-10,5.3,CLIC
1973-06-11,5,CLIC
1973-06-12,6.9,CLIC
1973-06-13,4.8,CLIC
1973-06-14,2.4,CLIC
1973-06-15,5.2,CLIC
1973-06-17,5.5,CLIC
1973-06-18,4.9,CLIC
1973-06-19,6.2,CLIC
1973-06-22,0.8,CLIC
1973-06-24,8.8,CLIC
1973-06-25,3.1,CLIC
1973-06-26,5.8,CLIC
1973-06-27,4.4,CLIC
1973-06-28,5.5,CLIC
1973-06-29,5.1,CLIC
1973-06-30,5,CLIC
1973-08-01,5.2,CLIC
1973-08-02,4.1,CLIC
1973-08-03,3.2,CLIC
1973-08-04,4.7,CLIC
1973-08-05,5,CLIC
1973-08-06,6.6,CLIC
1973-08-07,3.1,CLIC
1973-08-08,3.4,CLIC
1973-08-09,2.8,CLIC
1973-08-10,2.3,CLIC
1973-08-11,2,CLIC
1973-08-12,3.3,CLIC
1973-08-13,4.6,CLIC
1973-08-14,3.4,CLIC
1973-08-15,5.6,CLIC
1973-08-16,4.8,CLIC
1973-08-17,4.7,CLIC
1973-08-18,6,CLIC
1973-08-19,5.4,CLIC
1973-08-20,5,CLIC
1973-08-21,6.1,CLIC
1973-08-22,4.9,CLIC
1973-08-23,5.6,CLIC
1973-08-24,6,CLIC
1973-08-25,4.5,CLIC
1973-08-26,5.3,CLIC
1973-08-27,4.8,CLIC
1973-08-28,6.1,CLIC
1973-08-29,5,CLIC
1973-08-30,4.8,CLIC
1973-08-31,5.2,CLIC
1973-09-01,4.6,CLIC
1973-09-02,6.9,CLIC
1973-09-03,7.1,CLIC
1973-09-04,4,CLIC
1973-09-05,8.3,CLIC
1973-09-06,6.2,CLIC
1973-09-07,4.3,CLIC
1973-09-08,5.5,CLIC
1973-09-09,7.3,CLIC
1973-09-10,4.6,CLIC
1973-09-11,4.7,CLIC
1973-09-12,2.3,CLIC
1973-09-13,2,CLIC
1973-09-14,1.4,CLIC
1973-09-15,4,CLIC
1973-09-16,4.1,CLIC
1973-09-17,2.3,CLIC
1973-09-18,3.6,CLIC
1973-09-19,4.9,CLIC
1973-09-20,4.4,CLIC
1973-09-21,5.1,CLIC
1973-09-22,5.6,CLIC
1973-09-23,3.4,CLIC
1973-09-24,4.9,CLIC
1973-09-25,2.2,CLIC
1973-09-26,2.1,CLIC
1973-09-27,1.2,CLIC
1973-09-28,1.9,CLIC
1973-09-29,3.8,CLIC
1973-09-30,6.3,CLIC
1973-10-01,5.5,CLIC
1973-10-02,6,CLIC
1973-10-03,5.6,CLIC
1973-10-04,6.1,CLIC
1973-10-05,7.3,CLIC
1973-10-06,5.6,CLIC
1973-10-07,6.4,CLIC
1973-10-08,5.1,CLIC
1973-10-09,4.2,CLIC
1973-10-10,5.8,CLIC
1973-10-11,4.9,CLIC
1973-10-12,3.1,CLIC
1973-10-13,1.7,CLIC
1973-10-14,1.4,CLIC
1973-10-15,1.8,CLIC
1973-10-16,4,CLIC
1973-10-17,5.5,CLIC
1973-10-18,3.6,CLIC
1973-10-19,4.6,CLIC
1973-10-20,6.2,CLIC
1973-10-21,5.4,CLIC
1973-10-22,4.2,CLIC
1973-10-23,5.1,CLIC
1973-10-24,3.2,CLIC
1973-10-25,3.8,CLIC
1973-10-26,3.3,CLIC
1973-10-27,3.8,CLIC
1973-10-28,4.1,CLIC
1973-10-29,2.9,CLIC
1973-10-30,5.5,CLIC
1973-10-31,6.2,CLIC
1973-11-01,5.44,CLIC
1973-11-02,4.41,CLIC
1973-11-03,4.1,CLIC
1973-11-04,3.67,CLIC
1973-11-05,4.48,CLIC
1973-11-06,4.12,CLIC
1973-11-07,3.34,CLIC
1973-11-08,2.52,CLIC
1973-11-09,3.77,CLIC
1973-11-10,4.24,CLIC
1973-11-11,5.34,CLIC
1973-11-12,4.93,CLIC
1973-11-13,3.5,CLIC
1973-11-14,4.56,CLIC
1973-11-15,4.66,CLIC
1973-11-16,3.73,CLIC
1973-11-17,4.23,CLIC
1973-11-18,3.84,CLIC
1973-11-19,1.62,CLIC
1973-11-20,2.18,CLIC
1973-11-21,2.47,CLIC
1973-11-22,3.57,CLIC
1973-11-23,4.46,CLIC
1973-11-24,4.35,CLIC
1973-11-25,3.63,CLIC
1973-11-26,1.71,CLIC
1973-11-27,1.4,CLIC
1973-11-28,1.74,CLIC
1973-11-29,1.33,CLIC
1973-11-30,1.88,CLIC
1974-08-21,9.4,CLIC
1974-08-22,9.4,CLIC
1974-08-23,8.7,CLIC
1974-08-24,7.3,CLIC
1974-08-25,4.5,CLIC
1974-08-26,5.4,CLIC
1974-08-27,3.7,CLIC
1974-08-28,4.9,CLIC
1974-08-29,5.1,CLIC
1974-08-30,4.2,CLIC
1974-08-31,3.1,CLIC
1974-09-01,3.2,CLIC
1974-09-02,3.3,CLIC
1974-09-03,3.2,CLIC
1974-09-04,3,CLIC
1974-09-05,3.4,CLIC
1974-09-06,3.3,CLIC
1974-09-07,3,CLIC
1974-09-08,3.9,CLIC
1974-09-09,3,CLIC
1974-09-10,3.2,CLIC
1974-09-11,2.8,CLIC
1974-09-12,3,CLIC
1974-09-13,4.2,CLIC
1974-09-14,2.9,CLIC
1974-09-15,3.1,CLIC
1974-09-16,4,CLIC
1974-09-17,3.2,CLIC
1974-09-18,3.8,CLIC
1974-09-19,3,CLIC
1974-09-20,3.1,CLIC
1974-09-21,3.6,CLIC
1974-09-22,3,CLIC
1974-09-23,2.4,CLIC
1974-09-24,4.1,CLIC
1974-09-25,2.3,CLIC
1974-09-26,3.9,CLIC
1974-09-27,3.5,CLIC
1974-09-28,2.8,CLIC
1974-09-29,4.7,CLIC
1974-09-30,2.5,CLIC
1974-10-01,5.2,CLIC
1974-10-02,0.1,CLIC
1974-10-03,5.8,CLIC
1974-10-04,2.7,CLIC
1974-10-05,4.3,CLIC
1974-10-06,7.6,CLIC
1974-10-07,5.8,CLIC
1974-10-08,3,CLIC
1974-10-09,4.2,CLIC
1974-10-10,5.8,CLIC
1974-10-11,4.8,CLIC
1974-10-12,3.4,CLIC
1974-10-13,5.4,CLIC
1974-10-14,5,CLIC
1974-10-15,5.3,CLIC
1974-10-16,2.7,CLIC
1974-10-17,2,CLIC
1974-10-18,1.6,CLIC
1974-10-19,0.6,CLIC
1974-10-20,2.8,CLIC
1974-10-21,3.9,CLIC
1974-10-22,4,CLIC
1974-10-23,2.2,CLIC
1974-10-24,3.8,CLIC
1974-10-25,3.2,CLIC
1974-10-26,6.2,CLIC
1974-10-27,5.2,CLIC
1974-10-28,4.8,CLIC
1974-10-29,4.3,CLIC
1974-10-30,1.5,CLIC
1974-10-31,1.3,CLIC
1974-11-01,3.8,CLIC
1974-11-02,3,CLIC
1974-11-03,2.9,CLIC
1974-11-04,2.8,CLIC
1974-11-05,2.4,CLIC
1974-11-06,2.5,CLIC
1974-11-07,4,CLIC
1974-11-08,2.8,CLIC
1974-11-09,5,CLIC
1974-11-10,4.1,CLIC
1974-11-11,1.2,CLIC
1974-11-12,4.3,CLIC
1974-11-13,4.5,CLIC
1974-11-14,2.7,CLIC
1974-11-15,4.9,CLIC
1974-11-16,2.1,CLIC
1974-11-17,1.2,CLIC
1974-11-18,3.1,CLIC
1974-11-19,3.1,CLIC
1974-11-20,3.1,CLIC
1974-11-21,2.8,CLIC
1974-11-22,5.1,CLIC
1974-11-23,4.7,CLIC
1974-11-24,4.8,CLIC
1974-11-25,3.5,CLIC
1974-11-26,1.2,CLIC
1974-11-27,1.3,CLIC
1974-11-28,0.8,CLIC
1974-11-29,1.2,CLIC
1974-11-30,2.3,CLIC
1974-12-01,4.1,CLIC
1974-12-02,2.3,CLIC
1974-12-03,5,CLIC
1974-12-04,1.5,CLIC
1974-12-05,2.3,CLIC
1974-12-06,5.9,CLIC
1974-12-07,5.1,CLIC
1974-12-08,1,CLIC
1974-12-09,3.1,CLIC
1974-12-10,1,CLIC
1974-12-11,3.6,CLIC
1974-12-12,3.9,CLIC
1974-12-13,2.7,CLIC
1974-12-14,2.6,CLIC
1974-12-15,3.5,CLIC
1974-12-16,3,CLIC
1974-12-17,3.8,CLIC
1974-12-18,4.1,CLIC
1974-12-19,3,CLIC
1974-12-20,2.5,CLIC
1974-12-21,3.6,CLIC
1974-12-22,4.8,CLIC
