Estación: ,C19168,LAS ESTACAS. MINAS
1983-02-06,0,CLIC
1983-02-07,0,CLIC
1983-02-08,0,CLIC
1983-02-09,0,CLIC
1983-02-10,0,CLIC
1983-02-11,0,CLIC
1983-02-12,0,CLIC
1983-02-13,0,CLIC
1983-02-14,0,CLIC
1983-02-15,0,CLIC
1983-02-16,0,CLIC
1983-02-17,0,CLIC
1983-02-18,0,CLIC
1983-02-19,0,CLIC
1983-02-20,0,CLIC
1983-02-21,0,CLIC
1983-02-22,0,CLIC
1983-02-23,0,CLIC
1983-02-24,0,CLIC
1983-02-25,0,CLIC
1983-02-26,0,CLIC
1983-02-27,0,CLIC
1983-02-28,0,CLIC
1983-05-01,0,CLIC
1983-05-02,0,CLIC
1983-05-03,0,CLIC
1983-05-04,0,CLIC
1983-05-05,0,CLIC
1983-05-06,0,CLIC
1983-05-07,0,CLIC
1983-05-08,0,CLIC
1983-05-09,0,CLIC
1983-05-10,0,CLIC
1983-05-11,0,CLIC
1983-05-12,0,CLIC
1983-05-13,0,CLIC
1983-05-14,0,CLIC
1983-05-15,0,CLIC
1983-05-16,0,CLIC
1983-05-17,0,CLIC
1983-05-18,0,CLIC
1983-05-19,0,CLIC
1983-05-20,0,CLIC
1983-05-21,0,CLIC
1983-05-22,0,CLIC
1983-05-23,0,CLIC
1983-05-24,0,CLIC
1983-05-25,6,CLIC
1983-05-26,1,CLIC
1983-05-27,8,CLIC
1983-05-28,40,CLIC
1983-05-29,0,CLIC
1983-05-30,0,CLIC
1983-05-31,0,CLIC
1983-07-01,0,CLIC
1983-07-02,0,CLIC
1983-07-03,0,CLIC
1983-07-04,0,CLIC
1983-07-05,0,CLIC
1983-07-06,0,CLIC
1983-07-07,0,CLIC
1983-07-08,0,CLIC
1983-07-09,15,CLIC
1983-07-10,0,CLIC
1983-07-11,0,CLIC
1983-07-12,0,CLIC
1983-07-13,0,CLIC
1983-07-14,0,CLIC
1983-07-15,0,CLIC
1983-07-16,0,CLIC
1983-07-17,0,CLIC
1983-07-18,0,CLIC
1983-07-19,0,CLIC
1983-07-20,0,CLIC
1983-07-21,0,CLIC
1983-07-22,0,CLIC
1983-07-23,0,CLIC
1983-07-24,0,CLIC
1983-07-25,0,CLIC
1983-07-26,0,CLIC
1983-07-27,0,CLIC
1983-07-28,0,CLIC
1983-07-29,0,CLIC
1983-07-30,0,CLIC
1983-07-31,0,CLIC
