Estación: ,ASCNL,La Ascencion
2022-04-03,6.3,
2022-04-04,6.1,
2022-04-05,2.6,
2022-04-06,4.8,
2022-04-07,5.3,
2022-04-08,4.5,
2022-04-09,5.9,
2022-04-10,6.1,
2022-04-11,5.2,
2022-04-12,9.4,
2022-04-13,14.8,
2022-04-14,6.6,
2022-04-15,3.3,
2022-04-16,5.75,
2022-04-17,2.1,
2022-04-18,3.45,
2022-04-19,9,
2022-04-20,6.3,
2022-04-21,4.05,
2022-04-22,5.05,
2022-04-23,4,
2022-04-24,2.7,
2022-04-25,5.5,
2022-04-26,4.5,
2022-04-27,5,
2022-04-28,7.2,
2022-04-29,4.1,
2022-04-30,3.1,
2022-05-01,7,
2022-05-02,6.9,
2022-05-03,3.9,
2022-05-04,7.2,
2022-05-05,5.8,
2022-05-06,9.1,
2022-05-07,5.4,
2022-05-08,5.4,
2022-05-09,4.5,
2022-05-10,7.1,
2022-05-11,8.25,
2022-05-12,4.35,
2022-05-13,5,
2022-05-14,6.1,
2022-05-15,6.1,
2022-05-16,7.8,
2022-05-17,3.7,
2022-05-18,2.3,
2022-05-19,4.7,
2022-05-20,2.8,
2022-05-21,3,
2022-05-22,8,
2022-05-23,6.7,
2022-05-24,4.2,
2022-05-25,6.8,
2022-05-26,5.3,
2022-05-27,6.6,
2022-05-28,7.2,
2022-05-29,4.7,
2022-05-30,5.65,
2022-05-31,5.55,
2022-06-01,7.3,
2022-06-02,7.05,
2022-06-03,6.85,
2022-06-04,4.7,
2022-06-05,7.8,
2022-06-06,5.1,
2022-06-07,6,
2022-06-08,9.25,
2022-06-09,10.05,
2022-06-10,6.9,
2022-06-11,4.7,
2022-06-12,3.43,
2022-06-13,4.77,
2022-06-14,3,
2022-06-15,8.7,
2022-06-16,9.9,
2022-06-17,5.6,
2022-06-18,5.5,
2022-06-19,9.4,
2022-06-20,7.5,
2022-06-21,5.3,
2022-06-22,9.25,
2022-06-23,4.75,
2022-06-24,5.8,
2022-06-25,4.52,
2022-06-26,7.48,
2022-06-27,4.8,
2022-06-28,2.7,
2022-06-29,3.65,
2022-06-30,7.45,
2022-07-01,7,
2022-07-02,7.2,
2022-07-03,5.9,
2022-07-04,3.6,
2022-07-05,6.4,
2022-07-06,-,-
2022-07-07,6.6,
2022-07-08,6.3,
2022-07-09,11.05,
2022-07-10,6.05,
2022-07-11,5.5,
2022-07-12,7,
2022-07-13,4.9,
2022-07-14,8.1,
2022-07-15,5,
2022-07-16,12.8,
2022-07-17,5.4,
2022-07-18,5.25,
2022-07-19,5.65,
2022-07-20,4.3,
2022-07-21,0.9,
2022-07-22,3.5,
2022-07-23,2.55,
2022-07-24,5.78,
2022-07-25,7.39,
2022-07-26,5.48,
2022-07-27,-,-
2022-07-28,7.3,
2022-07-29,5.6,
2022-07-30,4.7,
2022-07-31,6,
2022-08-01,-,-
2022-08-02,-,-
2022-08-03,4.95,
2022-08-04,4.35,
2022-08-05,7.3,
2022-08-06,7.8,
2022-08-07,6.7,
2022-08-08,5.8,
2022-08-09,4.8,
2022-08-10,0.9,
2022-08-11,8.9,
2022-08-12,6.77,
2022-08-13,5.58,
2022-08-14,5.95,
2022-08-15,4.9,
2022-08-16,12.7,
2022-08-17,1.7,
2022-08-18,5.8,
2022-08-19,4.4,
2022-08-20,6.9,
2022-08-21,6.3,
2022-08-22,1.5,
2022-08-23,8.4,
2022-08-24,5.45,
2022-08-25,7,
2022-08-26,3.55,
2022-08-27,13.8,
2022-08-28,7.3,
2022-08-29,4.6,
2022-08-30,2.6,
2022-08-31,6.2,
2022-09-01,6.15,
2022-09-02,4.25,
2022-09-03,4.2,
2022-09-04,3.8,
2022-09-05,9.3,
2022-09-06,6.1,
2022-09-07,0.8,
2022-09-08,4.7,
2022-09-09,1.5,
2022-09-10,5.3,
2022-09-11,2.7,
2022-09-12,6.4,
2022-09-13,3.9,
2022-09-14,3.7,
2022-09-15,3.5,
2022-09-16,5.5,
2022-09-17,3.9,
2022-09-18,0.35,
2022-09-19,1.45,
2022-09-20,1.55,
2022-09-21,6.3,
2022-09-22,3.8,
2022-09-23,2.4,
2022-09-24,4.85,
2022-09-25,4.1,
2022-09-26,1.9,
2022-09-27,3.9,
2022-09-28,5.4,
2022-09-29,3.85,
2022-09-30,-,-
2022-10-01,5.4,
2022-10-02,2.8,
2022-10-03,1.1,
2022-10-04,0.86,
2022-10-05,0.42,
2022-10-06,-,-
2022-10-07,-,-
2022-10-08,1.9,
2022-10-09,2.25,
2022-10-10,1.7,
2022-10-11,2.75,
2022-10-12,3.15,
2022-10-13,3.45,
2022-10-14,4.65,
2022-10-15,3.9,
2022-10-16,3.6,
2022-10-17,3.35,
2022-10-18,5.41,
2022-10-19,3.66,
2022-10-20,0.43,
2022-10-21,1,
2022-10-22,5.55,
2022-10-23,4.25,
2022-10-24,-,-
2022-10-25,3,
2022-10-26,4.25,
2022-10-27,4.95,
2022-10-28,6.55,
2022-10-29,1.35,
2022-10-30,6.3,
2022-10-31,1.7,
2022-11-01,3.05,
2022-11-02,3.8,
2022-11-03,4.75,
2022-11-04,5.9,
2022-11-05,2.15,
2022-11-06,2.6,
2022-11-07,5.5,
2022-11-08,3.05,
2022-11-09,3.8,
2022-11-10,4.15,
2022-11-11,4.15,
2022-11-12,3.9,
2022-11-13,1,
2022-11-14,0.9,
2022-11-15,1.9,
2022-11-16,1.9,
2022-11-17,2.35,
2022-11-18,2.95,
2022-11-19,1.3,
2022-11-20,4.55,
2022-11-21,4.15,
2022-11-22,3.35,
2022-11-23,2.9,
2022-11-24,1.35,
2022-11-25,3.5,
2022-11-26,5.5,
2022-11-27,4.1,
2022-11-28,4.85,
2022-11-29,5.75,
2022-11-30,2.1,
2022-12-01,3.4,
2022-12-02,2.15,
2022-12-03,3.45,
2022-12-04,0.95,
2022-12-05,3.75,
2022-12-06,3.9,
2022-12-07,2.9,
2022-12-08,3.4,
2022-12-09,4.3,
2022-12-10,1.9,
2022-12-11,2.6,
2022-12-12,4.95,
2022-12-13,5.45,
2022-12-14,6.05,
2022-12-15,1.75,
2022-12-16,1.8,
2022-12-17,4.5,
2022-12-18,1.3,
2022-12-19,3.1,
2022-12-20,2.3,
2022-12-21,2.7,
2022-12-22,4.9,
2022-12-23,-,-
2022-12-24,-,-
2022-12-25,-,-
2022-12-26,-,-
2022-12-27,-,-
2022-12-28,-,-
2022-12-29,-,-
2022-12-30,-,-
2022-12-31,-,-
2023-01-01,0.5,
2023-01-02,1.1,
2023-01-03,4.3,
2023-01-04,3,
2023-01-05,4.5,
2023-01-06,4.9,
2023-01-07,4.9,
2023-01-08,1.95,
2023-01-09,2.35,
2023-01-10,3.5,
2023-01-11,4,
2023-01-12,3.7,
2023-01-13,3.3,
2023-01-14,5,
2023-01-15,5.6,
2023-01-16,6.1,
2023-01-17,7.5,
2023-01-18,4.8,
2023-01-19,1.8,
2023-01-20,2.1,
2023-01-21,6.65,
2023-01-22,0.75,
2023-01-23,4.8,
2023-01-24,-,-
2023-01-25,6.1,
2023-01-26,2.4,
2023-01-27,2.2,
2023-01-28,5.15,
2023-01-29,5.75,
2023-01-30,2.8,
2023-01-31,2.1,
2023-02-01,4.2,
2023-02-02,5.6,
2023-02-03,4.7,
2023-02-04,1.55,
2023-02-05,4.05,
2023-02-06,5.5,
2023-02-07,6.1,
2023-02-08,6.9,
2023-02-09,1.3,
2023-02-10,4.2,
2023-02-11,1.4,
2023-02-12,7.14,
2023-02-13,5.06,
2023-02-14,4.7,
2023-02-15,4.86,
2023-02-16,10.44,
2023-02-17,4.58,
2023-02-18,5.46,
2023-02-19,5.16,
2023-02-20,4.11,
2023-02-21,5.57,
2023-02-22,5.82,
2023-02-23,13.1,
2023-02-24,7.8,
2023-02-25,5.3,
2023-02-26,4.85,
2023-02-27,2.35,
2023-02-28,3.7,
2023-03-01,9.1,
2023-03-02,-,-
2023-03-03,-,-
