Estación: ,C19189,EL PASTOR
2002-01-23,1.95,CLIC
2002-01-24,2.3,CLIC
2002-01-25,3.15,CLIC
2002-01-26,3.05,CLIC
2002-01-27,2.6,CLIC
2002-01-28,1.85,CLIC
2002-01-29,3.75,CLIC
2002-01-30,2.05,CLIC
2002-01-31,3.25,CLIC
2002-02-01,5.1,CLIC
2002-02-02,2.1,CLIC
2002-02-03,2.9,CLIC
2002-02-04,2.15,CLIC
2002-02-05,2.26,CLIC
2002-02-06,3.37,CLIC
2002-02-07,3.3,CLIC
2002-02-08,2.1,CLIC
2002-02-09,1.3,CLIC
2002-02-10,3.6,CLIC
2002-02-11,1.2,CLIC
2002-02-12,1,CLIC
2002-02-13,1.1,CLIC
2002-02-14,2.9,CLIC
2002-02-15,2.15,CLIC
2002-02-16,3.6,CLIC
2002-02-17,4.78,CLIC
2002-02-18,3.75,CLIC
2002-02-19,2.82,CLIC
2002-02-20,5.1,CLIC
2002-02-21,3.3,CLIC
2002-02-22,4,CLIC
2002-02-23,2,CLIC
2002-02-24,2,CLIC
2002-02-25,4.9,CLIC
2002-02-26,4,CLIC
2002-02-27,1.8,CLIC
2002-02-28,2.9,CLIC
2002-03-01,4.66,CLIC
2002-03-02,3.97,CLIC
2002-03-03,3.87,CLIC
2002-03-04,2.75,CLIC
2002-03-05,0.8,CLIC
2002-03-06,2.95,CLIC
2002-03-07,7.23,CLIC
2002-03-08,5.85,CLIC
2002-03-09,6.28,CLIC
2002-03-10,5.73,CLIC
2002-03-11,4.67,CLIC
2002-03-12,3.23,CLIC
2002-03-13,4.25,CLIC
2002-03-14,3.5,CLIC
2002-03-15,7.5,CLIC
2002-03-16,4.5,CLIC
2002-03-17,5.3,CLIC
2002-03-18,3.85,CLIC
2002-03-19,2.45,CLIC
2002-03-20,6.4,CLIC
2002-03-21,5.35,CLIC
2002-03-22,4.45,CLIC
2002-03-23,4.95,CLIC
2002-03-24,1.9,CLIC
2002-03-25,3.71,CLIC
2002-03-26,5.64,CLIC
2002-03-27,4.71,CLIC
2002-03-28,3.78,CLIC
2002-03-29,0.95,CLIC
2002-03-30,2.6,CLIC
2002-03-31,3.3,CLIC
2002-04-01,3.25,CLIC
2002-04-02,6.55,CLIC
2002-04-03,5.05,CLIC
2002-04-04,5.8,CLIC
2002-04-05,4.57,CLIC
2002-04-06,3.34,CLIC
2002-04-07,4.18,CLIC
2002-04-08,2.5,CLIC
2002-04-09,5.85,CLIC
2002-04-10,6.65,CLIC
2002-04-11,2.6,CLIC
2002-04-12,3.8,CLIC
2002-04-13,3.8,CLIC
2002-04-14,4.8,CLIC
2002-04-15,3.45,CLIC
2002-04-16,2.2,CLIC
2002-04-17,5.05,CLIC
2002-04-18,6.05,CLIC
2002-04-19,7.5,CLIC
2002-04-20,5.59,CLIC
2002-04-21,5.16,CLIC
2002-04-22,2.13,CLIC
2002-04-23,8.65,CLIC
2002-04-24,4.85,CLIC
2002-04-25,5,CLIC
2002-04-26,5.95,CLIC
2002-04-27,4.9,CLIC
2002-04-28,5.13,CLIC
2002-04-29,5.35,CLIC
2002-04-30,9,CLIC
2002-05-01,7.1,CLIC
2002-05-02,5,CLIC
2002-05-03,9.45,CLIC
2002-05-04,6.6,CLIC
2002-05-05,7.05,CLIC
2002-05-06,7.25,CLIC
2002-05-07,3.3,CLIC
2002-05-08,8.9,CLIC
2002-05-09,4.8,CLIC
2002-05-10,4.7,CLIC
2002-05-11,4.9,CLIC
2002-05-12,9.9,CLIC
2002-05-13,3.75,CLIC
2002-05-14,3.18,CLIC
2002-05-15,7.22,CLIC
2002-05-16,3.3,CLIC
2002-05-17,3.25,CLIC
2002-05-18,3.73,CLIC
2002-05-19,2.22,CLIC
2002-05-20,1.79,CLIC
2002-05-21,5.56,CLIC
2002-05-22,3.64,CLIC
2002-05-23,4.11,CLIC
2002-05-24,2.15,CLIC
2002-05-25,0.7,CLIC
2002-05-26,4.7,CLIC
2002-05-27,5,CLIC
2002-05-28,5,CLIC
2002-05-29,5.78,CLIC
2002-05-30,6.85,CLIC
2002-05-31,6.32,CLIC
2002-06-01,2.3,CLIC
2002-06-02,7.33,CLIC
2002-06-03,3.17,CLIC
2002-06-04,4.7,CLIC
2002-06-05,4.15,CLIC
2002-06-06,4.27,CLIC
2002-06-07,4.38,CLIC
2002-06-08,4,CLIC
2002-06-09,4.75,CLIC
2002-06-10,2.3,CLIC
2002-06-11,6.93,CLIC
2002-06-12,4.17,CLIC
2002-06-13,3.15,CLIC
2002-06-14,2.25,CLIC
2002-06-15,7,CLIC
2002-06-16,6.2,CLIC
2002-06-17,8.7,CLIC
2002-06-18,6.5,CLIC
2002-06-19,9.45,CLIC
2002-06-20,6.45,CLIC
2002-06-21,6.05,CLIC
2002-06-22,5.35,CLIC
2002-06-23,7.63,CLIC
2002-06-24,9.9,CLIC
2002-06-25,7.5,CLIC
2002-06-26,7.28,CLIC
2002-06-27,7.64,CLIC
2002-06-28,9.13,CLIC
2002-06-29,8.7,CLIC
2002-06-30,3.65,CLIC
2002-07-01,2.3,CLIC
2002-07-02,7.75,CLIC
2002-07-03,3.05,CLIC
2002-07-04,1.9,CLIC
2002-07-05,3.8,CLIC
2002-07-06,5.96,CLIC
2002-07-07,1.23,CLIC
2002-07-08,1.6,CLIC
2002-07-09,2.72,CLIC
2002-07-10,1.2,CLIC
2002-07-11,5.73,CLIC
2002-07-12,4.27,CLIC
2002-07-13,5.3,CLIC
2002-07-14,3.1,CLIC
2002-07-15,3.5,CLIC
2002-07-16,2.7,CLIC
2002-07-17,4.85,CLIC
2002-07-18,4.35,CLIC
2002-07-19,7.55,CLIC
2002-07-20,3.15,CLIC
2002-07-21,6.5,CLIC
2002-07-22,4.1,CLIC
2002-07-23,6.15,CLIC
2002-07-24,7.55,CLIC
2002-07-25,4.9,CLIC
2002-07-26,10.57,CLIC
2002-07-27,4.43,CLIC
2002-07-28,5.8,CLIC
2002-07-29,5.1,CLIC
2002-07-30,6.92,CLIC
2002-07-31,4.55,CLIC
2002-08-01,8.3,CLIC
2002-08-02,4.9,CLIC
2002-08-03,3.7,CLIC
2002-08-04,11.4,CLIC
2002-08-05,4.1,CLIC
2002-08-06,6.8,CLIC
2002-08-07,6.6,CLIC
2002-08-08,6.8,CLIC
2002-08-09,8.25,CLIC
2002-08-10,6.34,CLIC
2002-08-11,7.06,CLIC
2002-08-12,6.9,CLIC
2002-08-13,5.5,CLIC
2002-08-14,6.4,CLIC
2002-08-15,6.05,CLIC
2002-08-16,5.05,CLIC
2002-08-17,8.45,CLIC
2002-08-18,4.05,CLIC
2002-08-19,8.8,CLIC
2002-08-20,5.76,CLIC
2002-08-21,3.64,CLIC
2002-08-22,5.25,CLIC
2002-08-23,5.85,CLIC
2002-08-24,5.15,CLIC
2002-08-25,4.95,CLIC
2002-08-26,7.45,CLIC
2002-08-27,10.9,CLIC
2002-08-28,5.8,CLIC
2002-08-29,4.3,CLIC
2002-08-30,5.55,CLIC
2002-08-31,6.75,CLIC
2002-09-01,6.7,CLIC
2002-09-02,3.75,CLIC
2002-09-03,2.7,CLIC
2002-09-04,3.08,CLIC
2002-09-05,3.95,CLIC
2002-09-06,5.35,CLIC
2002-09-07,5.5,CLIC
2002-09-08,4.4,CLIC
2002-09-09,0,CLIC
2002-09-10,0,CLIC
2002-09-11,0,CLIC
2002-09-12,1.2,CLIC
2002-09-13,7.15,CLIC
2002-09-14,3.46,CLIC
2002-09-15,0,CLIC
2002-09-16,2.85,CLIC
2002-09-17,1.33,CLIC
2002-09-18,1.2,CLIC
2002-09-19,1.78,CLIC
2002-09-20,1,CLIC
2002-09-21,3.9,CLIC
2002-09-22,1.92,CLIC
2002-09-23,5.86,CLIC
2002-09-24,7.1,CLIC
2002-09-25,4.6,CLIC
2002-09-26,3.4,CLIC
2002-09-27,5.7,CLIC
2002-09-28,3.1,CLIC
2002-09-29,1.75,CLIC
2002-09-30,1.35,CLIC
2002-10-01,2.3,CLIC
2002-10-02,2.2,CLIC
2002-10-03,3,CLIC
2002-10-04,2.9,CLIC
2002-10-05,2.25,CLIC
2002-10-06,2.15,CLIC
2002-10-07,0.7,CLIC
2002-10-08,1.25,CLIC
2002-10-09,3.15,CLIC
2002-10-10,2.95,CLIC
2002-10-11,1.85,CLIC
2002-10-12,3.35,CLIC
2002-10-13,2.21,CLIC
2002-10-14,2.1,CLIC
2002-10-15,2.45,CLIC
2002-10-16,1.11,CLIC
2002-10-17,1.8,CLIC
2002-10-18,2.13,CLIC
2002-10-19,3.4,CLIC
2002-10-20,4.3,CLIC
2002-10-21,1.8,CLIC
2002-10-22,3.65,CLIC
2002-10-23,1.18,CLIC
2002-10-24,2.4,CLIC
2002-10-25,0,CLIC
2002-10-26,1.1,CLIC
2002-10-27,1.45,CLIC
2002-10-28,1.42,CLIC
2002-10-29,0.96,CLIC
2002-10-30,1.7,CLIC
2002-10-31,0,CLIC
2002-11-01,3.17,CLIC
2002-11-02,2.14,CLIC
2002-11-03,2.35,CLIC
2002-11-04,2,CLIC
2002-11-05,1.01,CLIC
2002-11-06,1,CLIC
2002-11-07,1.5,CLIC
2002-11-08,2.35,CLIC
2002-11-09,2.3,CLIC
2002-11-10,5.7,CLIC
2002-11-11,1.3,CLIC
2002-11-12,1.8,CLIC
2002-11-13,1.55,CLIC
2002-11-14,2.15,CLIC
2002-11-15,2.05,CLIC
2002-11-16,1.15,CLIC
2002-11-17,1.25,CLIC
2002-11-18,1.85,CLIC
2002-11-19,1.6,CLIC
2002-11-20,1.5,CLIC
2002-11-21,1.9,CLIC
2002-11-22,1.8,CLIC
2002-11-23,1.95,CLIC
2002-11-24,1.05,CLIC
2002-11-25,1.17,CLIC
2002-11-26,0.32,CLIC
2002-11-27,0.52,CLIC
2002-11-28,0.19,CLIC
2002-11-29,1.08,CLIC
2002-11-30,1.3,CLIC
2002-12-01,1.55,CLIC
2002-12-02,1.95,CLIC
2002-12-03,0.25,CLIC
2002-12-04,0.62,CLIC
2002-12-05,0.15,CLIC
2002-12-06,1.18,CLIC
2002-12-07,0.4,CLIC
2002-12-08,2.3,CLIC
2002-12-09,1.3,CLIC
2002-12-10,0.3,CLIC
2002-12-11,0.6,CLIC
2002-12-12,0.6,CLIC
2002-12-13,2,CLIC
2002-12-14,4.65,CLIC
2002-12-15,1.15,CLIC
2002-12-16,0.8,CLIC
2002-12-17,1.05,CLIC
2002-12-18,0.95,CLIC
2002-12-19,0.9,CLIC
2002-12-20,0.65,CLIC
2002-12-21,1,CLIC
2002-12-22,2.55,CLIC
2002-12-23,1.85,CLIC
2002-12-24,1.6,CLIC
2002-12-25,1.4,CLIC
2002-12-26,1.25,CLIC
2002-12-27,0.9,CLIC
2002-12-28,1.05,CLIC
2002-12-29,1.7,CLIC
2002-12-30,2.7,CLIC
2002-12-31,3.5,CLIC
2003-01-01,2.5,CLIC
2003-01-02,1,CLIC
2003-01-03,1.7,CLIC
2003-01-04,1.3,CLIC
2003-01-05,1.55,CLIC
2003-01-06,0.75,CLIC
2003-01-07,1.05,CLIC
2003-01-08,1.14,CLIC
2003-01-09,3.01,CLIC
2003-01-10,2.73,CLIC
2003-01-11,1.1,CLIC
2003-01-12,0.2,CLIC
2003-01-13,0.64,CLIC
2003-01-14,0.29,CLIC
2003-01-15,0.45,CLIC
2003-01-16,0.9,CLIC
2003-01-17,0.6,CLIC
2003-01-18,0.9,CLIC
2003-01-19,0.45,CLIC
2003-01-20,0.75,CLIC
2003-01-21,1.3,CLIC
2003-01-22,2.15,CLIC
2003-01-23,0.45,CLIC
2003-01-24,0.6,CLIC
2003-01-25,0.75,CLIC
2003-01-26,0.48,CLIC
2003-01-27,0.33,CLIC
2003-01-28,0.7,CLIC
2003-01-29,0.9,CLIC
2003-01-30,1.2,CLIC
2003-01-31,1.5,CLIC
2003-02-01,1.2,CLIC
2003-02-02,1.3,CLIC
2003-02-03,0.8,CLIC
2003-02-04,1,CLIC
2003-02-05,4.3,CLIC
2003-02-06,2.13,CLIC
2003-02-07,2.27,CLIC
2003-02-08,0.45,CLIC
2003-02-09,1.7,CLIC
2003-02-10,2.6,CLIC
2003-02-11,2.2,CLIC
2003-02-12,1.8,CLIC
2003-02-13,1.4,CLIC
2003-02-14,1.9,CLIC
2003-02-15,1.85,CLIC
2003-02-16,1.55,CLIC
2003-02-17,3.6,CLIC
2003-02-18,3.6,CLIC
2003-02-19,1.2,CLIC
2003-02-20,1.52,CLIC
2003-02-21,1.85,CLIC
2003-02-22,2.53,CLIC
2003-02-23,2.72,CLIC
2003-02-24,1.03,CLIC
2003-02-25,1,CLIC
2003-02-26,0.4,CLIC
2003-02-27,1,CLIC
2003-02-28,1.9,CLIC
2003-03-01,2,CLIC
2003-03-02,4.4,CLIC
2003-03-03,2.9,CLIC
2003-03-04,1.4,CLIC
2003-03-05,2.5,CLIC
2003-03-06,1.4,CLIC
2003-03-07,3.05,CLIC
2003-03-08,3.05,CLIC
2003-03-09,3.1,CLIC
2003-03-10,3.88,CLIC
2003-03-11,4.04,CLIC
2003-03-12,4.2,CLIC
2003-03-13,2.3,CLIC
2003-03-14,2.3,CLIC
2003-03-15,6.2,CLIC
2003-03-16,5.65,CLIC
2003-03-17,3.55,CLIC
2003-03-18,4.95,CLIC
2003-03-19,5.35,CLIC
2003-03-20,4.05,CLIC
2003-03-21,4,CLIC
2003-03-22,3.98,CLIC
2003-03-23,4.37,CLIC
2003-03-24,3.2,CLIC
2003-03-25,2.1,CLIC
2003-03-26,2.34,CLIC
2003-03-27,1.77,CLIC
2003-03-28,1.2,CLIC
2003-03-29,3.6,CLIC
2003-03-30,1.75,CLIC
2003-03-31,6.3,CLIC
2003-04-01,4.45,CLIC
2003-04-02,4.7,CLIC
2003-04-03,3.45,CLIC
2003-04-04,6.2,CLIC
2003-04-05,3.78,CLIC
2003-04-06,4.87,CLIC
2003-04-07,3.9,CLIC
2003-04-08,3.7,CLIC
2003-04-09,3.5,CLIC
2003-04-10,3.7,CLIC
2003-04-11,3.5,CLIC
2003-04-12,5.3,CLIC
2003-04-13,4.9,CLIC
2003-04-14,2.83,CLIC
2003-04-15,4.02,CLIC
2003-04-16,5.28,CLIC
2003-04-17,3.7,CLIC
2003-04-18,3.9,CLIC
2003-04-19,3.7,CLIC
2003-04-20,2.6,CLIC
2003-04-21,3,CLIC
2003-04-22,3.4,CLIC
2003-04-23,4.28,CLIC
2003-04-24,5.15,CLIC
2003-04-25,3.7,CLIC
2003-04-26,5.2,CLIC
2003-04-27,4.85,CLIC
2003-04-28,3.95,CLIC
2003-04-29,3.85,CLIC
2003-04-30,2.05,CLIC
2003-05-01,6.3,CLIC
2003-05-02,6.25,CLIC
2003-05-03,3.9,CLIC
2003-05-04,4.86,CLIC
2003-05-05,2.65,CLIC
2003-05-06,4.05,CLIC
2003-05-07,5.15,CLIC
2003-05-08,5.15,CLIC
2003-05-09,3.88,CLIC
2003-05-10,4.06,CLIC
2003-05-11,5.77,CLIC
2003-05-12,6.83,CLIC
2003-05-13,6.29,CLIC
2003-05-14,3.96,CLIC
2003-05-15,5.3,CLIC
2003-05-16,5.65,CLIC
2003-05-17,5.48,CLIC
2003-05-18,4.46,CLIC
2003-05-19,5.16,CLIC
2003-05-20,6.38,CLIC
2003-05-21,5.55,CLIC
2003-05-22,3.29,CLIC
2003-05-23,4.46,CLIC
2003-05-24,4.46,CLIC
2003-05-25,6.45,CLIC
2003-05-26,5.8,CLIC
2003-05-27,1,CLIC
2003-05-28,4.9,CLIC
2003-05-29,4.15,CLIC
2003-05-30,3.4,CLIC
2003-05-31,3.2,CLIC
2003-06-01,5.7,CLIC
2003-06-02,3.7,CLIC
2003-06-03,6.1,CLIC
2003-06-04,5.4,CLIC
2003-06-05,5.75,CLIC
2003-06-06,4.3,CLIC
2003-06-07,3.5,CLIC
2003-06-08,6.45,CLIC
2003-06-09,2.2,CLIC
2003-06-10,4.43,CLIC
2003-06-11,3.57,CLIC
2003-06-12,2.1,CLIC
2003-06-13,5.25,CLIC
2003-06-14,4.46,CLIC
2003-06-15,2.24,CLIC
2003-06-16,2.32,CLIC
2003-06-17,2.4,CLIC
2003-06-18,6.05,CLIC
2003-06-19,5.28,CLIC
2003-06-20,5.32,CLIC
2003-06-21,6.05,CLIC
2003-06-22,3.4,CLIC
2003-06-23,6.7,CLIC
2003-06-24,6.27,CLIC
2003-06-25,5.33,CLIC
2003-06-26,7.1,CLIC
2003-06-27,5.85,CLIC
2003-06-28,7.75,CLIC
2003-06-29,5.2,CLIC
2003-06-30,3.22,CLIC
2003-07-01,1.24,CLIC
2003-07-02,1.88,CLIC
2003-07-03,0.6,CLIC
2003-07-04,3.15,CLIC
2003-07-05,5.7,CLIC
2003-07-06,5.65,CLIC
2003-07-07,8.9,CLIC
2003-07-08,5.05,CLIC
2003-07-09,5.05,CLIC
2003-07-10,4.6,CLIC
2003-07-11,5.25,CLIC
2003-07-12,5.75,CLIC
2003-07-13,6.45,CLIC
2003-07-14,5.11,CLIC
2003-07-15,5.04,CLIC
2003-07-16,4.4,CLIC
2003-07-17,5.2,CLIC
2003-07-18,5.4,CLIC
2003-07-19,4.3,CLIC
2003-07-20,4.48,CLIC
2003-07-21,4.66,CLIC
2003-07-22,3.01,CLIC
2003-07-23,4.04,CLIC
2003-07-24,7.4,CLIC
2003-07-25,9.6,CLIC
2003-07-26,5,CLIC
2003-07-27,6.8,CLIC
2003-07-28,6.95,CLIC
2003-07-29,5.6,CLIC
2003-07-30,4.15,CLIC
2003-07-31,6.59,CLIC
2003-08-01,6.25,CLIC
2003-08-02,7.45,CLIC
2003-08-03,6.7,CLIC
2003-08-04,5.5,CLIC
2003-08-05,3.65,CLIC
2003-08-06,5.85,CLIC
2003-08-07,6.95,CLIC
2003-08-08,7.96,CLIC
