Estación: ,C19109,UÑA DE GATO. CERRALVO
1979-04-12,9.8,CLIC
1979-04-13,11.2,CLIC
1979-04-14,3,CLIC
1979-04-15,4.8,CLIC
1979-04-16,4.3,CLIC
1979-04-17,3.1,CLIC
1979-04-18,7.8,CLIC
1979-04-19,5.1,CLIC
1979-04-20,4.5,CLIC
1979-04-21,4.1,CLIC
1979-04-22,5.2,CLIC
1979-04-23,4.7,CLIC
1979-04-24,8.3,CLIC
1979-04-25,7.9,CLIC
1979-04-26,5.3,CLIC
1979-04-27,4.8,CLIC
1979-04-28,6.7,CLIC
1979-04-29,3.9,CLIC
1979-04-30,1.4,CLIC
1979-05-01,4.4,CLIC
1979-05-02,6.8,CLIC
1979-05-03,5.9,CLIC
1979-05-04,5,CLIC
1979-05-05,3.6,CLIC
1979-05-06,8.3,CLIC
1979-05-07,8.9,CLIC
1979-05-08,9.7,CLIC
1979-05-09,7.4,CLIC
1979-05-10,10.8,CLIC
1979-05-11,8.7,CLIC
1979-05-12,5.1,CLIC
1979-05-13,8.4,CLIC
1979-05-14,7.9,CLIC
1979-05-15,7.1,CLIC
1979-05-16,8.5,CLIC
1979-05-17,3.6,CLIC
1979-05-18,7,CLIC
1979-05-19,9.5,CLIC
1979-05-20,2.8,CLIC
1979-05-21,8.5,CLIC
1979-05-22,12.8,CLIC
1979-05-23,8.5,CLIC
1979-05-24,9.8,CLIC
1979-05-25,6.9,CLIC
1979-05-26,5.1,CLIC
1979-05-27,7.3,CLIC
1979-05-28,3.4,CLIC
1979-05-29,8.7,CLIC
1979-05-30,11.3,CLIC
1979-05-31,6.3,CLIC
1979-06-01,6.2,CLIC
1979-06-02,5.5,CLIC
1979-06-03,4.8,CLIC
1979-06-04,3.7,CLIC
1979-06-05,3,CLIC
1979-06-06,2.6,CLIC
1979-06-07,6.2,CLIC
1979-06-08,4.6,CLIC
1979-06-09,6.3,CLIC
1979-06-10,7.4,CLIC
1979-06-11,7,CLIC
1979-06-12,7.5,CLIC
1979-06-13,10.1,CLIC
1979-06-14,6.9,CLIC
1979-06-15,4.1,CLIC
1979-06-16,4.2,CLIC
1979-06-17,5.1,CLIC
1979-06-18,7.3,CLIC
1979-06-19,7.9,CLIC
1979-06-20,9.1,CLIC
1979-06-21,12.4,CLIC
1979-06-22,8.9,CLIC
1979-06-23,9.6,CLIC
1979-06-24,2.8,CLIC
1979-06-25,2.4,CLIC
1979-06-26,5.2,CLIC
1979-06-27,9.2,CLIC
1979-06-28,9.4,CLIC
1979-06-29,11.2,CLIC
1979-06-30,10.1,CLIC
1979-07-01,9.7,CLIC
1979-07-02,10.8,CLIC
1979-07-03,5.2,CLIC
1979-07-04,5.4,CLIC
1979-07-05,4.7,CLIC
1979-07-06,5.3,CLIC
1979-07-07,8,CLIC
1979-07-08,9.1,CLIC
1979-07-09,8.9,CLIC
1979-07-10,8.2,CLIC
1979-07-11,12.8,CLIC
1979-07-12,10.9,CLIC
1979-07-13,13.7,CLIC
1979-07-14,5.5,CLIC
1979-07-15,12.9,CLIC
1979-07-16,9.8,CLIC
1979-07-17,8.5,CLIC
1979-07-18,8.8,CLIC
1979-07-19,7.2,CLIC
1979-07-20,9,CLIC
1979-07-21,11.5,CLIC
1979-07-22,4.2,CLIC
1979-07-23,9.7,CLIC
1979-07-24,10.2,CLIC
1979-07-25,7.6,CLIC
1979-07-26,6.3,CLIC
1979-07-27,6.7,CLIC
1979-07-28,7.6,CLIC
1979-07-29,8.5,CLIC
1979-07-30,3.5,CLIC
1979-07-31,10.8,CLIC
1979-08-01,5.9,CLIC
1979-08-02,6.9,CLIC
1979-08-03,6.5,CLIC
1979-08-04,9.9,CLIC
1979-08-05,8.4,CLIC
1979-08-06,3.2,CLIC
1979-08-07,5.2,CLIC
1979-08-08,5.8,CLIC
1979-08-09,5.8,CLIC
1979-08-10,6.5,CLIC
1979-08-12,5.4,CLIC
1979-08-13,7.1,CLIC
1979-08-14,6,CLIC
1979-08-15,6,CLIC
1979-08-16,8.1,CLIC
1979-08-17,5.4,CLIC
1979-08-18,5.7,CLIC
1979-08-19,5.5,CLIC
1979-08-20,7.2,CLIC
1979-08-21,12.4,CLIC
1979-08-22,7.9,CLIC
1979-08-23,6.2,CLIC
1979-08-24,6.6,CLIC
1979-08-25,6.7,CLIC
1979-08-26,6.3,CLIC
1979-08-27,5.9,CLIC
1979-08-29,5.2,CLIC
1979-08-30,6.2,CLIC
1979-08-31,4.9,CLIC
1979-09-01,3.2,CLIC
1979-09-02,5.9,CLIC
1979-09-03,7.1,CLIC
1979-09-04,7,CLIC
1979-09-05,8.5,CLIC
1979-09-06,8,CLIC
1979-09-07,6.6,CLIC
1979-09-08,8,CLIC
1979-09-09,7,CLIC
1979-09-10,7.1,CLIC
1979-09-11,8,CLIC
1979-09-12,6.5,CLIC
1979-09-13,5.4,CLIC
1979-09-14,4.9,CLIC
1979-09-15,5.1,CLIC
1979-09-16,4.5,CLIC
1979-09-17,4.7,CLIC
1979-09-18,6.5,CLIC
1979-09-19,6.1,CLIC
1979-09-20,5.6,CLIC
1979-09-21,4.9,CLIC
1979-09-22,5.6,CLIC
1979-09-23,5.9,CLIC
1979-09-24,7.1,CLIC
1979-09-25,5.9,CLIC
1979-09-26,7.7,CLIC
1979-09-27,7.9,CLIC
1979-09-28,6.1,CLIC
1979-09-29,4.9,CLIC
1979-09-30,6.8,CLIC
1979-10-01,5.1,CLIC
1979-10-02,6.9,CLIC
1979-10-03,5.3,CLIC
1979-10-04,6.8,CLIC
1979-10-05,7.2,CLIC
1979-10-06,6.8,CLIC
1979-10-07,7.7,CLIC
1979-10-08,7.8,CLIC
1979-10-09,6.6,CLIC
1979-10-10,6.7,CLIC
1979-10-11,7.6,CLIC
1979-10-12,7.1,CLIC
1979-10-13,7.3,CLIC
1979-10-14,5.7,CLIC
1979-10-15,6.2,CLIC
1979-10-16,7.6,CLIC
1979-10-17,4.9,CLIC
1979-10-18,6.6,CLIC
1979-10-19,6.6,CLIC
1979-10-20,7,CLIC
1979-10-21,3.1,CLIC
1979-10-22,7.9,CLIC
1979-10-23,9.9,CLIC
1979-10-24,6.1,CLIC
1979-10-25,6.9,CLIC
1979-10-26,6.2,CLIC
1979-10-27,4.2,CLIC
1979-10-28,4.8,CLIC
1979-10-29,5.1,CLIC
1979-10-30,5.7,CLIC
1979-10-31,4.7,CLIC
1979-11-01,4,CLIC
1979-11-02,2.3,CLIC
1979-11-03,4.1,CLIC
1979-11-04,5.6,CLIC
1979-11-05,1.2,CLIC
1979-11-06,5.5,CLIC
1979-11-07,1.3,CLIC
1979-11-08,5.8,CLIC
1979-11-09,7.8,CLIC
1979-11-10,4,CLIC
1979-11-11,5.8,CLIC
1979-11-12,2.2,CLIC
1979-11-13,5.5,CLIC
1979-11-14,3.6,CLIC
1979-11-15,5.1,CLIC
1979-11-16,7.2,CLIC
1979-11-17,5.1,CLIC
1979-11-18,5.4,CLIC
1979-11-19,4.8,CLIC
1979-11-20,3.2,CLIC
1979-11-21,6.6,CLIC
1979-11-22,4.9,CLIC
1979-11-23,6.2,CLIC
1979-11-24,4.4,CLIC
1979-11-25,5.4,CLIC
1979-11-26,5,CLIC
1979-11-27,4.4,CLIC
1979-11-28,2.6,CLIC
1979-11-29,2.7,CLIC
1979-11-30,1.4,CLIC
1979-12-01,1.8,CLIC
1979-12-02,2,CLIC
1979-12-05,3.5,CLIC
1979-12-06,3,CLIC
1979-12-07,4.8,CLIC
1979-12-08,3.7,CLIC
1979-12-09,3.1,CLIC
1979-12-10,3.5,CLIC
1979-12-11,3.8,CLIC
1979-12-12,2.5,CLIC
1979-12-13,3.4,CLIC
1979-12-14,4.5,CLIC
1979-12-15,5.3,CLIC
1979-12-16,4.3,CLIC
1979-12-17,5.6,CLIC
1979-12-18,4.4,CLIC
1979-12-19,4.9,CLIC
1979-12-20,3.8,CLIC
1979-12-21,4.4,CLIC
1979-12-22,5.2,CLIC
1979-12-23,4.1,CLIC
1979-12-24,5.1,CLIC
1979-12-25,4.4,CLIC
1979-12-26,4.9,CLIC
1979-12-27,4.2,CLIC
1979-12-28,4.6,CLIC
1979-12-29,2.9,CLIC
1979-12-30,4.7,CLIC
1979-12-31,4.1,CLIC
1980-01-01,2,CLIC
1980-01-02,1.7,CLIC
1980-01-03,5.5,CLIC
1980-01-04,1.5,CLIC
1980-01-05,4.1,CLIC
1980-01-06,4.1,CLIC
1980-01-07,4.5,CLIC
1980-01-08,2.5,CLIC
1980-01-09,1.3,CLIC
1980-01-10,1.4,CLIC
1980-01-11,8.8,CLIC
1980-01-12,7.6,CLIC
1980-01-13,1.6,CLIC
1980-01-14,5.6,CLIC
1980-01-15,4.4,CLIC
1980-01-16,2.6,CLIC
1980-01-17,3.4,CLIC
1980-01-18,2.6,CLIC
1980-01-19,1.7,CLIC
1980-01-20,0.5,CLIC
1980-01-21,0.2,CLIC
1980-01-22,3.9,CLIC
1980-01-23,3.3,CLIC
1980-01-24,3.1,CLIC
1980-01-25,2.1,CLIC
1980-01-26,2.5,CLIC
1980-01-27,0.4,CLIC
1980-01-28,0.7,CLIC
1980-01-29,1.9,CLIC
1980-01-30,2.2,CLIC
1980-01-31,2.6,CLIC
1980-02-01,2.7,CLIC
1980-02-02,1.7,CLIC
1980-02-03,1.7,CLIC
1980-02-04,6.1,CLIC
1980-02-05,2.8,CLIC
1980-02-06,2.2,CLIC
1980-02-07,2.7,CLIC
1980-02-08,8.8,CLIC
1980-02-09,3.2,CLIC
1980-02-10,2.6,CLIC
1980-02-11,2.1,CLIC
1980-02-12,2.8,CLIC
1980-02-13,3.5,CLIC
1980-02-14,4.9,CLIC
1980-02-15,5.8,CLIC
1980-02-16,5.5,CLIC
1980-02-17,7.6,CLIC
1980-02-18,4.6,CLIC
1980-02-19,4.1,CLIC
1980-02-20,9.3,CLIC
1980-02-21,2.4,CLIC
1980-02-22,6.9,CLIC
1980-02-23,6.2,CLIC
1980-02-24,6,CLIC
1980-02-25,5.3,CLIC
1980-02-26,4.6,CLIC
1980-02-27,4,CLIC
1980-02-28,4.9,CLIC
1980-02-29,8.1,CLIC
1980-03-01,2.6,CLIC
1980-03-02,8.9,CLIC
1980-03-03,3.3,CLIC
1980-03-04,3.9,CLIC
1980-03-05,4.4,CLIC
1980-03-06,2.3,CLIC
1980-03-07,5.9,CLIC
1980-03-08,3.9,CLIC
1980-03-09,4,CLIC
1980-03-10,6.4,CLIC
1980-03-11,6.1,CLIC
1980-03-12,8.9,CLIC
1980-03-13,6.2,CLIC
1980-03-14,7,CLIC
1980-03-15,6.8,CLIC
1980-03-16,3.2,CLIC
1980-03-17,4.7,CLIC
1980-03-18,2.7,CLIC
1980-03-19,8,CLIC
1980-03-20,10,CLIC
1980-03-21,7.9,CLIC
1980-03-22,5.8,CLIC
1980-03-23,9.4,CLIC
1980-03-24,9.9,CLIC
1980-03-25,7.1,CLIC
1980-03-26,4.9,CLIC
1980-03-27,6.1,CLIC
1980-03-28,7,CLIC
1980-03-29,4.7,CLIC
1980-03-30,7.6,CLIC
1980-03-31,7.8,CLIC
1980-04-01,6.4,CLIC
1980-04-02,10.3,CLIC
1980-04-03,10.6,CLIC
1980-04-04,4.3,CLIC
1980-04-05,5.2,CLIC
1980-04-06,9.6,CLIC
1980-04-07,7.8,CLIC
1980-04-08,8.8,CLIC
1980-04-09,9.4,CLIC
1980-04-10,12.4,CLIC
1980-04-11,9.4,CLIC
1980-04-12,4.4,CLIC
1980-04-13,2.9,CLIC
1980-04-14,3.8,CLIC
1980-04-15,10.8,CLIC
1980-04-16,7.8,CLIC
1980-04-17,7.6,CLIC
1980-04-18,9.2,CLIC
1980-04-19,6,CLIC
1980-04-20,8.5,CLIC
1980-04-21,4.8,CLIC
1980-04-22,6.3,CLIC
1980-04-23,5.4,CLIC
1980-04-24,6.9,CLIC
1980-04-25,7.1,CLIC
1980-04-26,10.4,CLIC
1980-04-27,8.3,CLIC
1980-04-28,10.8,CLIC
1980-04-29,9.3,CLIC
1980-04-30,5.5,CLIC
1980-05-01,7,CLIC
1980-05-02,7.8,CLIC
1980-05-03,9.8,CLIC
1980-05-04,7.9,CLIC
1980-05-05,7.8,CLIC
1980-05-06,6,CLIC
1980-05-07,5,CLIC
1980-05-08,2.1,CLIC
1980-05-09,5.4,CLIC
1980-05-10,4.4,CLIC
1980-05-11,7.9,CLIC
1980-05-12,6,CLIC
1980-05-13,7.5,CLIC
1980-05-14,8.6,CLIC
1980-05-15,8.3,CLIC
1980-05-16,10.5,CLIC
1980-05-17,7.5,CLIC
1980-05-18,4.7,CLIC
1980-05-19,6.2,CLIC
1980-05-20,6.7,CLIC
1980-05-21,4.1,CLIC
1980-05-22,5.7,CLIC
1980-05-23,8.5,CLIC
1980-05-24,7.8,CLIC
1980-05-25,6.8,CLIC
1980-05-26,8.3,CLIC
1980-05-27,8.1,CLIC
1980-05-28,9.3,CLIC
1980-05-29,7.1,CLIC
1980-05-30,6.8,CLIC
1980-05-31,6.1,CLIC
1980-06-01,6.4,CLIC
1980-06-02,1.8,CLIC
1980-06-03,9.6,CLIC
1980-06-04,15,CLIC
1980-06-05,5.3,CLIC
1980-06-06,7.7,CLIC
1980-06-07,9.6,CLIC
1980-06-08,7.1,CLIC
1980-06-09,3.2,CLIC
1980-06-10,10.2,CLIC
1980-06-11,2.1,CLIC
1980-06-12,3,CLIC
1980-06-13,11.6,CLIC
1980-06-14,12.6,CLIC
1980-06-15,9.9,CLIC
1980-06-16,10.2,CLIC
1980-06-17,14.2,CLIC
1980-06-18,6.5,CLIC
1980-06-19,10.7,CLIC
1980-06-20,14,CLIC
1980-06-21,11.8,CLIC
1980-06-22,16.2,CLIC
1980-06-23,3.4,CLIC
1980-06-24,3.1,CLIC
1980-06-25,6,CLIC
1980-06-26,14.4,CLIC
1980-06-27,7.6,CLIC
1980-06-28,9.1,CLIC
1980-06-29,9,CLIC
1980-06-30,4.4,CLIC
1980-07-01,9.2,CLIC
1980-07-02,3.8,CLIC
1980-07-03,8.2,CLIC
1980-07-04,8.1,CLIC
1980-07-05,5.5,CLIC
1980-07-06,6.4,CLIC
1980-07-07,7.1,CLIC
1980-07-08,4.7,CLIC
1980-07-09,6.4,CLIC
1980-07-10,8,CLIC
1980-07-11,5,CLIC
1980-07-12,5.9,CLIC
1980-07-13,5.1,CLIC
1980-07-14,8.1,CLIC
1980-07-15,5.7,CLIC
1980-07-16,4,CLIC
1980-07-17,4,CLIC
1980-07-18,6.9,CLIC
1980-07-19,5.3,CLIC
1980-07-20,5.9,CLIC
1980-07-21,5.9,CLIC
1980-07-22,7.4,CLIC
1980-07-23,5.8,CLIC
1980-07-24,6.9,CLIC
1980-07-25,3.5,CLIC
1980-07-26,6.1,CLIC
1980-07-27,5.3,CLIC
1980-07-28,16.8,CLIC
1980-07-29,8.3,CLIC
1980-07-30,5.3,CLIC
1980-07-31,7.9,CLIC
1980-08-01,8.1,CLIC
1980-08-02,8.5,CLIC
1980-08-03,7,CLIC
1980-08-04,8.4,CLIC
1980-08-05,11.5,CLIC
1980-08-06,9.1,CLIC
1980-08-07,8.3,CLIC
1980-08-08,8.5,CLIC
1980-08-09,7.6,CLIC
1980-08-10,5.2,CLIC
1980-08-12,6.2,CLIC
1980-08-13,8.7,CLIC
1980-08-14,7.4,CLIC
1980-08-15,8.6,CLIC
1980-08-16,9.4,CLIC
1980-08-17,8.1,CLIC
1980-08-18,7.6,CLIC
1980-08-19,8.6,CLIC
1980-08-20,5.4,CLIC
1980-08-21,5.1,CLIC
1980-08-22,8.9,CLIC
1980-08-23,8.5,CLIC
1980-08-24,9.5,CLIC
1980-08-25,6.2,CLIC
1980-08-26,8.3,CLIC
1980-08-27,4.6,CLIC
1980-08-28,7.9,CLIC
1980-08-29,7.2,CLIC
1980-08-30,9.1,CLIC
1980-08-31,8.2,CLIC
1980-09-01,6.6,CLIC
1980-09-02,5.2,CLIC
1980-09-03,6.1,CLIC
1980-09-04,3.9,CLIC
1980-09-06,5.7,CLIC
1980-09-07,8.1,CLIC
1980-09-08,5.3,CLIC
1980-09-09,9.6,CLIC
1980-09-10,5.8,CLIC
1980-09-11,7.3,CLIC
1980-09-12,7.4,CLIC
1980-09-13,10.6,CLIC
1980-09-14,5.3,CLIC
1980-09-15,9,CLIC
1980-09-16,6.2,CLIC
1980-09-17,10.7,CLIC
1980-09-18,9,CLIC
1980-09-19,5.4,CLIC
1980-09-20,9,CLIC
1980-09-21,11,CLIC
1980-09-22,7.7,CLIC
1980-09-23,5.7,CLIC
1980-09-24,6.4,CLIC
1980-09-26,3.1,CLIC
1980-09-27,8.5,CLIC
1980-09-28,8.2,CLIC
1980-09-29,4.1,CLIC
1980-09-30,4.8,CLIC
1980-10-01,2.5,CLIC
1980-10-02,7.9,CLIC
1980-10-03,7.4,CLIC
1980-10-04,4.1,CLIC
1980-10-05,5.6,CLIC
1980-10-06,6.1,CLIC
1980-10-07,5.9,CLIC
1980-10-08,6.7,CLIC
1980-10-09,5.1,CLIC
1980-10-10,5.5,CLIC
1980-10-11,5.7,CLIC
1980-10-12,1.2,CLIC
1980-10-13,5.2,CLIC
1980-10-14,6.4,CLIC
1980-10-15,7.8,CLIC
1980-10-16,5.2,CLIC
1980-10-17,5.7,CLIC
1980-10-18,4.7,CLIC
1980-10-19,4.6,CLIC
1980-10-20,4.7,CLIC
1980-10-21,2.7,CLIC
1980-10-22,9,CLIC
1980-10-23,4.8,CLIC
1980-10-24,7.4,CLIC
1980-10-25,4.4,CLIC
1980-10-26,5.6,CLIC
1980-10-27,3.9,CLIC
1980-10-28,4.9,CLIC
1980-10-29,3,CLIC
1980-10-30,8.1,CLIC
1980-10-31,2.8,CLIC
1980-11-01,5.3,CLIC
1980-11-02,0.9,CLIC
1980-11-03,3.9,CLIC
1980-11-04,6.6,CLIC
1980-11-05,3.5,CLIC
1980-11-06,5.5,CLIC
1980-11-07,1.9,CLIC
1980-11-08,3.8,CLIC
1980-11-09,4.2,CLIC
1980-11-10,1.5,CLIC
1980-11-11,2.6,CLIC
1980-11-12,4,CLIC
1980-11-13,4.1,CLIC
1980-11-14,1.3,CLIC
1980-11-15,4.5,CLIC
1980-11-16,2.4,CLIC
1980-11-17,3.4,CLIC
1980-11-18,5,CLIC
1980-11-19,2.1,CLIC
1980-11-20,4.2,CLIC
1980-11-21,3.4,CLIC
1980-11-22,4,CLIC
1980-11-23,4.7,CLIC
1980-11-24,2.8,CLIC
1980-11-25,2.4,CLIC
1980-11-26,6.7,CLIC
1980-11-27,4.9,CLIC
1980-11-28,2.1,CLIC
1980-11-29,3.7,CLIC
1980-11-30,3,CLIC
1981-02-01,4.4,CLIC
1981-02-02,5.4,CLIC
1981-02-03,3.7,CLIC
1981-02-04,1.8,CLIC
1981-02-05,3.8,CLIC
1981-02-06,1.3,CLIC
1981-02-07,2.5,CLIC
1981-02-08,2.2,CLIC
1981-02-09,3.4,CLIC
1981-02-10,4.7,CLIC
1981-02-11,2.3,CLIC
1981-02-12,3.9,CLIC
1981-02-13,3.6,CLIC
1981-02-14,4.1,CLIC
1981-02-15,3.6,CLIC
1981-02-16,2.7,CLIC
1981-02-17,3.2,CLIC
1981-02-18,2.7,CLIC
1981-02-19,1.8,CLIC
1981-02-20,2.1,CLIC
1981-02-21,2.9,CLIC
1981-02-22,8,CLIC
1981-02-23,4.4,CLIC
1981-02-24,4.1,CLIC
1981-02-25,3,CLIC
1981-02-26,3.8,CLIC
1981-02-27,1.7,CLIC
1981-02-28,3.4,CLIC
1981-03-01,1.4,CLIC
1981-03-02,3.8,CLIC
1981-03-03,3.5,CLIC
1981-03-04,4.1,CLIC
1981-03-05,5.9,CLIC
1981-03-06,3.9,CLIC
1981-03-07,5.6,CLIC
1981-03-08,4.1,CLIC
1981-03-09,3.4,CLIC
1981-03-10,1.9,CLIC
1981-03-11,2.1,CLIC
1981-03-12,3.6,CLIC
1981-03-13,4.3,CLIC
1981-03-14,3.7,CLIC
1981-03-15,4,CLIC
1981-03-16,5.3,CLIC
1981-03-17,5,CLIC
1981-03-18,5.5,CLIC
1981-03-19,6,CLIC
1981-03-20,3.7,CLIC
1981-03-21,5,CLIC
1981-03-22,5.9,CLIC
1981-03-23,6.2,CLIC
1981-03-24,3.6,CLIC
1981-03-25,4.3,CLIC
1981-03-26,3.9,CLIC
1981-03-27,6.1,CLIC
1981-03-28,5.7,CLIC
1981-03-29,7,CLIC
1981-03-30,7.4,CLIC
1981-03-31,7.1,CLIC
1981-04-01,6.2,CLIC
1981-04-02,4.1,CLIC
1981-04-03,6.7,CLIC
1981-04-04,4.5,CLIC
1981-04-05,5.6,CLIC
1981-04-06,6.5,CLIC
1981-04-07,5.5,CLIC
1981-04-08,7.7,CLIC
1981-04-09,6.7,CLIC
1981-04-10,6.6,CLIC
1981-04-11,6.4,CLIC
1981-04-12,6.4,CLIC
1981-04-13,4.6,CLIC
1981-04-14,5.1,CLIC
1981-04-16,6.4,CLIC
1981-04-17,5.9,CLIC
1981-04-18,5.8,CLIC
1981-04-19,6.2,CLIC
1981-04-20,5.4,CLIC
1981-04-21,5.9,CLIC
1981-04-22,4.3,CLIC
1981-04-23,5.2,CLIC
1981-04-24,5.6,CLIC
1981-04-25,1.6,CLIC
1981-04-26,5.2,CLIC
1981-04-27,5.9,CLIC
1981-04-28,4,CLIC
1981-04-29,4.6,CLIC
1981-04-30,4.9,CLIC
1981-07-01,4.1,CLIC
1981-07-02,8.6,CLIC
1981-07-03,7.1,CLIC
1981-07-04,8,CLIC
1981-07-05,6.1,CLIC
1981-07-06,6.5,CLIC
1981-07-07,7.2,CLIC
1981-07-08,6.2,CLIC
1981-07-09,5.9,CLIC
1981-07-10,7.7,CLIC
1981-07-11,6,CLIC
1981-07-12,6.2,CLIC
1981-07-13,6.9,CLIC
1981-07-14,6.4,CLIC
1981-07-15,7.2,CLIC
1981-07-16,6.9,CLIC
1981-07-17,6.8,CLIC
1981-07-18,4.9,CLIC
1981-07-19,7.1,CLIC
1981-07-20,7,CLIC
1981-07-21,5.2,CLIC
1981-07-22,7.1,CLIC
1981-07-23,8.1,CLIC
1981-07-24,10.5,CLIC
1981-07-25,7.3,CLIC
1981-07-26,6.5,CLIC
1981-07-27,6.6,CLIC
1981-07-28,8.6,CLIC
1981-07-29,7.1,CLIC
1981-07-30,8,CLIC
1981-07-31,6.2,CLIC
1981-08-01,9.5,CLIC
1981-08-02,5.1,CLIC
1981-08-03,10.2,CLIC
1981-08-04,8.5,CLIC
1981-08-05,8.8,CLIC
1981-08-06,9.1,CLIC
1981-08-07,8.8,CLIC
1981-08-08,7.7,CLIC
1981-08-09,7.9,CLIC
1981-08-10,7.4,CLIC
1981-08-11,5.9,CLIC
1981-08-12,6.8,CLIC
1981-08-13,8.1,CLIC
1981-08-14,6.8,CLIC
1981-08-15,7.1,CLIC
1981-08-16,8.7,CLIC
1981-08-17,6.5,CLIC
1981-08-18,8,CLIC
1981-08-19,8.3,CLIC
1981-08-20,2.3,CLIC
1981-08-21,8.8,CLIC
1981-08-22,8.1,CLIC
1981-08-23,7.3,CLIC
1981-08-24,11.1,CLIC
1981-08-25,6,CLIC
1981-08-26,9.5,CLIC
1981-08-27,6.2,CLIC
1981-08-29,7.8,CLIC
1981-08-30,7,CLIC
1981-08-31,7.2,CLIC
1981-09-01,7.6,CLIC
1981-09-02,6.1,CLIC
1981-09-03,6.5,CLIC
1981-09-04,5.5,CLIC
1981-09-05,5.9,CLIC
1981-09-06,7.2,CLIC
1981-09-07,5.8,CLIC
1981-09-08,4.6,CLIC
1981-09-09,4.6,CLIC
1981-09-10,6.6,CLIC
