Estación: ,C19017,EL MARRUBIAL.
1971-03-31,0,CLIC
1971-04-01,0,CLIC
1971-04-02,0,CLIC
1971-04-03,0,CLIC
1971-04-04,3,CLIC
1971-04-05,3.3,CLIC
1971-04-06,0,CLIC
1971-04-07,0,CLIC
1971-04-08,0,CLIC
1971-04-09,0,CLIC
1971-04-10,0,CLIC
1971-04-11,0,CLIC
1971-04-12,0,CLIC
1971-04-13,0,CLIC
1971-04-14,0,CLIC
1971-04-15,0,CLIC
1971-04-16,0,CLIC
1971-04-17,0,CLIC
1971-04-18,0,CLIC
1971-04-19,0,CLIC
1971-04-20,0,CLIC
1971-04-21,0,CLIC
1971-04-22,0,CLIC
1971-04-23,0,CLIC
1971-04-24,0,CLIC
1971-04-25,0,CLIC
1971-04-26,0,CLIC
1971-04-27,0,CLIC
1971-04-28,0,CLIC
1971-04-29,0,CLIC
1971-04-30,0,CLIC
1971-05-01,0,CLIC
1971-05-02,0,CLIC
1971-05-03,0,CLIC
1971-05-04,0,CLIC
1971-05-05,0,CLIC
1971-05-06,0,CLIC
1971-05-07,0,CLIC
1971-05-08,0,CLIC
1971-05-09,1.5,CLIC
1971-05-10,1,CLIC
1971-05-11,5.5,CLIC
1971-05-12,17,CLIC
1971-05-13,7,CLIC
1971-05-14,0,CLIC
1971-05-15,0,CLIC
1971-05-16,0,CLIC
1971-05-17,0,CLIC
1971-05-18,0,CLIC
1971-05-19,0,CLIC
1971-05-20,4,CLIC
1971-05-21,4,CLIC
1971-05-22,4,CLIC
1971-05-23,0,CLIC
1971-05-24,1,CLIC
1971-05-25,0,CLIC
1971-05-26,0,CLIC
1971-05-27,0,CLIC
1971-05-28,0,CLIC
1971-05-29,2,CLIC
1971-05-30,5.5,CLIC
1971-05-31,0,CLIC
1971-06-01,0,CLIC
1971-06-02,0,CLIC
1971-06-03,0,CLIC
1971-06-04,0,CLIC
1971-06-05,0,CLIC
1971-06-06,0,CLIC
1971-06-07,0,CLIC
1971-06-08,0,CLIC
1971-06-09,0,CLIC
1971-06-10,0,CLIC
1971-06-11,0,CLIC
1971-06-12,0,CLIC
1971-06-13,1.5,CLIC
1971-06-14,14.7,CLIC
1971-06-15,2.5,CLIC
1971-06-16,0,CLIC
1971-06-17,10.3,CLIC
1971-06-18,0,CLIC
1971-06-19,11.5,CLIC
1971-06-20,7.3,CLIC
1971-06-21,1.5,CLIC
1971-06-22,17.7,CLIC
1971-06-23,3,CLIC
1971-06-24,14.3,CLIC
1971-06-25,25,CLIC
1971-06-26,10.2,CLIC
1971-06-27,1,CLIC
1971-06-28,0.7,CLIC
1971-06-29,1.8,CLIC
1971-06-30,1,CLIC
1971-07-01,6,CLIC
1971-07-02,0,CLIC
1971-07-03,0,CLIC
1971-07-04,0,CLIC
1971-07-05,0,CLIC
1971-07-06,0,CLIC
1971-07-07,0,CLIC
1971-07-08,11.5,CLIC
1971-07-09,2.6,CLIC
1971-07-10,21.5,CLIC
1971-07-11,11.5,CLIC
1971-07-12,20,CLIC
1971-07-13,2,CLIC
1971-07-14,0,CLIC
1971-07-15,0,CLIC
1971-07-16,0,CLIC
1971-07-17,0,CLIC
1971-07-18,0,CLIC
1971-07-19,0,CLIC
1971-07-20,0,CLIC
1971-07-21,0,CLIC
1971-07-22,0,CLIC
1971-07-23,0,CLIC
1971-07-24,0,CLIC
1971-07-25,0,CLIC
1971-07-26,0,CLIC
1971-07-27,0,CLIC
1971-07-28,0,CLIC
1971-07-29,0,CLIC
1971-07-30,1,CLIC
1971-07-31,4,CLIC
1971-08-01,1,CLIC
1971-08-02,50,CLIC
1971-08-03,11,CLIC
1971-08-04,14,CLIC
1971-08-05,17.3,CLIC
1971-08-06,13.6,CLIC
1971-08-07,0,CLIC
1971-08-08,0,CLIC
1971-08-09,0,CLIC
1971-08-10,0,CLIC
1971-08-11,7,CLIC
1971-08-12,0,CLIC
1971-08-13,5.7,CLIC
1971-08-14,1,CLIC
1971-08-15,0,CLIC
1971-08-16,0,CLIC
1971-08-17,0,CLIC
1971-08-18,0,CLIC
1971-08-19,27.9,CLIC
1971-08-20,4.5,CLIC
1971-08-21,0,CLIC
1971-08-22,0,CLIC
1971-08-23,0,CLIC
1971-08-24,2.5,CLIC
1971-08-25,7.5,CLIC
1971-08-26,0,CLIC
1971-08-27,6.8,CLIC
1971-08-28,1,CLIC
1971-08-29,3.9,CLIC
1971-08-30,0,CLIC
1971-08-31,0,CLIC
1971-09-01,0,CLIC
1971-09-02,0,CLIC
1971-09-03,0,CLIC
1971-09-04,0,CLIC
1971-09-05,0,CLIC
1971-09-06,0,CLIC
1971-09-07,13.8,CLIC
1971-09-08,0,CLIC
1971-09-09,4.6,CLIC
1971-09-10,4,CLIC
1971-09-11,9,CLIC
1971-09-12,44,CLIC
1971-09-13,60.9,CLIC
1971-09-14,2,CLIC
1971-09-15,0,CLIC
1971-09-16,14.5,CLIC
1971-09-17,3.3,CLIC
1971-09-18,5,CLIC
1971-09-19,13,CLIC
1971-09-20,5,CLIC
1971-09-21,0,CLIC
1971-09-22,0,CLIC
1971-09-23,33.5,CLIC
1971-09-24,5.5,CLIC
1971-09-25,0.8,CLIC
1971-09-26,1,CLIC
1971-09-27,15,CLIC
1971-09-28,9.9,CLIC
1971-09-29,0,CLIC
1971-09-30,0,CLIC
1971-10-01,0,CLIC
1971-10-02,0,CLIC
1971-10-03,0,CLIC
1971-10-04,6,CLIC
1971-10-05,10,CLIC
1971-10-06,2.7,CLIC
1971-10-07,0,CLIC
1971-10-08,4.5,CLIC
1971-10-09,4.5,CLIC
1971-10-10,0,CLIC
1971-10-11,0,CLIC
1971-10-12,13.5,CLIC
1971-10-13,0,CLIC
1971-10-14,0,CLIC
1971-10-15,5.5,CLIC
1971-10-16,1.9,CLIC
1971-10-17,0,CLIC
1971-10-18,0,CLIC
1971-10-19,0,CLIC
1971-10-20,2,CLIC
1971-10-21,0,CLIC
1971-10-22,0,CLIC
1971-10-23,0,CLIC
1971-10-24,0,CLIC
1971-10-25,0,CLIC
1971-10-26,0,CLIC
1971-10-27,0,CLIC
1971-10-28,0,CLIC
1971-10-29,0,CLIC
1971-10-30,0,CLIC
1971-10-31,0,CLIC
1971-11-01,0,CLIC
1971-11-02,0,CLIC
1971-11-03,0,CLIC
1971-11-04,0,CLIC
1971-11-05,0,CLIC
1971-11-06,0,CLIC
1971-11-07,4,CLIC
1971-11-08,0,CLIC
1971-11-09,0,CLIC
1971-11-10,0,CLIC
1971-11-11,0,CLIC
1971-11-12,0,CLIC
1971-11-13,0,CLIC
1971-11-14,0,CLIC
1971-11-15,0,CLIC
1971-11-16,0,CLIC
1971-11-17,0,CLIC
1971-11-18,0,CLIC
1971-11-19,0,CLIC
1971-11-20,0,CLIC
1971-11-21,0,CLIC
1971-11-22,0,CLIC
1971-11-23,0,CLIC
1971-11-24,0,CLIC
1971-11-25,0,CLIC
1971-11-26,0,CLIC
1971-11-27,1.8,CLIC
1971-11-28,0,CLIC
1971-11-29,0,CLIC
1971-11-30,0,CLIC
1971-12-01,1.7,CLIC
1971-12-02,0,CLIC
1971-12-03,0,CLIC
1971-12-04,0,CLIC
1971-12-05,7.5,CLIC
1971-12-06,0,CLIC
1971-12-07,0,CLIC
1971-12-08,0,CLIC
1971-12-09,0,CLIC
1971-12-10,0,CLIC
1971-12-11,0,CLIC
1971-12-12,0,CLIC
1971-12-13,0,CLIC
1971-12-14,0,CLIC
1971-12-15,0,CLIC
1971-12-16,0,CLIC
1971-12-17,1.5,CLIC
1971-12-18,3.5,CLIC
1971-12-19,0,CLIC
1971-12-20,0,CLIC
1971-12-21,0,CLIC
1971-12-22,0,CLIC
1971-12-23,0,CLIC
1971-12-24,0,CLIC
1971-12-25,0,CLIC
1971-12-26,0,CLIC
1971-12-27,0,CLIC
1971-12-28,0,CLIC
1971-12-29,0,CLIC
1971-12-30,0,CLIC
1971-12-31,0,CLIC
1972-01-01,0,CLIC
1972-01-02,0,CLIC
1972-01-03,0,CLIC
1972-01-04,0,CLIC
1972-01-05,0,CLIC
1972-01-06,0,CLIC
1972-01-07,0,CLIC
1972-01-08,0,CLIC
1972-01-09,0,CLIC
1972-01-10,0,CLIC
1972-01-11,0,CLIC
1972-01-12,0,CLIC
1972-01-13,0,CLIC
1972-01-14,3,CLIC
1972-01-15,0,CLIC
1972-01-16,0,CLIC
1972-01-17,0,CLIC
1972-01-18,0,CLIC
1972-01-19,0,CLIC
1972-01-20,0,CLIC
1972-01-21,0,CLIC
1972-01-22,0,CLIC
1972-01-23,0,CLIC
1972-01-24,0,CLIC
1972-01-25,0,CLIC
1972-01-26,0,CLIC
1972-01-27,0,CLIC
1972-01-28,0,CLIC
1972-01-29,0,CLIC
1972-01-30,4.4,CLIC
1972-01-31,0.9,CLIC
1972-02-01,0,CLIC
1972-02-02,0,CLIC
1972-02-03,0,CLIC
1972-02-04,0,CLIC
1972-02-05,0,CLIC
1972-02-06,0,CLIC
1972-02-07,1,CLIC
1972-02-08,2.4,CLIC
1972-02-09,0,CLIC
1972-02-10,0,CLIC
1972-02-11,0,CLIC
1972-02-12,0,CLIC
1972-02-13,4,CLIC
1972-02-14,0,CLIC
1972-02-15,0,CLIC
1972-02-16,0,CLIC
1972-02-17,0,CLIC
1972-02-18,0,CLIC
1972-02-19,0,CLIC
1972-02-20,0,CLIC
1972-02-21,0,CLIC
1972-02-22,0,CLIC
1972-02-23,0,CLIC
1972-02-24,0,CLIC
1972-02-25,0,CLIC
1972-02-26,0,CLIC
1972-02-27,0,CLIC
1972-02-28,7,CLIC
1972-02-29,0,CLIC
1972-03-01,0,CLIC
1972-03-02,0,CLIC
1972-03-03,0,CLIC
1972-03-04,0,CLIC
1972-03-05,0,CLIC
1972-03-06,0,CLIC
1972-03-07,0,CLIC
1972-03-08,4.5,CLIC
1972-03-09,0,CLIC
1972-03-10,0,CLIC
1972-03-11,2,CLIC
1972-03-12,7,CLIC
1972-03-13,0.8,CLIC
1972-03-14,2,CLIC
1972-03-15,0,CLIC
1972-03-16,0,CLIC
1972-03-17,0,CLIC
1972-03-18,0,CLIC
1972-03-19,0,CLIC
1972-03-20,0,CLIC
1972-03-21,0,CLIC
1972-03-22,0,CLIC
1972-03-23,0,CLIC
1972-03-24,2.6,CLIC
1972-03-25,15.3,CLIC
1972-03-26,0,CLIC
1972-03-27,0,CLIC
1972-03-28,0,CLIC
1972-03-29,0,CLIC
1972-03-30,0,CLIC
1972-03-31,0,CLIC
1972-04-01,0,CLIC
1972-04-02,0,CLIC
1972-04-03,0,CLIC
1972-04-04,0,CLIC
1972-04-05,0,CLIC
1972-04-06,0,CLIC
1972-04-07,0,CLIC
1972-04-08,0,CLIC
1972-04-09,1,CLIC
1972-04-10,1,CLIC
1972-04-11,1,CLIC
1972-04-12,1,CLIC
1972-04-13,1,CLIC
1972-04-14,1,CLIC
1972-04-15,1,CLIC
1972-04-16,1,CLIC
1972-04-17,1,CLIC
1972-04-18,0,CLIC
1972-04-19,0,CLIC
1972-04-20,0,CLIC
1972-04-21,0,CLIC
1972-04-22,0,CLIC
1972-04-23,0,CLIC
1972-04-24,0,CLIC
1972-04-25,5.1,CLIC
1972-04-26,0,CLIC
1972-04-27,0,CLIC
1972-04-28,0,CLIC
1972-04-29,0,CLIC
1972-04-30,0,CLIC
1972-06-01,1.9,CLIC
1972-06-02,9.4,CLIC
1972-06-03,2,CLIC
1972-06-04,0,CLIC
1972-06-05,23.3,CLIC
1972-06-06,1.7,CLIC
1972-06-07,3.5,CLIC
1972-06-08,33,CLIC
1972-06-09,0,CLIC
1972-06-10,28,CLIC
1972-06-11,11,CLIC
1972-06-12,1.9,CLIC
1972-06-13,4,CLIC
1972-06-14,0,CLIC
1972-06-15,16.4,CLIC
1972-06-16,10.5,CLIC
1972-06-17,0,CLIC
1972-06-18,0,CLIC
1972-06-19,0,CLIC
1972-06-20,0,CLIC
1972-06-21,0,CLIC
1972-06-22,0,CLIC
1972-06-23,0,CLIC
1972-06-24,0,CLIC
1972-06-25,0,CLIC
1972-06-26,0,CLIC
1972-06-27,0,CLIC
1972-06-28,0,CLIC
1972-06-29,0,CLIC
1972-06-30,0,CLIC
1972-07-01,0,CLIC
1972-07-02,0,CLIC
1972-07-03,0,CLIC
1972-07-04,0,CLIC
1972-07-05,30.3,CLIC
1972-07-06,1,CLIC
1972-07-07,0,CLIC
1972-07-08,0,CLIC
1972-07-09,0,CLIC
1972-07-10,0,CLIC
1972-07-11,0,CLIC
1972-07-12,0,CLIC
1972-07-13,0,CLIC
1972-07-14,0,CLIC
1972-07-15,0,CLIC
1972-07-16,1,CLIC
1972-07-17,0,CLIC
1972-07-18,0,CLIC
1972-07-19,1,CLIC
1972-07-20,10,CLIC
1972-07-21,33.5,CLIC
1972-07-22,1.5,CLIC
1972-07-23,2.4,CLIC
1972-07-24,39.6,CLIC
1972-07-25,0,CLIC
1972-07-26,0,CLIC
1972-07-27,0,CLIC
1972-07-28,0,CLIC
1972-07-29,0,CLIC
1972-07-30,0,CLIC
1972-07-31,2,CLIC
1972-08-01,0,CLIC
1972-08-02,0,CLIC
1972-08-03,0.7,CLIC
1972-08-04,0,CLIC
1972-08-05,0,CLIC
1972-08-06,0,CLIC
1972-08-07,0,CLIC
1972-08-08,0,CLIC
1972-08-09,23.8,CLIC
1972-08-10,0,CLIC
1972-08-11,0,CLIC
1972-08-12,0,CLIC
1972-08-13,0,CLIC
1972-08-14,0,CLIC
1972-08-15,0,CLIC
1972-08-16,0,CLIC
1972-08-17,0,CLIC
1972-08-18,0,CLIC
1972-08-19,0,CLIC
1972-08-20,0,CLIC
1972-08-21,0,CLIC
1972-08-22,0,CLIC
1972-08-23,0,CLIC
1972-08-24,0,CLIC
1972-08-25,0,CLIC
1972-08-26,0,CLIC
1972-08-27,0,CLIC
1972-08-28,0,CLIC
1972-08-29,0,CLIC
1972-08-30,0,CLIC
1972-08-31,0,CLIC
1972-09-01,0,CLIC
1972-09-02,0,CLIC
1972-09-03,0,CLIC
1972-09-04,0,CLIC
1972-09-05,0,CLIC
1972-09-06,0,CLIC
1972-09-07,0,CLIC
1972-09-08,23,CLIC
1972-09-09,4,CLIC
1972-09-10,4,CLIC
1972-09-11,0,CLIC
1972-09-12,10.6,CLIC
1972-09-13,7,CLIC
1972-09-14,0,CLIC
1972-09-15,0,CLIC
1972-09-16,0,CLIC
1972-09-17,0,CLIC
1972-09-18,0,CLIC
1972-09-19,0,CLIC
1972-09-20,0,CLIC
1972-09-21,17,CLIC
1972-09-22,7.5,CLIC
1972-09-23,10.5,CLIC
1972-09-24,0,CLIC
1972-09-25,0,CLIC
1972-09-26,0,CLIC
1972-09-27,0,CLIC
1972-09-28,0,CLIC
1972-09-29,0,CLIC
1972-09-30,5.7,CLIC
1972-10-01,0,CLIC
1972-10-02,0,CLIC
1972-10-03,0,CLIC
1972-10-04,0,CLIC
1972-10-05,0,CLIC
1972-10-06,38,CLIC
1972-10-07,30,CLIC
1972-10-08,0,CLIC
1972-10-09,0,CLIC
1972-10-10,0,CLIC
1972-10-11,0,CLIC
1972-10-12,7,CLIC
1972-10-13,0,CLIC
1972-10-14,0,CLIC
1972-10-15,0,CLIC
1972-10-16,0,CLIC
1972-10-17,0,CLIC
1972-10-18,0,CLIC
1972-10-19,1.5,CLIC
1972-10-20,0,CLIC
1972-10-21,4,CLIC
1972-10-22,0,CLIC
1972-10-23,0,CLIC
1972-10-24,0,CLIC
1972-10-25,0,CLIC
1972-10-26,0,CLIC
1972-10-27,0,CLIC
1972-10-28,0,CLIC
1972-10-29,0,CLIC
1972-10-30,0,CLIC
1972-10-31,0,CLIC
1972-11-01,0,CLIC
1972-11-02,0,CLIC
1972-11-03,0,CLIC
1972-11-04,0,CLIC
1972-11-05,0,CLIC
1972-11-06,0,CLIC
1972-11-07,0,CLIC
1972-11-08,0,CLIC
1972-11-09,0,CLIC
1972-11-10,0,CLIC
1972-11-11,0,CLIC
1972-11-12,0,CLIC
1972-11-13,0,CLIC
1972-11-14,0,CLIC
1972-11-15,0,CLIC
1972-11-16,0,CLIC
1972-11-17,0.9,CLIC
1972-11-18,1,CLIC
1972-11-19,0,CLIC
1972-11-20,0,CLIC
1972-11-21,0,CLIC
1972-11-22,3,CLIC
1972-11-23,3.4,CLIC
1972-11-24,0,CLIC
1972-11-25,0,CLIC
1972-11-26,0,CLIC
1972-11-27,0,CLIC
1972-11-28,0,CLIC
1972-11-29,0,CLIC
1972-11-30,0,CLIC
1973-01-01,3.5,CLIC
1973-01-02,0,CLIC
1973-01-03,0,CLIC
1973-01-04,0,CLIC
1973-01-05,0,CLIC
1973-01-06,0,CLIC
1973-01-07,0,CLIC
1973-01-08,6.8,CLIC
1973-01-09,8.4,CLIC
1973-01-10,2,CLIC
1973-01-11,0,CLIC
1973-01-12,0,CLIC
1973-01-13,0,CLIC
1973-01-14,0,CLIC
1973-01-15,0,CLIC
1973-01-16,0,CLIC
1973-01-17,0,CLIC
1973-01-18,0,CLIC
1973-01-19,0,CLIC
1973-01-20,0,CLIC
1973-01-21,0,CLIC
1973-01-22,0,CLIC
1973-01-23,0,CLIC
1973-01-24,0,CLIC
1973-01-25,0,CLIC
1973-01-26,0,CLIC
1973-01-27,0,CLIC
1973-01-28,0,CLIC
1973-01-29,0,CLIC
1973-01-30,0,CLIC
1973-01-31,0,CLIC
1973-02-01,0,CLIC
1973-02-02,0,CLIC
1973-02-03,0,CLIC
1973-02-04,0,CLIC
1973-02-05,0,CLIC
1973-02-06,0,CLIC
1973-02-07,0,CLIC
1973-02-08,2.5,CLIC
1973-02-09,0,CLIC
1973-02-10,0,CLIC
1973-02-11,0,CLIC
1973-02-12,0,CLIC
1973-02-13,0,CLIC
1973-02-14,0,CLIC
1973-02-15,0,CLIC
1973-02-16,3,CLIC
1973-02-17,6,CLIC
1973-02-18,0,CLIC
1973-02-19,1,CLIC
1973-02-20,0,CLIC
1973-02-21,14,CLIC
1973-02-22,0,CLIC
1973-02-23,0,CLIC
1973-02-24,0,CLIC
1973-02-25,0,CLIC
1973-02-26,0,CLIC
1973-02-27,0,CLIC
1973-02-28,0,CLIC
1973-03-01,0,CLIC
1973-03-02,0,CLIC
1973-03-03,0,CLIC
1973-03-04,0,CLIC
1973-03-05,0,CLIC
1973-03-06,0,CLIC
1973-03-07,0,CLIC
1973-03-08,0,CLIC
1973-03-09,0,CLIC
1973-03-10,0,CLIC
1973-03-11,0,CLIC
1973-03-12,0,CLIC
1973-03-13,0,CLIC
1973-03-14,0,CLIC
1973-03-15,0,CLIC
1973-03-16,0,CLIC
1973-03-17,0,CLIC
1973-03-18,0,CLIC
1973-03-19,0,CLIC
1973-03-20,0,CLIC
1973-03-21,0,CLIC
1973-03-22,0,CLIC
1973-03-23,0,CLIC
1973-03-24,0,CLIC
1973-03-25,0,CLIC
1973-03-26,0,CLIC
1973-03-27,0,CLIC
1973-03-28,0,CLIC
1973-03-29,0,CLIC
1973-03-30,0,CLIC
1973-03-31,0,CLIC
1973-04-01,0,CLIC
1973-04-02,0,CLIC
1973-04-03,0,CLIC
1973-04-04,0,CLIC
1973-04-05,0,CLIC
1973-04-06,0,CLIC
1973-04-07,0,CLIC
1973-04-08,0,CLIC
1973-04-09,0,CLIC
1973-04-10,0,CLIC
1973-04-11,0,CLIC
1973-04-12,0,CLIC
1973-04-13,0,CLIC
1973-04-14,1.5,CLIC
1973-04-15,0,CLIC
1973-04-16,0,CLIC
1973-04-17,0,CLIC
1973-04-18,0,CLIC
1973-04-19,0,CLIC
1973-04-20,0,CLIC
1973-04-21,0,CLIC
1973-04-22,0,CLIC
1973-04-23,0,CLIC
1973-04-24,0,CLIC
